"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","위생업태명","건물지상층수","건물지하층수","사용시작지상층","사용끝지상층","사용시작지하층","사용끝지하층","한실수","양실수","욕실수","발한실여부","의자수","조건부허가신고사유","조건부허가시작일자","조건부허가종료일자","건물소유구분명","세탁기수","여성종사자수","남성종사자수","회수건조수","침대수","다중이용업소여부",
"18","목욕장업","11_44_01_P","3250000","3250000-202-1973-00152","19730711","","01","영업/정상","01","영업","","","","","051 4678686","378.00","600817","부산광역시 중구 중앙동4가 81-13","부산광역시 중구 충장대로5번길 34 (중앙동4가)","48937","명천탕","20210323140801","U","2021-03-25 02:40:00.0","공동탕업","385694.347017426","180690.925641268","공동탕업","0","0","0","0","0","0","0","0","0","N","0","","","","","0","","","0","0","N",
"19","목욕장업","11_44_01_P","3250000","3250000-202-1989-00161","19890218","","01","영업/정상","01","영업","","","","","051 2417676","478.00","600809","부산광역시 중구 부평동3가 62-15번지","부산광역시 중구 흑교로17번길 7-1 (부평동3가)","48975","해림사우나","20150909110908","I","2018-08-31 23:59:59.0","공동탕업","384498.263296289","179863.261323636","공동탕업","0","0","0","0","0","0","0","0","0","N","0","","","","","0","","","0","0","N",
"20","목욕장업","11_44_01_P","3250000","3250000-202-1997-00001","19970804","","01","영업/정상","01","영업","","","","","051 4669101","909.00","600811","부산광역시 중구 영주동 742-13","부산광역시 중구 중구로 151 (영주동)","48912","코모도호델팔레로얄사우나","20211025155552","U","2021-10-27 02:40:00.0","공동탕업","385475.543050054","180776.200989752","공동탕업","0","0","0","0","0","0","0","0","0","N","0","","","","","0","","","0","0","N",
"21","목욕장업","11_44_01_P","3250000","3250000-202-2012-00001","20120417","","01","영업/정상","01","영업","","","","","051 255 8001","397.69","600044","부산광역시 중구 남포동4가 37-1 외 1필지(3층)","부산광역시 중구 자갈치해안로 52, 3층 (남포동4가, 외 1필지)","48983","자갈치효소편백원","20200716105248","U","2020-07-18 02:40:00.0","찜질시설서비스영업","385139.215952094","179403.007901724","찜질시설서비스영업","7","2","3","0","0","0","0","0","1","N","0","","","","임대","0","","","0","0","Y",
"22","목욕장업","11_44_01_P","3250000","3250000-202-2005-00003","20051220","","01","영업/정상","01","영업","","","","","051 4622241","880.03","600811","부산광역시 중구 영주동 526-49","부산광역시 중구 동영로 46 (영주동)","48913","두원베스피아 목욕탕","20200820163740","U","2020-08-22 02:40:00.0","공동탕업","385316.674026245","180977.867377644","공동탕업","3","2","1","2","1","2","0","0","0","N","0","","","","임대","0","","","0","0","N",
"23","목욕장업","11_44_01_P","3250000","3250000-202-1990-00165","19900615","","01","영업/정상","01","영업","","","","","051 4643727","151.00","600110","부산광역시 중구 영주동 324-6번지","부산광역시 중구 망양로 387 (영주동)","48901","대주탕","20200318170532","U","2020-03-20 02:40:00.0","공동탕업","384969.91342527","180996.784424076","공동탕업","0","0","0","0","0","0","0","0","0","N","0","","","","","0","","","0","0","N",
"24","목욕장업","11_44_01_P","3260000","3260000-202-2004-00001","20040524","","01","영업/정상","01","영업","","","","","051 2315235","1,534.00","602831","부산광역시 서구 암남동 354-1번지","부산광역시 서구 충무대로 8 (암남동)","49269","송도해모수 찜질사우나","20191007164024","U","2019-10-09 02:40:00.0","공동탕업+찜질시설서비스영업","383870.474584095","177147.052622728","공동탕업+찜질시설서비스영업","0","0","4","4","0","0","0","0","2","Y","0","","","","자가","0","","","0","0","N",
"25","목욕장업","11_44_01_P","3260000","3260000-202-1991-00059","19911228","","01","영업/정상","01","영업","","","","","051 2543138","350.74","602811","부산광역시 서구 동대신동2가 422-4번지","부산광역시 서구 구덕로296번길 16 (동대신동2가)","49217","삼익탕","20120529152127","I","2018-08-31 23:59:59.0","공동탕업","383964.065846902","180929.481253352","공동탕업","","","","","","","","","","N","","","","","","","","","","","N",
"26","목욕장업","11_44_01_P","3260000","3260000-202-1970-00629","19701126","","01","영업/정상","01","영업","","","","","051 2540826","156.20","602802","부산광역시 서구 남부민동 235","부산광역시 서구 천마로 115-1 (남부민동)","49262","천연탕","20200922172805","U","2020-09-24 02:40:00.0","공동탕업","384391.743315103","178228.660011413","공동탕업","0","0","0","0","0","0","0","0","0","N","0","","","","","0","","","0","0","N",
"27","목욕장업","11_44_01_P","3260000","3260000-202-1989-00775","19890926","","01","영업/정상","01","영업","","","","","051 2456955","267.90","602830","부산광역시 서구 암남동 73-4번지","부산광역시 서구 감천로 282 (암남동)","49268","약수탕","20120529154859","I","2018-08-31 23:59:59.0","공동탕업","383931.500930644","177475.665128641","공동탕업","","","","","","","","","","N","","","","","","","","","","","N",
"28","목욕장업","11_44_01_P","3260000","3260000-202-1983-00663","19830115","","01","영업/정상","01","영업","","","","","051 2564318","179.54","602803","부산광역시 서구 남부민동 499-2","부산광역시 서구 남부민로 47 (남부민동)","49263","성진탕","20200922172913","U","2020-09-24 02:40:00.0","공동탕업","384385.612280434","177978.404350947","공동탕업","0","0","0","0","0","0","0","0","0","N","0","","","","","0","","","0","0","N",
"29","목욕장업","11_44_01_P","3260000","3260000-202-1963-00336","19630610","","01","영업/정상","01","영업","","","","","051 2446788","787.58","602013","부산광역시 서구 충무동3가 1-8번지","부산광역시 서구 충무시장길 58 (충무동3가)","49253","늘푸른스파동광","20161031112420","I","2018-08-31 23:59:59.0","공동탕업","384400.384127602","179068.891286961","공동탕업","","","","","","","","","","N","","","","","임대","","","","","","N",
"30","목욕장업","11_44_01_P","3260000","3260000-202-1984-00773","19840509","","01","영업/정상","01","영업","","","","","051 2420277","392.35","602831","부산광역시 서구 암남동 348-3","부산광역시 서구 충무대로34번길 9 (암남동)","49269","남포탕","20211027140729","U","2021-10-29 02:40:00.0","공동탕업","383878.405801597","177324.068392007","공동탕업","","","","","","","","","","N","","","","","","","","","","","N",
"31","목욕장업","11_44_01_P","3260000","3260000-202-1981-00339","19811219","","01","영업/정상","01","영업","","","","","051 2560013","279.74","602061","부산광역시 서구 아미동1가 16번지","부산광역시 서구 구덕로165번길 18 (아미동1가)","49245","부영탕","20120529160045","I","2018-08-31 23:59:59.0","공동탕업","384007.655565186","179675.660443153","공동탕업","","","","","","","","","","N","","","","","","","","","","","N",
"32","목욕장업","11_44_01_P","3260000","3260000-202-1973-00224","19731215","","01","영업/정상","01","영업","","","","","051 2551825","216.50","602821","부산광역시 서구 서대신동3가 133-6","부산광역시 서구 대신로109번길 15 (서대신동3가)","49203","조일탕","20200922173341","U","2020-09-24 02:40:00.0","공동탕업","383430.930353637","181644.554311731","공동탕업","0","0","0","0","0","0","0","0","0","N","0","","","","","0","","","0","0","N",
"33","목욕장업","11_44_01_P","3260000","3260000-202-1970-00226","19700911","","01","영업/정상","01","영업","","","","","051 2486835","472.00","602825","부산광역시 서구 서대신동3가 589-3번지","부산광역시 서구 대신로 12-14 (서대신동3가)","49210","청신탕","20160801145418","I","2018-08-31 23:59:59.0","공동탕업","383363.58541816","181094.695542499","공동탕업","","","","","","","","","","N","","","","","","","","","","","N",
"34","목욕장업","11_44_01_P","3260000","3260000-202-1968-00099","19680125","","01","영업/정상","01","영업","","","","","051 2428446","204.60","602812","부산광역시 서구 동대신동3가 13-70번지","부산광역시 서구 보수대로 262 (동대신동3가)","49205","동아탕","20160913115438","I","2018-08-31 23:59:59.0","공동탕업","383803.464806024","181668.517025623","공동탕업","","","","","","","","","","N","","","","","","","","","","","N",
"35","목욕장업","11_44_01_P","3260000","3260000-202-2009-00002","20091224","","01","영업/정상","01","영업","","","","","","131.77","602082","부산광역시 서구 부용동2가 92-166번지","부산광역시 서구 해돋이로335번길 4 (부용동2가)","49239","녹천탕","20160913115522","I","2018-08-31 23:59:59.0","공동탕업","383759.242112857","180396.202271495","공동탕업","","","","","","","","","","N","","","","","","","","","","","N",
"36","목욕장업","11_44_01_P","3260000","3260000-202-1986-00584","19860203","","01","영업/정상","01","영업","","","","","051 2437365","319.24","602801","부산광역시 서구 남부민동 645-2번지","부산광역시 서구 충무대로241번길 7 (남부민동)","49256","부산탕","20120529153336","I","2018-08-31 23:59:59.0","공동탕업","384454.235249474","178871.675806526","공동탕업","","","","","","","","","","N","","","","","","","","","","","N",
"37","목욕장업","11_44_01_P","3260000","3260000-202-1970-00662","19701031","","01","영업/정상","01","영업","","","","","051 2563076","192.00","602803","부산광역시 서구 남부민동 383-1","부산광역시 서구 천마로 106-1 (남부민동)","49256","남부탕","20200922172651","U","2020-09-24 02:40:00.0","공동탕업","384369.976022409","178124.975317678","공동탕업","0","0","0","0","0","0","0","0","0","N","0","","","","","0","","","0","0","N",
"38","목욕장업","11_44_01_P","3260000","3260000-202-1982-00340","19820119","","01","영업/정상","01","영업","","","","","051 2555566","212.50","602828","부산광역시 서구 아미동2가 170-2번지","부산광역시 서구 해돋이로 259 (아미동2가)","49243","감초탕","20120529160858","I","2018-08-31 23:59:59.0","공동탕업","383751.99748992","179692.685029777","공동탕업","","","","","","","","","","N","","","","","","","","","","","N",
"39","목욕장업","11_44_01_P","3260000","3260000-202-1972-00145","19720107","","01","영업/정상","01","영업","","","","","051 2565004","177.60","602091","부산광역시 서구 서대신동1가 114-17","부산광역시 서구 고운들로 102 (서대신동1가)","49233","하성탕","20200826111552","U","2020-08-28 02:40:00.0","공동탕업","383766.011874565","180683.89167886","공동탕업","","","1","2","","","","","","N","","","","","","","","","","","N",
"40","목욕장업","11_44_01_P","3260000","3260000-202-1971-00178","19710923","","01","영업/정상","01","영업","","","","","051 2483014","226.40","602819","부산광역시 서구 서대신동2가 88번지","부산광역시 서구 구덕로301번길 9 (서대신동2가)","49234","창신탕","20120529153141","I","2018-08-31 23:59:59.0","공동탕업","383814.354920068","180911.345247462","공동탕업","","","","","","","","","","N","","","","","","","","","","","N",
"41","목욕장업","11_44_01_P","3260000","3260000-202-1965-00010","19650610","","01","영업/정상","01","영업","","","","","051 2562007","329.00","602808","부산광역시 서구 동대신동1가 108-3번지","부산광역시 서구 대영로86번길 4 (동대신동1가)","49218","대영탕","20170109180249","I","2018-08-31 23:59:59.0","공동탕업","384131.292435939","180926.967806897","공동탕업","","","","","","","","","","N","","","","","","","","","","","N",
"42","목욕장업","11_44_01_P","3260000","3260000-202-1973-00491","19731031","","01","영업/정상","01","영업","","","","","051 2549515","127.60","602055","부산광역시 서구 토성동5가 39-2번지","부산광역시 서구 구덕로132번길 9 (토성동5가)","49246","대영탕","20160913115004","I","2018-08-31 23:59:59.0","공동탕업","384344.05146467","179443.903329739","공동탕업","","","","","","","","","","N","","","","","","","","","","","N",
"43","목욕장업","11_44_01_P","3260000","3260000-202-1989-00058","19890812","","01","영업/정상","01","영업","","","","","051 2417980","296.50","602809","부산광역시 서구 동대신동2가 84-24번지","부산광역시 서구 보동길275번길 6 (동대신동2가)","49215","정휴탕","20190709115916","U","2019-07-11 02:40:00.0","공동탕업","384393.811029791","181218.620484659","공동탕업","","","","","","","","","","N","","","","","","","","","","","N",
"44","목욕장업","11_44_01_P","3260000","3260000-202-1981-00101","19811211","","01","영업/정상","01","영업","","","","","051 2426788","261.04","602813","부산광역시 서구 동대신동3가 447-11번지","부산광역시 서구 대영로85번길 66 (동대신동3가)","49212","구덕탕","20120529152214","I","2018-08-31 23:59:59.0","공동탕업","384012.806104291","181279.860677364","공동탕업","","","","","","","","","","N","","","","","","","","","","","N",
"45","목욕장업","11_44_01_P","3260000","3260000-202-1991-00229","19911230","","01","영업/정상","01","영업","","","","","051 2448292","578.94","602825","부산광역시 서구 서대신동3가 665번지","부산광역시 서구 대신로45번길 11 (서대신동3가)","49209","금호탕","20131122134504","I","2018-08-31 23:59:59.0","공동탕업","383311.822218513","181326.139093378","공동탕업","5","1","2","3","","","","","3","Y","","","","","자가","","","","","","N",
"46","목욕장업","11_44_01_P","3260000","3260000-202-1969-00337","19690821","","01","영업/정상","01","영업","","","","","051 2560989","307.80","602828","부산광역시 서구 아미동2가 69-7","부산광역시 서구 까치고개로198번길 13 (아미동2가)","49245","서호탕","20220304162702","U","2022-03-06 02:40:00.0","공동탕업","383936.372118867","179651.890967537","공동탕업","","","","","","","","","","N","","","","","","","","","","","N",
"47","목욕장업","11_44_01_P","3260000","3260000-202-1984-00182","19840724","","01","영업/정상","01","영업","","","","","051 6228667","344.80","602820","부산광역시 서구 서대신동2가 288-3번지","부산광역시 서구 대영로6번길 11 (서대신동2가)","49228","새부산탕","20140818161424","I","2018-08-31 23:59:59.0","공동탕업","383409.870443357","180850.325477349","공동탕업","","","","","","","","","","N","","","","","임대","","","","","","N",
"48","목욕장업","11_44_01_P","3260000","3260000-202-2005-00002","20050311","","01","영업/정상","01","영업","","","","","051 718 2000","3,776.66","602803","부산광역시 서구 남부민동 523-53번지","부산광역시 서구 충무대로 134 (남부민동)","49264","송도해수피아","20200227172100","U","2020-02-29 02:40:00.0","공동탕업+찜질시설서비스영업","384659.337991748","177808.202125354","공동탕업+찜질시설서비스영업","8","2","3","6","0","0","0","0","0","N","0","","","","","0","","","0","0","N",
"49","목욕장업","11_44_01_P","3260000","3260000-202-1970-00387","19701102","","01","영업/정상","01","영업","","","","","051 2560155","214.70","602834","부산광역시 서구 초장동 10-1번지","부산광역시 서구 구덕로163번길 19 (초장동)","49245","초장탕","20180905133449","U","2018-09-05 23:59:59.0","공동탕업","384098.504793544","179570.914745494","공동탕업","","","","","","","","","","N","","","","","","","","","","","N",
"50","목욕장업","11_44_01_P","3260000","3260000-202-2000-00585","20000406","","01","영업/정상","01","영업","","","","","051 2486776",".00","602800","부산광역시 서구 남부민동 23-52","부산광역시 서구 천마로193번길 6 (남부민동)","49257","대명탕","20200828174028","U","2020-08-30 02:40:00.0","공동탕업","384288.452295693","178955.862168077","공동탕업","0","0","0","0","0","0","0","0","0","N","0","","","","","0","","","0","0","N",
"51","목욕장업","11_44_01_P","3260000","3260000-202-1987-00497","19870930","","01","영업/정상","01","영업","","","","","051 9167700","453.60","602011","부산광역시 서구 충무동1가 28-2번지","부산광역시 서구 충무시장길 24 (충무동1가)","49253","금강목욕탕","20131121153046","I","2018-08-31 23:59:59.0","공동탕업","384433.564063556","179241.841558797","공동탕업","","","","","","","","","","N","","","","","임대","","","","","","N",
"52","목욕장업","11_44_01_P","3260000","3260000-202-1988-00632","19880229","","01","영업/정상","01","영업","","","","","051 2573366","349.87","602804","부산광역시 서구 남부민동 439-16번지","부산광역시 서구 천해로 14 (남부민동)","49261","산수탕","20160809103026","I","2018-08-31 23:59:59.0","공동탕업","383914.970384896","177917.998432326","공동탕업","","","","","","","","","","N","","","","","","","","","","","N",
"53","목욕장업","11_44_01_P","3260000","3260000-202-1989-00388","19890106","","01","영업/정상","01","영업","","","","","051 2550702","391.00","602836","부산광역시 서구 초장동 126-1번지","부산광역시 서구 해돋이로 170 (초장동)","49251","장수탕","20161031121404","I","2018-08-31 23:59:59.0","공동탕업","384037.964673187","178920.730776489","공동탕업","","","","","","","","","","N","","","","","","","","","","","N",
"54","목욕장업","11_44_01_P","3260000","3260000-202-2004-00002","20041001","","01","영업/정상","01","영업","","","","","051 2452700","3,298.70","602081","부산광역시 서구 부용동1가 66-1번지","부산광역시 서구 보수대로 105-1 (부용동1가)","49223","한웅레포츠","20170110152759","I","2018-08-31 23:59:59.0","공동탕업+찜질시설서비스영업","384193.465647996","180347.461227876","공동탕업+찜질시설서비스영업","0","0","0","0","0","0","0","0","2","N","0","","","","","0","","","0","0","N",
"55","목욕장업","11_44_01_P","3260000","3260000-202-1983-00227","19830215","","01","영업/정상","01","영업","","","","","051 2536159","238.40","602825","부산광역시 서구 서대신동3가 289-2번지","부산광역시 서구 구덕로339번길 5 (서대신동3가)","49226","녹수탕","20170410171052","I","2018-08-31 23:59:59.0","공동탕업","383675.155653342","181266.898726125","공동탕업","","","","","","","","","","N","","","","","","","","","","","N",
"56","목욕장업","11_44_01_P","3260000","3260000-202-1969-00009","19691213","","01","영업/정상","01","영업","","","","","051 2428360","488.00","602808","부산광역시 서구 동대신동1가 191-1번지","부산광역시 서구 구덕로280번길 56 (동대신동1가)","49219","부산탕","20120529145656","I","2018-08-31 23:59:59.0","공동탕업","384225.581177229","180862.992547392","공동탕업","","","","","","","","","","N","","","","","","","","","","","N",
"57","목욕장업","11_44_01_P","3260000","3260000-202-1988-00057","19880109","","01","영업/정상","01","영업","","","","","051 3410355","382.60","602809","부산광역시 서구 동대신동2가 29-8번지","부산광역시 서구 보동길311번길 12 (동대신동2가)","49215","대성탕","20200402132418","U","2020-04-04 02:40:00.0","공동탕업","384258.561754307","181338.85391143","공동탕업","0","0","0","0","0","0","0","0","0","N","0","","","","","0","","","0","0","N",
"58","목욕장업","11_44_01_P","3260000","3260000-202-2005-00001","20050207","","01","영업/정상","01","영업","","","","","051 2428413","1,021.49","602827","부산광역시 서구 아미동2가 32-72번지","부산광역시 서구 해돋이로 279 (아미동2가)","49240","금천사우나","20171129123544","I","2018-08-31 23:59:59.0","공동탕업+찜질시설서비스영업","383782.707922604","179880.849942477","공동탕업+찜질시설서비스영업","4","3","2","","1","","","","","N","","","","","자가","","","","","","N",
"59","목욕장업","11_44_01_P","3260000","3260000-202-1995-00342","19950907","","01","영업/정상","01","영업","","","","","051 2426367","159.36","602827","부산광역시 서구 아미동2가 261-126번지","부산광역시 서구 까치고개로 104 (아미동2가)","49242","까치탕","20170915145408","I","2018-08-31 23:59:59.0","공동탕업","383286.597212501","180200.516246681","공동탕업","","","","","","","","","","N","","","","","","","","","","","N",
"60","목욕장업","11_44_01_P","3260000","3260000-202-2010-00002","20100420","","01","영업/정상","01","영업","","","","","051 255 1836","343.04","602801","부산광역시 서구 남부민동 685-2","부산광역시 서구 해안새벽시장길 88 (남부민동)","49254","복지목욕탕","20200922173208","U","2020-09-24 02:40:00.0","공동탕업","384585.715998121","178919.968810761","공동탕업","7","0","4","4","0","0","0","0","0","Y","0","","","","임대","0","","","0","0","N",
"61","목욕장업","11_44_01_P","3260000","3260000-202-1983-00341","19830210","","01","영업/정상","01","영업","","","","","051 2423121","220.00","602827","부산광역시 서구 아미동2가 126-93","부산광역시 서구 해돋이로269번길 14 (아미동2가)","49240","천일탕","20200826111626","U","2020-08-28 02:40:00.0","공동탕업","383726.641324817","179792.102177546","공동탕업","","","","","","","","","","N","","","","","","","","","","","N",
"62","목욕장업","11_44_01_P","3260000","3260000-202-2021-00001","20210914","","01","영업/정상","01","영업","","","","","","267.90","602812","부산광역시 서구 동대신동3가 253-27","부산광역시 서구 망양로92번길 33 (동대신동3가)","49213","동선탕","20210914112302","I","2021-09-16 00:22:48.0","공동탕업","384030.39531508","181514.179291296","공동탕업","4","1","1","2","0","0","0","0","0","N","0","","","","","0","0","0","0","0","N",
"63","목욕장업","11_44_01_P","3260000","3260000-202-2022-00001","20220610","","01","영업/정상","01","영업","","","","","","879.98","602825","부산광역시 서구 서대신동3가 353","부산광역시 서구 구덕로333번길 33, 3, 5층 (서대신동3가)","49225","구덕 사우나","20220610155230","I","2022-06-12 00:22:30.0","공동탕업","383586.386563081","181155.741923857","공동탕업","0","0","0","0","0","0","0","0","6","N","0","","","","","0","0","0","0","0","N",
