"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","사용목적","사용방법","월사용량","수용정원수","시설사용여부",
"61","특정고압가스업","09_28_14_P","3330000","2018333013212200003","20181022","","01","영업/정상","BBBB","","","","","","","","","부산광역시 해운대구 좌동 1435번지 인제대학교해운대백병원","부산광역시 해운대구 해운대로 875, 인제대학교해운대백병원 (좌동)","48108","인제대학교 해운대백병원","20181024180528","U","2018-10-26 02:37:23.0","","398749.005508548","188211.683012763","의료용 산소","의료용 산소","680","1500","",
"62","특정고압가스업","09_28_14_P","3340000","2019334008012200002","20190108","","01","영업/정상","BBBB","","","","","","","","","부산광역시 사하구 장림동 515-1번지","부산광역시 사하구 장평로 1 (장림동)","49491","자연요양병원","20190108152303","I","2019-01-10 02:20:44.0","","380273.077681962","176190.672565514","의료용","의료용","1600","160","",
"63","특정고압가스업","09_28_14_P","3340000","2019334008012200005","20190620","","01","영업/정상","BBBB","","","","","","","","","부산광역시 사하구 다대동 1505-6번지","부산광역시 사하구 다산로 168-1 (다대동)","49486","금강정밀","20190620163804","I","2019-06-22 02:21:18.0","","378583.939681526","176118.025781653","용접 및 절단용","이동 및 고정","2500","31","",
"64","특정고압가스업","09_28_14_P","3340000","2019334008012200003","20190509","","01","영업/정상","BBBB","","","","","","","","","부산광역시 사하구 괴정동 571-4번지","부산광역시 사하구 낙동대로 305 (괴정동)","49401","의료법인 마루의료재단 의왕요양병원","20190509152332","I","2019-05-11 02:20:42.0","","380793.255630055","179609.289728194","의료용","의료용","900","200","",
"65","특정고압가스업","09_28_14_P","3340000","2019334008012200004","20190612","","01","영업/정상","BBBB","","","","","","","","","부산광역시 사하구 구평동 494번지","부산광역시 사하구 감천항로 515 (구평동)","49455","진영수산","20190612181543","I","2019-06-14 02:21:30.0","","382341.42587306","174044.034271729","수족관 산소 공급용","수족관 산소 공급용","2000","1","",
"66","특정고압가스업","09_28_14_P","3340000","2019334008012200006","20190701","","01","영업/정상","BBBB","","","","","","","","","부산광역시 사하구 다대동 1504-9번지","부산광역시 사하구 다산로175번길 26 (다대동)","49487","기화금속","20190701173321","I","2019-07-03 02:21:41.0","","378243.819901741","176232.03825266","용접 및 절단용","고정 및 이동","1800","5","",
"67","특정고압가스업","09_28_14_P","3340000","2019334008012200007","20190709","","01","영업/정상","BBBB","","","","","","","","","부산광역시 사하구 다대동 1506-8번지","부산광역시 사하구 홍티로 123 (다대동)","49489","천우산업(주)","20190709175058","I","2019-07-11 02:21:33.0","","378640.601536762","175821.315519536","절단용","고정","2000","15","",
"68","특정고압가스업","09_28_14_P","3340000","2019334008012200009","20190730","","01","영업/정상","BBBB","","","","","","","","","부산광역시 사하구 구평동 41-26번지","부산광역시 사하구 사하로 21 (구평동)","49396","의료법인 인주의료재단 늘사랑요양병원","20190730163820","I","2019-08-01 02:21:51.0","","381536.76737331","178138.004791643","의료용","이동식","150","100","",
"69","특정고압가스업","09_28_14_P","3340000","2019334008012200010","20191004","","01","영업/정상","BBBB","","","","","","","","","부산광역시 사하구 하단동 596-14번지","부산광역시 사하구 낙동남로 1388 (하단동)","49426","미래아이여성병원","20191004134109","I","2019-10-06 00:22:43.0","","378941.360932275","180290.445444695","의료용","액화산소의 경우 배관 연결하여 사용
압축산소의 경우 이동식","500","170","",
"70","특정고압가스업","09_28_14_P","3340000","1998334001702700002","19980522","","01","영업/정상","BBBB","","","","","","051 2627800","","","부산광역시 사하구 구평동 399번지","부산광역시 사하구 구평로16번길 71  (구평동)","","(주)강남","19980522000000","I","2018-08-31 23:59:59.0","","381589.231859853","176624.595619872","","","","","",
"71","특정고압가스업","09_28_14_P","3340000","2020334013112200002","20201110","","01","영업/정상","BBBB","","","","","","","","","부산광역시 사하구 구평동 28-13","부산광역시 사하구 사하로 55 (구평동)","49396","한빛의료소비자생활협동조합(한빛요양병원)","20201110095128","I","2020-11-12 00:23:29.0","","381729.631346163","178301.387452937","의료용","의료용","480","247","",
"72","특정고압가스업","09_28_14_P","3340000","2000334001702700003","20000622","","01","영업/정상","BBBB","","","","","","051 2662600","","","부산광역시 사하구 장림동 380번지","부산광역시 사하구 다대로 311  (장림동)","","하나병원","20080312102501","I","2018-08-31 23:59:59.0","","380250.68844905","176831.893130576","","","","","",
"73","특정고압가스업","09_28_14_P","3340000","2002334001702700001","20020223","","01","영업/정상","BBBB","","","","","","051 2668091","","","부산광역시 사하구 다대동 1553번지","부산광역시 사하구 감천항로 454  (다대동)","","(주)흔우철강제2공장","20020223000000","I","2018-08-31 23:59:59.0","","381613.325457691","174551.635641826","","","","","",
"74","특정고압가스업","09_28_14_P","3340000","2015334008012200002","20150204","","01","영업/정상","BBBB","","","","","","","","","","부산광역시 사하구 감천항로405번길 61 (구평동)","","선보유니텍(주)","20150204185456","I","2018-08-31 23:59:59.0","","382267.99527243","174554.282651552","철판절단용","철판절단용","3500","13","",
"75","특정고압가스업","09_28_14_P","3340000","2016334008012200002","20160419","","01","영업/정상","BBBB","","","","","","","","","","부산광역시 사하구 낙동대로 305 (괴정동)","","의왕요양병원","20160419085607","I","2018-08-31 23:59:59.0","","380793.255630055","179609.289728194","의료용","의료용","676","250","",
"76","특정고압가스업","09_28_14_P","3340000","2018334008012200001","20180309","","01","영업/정상","BBBB","","","","","","","","","부산광역시 사하구 신평동 644-6번지","부산광역시 사하구 신산로13번길 60 (신평동)","49432","삼보정공","20180309122815","I","2018-08-31 23:59:59.0","","378449.23688189","179132.629747247","절단용","절단","1000","30","",
"77","특정고압가스업","09_28_14_P","3340000","2018334008012200002","20180417","","01","영업/정상","BBBB","","","","","","","","","부산광역시 사하구 구평동 488-2번지","부산광역시 사하구 감천항로419번길 62 (구평동)","49455","주식회사 태정이엔지","20180417143032","I","2018-08-31 23:59:59.0","","382175.363511481","174331.206459644","절단가공용","액화산소를 이용하여 소재를 절단 가공","2000","44","",
"78","특정고압가스업","09_28_14_P","3340000","1994334001702700003","19940622","","01","영업/정상","BBBB","","","","","","051 2632111","","","부산광역시 사하구 장림동 1050번지","부산광역시 사하구 을숙도대로 670  (장림동)","","부산자동차정비공업사","19940622000000","I","2018-08-31 23:59:59.0","","380362.47364206","177953.806297589","","","","","",
"79","특정고압가스업","09_28_14_P","3340000","1994334001702700005","19941122","","01","영업/정상","BBBB","","","","","","051 2057101","","","부산광역시 사하구 신평동 532번지","부산광역시 사하구 을숙도대로 601  (신평동)","","(주)삼공사","19941122000000","I","2018-08-31 23:59:59.0","","379727.787973568","178100.154750036","","","","","",
"80","특정고압가스업","09_28_14_P","3340000","1995334001702700005","19950512","","01","영업/정상","BBBB","","","","","","051 2615211","","","부산광역시 사하구 장림동 1055번지","부산광역시 사하구 다대로 207  (장림동)","","영남베스트종합정비","20131231175138","I","2018-08-31 23:59:59.0","","380314.898569747","177865.132769233","","","","","",
"81","특정고압가스업","09_28_14_P","3340000","1996334001702700002","19960911","","01","영업/정상","BBBB","","","","","","051 2041920","","","부산광역시 사하구 신평동 524번지","부산광역시 사하구 다대로170번길 55  (신평동)","","서한공업","19960911000000","I","2018-08-31 23:59:59.0","","379690.896197221","178215.4549297","","","","","",
