"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","의료기관종별명","의료인수","입원실수","병상수","총면적","진료과목내용","진료과목내용명","지정취소일자","완화의료지정형태","완화의료담당부서명","구급차특수","구급차일반","총인원","구조사수","허가병상수","최초지정일자",
"11","부속의료기관","01_01_03_P","3340000","PHMA320093340025021300001","20090512","","03","폐업","03","폐업","20120611","","","","","","604845","부산광역시 사하구 장림2동 333번지 2호 2층일부","부산광역시 사하구 장림번영로 50 (장림동,2층일부)","","장림동새마을금고 부속 한의원","20120611130809","I","2018-08-31 23:59:59.0","","379677.110328236","177470.4537142","기타","1","0","0","32","607","기타","","","","0","0","","","0","",
"12","부속의료기관","01_01_03_P","3340000","PHMA319743340025041300001","19740329","","03","폐업","03","폐업","20130702","","","","051-207-3845","","604857","부산광역시 사하구 괴정3동 245번지","부산광역시 사하구 사리로 37 (괴정동)","","사회복지법인자매여숙부속의원","20130705093701","I","2018-08-31 23:59:59.0","","382144.076563291","180076.354934905","부속의원","1","0","1","39.99","103","정신건강의학과","","","","0","0","","","0","",
"13","부속의료기관","01_01_03_P","3350000","PHMA320093350024021300001","20090626","","03","폐업","03","폐업","20090708","","","","","","609824","부산광역시 금정구 부곡4동 395번지 7호 애플타워 2,3층","부산광역시 금정구 부곡로 36 (부곡동,애플타워 2,3층)","","아가페의료소비자생활협동조합부속 온천요양병원","20090708182152","I","2018-08-31 23:59:59.0","","390065.219940669","193173.682616856","부속병원","4","12","44","1185.43","104 105 106 114 115 122 101","내과, 외과, 정형외과, 신경외과, 피부과, 비뇨의학과, 가정의학과","","","","0","0","","","0","",
"14","부속의료기관","01_01_03_P","3350000","PHMA320183350024041300001","20180315","","01","영업/정상","13","영업중","","","","","051-519-7700","","","부산광역시 금정구 오륜동 625번지","부산광역시 금정구 오륜대로126번길 62, 3층 (오륜동)","46255","부산소년원 부속의원","20191220173413","U","2019-12-22 02:40:00.0","","391516.476860845","196202.857738956","부속의원","1","0","0","72.6","122 114 113 111 105 104 103 102 101","내과, 신경과, 정신건강의학과, 외과, 정형외과, 소아청소년과, 이비인후과, 피부과, 가정의학과","","","","0","0","","","0","",
"15","부속의료기관","01_01_03_P","3360000","PHMA320003360024041300002","20001009","","03","폐업","03","폐업","20131231","","","","051-979-9089","","618290","부산광역시 강서구 신호동 185","부산광역시 강서구 르노삼성대로 61 (신호동)","618722","르노삼성자동부속치과의원","20140129182033","I","2018-08-31 23:59:59.0","","371070.269343027","178844.957191338","부속의원","1","0","0","76.36","401","치과","","","","0","0","","","0","",
"16","부속의료기관","01_01_03_P","3360000","PHMA320053360024041300003","20050930","","01","영업/정상","13","영업중","","","","","051-718-1673","","618703","부산광역시 강서구 대저1동","부산광역시 강서구 대저중앙로29번길 62 (대저1동)","46700","부산교도소부속의원","20191108200739","U","2019-11-10 02:40:00.0","","","","부속의원","1","0","0","337.75","101","내과","","","","0","0","","","0","",
"17","부속의료기관","01_01_03_P","3360000","PHMA319863360024041300001","19861127","","01","영업/정상","13","영업중","","","","","051-970-5182","","","부산광역시 강서구 대저2동 103번지 1호","부산광역시 강서구 테크센터로 55, 창공회관 3층동 (대저2동)","46712","대한항공김해부속의원","20190207231315","U","2019-02-09 02:40:00.0","","375751.958407317","188590.806112604","부속의원","4","0","0","388","101 104","내과, 외과","","","","0","0","","","0","",
"18","부속의료기관","01_01_03_P","3360000","PHMA320103360024041300001","20100419","","01","영업/정상","13","영업중","","","","","051-970-9123","","","","부산광역시 강서구 녹산산업중로 333, 14동 2층 (송정동)","46754","삼성전기부속의원","20220408112448","U","2022-04-10 02:40:00.0","","369169.330139889","178979.319940248","부속의원","3","0","0","237.6","122","가정의학과","","","","0","0","","","0","",
"19","부속의료기관","01_01_03_P","3360000","PHMA320143360024041300001","20140827","","01","영업/정상","13","영업중","","","","","051979-9089","","","","부산광역시 강서구 르노삼성대로 61 (신호동)","46758","르노코리아자동차부속의원","20220701024321","U","2022-07-03 02:40:00.0","","371070.269343027","178844.957191338","부속의원","3","0","0","580","101 104 105","내과, 외과, 정형외과","","","","0","0","","","0","",
"20","부속의료기관","01_01_03_P","3370000","PHMA320153370022041300001","20150120","","01","영업/정상","13","영업중","","","","","051-590-0166","","611741","부산광역시 연제구 거제동 1500번지","부산광역시 연제구 법원로 31, 16층 (거제동)","47510","부산법원종합청사 부속의원","20190510001312","U","2019-05-12 02:40:00.0","","388768.843267284","190117.18190073","부속의원","1","0","0","82.58","101 122","내과, 가정의학과","","","","0","0","","","0","",
"21","부속의료기관","01_01_03_P","3380000","PHMA320093380023041300001","20090807","","03","폐업","03","폐업","20110729","","","","","","613805","부산광역시 수영구 광안2동 191번지 6호 류빈비치빌 101호","부산광역시 수영구 광남로 150 (광안동,류빈비치빌 101호)","","아가페의료소비자생활협동조합 부속 차생한의원","20111213110452","I","2018-08-31 23:59:59.0","","392936.498804324","185987.595264459","부속의원","1","0","0","150","607","기타","","","","0","0","","","0","",
"22","부속의료기관","01_01_03_P","3380000","PHMA320043380023021300001","20040629","","01","영업/정상","13","영업중","","","","","6675317","","613707","부산광역시 수영구 망미동 640번지 5호 부산지방병무청","부산광역시 수영구 연수로 301 (망미동)","48208","부산지방병무청","20150605102319","I","2018-08-31 23:59:59.0","","391569.236337438","188053.038716787","병무청","1","0","1","10","604","병무청","","","","0","0","","","0","",
"23","부속의료기관","01_01_03_P","3390000","PHMA320053390023041300001","20051012","","01","영업/정상","13","영업중","","","","","051-309-8463","","","부산광역시 사상구 주례동 666","부산광역시 사상구 학장로 268 (주례동)","47016","부산구치소부속의원","20160311135420","I","2018-08-31 23:59:59.0","","","","부속의원","4","0","0","0","101","내과","","","","0","0","","","0","",
"24","부속의료기관","01_01_03_P","3390000","PHMA320053390023041300002","20051012","","01","영업/정상","13","영업중","","","","","","","617737","부산광역시 사상구 주례3동 부산구치소","부산광역시 사상구 학장로 268 (주례동)","47016","부산구치소 부속치과의원","20151007144124","I","2018-08-31 23:59:59.0","","","","부속의원","1","0","0","0","411","예방치과","","","","0","0","","","0","",
"25","부속의료기관","01_01_03_P","3400000","PHMA320213400013041300001","20210708","","03","폐업","03","폐업","20211014","","","","031-289-3743","","","부산광역시 기장군 장안읍 고리 81","부산광역시 기장군 장안읍 길천길 96-1","46036","한국수력원자력(주) 고리원자력본부 부속의원","20211021105438","U","2021-10-23 02:40:00.0","","408237.872515778","204819.260624967","부속의원","4","0","0","241.32","113 111 101","내과, 소아청소년과, 이비인후과","","","","0","0","","","0","",
"26","부속의료기관","01_01_03_P","3400000","PHMA320203400013041300001","20201016","","03","폐업","03","폐업","20210115","","","","0517263115","","","부산광역시 기장군 장안읍 고리 81 외 202필지","부산광역시 기장군 장안읍 길천길 96-1, 1층","46036","한국수력원자력(주) 고리원자력본부 부속의원","20210125093510","U","2021-01-27 02:40:00.0","","408237.872515778","204819.260624967","부속의원","4","0","0","277.5","101","내과","","","","0","0","","","0","",
