"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)",
"11","종합체육시설업","10_37_01_P","3300000","CDFH3301262015000001","20150903","","01","영업/정상","13","영업중","","","","","051-503-7611","","","부산광역시 동래구 온천동 1448-2번지","부산광역시 동래구 미남로 110 (온천동, 동래구 국민체육센터)","47827","동래구국민체육센터","20181214115448","U","2018-12-16 02:40:00.0","","388423.92426774","191337.841510374",
"12","종합체육시설업","10_37_01_P","3320000","CDFH3301261993000001","19930629","","01","영업/정상","13","영업중","","","","","632-0774","","616829","부산광역시 북구 만덕동 924번지","부산광역시 북구 덕천로 253 (만덕동)","46563","현대스포렉스","20170823143021","I","2018-08-31 23:59:59.0","","384974.413687704","192066.207673337",
"13","종합체육시설업","10_37_01_P","3320000","CDFH3301262011000001","20110928","","01","영업/정상","13","영업중","","","","","051)365-7070","","616121","부산광역시 북구 화명동 755번지","부산광역시 북구 화명대로94번길 83  (화명동)","","북구국민체육센터","20200429095404","U","2020-05-01 02:40:00.0","","383596.875018578","194321.203111908",
"14","종합체육시설업","10_37_01_P","3320000","CDFH3301262014000001","20141017","","01","영업/정상","13","영업중","","","","","051-331-4185","","616854","부산광역시 북구 화명동 1130-15번지","부산광역시 북구 금곡대로 230 (화명동)","46537","G SPORTS COMPLEX","20170530113559","I","2018-08-31 23:59:59.0","","383196.567561226","194017.963600245",
"15","종합체육시설업","10_37_01_P","3330000","CDFH3301262006000001","20060629","","03","폐업","03","폐업","20130904","","","","051-521-7100,7200","","612719","부산광역시 해운대구 반여동 1638번지 주공아시아선수촌아파트 스포츠센타","부산광역시 해운대구 선수촌로 122  (반여동,주공아시아선수촌아파트 스포츠센타)","","아시아선수촌 스포츠센타","20130904114807","I","2018-08-31 23:59:59.0","","393143.35262625","191263.088957516",
"16","종합체육시설업","10_37_01_P","3330000","CDFH3301262007000001","20070820","","03","폐업","03","폐업","20150826","","","","0516476361","","612824","부산광역시 해운대구 우동 1435-1번지","부산광역시 해운대구 마린시티1로 147 (우동)","","클럽골든 클래스","20150826151748","I","2018-08-31 23:59:59.0","","395618.339943865","186260.733945661",
"17","종합체육시설업","10_37_01_P","3330000","CDFH3301262009000001","20090616","","03","폐업","03","폐업","20160719","","","","051-544-5288","","612805","부산광역시 해운대구 반송동 683-48번지","부산광역시 해운대구 반송로 853  (반송동)","","(재)부산사회체육센터 해운대구건강증진센터","20160719101046","I","2018-08-31 23:59:59.0","","395442.937304107","194408.509040309",
"18","종합체육시설업","10_37_01_P","3330000","CDFH3301262013000002","20130927","","03","폐업","03","폐업","20170928","","","","051-521-7100","","612060","부산광역시 해운대구 반여동 1638번지 2층, 지하1층","부산광역시 해운대구 선수촌로 122, 2층, 지하1층 (반여동, 주공아시아선수촌아파트 스포츠센터)","48037","The 스포츠센터","20170928165829","I","2018-08-31 23:59:59.0","","393143.35262625","191263.088957516",
"19","종합체육시설업","10_37_01_P","3330000","CDFH3301262020000001","20200602","","01","영업/정상","13","영업중","","","","","051-922-1000","","","부산광역시 해운대구 중동 1829번지 엘시티","부산광역시 해운대구 달맞이길 30, 포디움동 6층 (중동, 엘시티)","48099","(주)호텔롯데 시그니엘 부산","20200602171213","I","2020-06-04 00:23:18.0","","","",
"20","종합체육시설업","10_37_01_P","3330000","CDFH3301262013000001","20130125","","01","영업/정상","13","영업중","","","","","","","612021","부산광역시 해운대구 우동 1409-3","부산광역시 해운대구 마린시티1로 51 (우동)","48120","루미 스파 피트니스","20220516170425","U","2022-05-18 02:40:00.0","","395089.374582997","186246.124349487",
"21","종합체육시설업","10_37_01_P","3330000","CDFH3301262020000002","20200914","","01","영업/정상","13","영업중","","","","","","","","부산광역시 해운대구 중동 1405-16 그랜드 조선 부산 7층","부산광역시 해운대구 해운대해변로 292, 그랜드 조선 부산 7층 (중동)","48099","(주)조선호텔앤리조트 그랜드조선 부산 GAC","20210126184052","U","2021-01-28 02:40:00.0","","397022.971550345","186692.06462196",
"22","종합체육시설업","10_37_01_P","3340000","CDFH3301262019000001","20190326","","01","영업/정상","13","영업중","","","","","051)203-7780","","","부산광역시 사하구 하단동 1149-5번지","부산광역시 사하구 낙동남로1233번길 20 (하단동)","49300","서부산권장애인스포츠센터","20190326154640","I","2019-03-28 02:20:07.0","","377435.42428816","180670.375796899",
"23","종합체육시설업","10_37_01_P","3340000","CDFH3301262019000002","20190329","","01","영업/정상","13","영업중","","","","","051-202-3800","","","부산광역시 사하구 감천동 702-1번지 사하국민체육센터","부산광역시 사하구 감천로 68, 사하국민체육센터 (감천동)","49445","사하구국민체육센터","20190329091410","I","2019-03-31 02:20:09.0","","382208.240068481","178539.144834593",
"24","종합체육시설업","10_37_01_P","3350000","CDFH3301262008000001","20080611","","03","폐업","03","폐업","20110210","","","","051)550-1430","","609370","부산광역시 금정구 두구동 669번지","부산광역시 금정구 체육공원로399번길 324  (두구동)","","SPO1PARK 스포츠센터","20110210154915","I","2018-08-31 23:59:59.0","","391519.106057","201135.192463",
"25","종합체육시설업","10_37_01_P","3350000","CDFH3301262019000001","20190313","","01","영업/정상","13","영업중","","","","","051-559-4006","","","부산광역시 금정구 구서동 203-5 금정산온천 레포츠","부산광역시 금정구 구서중앙로15번길 20, 금정산온천 레포츠 (구서동)","46230","금정산온천레포츠","20210524152743","U","2021-05-26 02:40:00.0","","390057.531834683","196950.450593302",
"26","종합체육시설업","10_37_01_P","3360000","CDFH3301262015000001","20151218","","01","영업/정상","13","영업중","","","","","051-717-3555","","","부산광역시 강서구 대저2동 1932-1번지","부산광역시 강서구 공항로811번길 10 (대저2동, 강서브라이트센터)","46720","강서구 국민체육센터","20190128104648","U","2019-01-30 02:40:00.0","","378217.143109621","188532.511213826",
"27","종합체육시설업","10_37_01_P","3360000","CDFH3301262022000001","20220607","","01","영업/정상","13","영업중","","","","","051-207-7790","","","부산광역시 강서구 명지동 3432-5","부산광역시 강서구 명지국제6로 99, 명지대방디엠시티 오피스텔 지하2층 (명지동)","46726","엠시티 짐(M City Gym)","20220607095937","I","2022-06-09 00:22:31.0","","374105.463802319","178726.266854823",
"28","종합체육시설업","10_37_01_P","3380000","CDFH3301261990000001","19901206","","03","폐업","03","폐업","20210728","","","","611-6689","","613819","부산광역시 수영구 남천동 556-18","부산광역시 수영구 황령대로497번길 13 (남천동)","","거북스포츠프라자","20210729125501","U","2021-07-31 02:40:00.0","","392100.143581751","184184.93754424",
"29","종합체육시설업","10_37_01_P","3380000","CDFH3301262011000001","20110630","","03","폐업","03","폐업","20170426","","","","622-7200","","613011","부산광역시 수영구 남천동 29-4번지 극동레포츠타운","부산광역시 수영구 남천바다로10번길 72 (남천동,극동레포츠타운)","","극동레포츠타운","20170616173936","I","2018-08-31 23:59:59.0","","392281.080537932","185108.924063773",
"30","종합체육시설업","10_37_01_P","3380000","CDFH3301262007000001","20070518","","01","영업/정상","13","영업중","","","","","0517902340","","613805","부산광역시 수영구 광안동 192-5번지 외 4필지","부산광역시 수영구 광안해변로 225 (광안동,외 4필지)","","호텔아쿠아펠리스 지점","20170831154818","I","2018-08-31 23:59:59.0","","393000.846002969","185934.805960605",
"31","종합체육시설업","10_37_01_P","3390000","CDFH3301262007000001","20070212","","03","폐업","03","폐업","20150715","","","","","","617808","부산광역시 사상구 괘법동 527-2번지","부산광역시 사상구 사상로223번길 55 (괘법동)","617808","사상해수온천휘트니스클럽","20150715162656","I","2018-08-31 23:59:59.0","","380345.66973977","186854.553375945",
"32","종합체육시설업","10_37_01_P","3390000","CDFH3301261992000001","19920713","","01","영업/정상","13","영업중","","","","","","","617838","부산광역시 사상구 주례동 1162-90","부산광역시 사상구 학장로324번길 8 (주례동)","617838","부산시민스포츠센터","20200911153040","U","2020-09-13 02:40:00.0","","382219.802978731","185160.862247713",
"33","종합체육시설업","10_37_01_P","3390000","CDFH3301262015000001","20150618","","01","영업/정상","13","영업중","","","","","051-319-7330","","","부산광역시 사상구 학장동 288-12번지 사상구 다누림센터","부산광역시 사상구 가야대로196번길 51, 사상구 다누림센터 (학장동)","47022","사상구국민체육센터","20200513110623","U","2020-05-15 02:40:00.0","","381704.216984208","184957.197796515",
"34","종합체육시설업","10_37_01_P","3400000","CDFH3301262007000001","20070611","","01","영업/정상","13","영업중","","","","","051-726-5471~2","","","부산광역시 기장군 장안읍 길천리 300-4 신고리지역협력시설","부산광역시 기장군 장안읍 해맞이로 454, 신고리지역협력시설","46036","고리스포츠문화센터","20220218145622","U","2022-02-22 02:40:00.0","","407712","205797",
"35","종합체육시설업","10_37_01_P","3400000","CDFH3301262022000001","20220506","","01","영업/정상","13","영업중","","","","","051-724-9970","","","부산광역시 기장군 일광읍 횡계리 301","부산광역시 기장군 일광읍 해빛4로 35","46048","(주)동부산스포츠센터","20220527172006","U","2022-05-29 02:40:00.0","","","",
