"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","영업내용",
"16","옥외광고업","04_15_01_P","3250000","2007325005208200003","20070511","","01","영업/정상","20","정상","","","","","051 4652488","","","부산광역시 중구 보수동*가 **-*","부산광역시 중구 대청로 ** (보수동*가)","48965","광고신라기획","20210611100233","U","2021-06-13 02:40:00.0","","384369.929693585","180128.505974875","광고물제작",
"17","옥외광고업","04_15_01_P","3250000","2013325010708500001","20191114","","01","영업/정상","20","정상","","","","","0512428818","","","부산광역시 중구 동광동*가 **번지","부산광역시 중구 해관로 * (동광동*가)","600021","(주)희남","20191115181349","U","2019-11-17 02:40:00.0","","385548.213592069","179660.979270477","광고대행",
"18","옥외광고업","04_15_01_P","3250000","2015325012008500001","20170818","","01","영업/정상","20","정상","","","","","051 893 8656","","","부산광역시 중구 중앙동*가 **-*번지","부산광역시 중구 대청로***번길 ** (중앙동*가)","48928","부경1","20170818182050","I","2018-08-31 23:59:59.0","","385476.757675618","180425.305229146","광고물 제작, 시공",
"19","옥외광고업","04_15_01_P","3250000","2014325010708500001","20140121","","01","영업/정상","20","정상","","","","","051 2460061","","","부산광역시 중구 보수동*가 **-* 보수종합시장","부산광역시 중구 보수대로 **, **호 (보수동*가)","600083","아세아광고산업","20210512180123","U","2021-05-14 02:40:00.0","","384268.876610502","180213.752067668","간판제작",
"20","옥외광고업","04_15_01_P","3250000","2015325012008500002","20150930","","01","영업/정상","20","정상","","","","","051 469 1253","","","부산광역시 중구 중앙동*가 **-*번지","부산광역시 중구 동광길 ** (중앙동*가)","48928","디자인디오","20150930183244","I","2018-08-31 23:59:59.0","","385445.801755819","180241.677531833","옥외광고물 제작",
"21","옥외광고업","04_15_01_P","3250000","1991325001608200054","19910518","","01","영업/정상","20","정상","","","","","051 2483297","","","부산광역시 중구 남포동*가 *번지","부산광역시 중구 자갈치로 **  (남포동*가)","","뉴광고사","20110329194647","I","2018-08-31 23:59:59.0","","384836.914455912","179432.734579543","광고물제작",
"22","옥외광고업","04_15_01_P","3250000","1992325001608200055","19920730","","01","영업/정상","20","정상","","","","","051 2451084","","","부산광역시 중구 남포동*가 **-*번지","부산광역시 중구 구덕로 ** (남포동*가)","600044","미광성간판","20150407163621","I","2018-08-31 23:59:59.0","","385352.590025486","179483.994481465","광고물제작",
"23","옥외광고업","04_15_01_P","3250000","1998325001608200024","19980731","","01","영업/정상","20","정상","","","","","051 4663835","","","부산광역시 중구 영주동 ***-**","부산광역시 중구 동영로 ** (영주동)","48915","부산광고기획","20211013141330","U","2021-10-15 02:40:00.0","","385306.651323997","180921.995744747","옥외광고물 제작",
"24","옥외광고업","04_15_01_P","3250000","1988325001608200005","20191114","","01","영업/정상","20","정상","","","","","051 4697720","","","부산광역시 중구 중앙동*가 **-*","부산광역시 중구 대청로***번길 **-* (중앙동*가)","48928","중앙광고기업","20210415144618","U","2021-04-17 02:40:00.0","","385451.632862439","180241.653504137","광고물제작",
"25","옥외광고업","04_15_01_P","3250000","1988325001608200034","19880309","","01","영업/정상","20","정상","","","","","051 246 0368","","","부산광역시 중구 부평동*가 **-**번지","부산광역시 중구 부평*길 * (부평동*가)","","신광사","20191025202518","U","2019-10-27 02:40:00.0","","384708.404257817","179729.192989513","광고물제작",
"26","옥외광고업","04_15_01_P","3250000","1988325001608200037","19880706","","01","영업/정상","20","정상","","","","","051 2466000","","","부산광역시 중구 부평동*가 **-* 육천사","부산광역시 중구 보수대로**번길 * (부평동*가)","48974","육천사","20210618150000","U","2021-06-20 02:40:00.0","","384447.796436527","179860.081555294","광고물제작",
"27","옥외광고업","04_15_01_P","3250000","1998325001608200030","20191112","","01","영업/정상","20","정상","","","","","051 255 5548","","","부산광역시 중구 보수동*가 **-*번지","부산광역시 중구 흑교로**번길 *-* (보수동*가)","48963","맥광고사","20191112124027","U","2019-11-14 02:40:00.0","","384338.766077338","180442.472497633","광고물제작",
"28","옥외광고업","04_15_01_P","3250000","1998325001608200044","19980601","","01","영업/정상","20","정상","","","","","051 2435544","","","부산광역시 중구 부평동*가 **-**번지","부산광역시 중구 흑교로**번길 **-* (부평동*가)","","삼일광고기획","20140918094827","I","2018-08-31 23:59:59.0","","384428.099260114","179974.229054436","광고물제작",
"29","옥외광고업","04_15_01_P","3250000","1999325001608200014","20151027","","01","영업/정상","20","정상","","","","","051 2544416","","","부산광역시 중구 중앙동*가 *-**번지","부산광역시 중구 중앙대로 **-** (중앙동*가)","48957","광고사랑중앙","20151028143357","I","2018-08-31 23:59:59.0","","385586.44950955","179933.80467633","광고물제작",
"30","옥외광고업","04_15_01_P","3250000","2005325001608200002","20050107","","01","영업/정상","20","정상","","","","","051 2466393","","","부산광역시 중구 부평동*가 **번지","부산광역시 중구 흑교로 **  (부평동*가)","","예림광고","20090626152710","I","2018-08-31 23:59:59.0","","384621.820885404","180029.395795349","광고물 제조",
"31","옥외광고업","04_15_01_P","3250000","2016325012008500003","20181115","","01","영업/정상","20","정상","","","","","051 441 8288","","","부산광역시 중구 동광동*가 **-*번지","부산광역시 중구 대청로***번길 ** (동광동*가)","600023","굳앤굳디자인","20181115114043","U","2018-11-17 02:36:39.0","","385384.646877349","179917.492751092","광고물 제작 등 옥외광고사업",
"32","옥외광고업","04_15_01_P","3250000","2022325015008500001","20220121","","01","영업/정상","20","정상","","","","","","","","부산광역시 중구 보수동*가 **-*","부산광역시 중구 보수대로***번길 ** (보수동*가)","48965","가온디자인","20220124105407","I","2022-01-26 00:22:40.0","","384395.888177853","180230.071103041","간판 제작 설치",
"33","옥외광고업","04_15_01_P","3250000","2000325001608200061","20191114","","01","영업/정상","20","정상","","","","","051 4695082","","","부산광역시 중구 영주동 ***-**번지","부산광역시 중구 영주로 **-* (영주동)","","한국디자인","20191115182315","U","2019-11-17 02:40:00.0","","385149.112063323","180810.8149942","광고물제작",
"34","옥외광고업","04_15_01_P","3250000","2018325011608500001","20180822","","01","영업/정상","20","정상","","","","","0519381007","","","","부산광역시 중구 중구로**번길 ** (대청동*가)","48933","10월7일","20190308162139","U","2019-03-10 02:40:00.0","","384965.77851367","180134.014241955","옥외광고 제작 등",
"35","옥외광고업","04_15_01_P","3250000","2021325015008500003","20210902","","01","영업/정상","20","정상","","","","","","","","","부산광역시 중구 대영로***번길 *-* (영주동)","48922","현대애드","20210902131112","I","2021-09-04 00:22:49.0","","385644.630608115","181071.388339461","옥외광고물 제작",
"36","옥외광고업","04_15_01_P","3250000","2021325015008500001","20210201","","01","영업/정상","20","정상","","","","","0512569396","","","부산광역시 중구 부평동*가 **-*","부산광역시 중구 대청로 **, *층 (부평동*가)","48973","(주)대경커뮤니케이션","20210202094523","I","2021-02-04 00:23:03.0","","384269.244187244","180087.316391257","옥외광고물 제작",
"37","옥외광고업","04_15_01_P","3250000","2019325011608500002","20190328","","03","폐업","40","폐업","20220210","","","","","","","","부산광역시 중구 중앙대로 ***-* (대창동*가)","48922","베스트엘이디","20220210093853","U","2022-02-12 02:40:00.0","","385692.582247446","181008.169253764","옥외광고물 제작 외",
"38","옥외광고업","04_15_01_P","3250000","2019325011608500003","20210609","","03","폐업","40","폐업","20210831","","","","0512558787","","","부산광역시 중구 영주동 ***-*","부산광역시 중구 대영로***번길 *-* (영주동)","48922","현대광고","20210901101801","U","2021-09-03 02:40:00.0","","385644.630608115","181071.388339461","옥외광고물 제작 등",
"39","옥외광고업","04_15_01_P","3250000","2019325011608500004","20190708","","03","폐업","40","폐업","20190919","","","","","","","부산광역시 중구 중앙동*가 **-*번지 원빌딩 ***호","부산광역시 중구 해관로 **-*, 원빌딩 (중앙동*가)","48930","파이오니아스튜디오","20190919094859","U","2019-09-21 02:40:00.0","","385507.438297238","180251.484441608","옥외광고물 제작 외",
"40","옥외광고업","04_15_01_P","3250000","2002325001608200026","20021016","","03","폐업","40","폐업","20051026","","","","051 4410040","","","부산광역시 중구 동광동*가 **-*번지 석천빌딩*층","부산광역시 중구 동광길 **  (동광동*가,석천빌딩*층)","","무주광고","20021016000000","I","2018-08-31 23:59:59.0","","385403.47592167","180131.572765329","옥외광고업,광고대행",
"41","옥외광고업","04_15_01_P","3250000","2002325001608200047","20020709","","03","폐업","40","폐업","20210609","","","","051 2447785","","","부산광역시 중구 부평동*가 **-**","부산광역시 중구 보수대로 **-* (부평동*가)","48973","제일공사","20210609132343","U","2021-06-11 02:40:00.0","","384254.753762161","179995.207666793","광고물제작",
"42","옥외광고업","04_15_01_P","3250000","2002325001608200032","20020903","","03","폐업","40","폐업","20201102","","","","051 2453595","","","부산광역시 중구 보수동*가 **-*","부산광역시 중구 흑교로 ** (보수동*가)","","고려사","20201105173935","U","2020-11-07 02:40:00.0","","384351.755160004","180571.568950521","광고물제작",
"43","옥외광고업","04_15_01_P","3250000","2002325001608200057","20020508","","03","폐업","40","폐업","20160927","","","","051 4691791","","","부산광역시 중구 영주동 **-**번지","","","국민광고","20160927132511","I","2018-08-31 23:59:59.0","","385561.12060554","181095.142939154","간판제작",
"44","옥외광고업","04_15_01_P","3250000","2002325001608200060","20020225","","03","폐업","40","폐업","","","","","051 4633933","","","부산광역시 중구 영주동 **-*번지","","","보성산업개발(주)","20140124170340","I","2018-08-31 23:59:59.0","","385704.179290977","181150.076167714","광고물제작",
"45","옥외광고업","04_15_01_P","3250000","2003325001608100063","20030225","","03","폐업","40","폐업","20030603","","","","051 5015240","","","부산광역시 중구 중앙동*가 **-*번지","부산광역시 중구 중앙대로 **  (중앙동*가)","","(주)두리컴","20030225000000","I","2018-08-31 23:59:59.0","","385629.166370956","180261.156329654","옥외광고물제조.광고대행",
"46","옥외광고업","04_15_01_P","3250000","2003325001608200023","20030501","","03","폐업","40","폐업","20100713","","","","051 4417000","","","부산광역시 중구 중앙동*가 **-*번지 항도빌딩","부산광역시 중구 해관로 **  (중앙동*가,항도빌딩)","","아주디자인산업(주)","20100713135758","I","2018-08-31 23:59:59.0","","385560.382200493","180018.768525819","광고간판제조",
"47","옥외광고업","04_15_01_P","3250000","2003325001608200049","20030129","","03","폐업","40","폐업","20040722","","","","051 2549909","","","부산광역시 중구 부평동*가 **-*번지","부산광역시 중구 대청로 **-*  (부평동*가)","","대화광고사","20030129000000","I","2018-08-31 23:59:59.0","","384325.923112528","180093.612034002","옥외광고물제조",
"48","옥외광고업","04_15_01_P","3250000","2002325001608200059","20020125","","03","폐업","40","폐업","20031223","","","","051 4693154","","","부산광역시 중구 영주동 ***-*번지","부산광역시 중구 중구로 ***-*  (영주동)","","아름광고","20020125000000","I","2018-08-31 23:59:59.0","","385421.280345313","181014.526234857","간판제조",
"49","옥외광고업","04_15_01_P","3250000","2003325001608200050","20030205","","03","폐업","40","폐업","20040326","","","","051 2553573","","","부산광역시 중구 부평동*가 **-*번지","부산광역시 중구 보수대로**번길 **  (부평동*가)","","우성광고사","20030205000000","I","2018-08-31 23:59:59.0","","384472.636166927","180088.669791446","옥외광고물제조",
"50","옥외광고업","04_15_01_P","3250000","2003325001608200052","20030220","","03","폐업","40","폐업","20051109","","","","051 2445395","","","부산광역시 중구 신창동*가 *-*번지 외환은행빌딩(*층)","부산광역시 중구 광복중앙로 **  (신창동*가,외환은행빌딩(*층))","","비컴(VICOM)","20030220000000","I","2018-08-31 23:59:59.0","","385074.807762192","180030.905431406","광고물제작",
"51","옥외광고업","04_15_01_P","3250000","2003325001608200054","20031212","","03","폐업","40","폐업","20181024","","","","","","","부산광역시 중구 보수동*가 **-*번지 *층","부산광역시 중구 흑교로 **, *층 (보수동*가)","600082","정애드","20181025134404","U","2018-10-27 02:36:26.0","","384386.026618743","180443.305580502","광고물제작",
"52","옥외광고업","04_15_01_P","3250000","2005325001608200001","20181024","","03","폐업","40","폐업","20181024","","","","051243 7474","","","부산광역시 중구 보수동*가 **-*번지","부산광역시 중구 보수대로 **-* (보수동*가)","","고려사인뱅크","20181025134506","U","2018-10-27 02:36:26.0","","384249.88652838","180257.178360316","광고물 제조",
"53","옥외광고업","04_15_01_P","3250000","2005325001608200003","20030325","","03","폐업","40","폐업","20060630","","","","051 4665432","","","부산광역시 중구 중앙동*가 *-*번지 ***호","부산광역시 중구 대청로 ***,  ***호 (중앙동*가)","","가나광고디자인","20030325000000","I","2018-08-31 23:59:59.0","","385645.398864318","180083.225302197","옥외광고물제조",
"54","옥외광고업","04_15_01_P","3250000","2005325005208200001","20050425","","03","폐업","40","폐업","20060630","","","","051 4648899","","","부산광역시 중구 중앙동*가 *번지 (주) 사인파크연구소","","","(주)사인파크연구소","20050425000000","I","2018-08-31 23:59:59.0","","385774.109341384","179843.760582632","간판및 광고물제작",
"55","옥외광고업","04_15_01_P","3250000","2005325005208200004","20051229","","03","폐업","40","폐업","20191204","","","","051466 5500","","","부산광역시 중구 영주동 **-**번지","부산광역시 중구 대영로 *** (영주동)","","디자인텍","20191205100450","U","2019-12-07 02:40:00.0","","385567.886026628","181143.893049801","옥외광고물제작",
"56","옥외광고업","04_15_01_P","3250000","2006325005208200002","20060308","","03","폐업","40","폐업","20110308","","","","0514682 366","","","부산광역시 중구 중앙동*가 **번지","부산광역시 중구 중앙대로 **  (중앙동*가)","","사인코아","20110308100032","I","2018-08-31 23:59:59.0","","385663.457515779","179718.597231335","광고물제작",
"57","옥외광고업","04_15_01_P","3250000","2006325005208200003","20060817","","03","폐업","40","폐업","20081021","","","","0514657 883","","","부산광역시 중구 중앙동*가 **번지 대한통운렌트카 빌딩 ***","부산광역시 중구 대청로***번길 *  (중앙동*가,대한통운렌트카 빌딩 ***)","","동원오션(주)","20101216173017","I","2018-08-31 23:59:59.0","","385655.784771001","180080.214713131","옥외광고업 제작업",
"58","옥외광고업","04_15_01_P","3250000","2007325005208200001","20070125","","03","폐업","40","폐업","20080318","","","","051 4676222","","","부산광역시 중구 중앙동*가 **번지 남정빌딩지하","","","동아나염","20101216173617","I","2018-08-31 23:59:59.0","","","","현수막제작",
"59","옥외광고업","04_15_01_P","3250000","2007325005208500001","20191114","","03","폐업","40","폐업","20210601","","","","0519877736","","","부산광역시 중구 부평동*가 **-*","부산광역시 중구 보수대로 **, 골든오피스텔 ****호 (부평동*가)","48973","제이시스템","20210601120258","U","2021-06-03 02:40:00.0","","384249.201710589","180080.172971726","광고기획",
"60","옥외광고업","04_15_01_P","3250000","2003325001608200053","20031126","","03","폐업","40","폐업","","","","","051 4421438","","","부산광역시 중구 중앙동*가 **-*번지 동방빌딩**F","부산광역시 중구 중앙대로 **  (중앙동*가,동방빌딩**F)","","(주)비주얼라인","20110330100119","I","2018-08-31 23:59:59.0","","385637.167034815","180199.557790712","광고대행",
"61","옥외광고업","04_15_01_P","3250000","2006325005208200001","20060215","","03","폐업","40","폐업","20110211","","","","051 256 1275","","","부산광역시 중구 보수동*가 **-**번지","","","거화애드","20110328151128","I","2018-08-31 23:59:59.0","","","","광고기획",
"62","옥외광고업","04_15_01_P","3250000","2007325005208200002","20070406","","03","폐업","40","폐업","20070628","","","","051 4625556","","","부산광역시 중구 중앙동*가 **-**번지 동도빌딩*호","부산광역시 중구 중앙대로 ***-*  (중앙동*가,동도빌딩*호)","","드림애드","20070406000000","I","2018-08-31 23:59:59.0","","385752.455377503","181011.177553175","옥외광고물제작",
"63","옥외광고업","04_15_01_P","3250000","2007325005208200004","20191217","","03","폐업","40","폐업","20210611","","","","051 242 2525","","","부산광역시 중구 보수동*가 **-*","부산광역시 중구 보수대로***번길 **, *층 (보수동*가)","48965","가온디자인","20210611163826","U","2021-06-13 02:40:00.0","","384395.888177853","180230.071103041","광고물제작",
"64","옥외광고업","04_15_01_P","3250000","2007325005208500002","20071016","","03","폐업","40","폐업","20150331","","","","469 1133","","","부산광역시 중구 중앙동*가 **-*번지 KT빌딩 *층","부산광역시 중구 중앙대로 *** (중앙동*가,KT빌딩 *층)","","(주)컴비넷","20150410180758","I","2018-08-31 23:59:59.0","","385709.216919638","180842.067770636","현수막게시시설 제작 및 관리",
"65","옥외광고업","04_15_01_P","3250000","2007325005208500003","20071107","","03","폐업","40","폐업","","","","","","","","부산광역시 중구 부평동*가 *-**번지","부산광역시 중구 보수대로**번길 **-*  (부평동*가)","","진홍아이디(주)","20110330100024","I","2018-08-31 23:59:59.0","","384540.724296601","180078.116064053","광고물제작",
"66","옥외광고업","04_15_01_P","3250000","2007325005208500004","20071114","","03","폐업","40","폐업","","","","","","","","부산광역시 중구 중앙동*가 **번지","부산광역시 중구 중앙대로 **  (중앙동*가)","","엠제이코리아","20110330095919","I","2018-08-31 23:59:59.0","","385666.280865059","179774.158396281","옥외광고대행업",
"67","옥외광고업","04_15_01_P","3250000","2008325005208500001","20080414","","03","폐업","40","폐업","20090910","","","","4690281","","","부산광역시 중구 중앙동*가 **번지 캔젠타워 *층","부산광역시 중구 중앙대로 **  (중앙동*가,캔젠타워 *층)","","(주) 김장","20101216172327","I","2018-08-31 23:59:59.0","","385666.280865059","179774.158396281","간판 및 광고물 제조업",
"68","옥외광고업","04_15_01_P","3250000","1988325001608200002","19880323","","03","폐업","40","폐업","20210611","","","","051 4690928","","","부산광역시 중구 중앙동*가 **-*","부산광역시 중구 중앙대로 ** (중앙동*가)","","대성사","20210611163617","U","2021-06-13 02:40:00.0","","385550.353652589","180458.936310225","광고물제작",
"69","옥외광고업","04_15_01_P","3250000","2010325009208500003","20120615","","03","폐업","40","폐업","20140110","","","","0514687277","","","부산광역시 중구 보수동*가 **-**번지 매일빌딩 *, *층","부산광역시 중구 흑교로**번길 ** (매일빌딩 *, *층)","600082","동아티지","20140113132733","I","2018-08-31 23:59:59.0","","384351.540238464","180377.043003698","옥외광고물 제작",
"70","옥외광고업","04_15_01_P","3250000","2010325009208500004","20101029","","03","폐업","40","폐업","20150831","","","","","","","부산광역시 중구 중앙동*가 **-*번지","부산광역시 중구 중앙대로 ** (중앙동*가)","","(주)아름 T&C","20150901091518","I","2018-08-31 23:59:59.0","","385557.358482697","180361.441523766","옥외광고 대행업",
"71","옥외광고업","04_15_01_P","3250000","2011325009208500001","20110110","","03","폐업","40","폐업","20191022","","","","051 255 5520","","","부산광역시 중구 보수동*가 **-*번지","부산광역시 중구 흑교로 **-* (보수동*가)","","가나D&F","20191024182914","U","2019-10-26 02:40:00.0","","384353.188075855","180560.268203888","옥외광고물 제작",
"72","옥외광고업","04_15_01_P","3250000","2011325009208500002","20110401","","03","폐업","40","폐업","20201230","","","","0514651359","","","부산광역시 중구 영주동 ***","부산광역시 중구 대영로***번안길 * (영주동)","","지서 디자인","20201230173847","U","2021-01-01 02:40:00.0","","385553.621981918","181001.172106707","옥외광고물 제작",
"73","옥외광고업","04_15_01_P","3250000","2011325009208500004","20101019","","03","폐업","40","폐업","20170801","","","","","","","부산광역시 중구 부평동*가 **-**번지 지하","부산광역시 중구 흑교로 **-** (부평동*가)","600806","에녹365","20170801151400","I","2018-08-31 23:59:59.0","","384619.30536133","179840.067546664","현수막 제작 등",
"74","옥외광고업","04_15_01_P","3250000","2011325009208500003","20110630","","03","폐업","40","폐업","20130930","","","","051 4421438","","","부산광역시 중구 중앙동*가 *번지 체신보험회관 *층","부산광역시 중구 중앙대로 ** (중앙동*가,체신보험회관 *층)","","(주)비주얼라인","20140926174615","I","2018-08-31 23:59:59.0","","385561.650139456","180152.738082365","광고대행업",
"75","옥외광고업","04_15_01_P","3250000","2011325009208500005","20131211","","03","폐업","40","폐업","20151229","","","","0514631180","","","부산광역시 중구 중앙동*가 **-*번지","부산광역시 중구 **계단길 *, ***호 (중앙동*가)","600815","(주)예청","20160830170830","I","2018-08-31 23:59:59.0","","385464.220370345","180225.685982991","옥외광고대행업",
"76","옥외광고업","04_15_01_P","3250000","2012325009108500001","20130502","","03","폐업","40","폐업","20191212","20191022","20200421","","051 465 4582","","","부산광역시 중구 보수동*가 ** *층","부산광역시 중구 보수대로***번길 ** (보수동*가)","600083","너울광고기획","20201030175823","U","2020-11-01 02:40:00.0","","384260.110755221","180278.165738019","옥외광고물 제작",
"77","옥외광고업","04_15_01_P","3250000","2012325009108500002","20121126","","03","폐업","40","폐업","20130911","","","","","","","부산광역시 중구 중앙동*가 *번지","부산광역시 중구 중앙대로 **, ***호 (중앙동*가, 부녀장학회*층)","600015","디자인플러스","20131008160124","I","2018-08-31 23:59:59.0","","385639.460626892","180064.106991485","광고대행, 광고디자인",
"78","옥외광고업","04_15_01_P","3250000","2016325012008500001","20160329","","03","폐업","40","폐업","20181231","","","","051 442 1236","","","부산광역시 중구 중앙동*가 **-**번지","부산광역시 중구 동광길 ** (중앙동*가)","48928","이삭디자인","20191024182459","U","2019-10-26 02:40:00.0","","385456.144173323","180344.262126546","옥외광고물 제작 외",
"79","옥외광고업","04_15_01_P","3250000","2012325009108500003","20121221","","03","폐업","40","폐업","20160811","","","","","","","부산광역시 중구 부평동*가 **-*번지","부산광역시 중구 보수대로**번길 * (부평동*가)","600074","부성그라비아","20160811103041","I","2018-08-31 23:59:59.0","","384447.796436527","179860.081555294","광고물제작 및 시공",
"80","옥외광고업","04_15_01_P","3250000","2013325009108500001","20130311","","03","폐업","40","폐업","20161006","","","","07042020434","","","부산광역시 중구 중앙동*가 **-*번지 거산빌딩","부산광역시 중구 **계단길 * (중앙동*가)","600815","디엔지크(D&JIK)","20161007173054","I","2018-08-31 23:59:59.0","","385464.220370345","180225.685982991","옥외광고물 제작 등",
"81","옥외광고업","04_15_01_P","3250000","2016325012008500004","20160804","","03","폐업","40","폐업","20171012","","","","051 248 3699","","","부산광역시 중구 중앙동*가 **-**번지","부산광역시 중구 대청로***번길 *, *층 (중앙동*가)","48956","시랩(C_Lab)","20171101151431","I","2018-08-31 23:59:59.0","","385500.111857936","180000.86007515","광고물 표시ㆍ설치, 옥외광고대행",
"82","옥외광고업","04_15_01_P","3250000","2015325012008500003","20151109","","03","폐업","40","폐업","20160404","","","","051 242 0406","","","부산광역시 중구 중앙동*가 **-*번지 경농빌딩 *층","부산광역시 중구 중앙대로 **-*, *층 (중앙동*가, 경농빌딩)","48957","주식회사 코비드","20160404171031","I","2018-08-31 23:59:59.0","","385581.55542062","180047.572986062","옥외광고물 제작, 광고대행",
"83","옥외광고업","04_15_01_P","3250000","1990325001608200007","19900518","","03","폐업","40","폐업","20101214","","","","051 2459332","","","부산광역시 중구 중앙동*가 **-**번지","","","(주)대륙광고공사","20101214145854","I","2018-08-31 23:59:59.0","","","","광고물제작",
"84","옥외광고업","04_15_01_P","3250000","1990325001608200053","19900201","","03","폐업","40","폐업","20100108","","","","051 2416995","","","부산광역시 중구 남포동*가 **-*번지","부산광역시 중구 구덕로 **-*  (남포동*가)","","시대광고사","20100112104432","I","2018-08-31 23:59:59.0","","385340.205291926","179483.056886995","광고물제작",
