"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","위생업태명","건물지상층수","건물지하층수","사용시작지상층","사용끝지상층","사용시작지하층","사용끝지하층","한실수","양실수","욕실수","발한실여부","좌석수","조건부허가신고사유","조건부허가시작일자","조건부허가종료일자","건물소유구분명","세탁기수","여성종사자수","남성종사자수","회수건조수","침대수","다중이용업소여부",
"16","숙박업","03_11_03_P","3250000","3250000-201-1991-00069","19910930","","01","영업/정상","01","영업","","","","","051256 3338","2,343.00","600809","부산광역시 중구 부평동3가 63-1번지","부산광역시 중구 흑교로21번길 7 (부평동3가)","48975","투 헤븐 호텔","20190617094619","U","2019-06-19 02:40:00.0","일반호텔","384505.777150847","179903.527482676","일반호텔","0","0","1","8","0","0","0","48","0","N","0","","","","자가","0","","","0","0","N",
"17","숙박업","03_11_03_P","3250000","3250000-201-2008-00001","20080411","","01","영업/정상","01","영업","","","","","051442 1045","10,241.96","600101","부산광역시 중구 대창동1가 22-4번지 , 23-19","부산광역시 중구 중앙대로 125 (대창동1가, 22-4, 23-19)","48924","토요코인 부산역Ⅱ","20190806140029","U","2019-08-08 02:40:00.0","관광호텔","385610.773395183","180783.85947241","관광호텔","23","2","1","23","0","0","0","491","0","N","0","","","","임대","0","","","0","0","N",
"18","숙박업","03_11_03_P","3250000","3250000-201-2017-00002","20170213","","01","영업/정상","01","영업","","","","","051 242 2200","3,978.15","600045","부산광역시 중구 남포동5가 8-1번지","부산광역시 중구 구덕로 54-1 (남포동5가)","48953","(주)아이에이치엠 호텔포레 프리미어 남포지점","20171123163559","I","2018-08-31 23:59:59.0","일반호텔","385007.017930066","179584.983850781","일반호텔","16","2","4","14","0","0","0","107","0","N","0","","","","임대","0","0","0","0","0","N",
"19","숙박업","03_11_03_P","3250000","3250000-201-2014-00001","20140318","","01","영업/정상","01","영업","","","","","051 260 5007","3,237.71","600051","부산광역시 중구 창선동1가 12-1번지","부산광역시 중구 광복로39번길 6 (창선동1가)","48947","호텔아벤트리부산","20200520151303","U","2020-05-22 02:40:00.0","일반호텔","384993.660072758","179733.755298836","일반호텔","8","4","6","8","0","0","0","81","0","N","0","","","","자가","0","","","0","0","N",
"20","숙박업","03_11_03_P","3250000","3250000-201-2016-00004","20160707","","01","영업/정상","01","영업","","","","","051 243 0076","1,797.45","600022","부산광역시 중구 동광동2가 11-6번지","부산광역시 중구 대청로126번길 36 (동광동2가)","48951","엠유","20181212131225","U","2018-12-14 02:40:00.0","일반호텔","385416.868505466","179762.890558622","일반호텔","8","0","1","8","0","0","0","41","0","N","0","","","","자가","0","","","0","0","N",
"21","숙박업","03_11_03_P","3250000","3250000-201-2017-00004","20170425","","01","영업/정상","01","영업","","","","","","892.92","600804","부산광역시 중구 부평동1가 30-19번지 외 1필지","부산광역시 중구 부평2길 20-8 (부평동1가)","","하루애 호텔","20190816172715","U","2019-08-18 02:40:00.0","여관업","384743.908145746","179784.453804431","여관업","7","0","1","7","0","0","0","26","0","N","0","","","","","0","0","0","0","0","N",
"22","숙박업","03_11_03_P","3250000","3250000-201-2016-00005","20160711","","01","영업/정상","01","영업","","","","","051 243 5555","6,316.44","600808","부산광역시 중구 부평동3가 40-5번지","부산광역시 중구 흑교로 19 (부평동3가)","48976","지엔비 호텔","20200302171344","U","2020-03-04 02:40:00.0","일반호텔","384554.124878722","179893.440118679","일반호텔","0","0","1","10","0","0","0","102","0","N","0","","","","","0","","","0","0","N",
"23","숙박업","03_11_03_P","3250000","3250000-201-2015-00004","20150629","","01","영업/정상","01","영업","","","","","051  2450055","1,952.45","600031","부산광역시 중구 광복동1가 33번지","부산광역시 중구 광복로97번안길 5 (광복동1가)","48952","WA(와)호텔","20190807154842","U","2019-08-09 02:40:00.0","일반호텔","385486.676145371","179669.171089814","일반호텔","0","0","1","8","0","0","0","41","0","N","0","","","","","0","","","0","0","N",
"24","숙박업","03_11_03_P","3250000","3250000-201-2017-00003","20170327","","01","영업/정상","01","영업","","","","","","60.65","600811","부산광역시 중구 영주동 20-10번지","부산광역시 중구 초량중로 8-1 (영주동)","48911","책앤아웃 호스텔","20180709162719","I","2018-08-31 23:59:59.0","관광호텔","385580.190350614","181198.150720904","관광호텔","4","1","2","2","0","0","0","2","0","N","0","","","","","0","0","0","0","0","N",
"25","숙박업","03_11_03_P","3250000","3250000-201-2010-00001","20101231","","01","영업/정상","01","영업","","","","","051 2578255","2,955.93","600808","부산광역시 중구 부평동3가 52-2 외 1필지 (51-1)","부산광역시 중구 흑교로 7 (부평동3가, 외 1필지(51-1))","48976","호텔보브","20200928132124","U","2020-09-30 02:40:00.0","일반호텔","384548.619100728","179777.322082389","일반호텔","0","0","0","0","0","0","0","46","0","N","0","","","","","0","","","0","0","N",
"26","숙박업","03_11_03_P","3250000","3250000-201-1968-00022","19680216","","01","영업/정상","01","영업","","","","","051 4697001","150.00","600014","부산광역시 중구 중앙동4가 55-4번지 ,11","부산광역시 중구 해관로 76-1 (중앙동4가, 55-4,11)","48929","서울모텔","20191129161840","U","2019-12-01 02:40:00.0","여관업","385525.484306479","180410.159817307","여관업","0","0","0","0","0","0","7","11","0","N","0","","","","임대","0","","","0","0","N",
"27","숙박업","03_11_03_P","3250000","3250000-201-2012-00006","20121226","","01","영업/정상","01","영업","","","","","051 2463641","1,943.67","600045","부산광역시 중구 남포동5가 46번지 외 1필지","부산광역시 중구 자갈치로47번길 5-6 (남포동5가, 외 1필지)","48983","모텔 갤러리 지","20190703095425","U","2019-07-05 02:40:00.0","여관업","384935.096512843","179494.036404419","여관업","6","1","1","6","1","1","2","40","0","N","0","","","","자가","0","","","0","0","N",
"28","숙박업","03_11_03_P","3250000","3250000-201-1980-00017","19801018","","01","영업/정상","01","영업","","","","","051 2460986","700.60","600046","부산광역시 중구 남포동6가 115-7번지","부산광역시 중구 자갈치로 17 (남포동6가)","48982","태양장","20190702110914","U","2019-07-04 02:40:00.0","여관업","384696.294962967","179379.777289259","여관업","0","0","0","0","0","0","6","13","38","N","0","","","","임대","0","","","0","0","N",
"29","숙박업","03_11_03_P","3250000","3250000-214-2017-00003","20170731","","01","영업/정상","01","영업","","","","","","975.88","600092","부산광역시 중구 대청동2가 23-3번지","부산광역시 중구 광복로49번길 38 (대청동2가)","48948","케이 칠구(K79)","20190725095449","U","2019-07-27 02:40:00.0","숙박업(생활)","385067.377685647","180051.521913823","숙박업(생활)","5","1","1","3","0","0","0","16","0","N","0","","","","","0","0","0","0","0","N",
"30","숙박업","03_11_03_P","3250000","3250000-201-2017-00006","20170810","","01","영업/정상","01","영업","","","","","051244 0088","1,619.94","600092","부산광역시 중구 대청동2가 30-17번지 1~8층","부산광역시 중구 용두산길 12 (대청동2가)","48949","호텔콘트","20180816101238","I","2018-08-31 23:59:59.0","일반호텔","385154.241541568","179974.344376341","일반호텔","8","1","1","8","0","0","0","39","0","N","0","","","","","0","0","0","0","0","N",
"31","숙박업","03_11_03_P","3250000","3250000-201-2017-00007","20170814","","01","영업/정상","01","영업","","","","","051 7957700","4,437.88","600045","부산광역시 중구 남포동5가 56-1번지","부산광역시 중구 구덕로 53, 2~15층 (남포동5가)","48983","스탠포드 인 부산","20171123163721","I","2018-08-31 23:59:59.0","관광호텔","385027.185256483","179533.749700374","관광호텔","15","2","2","15","0","0","0","132","0","N","0","","","","","0","0","0","0","0","N",
"32","숙박업","03_11_03_P","3250000","3250000-201-2013-00001","20130102","","01","영업/정상","01","영업","","","","","","99.88","600012","부산광역시 중구 중앙동2가 52-2 (2층)","부산광역시 중구 중앙대로49번길 13, 2층 (중앙동2가)","48956","부산 파티 게스트하우스","20211111162809","U","2021-11-13 02:40:00.0","숙박업 기타","385473.034342809","179977.761259469","숙박업 기타","5","0","2","2","0","0","0","5","0","N","0","","","","","0","0","0","0","0","N",
"33","숙박업","03_11_03_P","3250000","3250000-201-2017-00008","20170825","","01","영업/정상","01","영업","","","","","","341.53","600022","부산광역시 중구 동광동2가 11-46번지","부산광역시 중구 대청로126번길 34 (동광동2가)","48951","비엔비 펜션(BnB)","20190425135922","U","2019-04-27 02:40:00.0","숙박업 기타","385424.706778978","179773.82093794","숙박업 기타","5","1","2","5","0","0","1","10","0","N","0","","","","","0","0","0","0","0","N",
"34","숙박업","03_11_03_P","3250000","3250000-201-1980-00091","19801127","","01","영업/정상","01","영업","","","","","051246 3811","287.10","600046","부산광역시 중구 남포동6가 70-1번지","부산광역시 중구 구덕로 80-1 (남포동6가)","48981","보성모텔","20191231161508","U","2020-01-02 02:40:00.0","여관업","384753.199628495","179507.305075845","여관업","4","1","2","4","0","0","0","18","0","N","0","","","","자가","0","","","0","0","N",
"35","숙박업","03_11_03_P","3250000","3250000-201-2013-00004","20131219","","01","영업/정상","01","영업","","","","","","397.60","600022","부산광역시 중구 동광동2가 10-4 외1필지","부산광역시 중구 광복로85번길 15-1 (동광동2가)","48951","코끼리","20220607112815","U","2022-06-09 02:40:00.0","숙박업 기타","385462.903261729","179747.780053004","숙박업 기타","4","1","3","4","0","0","0","14","0","N","0","","","","임대","0","0","0","0","0","N",
"36","숙박업","03_11_03_P","3250000","3250000-201-1977-00086","19771210","","01","영업/정상","01","영업","","","","","051 2461560","354.38","600045","부산광역시 중구 남포동5가 89번지","부산광역시 중구 자갈치로47번길 5-15 (남포동5가)","48983","부국모텔","20191217113529","U","2019-12-19 02:40:00.0","여관업","384913.073610199","179466.145826958","여관업","0","0","0","0","0","0","9","10","0","N","0","","","","임대","0","","","0","0","N",
"37","숙박업","03_11_03_P","3250000","3250000-201-2014-00002","20140402","","01","영업/정상","01","영업","","","","","051 245 1255","862.88","600061","부산광역시 중구 신창동1가 1-3 외 1필지","부산광역시 중구 광복중앙로 33 (신창동1가)","48948","넨네(nenne)","20201218172425","U","2020-12-20 02:40:00.0","여관업","385074.807762192","180030.905431406","여관업","6","2","4","5","0","0","0","24","0","N","0","","","","임대","0","","","0","0","N",
"38","숙박업","03_11_03_P","3250000","3250000-201-2014-00005","20141022","","01","영업/정상","01","영업","","","","","051 256 1121","480.48","600031","부산광역시 중구 광복동1가 5-2","부산광역시 중구 광복로85번길 12 (광복동1가)","48952","이코노미&24게스트","20220608113449","U","2022-06-10 02:40:00.0","일반호텔","385443.569588181","179703.762350063","일반호텔","5","1","3","5","0","0","0","25","0","N","0","","","","임대","0","2","3","0","0","N",
"39","숙박업","03_11_03_P","3250000","3250000-201-1960-00078","19601121","","01","영업/정상","01","영업","","","","","051 4694115","126.00","600811","부산광역시 중구 영주동 639-2번지","부산광역시 중구 대영로242번길 18-7 (영주동)","48923","더로찌","20190617094826","U","2019-06-19 02:40:00.0","여관업","385597.257131392","180942.750638242","여관업","0","0","0","0","0","0","2","15","0","N","0","","","","","0","","","0","0","N",
"40","숙박업","03_11_03_P","3250000","3250000-201-1977-00085","19771201","","01","영업/정상","01","영업","","","","","051 2462066","76.55","600045","부산광역시 중구 남포동5가 58-1번지","부산광역시 중구 자갈치로59번길 5-22","48983","삼원장","20190709175936","U","2019-07-11 02:40:00.0","여관업","385046.391000159","179528.650689343","여관업","0","0","0","0","0","0","4","9","0","N","0","","","","임대","0","","","0","0","N",
"41","숙박업","03_11_03_P","3250000","3250000-201-1970-00098","19700119","","01","영업/정상","01","영업","","","","","051 2567090","75.79","600046","부산광역시 중구 남포동6가 93-4번지","부산광역시 중구 중구로5번길 10 (남포동6가)","48981","그린 힐","20180727170127","I","2018-08-31 23:59:59.0","여관업","384773.037525459","179551.704185154","여관업","0","0","0","0","0","0","5","8","0","N","0","","","","자가","0","","","0","0","N",
"42","숙박업","03_11_03_P","3250000","3250000-201-2004-00001","20041207","","01","영업/정상","01","영업","","","","","051 2442860","1,213.50","600042","부산광역시 중구 남포동2가 25-10 (11,12층)","부산광역시 중구 구덕로34번길 4, 11,12층 (남포동2가)","48954","호텔 린","20211209180325","U","2021-12-11 02:40:00.0","여관업","385243.158543667","179580.295176299","여관업","13","2","11","12","0","0","0","27","0","N","0","","","","임대","0","0","0","0","0","N",
"43","숙박업","03_11_03_P","3250000","3250000-201-1971-00043","19710626","","01","영업/정상","01","영업","","","","","051 2457381",".00","600022","부산광역시 중구 동광동2가 12-20번지","부산광역시 중구 대청로126번길 29 (동광동2가)","48951","동산여인숙","20191220142028","U","2019-12-22 02:40:00.0","여인숙업","385434.291457407","179809.845845631","여인숙업","0","0","0","0","0","0","10","0","0","N","0","","","","임대","0","","","0","0","N",
"44","숙박업","03_11_03_P","3250000","3250000-201-2015-00002","20150429","","01","영업/정상","01","영업","","","","","051 257 1644","759.91","600045","부산광역시 중구 남포동5가 104-1","부산광역시 중구 자갈치로48번길 3 (남포동5가)","48983","테라게스트하우스2","20211215141314","U","2021-12-17 02:40:00.0","숙박업 기타","385024.485375473","179430.059989821","숙박업 기타","0","0","7","0","0","0","0","17","0","N","0","","","","","0","0","0","0","0","N",
"45","숙박업","03_11_03_P","3250000","3250000-201-1997-00143","19970130","","01","영업/정상","01","영업","","","","","051 2459939","342.41","600805","부산광역시 중구 부평동1가 41-6","부산광역시 중구 광복로12번길 3-2 (부평동1가)","48980","마이호스텔 남포점","20220405104452","U","2022-04-07 02:40:00.0","여관업","384716.334503079","179653.819011529","여관업","0","0","0","0","0","0","2","16","0","N","0","","","","임대","0","0","0","0","0","N",
"46","숙박업","03_11_03_P","3250000","3250000-201-2015-00003","20150514","","01","영업/정상","01","영업","","","","","","226.62","600016","부산광역시 중구 중앙동6가 70-1 주경빌딩 701호","부산광역시 중구 중앙대로 24, 7층 701호 (중앙동6가, 주경빌딩)","48942","휴플러스 게스트하우스","20211209180440","U","2021-12-11 02:40:00.0","숙박업 기타","385662.277196875","179743.402544854","숙박업 기타","10","0","7","7","0","0","0","11","0","N","0","","","","임대","0","0","1","0","0","N",
"47","숙박업","03_11_03_P","3250000","3250000-201-2012-00003","20120518","","01","영업/정상","01","영업","","","","","07073795333","198.40","600044","부산광역시 중구 남포동4가 6-1 (5층)","부산광역시 중구 구덕로 43, 5층 (남포동4가)","48984","오렌지 게스트하우스","20211215141624","U","2021-12-17 02:40:00.0","숙박업 기타","385110.907309545","179543.266252324","숙박업 기타","5","1","5","5","0","0","1","5","0","N","0","","","","임대","0","0","0","0","0","N",
"48","숙박업","03_11_03_P","3250000","3250000-214-2016-00001","20161026","","01","영업/정상","01","영업","","","","","051 231 2313","458.19","600033","부산광역시 중구 광복동3가 5-51","부산광역시 중구 광복로67번길 30-13 (광복동2가)","","이지스테이(EZSTAY)","20200714162834","U","2020-07-16 02:40:00.0","숙박업(생활)","385166.620136081","179745.075475293","숙박업(생활)","5","0","3","5","0","0","0","19","0","N","0","","","","임대","0","0","0","0","0","N",
"49","숙박업","03_11_03_P","3250000","3250000-201-1990-00026","19900831","","01","영업/정상","01","영업","","","","","051 2486683","552.50","600023","부산광역시 중구 동광동3가 8-1번지","부산광역시 중구 대청로134번길 8 (동광동3가)","48955","태양모텔","20190816133107","U","2019-08-18 02:40:00.0","여관업","385440.124335732","180017.181305646","여관업","0","0","0","0","0","0","3","18","21","N","0","","","","임대","0","","","0","0","N",
"50","숙박업","03_11_03_P","3250000","3250000-201-2002-00008","20021202","","01","영업/정상","01","영업","","","","","051 2414008","1,691.81","600023","부산광역시 중구 동광동3가 46","부산광역시 중구 대청로126번길 22 (동광동3가)","48951","호텔엘리제","20201223163123","U","2020-12-25 02:40:00.0","일반호텔","385389.22476305","179885.626488173","일반호텔","2","0","0","0","0","0","3","38","0","N","0","","","","","0","","","0","0","N",
"51","숙박업","03_11_03_P","3250000","3250000-201-2001-00001","20010816","","01","영업/정상","01","영업","","","","","051 2471030","1,260.00","600022","부산광역시 중구 동광동2가 11-10","부산광역시 중구 대청로126번길 33 (동광동2가)","48951","호텔야자(남포롯데점)","20220426104307","U","2022-04-28 02:40:00.0","일반호텔","385445.013981075","179762.782585035","일반호텔","8","0","1","7","0","0","0","35","0","N","0","","","","자가","0","0","0","0","0","N",
"52","숙박업","03_11_03_P","3250000","3250000-201-1978-00004","19781106","","01","영업/정상","01","영업","","","","","051 4669101",".00","600811","부산광역시 중구 영주동 742-13","부산광역시 중구 중구로 151 (영주동)","48912","주식회사 코모도호텔","20211001145245","U","2021-10-03 02:40:00.0","관광호텔","385475.543050054","180776.200989752","관광호텔","0","0","0","0","0","0","10","302","0","N","0","","","","자가","0","","","0","0","N",
"53","숙박업","03_11_03_P","3250000","3250000-201-2015-00007","20151007","","01","영업/정상","01","영업","","","","","051 243 9991","492.90","600023","부산광역시 중구 동광동3가 47-4","부산광역시 중구 중앙대로41번길 24 (동광동3가)","48951","폭시모텔","20220428142156","U","2022-04-30 02:40:00.0","여관업","385373.593532709","179876.93940438","여관업","0","0","1","5","0","0","0","19","0","N","0","","","","","0","0","0","0","0","N",
"54","숙박업","03_11_03_P","3250000","3250000-201-1967-00052","19670413","","01","영업/정상","01","영업","","","","","051 4696088","95.00","600093","부산광역시 중구 대청동3가 6-3번지","부산광역시 중구 중구로62번길 6 (대청동3가)","48933","로얄장","20181119101105","U","2018-11-21 02:36:21.0","여관업","384905.923719331","180117.385800932","여관업","0","0","0","0","0","0","10","3","10","N","0","","","","","0","","","0","0","N",
"55","숙박업","03_11_03_P","3250000","3250000-201-2017-00009","20170905","","01","영업/정상","01","영업","","","","","051 2432900","1,013.96","600041","부산광역시 중구 남포동1가 35-1 2~8층","부산광역시 중구 용미길9번길 6-9, 2~8층 (남포동1가)","48984","호텔 모모","20210420141413","U","2021-04-22 02:40:00.0","일반호텔","385535.026357882","179412.642664885","일반호텔","8","1","2","8","0","0","2","33","0","N","0","","","","","0","0","0","0","0","N",
"56","숙박업","03_11_03_P","3250000","3250000-201-1987-00067","19870724","","01","영업/정상","01","영업","","","","","051 4413385","266.32","600811","부산광역시 중구 영주동 743-14","부산광역시 중구 중구로 158 (영주동)","48923","지호텔","20220421134843","U","2022-04-23 02:40:00.0","여관업","385549.506335247","180779.871358922","여관업","0","0","0","0","0","0","2","15","0","N","0","","","","임대","0","","","0","0","N",
"57","숙박업","03_11_03_P","3250000","3250000-214-2016-00002","20161213","","01","영업/정상","01","영업","","","","","070 88483650","881.00","600042","부산광역시 중구 남포동2가 36-22번지","부산광역시 중구 남포길 40-2 (남포동2가)","48954","케이게스트하우스 남포","20191021100702","U","2019-10-23 02:40:00.0","숙박업(생활)","385312.312730328","179550.919611538","숙박업(생활)","10","0","7","10","0","0","0","42","0","N","0","","","","임대","0","0","0","0","0","N",
"58","숙박업","03_11_03_P","3250000","3250000-201-1983-00132","19830629","","01","영업/정상","01","영업","","","","","051 2457254",".00","600044","부산광역시 중구 남포동4가 39-12번지","부산광역시 중구 자갈치로 64-12 (남포동4가)","48984","대성여인숙","20191127161841","U","2019-11-29 02:40:00.0","여인숙업","385132.583293088","179463.554858841","여인숙업","0","0","0","0","0","0","13","0","0","N","0","","","","임대","0","","","0","0","N",
"59","숙박업","03_11_03_P","3250000","3250000-201-1989-00134","19891025","","01","영업/정상","01","영업","","","","","051 2473334","384.28","600809","부산광역시 중구 부평동3가 76-1","부산광역시 중구 흑교로35번길 7 (부평동3가)","48975","금강장","20220428142041","U","2022-04-30 02:40:00.0","여관업","384521.036351337","180037.250526698","여관업","0","0","0","0","0","0","6","10","0","N","0","","","","자가","0","0","0","0","0","N",
"60","숙박업","03_11_03_P","3250000","3250000-201-2002-00002","20020109","","01","영업/정상","01","영업","","","","","051 243 8507","210.00","600046","부산광역시 중구 남포동6가 35","부산광역시 중구 자갈치로 27-1 (남포동6가)","48982","대광모텔","20220614102248","U","2022-06-16 02:40:00.0","여관업","384780.249943518","179424.925984238","여관업","0","0","0","0","0","0","2","15","0","N","0","","","","임대","0","","","0","0","N",
"61","숙박업","03_11_03_P","3250000","3250000-201-2017-00010","20171215","","01","영업/정상","01","영업","","","","","051 464 8531","3,128.85","600092","부산광역시 중구 대청동2가 7-1","부산광역시 중구 대청로 107 (대청동2가)","48933","넘버25시그니처호텔 대청점","20210401163027","U","2021-04-03 02:40:00.0","관광호텔","385176.391700712","180113.825158361","관광호텔","6","2","1","6","0","0","0","60","0","N","0","","","","","0","","","0","0","N",
