"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","법인구분명","구분명",
"11","무료직업소개소","11_50_01_P","3270000","2005327004611200001","20050128","","01","영업/정상","20","영업중","","","","","051  6319199","","","부산광역시 동구 초량3동 1144번지 7호","부산광역시 동구 중앙대로 311 (초량동)","601836","부산광역시일일취업안내소","20220118195644","U","2022-01-20 02:40:00.0","","386283.263686772","182506.669324875","개인","무료",
"12","무료직업소개소","11_50_01_P","3270000","2013327008614500003","20121127","","01","영업/정상","20","영업중","","","","","051  5179669","","","부산광역시 동구 초량동 1203번지 2호","부산광역시 동구  중앙대로196번길  12-3 (초량동)","601011","(사)한국여성장애인연합 부산여성장애인연대","20211112180645","U","2021-11-14 02:40:00.0","","385975.003472523","181329.805166114","법인","무료",
"13","무료직업소개소","11_50_01_P","3270000","2013327008814500001","20131030","","01","영업/정상","20","영업중","","","","","051 464 9882","","","부산광역시 동구 초량동 1143번지 13호","부산광역시 동구  중앙대로  319 (초량동)","601013","동구여성인력개발센터","20211112175332","U","2021-11-14 02:40:00.0","","386328.536513895","182601.921680056","법인","무료",
"14","무료직업소개소","11_50_01_P","3270000","2017327008614500006","20170327","","01","영업/정상","20","영업중","","","","","051 462 2017","","","","부산광역시 동구 초량중로 131, 2, 3층 (수정동, 부산 중앙 새일교회)","48794","동구쪽방상담소","20211112175152","U","2021-11-14 02:40:00.0","","386017.811689521","182366.283416987","개인","무료",
"15","무료직업소개소","11_50_01_P","3270000","2018327008614500007","20180626","","01","영업/정상","20","영업중","","","","","0514661425","","","","부산광역시 동구 진성로 24, 2층층 (수정동)","48774","부산일자리지원단 사회적협동조합","20180626103923","I","2018-08-31 23:59:59.0","","386533.281873436","183200.621102452","법인","무료",
"16","무료직업소개소","11_50_01_P","3270000","2014327008814500001","20090916","","01","영업/정상","20","영업중","","","","","051 863 0650","","","부산광역시 동구 초량동 1203번지 2호","부산광역시 동구 중앙대로196번길 12-3, 9층 (초량동, 부산장애인종합회관)","601839","부산장애인총연합회 취업지원센터","20211112180749","U","2021-11-14 02:40:00.0","","385975.003472523","181329.805166114","법인","무료",
"17","무료직업소개소","11_50_01_P","3270000","2017327008614500004","20080616","","01","영업/정상","20","영업중","","","","","051 647 0441","","","부산광역시 동구 범일동 830번지 140호 1102호","부산광역시 동구 조방로 14, 11층 1102호 (범일동, 동일타워)","48741","(사)부산경영자총협회무료직업소개소","20211224091920","U","2021-12-26 02:40:00.0","","387991.858940226","184124.742260293","법인","무료",
"18","무료직업소개소","11_50_01_P","3270000","2000327004611200001","20001229","","03","폐업","40","폐업","","","","","","","","부산광역시 금정구 서동 3951호","","","부산지역일일취업안내소","20050120094705","I","2018-08-31 23:59:59.0","","","","개인","무료",
"19","무료직업소개소","11_50_01_P","3270000","2014327008814500002","20100409","","03","폐업","40","폐업","20160311","","","","051 552 1597","","601839","부산광역시 동구 초량동 1203번지 2호","부산광역시 동구 중앙대로196번길 12-3, 7층 (초량동, 부산장애인종합회관)","601839","사)부산시장애인지역법인연합회","20160311170335","I","2018-08-31 23:59:59.0","","385975.003472523","181329.805166114","법인","무료",
"20","무료직업소개소","11_50_01_P","3270000","2016327008614500001","20101216","","03","폐업","40","폐업","20180125","","","","051 927 9940","","","부산광역시 동구 범일동 105번지 1호","부산광역시 동구 중앙대로 501-1 (범일동)","48723","재단법인부산인재개발원","20200123102952","U","2020-01-25 02:40:00.0","","387320.358482696","184030.727744888","법인","무료",
"21","무료직업소개소","11_50_01_P","3270000","2007327006911200001","20070403","","03","폐업","40","폐업","20161231","","","","051 463 7709","","","부산광역시 동구 수정동 345번지 5호","부산광역시 동구 고관로 67 (수정동)","48793","새희망고용지원센터","20161230114845","I","2018-08-31 23:59:59.0","","386248.777335326","182584.074714787","법인","무료",
"22","무료직업소개소","11_50_01_P","3270000","2010327006914500001","20080325","","03","폐업","40","폐업","20201231","","","","051  4659057","","","부산광역시 동구 초량동 1203번지 2호 부산장애인종합회관  8층","부산광역시 동구 중앙대로196번길 12-3, 8층 (초량동, 부산장애인종합회관)","601839","부산장애인취업알선센터","20210114174702","U","2021-01-16 02:40:00.0","","385975.003472523","181329.805166114","법인","무료",
"23","무료직업소개소","11_50_01_P","3270000","2012327008614500004","20121213","","03","폐업","40","폐업","20210622","","","","051 714 6099","","","부산광역시 동구 수정동 361번지 1호","부산광역시 동구  초량상로  161 (수정동)","601814","동구시니어클럽","20210622173744","U","2021-06-24 02:40:00.0","","386176.962346752","182445.321302499","법인","무료",
"24","무료직업소개소","11_50_01_P","3270000","2012327008814500007","20120503","","03","폐업","40","폐업","20141231","","","","051 442 3824","","601837","부산광역시 동구 초량3동 1158번지 1호 부산광역시간호사회 3층","부산광역시 동구 중앙대로308번길 4 (초량동)","601837","대한간호협회 부산광역시간호사회 취업정보센터","20150105144333","I","2018-08-31 23:59:59.0","","386327.400478702","182409.048760802","법인","무료",
"25","무료직업소개소","11_50_01_P","3280000","2011328009214500002","20111014","","01","영업/정상","20","영업중","","","","","","","","부산광역시 영도구 봉래동2가 112-11 봉래나루 다누리센터","부산광역시 영도구 대교로46번길 50, 봉래나루 다누리센터 4층 (봉래동2가)","49003","영도시니어클럽무료직업소개소","20200703093320","U","2020-07-05 02:40:00.0","","386217.527715799","179259.920934106","법인","무료",
"26","무료직업소개소","11_50_01_P","3280000","2008328006814500002","20080313","","03","폐업","40","폐업","20140120","","","","051 403 4032","","606080","부산광역시 영도구 동삼동 1121번지 주공아파트 상가내","부산광역시 영도구 동삼북로 2, 상가동 (동삼동, 주공아파트 )","606761","가람직업소개소","20140120144737","I","2018-08-31 23:59:59.0","","388488.108654569","177979.767286958","법인","무료",
"27","무료직업소개소","11_50_01_P","3280000","2010328006814500001","20100211","","03","폐업","40","폐업","20130821","","","","051 412 0191","","606011","부산광역시 영도구 대교동1가 24번지 2호 화평복지관","부산광역시 영도구 태종로50번길 15 (대교동1가, 화평복지관)","606011","화평무료직업안내소","20130821104823","I","2018-08-31 23:59:59.0","","385670.030376422","179027.029516614","법인","무료",
"28","무료직업소개소","11_50_01_P","3290000","2019329012814500019","20130213","","01","영업/정상","20","영업중","","","","","051 600 1786","","","부산광역시 연제구 연산동 702-1 프라임시티","부산광역시 연제구 중앙대로 1090, 프라임시티 (연산동)","47596","(재)부산경제진흥원 부산청년일자리센터","20220531151148","U","2022-06-02 02:40:00.0","","389488.706833663","189270.776461837","법인","무료",
"29","무료직업소개소","11_50_01_P","3290000","2017329012814500014","20071212","","01","영업/정상","20","영업중","","","","","051  8177777","","","부산광역시 부산진구 범천동 721번지 114호","부산광역시 부산진구 범일로 138, 3층 (범천동)","47365","(사)한국인재뱅크 무료직업소개소","20170809102936","I","2018-08-31 23:59:59.0","","387630.134345922","184506.646398136","법인","무료",
"30","무료직업소개소","11_50_01_P","3290000","2022329014414500001","20220111","","01","영업/정상","20","영업중","","","","","","","","","부산광역시 부산진구 부전로 29, KT&G부산부전지사 5층 (부전동)","47290","사단법인 부산청년정책연구원","20220111153912","I","2022-01-13 00:22:41.0","","387280.619672939","185679.050795793","법인","무료",
"31","무료직업소개소","11_50_01_P","3290000","1999329007411200001","19990730","","01","영업/정상","20","영업중","","","","","","","614800","부산광역시 부산진구 가야1동 1번지 5호","부산광역시 부산진구 가야대로673번길 4 (가야동)","614800","부산실업극복지원센터무료직업소개소","20160317094742","I","2018-08-31 23:59:59.0","","386311.667888196","186088.156846175","개인","무료",
"32","무료직업소개소","11_50_01_P","3290000","2005329007411200001","20050221","","01","영업/정상","20","영업중","","","","","","","614876","부산광역시 부산진구 부전2동 467번지 1호 영동플라자 2층","부산광역시 부산진구 부전로 94, 2층 (부전동, 영동플라자)","614876","부산진여성인력개발센터","20220527100121","U","2022-05-29 02:40:00.0","","387175.586671612","186301.987408465","법인","무료",
"33","무료직업소개소","11_50_01_P","3290000","2011329009114500019","20111014","","01","영업/정상","20","영업중","","","","","051 868 3511","","614854","부산광역시 부산진구 양정2동 260번지 1호","부산광역시 부산진구 동평로405번길 97 (양정동)","614854","(사)정암100세누리교육문화원취업센터","20111110102519","I","2018-08-31 23:59:59.0","","388698.594636917","188468.292337914","법인","무료",
"34","무료직업소개소","11_50_01_P","3290000","2012329009114500012","20120809","","01","영업/정상","20","영업중","","","","","051  9907075","","","","부산광역시 부산진구 황령대로 24 (범천동)","614721","부산상공회의소","20220628150727","U","2022-06-30 02:40:00.0","","387857.937824204","185118.293794737","법인","무료",
"35","무료직업소개소","11_50_01_P","3290000","2017329012814500005","20170228","","01","영업/정상","20","영업중","","","","","051 893 9060","","","부산광역시 부산진구 가야동 601-7","부산광역시 부산진구 가야공원로40번길 14(가야동)","47382","부산진시니어클럽","20220603132654","U","2022-06-05 02:40:00.0","","384826.642663206","185282.32609865","법인","무료",
"36","무료직업소개소","11_50_01_P","3290000","2017329012814500006","20170302","","01","영업/정상","20","영업중","","","","","051 463 1127","","","","부산광역시 부산진구 동천로108번길 14, 3층 (전포동)","47247","부산희망등대종합지원센터","20170302110236","I","2018-08-31 23:59:59.0","","387920.533877212","186280.223688419","법인","무료",
"37","무료직업소개소","11_50_01_P","3290000","2021329014414500013","20180626","","01","영업/정상","20","영업중","","","","","0514661425","","","부산광역시 해운대구 우동 760번지 3호 오션타워","부산광역시 해운대구 해운대해변로 203, 오션타워 1926호 (우동)","48093","부산일자리지원단 사회적협동조합","20210913160036","I","2021-09-15 00:22:49.0","","396180.621244719","186522.35047527","법인","무료",
"38","무료직업소개소","11_50_01_P","3290000","2021329014414500012","20180626","","01","영업/정상","20","영업중","","","","","0514661425","","","부산광역시 부산진구 양정동 352-2","부산광역시 부산진구 중앙대로 918-1, 2층 (양정동)","47222","부산일자리지원단 사회적협동조합","20210901131949","I","2021-09-03 00:22:50.0","","388585.244815914","187817.1628285","법인","무료",
"39","무료직업소개소","11_50_01_P","3290000","2021329014414500009","20210427","","01","영업/정상","20","영업중","","","","","0514419710","","","","부산광역시 부산진구 연제로27번길 34 (양정동)","47217","(사)부산광역시아동복지협회 부산광역시보호아동자립지원센터","20210511155048","U","2021-05-13 02:40:00.0","","389067.257543011","188292.458723319","법인","무료",
"40","무료직업소개소","11_50_01_P","3290000","2021329014414500003","20210202","","01","영업/정상","20","영업중","","","","","0518651988","","","","부산광역시 부산진구 중앙대로 852, 4층 (전포동)","47233","대한노인회 부산광역취업지원센터","20211027172317","U","2021-10-29 02:40:00.0","","","","법인","무료",
"41","무료직업소개소","11_50_01_P","3290000","1997329008111200001","19970726","","03","폐업","40","폐업","","","","","","","","부산광역시 부산진구 초읍동 349호 19통 6반 대림파크빌 102 801","부산광역시 부산진구 성지곡로16번길 11, 102동 801호 (초읍동,대림파크빌)","","부산상공회의소무료직업소개소","20061106160022","I","2018-08-31 23:59:59.0","","386499.978621233","189154.626773947","법인","무료",
"42","무료직업소개소","11_50_01_P","3290000","1998329008111200001","19981222","","03","폐업","40","폐업","20131230","","","","","","614865","부산광역시 부산진구 전포2동 635번지 13호","부산광역시 부산진구 서전로47번길 59 (전포동)","614865","대한건설기계협회부산광역시지회무료직업소개소","20131230163901","I","2018-08-31 23:59:59.0","","388052.256602937","186545.289413642","법인","무료",
"43","무료직업소개소","11_50_01_P","3290000","1996329008114500001","20080416","","03","폐업","40","폐업","20080417","","","","005104670441","","614020","부산광역시 부산진구 범천동 853번지 1호","부산광역시 부산진구 황령대로 24 (범천동)","","부산경영자협회 무료직업소개소","20080423142303","I","2018-08-31 23:59:59.0","","387857.937824204","185118.293794737","법인","무료",
"44","무료직업소개소","11_50_01_P","3290000","2006329007411200001","20060314","","03","폐업","40","폐업","20091006","","","","","","","부산광역시 부산진구 양정동 509번지 2호 1통 5반","부산광역시 부산진구 동평로 353 (양정동)","","(사)부산여성NGO연합회","20091006142737","I","2018-08-31 23:59:59.0","","387956.866161638","188167.591220157","법인","무료",
"45","무료직업소개소","11_50_01_P","3290000","2007329008114500006","20071024","","03","폐업","40","폐업","20091229","","","","005108668633","","614854","부산광역시 부산진구 양정동 270번지 2호","부산광역시 부산진구 중앙대로970번길 8 (양정동)","","대한민국고엽제전우회부산지부","20091229094005","I","2018-08-31 23:59:59.0","","388852.997044082","188239.045485766","법인","무료",
"46","무료직업소개소","11_50_01_P","3290000","2008329008114500002","20080128","","03","폐업","40","폐업","20091127","","","","005108095533","","614041","부산광역시 부산진구 전포동 680번지 6호","부산광역시 부산진구 서전로46번길 40 (전포동)","","(사)한국청년센터부산지부무료직업소개소","20091127101652","I","2018-08-31 23:59:59.0","","388066.723812959","186038.746069","법인","무료",
"47","무료직업소개소","11_50_01_P","3290000","2013329010814500004","20130419","","03","폐업","40","폐업","20200514","","","","1688579","","","부산광역시 부산진구 전포동 358번지 55호 (구)동성중학교 3층","부산광역시 부산진구 동성로 20, 3층 (전포동, (구)동성중학교 3층)","614863","(사)문화콘텐츠개발원","20200514153432","U","2020-05-16 02:40:00.0","","388474.552989933","185604.046576531","법인","무료",
"48","무료직업소개소","11_50_01_P","3290000","2017329012814500004","20170223","","03","폐업","40","폐업","20220525","","","","051 315 7535","","","","부산광역시 부산진구 황령대로 24, 10층 (범천동, 부산상공회의소)","47354","부산고용포럼(원스톱취업지원센터)","20220525140928","U","2022-05-27 02:40:00.0","","387857.937824204","185118.293794737","법인","무료",
"49","무료직업소개소","11_50_01_P","3300000","2007330006111200001","20070307","","01","영업/정상","20","영업중","","","","","051 503 7268","","","","부산광역시 동래구 충렬대로126번길 5 (온천동)","607836","부산동래여성인력개발센터 직업소개소","20201027094256","U","2020-10-29 02:40:00.0","","388838.759211583","191576.585169793","법인","무료",
"50","무료직업소개소","11_50_01_P","3300000","2010330007314500001","20100205","","03","폐업","40","폐업","20160510","","","","051 864 2603","","607830","부산광역시 동래구 안락동 628번지 52호","부산광역시 동래구 연안로59번길 99 (안락동)","607830","이주여성 직업소개소","20160510100516","I","2018-08-31 23:59:59.0","","391454.047375749","190421.628982307","법인","무료",
"51","무료직업소개소","11_50_01_P","3300000","2011330007914500006","20110421","","03","폐업","40","폐업","20121024","","","","051 506 0146","","607842","부산광역시 동래구 온천3동 1421번지 6호","부산광역시 동래구 아시아드대로 256-6 (온천동)","","부산보현의집","20121024125808","I","2018-08-31 23:59:59.0","","388347.330769406","191608.852890474","법인","무료",
"52","무료직업소개소","11_50_01_P","3300000","2013330007914500002","20130219","","03","폐업","40","폐업","20130709","","","","","","607834","부산광역시 동래구 온천1동 442번지 11호","부산광역시 동래구 금강로 70 (온천동)","607834","사)다문화네트워크 부산지부","20130709153117","I","2018-08-31 23:59:59.0","","389111.863918903","192648.723039211","법인","무료",
"53","무료직업소개소","11_50_01_P","3300000","2015330007914500001","20150303","","03","폐업","40","폐업","20210611","","","","051 5221262","","","","부산광역시 동래구 반송로 206, 2층 (안락동)","607827","부산동래시니어클럽","20210611142954","U","2021-06-13 02:40:00.0","","390947.126368623","190889.352493263","법인","무료",
"54","무료직업소개소","11_50_01_P","3310000","2019331010014500003","20190215","","01","영업/정상","20","영업중","","","","","051 611 1002","","","부산광역시 남구 대연동 1552 부산예술대학","부산광역시 남구 못골번영로71번길 74, 부산예술대학 강의3동 3층 D3313호 (대연동)","48429","유엔PEC사회적협동조합","20210209173901","U","2021-02-11 02:40:00.0","","389930.126188248","184550.238231897","법인","무료",
"55","무료직업소개소","11_50_01_P","3310000","2013331008814500003","20130508","","01","영업/정상","20","영업중","","","","","051 623 6090","","","","부산광역시 남구 신선로 428 (용당동)","608711","부산남구시니어클럽","20200730142831","U","2020-08-01 02:40:00.0","","391752.63503200000","182949.11294300000","법인","무료",
"56","무료직업소개소","11_50_01_P","3310000","2022331011914500005","20220520","","01","영업/정상","20","영업중","","","","","051 6100110","","","","부산광역시 남구 수영로 312, 21 센츄리시티 오피스텔 843호 (대연동)","48508","(사)부산정보기술협회","20220520162300","I","2022-05-22 00:22:48.0","","391411.212179843","184052.409245407","법인","무료",
"57","무료직업소개소","11_50_01_P","3310000","2014331008814500002","20100611","","03","폐업","40","폐업","20190128","","","","15883570","","","부산광역시 남구 문현동 1229번지 1호 부산국제금융센터 40층","부산광역시 남구 문현금융로 40, 40층 (문현동, 부산국제금융센터)","48400","한국자산관리공사","20190128144549","U","2019-01-30 02:40:00.0","","388182.381367829","185024.662471639","법인","무료",
"58","무료직업소개소","11_50_01_P","3310000","2018331008814500004","20180413","","03","폐업","40","폐업","20220512","","","","051 606 7337","","","","부산광역시 남구 문현금융로 33, 기술보증기금 (문현동)","48400","기술보증기금","20220513174330","U","2022-05-15 02:40:00.0","","388043.95485949","184945.438432759","법인","무료",
"59","무료직업소개소","11_50_01_P","3320000","2009332007714500001","20090206","","01","영업/정상","20","영업중","","","","","051 337 5959","","","부산광역시 북구 구포3동 1255번지 2호","부산광역시 북구 시랑로114번길 45 (구포동)","","실버벨노인종합복지관","20200213102747","U","2020-02-15 02:40:00.0","","382865.897094966","190186.827804782","법인","무료",
"60","무료직업소개소","11_50_01_P","3320000","2013332008814500003","20130117","","01","영업/정상","20","영업중","","","","","051 336 7009","","","부산광역시 북구 덕천동 398-13","부산광역시 북구 만덕대로 21, 9층 (덕천동)","46548","장선종합사회복지관","20220602151513","U","2022-06-04 02:40:00.0","","382712.990018009","192023.995088569","법인","무료",
"61","무료직업소개소","11_50_01_P","3320000","2021332010714500011","20211104","","01","영업/정상","20","영업중","","","","","","","","","부산광역시 북구 금곡대로470번길 31, 북이실버센터 (금곡동)","46508","(사)대한노인회 부산북구지회 취업지원센터","20220530142707","U","2022-06-01 02:40:00.0","","383133","196557","법인","무료",
"62","무료직업소개소","11_50_01_P","3320000","2021332010714500002","20210319","","01","영업/정상","20","영업중","","","","","0519114217","","","","부산광역시 북구 화명신도시로 117, 메트로프라자 8층 (화명동)","46527","부산장애인자립생활센터","20210319130243","I","2021-03-21 00:22:59.0","","382947.222393671","194672.81747574","법인","무료",
"63","무료직업소개소","11_50_01_P","3320000","2006332005911200001","20060419","","03","폐업","40","폐업","","","","","","","","부산광역시 해운대구 우동 974호 37통 1반 경동아파트 102 1701","부산광역시 해운대구 해운대해변로 85, 102동 1701호 (우동,경동아파트)","","장선취업알선센터","20060719140326","I","2018-08-31 23:59:59.0","","395166.538168676","186947.838504972","법인","무료",
"64","무료직업소개소","11_50_01_P","3320000","2007332007714500003","20071210","","03","폐업","40","폐업","20131004","","","","051 336 9841","","616819","부산광역시 북구 덕천1동 389번지 1호 광명빌딩4층","부산광역시 북구 만덕대로 104 (덕천동,광명빌딩4층)","","부산종합가정관리사회 한누리","20131004161238","I","2018-08-31 23:59:59.0","","383515.697171633","192234.700570634","법인","무료",
"65","무료직업소개소","11_50_01_P","3320000","2010332007714500003","20100219","","03","폐업","40","폐업","20150323","","","","051 337 9331","","616815","부산광역시 북구 덕천3동 241번지 66호","부산광역시 북구 덕천로 83 (덕천동)","616815","부산북구시니어클럽","20150324111045","I","2018-08-31 23:59:59.0","","383300.012085947","191873.414755378","법인","무료",
"66","무료직업소개소","11_50_01_P","3320000","2012332008814500002","20120118","","03","폐업","40","폐업","20150108","","","","0513652211","","616812","부산광역시 북구 금곡동 810번지 1호","부산광역시 북구 효열로 144 (금곡동)","616812","희망잡카페","20150108143043","I","2018-08-31 23:59:59.0","","383356.445663022","197358.980359552","법인","무료",
"67","무료직업소개소","11_50_01_P","3320000","2012332008814500004","20120427","","03","폐업","40","폐업","20140428","","","","0515068839","","616830","부산광역시 북구 만덕1동 824번지 34호","부산광역시 북구 상학로 3 (만덕동)","616830","(사)세계한식문화관광협회","20140429170336","I","2018-08-31 23:59:59.0","","385373.990223986","192457.832868438","법인","무료",
"68","무료직업소개소","11_50_01_P","3320000","2016332008814500008","20161201","","03","폐업","40","폐업","20171206","","","","051 365 2211","","","","부산광역시 북구 효열로 144 (금곡동, 금곡종합사회복지관)","46513","금곡종합사회복지관","20171211162541","I","2018-08-31 23:59:59.0","","383356.445663022","197358.980359552","법인","무료",
"69","무료직업소개소","11_50_01_P","3320000","2018332008814500001","20180122","","03","폐업","40","폐업","20200101","","","","051 337 9331","","","","부산광역시 북구 덕천로 83 (덕천동)","46575","부산북구시니어클럽","20200108100709","U","2020-01-10 02:40:00.0","","383300.012085947","191873.414755378","법인","무료",
"70","무료직업소개소","11_50_01_P","3330000","2012333011514500013","20121214","","01","영업/정상","20","영업중","","","","","051 790 1040","","","부산광역시 해운대구 우동 1457번지 부산디자인센터 307호","부산광역시 해운대구 센텀동로 57 (우동)","612020","재단법인 부산디자인센터","20190624115757","U","2019-06-26 02:40:00.0","","393918.643809797","188170.19630527","법인","무료",
"71","무료직업소개소","11_50_01_P","3330000","2013333011514500009","20130916","","01","영업/정상","20","영업중","","","","","051 784 9141","","","부산광역시 해운대구 반송동 259번지 113호 어른신일자리문화센터","부산광역시 해운대구 반송순환로 158, 3층 (반송동, 어르신일자리문화센터)","48015","해운대시니어클럽","20160818143555","I","2018-08-31 23:59:59.0","","395875.029202234","193819.679373649","법인","무료",
"72","무료직업소개소","11_50_01_P","3330000","2001333004711200001","20010220","","03","폐업","40","폐업","","","","","","","","부산광역시 사하구 당리동 180호 10통 4반 반도보라아파트 102 1201","부산광역시 사하구 제석로79번길 11, 102동 1201호 (당리동,반도보라아파트)","","장애인무료직업소개소","20060323172559","I","2018-08-31 23:59:59.0","","380019.008052979","180554.561355837","개인","무료",
"73","무료직업소개소","11_50_01_P","3330000","2003333004711200001","20031010","","03","폐업","40","폐업","20081001","","","","","","","부산광역시 해운대구 반여동 1247호 19통 4반","부산광역시 해운대구 반여로 165 (반여동)","","영진무료직업소개소","20081007115755","I","2018-08-31 23:59:59.0","","393562.818546253","191686.251449539","법인","무료",
"74","무료직업소개소","11_50_01_P","3330000","2006333004711200001","20060608","","03","폐업","40","폐업","20200429","","","","051 747 0578","","","부산광역시 수영구 광안동 172번지 1   호 삼정크린코아 101 1407","부산광역시 수영구 수영로540번길 57, 101동 1407호 (광안동,삼정크린코아)","","송국무료직업소개소","20200429203236","U","2020-05-01 02:40:00.0","","392727.930769713","185908.888160214","법인","무료",
"75","무료직업소개소","11_50_01_P","3330000","2009333008214500002","20090129","","03","폐업","40","폐업","20170123","","","","051 784 8008","","612050","부산광역시 해운대구 재송동 100번지","부산광역시 해운대구 재반로12번길 16 (재송동)","","어진샘노인종합복지관무료직업소개소","20170202173510","I","2018-08-31 23:59:59.0","","393742.567650963","188783.152007948","법인","무료",
"76","무료직업소개소","11_50_01_P","3330000","2018333013114500002","20180223","","03","폐업","40","폐업","20210205","","","","051 784 8008","","","","부산광역시 해운대구 재반로12번길 16, 해운대종합사회복지관 (재송동)","48057","어진샘노인종합복지관 무료직업소개소","20210205153136","U","2021-02-07 02:40:00.0","","393759.328291784","188819.969485624","법인","무료",
"77","무료직업소개소","11_50_01_P","3340000","2019334012214500003","20190314","","01","영업/정상","20","영업중","","","","","0516466849","","","","부산광역시 사하구 낙동대로535번길 42, 1층 (하단동)","49307","하루마을문화교실 무료직업소개사업소","20190314120116","I","2019-03-16 02:21:52.0","","378831.167285275","180909.366686349","법인","무료",
"78","무료직업소개소","11_50_01_P","3340000","1998334000611200001","19980804","","01","영업/정상","20","영업중","","","","","051 205 0209","","","부산광역시 사하구 신평동 544번지 2호","부산광역시 사하구 신산로 169, 2층 (신평동)","49442","관리공단 취업정보센터","20180611140432","I","2018-08-31 23:59:59.0","","379952.034911467","178567.496223443","법인","무료",
