"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","수리대상 의료기기의 유형","다른 겸업 여부","총규모","영업규모",
"24","의료기기수리업","01_02_02_P","3270000","PHMG320163270022047400001","20161103","","01","영업/정상","13","영업중","","","","","051-441-2522","","","","부산광역시 동구 수정중로 8-1 (수정동)","48782","참좋은메디칼","20161103104200","I","2018-10-11 15:46:28.0","","386240.401699792","183042.946210464","","","","",
"25","의료기기수리업","01_02_02_P","3280000","PHMG320133280023047400001","20130510","","03","폐업","03","폐업","20151116","","","","051-919-3820","","","","부산광역시 영도구 중리로 35, 지하층 105호 (동삼동)","49118","(주)나누리요","20151116152650","I","2018-10-11 15:46:28.0","","388579.04911995","176876.426685795","","","","",
"26","의료기기수리업","01_02_02_P","3280000","PHMG320153280023047400001","20150225","","03","폐업","03","폐업","20190417","","","","","","606080","부산광역시 영도구 동삼동 1124번지 2호","부산광역시 영도구 함지로 21 (동삼동, 반도보라비치타운 B상가 106호)","49120","나누리요","20190417132525","U","2019-04-19 02:40:00.0","","387832.882899402","176666.243983063","","","","",
"27","의료기기수리업","01_02_02_P","3280000","PHMG320193280023047400001","20190419","","01","영업/정상","13","영업중","","","","","","","","부산광역시 영도구 동삼동 1124번지 2호 반도보라비치타운","부산광역시 영도구 함지로 21, 반도보라비치타운 B상가 1층 106호 (동삼동)","49120","나누리요","20190419171407","I","2019-04-21 02:20:27.0","","387832.882899402","176666.243983063","","","","",
"28","의료기기수리업","01_02_02_P","3280000","PHMG320193280023047400002","20191114","","01","영업/정상","13","영업중","","","","","","","","부산광역시 영도구 동삼동 221번지 20호","부산광역시 영도구 태종로 498 (동삼동)","49092","장수케어영도","20191114175841","I","2019-11-16 00:23:15.0","","388877.793427763","178219.211546536","","","","",
"29","의료기기수리업","01_02_02_P","3280000","PHMG320183280023047400001","20180502","","01","영업/정상","13","영업중","","","","","","","","부산광역시 영도구 동삼동 225번지 123호","부산광역시 영도구 동삼로50번길 5 (동삼동)","49101","해오름","20180502171237","I","2018-10-11 15:46:28.0","","388810.698886622","177375.979465515","","","","",
"30","의료기기수리업","01_02_02_P","3290000","PHMG320193290024047400002","20190724","","03","폐업","03","폐업","20210715","","","","","","","부산광역시 부산진구 양정동 406번지 5호 신흥빌딩","부산광역시 부산진구 중앙대로 933, 신흥빌딩 10층 (양정동)","47210","샤인덴탈(부산동부점)","20210715164321","U","2021-07-17 02:40:00.0","","388571.350176822","188001.874170781","","","","",
"31","의료기기수리업","01_02_02_P","3290000","PHMG320193290024047400003","20190724","","03","폐업","03","폐업","20210624","","","","","","","부산광역시 부산진구 양정동 406번지 5호 신흥빌딩","부산광역시 부산진구 중앙대로 933, 신흥빌딩 (양정동)","47210","샤인덴탈 부산남부점","20210624131549","U","2021-06-26 02:40:00.0","","388571.350176822","188001.874170781","","","","",
"32","의료기기수리업","01_02_02_P","3290000","PHMG320183290024047400003","20180828","","03","폐업","03","폐업","20210818","","","","051-803-9114","","","부산광역시 부산진구 부전동 266번지 29호","부산광역시 부산진구 중앙대로 747-1, 4층 (부전동)","47254","스카이모아비스","20210818140320","U","2021-08-20 02:40:00.0","","387638.00336163","186419.902425765","","","","",
"33","의료기기수리업","01_02_02_P","3290000","PHMG320053290024047400001","20050118","","03","폐업","03","폐업","20110321","","","","","","614744","부산광역시 부산진구 전포2동 660번지 1호  한신밴 101호","부산광역시 부산진구 동천로 116 (전포동,한신밴 101호)","","상대종합상사","20140415161121","I","2018-10-11 15:46:28.0","","387869.134317928","186381.28184674","","","","",
"34","의료기기수리업","01_02_02_P","3290000","PHMG320103290024047400002","20190423","","03","폐업","03","폐업","20190423","","","","051-805-1388","","614031","부산광역시 부산진구 부전1동 259번지 18호","부산광역시 부산진구 새싹로 5-1 (부전동)","47256","이형곤보청기연구소","20190424125743","U","2019-04-26 02:40:00.0","","387468.613253692","186315.960659359","","","","",
"35","의료기기수리업","01_02_02_P","3290000","PHMG320103290024047400003","20100903","","03","폐업","03","폐업","20190729","","","","051-809-9555","","614845","부산광역시 부산진구 부전2동 156번지 22호  156-53, 156-52(1층)","부산광역시 부산진구 중앙대로 722-6 (부전동,156-53, 156-52(1층))","","와이덱스보청기","20190729162525","U","2019-07-31 02:40:00.0","","387613.606422235","186147.676151911","","","","",
"36","의료기기수리업","01_02_02_P","3290000","PHMG320103290024047400005","20100607","","03","폐업","03","폐업","20190829","","","","051-808-7599","","614844","부산광역시 부산진구 부전1동 260번지 8호","부산광역시 부산진구 중앙대로 739 (부전동)","","부산스타키보청기","20190829175253","U","2019-08-31 02:40:00.0","","387592.506715342","186334.328442883","","","","",
"37","의료기기수리업","01_02_02_P","3290000","PHMG320083290024047400001","20081203","","03","폐업","03","폐업","20131206","","","","051-807-7784","","614844","부산광역시 부산진구 부전1동 129번지 1호 4층","부산광역시 부산진구 중앙대로 129-1 (부전동)","614844","엘지전자서면센터","20131206144449","I","2018-10-11 15:46:28.0","","387712.393816662","186405.080993067","","","","",
"38","의료기기수리업","01_02_02_P","3290000","PHMG320083290024047400002","20080303","","03","폐업","03","폐업","20110509","","","","051-892-4868","","614803","부산광역시 부산진구 가야3동 300번지 15호 영진빌딩 4층","부산광역시 부산진구 가야대로 574 (가야동,영진빌딩 4층)","","코스모메디텍","20110509165418","I","2018-10-11 15:46:28.0","","385346.54081207","185778.897137619","","","","",
"39","의료기기수리업","01_02_02_P","3290000","PHMG320113290024047400003","20110930","","03","폐업","03","폐업","20131231","","","","","","614859","부산광역시 부산진구 연지동 72번지 23호 돈스2빌  100호","부산광역시 부산진구 동평로265번길 9, 100호 (연지동,돈스2빌)","","미래전동테크","20131231185726","I","2018-10-11 15:46:28.0","","387235.421215829","187732.637078204","","","","",
"40","의료기기수리업","01_02_02_P","3290000","PHMG320113290024047400004","20111109","","03","폐업","03","폐업","20130312","","","","051-853-4251","","614882","부산광역시 부산진구 양정2동 406번지 26호 2층","부산광역시 부산진구 중앙대로 935 (양정동)","614882","엘지전자 양정센터","20130312131045","I","2018-10-11 15:46:28.0","","388626.962934476","188011.354176204","","","","",
"41","의료기기수리업","01_02_02_P","3290000","PHMG320153290024047400002","20150721","","03","폐업","03","폐업","20190906","","","","051-804-1116,1177","","614031","부산광역시 부산진구 부전동 260번지 22호","부산광역시 부산진구 중앙대로 733, 2층 (부전동)","47254","주식회사 엔젤사운드","20190906115636","U","2019-09-08 02:40:00.0","","387558.683385923","186305.568904984","","","","",
"42","의료기기수리업","01_02_02_P","3290000","PHMG320163290024047400001","20160317","","03","폐업","03","폐업","20180125","","","","802-9114","","","","부산광역시 부산진구 초읍천로 70, 1층 101호 (초읍동, 부광빌딩)","47104","부산재가장기요양센터","20180129165649","I","2018-10-11 15:46:28.0","","386371.214836154","188614.44838409","","","","",
"43","의료기기수리업","01_02_02_P","3290000","PHMG320193290024047400004","20190917","","01","영업/정상","13","영업중","","","","","051-807-7784","","","부산광역시 부산진구 범천동 719번지 2호","부산광역시 부산진구 범일로 137, 1층 (범천동)","47360","(주)엘지전자 서면서비스지점","20191202134939","U","2019-12-04 02:40:00.0","","387575.832537084","184529.297809638","","","","",
"44","의료기기수리업","01_02_02_P","3290000","PHMG320193290024047400001","20190708","","01","영업/정상","13","영업중","","","","","051-809-9555","","","부산광역시 부산진구 부전동 156-53","부산광역시 부산진구 중앙대로 722-1, 4층 (부전동)","47291","와이덱스보청기(부산서면점)","20200715104357","U","2020-07-17 02:40:00.0","","387599.221624523","186151.912491502","","","","",
"45","의료기기수리업","01_02_02_P","3290000","PHMG320223290024047400001","20220210","","01","영업/정상","13","영업중","","","","","051-803-9993","","","부산광역시 부산진구 부전동 263-26","부산광역시 부산진구 새싹로8번길 27, 1층 (부전동)","47254","독일 스타 보청기","20220218164016","I","2022-02-20 00:22:37.0","","387577.289822238","186422.883624465","","","","",
"46","의료기기수리업","01_02_02_P","3290000","PHMG320223290024047400002","20220308","","01","영업/정상","13","영업중","","","","","","","","부산광역시 부산진구 전포동 660-1 한신밴","부산광역시 부산진구 동천로 116, 한신밴 117호 (전포동)","47247","솔수헌덴탈","20220308160814","I","2022-03-10 00:22:36.0","","387869.134317928","186381.28184674","","","","",
"47","의료기기수리업","01_02_02_P","3290000","PHMG320213290024047400002","20140425","","01","영업/정상","13","영업중","","","","","051-714-0770","","","부산광역시 부산진구 부전동 232-6","부산광역시 부산진구 중앙대로 667, 일부1,3층 (부전동)","47289","(주)하이텔레서비스 지방팀 부산서비스","20220113162909","I","2022-01-15 00:22:41.0","","387539.427354068","185621.516547159","","","","",
"48","의료기기수리업","01_02_02_P","3290000","PHMG320213290024047400001","20210713","","01","영업/정상","13","영업중","","","","","070-4155-5111","","","부산광역시 부산진구 양정동 519-16","부산광역시 부산진구 중앙대로 867(양정동)","47215","위니아서비스 중부산점","20210715170109","U","2021-07-17 02:40:00.0","","388229.657971879","187441.356817065","","","","",
"49","의료기기수리업","01_02_02_P","3290000","PHMG320203290024047400001","20200924","","01","영업/정상","13","영업중","","","","","","","","부산광역시 부산진구 전포동 355-31","부산광역시 부산진구 전포대로186번길 16, 지하1층 (전포동)","47305","백마메디칼","20200924154707","I","2020-09-26 00:23:11.0","","388230.078294644","185712.591144073","","","","",
"50","의료기기수리업","01_02_02_P","3290000","PHMG320203290024047400002","20201022","","01","영업/정상","13","영업중","","","","","","","","부산광역시 부산진구 전포동 660-1 한신밴","부산광역시 부산진구 동천로 116, 한신밴 지하1층 102호 (전포동)","47247","위드윈덴탈","20201215194453","U","2020-12-17 02:40:00.0","","387869.134317928","186381.28184674","","","","",
"51","의료기기수리업","01_02_02_P","3290000","PHMG320103290024047400001","20101008","","01","영업/정상","13","영업중","","","","","051-804-9999","","614845","부산광역시 부산진구 부전2동 156번지 57호","부산광역시 부산진구 중앙대로 724-1 (부전동)","","독일스타보청기(주)","20201215194056","U","2020-12-17 02:40:00.0","","387631.386277182","186190.766349618","","","","",
"52","의료기기수리업","01_02_02_P","3290000","PHMG320103290024047400004","20100629","","01","영업/정상","13","영업중","","","","","051-809-0028","","614845","부산광역시 부산진구 부전2동 157번지 15호","부산광역시 부산진구 중앙대로 722 (부전동)","","DIGITAL 씨티보청기상사","20201215194011","U","2020-12-17 02:40:00.0","","387589.059867843","186155.103997303","","","","",
"53","의료기기수리업","01_02_02_P","3290000","PHMG320073290024047400001","20070511","","01","영업/정상","13","영업중","","","","","051-803-5588","","614845","부산광역시 부산진구 부전2동 156번지 47호","부산광역시 부산진구 중앙대로 722-2 (부전동)","","독일보청기","20201215193859","U","2020-12-17 02:40:00.0","","387606.514490019","186164.238317619","","","","",
"54","의료기기수리업","01_02_02_P","3290000","PHMG320113290024047400001","20110405","","01","영업/정상","13","영업중","","","","","051-898-9552","","","부산광역시 부산진구 부전동 505번지 6호 한솔폴라리스 205호","부산광역시 부산진구 가야대로 754, 205호 (부전동, 한솔폴라리스)","47284","주식회사 제이메디칼","20151020145200","I","2018-10-11 15:46:28.0","","387076.983236541","186148.629195175","","","","",
"55","의료기기수리업","01_02_02_P","3290000","PHMG320113290024047400002","20110420","","01","영업/정상","13","영업중","","","","","051-892-3399","","614803","부산광역시 부산진구 가야3동 329번지 13호 2층","부산광역시 부산진구 대학로46번길 4 (가야동,2층)","","어르신이행복한세상","20201215194138","U","2020-12-17 02:40:00.0","","385380.565017856","185523.684354225","","","","",
"56","의료기기수리업","01_02_02_P","3290000","PHMG320123290024047400001","20120320","","01","영업/정상","13","영업중","","","","","","","614844","부산광역시 부산진구 부전1동 260번지 3호","부산광역시 부산진구 중앙대로 737 (부전동)","47254","독일보청기","20201217152952","U","2020-12-19 02:40:00.0","","387573.84597643","186341.582103738","","","","",
"57","의료기기수리업","01_02_02_P","3290000","PHMG320133290024047400003","20131105","","01","영업/정상","13","영업중","","","","","051-927-0081","","614031","부산광역시 부산진구 부전1동 485번지 42호","부산광역시 부산진구 가야대로 775 (부전동)","47257","딜라이트주식회사 부산점","20201215194409","U","2020-12-17 02:40:00.0","","387298.614645978","186240.611702156","","","","",
"58","의료기기수리업","01_02_02_P","3290000","PHMG320143290024047400002","20140819","","01","영업/정상","13","영업중","","","","","070-4960-2392","","614847","부산광역시 부산진구 부전동 504번지 21호","부산광역시 부산진구 가야대로756번길 13, 2층 201호 (부전동)","47284","지오크리에이티브 부산경남지사","20150917090628","I","2018-10-11 15:46:28.0","","387119.987278117","186123.325835526","","","","",
"59","의료기기수리업","01_02_02_P","3290000","PHMG320153290024047400001","20150212","","01","영업/정상","13","영업중","","","","","051-811-1882","","614744","부산광역시 부산진구 전포동 660번지 1호","부산광역시 부산진구 동천로 116, 101호 (전포동)","47247","(주) 상대종합상사","20150212154445","I","2018-10-11 15:46:28.0","","387869.134317928","186381.28184674","","","","",
"60","의료기기수리업","01_02_02_P","3290000","PHMG320153290024047400003","20151001","","01","영업/정상","13","영업중","","","","","051-804-1116","","","부산광역시 부산진구 부전동 260번지 22호","부산광역시 부산진구 중앙대로 733, 2층 (부전동)","47254","(주) 히어코리아 부산서면점","20171218130526","I","2018-10-11 15:46:28.0","","387558.683385923","186305.568904984","","","","",
"61","의료기기수리업","01_02_02_P","3290000","PHMG320133290024047400004","20130508","","01","영업/정상","13","영업중","","","","","908-9599","","","","부산광역시 부산진구 당감서로 117 (당감동)","47147","엠케이티메디칼","20160926100114","I","2018-10-11 15:46:28.0","","385225.871206373","187431.060078538","","","","",
"62","의료기기수리업","01_02_02_P","3290000","PHMG320173290024047400001","20170131","","01","영업/정상","13","영업중","","","","","051)633-9794","","47305","","부산광역시 부산진구 전포대로 184-1 (전포동)","47305","필전자","20201127142104","U","2020-11-29 02:40:00.0","","388164.330557528","185716.32342831","","","","",
"63","의료기기수리업","01_02_02_P","3290000","PHMG320173290024047400002","20170727","","01","영업/정상","13","영업중","","","","","051-302-3670","","","","부산광역시 부산진구 엄광로 123, 2층 (가야동)","47382","(주)대세엠케어","20190621111531","U","2019-06-23 02:40:00.0","","384803.509786622","185091.867231108","","","","",
"64","의료기기수리업","01_02_02_P","3290000","PHMG320173290024047400004","20170926","","01","영업/정상","13","영업중","","","","","051-894-7778","","","부산광역시 부산진구 가야동 244번지 3호","부산광역시 부산진구 가야대로 535, 1층 (가야동)","47270","킴즈메디컬케어센터","20200218115245","U","2020-02-20 02:40:00.0","","384966.501267399","185757.543449488","","","","",
"65","의료기기수리업","01_02_02_P","3290000","PHMG320183290024047400001","20180117","","01","영업/정상","13","영업중","","","","","","","","부산광역시 부산진구 양정동 196번지","부산광역시 부산진구 중앙대로979번길 30, 1층 (양정동)","47209","에스아이메디칼","20180117165039","I","2018-10-11 15:46:28.0","","388764.085771544","188454.27488473","","","","",
"66","의료기기수리업","01_02_02_P","3290000","PHMG320183290024047400002","20180306","","01","영업/정상","13","영업중","","","","","051-809-5534","","","부산광역시 부산진구 전포동 690번지 4호 현대타워","부산광역시 부산진구 전포대로199번길 15, 현대타워 501호 (전포동)","47297","(주)한빛메디텍","20190708160943","U","2019-07-10 02:40:00.0","","388038.599996574","185847.48270792","","","","",
"67","의료기기수리업","01_02_02_P","3300000","PHMG320053300024047400008","20051123","","02","휴업","02","휴업","","20181218","20201219","","051-501-7300","","607839","부산광역시 동래구 온천3동 1159번지 1호 센텀하이츠 101호","부산광역시 동래구 쇠미로 220 (온천동,센텀하이츠 101호)","","(주)세진바이오텍","20181219093959","U","2018-12-21 02:40:00.0","","387948.121044819","191994.677295149","","","","",
"68","의료기기수리업","01_02_02_P","3300000","PHMG320103300024047400001","20101228","","03","폐업","03","폐업","20151111","","","","051-552-7001","","607010","부산광역시 동래구 명륜동 700번지 212호 2층","부산광역시 동래구 명륜로207번길 32 (명륜동,2층)","","(주)신양화학","20151111151611","I","2018-10-11 15:46:28.0","","389426.250972442","192344.035931058","","","","",
"69","의료기기수리업","01_02_02_P","3300000","PHMG320103300024047400002","20100913","","03","폐업","03","폐업","20151202","","","","558-9924","","607837","부산광역시 동래구 온천동 828번지 6호 1층","부산광역시 동래구 우장춘로32번길 25, 1층 (온천동)","47729","보필동래","20151202142734","I","2018-10-11 15:46:28.0","","388617.558531453","192124.552576607","","","","",
"70","의료기기수리업","01_02_02_P","3300000","PHMG320083300024047400001","20081201","","03","폐업","03","폐업","20151111","","","","051-555-7833","","607835","부산광역시 동래구 온천2동 504번지 5호 2층","부산광역시 동래구 중앙대로 1375 (온천동,2층)","","LG전자동래서비스센터","20151111172616","I","2018-10-11 15:46:28.0","","389111.533008708","192054.950576153","","","","",
"71","의료기기수리업","01_02_02_P","3300000","PHMG320053300024047400001","20050107","","03","폐업","03","폐업","20120131","","","","554-2804","","607822","부산광역시 동래구 수안동 9번지 35호 2층","부산광역시 동래구 명륜로63번길 9 (수안동,2층)","","세종무역","20120201104133","I","2018-10-11 15:46:28.0","","389718.905247875","190925.994921355","","","","",
"72","의료기기수리업","01_02_02_P","3300000","PHMG320053300024047400005","20050422","","03","폐업","03","폐업","20160114","","","","051-557-5412","","607842","부산광역시 동래구 온천3동 1445번지 53호","부산광역시 동래구 미남로132번길 47 (온천동)","","메디칼코리아","20160114111556","I","2018-10-11 15:46:28.0","","388628.470663229","191601.457047294","","","","",
"73","의료기기수리업","01_02_02_P","3300000","PHMG320053300024047400006","20050531","","03","폐업","03","폐업","20151203","","","","051-469-0601","","607829","부산광역시 동래구 안락1동 768번지 5호 정화빌딩 6층","부산광역시 동래구 충렬대로348번길 12 (안락동,정화빌딩 6층)","","피터스포라이프(주)","20151203171649","I","2018-10-11 15:46:28.0","","390800.635834297","190688.441137202","","","","",
"74","의료기기수리업","01_02_02_P","3300000","PHMG320053300024047400007","20050608","","03","폐업","03","폐업","20151112","","","","051-503-7959","","607816","부산광역시 동래구 사직3동 58번지 17호","부산광역시 동래구 아시아드대로184번길 9 (사직동)","","한영무역","20151112173041","I","2018-10-11 15:46:28.0","","388028.633482281","190992.868537536","","","","",
"75","의료기기수리업","01_02_02_P","3300000","PHMG320133300024047400001","20130102","","03","폐업","03","폐업","20171206","","","","","","607822","부산광역시 동래구 수안동 11번지 27호","부산광역시 동래구 온천천로253번길 2 (수안동)","47820","부산보장구서비스센타","20171206170425","I","2018-10-11 15:46:28.0","","389608.352577596","190709.884680132","","","","",
"76","의료기기수리업","01_02_02_P","3300000","PHMG320133300024047400002","20130107","","03","폐업","03","폐업","20150417","","","","051-711-7114","","607842","부산광역시 동래구 온천3동 1423번지 8호 영남빌딩 4층","부산광역시 동래구 충렬대로 84, 4층 (온천동, 영남빌딩)","607842","올림푸스한국서비스(주)","20150417163203","I","2018-10-11 15:46:28.0","","388448.49768133","191752.934052972","","","","",
