"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","자치단체코드","업체유형명","자본금","지정정비업종명","면허일자","면허유효기간시작일자","면허유효기간종료일자","자격면허발급기관",
"161","국제물류주선업","11_45_01_P","6260000","6260000-63-1132","20191127","","01","영업/정상","0010","운행","","","","","0516041012","","48941","부산광역시 중구 중앙동4가 25-4 4층","부산광역시 중구 중앙대로 70, 4층 (중앙동4가)","48941","씨케이엘(주)","20200508000000","U","2020-05-10 02:40:00.0","","385637.167034815","180199.557790712","6260000","국제물류주선업","300000000","","","","","",
"162","국제물류주선업","11_45_01_P","6260000","6260000-63-1133","20191127","","01","영업/정상","0010","운행","","","","","0517146861","","48937","부산광역시 중구 중앙동4가 80-23 삼중빌딩 701호","부산광역시 중구 중앙대로116번길 13, 삼중빌딩 701호(중앙동4가)","48937","(주)윌로지코","20220613000000","U","2022-06-15 02:40:00.0","","385759.772789","180623.090779","6260000","국제물류주선업","300000000","","","","","",
"163","국제물류주선업","11_45_01_P","6260000","6260000-63-1130","20191121","","01","영업/정상","0010","운행","","","","","0512048989","","49418","부산광역시 사하구 신평동 206-5 럭키무지개타운아파트,3층 상가1동","부산광역시 사하구 신산북로43번길 41, 상가1동 3층(신평동, 럭키무지개타운아파트)","49418","엠씨물류(주)","20210702000000","U","2021-07-04 02:40:00.0","","379528.77648609","178780.391510637","6260000","국제물류주선업","300000000","","","","","",
"164","국제물류주선업","11_45_01_P","6260000","6260000-63-1131","20191121","","01","영업/정상","0010","운행","","","","","0517110092","","48059","부산광역시 해운대구 재송동 1209번지 센텀아이에스타워 403호","부산광역시 해운대구 센텀북대로 60, 센텀아이에스타워 403호(재송동)","48059","다우로지스틱스(주)","20211104000000","U","2021-11-06 02:40:00.0","","393561.58646018","188474.665440257","6260000","국제물류주선업","300000000","","","","","",
"165","국제물류주선업","11_45_01_P","6260000","6260000-63-1268","20220218","","01","영업/정상","0010","운행","","","","","0517039646","","48113","부산광역시 해운대구 좌동 1445번지 삼환아파트 102동 1202호","부산광역시 해운대구 좌동순환로299번길 22, 102동 1202호(좌동, 삼환아파트)","48113","(주)엠케이로지스틱스","20220218000000","I","2022-02-20 00:22:37.0","","399030.015128226","187682.69484673","6260000","국제물류주선업","300000000","","","","","",
"166","국제물류주선업","11_45_01_P","6260000","6260000-63-1281","20220329","","01","영업/정상","0010","운행","","","","","","","48938","부산광역시 중구 중앙동4가 84-10 5층","부산광역시 중구 충장대로9번길 17, 5층(중앙동4가)","48938","(주)비티엘글로벌","20220329000000","I","2022-03-31 00:22:34.0","","385687.937296255","180542.113582083","6260000","국제물류주선업","300000000","","","","","",
"167","국제물류주선업","11_45_01_P","6260000","6260000-63-1282","20220329","","01","영업/정상","0010","운행","","","","","0519727001","","48937","부산광역시 중구 중앙동4가 82-4 동일빌딩5층","부산광역시 중구 중앙대로 124-2, 동일빌딩 5층(중앙동4가)","48937","(주)에스에이치로지스","20220329000000","I","2022-03-31 00:22:34.0","","385669.485921204","180726.739550738","6260000","국제물류주선업","300000000","","","","","",
"168","국제물류주선업","11_45_01_P","6260000","6260000-63-1272","20220314","","01","영업/정상","0010","운행","","","","","0516100035","","48508","부산광역시 남구 대연동 55-1 21센츄리시티오피스텔 607호","부산광역시 남구 수영로 312, 21센츄리시티오피스텔 607호(대연동)","48508","(주)상우짐코","20220314000000","I","2022-03-16 00:22:36.0","","391411.212179843","184052.409245407","6260000","국제물류주선업","300000000","","","","","",
"169","국제물류주선업","11_45_01_P","6260000","6260000-63-1270","20220223","","01","영업/정상","0010","운행","","","","","0515269370","","46560","부산광역시 북구 만덕동 642-59 뉴리더빌딩1층 102호","부산광역시 북구 만덕1로 53, 뉴리더빌딩 1층 102호(만덕동)","46560","(주)에스에스지와이","20220223000000","I","2022-02-25 00:22:37.0","","384914.377397197","192436.857639105","6260000","국제물류주선업","300000000","","","","","",
"170","국제물류주선업","11_45_01_P","6260000","6260000-63-1266","20220203","","01","영업/정상","0010","운행","","","","","0514637771","","48939","부산광역시 중구 중앙동4가 87-7 부산무역회관9층 906호","부산광역시 중구 충장대로 11, 부산무역회관 9층 906호(중앙동4가)","48939","엘티글로벌(주)","20220203000000","I","2022-02-05 00:22:38.0","","385722.4811351","180423.00816521","6260000","국제물류주선업","300000000","","","","","",
"171","국제물류주선업","11_45_01_P","6260000","6260000-63-1271","20220225","","01","영업/정상","0010","운행","","","","","","","46560","부산광역시 북구 만덕동 642-59 102호","부산광역시 북구 만덕1로 53, 1층 102호(만덕동)","46560","(주)무사","20220225000000","I","2022-02-27 00:22:37.0","","384914.377397197","192436.857639105","6260000","국제물류주선업","300000000","","","","","",
"172","국제물류주선업","11_45_01_P","6260000","6260000-63-1267","20220214","","01","영업/정상","0010","운행","","","","","05147707280","","48930","부산광역시 중구 중앙동4가 37-16 동아제일빌딩 1110호","부산광역시 중구 중앙대로81번길 9, 동아제일빌딩 1110호(중앙동4가)","48930","(유)다온로지스텍","20220620000000","U","2022-06-22 02:40:00.0","","385473.576409934","180297.978228551","6260000","국제물류주선업","300000000","","","","","",
"173","국제물류주선업","11_45_01_P","6260000","6260000-63-1269","20220221","","01","영업/정상","0010","운행","","","","","","","46721","부산광역시 강서구 대저2동 3138-1 부산티플렉스 218동 210호","부산광역시 강서구 유통단지1로 50, 부산티플렉스 218동 210호(대저2동)","46721","엔에스엘(주)","20220221000000","I","2022-02-23 00:22:37.0","","377988.03993089","187305.367579412","6260000","국제물류주선업","300000000","","","","","",
"174","국제물류주선업","11_45_01_P","6260000","6260000-63-1273","20220316","","01","영업/정상","0010","운행","","","","","0517152994","","48741","부산광역시 동구 범일동 830-130 신일빌딩 204호","부산광역시 동구 자성로133번길 31, 신일빌딩 204호(범일동)","48741","(주)에스아이지","20220511000000","U","2022-05-13 02:40:00.0","","387986.03016614","184214.882290836","6260000","국제물류주선업","300000000","","","","","",
"175","국제물류주선업","11_45_01_P","6260000","6260000-63-1274","20220316","","01","영업/정상","0010","운행","","","","","0519411356","","46752","부산광역시 강서구 송정동 1502-5","부산광역시 강서구 녹산산업북로 60(송정동)","46752","(주)대영지엘에스","20220316000000","I","2022-03-18 00:22:36.0","","366948.672019797","179130.524465159","6260000","국제물류주선업","300000000","","","","","",
"176","국제물류주선업","11_45_01_P","6260000","6260000-63-1275","20220321","","01","영업/정상","0010","운행","","","","","0514680788","","48733","부산광역시 동구 초량동 1201-1 1동 1103호","부산광역시 동구 중앙대로214번길 7-8, 1동 1103호(초량동)","48733","(주)카이로스엘엘씨","20220321000000","I","2022-03-23 00:22:45.0","","","","6260000","국제물류주선업","300000000","","","","","",
"177","국제물류주선업","11_45_01_P","6260000","6260000-63-1276","20220321","","01","영업/정상","0010","운행","","","","","0514676746","","48938","부산광역시 중구 중앙동4가 83-5 팬오션(주)부산빌딩7층","부산광역시 중구 중앙대로 102, 팬오션(주)부산빌딩 7층(중앙동4가)","48938","우림물류(주)","20220321000000","I","2022-03-23 00:22:45.0","","385606.581749269","180536.052576311","6260000","국제물류주선업","300000000","","","","","",
"178","국제물류주선업","11_45_01_P","6260000","6260000-63-526","20031113","","01","영업/정상","0010","운행","","","","","0514662444","","600816","부산광역시 중구 중앙동4가   84번지 20호 성전빌딩 201호","부산광역시 중구 충장대로9번길 21, 201호 (중앙동4가,성전빌딩)","","(주)한솔해외익스프레스","20120107000000","U","2018-11-03 04:00:00.0","","","","6260000","국제물류주선업","300000000","","","","","",
"179","국제물류주선업","11_45_01_P","6260000","6260000-63-527","20050712","","01","영업/정상","0010","운행","","","","","0514649010","","48493","부산광역시 남구 대연동 1749-11 아루나빌딩4층","부산광역시 남구 유엔평화로14번길 40, 아루나빌딩 4층(대연동)","48493","(주)해명오션트랜스","20220408000000","U","2022-04-10 02:40:00.0","","390395","183614","6260000","국제물류주선업","300000000","","","","","",
"180","국제물류주선업","11_45_01_P","6260000","6260000-63-528","20051123","","01","영업/정상","0010","운행","","","","","0514642450","","600814","부산광역시 중구 중앙동4가   89번지 14호 정석빌딩  12층","부산광역시 중구 중앙대로 88, 12층 (중앙동4가,정석빌딩)","","동우엔터프라이즈(주)","20120107000000","U","2018-11-03 04:00:00.0","","","","6260000","국제물류주선업","300000000","","","","","",
"181","국제물류주선업","11_45_01_P","6260000","6260000-63-529","20061124","","01","영업/정상","0010","운행","","","","","","","","부산광역시 중구 중앙동4가 85번지 8호 삼양사빌딩 304호","부산광역시 중구 충장대로13번길 17, 304호 (중앙동4가,삼양사빌딩)","","씨제이국제물류(주)","20120521000000","U","2018-11-03 04:00:00.0","","","","6260000","국제물류주선업","300000000","","","","","",
"182","국제물류주선업","11_45_01_P","6260000","6260000-63-530","19991213","","01","영업/정상","0010","운행","","","","","0516369081","","601808","부산광역시 동구 범일2동   830번지 287호","부산광역시 동구 조방로34번길 17 (범일동)","","(주)스피드웨이","20120107000000","U","2018-11-03 04:00:00.0","","","","6260000","국제물류주선업","300000000","","","","","",
"183","국제물류주선업","11_45_01_P","6260000","6260000-63-531","20001218","","01","영업/정상","0010","운행","","","","","0514416095","","48939","부산광역시 중구 중앙동4가 89-2 흥우빌딩8층","부산광역시 중구 중앙대로 96, 흥우빌딩 8층(중앙동4가)","48939","미르해운(주)","20220526000000","U","2022-05-28 02:40:00.0","","385614.928477875","180471.183034331","6260000","국제물류주선업","300000000","","","","","",
"184","국제물류주선업","11_45_01_P","6260000","6260000-63-532","19981224","","01","영업/정상","0010","운행","","","","","0514412662","","600814","부산광역시 중구 중앙동4가   89번지 1호","부산광역시 중구 중앙대로 94 (중앙동4가)","","(주)코리아종합물류","20140110000000","U","2018-11-03 04:00:00.0","","","","6260000","국제물류주선업","300000000","","","","","",
"185","국제물류주선업","11_45_01_P","6260000","6260000-63-533","20031223","","01","영업/정상","0010","운행","","","","","0514623425","","600815","부산광역시 중구 중앙동4가   37번지 16호 동아제일빌딩 402호","부산광역시 중구 중앙대로81번길 9, 402호 (중앙동4가,동아제일빌딩)","","신영인터내셔널(주)","20120107000000","U","2018-11-03 04:00:00.0","","","","6260000","국제물류주선업","300000000","","","","","",
"186","국제물류주선업","11_45_01_P","6260000","6260000-63-534","20031224","","01","영업/정상","0010","운행","","","","","0514663100","","600814","부산광역시 중구 중앙동4가   86번지 1호 동부건설빌딩 306호","부산광역시 중구 충장대로13번길 22, 306호 (중앙동4가,동부건설빌딩)","","(주)동남로직스","20150420000000","U","2018-11-03 04:00:00.0","","","","6260000","국제물류주선업","300000000","","","","","",
"187","국제물류주선업","11_45_01_P","6260000","6260000-63-535","20120110","","01","영업/정상","0010","운행","","","","","0514628095","","600816","부산광역시 중구 중앙동4가   78번지 15호 명지빌딩 602호","부산광역시 중구 충장대로5번길 50-1, 602호 (중앙동4가,명지빌딩)","","(주)골드빅로지스틱스","20210624000000","U","2021-06-26 02:40:00.0","","","","6260000","국제물류주선업","300000000","","","","","",
"188","국제물류주선업","11_45_01_P","6260000","6260000-63-536","20120111","","01","영업/정상","0010","운행","","","","","0514652588","","48939","부산광역시 중구 중앙동4가 88-6 602호","부산광역시 중구 충장대로5번길 8, 602호 (중앙동4가)","48939","(주)엠엘앤씨","20210311000000","U","2021-03-13 02:40:00.0","","385665.291301408","180440.606406416","6260000","국제물류주선업","300000000","","","","","",
"189","국제물류주선업","11_45_01_P","6260000","6260000-63-537","20120116","","01","영업/정상","0010","운행","","","","","0516444566","","608830","부산광역시 남구 용당동   460번지 2호 2층","부산광역시 남구 신선로 392, 2층 (용당동)","","(주)오티에스","20120116000000","U","2018-11-03 04:00:00.0","","","","6260000","국제물류주선업","300000000","","20120116","","","",
"190","국제물류주선업","11_45_01_P","6260000","6260000-63-538","20120119","","01","영업/정상","0010","운행","","","","","07070124007","","48930","부산광역시 중구 중앙동4가 36-14 은산빌딩 1108호","부산광역시 중구 해관로 65, 은산빌딩 1108호(중앙동4가)","48930","(주)도원물류","20211116000000","U","2021-11-18 02:40:00.0","","385502.492319657","180297.579330876","6260000","국제물류주선업","300000000","","","","","",
"191","국제물류주선업","11_45_01_P","6260000","6260000-63-539","20120127","","01","영업/정상","0010","운행","","","","","0514418970","","48059","부산광역시 해운대구 우동 1470번지 에이스하이테크21 1502동","부산광역시 해운대구 센텀중앙로 48, 에이스하이테크21 1502동 (우동)","48059","(주)제이엠로지스틱스","20210514000000","U","2021-05-16 02:40:00.0","","394035.24909500000","188368.64865100000","6260000","국제물류주선업","300000000","","","","","",
"192","국제물류주선업","11_45_01_P","6260000","6260000-63-540","20120201","","01","영업/정상","0010","운행","","","","","0516247017","","48267","부산광역시 수영구 광안동 89-13 화목오피스텔","부산광역시 수영구 수영로 668, 화목오피스텔 915호 (광안동)","48267","(주) 현대이로직스","20180329000000","U","2018-11-03 04:00:00.0","","392635.637555849","187172.4033403","6260000","국제물류주선업","300000000","","","","","",
"193","국제물류주선업","11_45_01_P","6260000","6260000-63-541","20120206","","01","영업/정상","0010","운행","","","","","0514424577","","48059","부산광역시 해운대구 우동 1470번지 에이스하이테크21 1803~4호","부산광역시 해운대구 센텀중앙로 48, 에이스하이테크21 1803~4호 (우동)","48059","(주)아이엠에이해운항공","20210726000000","U","2021-07-28 02:40:00.0","","394035.24909500000","188368.64865100000","6260000","국제물류주선업","300000000","","","","","",
"194","국제물류주선업","11_45_01_P","6260000","6260000-63-846","20160114","","01","영업/정상","0010","운행","","","","","0517141264","","48059","부산광역시 해운대구 우동 1470번지 에이스하이테크21 1502호","부산광역시 해운대구 센텀중앙로 48, 에이스하이테크21 1502호 (우동)","48059","(주)아우토반로직스","20220502000000","U","2022-05-04 02:40:00.0","","394035.24909500000","188368.64865100000","6260000","국제물류주선업","300000000","","","","","",
"195","국제물류주선업","11_45_01_P","6260000","6260000-63-847","20160119","","01","영업/정상","0010","운행","","","","","","","49427","부산광역시 사하구 하단동 590-5 하이웰빌딩","부산광역시 사하구 하신중앙로 331, 하이웰빌딩 1001호 (하단동)","49427","(유)동일로지스","20190519000000","U","2019-05-21 02:40:00.0","","379202.091087337","180244.862068492","6260000","국제물류주선업","300000000","","","","","",
"196","국제물류주선업","11_45_01_P","6260000","6260000-63-849","20160127","","01","영업/정상","0010","운행","","","","","0514420345","","48957","부산광역시 중구 중앙동2가 10번지 대신펠리체 1402호","부산광역시 중구 중앙대로49번길 3, 대신펠리체 1402호 (중앙동2가)","48957","(주)대륙기업","20220413000000","U","2022-04-15 02:40:00.0","","","","6260000","국제물류주선업","300000000","","","","","",
"197","국제물류주선업","11_45_01_P","6260000","6260000-63-851","19981208","","01","영업/정상","0010","운행","","","","","0516309288","","48941","부산광역시 중구 중앙동4가 17-7","부산광역시 중구 대청로155번길 6 (중앙동4가)","48941","주식회사 광진티엘에스","20180808000000","U","2018-11-03 04:00:00.0","","385688.912554323","180165.79651993","6260000","국제물류주선업","11000000000","","","","","",
"198","국제물류주선업","11_45_01_P","6260000","6260000-63-855","20160212","","01","영업/정상","0010","운행","","","","","0519032800","","49261","부산광역시 서구 남부민동 94-200","부산광역시 서구 해돋이로 81-1 (남부민동)","49261","(주)티에스에이로지스틱스","20220215000000","U","2022-02-17 02:40:00.0","","384249.692116367","178216.848428481","6260000","국제물류주선업","300000000","","","","","",
"199","국제물류주선업","11_45_01_P","6260000","6260000-63-859","20160219","","01","영업/정상","0010","운행","","","","","0517172623","","48941","부산광역시 중구 중앙동4가 17-7","부산광역시 중구 대청로155번길 6(중앙동4가)","48941","(주)에이비엘","20220407000000","U","2022-04-09 02:40:00.0","","385688.912554323","180165.79651993","6260000","국제물류주선업","300000000","","","","","",
"200","국제물류주선업","11_45_01_P","6260000","6260000-63-551","19970523","","01","영업/정상","0010","운행","","","","","0514624480","","48929","부산광역시 중구 중앙동4가 53-11 동아일보빌딩4층","부산광역시 중구 중앙대로 87, 동아일보빌딩 4층(중앙동4가)","48929","선양종합물류(주)","20220602000000","U","2022-06-04 02:40:00.0","","385554.473566249","180381.456429273","6260000","국제물류주선업","300000000","","","","","",
"201","국제물류주선업","11_45_01_P","6260000","6260000-63-552","20040221","","01","영업/정상","0010","운행","","","","","0514677691","","48930","부산광역시 중구 중앙동4가 37-16 동아제일빌딩 807호","부산광역시 중구 중앙대로81번길 9, 동아제일빌딩 807호(중앙동4가)","48930","(주)엑심라인","20220524000000","U","2022-05-26 02:40:00.0","","385473.576409934","180297.978228551","6260000","국제물류주선업","300000000","","","","","",
"202","국제물류주선업","11_45_01_P","6260000","6260000-63-553","20010710","","01","영업/정상","0010","운행","","","","","","","48792","부산광역시 동구 초량동 1147-14 국제오피스텔 706호","부산광역시 동구 중앙대로 263, 국제오피스텔 706호 (초량동)","48792","엔지유인터내셔날(주)","20200226000000","U","2020-02-28 02:40:00.0","","386093.674147239","182068.358104572","6260000","국제물류주선업","300000000","","","","","",
"203","국제물류주선업","11_45_01_P","6260000","6260000-63-571","20010309","","01","영업/정상","0010","운행","","","","","0512534226","","","부산광역시 중구 동광동2가 1번지 삼호빌딩 1202호","부산광역시 중구 광복로97번길 26-2, 1202호 (동광동2가,삼호빌딩)","","(주)에센쉬핑","20120413000000","U","2018-11-03 04:00:00.0","","","","6260000","국제물류주선업","300000000","","","","","",
"204","국제물류주선업","11_45_01_P","6260000","6260000-63-572","20120424","","01","영업/정상","0010","운행","","","","","0514656981","","","부산광역시 중구 대창동2가 37번지 3호 센트럴오피스텔 1106호","부산광역시 중구 중앙대로 131, 1106호 (대창동2가,센트럴오피스텔)","","주식회사 수원엘티씨","20210602000000","U","2021-06-04 02:40:00.0","","","","6260000","국제물류주선업","300000000","","","","","",
"205","국제물류주선업","11_45_01_P","6260000","6260000-63-888","20160519","","01","영업/정상","0010","운행","","","","","0514411452","","48941","부산광역시 중구 중앙동4가 25-4 동원빌딩14층","부산광역시 중구 중앙대로 70, 동원빌딩 14층(중앙동4가)","48941","(주)삼원토탈물류","20210812000000","U","2021-08-14 02:40:00.0","","385637.167034815","180199.557790712","6260000","국제물류주선업","300000000","","","","","",
"206","국제물류주선업","11_45_01_P","6260000","6260000-63-889","20160519","","01","영업/정상","0010","운행","","","","","0519007766","","48931","부산광역시 중구 중앙동3가 1번지 12층","부산광역시 중구 중앙대로 63, 12층 (중앙동3가)","48931","마루젠쇼와한국(주)","20211020000000","U","2021-10-22 02:40:00.0","","385561.650139456","180152.738082365","6260000","국제물류주선업","300000000","","","","","",
"207","국제물류주선업","11_45_01_P","6260000","6260000-63-557","20110228","","01","영업/정상","0010","운행","","","","","0517116651","","48937","부산광역시 중구 중앙동4가 81-12 상일빌딩 502호","부산광역시 중구 충장대로9번길 33, 상일빌딩 502호 (중앙동4가)","48937","(주)씨티엘마린","20201109000000","U","2020-11-11 02:40:00.0","","385720.420340794","180698.091506578","6260000","국제물류주선업","300000000","","","","","",
"208","국제물류주선업","11_45_01_P","6260000","6260000-63-560","20020131","","01","영업/정상","0010","운행","","","","","0514668774","","47808","부산광역시 동래구 수안동 510-3 201호","부산광역시 동래구 명륜로112번길 27, 201호 (수안동)","47808","(주)이넥스해운항공","20201116000000","U","2020-11-18 02:40:00.0","","389753.766855915","191364.800898847","6260000","국제물류주선업","300000000","","","","","",
"209","국제물류주선업","11_45_01_P","6260000","6260000-63-563","20000307","","01","영업/정상","0010","운행","","","","","0514638482","","48938","부산광역시 중구 중앙동4가 83-5 팬오션빌딩 902호","부산광역시 중구 중앙대로 102, 팬오션빌딩 902호(중앙동4가)","48938","(주)대현","20211123000000","U","2021-11-25 02:40:00.0","","385606.581749269","180536.052576311","6260000","국제물류주선업","500000000","","","","","",
"210","국제물류주선업","11_45_01_P","6260000","6260000-63-564","20120314","","01","영업/정상","0010","운행","","","","","0517102722","","48931","부산광역시 중구 중앙동3가 1번지 부산우체국","부산광역시 중구 중앙대로 63, 부산우체국 11층 (중앙동3가)","48931","(주)세진지엘에스(GLS)","20210324000000","U","2021-03-26 02:40:00.0","","385561.650139456","180152.738082365","6260000","국제물류주선업","300000000","","","","","",
"211","국제물류주선업","11_45_01_P","6260000","6260000-63-565","20120315","","01","영업/정상","0010","운행","","","","","0516439005","","","부산광역시 남구 문현동 815번지 한일오피스텔 1007호","부산광역시 남구 자성로 152, 1007호 (문현동,한일오피스텔)","","(주)마이다스유나이티드","20210429000000","U","2021-05-01 02:40:00.0","","","","6260000","국제물류주선업","300000000","","","","","",
"212","국제물류주선업","11_45_01_P","6260000","6260000-63-567","20120405","","01","영업/정상","0010","운행","","","","","","","","부산광역시 중구 중앙동4가 81번지 1호  501호","부산광역시 중구 충장대로5번길 42, 501호 (중앙동4가)","","애플쉬핑(주)","20130718000000","U","2018-11-03 04:00:00.0","","","","6260000","국제물류주선업","300000000","","20120405","","","",
"213","국제물류주선업","11_45_01_P","6260000","6260000-63-890","20160601","","01","영업/정상","0010","운행","","","","","0515252114","","","","부산광역시 수영구 구락로 82, 1층 (망미동)","48215","(주)비에스로직스","20200825000000","U","2020-08-27 02:40:00.0","","392809.536280496","188195.331599176","6260000","국제물류주선업","300000000","","","","","",
"214","국제물류주선업","11_45_01_P","6260000","6260000-63-891","20160613","","01","영업/정상","0010","운행","","","","","0519714141","","46719","부산광역시 강서구 대저2동 1860-28","부산광역시 강서구 경전철로24번길 43-9(대저2동)","46719","한국피엘에스(주)","20220621000000","U","2022-06-23 02:40:00.0","","378147","188767","6260000","국제물류주선업","350000000","","","","","",
"215","국제물류주선업","11_45_01_P","6260000","6260000-63-892","20160613","","01","영업/정상","0010","운행","","","","","0514423410","","48937","부산광역시 중구 중앙동4가 80-15 석정빌딩 301호","부산광역시 중구 충장대로9번길 30, 석정빌딩 301호(중앙동4가)","48937","(주)경운로직스","20210812000000","U","2021-08-14 02:40:00.0","","385735.376259052","180645.436105397","6260000","국제물류주선업","300000000","","","","","",
"216","국제물류주선업","11_45_01_P","6260000","6260000-63-895","20160622","","01","영업/정상","0010","운행","","","","","0514638258","","48925","부산광역시 중구 동광동5가 3-40","부산광역시 중구 동광길111번길 10-9 (동광동5가)","48925","(주)정일물류","20200902000000","U","2020-09-04 02:40:00.0","","385482.703268867","180660.890322796","6260000","국제물류주선업","300000000","","","","","",
"217","국제물류주선업","11_45_01_P","6260000","6260000-63-898","20160802","","01","영업/정상","0010","운행","","","","","051463988","","47753","부산광역시 동래구 안락동 945-3 동래화목타운 107동 909호","부산광역시 동래구 충렬사로 51, 107동 909호 (안락동, 동래화목타운)","47753","(유)신진로지스","20200703000000","U","2020-07-05 02:40:00.0","","391012.036360417","191381.563507907","6260000","국제물류주선업","3000000","","","","","",
"218","국제물류주선업","11_45_01_P","6260000","6260000-63-868","20160315","","01","영업/정상","0010","운행","","","","","","","48741","부산광역시 동구 범일동 830-196","부산광역시 동구 조방로26번길 9, 402호 (범일동)","48741","(주) 글로벌브릿지","20181026000000","U","2018-10-28 02:37:58.0","","387926.161934718","184244.052046945","6260000","국제물류주선업","300000000","","","","","",
"219","국제물류주선업","11_45_01_P","6260000","6260000-63-869","20090611","","01","영업/정상","0010","운행","","","","","07047603330","","48058","부산광역시 해운대구 재송동 1208-2 센텀스카이비즈 에이동 304-1호","부산광역시 해운대구 센텀중앙로 97, 센텀스카이비즈 에이동 304-1호 (재송동)","48058","(주)마이다스로지스틱스","20200619000000","U","2020-06-21 02:40:00.0","","393519","188317","6260000","국제물류주선업","600000000","","","","","",
"220","국제물류주선업","11_45_01_P","6260000","6260000-63-871","20160318","","01","영업/정상","0010","운행","","","","","0517113637","","48731","부산광역시 동구 초량동 1169-3 강남빌딩6층 655호","부산광역시 동구 중앙대로 270, 강남빌딩 6층 655호(초량동)","48731","(주)선용","20220418000000","U","2022-04-20 02:40:00.0","","386177.958994368","182089.626704726","6260000","국제물류주선업","300000000","","","","","",
"221","국제물류주선업","11_45_01_P","6260000","6260000-63-861","20160222","","01","영업/정상","0010","운행","","","","","0514413366","","46023","부산광역시 기장군 정관읍 매학리 750-7 해오름오피스텔 508호","부산광역시 기장군 정관읍 구연4로 8, 해오름오피스텔 508호","46023","(주)우창종합물류","20220419000000","U","2022-04-21 02:40:00.0","","398228.62781400000","204876.80246400000","6260000","국제물류주선업","300000000","","","","","",
"222","국제물류주선업","11_45_01_P","6260000","6260000-63-862","20160225","","01","영업/정상","0010","운행","","","","","0514649935","","48731","부산광역시 동구 초량동 1169-3 강남빌딩6층","부산광역시 동구 중앙대로 270, 강남빌딩 6층(초량동)","48731","(주)에이엠엔인터내쇼날","20220324000000","U","2022-03-26 02:40:00.0","","386177.958994368","182089.626704726","6260000","국제물류주선업","300000000","","","","","",
"223","국제물류주선업","11_45_01_P","6260000","6260000-63-864","20160303","","01","영업/정상","0010","운행","","","","","0514632340","","48821","부산광역시 동구 초량동 1204-17 창진빌딩 301호","부산광역시 동구 중앙대로196번길 6-11, 창진빌딩 301호(초량동)","48821","한진지엘에스(주)","20220408000000","U","2022-04-10 02:40:00.0","","385897.117726019","181277.659390792","6260000","국제물류주선업","300000000","","","","","",
"224","국제물류주선업","11_45_01_P","6260000","6260000-63-865","20160304","","01","영업/정상","0010","운행","","","","","0514629925","","48934","부산광역시 중구 중앙동4가 76-9 우창빌딩 401호","부산광역시 중구 중앙대로 156, 우창빌딩 401호 (중앙동4가)","48934","(주)마스크로지스","20220329000000","U","2022-03-31 02:40:00.0","","385755.829120228","181022.421229413","6260000","국제물류주선업","300000000","","","","","",
"225","국제물류주선업","11_45_01_P","6260000","6260000-63-873","20160318","","01","영업/정상","0010","운행","","","","","0515576781","","47837","부산광역시 동래구 온천동 1412-7 온천동메디컬센터6층","부산광역시 동래구 아시아드대로 226, 온천동메디컬센터 6층 (온천동)","47837","업카이트(주)","20200806000000","U","2020-08-08 02:40:00.0","","388189.897479084","191362.066783999","6260000","국제물류주선업","1100000000","","","","","",
"226","국제물류주선업","11_45_01_P","6260000","6260000-63-874","20160323","","01","영업/정상","0010","운행","","","","","0514637360","","48938","부산광역시 중구 중앙동4가 84-23 경도빌딩 201호","부산광역시 중구 충장대로9번길 17-1, 경도빌딩 201호(중앙동4가)","48938","(주)비오비로지텍","20220628000000","U","2022-06-30 02:40:00.0","","385689.261984087","180554.835167217","6260000","국제물류주선업","300000000","","","","","",
"227","국제물류주선업","11_45_01_P","6260000","6260000-63-876","20160324","","01","영업/정상","0010","운행","","","","","07078401899","","47593","부산광역시 연제구 연산동 1866-2 아이유파크(IU-PARK) 101동 2401호","부산광역시 연제구 연수로 179, 101동 2401호 (연산동, 아이유 파크(IU-PARK))","47593","(주)윤우종합물류","20200520000000","U","2020-05-22 02:40:00.0","","390365.720024","188126.910178","6260000","국제물류주선업","300000000","","","","","",
"228","국제물류주선업","11_45_01_P","6260000","6260000-63-877","20160324","","01","영업/정상","0010","운행","","","","","","","48748","부산광역시 동구 범일동 825-7 두산위브포세이돈Ⅱ","부산광역시 동구 자성로116번길 2, 105동 2504호 (범일동, 두산위브포세이돈Ⅱ)","48748","(주)한성트랜스","20191014000000","U","2019-10-16 02:40:00.0","","388040.090360392","183818.845448598","6260000","국제물류주선업","300000000","","","","","",
"229","국제물류주선업","11_45_01_P","6260000","6260000-63-878","20160328","","01","영업/정상","0010","운행","","","","","0519252112","","48058","부산광역시 해운대구 재송동 1208-2 센텀스카이비즈 에이동 에이-611호","부산광역시 해운대구 센텀중앙로 97, 센텀스카이비즈 에이동 에이-611호(재송동)","48058","(주)에이치에스글로벌","20220502000000","U","2022-05-04 02:40:00.0","","393519","188317","6260000","국제물류주선업","300000000","","","","","",
