"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","시력표수","표본렌즈수","측정의자수","동공거리측정기수","정점굴절계기수","조제용연마기수","렌즈절단기수","가열기수","안경세척기수","총면적",
"32","안경업","01_02_01_P","3250000","PHMB220143250021082200002","20140228","","01","영업/정상","13","영업중","","","","","051-244-6335","","600032","부산광역시 중구 광복동2가 32번지 3호","부산광역시 중구 광복로 74-1 (광복동2가)","48954","아이디어안경광복점","20140228105554","I","2018-08-31 23:59:59.0","","385301.684707614","179600.783576276","1","1","1","1","1","1","1","1","1","75.47",
"33","안경업","01_02_01_P","3250000","PHMB219943250021082200002","19941029","","01","영업/정상","13","영업중","","","","","051-244-7476","","","부산광역시 중구 신창동3가 28-3","부산광역시 중구 광복로35번길 19 (신창동3가)","48946","원일안경","20131230110930","I","2018-08-31 23:59:59.0","","384910.186425322","179886.557797745","1","1","1","1","1","1","1","1","1","",
"34","안경업","01_02_01_P","3250000","PHMB219943250021082200003","19941124","","01","영업/정상","13","영업중","","","","","051-242-5214","","600016","부산광역시 중구 중앙동6가 9번지 1호","부산광역시 중구 중앙대로 지하 17, B-55호 (중앙동6가, 광복지하도상가)","48955","서림안경","20150715155456","I","2018-08-31 23:59:59.0","","385670.69094284","179770.553768032","1","1","1","1","1","1","1","1","1","",
"35","안경업","01_02_01_P","3250000","PHMB219953250021082200001","19951205","","01","영업/정상","13","영업중","","","","","051-246-7984","","","부산광역시 중구 남포동5가 83번지 2호 남포지하도상가","부산광역시 중구 구덕로 지하 44, 남포지하도상가 나9호, 다9-1호, 다9-2호 (남포동5가)","48953","미도안경","20190716100826","U","2019-07-18 02:40:00.0","","384956.383057363","179461.744559469","1","1","1","1","1","1","1","1","1","",
"36","안경업","01_02_01_P","3250000","PHMB219963250021082200001","19960521","","01","영업/정상","13","영업중","","","","","051-255-7844","","","부산광역시 중구 신창동3가 29-1","부산광역시 중구 광복로35번길 21 (신창동3가)","48946","가나안경","20131230110258","I","2018-08-31 23:59:59.0","","384912.202297913","179903.684373939","1","1","1","1","1","1","1","1","1","",
"37","안경업","01_02_01_P","3250000","PHMB219983250021082200001","19980312","","01","영업/정상","13","영업중","","","","","051-246-3586","","","부산광역시 중구 신창동3가 5-5","부산광역시 중구 광복로35번길 32 (신창동3가)","48946","아진안경점","20131230110221","I","2018-08-31 23:59:59.0","","384920.980936057","179988.388814829","1","1","1","1","1","1","1","1","1","",
"38","안경업","01_02_01_P","3250000","PHMB219983250021082200002","19980915","","01","영업/정상","13","영업중","","","","","255-9427","","","부산광역시 중구 신창동3가 27-3","부산광역시 중구 광복로35번길 15 (신창동3가)","48946","눈동자안경원","20201214173131","U","2020-12-16 02:40:00.0","","384913.212988485","179840.691629138","1","1","1","1","1","1","1","1","1","",
"39","안경업","01_02_01_P","3250000","PHMB219713250021082200001","19710518","","01","영업/정상","13","영업중","","","","","051-245-6080","","","부산광역시 중구 신창동4가 44-1","부산광역시 중구 국제시장2길 33 (신창동4가)","48945","이화사안경점","20131230112807","I","2018-08-31 23:59:59.0","","384874.44089544","180021.736990077","1","1","1","1","1","1","1","1","1","",
"40","안경업","01_02_01_P","3250000","PHMB219803250021082200001","19800704","","01","영업/정상","13","영업중","","","","","051-463-0454","","","부산광역시 중구 대청동3가 9-1","부산광역시 중구 대청로 87 (대청동3가)","48933","로마안경점","20131230112728","I","2018-08-31 23:59:59.0","","384969.158266786","180112.133812506","1","1","1","1","1","1","1","1","1","",
"41","안경업","01_02_01_P","3250000","PHMB219823250021082200001","19820327","","01","영업/정상","13","영업중","","","","","","","","부산광역시 중구 부평동1가 37-27","부산광역시 중구 중구로 15(부평동1가)","48980","제로플러스","20220622163904","U","2022-06-24 02:40:00.0","","384809.984306486","179667.379514946","1","1","1","1","1","1","1","1","1","210",
"42","안경업","01_02_01_P","3250000","PHMB220023250021082200001","20020403","","01","영업/정상","13","영업중","","","","","051-245-4821","","","부산광역시 중구 창선동2가 45-3","부산광역시 중구 중구로 16 (창선동2가)","48953","초이스안경남포점","20131230105358","I","2018-08-31 23:59:59.0","","384845.340081512","179666.006109079","1","1","1","1","1","1","1","1","1","",
"43","안경업","01_02_01_P","3250000","PHMB220033250021082200001","20030930","","01","영업/정상","13","영업중","","","","","051-245-2132","","","부산광역시 중구 남포동6가 81-1","부산광역시 중구 중구로 3 (남포동6가)","48981","다비치안경","20190801171001","U","2019-08-03 02:40:00.0","","384837.437171309","179552.786747988","1","1","1","1","1","1","1","1","1","",
"44","안경업","01_02_01_P","3250000","PHMB220043250021082200002","20040506","","01","영업/정상","13","영업중","","","","","051-244-9669","","","부산광역시 중구 신창동3가 35","부산광역시 중구 광복로35번길 29 (신창동3가)","48946","네누네안경","20131230105132","I","2018-08-31 23:59:59.0","","384905.411566553","179975.574695525","1","1","1","1","1","1","1","1","1","",
"45","안경업","01_02_01_P","3250000","PHMB220043250021082200003","20041208","","01","영업/정상","13","영업중","","","","","051-244-9799","","","부산광역시 중구 신창동4가 6-2","부산광역시 중구 국제시장2길 30 (신창동4가)","48946","뉴안경&콘택트","20131230105024","I","2018-08-31 23:59:59.0","","384892.793814672","179975.026012792","1","1","1","1","1","1","1","1","1","",
"46","안경업","01_02_01_P","3250000","PHMB220073250021082200001","20070309","","01","영업/정상","13","영업중","","","","","051-257-3176","","600804","부산광역시 중구 부평동1가 15번지","부산광역시 중구 중구로43번길 16-1 (부평동1가)","48978","자유안경","20151216110323","I","2018-08-31 23:59:59.0","","384755.3041841","179963.444128672","1","1","1","1","1","1","1","1","1","",
"47","안경업","01_02_01_P","3250000","PHMB220073250021082200003","20070612","","01","영업/정상","13","영업중","","","","","051-246-1127","","600064","부산광역시 중구 신창동4가 5번지 1호","부산광역시 중구 중구로48번길 8 (신창동4가)","48946","아이클럽안경","20131230104201","I","2018-08-31 23:59:59.0","","384891.278001931","179996.654474505","1","1","1","1","1","1","1","1","1","",
"48","안경업","01_02_01_P","3250000","PHMB220103250021082200003","20100713","","01","영업/정상","13","영업중","","","","","051-241-7888","","","부산광역시 중구 신창동2가 32번지 3호","부산광역시 중구 광복로39번길 29-1 (신창동2가)","48946","나비(NAVI) 안경원","20180402171336","I","2018-08-31 23:59:59.0","","384939.529436314","179978.182596049","1","1","1","1","1","1","1","1","1","56.1",
"49","안경업","01_02_01_P","3250000","PHMB220103250021082200004","20100817","","01","영업/정상","13","영업중","","","","","051-678-4067","","","부산광역시 중구 중앙동7가 20번지 1호 롯데백화점광복점","부산광역시 중구 중앙대로 2, 롯데백화점광복점 (중앙동7가)","48944","룩옵티컬부산광복점","20200226122309","U","2020-02-28 02:40:00.0","","385590.814676765","179553.867031936","1","1","1","1","2","1","1","2","2","56",
"50","안경업","01_02_01_P","3250000","PHMB220123250021082200002","20120607","","01","영업/정상","13","영업중","","","","","231-7270","","600045","부산광역시 중구 남포동5가 28번지 7호","부산광역시 중구 중구로 4 (남포동5가)","48953","렌즈스토리 남포점","20120607150516","I","2018-08-31 23:59:59.0","","384870.646420717","179556.845062881","1","1","1","1","1","1","1","1","1","14.88",
"51","안경업","01_02_01_P","3250000","PHMB220123250021082200003","20120822","","01","영업/정상","13","영업중","","","","","051-257-2356","","600031","부산광역시 중구 광복동1가 26번지 광복지하도상가 B-9, 10호","부산광역시 중구 광복로 89-1 (광복동1가)","48952","it(잇) 안경원","20151109163254","I","2018-08-31 23:59:59.0","","385460.885030761","179632.743861335","1","1","1","1","1","1","1","1","1","36.8",
"52","안경업","01_02_01_P","3250000","PHMB219863250021082200001","19860324","","01","영업/정상","13","영업중","","","","","051-463-3123","","","부산광역시 중구 대창동1가 25번지 2호","부산광역시 중구 중앙대로 113-1, 1층 (대창동1가)","48924","밝은세상안경원","20170927180522","I","2018-08-31 23:59:59.0","","385578.122719036","180649.789732156","1","1","1","1","1","1","1","1","1","100.39",
"53","안경업","01_02_01_P","3250000","PHMB219913250021082200002","19910621","","01","영업/정상","13","영업중","","","","","051-246-8651","","","부산광역시 중구 신창동4가 43-2","부산광역시 중구 국제시장2길 29 (신창동4가)","48945","세신안경","20131230112017","I","2018-08-31 23:59:59.0","","384874.515689472","179978.235223733","1","1","1","1","1","1","1","1","1","",
"54","안경업","01_02_01_P","3250000","PHMB219913250021082200003","19910627","","01","영업/정상","13","영업중","","","","","051-246-0449","","","부산광역시 중구 신창동3가 10번지 4호","부산광역시 중구 중구로40번길 11, 2층 (신창동3가)","48946","제일콘택트안경","20200622160236","U","2020-06-24 02:40:00.0","","384927.226658792","179921.315083722","1","1","1","1","1","1","1","1","1","109.42",
"55","안경업","01_02_01_P","3250000","PHMB219913250021082200005","19910718","","01","영업/정상","13","영업중","","","","","051-246-9523","","","부산광역시 중구 창선동2가 24-4","부산광역시 중구 국제시장2길 6-1 (창선동2가)","48946","코스모안경","20131230111641","I","2018-08-31 23:59:59.0","","384903.52410762","179742.031632526","1","1","1","1","1","1","1","1","1","",
"56","안경업","01_02_01_P","3250000","PHMB219913250021082200006","19910807","","01","영업/정상","13","영업중","","","","","051-242-2376","","","부산광역시 중구 신창동4가 39-1","부산광역시 중구 국제시장2길 29 (신창동4가)","48945","세일안경","20131230111604","I","2018-08-31 23:59:59.0","","384874.515689472","179978.235223733","1","1","1","1","1","1","1","1","1","",
"57","안경업","01_02_01_P","3250000","PHMB219913250021082200007","19910816","","01","영업/정상","13","영업중","","","","","051-246-8660","","","부산광역시 중구 신창동3가 35","부산광역시 중구 광복로35번길 29 (신창동3가)","48946","새로미안경","20131230111526","I","2018-08-31 23:59:59.0","","384905.411566553","179975.574695525","1","1","1","1","1","1","1","1","1","",
"58","안경업","01_02_01_P","3250000","PHMB219983250021082200003","19980918","","01","영업/정상","13","영업중","","","","","051-254-6100","","","부산광역시 중구 남포동5가 20-1","부산광역시 중구 비프광장로 30-1 (남포동5가)","48953","눈사랑안경(남포)","20170620133901","I","2018-08-31 23:59:59.0","","384896.263260894","179616.242546962","1","1","1","1","1","1","1","1","1","",
"59","안경업","01_02_01_P","3250000","PHMB219993250021082200002","19990525","","01","영업/정상","13","영업중","","","","","051-255-8845","","","부산광역시 중구 신창동4가 14-2","부산광역시 중구 국제시장2길 16-2 (신창동4가)","48946","코리아안경","20131230110018","I","2018-08-31 23:59:59.0","","384898.416600159","179849.344034003","1","1","1","1","1","1","1","1","1","",
"60","안경업","01_02_01_P","3250000","PHMB220003250021082200002","20000928","","01","영업/정상","13","영업중","","","","","243-7300","","","부산광역시 중구 남포동2가 12번지 1호","부산광역시 중구 구덕로34번길 7 (남포동2가)","48953","세컨페이스 안경","20191007141506","U","2019-10-09 02:40:00.0","","385230.453479465","179620.224279161","1","1","1","1","1","1","1","1","1","78.02",
"61","안경업","01_02_01_P","3250000","PHMB220003250021082200003","20001204","","01","영업/정상","13","영업중","","","","","051-241-2389","","600064","부산광역시 중구 신창동4가 4번지","부산광역시 중구 광복로35번길 33 (신창동4가)","48946","로데오안경","20220223134505","U","2022-02-25 02:40:00.0","","384890.194860892","180018.122584366","1","1","1","1","1","1","1","1","1","0",
"62","안경업","01_02_01_P","3250000","PHMB220003250021082200004","20001220","","01","영업/정상","13","영업중","","","","","051-246-4901","","","부산광역시 중구 신창동4가 12-2","부산광역시 중구 국제시장2길 20 (신창동4가)","48946","하이비젼안경","20131230105758","I","2018-08-31 23:59:59.0","","384896.635270758","179885.960574185","1","1","1","1","1","1","1","1","1","",
"63","안경업","01_02_01_P","3250000","PHMB220013250021082200002","20010525","","01","영업/정상","13","영업중","","","","","051-253-2552","","","부산광역시 중구 신창동4가 39-1","부산광역시 중구 국제시장2길 29 (신창동4가)","48945","미광안경마트","20131230105636","I","2018-08-31 23:59:59.0","","384874.515689472","179978.235223733","1","1","1","1","1","1","1","1","1","",
"64","안경업","01_02_01_P","3250000","PHMB220013250021082200003","20011023","","01","영업/정상","13","영업중","","","","","051-301-6800","","","부산광역시 중구 신창동4가 6-1","부산광역시 중구 국제시장2길 30-1 (신창동4가)","48946","DHP아이센스","20151216110506","I","2018-08-31 23:59:59.0","","384892.202632503","179985.899202942","1","1","1","1","1","1","1","1","1","",
"65","안경업","01_02_01_P","3250000","PHMB220013250021082200004","20011108","","01","영업/정상","13","영업중","","","","","051-255-3366","","","부산광역시 중구 신창동1가 8-3","부산광역시 중구 광복중앙로 9 (신창동1가)","48948","미라지오안경원","20131230105440","I","2018-08-31 23:59:59.0","","385102.447573369","179784.976689843","1","1","1","1","1","1","1","1","1","",
"66","안경업","01_02_01_P","3250000","PHMB220123250021082200001","20120510","","01","영업/정상","13","영업중","","","","","256-8816","","600071","부산광역시 중구 부평동1가 36번지 7호","부산광역시 중구 중구로 21 (부평동1가)","48979","모노 옵티컬안경","20130103100312","I","2018-08-31 23:59:59.0","","384814.362338747","179724.880886242","1","1","2","1","3","1","1","2","2","71.4",
"67","안경업","01_02_01_P","3250000","PHMB220093250021082200001","20091202","","01","영업/정상","13","영업중","","","","","051-253-8911","","600032","부산광역시 중구 광복동2가 42번지","부산광역시 중구 광복로 64 (광복동2가)","48953","아이젠트리 광복점","20150420152915","I","2018-08-31 23:59:59.0","","385199.703527545","179650.084483074","1","1","1","1","1","1","1","1","1","75.48",
"68","안경업","01_02_01_P","3250000","PHMB220143250021082200006","20140822","","01","영업/정상","13","영업중","","","","","051-462-0102","","600017","부산광역시 중구 중앙동7가 20번지 1호","부산광역시 중구 중앙대로 2 (중앙동7가)","48944","렌즈맨안경원","20150210103016","I","2018-08-31 23:59:59.0","","385590.814676765","179553.867031936","1","1","1","1","1","1","1","1","1","31.22",
"69","안경업","01_02_01_P","3250000","PHMB220143250021082200007","20141031","","01","영업/정상","13","영업중","","","","","051-465-8008","","600730","부산광역시 중구 대청동4가 12번지 9호","부산광역시 중구 중구로 121 (대청동4가)","48972","밝은안경원","20141031142305","I","2018-08-31 23:59:59.0","","385203.926916019","180571.713650198","1","1","1","1","1","1","1","1","1","34.16",
"70","안경업","01_02_01_P","3250000","PHMB220093250021082200002","20091204","","01","영업/정상","13","영업중","","","","","051-647-9267","","600052","부산광역시 중구 창선동2가 45번지 3호","부산광역시 중구 중구로 16 (창선동2가)","","2층학생안경","20091204162230","I","2018-08-31 23:59:59.0","","384845.340081512","179666.006109079","1","1","1","1","1","1","1","1","1","37.32",
"71","안경업","01_02_01_P","3250000","PHMB220143250021082200003","20140425","","01","영업/정상","13","영업중","","","","","051-253-2700","","","부산광역시 중구 남포동1가 11 도시철도 남포역","부산광역시 중구 구덕로 지하12, 도시철도 남포역 9,10,11,31호 (남포동1가)","48954","글라스미렌즈미남포역안경","20220701181917","U","2022-07-03 02:40:00.0","","385452.603862548","179538.845528092","1","1","1","1","1","1","1","1","1","0",
"72","안경업","01_02_01_P","3250000","PHMB220153250021082200001","20150617","","01","영업/정상","13","영업중","","","","","051-242-0505","","","","부산광역시 중구 중구로40번길 17-1 (신창동2가)","48947","아이락 안경","20150617093736","I","2018-08-31 23:59:59.0","","384999","179927","1","1","1","1","1","1","1","1","1","31.92",
"73","안경업","01_02_01_P","3250000","PHMB220153250021082200002","20150617","","01","영업/정상","13","영업중","","","","","051-241-7760","","600032","부산광역시 중구 광복동2가 31번지 1호","부산광역시 중구 광복로 78 (광복동2가)","48954","세컨페이스 안경","20150617093756","I","2018-08-31 23:59:59.0","","385326.295585484","179590.994941396","1","1","1","1","1","1","1","1","1","172.72",
"74","안경업","01_02_01_P","3250000","PHMB220203250021082200002","20200625","","01","영업/정상","13","영업중","","","","","","","","부산광역시 중구 창선동1가 28번지 2호","부산광역시 중구 광복로49번길 5, 1층 (창선동1가)","48947","렌즈타운남포점","20200625154652","I","2020-06-27 00:23:16.0","","385072.116829714","179719.499403964","1","1","1","1","1","1","1","1","1","66.4",
