"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","업종구분명","관리업구분명","자본금","자산","보수범위","유지관리책임인력수","실무기술인력수","설계책임기술인력수","제조책임기술인력수","임원수","총직원수","기술직직원수","기능직직원수","사무직직원수","기타직원수","회사구분명","사업자등록번호",
"11","승강기제조및수입업체","11_48_02_P","6260000","626000000014","20141203","","01","영업/정상","1","인허가","","","","","0512637282","","","부산광역시 사하구 구평동 27번지","부산광역시 사하구 사하로70번길 10 (구평동)","49447","동양엘리베이터(주)","20191216112439","U","2020-04-28 02:40:00.0","","381808.654590764","178317.854152476","제조수입","엘리베이터일반제조업,","200000000","","","","","1","1","","3","","","","","","",
"12","승강기제조및수입업체","11_48_02_P","6260000","626000000001","20130818","","01","영업/정상","1","인허가","","","","","0513281226","","617801","부산광역시 사상구 감전동  156번지 6호","부산광역시 사상구 학감대로221번길 10 (감전동)","617801","(주)구룡산전","20190911172223","U","2020-04-28 02:40:00.0","","381192.267810697","185379.300879973","제조수입","","500000000","","","","","1","1","","3","","","","","","",
"13","승강기제조및수입업체","11_48_02_P","6260000","626000000002","20130822","","01","영업/정상","1","인허가","","","","","0518977003","","614801","부산광역시 부산진구 가야동 143번지 48호 윤정빌딩","부산광역시 부산진구 가야대로 517, 3층 (가야동,윤정빌딩)","614801","(주)아남테크서비스","20200218162730","U","2020-04-28 02:40:00.0","","384774.798846787","185717.12959147","제조수입","","350000000","","","","","1","1","","3","3","","","","","",
"14","승강기제조및수입업체","11_48_02_P","6260000","626000000003","20130823","","01","영업/정상","1","인허가","","","","","0517826923","","","부산광역시 기장군 장안읍 반룡리 900-1","부산광역시 기장군 장안읍 반룡산단1로 55","46034","(주)한림기업","20200427173700","U","2020-04-29 02:40:00.0","","","","제조수입","","305000000","","","","","1","1","","3","","","","","","",
"15","승강기제조및수입업체","11_48_02_P","6260000","626000000004","20130827","","01","영업/정상","1","인허가","","","","","0517847043","","","부산광역시 기장군 정관면 달산리 1113번지 1호","부산광역시 기장군 정관면 산단5로 78","46026","(주)영진엘리베이터","20190925212208","U","2020-04-28 02:40:00.0","","400107.14148200000","204528.24442700000","제조수입","","300000000","","","","","1","1","","3","","","","","","",
"16","승강기제조및수입업체","11_48_02_P","6260000","626000000005","20130829","","01","영업/정상","1","인허가","","","","","0513228496","","617841","부산광역시 사상구 학장동  212번지 16호","부산광역시 사상구 학장로248번길 77 (학장동)","617841","(주)금보엘리베티어","20190725114333","U","2020-04-28 02:40:00.0","","381624.151684327","184462.868501007","제조수입","엘리베이터일반제조업, 휠체어리프트일반제조업,","200000000","","","","","1","1","","6","","","","","","",
"17","승강기제조및수입업체","11_48_02_P","6260000","626000000006","20130831","","01","영업/정상","1","인허가","","","","","0512628090","","","부산광역시 사하구 장림동 454번지","부산광역시 사하구 다대로354번안길 69 (장림동)","49469","(주)현텍승강기","20191209140734","U","2020-04-28 02:40:00.0","","380123.22459600000","176915.12243100000","제조수입","","210000000","","","","","1","1","","3","","","","","","",
"18","승강기제조및수입업체","11_48_02_P","6260000","626000000022","20200916","","01","영업/정상","1","인허가","","","","","0518315015","","46722","부산광역시 강서구 대저2동 3830-1","부산광역시 강서구 금호순서길89번가길 70 (대저2동)","46722","(주)다완테크","20200916113947","I","2020-09-18 00:23:12.0","","377735.518784027","186164.706125856","제조수입","엘리베이터수입업,","200000000","","","","","","","","3","","","","","","",
"19","승강기제조및수입업체","11_48_02_P","6260000","626000000025","20220607","","01","영업/정상","1","인허가","","","","","0517279508","","46031","부산광역시 기장군 장안읍 오리 1123-6","부산광역시 기장군 장안읍 오리산단7로 25","46031","(주)월드케이씨피","20220607134849","I","2022-06-09 00:22:31.0","","","","제조수입","엘리베이터수입업, 에스컬레이터일반제조업,","210000000","","","","","","","","3","","","","","","",
"20","승강기제조및수입업체","11_48_02_P","6260000","626000000017","20170328","","03","폐업","2","폐지","20171222","","","","0518074091","","","부산광역시 남구 문현동 119번지 31호","부산광역시 남구 고동골로78번길 26, 3층 (문현동)","48417","(주)경동엘리베이터","20170328111602","I","2018-08-31 23:59:59.0","","388841.799496178","184701.09649614","제조수입","엘리베이터수입업, 에스컬레이터수입업,","500000000","","","","","1","","","2","","","","","","",
"21","승강기제조및수입업체","11_48_02_P","6260000","626000000019","20180816","","03","폐업","2","폐지","20190916","","","","0518982016","","47338","부산광역시 부산진구 가야동 361-85 가야삼정그린코아 가야동","부산광역시 부산진구 엄광로248번길 18, 가야삼정그린코아 가야동 2층 (가야동)","47338","삼성엘리베이터(주)","20180816151855","I","2018-08-31 23:59:59.0","","385712.886807814","185484.547882358","제조수입","엘리베이터조립제조업,","500000000","","","","","1","","","2","","","","","","",
"22","승강기제조및수입업체","11_48_02_P","6260000","626000000013","20140825","","03","폐업","2","폐지","20190827","","","","0517813307","","","부산광역시 해운대구 반여동 219-1","부산광역시 해운대구 선수촌로208번길 60, 2층 (반여동)","48033","(주)센텀엘리베이터","20190102115530","U","2019-03-23 02:40:00.0","","393697.570555402","192386.16068475","제조수입","엘리베이터조립제조업,","200000000","","","","","1","0","","2","","","","","","",
"23","승강기제조및수입업체","11_48_02_P","6260000","626000000015","20160329","","03","폐업","2","폐지","20200221","","","","0517049962","","","부산광역시 해운대구 좌동 1319번지 두산2차아파트관리동","부산광역시 해운대구 대천로 225, 1층 (좌동,두산2차아파트관리동)","48110","(주)동부엘리베이터","20160329175450","I","2018-08-31 23:59:59.0","","398587.479565726","187669.741370129","제조수입","엘리베이터조립제조업,","305000000","","","","","1","","","","","","","","","",
"24","승강기제조및수입업체","11_48_02_P","6260000","626000000008","20140321","","02","휴업","3","휴지","","20190927","20210926","","0515572675","","","부산광역시 강서구 대저2동 3138-1","부산광역시 강서구 유통단지1로 50, 티플렉스 202동 212호 (대저2동)","46721","비엘티중앙엘리베이터(주)","20180710162253","I","2018-08-31 23:59:59.0","","377988.03993089","187305.367579412","제조수입","엘리베이터조립제조업, 에스컬레이터수입업,","250000000","","","","","1","","","15","","","","","","",
"25","승강기제조및수입업체","11_48_02_P","6260000","626000000011","20140424","","04","취소/말소/만료/정지/중지","5","등록취소","","","","","0513160525","","617844","부산광역시 사상구 학장동 265번지 10호","부산광역시 사상구 학장로169번길 52 (학장동)","617844","(주)금강산전","20190805140917","U","2020-04-28 02:40:00.0","","380944.583029694","184660.914937398","제조수입","엘리베이터일반제조업,","200000000","","","","","1","1","","3","","","","","","",
