"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","위생업태명","건물지상층수","건물지하층수","사용시작지상층","사용끝지상층","사용시작지하층","사용끝지하층","한실수","양실수","욕실수","발한실여부","의자수","조건부허가신고사유","조건부허가시작일자","조건부허가종료일자","건물소유구분명","세탁기수","여성종사자수","남성종사자수","회수건조수","침대수","다중이용업소여부",
"13","건물위생관리업","09_30_04_P","3250000","3250000-206-2014-00001","20140109","","01","영업/정상","01","영업","","","","","051 465 8596","44.00","600102","부산광역시 중구 대창동2가 33-1","부산광역시 중구 중앙대로 139, A동 502호 (대창동2가)","48924","강남환경공사","20140109142837","I","2018-08-31 23:59:59.0","건물위생관리업","385651.871633914","180892.474928023","건물위생관리업","4","1","","","","","0","0","0","N","0","","","","임대","0","","","0","0","N",
"14","건물위생관리업","09_30_04_P","3250000","3250000-206-2008-00004","20080710","","01","영업/정상","01","영업","","","","","051 253 4370","194.69","600021","부산광역시 중구 동광동1가 2","부산광역시 중구 해관로 7, 6층 (동광동1가)","48955","(주)썬앤문","20161213142243","I","2018-08-31 23:59:59.0","건물위생관리업","385542.541829968","179713.813132173","건물위생관리업","","","","","","","","","","N","","","","","","","","","","","N",
"15","건물위생관리업","09_30_04_P","3250000","3250000-206-2004-00005","20041014","","01","영업/정상","01","영업","","","","","051 4629501","89.20","600816","부산광역시 중구 중앙동4가 78-24 대림빌딩 203호","부산광역시 중구 중앙대로132번길 7, 203호 (중앙동4가, 대림빌딩)","48936","(주)하나기업","20150123174017","I","2018-08-31 23:59:59.0","건물위생관리업","385750.663036562","180786.918635816","건물위생관리업","5","1","2","2","0","0","0","0","0","N","0","","","","","0","","","0","0","N",
"16","건물위생관리업","09_30_04_P","3250000","3250000-206-2006-00003","20060601","","01","영업/정상","01","영업","","","","","051 972 1119","82.50","600110","부산광역시 중구 영주동 324-1 (1층)","부산광역시 중구 망양로 389, 1층 (영주동)","48901","(주)부성에스씨아이","20190422145302","U","2019-04-24 02:40:00.0","건물위생관리업","384962.932894654","181008.976277345","건물위생관리업","3","1","1","1","0","0","0","0","0","N","0","","","","자가","0","","","0","0","N",
"17","건물위생관리업","09_30_04_P","3250000","3250000-206-1998-00001","19980214","","01","영업/정상","01","영업","","","","","051 2480709","55.10","600046","부산광역시 중구 남포동6가 63 (9층)","부산광역시 중구 구덕로 90, 9층 (남포동6가)","48981","(주)장생물산 부산지점","20210625134223","U","2021-06-27 02:40:00.0","건물위생관리업","384670.317658138","179489.435069922","건물위생관리업","0","0","0","0","0","0","0","0","0","N","0","","","","","0","","","0","0","N",
"18","건물위생관리업","09_30_04_P","3250000","3250000-206-2016-00002","20161110","","01","영업/정상","01","영업","","","","","051 231 0856","48.73","600016","부산광역시 중구 중앙동6가 20-27","부산광역시 중구 중앙대로 37-1, 3층 (중앙동6가)","48957","(사)한국장애인케어협회","20161122175024","I","2018-08-31 23:59:59.0","건물위생관리업","385598.455879099","179889.054990223","건물위생관리업","3","0","3","3","","","0","0","0","N","0","","","","임대","0","0","2","0","0","N",
"19","건물위생관리업","09_30_04_P","3250000","3250000-206-2009-00005","20090929","","01","영업/정상","01","영업","","","","","051  4003114","83.00","600814","부산광역시 중구 중앙동4가 15-3","부산광역시 중구 충장대로 24, 2층 (중앙동4가)","48940","(사)부산항시설관리센터","20200123155241","U","2020-01-25 02:40:00.0","건물위생관리업","386032.236798563","180263.270670699","건물위생관리업","6","0","2","2","0","0","0","0","0","N","0","","","","임대","0","","","0","0","N",
"20","건물위생관리업","09_30_04_P","3250000","3250000-206-2014-00006","20141010","","01","영업/정상","01","영업","","","","","","66.50","600083","부산광역시 중구 보수동3가 24-6","부산광역시 중구 보수대로 96, 2,3층 (보수동3가)","48966","비디에스","20171025172646","I","2018-08-31 23:59:59.0","건물위생관리업","384240.617108055","180233.385285739","건물위생관리업","4","0","2","3","0","0","0","0","0","N","0","","","","","0","0","0","0","0","N",
"21","건물위생관리업","09_30_04_P","3250000","3250000-206-2006-00007","20060518","","01","영업/정상","01","영업","","","","","051 5211411","177.98","600102","부산광역시 중구 대창동2가 29-1","부산광역시 중구 중앙대로 145, 3층 (대창동2가)","48924","(주)엠제이서비스","20220223132647","U","2022-02-25 02:40:00.0","건물위생관리업","385676.22672246","180949.186545775","건물위생관리업","4","1","1","2","0","0","0","0","0","N","0","","","","임대","0","","","0","0","N",
"22","건물위생관리업","09_30_04_P","3250000","3250000-206-2013-00001","20130523","","01","영업/정상","01","영업","","","","","051 468 0264","57.90","600814","부산광역시 중구 중앙동4가 85-3 신도빌딩 806호","부산광역시 중구 충장대로9번길 22, 8층 806호 (중앙동4가, 신도빌딩)","48938","주식회사 공정한기업","20130523171950","I","2018-08-31 23:59:59.0","건물위생관리업","385724.319576287","180589.309934345","건물위생관리업","8","2","8","8","0","0","0","0","0","N","0","","","","임대","0","2","1","0","0","N",
"23","건물위생관리업","09_30_04_P","3250000","3250000-206-2014-00004","20141121","","01","영업/정상","01","영업","","","","","02  26368454","86.73","600817","부산광역시 중구 중앙동4가 81-27","부산광역시 중구 충장대로5번길 36-1, 3층 (중앙동4가)","48937","두성종합개발(주)","20150819115337","I","2018-08-31 23:59:59.0","건물위생관리업","385704.287614749","180720.311347188","건물위생관리업","2","0","2","","","","0","0","0","N","0","","","","","0","0","0","0","0","N",
"24","건물위생관리업","09_30_04_P","3250000","3250000-206-2020-00001","20200106","","01","영업/정상","01","영업","","","","","050 40509150","81.72","600016","부산광역시 중구 중앙동6가 66-3 부산데파트","부산광역시 중구 중앙대로 21, 부산데파트 3층 311호 (중앙동6가)","48955","(주)창업과 일자리","20200106144436","I","2020-01-08 00:23:39.0","건물위생관리업 기타","385601.609224712","179713.921730815","건물위생관리업 기타","7","1","3","3","","","0","0","0","N","0","","","","임대","0","0","1","0","0","N",
"25","건물위생관리업","09_30_04_P","3250000","3250000-206-2014-00007","20140702","","01","영업/정상","01","영업","","","","","","50.00","600102","부산광역시 중구 대창동2가 35-4","부산광역시 중구 중앙대로 137, 2층 202호 (대창동2가)","48924","(주)정오시스템","20220405173258","I","2022-04-07 00:22:34.0","건물위생관리업","385644.732001989","180871.190463598","건물위생관리업","5","1","2","2","0","0","0","0","0","N","0","","","","임대","0","0","0","0","0","N",
"26","건물위생관리업","09_30_04_P","3250000","3250000-206-2007-00008","20070115","","01","영업/정상","01","영업","","","","","051 4698866","70.00","600102","부산광역시 중구 대창동2가 35-4","부산광역시 중구 중앙대로 137, 2층 201호 (대창동2가)","48924","(주)정오개발","20220405172603","I","2022-04-07 00:22:34.0","건물위생관리업","385644.732001989","180871.190463598","건물위생관리업","4","1","3","3","0","0","0","0","0","N","0","","","","임대","0","0","0","0","0","N",
"27","건물위생관리업","09_30_04_P","3250000","3250000-206-2020-00002","20200130","","01","영업/정상","01","영업","","","","","051 468 8594","80.75","600083","부산광역시 중구 보수동3가 46-1 보수종합시장","부산광역시 중구 보수대로 94, 보수종합시장 3층 4호 (보수동3가)","48966","동네방역","20220329170448","U","2022-03-31 02:40:00.0","건물위생관리업","384268.876610502","180213.752067668","건물위생관리업","4","1","3","3","0","0","0","0","0","N","0","","","","임대","0","0","2","0","0","N",
"28","건물위생관리업","09_30_04_P","3250000","3250000-206-2020-00003","20200608","","01","영업/정상","01","영업","","","","","","19.01","600811","부산광역시 중구 영주동 601 영주시장","부산광역시 중구 대영로242번길 3, 영주시장 1층 49호 (영주동)","48922","주식회사 맑음","20200608165334","I","2020-06-10 00:23:18.0","건물위생관리업","385670.483619122","181074.042663357","건물위생관리업","0","0","1","1","","","0","0","0","N","0","","","","","0","2","1","0","0","N",
"29","건물위생관리업","09_30_04_P","3250000","3250000-206-2021-00001","20211021","","01","영업/정상","01","영업","","","","","","60.00","600021","부산광역시 중구 동광동1가 4-1","부산광역시 중구 해관로 9, 2층 (동광동1가)","48955","(주)썬앤문 인더스트리","20211021165310","I","2021-10-23 00:23:02.0","건물위생관리업","385539.733638052","179734.354378629","건물위생관리업","2","0","2","0","0","0","0","0","0","N","0","","","","","0","0","0","0","0","N",
"30","건물위생관리업","09_30_04_P","3260000","3260000-206-2015-00002","20151006","","01","영업/정상","01","영업","","","","","051 231 0980","66.00","602819","부산광역시 서구 서대신동2가 253-4","부산광역시 서구 구덕로305번길 56-2 (서대신동2가)","49227","주식회사 블루환경","20180713150419","I","2018-08-31 23:59:59.0","건물위생관리업","383581.224313003","180885.702122474","건물위생관리업","4","0","1","","","","0","0","0","N","0","","","","","0","0","0","0","0","N",
"31","건물위생관리업","09_30_04_P","3260000","3260000-206-2010-00001","20100113","","01","영업/정상","01","영업","","","","","051 256 0089","176.33","602826","부산광역시 서구 서대신동3가 448","부산광역시 서구 구덕로327번길 61 (서대신동3가)","49225","주식회사 에이스","20111223171637","I","2018-08-31 23:59:59.0","건물위생관리업","383476.002944973","181039.869631008","건물위생관리업","4","","2","","","","","","","N","","","","","임대","","","","","","N",
"32","건물위생관리업","09_30_04_P","3260000","3260000-206-2010-00002","20100511","","01","영업/정상","01","영업","","","","","051 257 0421","102.86","602091","부산광역시 서구 서대신동1가 50-7","부산광역시 서구 부용로 15-1 (서대신동1가)","49235","주)영인종합관리","20111223172430","I","2018-08-31 23:59:59.0","건물위생관리업 기타","383858.366929325","180676.741592069","건물위생관리업 기타","4","1","2","","","","0","0","0","N","0","","","","","0","","","0","0","N",
"33","건물위생관리업","09_30_04_P","3260000","3260000-206-2012-00001","20120903","","01","영업/정상","01","영업","","","","","","13.50","602804","부산광역시 서구 남부민동 434-229","부산광역시 서구 천해로 27-10 (남부민동)","49260","동남산업","20120903153027","I","2018-08-31 23:59:59.0","건물위생관리업","383831.626696157","177969.449377774","건물위생관리업","1","0","1","","","","0","0","0","N","0","","","","임대","0","","","0","0","N",
"34","건물위생관리업","09_30_04_P","3260000","3260000-206-2008-00001","20080229","","01","영업/정상","01","영업","","","","","","50.76","602832","부산광역시 서구 암남동 95-18","부산광역시 서구 충무대로 122 (암남동)","49264","(주)삼건실업","20111223115558","I","2018-08-31 23:59:59.0","건물위생관리업","384614.616710217","177669.019386797","건물위생관리업","5","0","3","","","","0","0","0","N","0","","","","임대","0","","","","","N",
"35","건물위생관리업","09_30_04_P","3260000","3260000-206-2009-00002","20090326","","01","영업/정상","01","영업","","","","","","74.80","602821","부산광역시 서구 서대신동3가 161-13 남성한빛가든아파트 상가3층동 301호","부산광역시 서구 꽃마을로 43 (서대신동3가)","49207","그린존","20190326164310","U","2019-03-28 02:40:00.0","건물위생관리업","383259.412069714","181678.653570702","건물위생관리업","4","1","2","","","","0","0","0","N","0","","","","임대","0","","","0","","N",
"36","건물위생관리업","09_30_04_P","3260000","3260000-206-2014-00003","20140930","","01","영업/정상","01","영업","","","","","","13.40","602802","부산광역시 서구 남부민동 94-283","부산광역시 서구 해돋이로 99 (남부민동)","49261","우성환경","20140930103736","I","2018-08-31 23:59:59.0","건물위생관리업","384297.225349499","178376.11468736","건물위생관리업","1","0","1","","","","0","0","0","N","0","","","","","0","0","0","0","0","N",
"37","건물위생관리업","09_30_04_P","3260000","3260000-206-2013-00001","20130215","","01","영업/정상","01","영업","","","","","051 231 3376",".00","602828","부산광역시 서구 아미동2가 74-1","부산광역시 서구 까치고개로208번길 26-1 (아미동2가)","49245","주식회사 행복 드림스","20170918155750","I","2018-08-31 23:59:59.0","건물위생관리업","383963.032726214","179590.025187831","건물위생관리업","","","","","","","","","","N","","","","","","","","","","","N",
"38","건물위생관리업","09_30_04_P","3260000","3260000-206-2016-00001","20160516","","01","영업/정상","01","영업","","","","","","35.64","602808","부산광역시 서구 동대신동1가 153-15","부산광역시 서구 구덕로280번길 17 (동대신동1가)","49218","가람솔 부산","20160901150619","I","2018-08-31 23:59:59.0","건물위생관리업","384046.153294706","180798.882499279","건물위생관리업","4","0","1","","","","0","0","0","N","0","","","","임대","0","0","0","0","0","N",
"39","건물위생관리업","09_30_04_P","3260000","3260000-206-2008-00002","20080519","","01","영업/정상","01","영업","","","","","051 2551533","135.71","602816","부산광역시 서구 부민동1가 16-8 명보빌딩","부산광역시 서구 구덕로 216, 명보빌딩 8층 (부민동1가)","49223","(주)삼성보안공사","20181030133541","U","2018-11-01 02:37:53.0","건물위생관리업 기타","384139.239796909","180176.817868282","건물위생관리업 기타","0","0","3","","","","0","0","0","N","0","","","","임대","0","","","","","N",
"40","건물위생관리업","09_30_04_P","3260000","3260000-206-2017-00002","20171227","","01","영업/정상","01","영업","","","","","051 231 1968","145.13","602834","부산광역시 서구 초장동 54-8","부산광역시 서구 구덕로 151 (초장동)","49245","(주)함께하는","20171227111529","I","2018-08-31 23:59:59.0","건물위생관리업","384144.921285716","179537.065690201","건물위생관리업","0","0","3","","","","0","0","0","N","0","","","","","0","0","0","0","0","N",
"41","건물위생관리업","09_30_04_P","3260000","3260000-206-2003-00004","20031105","","01","영업/정상","01","영업","","","","","051 9906094","73.59","602830","부산광역시 서구 암남동 64-2","부산광역시 서구 감천로 271 (암남동)","49265","진성방역환경","20180108114055","I","2018-08-31 23:59:59.0","건물위생관리업","383903.787413647","177661.594928261","건물위생관리업","2","","1","1","","","","","","N","","","","","임대","","","","","","N",
"42","건물위생관리업","09_30_04_P","3260000","3260000-206-2001-00552","20011212","","01","영업/정상","01","영업","","","","","051 231 1123","34.00","602816","부산광역시 서구 부민동1가 16-8 명보빌딩","부산광역시 서구 구덕로 216, 명보빌딩 지하1층 (부민동1가)","49223","주식회사 엠케이에스앤씨(MK S＆C)","20201126132620","U","2020-11-28 02:40:00.0","건물위생관리업","384139.239796909","180176.817868282","건물위생관리업","","","","","","","","","","N","","","","","","","","","","","N",
"43","건물위생관리업","09_30_04_P","3260000","3260000-206-1997-00547","19970918","","01","영업/정상","01","영업","","","","","051 2426667","199.00","602011","부산광역시 서구 충무동1가 39-5","부산광역시 서구 충무대로 264 (충무동1가)","49254","미창티에스 주식회사","20190617134045","U","2019-06-19 02:40:00.0","건물위생관리업","384531.845588817","179101.182366132","건물위생관리업","0","0","0","0","0","0","0","0","0","N","0","","","","","0","","","0","0","N",
"44","건물위생관리업","09_30_04_P","3260000","3260000-206-2019-00002","20190503","","01","영업/정상","01","영업","","","","","","29.29","602831","부산광역시 서구 암남동 351 월드오피스텔","부산광역시 서구 충무대로34번길 37-7, 11층 1115호 (암남동, 월드오피스텔)","49269","드레곤스 클린","20200203130427","U","2020-02-05 02:40:00.0","건물위생관리업","383908.768305626","177247.448414115","건물위생관리업","","","11","11","","","","","","N","","","","","임대","","","","","","N",
"45","건물위생관리업","09_30_04_P","3260000","3260000-206-2019-00003","20190508","","01","영업/정상","01","영업","","","","","","35.26","602834","부산광역시 서구 초장동 49-1","부산광역시 서구 구덕로151번길 11, 1층 (초장동)","49245","(주)비시에스","20190521160901","U","2019-05-23 02:40:00.0","건물위생관리업","384094.673991699","179541.550127967","건물위생관리업","2","0","1","1","0","0","0","0","0","N","0","","","","","0","0","0","0","0","N",
"46","건물위생관리업","09_30_04_P","3260000","3260000-206-2022-00001","20220415","","01","영업/정상","01","영업","","","","","051 9910401","67.00","602073","부산광역시 서구 부민동3가 76 부민 이 편한세상 상가","부산광역시 서구 해돋이로 309, 부민 이 편한세상 상가 111동 301호 (부민동3가)","49239","(주)키웨스트글로벌","20220426141746","U","2022-04-28 02:40:00.0","건물위생관리업","383741.256791835","180187.026514349","건물위생관리업","0","0","3","3","0","0","0","0","0","N","0","","","","","0","0","0","0","0","N",
"47","건물위생관리업","09_30_04_P","3260000","3260000-206-2019-00004","20191217","","01","영업/정상","01","영업","","","","","051 242 0224","17.80","602011","부산광역시 서구 충무동1가 39-36","부산광역시 서구 충무대로 264, 3층 302호 (충무동1가)","49254","엠씨아이서비스(주)","20200226153218","U","2020-02-28 02:40:00.0","건물위생관리업","384520.498488794","179103.269389099","건물위생관리업","8","","3","3","","","","","","N","","","","","임대","","","","","","N",
"48","건물위생관리업","09_30_04_P","3260000","3260000-206-1987-00846","19871219","","01","영업/정상","01","영업","","","","","051 2467307","84.70","602815","부산광역시 서구 부민동1가 2-3 대광오피스텔 306호","부산광역시 서구 구덕로226번길 9, 대광오피스텔 306호 (부민동1가)","49223","고려종합개발(주)","20180327132817","I","2018-08-31 23:59:59.0","건물위생관리업","384162.7621038","180299.003265813","건물위생관리업","","","","","","","","","","N","","","","","","","","","","","N",
"49","건물위생관리업","09_30_04_P","3260000","3260000-206-2021-00002","20211216","","01","영업/정상","01","영업","","","","","051 945 1919","72.36","602819","부산광역시 서구 서대신동2가 267-5","부산광역시 서구 대영로 21, 2층 (서대신동2가)","49234","천기관리시스템","20211216151634","I","2021-12-18 00:22:42.0","건물위생관리업","383570.915932565","180849.27846485","건물위생관리업","0","0","0","0","0","0","0","0","0","N","0","","","","","0","0","0","0","0","N",
"50","건물위생관리업","09_30_04_P","3260000","3260000-206-2020-00001","20200923","","01","영업/정상","01","영업","","","","","051 253 4489","31.50","602833","부산광역시 서구 암남동 615-2 전원비치오피스텔","부산광역시 서구 송도해변로 31, 4층 506호 (암남동, 전원비치오피스텔)","49275","주식회사 베스트휴먼코리아","20200928145045","U","2020-09-30 02:40:00.0","건물위생관리업","383887.807344832","176636.152698744","건물위생관리업","0","0","4","4","0","0","0","0","0","N","0","","","","","0","","","0","0","N",
"51","건물위생관리업","09_30_04_P","3260000","3260000-206-2021-00001","20211112","","01","영업/정상","01","영업","","","","","051 2442000","46.38","602081","부산광역시 서구 부용동1가 8-2","부산광역시 서구 구덕로250번길 27, 1층 (부용동1가)","49223","(주) 가나상사","20211112163600","I","2021-11-14 00:22:45.0","건물위생관리업","384264.230222145","180518.217464581","건물위생관리업","0","0","1","1","0","0","0","0","0","N","0","","","","","0","0","0","0","0","N",
"52","건물위생관리업","09_30_04_P","3260000","3260000-206-2018-00002","20181128","","01","영업/정상","01","영업","","","","","051 248 0112",".00","602833","부산광역시 서구 암남동 615-2 전원비치오피스텔 1002호","부산광역시 서구 송도해변로 31, 9층 1002호 (암남동, 전원비치오피스텔)","49275","(주)성수인력","20181128143931","I","2018-11-30 02:20:02.0","건물위생관리업","383887.807344832","176636.152698744","건물위생관리업","","","","","","","","","","N","","","","","","","","","","","N",
"53","건물위생관리업","09_30_04_P","3270000","3270000-206-2019-00001","20190314","","01","영업/정상","01","영업","","","","","051 464 3515",".00","601838","부산광역시 동구 초량동 1200-12 지하1층 일부","부산광역시 동구 중앙대로214번길 7-5, 지하1층 (초량동)","48733","청소나라","20190314092858","I","2019-03-16 02:21:52.0","건물위생관리업","386036.50106696","181604.23089029","건물위생관리업","7","1","","","1","1","0","0","0","N","0","","","","임대","0","0","0","0","0","N",
"54","건물위생관리업","09_30_04_P","3270000","3270000-206-2005-00021","20051010","","01","영업/정상","01","영업","","","","","051 6318066","74.63","601719","부산광역시 동구 범일동 830-42 썬오피스텔 지상4층 401호","부산광역시 동구 조방로 39, 썬오피스텔 지상4층 401호 (범일동)","48738","(주)제이에이치관리","20190618175052","U","2019-06-20 02:40:00.0","건물위생관리업","387727.932157079","184254.180458819","건물위생관리업","9","3","6","6","0","0","0","0","0","N","0","","","","임대","0","","","0","0","N",
"55","건물위생관리업","09_30_04_P","3270000","3270000-206-2020-00002","20200313","","01","영업/정상","01","영업","","","","","051 465 0227","73.80","601715","부산광역시 동구 초량동 1147-14 국제오피스텔 1505호, 1506호","부산광역시 동구 중앙대로 263, 국제오피스텔 지상15층 1505, 1506호 (초량동)","48792","주식회사 이수씨엠에스","20200326163322","U","2020-03-28 02:40:00.0","건물위생관리업","386093.674147239","182068.358104572","건물위생관리업","20","2","15","15","0","0","0","0","0","N","0","","","","","0","","","0","0","N",
"56","건물위생관리업","09_30_04_P","3270000","3270000-206-2020-00001","20200203","","01","영업/정상","01","영업","","","","","16441965","27.48","601832","부산광역시 동구 초량동 832-5 도형빌라 B101호","부산광역시 동구 초량로 99, 지하1층 B101호 (초량동, 도형빌라)","48806","클린에어존 부산","20200211163801","U","2020-02-13 02:40:00.0","건물위생관리업","385186.796285757","181931.282633056","건물위생관리업","5","1","0","0","1","1","0","0","0","N","0","","","","","0","","","0","0","N",
"57","건물위생관리업","09_30_04_P","3270000","3270000-206-2020-00004","20200525","","01","영업/정상","01","영업","","","","","","32.58","601812","부산광역시 동구 수정동 1-131 조광빌딩","부산광역시 동구 중앙대로371번길 12, 조광빌딩 3층 (수정동)","48788","주식회사 에이원 종합관리","20200617180103","U","2020-06-19 02:40:00.0","건물위생관리업","386598.978531693","183022.868199642","건물위생관리업","5","1","3","3","0","0","0","0","0","N","0","","","","","0","","","0","0","N",
"58","건물위생관리업","09_30_04_P","3270000","3270000-206-2021-00003","20210804","","01","영업/정상","01","영업","","","","","051  4684055","31.00","601837","부산광역시 동구 초량동 1169-1","부산광역시 동구 중앙대로274번길 4, 2층 205호 (초량동)","48731","(주)세이프가드","20210817145706","U","2021-08-19 02:40:00.0","건물위생관리업","386199.486310653","182100.294558175","건물위생관리업","0","0","0","0","0","0","0","0","0","N","0","","","","","0","0","0","0","0","N",
