"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","업종구분명","자본금의규모","사업자등록번호",
"11","후원방문판매업체","08_26_05_P","6260000","20136260000301000141","20130806","","01","영업/정상","2","영업","","","","","0513221555","","617010","부산광역시 사상구 주례동  ****번지 ***호 *층","부산광역시 사상구 가야대로 ***-*, *층 (주례동)","","유니베라 주례대리점","20220616000000","U","2022-06-18 02:40:00.0","","382403.878623447","185265.62670123","후원방문판매업","0","",
"12","후원방문판매업체","08_26_05_P","6260000","20136260000301000143","20130806","","01","영업/정상","2","영업","","","","","0518521184","","611839","부산광역시 연제구 연산동  ****번지 *호","부산광역시 연제구 중앙대로****번길 ** (연산동)","","유니베라(연산대리점)","20220616000000","U","2022-06-18 02:40:00.0","","389328.141296933","189249.296454686","후원방문판매업","0","",
"13","후원방문판매업체","08_26_05_P","6260000","20136260000301000144","20130806","","01","영업/정상","2","영업","","","","","","","47786","부산광역시 동래구 안락동  ***번지 *호 LG**","부산광역시 동래구 안락로 **, LG** *층 (안락동)","","유니베라(안락대리점)","20220616000000","U","2022-06-18 02:40:00.0","","391037.414298185","191077.895682757","후원방문판매업","0","",
"14","후원방문판매업체","08_26_05_P","6260000","20136260000301000145","20130806","","01","영업/정상","2","영업","","","","","0513012313","","617080","부산광역시 사상구 모라동  ***번지 모라리버빌상가 A동 ***호","부산광역시 사상구 사상로 ***, A동 ***호 (모라동,모라리버빌상가)","","유니베라(신모라대리점)","20220616000000","U","2022-06-18 02:40:00.0","","381114.783397182","189674.910419057","후원방문판매업","0","",
"15","후원방문판매업체","08_26_05_P","6260000","20136260000301000146","20130806","","01","영업/정상","2","영업","","","","","0512480676","","602819","부산광역시 서구 서대신동*가  **번지 *층","부산광역시 서구 구덕로 ***, *층 (서대신동*가)","","유니베라 서부산","20220616000000","U","2022-06-18 02:40:00.0","","383844.48567593","180923.43639407","후원방문판매업","0","",
"16","후원방문판매업체","08_26_05_P","6260000","20136260000301000224","20130807","","01","영업/정상","2","영업","","","","","","","616120","부산광역시 북구 화명동  ****번지 *호 시티타워*층","부산광역시 북구 금곡대로***번길 *, *층 (화명동,시티타워*층)","","(주) 와이엠","20220616000000","U","2022-06-18 02:40:00.0","","383217.253829884","194786.946259107","후원방문판매업","0","",
"17","후원방문판매업체","08_26_05_P","6260000","20136260000301000225","20130807","","01","영업/정상","2","영업","","","","","0515549891","","47815","부산광역시 동래구 명륜동  ***번지 ***호","부산광역시 동래구 충렬대로 ***-**, *층 (명륜동)","","타파웨어 아이비","20211104000000","U","2021-11-06 02:40:00.0","","389255.880472964","191367.802656715","후원방문판매업","0","",
"18","후원방문판매업체","08_26_05_P","6260000","20136260000301000226","20130807","","01","영업/정상","2","영업","","","","","0512546111","","","부산광역시 서구 서대신동*가  **번지 *호","부산광역시 서구 구덕로 *** (서대신동*가)","","타파웨어 오뚜기","20211104000000","U","2021-11-06 02:40:00.0","","383943.801640735","180723.542007343","후원방문판매업","0","",
"19","후원방문판매업체","08_26_05_P","6260000","20136260000301000227","20130807","","01","영업/정상","2","영업","","","","","0517612146","","48095","부산광역시 해운대구 중동  ****번지 ***호 크리스탈비치오피스텔 ***호","부산광역시 해운대구 해운대해변로 ***, 크리스탈비치오피스텔 ***호 (중동)","","베스트대리점(타파웨어)","20211104000000","U","2021-11-06 02:40:00.0","","396962.538162221","186759.94170898","후원방문판매업","0","",
"20","후원방문판매업체","08_26_05_P","6260000","20166260000301000009","20160526","","01","영업/정상","2","영업","","","","","0514625250","","","","부산광역시 중구 중앙대로 **, *층 (중앙동*가,주경빌딩)","","오휘 남포지사","20220114000000","U","2022-01-16 02:40:00.0","","385662.277196875","179743.402544854","후원방문판매업","0","",
"21","후원방문판매업체","08_26_05_P","6260000","20166260000301000010","20160609","","01","영업/정상","2","영업","","","","","0518616432","","47905","부산광역시 동래구 안락동  ***번지 **호","부산광역시 동래구 온천천로 ***, *층 (안락동)","","코리아나 부산진대리점","20190408000000","U","2019-04-10 02:40:00.0","","392101.738134602","189985.789368013","후원방문판매업","0","",
"22","후원방문판매업체","08_26_05_P","6260000","20136260000301000258","20130819","","01","영업/정상","2","영업","","","","","0518660046","","47247","부산광역시 부산진구 전포동  ***번지 **호 이오스프라자 ***호","부산광역시 부산진구 서전로 **, 이오스프라자 *층 ***호 (전포동)","","효경라이프 주식회사","20210312000000","U","2021-03-14 02:40:00.0","","387863.716121828","186257.507509754","후원방문판매업","0","",
"23","후원방문판매업체","08_26_05_P","6260000","20166260000301000011","20160718","","01","영업/정상","2","영업","","","","","0516435252","","","","부산광역시 동구 범일로 ***, ***호 (범일동)","","주식회사 오휘동구점","20220114000000","U","2022-01-16 02:40:00.0","","387579.291668791","184263.875327669","후원방문판매업","0","",
"24","후원방문판매업체","08_26_05_P","6260000","20166260000301000012","20160718","","01","영업/정상","2","영업","","","","","0515078823","","","","부산광역시 연제구 법원남로**번길 **, *층 (거제동,도원빌딩)","","오휘화장품 법조타운대리점","20220114000000","U","2022-01-16 02:40:00.0","","388924.707638953","190031.891378081","후원방문판매업","0","",
"25","후원방문판매업체","08_26_05_P","6260000","20166260000301000013","20160811","","01","영업/정상","2","영업","","","","","0517115253","","","","부산광역시 영도구 남항로*번길 **, *층 (대교동*가)","","오휘대리점 영도지사","20220114000000","U","2022-01-16 02:40:00.0","","385855.04715908","178915.757001527","후원방문판매업","0","",
"26","후원방문판매업체","08_26_05_P","6260000","20136260000301000252","20130814","","01","영업/정상","2","영업","","","","","0512080005","","602091","부산광역시 서구 서대신동*가  *번지 *호 하나로아파트*차 ***호","부산광역시 서구 구덕로 ***, ***호 (서대신동*가,하나로아파트*차***호왼쪽)","","오휘서부지사","20220114000000","U","2022-01-16 02:40:00.0","","383998.313948398","180667.85705208","후원방문판매업","0","",
"27","후원방문판매업체","08_26_05_P","6260000","20136260000301000158","20130806","","01","영업/정상","2","영업","","","","","0515025944","","611072","부산광역시 연제구 거제동  ***번지 *호","부산광역시 연제구 아시아드대로 ** (거제동)","","유니베라 사직대리점","20220616000000","U","2022-06-18 02:40:00.0","","388134.61669492","190195.459275541","후원방문판매업","0","",
"28","후원방문판매업체","08_26_05_P","6260000","20136260000301000161","20130806","","01","영업/정상","2","영업","","","","","0515814345","","609753","부산광역시 금정구 부곡동  ***번지 *호 경남한신아파트상가 **동 ***호","부산광역시 금정구 중앙대로****번길 **, **동 ***호 (부곡동,경남한신아파트상가)","","유니베라(금정대리점)","20220616000000","U","2022-06-18 02:40:00.0","","390200.572461015","195007.620138808","후원방문판매업","0","",
"29","후원방문판매업체","08_26_05_P","6260000","20136260000301000163","20130806","","01","영업/정상","2","영업","","","","","0519027711","","47891","부산광역시 동래구 안락동  ***번지 *호","부산광역시 동래구 충렬대로 ***, *층 (안락동,하나빌딩)","","유니베라 (부산 충렬)","20220616000000","U","2022-06-18 02:40:00.0","","391739.110615876","190572.051369296","후원방문판매업","0","",
"30","후원방문판매업체","08_26_05_P","6260000","20136260000301000164","20130806","","01","영업/정상","2","영업","","","","","0515832973","","609310","부산광역시 금정구 구서동  ***번지 **호","부산광역시 금정구 구서로 *-*, *층 (구서동)","","유니베라 구서대리점","20220616000000","U","2022-06-18 02:40:00.0","","390209.55277578","196132.109609912","후원방문판매업","0","",
"31","후원방문판매업체","08_26_05_P","6260000","20136260000301000165","20130806","","01","영업/정상","2","영업","","","","","0515187647","","607060","부산광역시 동래구 온천동  ***번지 **호 초산빌딩 *층","부산광역시 동래구 금강로 **, *층 (온천동,초산빌딩)","","유니베라 금강","20220616000000","U","2022-06-18 02:40:00.0","","389056.18090439","192521.296003298","후원방문판매업","0","",
"32","후원방문판매업체","08_26_05_P","6260000","20136260000301000166","20130806","","01","영업/정상","2","영업","","","","","0516118777","","608020","부산광역시 남구 대연동  ****번지 *호 메디타운 *층","부산광역시 남구 수영로 ***, *층 (대연동,메디타운)","","유니베라 남구 대리점","20220616000000","U","2022-06-18 02:40:00.0","","390658.473360394","183813.272386717","후원방문판매업","0","",
"33","후원방문판매업체","08_26_05_P","6260000","20136260000301000167","20130806","","01","영업/정상","2","영업","","","","","0512085665","","604080","부산광역시 사하구 괴정동  ***번지 *호","부산광역시 사하구 낙동대로 ***, ****호 (괴정동,수민빌딩)","","유니베라 (괴정대리점)","20220617000000","U","2022-06-19 02:40:00.0","","381547.412798706","179697.18003569","후원방문판매업","0","",
"34","후원방문판매업체","08_26_05_P","6260000","20136260000301000170","20130806","","01","영업/정상","2","영업","","","","","0512918655","","604010","부산광역시 사하구 당리동  ***번지 **호 향원빌딩 *층","부산광역시 사하구 낙동대로 ***, *층 (당리동,향원빌딩)","","유니베라 부광대리점","20220616000000","U","2022-06-18 02:40:00.0","","379600.091363585","180200.858901762","후원방문판매업","0","",
"35","후원방문판매업체","08_26_05_P","6260000","20136260000301000171","20130806","","01","영업/정상","2","영업","","","","","0514682300","","601030","부산광역시 동구 수정동  *번지 **호 메디컬센터 *층","부산광역시 동구 중앙대로 ***, *층 (수정동,메디컬센터)","","유니베라 (부산동부대리점)","20220616000000","U","2022-06-18 02:40:00.0","","386700.372580527","183080.55223507","후원방문판매업","0","",
"36","후원방문판매업체","08_26_05_P","6260000","20136260000301000219","20130807","","01","영업/정상","2","영업","","","","","0518162589","","614828","부산광역시 부산진구 범천동  ***번지 *호","부산광역시 부산진구 중앙대로 *** (범천동)","","리엔케이 범천지사","20210419000000","U","2021-04-21 02:40:00.0","","387612.555516045","185274.119527041","후원방문판매업","0","",
"37","후원방문판매업체","08_26_05_P","6260000","20136260000301000220","20130807","","01","영업/정상","2","영업","","","","","0517554999","","613811","부산광역시 수영구 광안동  ****번지 *호","부산광역시 수영구 수영로 *** (광안동)","","유니베라 남동","20220616000000","U","2022-06-18 02:40:00.0","","392565.556346578","187136.980524393","후원방문판매업","0","",
"38","후원방문판매업체","08_26_05_P","6260000","20136260000301000216","20130807","","01","영업/정상","2","영업","","","","","0513148300","","","부산광역시 사상구 괘법동  ***번지 *호 영심빌딩 ***호","부산광역시 사상구 사상로 ***, *층 ***호 (괘법동,영심빌딩)","","동인비화장품사상대리점","20220308000000","U","2022-03-10 02:40:00.0","","380563.791847255","187085.86512914","후원방문판매업","0","",
"39","후원방문판매업체","08_26_05_P","6260000","20146260000301000002","20140110","","01","영업/정상","2","영업","","","","","0512085551","","604010","부산광역시 사하구 당리동  ***번지 *호","부산광역시 사하구 다대로 **, *층 (당리동,보수빌딩)","","오휘당리지사","20220114000000","U","2022-01-16 02:40:00.0","","380110.233477523","179796.272856371","후원방문판매업","0","",
"40","후원방문판매업체","08_26_05_P","6260000","20136260000301000274","20131127","","01","영업/정상","2","영업","","","","","","","49206","부산광역시 서구 서대신동*가  ***번지 *호 실버웰","부산광역시 서구 시약로 **, *층(서대신동*가, 실버웰)","","인제건강생활동부산지점","20220629000000","U","2022-07-01 02:40:00.0","","383043.637504711","181136.495583504","후원방문판매업","0","",
"41","후원방문판매업체","08_26_05_P","6260000","20166260000301000015","20160520","","01","영업/정상","2","영업","","","","","0704282734","","47889","부산광역시 동래구 안락동  ***번지 *호 지엠빌딩","부산광역시 동래구 충렬대로 ***, 지엠빌딩 *층 (안락동)","","(주)지엠플랜트","20210115000000","U","2021-01-17 02:40:00.0","","391404.053213387","190623.47022849","후원방문판매업","0","",
"42","후원방문판매업체","08_26_05_P","6260000","20166260000301000016","20161128","","01","영업/정상","2","영업","","","","","0515281363","","","","부산광역시 동래구 반송로 ***-*, *층 (안락동)","","(주)보명지사","20220114000000","U","2022-01-16 02:40:00.0","","390952.492704857","190901.01325615","후원방문판매업","0","",
"43","후원방문판매업체","08_26_05_P","6260000","20136260000301000148","20130806","","01","영업/정상","2","영업","","","","","0516263288","","613010","부산광역시 수영구 남천동  **번지 **호","부산광역시 수영구 수영로 *** (남천동)","","유니베라 남천점","20220616000000","U","2022-06-18 02:40:00.0","","392010.493274049","184588.350344925","후원방문판매업","0","",
"44","후원방문판매업체","08_26_05_P","6260000","20136260000301000149","20130806","","01","영업/정상","2","영업","","","","","0512652266","","604050","부산광역시 사하구 다대동  ***번지","부산광역시 사하구 다대로 *** (다대동)","","유니베라 다대포대리점","20220616000000","U","2022-06-18 02:40:00.0","","379788.248318449","174964.323684667","후원방문판매업","0","",
"45","후원방문판매업체","08_26_05_P","6260000","20136260000301000150","20130806","","01","영업/정상","2","영업","","","","","0517234200","","619905","부산광역시 기장군 기장읍 동부리 ***번지 *호","부산광역시 기장군 기장읍 읍내로 ***","","유니베라 동남 대리점","20220616000000","U","2022-06-18 02:40:00.0","","401716.51035484","196206.541527888","후원방문판매업","0","",
"46","후원방문판매업체","08_26_05_P","6260000","20176260000301000004","20170331","","01","영업/정상","2","영업","","","","","0514165800","","49053","부산광역시 영도구 남항동*가  ***번지 *호","부산광역시 영도구 남항로 **, *층 (남항동*가)","","유니베라(영도대리점)","20220616000000","U","2022-06-18 02:40:00.0","","385969.175946446","178569.264556474","후원방문판매업","0","",
"47","후원방문판매업체","08_26_05_P","6260000","20136260000301000151","20130806","","01","영업/정상","2","영업","","","","","0515035959","","607120","부산광역시 동래구 사직동  ***번지 **호","부산광역시 동래구 여고북로 *** (사직동)","","유니베라 동래 대리점","20220616000000","U","2022-06-18 02:40:00.0","","388828.981457577","191173.061295628","후원방문판매업","0","",
"48","후원방문판매업체","08_26_05_P","6260000","20136260000301000152","20130806","","01","영업/정상","2","영업","","","","","0515569961","","607050","부산광역시 동래구 수안동  ***번지 세띠앙빌딩 ***호","부산광역시 동래구 충렬대로***번길 *, ***호 (수안동,세띠앙빌딩)","","유니베라 동래온천 대리점","20220616000000","U","2022-06-18 02:40:00.0","","389852.38719487","191077.466795013","후원방문판매업","0","",
"49","후원방문판매업체","08_26_05_P","6260000","20136260000301000155","20130806","","01","영업/정상","2","영업","","","","","0516446300","","601808","부산광역시 동구 범일동  ***번지 ***호 대웅빌딩","부산광역시 동구 조방로 **, *층 (범일동,대웅빌딩)","","유니베라(부산진대리점)","20220616000000","U","2022-06-18 02:40:00.0","","387872.077951017","184093.996556107","후원방문판매업","0","",
"50","후원방문판매업체","08_26_05_P","6260000","20136260000301000156","20130806","","01","영업/정상","2","영업","","","","","0513430889","","616100","부산광역시 북구 덕천동  ***번지 *호 동감빌딩 *층","부산광역시 북구 백양대로 ****, *층 (덕천동,동감빌딩)","","유니베라(북구대리점)","20220616000000","U","2022-06-18 02:40:00.0","","382578.562683938","191907.270869556","후원방문판매업","0","",
"51","후원방문판매업체","08_26_05_P","6260000","20136260000301000157","20130806","","01","영업/정상","2","영업","","","","","0513229966","","617060","부산광역시 사상구 괘법동  ***번지 *호","부산광역시 사상구 사상로 ***-* (괘법동)","","유니베라 사상대리점","20220616000000","U","2022-06-18 02:40:00.0","","380578.526808193","187054.643387368","후원방문판매업","0","",
"52","후원방문판매업체","08_26_05_P","6260000","20176260000301000008","20170524","","01","영업/정상","2","영업","","","","","0514038216","","","부산광역시 영도구 동삼동  ***번지 **호","부산광역시 영도구 동삼로 ***, *층 (동삼동)","","알즈너 발사랑대리점","20180704000000","I","2018-08-31 23:59:59.0","","388843.630500001","177968.77520663","후원방문판매업","0","",
"53","후원방문판매업체","08_26_05_P","6260000","20176260000301000010","20170720","","01","영업/정상","2","영업","","","","","0518681015","","","부산광역시 연제구 연산동  ****번지 **호","부산광역시 연제구 신촌로 **, *층 (연산동)","","(주)비앤피코스메틱","20170922000000","I","2018-08-31 23:59:59.0","","388998.533480117","189107.63195621","후원방문판매업","0","",
"54","후원방문판매업체","08_26_05_P","6260000","20176260000301000012","20170804","","01","영업/정상","2","영업","","","","","0517019452","","48075","부산광역시 해운대구 좌동  ****번지 *호 대림*차아파트 분산상가*동 ***-*호","부산광역시 해운대구 대천로***번길 **, 분산상가*동 *층 ***-*호(좌동, 대림*차아파트)","","대천해운대건강생활","20220429000000","U","2022-05-01 02:40:00.0","","397883.492891877","188758.768659579","후원방문판매업","0","",
"55","후원방문판매업체","08_26_05_P","6260000","20136260000301000235","20130813","","01","영업/정상","2","영업","","","","","0515025121","","47525","부산광역시 연제구 거제동  ****번지 **호","부산광역시 연제구 월드컵대로 ***, *층 (거제동)","","동방대리점","20171027000000","I","2018-08-31 23:59:59.0","","388396.677595324","189879.074829058","후원방문판매업","0","",
"56","후원방문판매업체","08_26_05_P","6260000","20136260000301000111","20130802","","01","영업/정상","2","영업","","","","","0518050030","","614844","부산광역시 부산진구 부전동  ***번지 **호 한새별빌딩 *층","부산광역시 부산진구 새싹로*번길 **, *층 (부전동,한새별빌딩*층)","","아모레 서면 특약점","20220415000000","U","2022-04-17 02:40:00.0","","387546.277216593","186358.666774258","후원방문판매업","0","",
"57","후원방문판매업체","08_26_05_P","6260000","20136260000301000106","20130802","","01","영업/정상","2","영업","","","","","0513383313","","616800","부산광역시 북구 구포동  ***번지 *호","부산광역시 북구 백양대로 **** (구포동)","","아모레퍼시픽 구포특약점","20220415000000","U","2022-04-17 02:40:00.0","","382558.311413058","191821.254770724","후원방문판매업","0","",
"58","후원방문판매업체","08_26_05_P","6260000","20186260000301000009","20180510","","01","영업/정상","2","영업","","","","","051714060","","48738","부산광역시 동구 범일동  ***번지 **호 썬오피스텔 ***호","부산광역시 동구 조방로 **, 썬오피스텔 ***호 (범일동)","","(주)엑셀","20181026000000","U","2018-10-28 02:37:50.0","","387727.932157079","184254.180458819","후원방문판매업","0","",
"59","후원방문판매업체","08_26_05_P","6260000","20186260000301000012","20180621","","01","영업/정상","2","영업","","","","","0515543579","","47710","부산광역시 동래구 온천동  ***번지 *호 온천장SKHUBolive ***호","부산광역시 동래구 금강공원로 *, ***호 (온천동, 온천장 SK HUB olive)","","온천 주식회사","20220114000000","U","2022-01-16 02:40:00.0","","389691.841106113","193029.858677409","후원방문판매업","0","",
"60","후원방문판매업체","08_26_05_P","6260000","20146260000301000005","20140501","","01","영업/정상","2","영업","","","","","0516359197","","48741","부산광역시 동구 범일동  ***번지 ***호","부산광역시 동구 조방로**번길 *, *층(범일동)","","아모레퍼시픽 부산미래특약점","20220415000000","U","2022-04-17 02:40:00.0","","387926.161934718","184244.052046945","후원방문판매업","0","",
"61","후원방문판매업체","08_26_05_P","6260000","20146260000301000006","20140508","","01","영업/정상","2","영업","","","","","0513212290","","47006","부산광역시 사상구 주례동  **번지 *호 동서빌딩","부산광역시 사상구 가야대로 ***, 동서빌딩 **층 (주례동)","","오휘 후 사상지사","20220114000000","U","2022-01-16 02:40:00.0","","383357.296661898","185392.274752991","후원방문판매업","0","",
"62","후원방문판매업체","08_26_05_P","6260000","20176260000301000040","20171228","","01","영업/정상","2","영업","","","","","0514694070","","48729","부산광역시 동구 초량동  ****번지 *호","부산광역시 동구 중앙대로***번길 *-*, *층 (초량동)","","아모레 관포태성 특약점","20220415000000","U","2022-04-17 02:40:00.0","","386461.00120702","182545.633738818","후원방문판매업","0","",
"63","후원방문판매업체","08_26_05_P","6260000","20176260000301000041","20171229","","01","영업/정상","2","영업","","","","","0518671939","","47548","부산광역시 연제구 거제동  ***번지 *호 대진빌딩","부산광역시 연제구 거제대로 **, 대진빌딩 *층 (거제동)","","아모레연서특약점","20220415000000","U","2022-04-17 02:40:00.0","","388341.692105634","188369.298059009","후원방문판매업","0","",
"64","후원방문판매업체","08_26_05_P","6260000","20176260000301000042","20171229","","01","영업/정상","2","영업","","","","","0513320984","","46525","부산광역시 북구 화명동  ****번지 *호 시티타워 ***호","부산광역시 북구 금곡대로***번길 *, 시티타워 ***호 (화명동)","","아모레퍼시픽 화명점","20220415000000","U","2022-04-17 02:40:00.0","","383217.253829884","194786.946259107","후원방문판매업","0","",
"65","후원방문판매업체","08_26_05_P","6260000","20156260000301000006","20150612","","01","영업/정상","2","영업","","","","","0518630778","","607822","부산광역시 동래구 수안동  *번지 **호","부산광역시 동래구 명륜로 **, *층 (수안동)","","새동래건강생활","20170516000000","I","2018-08-31 23:59:59.0","","389735.510564874","190957.411707034","후원방문판매업","0","",
"66","후원방문판매업체","08_26_05_P","6260000","20156260000301000007","20150710","","01","영업/정상","2","영업","","","","","0518046288","","47258","부산광역시 부산진구 부전동  ***번지 *호 신동아오피스텔 ****호","부산광역시 부산진구 가야대로 ***-*, 신동아오피스텔 ****호(부전동)","","오휘부산지사 주식회사","20220114000000","U","2022-01-16 02:40:00.0","","387052.317362645","186253.143814124","후원방문판매업","0","",
"67","후원방문판매업체","08_26_05_P","6260000","20156260000301000010","20151002","","01","영업/정상","2","영업","","","","","0517554999","","","","부산광역시 수영구 수영로 ***, *층 (광안동)","","유니베라광안","20220616000000","U","2022-06-18 02:40:00.0","","392565.556346578","187136.980524393","후원방문판매업","0","",
"68","후원방문판매업체","08_26_05_P","6260000","20156260000301000011","20151021","","01","영업/정상","2","영업","","","","","051442525","","","","부산광역시 동구 중앙대로 ***, **층 (초량동,서울빌딩)","","오휘부산중앙지사","20220114000000","U","2022-01-16 02:40:00.0","","385791.217203765","181122.954187638","후원방문판매업","0","",
"69","후원방문판매업체","08_26_05_P","6260000","20136260000301000276","20130808","","01","영업/정상","2","영업","","","","","","","49324","부산광역시 사하구 하단동  ***번지 *호 대우에덴프라자 ***,***호","부산광역시 사하구 낙동대로 ***, *층 ***,***호 (하단동, 대우에덴프라자)","","아모레퍼시픽 새맘하단점","20220415000000","U","2022-04-17 02:40:00.0","","379052.480675244","181034.181864204","후원방문판매업","0","",
"70","후원방문판매업체","08_26_05_P","6260000","20156260000301000013","20151111","","01","영업/정상","2","영업","","","","","","","","부산광역시 사하구 괴정동  ****번지 *호","부산광역시 사하구 낙동대로 ***, *층 (괴정동)","","괴정건강생활","20170516000000","I","2018-08-31 23:59:59.0","","381763.470663811","179773.626920336","후원방문판매업","0","",
"71","후원방문판매업체","08_26_05_P","6260000","20176260000301000034","20171212","","01","영업/정상","2","영업","","","","","0517476776","","48093","부산광역시 해운대구 우동  ***번지 *호 ***호","부산광역시 해운대구 해운대로***번길 *, ***호 (우동)","","주식회사 오휘해운대","20220114000000","U","2022-01-16 02:40:00.0","","396269.278936654","186725.76400407","후원방문판매업","0","",
"72","후원방문판매업체","08_26_05_P","6260000","20176260000301000036","20171218","","01","영업/정상","2","영업","","","","","0516127992","","48304","부산광역시 수영구 남천동  *번지 **호 대양빌딩*층","부산광역시 수영구 광남로 **, 대양빌딩 *층 (남천동)","","아모레퍼시픽 남구 특약점","20220415000000","U","2022-04-17 02:40:00.0","","392362.266071841","185027.111267855","후원방문판매업","0","",
"73","후원방문판매업체","08_26_05_P","6260000","20136260000301000229","20130807","","01","영업/정상","2","영업","","","","","0513416776","","46501","부산광역시 북구 구포동  ***번지 *호 ***호","부산광역시 북구 낙동대로 ****, ***호(구포동)","","주식회사 퍼스트홈파티스","20220208000000","U","2022-02-10 02:40:00.0","","","","후원방문판매업","0","",
"74","후원방문판매업체","08_26_05_P","6260000","20186260000301000004","20180206","","01","영업/정상","2","영업","","","","","0518959900","","47268","부산광역시 부산진구 개금동  ***번지 **호","부산광역시 부산진구 가야대로 ***-*, *층 (개금동)","","유니베라부산제일대리점","20220616000000","U","2022-06-18 02:40:00.0","","384271.704160752","185689.543832774","후원방문판매업","0","",
