"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","업종구분명","설계감리업종류명","소속국가명","실질자본금",
"37","전력기술설계업체","09_28_13_P","6260000","201462600008500004","20140526","","01","영업/정상","1","인허가","","","","","0517140074","","607817","부산광역시 동래구 사직동 104번지 7호","부산광역시 동래구 아시아드대로 111-1, 3층 (사직동)","607817","(주)중앙엔지니어링건축사사무소","20160406155332","I","2018-08-31 23:59:59.0","","388100.494333843","190320.753470036","설계업","전문설계업1종","대한민국","510000000",
"38","전력기술설계업체","09_28_13_P","6260000","201462600008500005","20140619","","01","영업/정상","1","인허가","","","","","07088537974","","47209","부산광역시 부산진구 양정동 252-1","부산광역시 부산진구 거제천로 52, 5층(양정동)","47209","(주)진일기술단","20210927141830","U","2021-09-29 02:40:00.0","","388662.131505051","188609.481783559","설계업","전문설계업1종","대한민국","30000000",
"39","전력기술설계업체","09_28_13_P","6260000","201462600008500007","20141021","","01","영업/정상","1","인허가","","","","","0518187340","","48494","부산광역시 남구 대연동 892-10 대성맨션 상가동 110호","부산광역시 남구 유엔로 127-2, 대성맨션 상가동 1층 110호호 (대연동)","48494","(주)골드이엔지","20210624131658","U","2021-06-26 02:40:00.0","","390421.628061896","183263.851233042","설계업","전문설계업1종","대한민국","120000000",
"40","전력기술설계업체","09_28_13_P","6260000","199762600008500002","19970407","","01","영업/정상","1","인허가","","","","","0515588041","","607829","부산광역시 동래구 안락1동   633번지 44호 안락빌딩4층","부산광역시 동래구 안연로 56 (안락동,안락빌딩4층)","","(주)동영","20091026113914","I","2018-08-31 23:59:59.0","","391150.163527661","190145.061792969","설계업","전문설계업1종","대한민국","",
"41","전력기술설계업체","09_28_13_P","6260000","201562600008500001","20150109","","01","영업/정상","1","인허가","","","","","0515011193","","607839","부산광역시 동래구 온천동 1350번지 한사랑@상가 401호","부산광역시 동래구 아시아드대로255번가길 8-9, 401호 (온천동,한사랑@상가)","607839","(주)현대이엔지","20150109161439","I","2018-08-31 23:59:59.0","","388145.747561927","191865.158754271","설계업","전문설계업1종","대한민국","50000000",
"42","전력기술설계업체","09_28_13_P","6260000","201562600008500002","20150211","","01","영업/정상","1","인허가","","","","","0519268832","","47877","부산광역시 동래구 수안동 166-9 태웅빌딩 502호","부산광역시 동래구 충렬대로238번길 31, 태웅빌딩 502호 (수안동)","47877","(주)와이앤제이이앤씨","20180202110515","I","2018-08-31 23:59:59.0","","389825.202958159","190963.837138882","설계업","전문설계업1종","","100000000",
"43","전력기술설계업체","09_28_13_P","6260000","201562600008500005","20150908","","01","영업/정상","1","인허가","","","","","0512411656","","","부산광역시 중구 보수동1가 116번지 15호  903호","부산광역시 중구 고가길 32, 903호 (보수동1가)","48967","(주)엠피코씨엠","20150908141856","I","2018-08-31 23:59:59.0","","384758.478990296","180165.17593179","설계업","전문설계업1종","대한민국","1005000000",
"44","전력기술설계업체","09_28_13_P","6260000","201662600008500001","20160120","","01","영업/정상","1","인허가","","","","","0517146417","","","부산광역시 연제구 연산동 1310번지 20호 토목회관","부산광역시 연제구 중앙대로1050번길 5, 지하층 (연산동,토목회관)","47598","(주)청림이앤씨","20190312130051","U","2019-03-14 02:40:00.0","","389322.05480288","188948.591685089","설계업","전문설계업2종","대한민국","100000000",
"45","전력기술설계업체","09_28_13_P","6260000","201662600008500002","20160401","","01","영업/정상","1","인허가","","","","","0516441744","","","부산광역시 동래구 낙민동 77번지 1호 한일유앤아이아파트 107동 202호","부산광역시 동래구 온천천로339번길 28, 107동 202호 (낙민동,한일유앤아이아파트)","47886","(주)장인기술단","20160401101219","I","2018-08-31 23:59:59.0","","390440.372777095","190466.87922002","설계업","전문설계업1종","","50000000",
"46","전력기술설계업체","09_28_13_P","6260000","201562600008500007","20151119","","01","영업/정상","1","인허가","","","","","0515066051","","","부산광역시 연제구 거제동 500번지 12호","부산광역시 연제구 거제대로118번길 27, 3층 (거제동)","47547","(주)효성기술단","20170627161150","I","2018-08-31 23:59:59.0","","388538.533591728","188568.966252015","설계업","전문설계업2종","대한민국","62872300",
"47","전력기술설계업체","09_28_13_P","6260000","200562600008500006","20050721","","01","영업/정상","1","인허가","","","","","0518688577","","","부산광역시 연제구 연산동 1366번지 1호 더&#49406;시티애비뉴2차 203동 602호","부산광역시 연제구 시청로 12, 203동 602호 (연산동,더&#49406;시티애비뉴2차)","47542","(주)미래기술이엔지","20170613110333","I","2018-08-31 23:59:59.0","","389031.59363925","188864.606620072","설계업","전문설계업2종","대한민국","0",
"48","전력기술설계업체","09_28_13_P","6260000","200162600008500002","20010118","","01","영업/정상","1","인허가","","","","","0518173931","","614869","부산광역시 부산진구 전포1동  690번지 7호","부산광역시 부산진구 전포대로199번길 15, 3층 (전포동,현대타워오피스텔)","614869","(주)삼영기술","20120417173451","I","2018-08-31 23:59:59.0","","388022.481221191","185844.723433596","설계업","전문설계업1종","대한민국","0",
"49","전력기술설계업체","09_28_13_P","6260000","200562600008500007","20051221","","01","영업/정상","1","인허가","","","","","0513297766","","48058","부산광역시 해운대구 재송동 1208-2 센텀스카이비즈, 에이동 1905호","부산광역시 해운대구 센텀중앙로 97, 센텀스카이비즈 에이동 1905호 (재송동)","48058","(주)나이스에너지엔지니어링","20171110134941","I","2018-08-31 23:59:59.0","","393519","188317","설계업","전문설계업1종","대한민국","150000000",
"50","전력기술설계업체","09_28_13_P","6260000","200662600008500001","20060116","","01","영업/정상","1","인허가","","","","","0518175417","","611839","부산광역시 연제구 연산5동   1310번지 20호 토목회관3","부산광역시 연제구 중앙대로1050번길 5 (연산동,토목회관3)","","(주)부흥이앤씨","20110707142754","I","2018-08-31 23:59:59.0","","389322.05480288","188948.591685089","설계업","전문설계업1종","대한민국","100000000",
"51","전력기술설계업체","09_28_13_P","6260000","199962600008500002","19990609","","01","영업/정상","1","인허가","","","","","0518182391","","47251","부산광역시 부산진구 부전동 341-5 삼정기업빌딩 1601호","부산광역시 부산진구 중앙대로775번길 5, 삼정기업빌딩 1601호 (부전동)","47251","(주)광명토탈엔지니어링","20190902143751","U","2019-09-04 02:40:00.0","","387750.084943642","186671.210186448","설계업","전문설계업1종","대한민국","0",
"52","전력기술설계업체","09_28_13_P","6260000","200062600008500001","20000208","","01","영업/정상","1","인허가","","","","","0514657972","","","부산광역시 부산진구 양정동 252번지 1호 세종빌딩","부산광역시 부산진구 거제천로 52, 전층 (양정동,세종빌딩)","47209","(주)세종기술단","20161121142146","I","2018-08-31 23:59:59.0","","388662.131505051","188609.481783559","설계업","전문설계업1종","대한민국","0",
"53","전력기술설계업체","09_28_13_P","6260000","201762600008500002","20170111","","01","영업/정상","1","인허가","","","","","0517607600","","","부산광역시 수영구 광안동 536번지 140호 거원빌딩","부산광역시 수영구 광일로29번길 68, 4층 (광안동,거원빌딩)","48252","(주)거원엔지니어링","20200115173037","U","2020-01-17 02:40:00.0","","392224.467985294","186512.809983141","설계업","전문설계업2종","대한민국","0",
"54","전력기술설계업체","09_28_13_P","6260000","201762600008500003","20170627","","01","영업/정상","1","인허가","","","","","0518320533","","","부산광역시 강서구 생곡동 1599번지 8호","부산광역시 강서구 가달2로 24 (생곡동)","46729","(주)제이케이알에스티","20170627113802","I","2018-08-31 23:59:59.0","","371075.638604429","183594.649190919","설계업","전문설계업1종","대한민국","120000000",
"55","전력기술설계업체","09_28_13_P","6260000","201762600008500004","20170707","","01","영업/정상","1","인허가","","","","","0515066900","","47838","부산광역시 동래구 온천동 1378-9 대화빌 201호","부산광역시 동래구 여고북로73번길 34, 201호(온천동, 대화빌)","47838","규영플랜","20220519100222","U","2022-05-21 02:40:00.0","","388349.820160974","191161.835111003","설계업","전문설계업1종","대한민국","50582000",
"56","전력기술설계업체","09_28_13_P","6260000","201762600008500006","20170905","","01","영업/정상","1","인허가","","","","","0513297000","","48058","부산광역시 해운대구 재송동 1208-2 센텀스카이비즈, 에이동 1907호","부산광역시 해운대구 센텀중앙로 97, 센텀스카이비즈 에이동 1907호 (재송동)","48058","(주)나이스에너지","20201116104203","U","2020-11-18 02:40:00.0","","393519","188317","설계업","전문설계업1종","대한민국","50000000",
"57","전력기술설계업체","09_28_13_P","6260000","201162600008500003","20110414","","01","영업/정상","1","인허가","","","","","07050916143","","","부산광역시 동래구 온천동 1422번지 23호 제트원타워 705호","부산광역시 동래구 아시아드대로 256-5, 705호 (온천동,제트원타워)","47837","(주)여명기술단","20170920110624","I","2018-08-31 23:59:59.0","","388358.888911048","191644.568313121","설계업","전문설계업1종","대한민국","150000000",
"58","전력기술설계업체","09_28_13_P","6260000","201862600008500001","20180213","","01","영업/정상","1","인허가","","","","","07047086996","","46721","부산광역시 강서구 대저2동 3153-1 부산티플렉스 117동 206호","부산광역시 강서구 유통단지1로 41, 부산티플렉스 117동 206호 (대저2동)","46721","주식회사 라인엔지니어링","20190711161330","U","2019-07-13 02:40:00.0","","378260.668626959","186989.385407123","설계업","전문설계업1종","대한민국","50000000",
"59","전력기술설계업체","09_28_13_P","6260000","202062600008500001","20200224","","01","영업/정상","1","인허가","","","","","0514165168","","48798","부산광역시 동구 초량동 65-4 202호","부산광역시 동구 고관로13번길 23, 202호 (초량동)","48798","(주)해강이앤씨","20200224182551","I","2020-02-26 00:23:23.0","","385954.414629176","182118.937988085","설계업","전문설계업1종","대한민국","0",
"60","전력기술설계업체","09_28_13_P","6260000","202062600008500002","20200224","","01","영업/정상","1","인허가","","","","","0518689741","","47211","부산광역시 부산진구 양정동 279-5 셀렉스빌딩","부산광역시 부산진구 거제대로 86, 셀렉스빌딩 3층(양정동)","47211","(주)와이케이엔지니어링","20220225132432","U","2022-02-27 02:40:00.0","","","","설계업","전문설계업1종","대한민국","91754304",
"61","전력기술설계업체","09_28_13_P","6260000","202162600008500003","20211013","","01","영업/정상","1","인허가","","","","","0517595442","","48226","부산광역시 수영구 수영동 500-6","부산광역시 수영구 구락로 25(수영동)","48226","㈜중앙제이앤지","20211013153419","I","2021-10-15 00:22:46.0","","393049.56785828","187762.857574099","설계업","전문설계업1종","","0",
"62","전력기술설계업체","09_28_13_P","6260000","202162600008500004","20211208","","01","영업/정상","1","인허가","","","","","0517106488","","48059","부산광역시 해운대구 재송동 1209번지 센텀아이에스타워 1905호","부산광역시 해운대구 센텀북대로 60, 센텀아이에스타워 1905호(재송동)","48059","(주)룬디자인","20211208102818","I","2021-12-10 00:22:42.0","","393561.58646018","188474.665440257","설계업","전문설계업2종","","30000000",
"63","전력기술설계업체","09_28_13_P","6260000","202062600008500005","20200804","","01","영업/정상","1","인허가","","","","","0519362563","","46059","부산광역시 기장군 기장읍 서부리 63-6","부산광역시 기장군 기장읍 읍내로 39, 3층","46059","다온기술㈜","20220609105642","U","2022-06-11 02:40:00.0","","401042.094765998","196329.349386307","설계업","전문설계업2종","대한민국","300000000",
"64","전력기술설계업체","09_28_13_P","6260000","202062600008500006","20200812","","01","영업/정상","1","인허가","","","","","0515534010","","47231","부산광역시 부산진구 전포동 190-65","부산광역시 부산진구 진남로356번길 110-16, 2층 (전포동)","47231","민엔설트","20200812132054","I","2020-08-14 00:23:32.0","","388693.786804221","186577.921368633","설계업","전문설계업1종","대한민국","0",
"65","전력기술설계업체","09_28_13_P","6260000","202162600008500002","20210608","","01","영업/정상","1","인허가","","","","","0517825932","","48751","부산광역시 동구 초량동 1185-65 마리나g7 b동 04호","부산광역시 동구 충장대로 160, 마리나g7 b동 43층 04호 (초량동)","48751","스텝","20210624131603","U","2021-06-26 02:40:00.0","","","","설계업","전문설계업2종","대한민국","38080347",
"66","전력기술설계업체","09_28_13_P","6260000","201962600008500005","20190906","","01","영업/정상","1","인허가","","","","","0517154087","","47291","부산광역시 부산진구 부전동 156-28 오기빌딩 301호","부산광역시 부산진구 서전로10번길 28, 오기빌딩 3층 301호 (부전동)","47291","㈜건일씨엠","20210409171142","I","2021-04-11 00:22:58.0","","387625.86797096","186117.09883859","설계업","전문설계업2종","대한민국","150000000",
"67","전력기술설계업체","09_28_13_P","6260000","202162600008500001","20210302","","01","영업/정상","1","인허가","","","","","0517115417","","47598","부산광역시 연제구 연산동 1310-20","부산광역시 연제구 중앙대로1050번길 5, 지하층 (연산동)","47598","청목플러스㈜)","20210302101634","I","2021-03-04 00:23:00.0","","389322.05480288","188948.591685089","설계업","전문설계업2종","대한민국","0",
"68","전력기술설계업체","09_28_13_P","6260000","202062600008500007","20201221","","01","영업/정상","1","인허가","","","","","07050966147","","47821","부산광역시 동래구 온천동 1423-1 에스케이빌딩","부산광역시 동래구 미남로 148, 에스케이빌딩 4층 (온천동)","47821","㈜제일기술단","20201221135155","I","2020-12-23 00:23:05.0","","388414.208614971","191728.361553854","설계업","전문설계업1종","대한민국","50000000",
"69","전력기술설계업체","09_28_13_P","6260000","201962600008500003","20190422","","03","폐업","3","폐업","20191001","","","","0516230269","","46754","부산광역시 강서구 송정동 1635-3","부산광역시 강서구 녹산산단361로 16 (송정동)","46754","(주)오상엠엔이티","20191004092428","U","2019-10-06 02:40:00.0","","369330.830801834","178383.142315859","설계업","전문설계업2종","대한민국","704000000",
