"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","법인구분명","구분명",
"11","유료직업소개소","11_50_02_P","3250000","2020325014514500001","20200130","","01","영업/정상","20","영업중","","","","","07040641370","","","부산광역시 중구 중앙동4가 33번지 2호","부산광역시 중구 대청로141번길 14, 2층 (중앙동4가)","48930","부울경기업네트워크협동조합","20210810152530","U","2021-08-12 02:40:00.0","","385502.142383042","180228.118407277","법인","유료",
"12","유료직업소개소","11_50_02_P","3250000","1999325003711500007","19990825","","01","영업/정상","20","영업중","","","","","051 441 5200","","","부산광역시 중구 남포동4가 24번지 3호 7통 6반","부산광역시 중구 자갈치로 78, 3층 (남포동4가)","600044","박기붕직업소개소","20211103182156","U","2021-11-05 02:40:00.0","","385275.063270152","179484.753796901","개인","유료",
"13","유료직업소개소","11_50_02_P","3250000","1999325003711500001","19990710","","01","영업/정상","20","영업중","","","","","051 247 8007","","","부산광역시 중구 부평동2가 49번지 4호","부산광역시 중구 보수대로24번길 5, 2층 (부평동2가)","600807","일월직업소개소","20201026175736","U","2020-10-28 02:40:00.0","","384621.680689031","179652.592414808","개인","유료",
"14","유료직업소개소","11_50_02_P","3250000","2014325008314500001","20140207","","01","영업/정상","20","영업중","","","","","051 231 3342","","","부산광역시 중구 광복동1가 1통 2반","부산광역시 중구 광복로85번길 4-1 (광복동1가)","600031","천사시티직업소개소","20210726111249","U","2021-07-28 02:40:00.0","","385427.471566147","179642.315395416","개인","유료",
"15","유료직업소개소","11_50_02_P","3250000","2015325008314500001","20150119","","01","영업/정상","20","영업중","","","","","","","","부산광역시 중구 부평동3가 47번지 1호 15통 3반","부산광역시 중구 보수대로36번길 10 (부평동3가)","48976","나이스직업소개소","20220126150424","U","2022-01-28 02:40:00.0","","384537.937865782","179834.68829059","개인","유료",
"16","유료직업소개소","11_50_02_P","3250000","2000325003711500001","20000131","","01","영업/정상","20","영업중","","","","","051 247 9055","","","부산광역시 중구 남포동4가 20번지 3호 2통 2반","부산광역시 중구 자갈치로 82, 2층 (남포동4가)","600044","남포직업소개소","20201224112945","U","2020-12-26 02:40:00.0","","385315.527938435","179485.098282301","개인","유료",
"17","유료직업소개소","11_50_02_P","3250000","2018325008314500001","20180129","","01","영업/정상","20","영업중","","","","","","","","부산광역시 중구 중앙동4가 81번지 19호","부산광역시 중구 중앙대로116번길 7 (중앙동4가)","48937","해성인력개발","20220203115525","U","2022-02-05 02:40:00.0","","385696.117898399","180645.097632146","개인","유료",
"18","유료직업소개소","11_50_02_P","3250000","2016325008314500002","20161207","","01","영업/정상","20","영업중","","","","","","","","","부산광역시 중구 흑교로 18-0 (부평동2가)","48977","비젼직업소개소","20201127153052","U","2020-11-29 02:40:00.0","","384598.903964711","179879.997494786","개인","유료",
"19","유료직업소개소","11_50_02_P","3250000","2017325008314500003","20170710","","01","영업/정상","20","영업중","","","","","","","","부산광역시 중구 부평동2가 63번지 7호","부산광역시 중구 중구로23번길 46 (부평동2가)","48977","짱직업소개소","20210803091621","U","2021-08-05 02:40:00.0","","384612.186755012","179770.340035569","개인","유료",
"20","유료직업소개소","11_50_02_P","3250000","2005325003711500018","20051213","","01","영업/정상","20","영업중","","","","","051 245 4448","","","부산광역시 중구 남포동5가 41번지","부산광역시 중구 자갈치로37번길 6-1 (남포동5가)","600045","13직업소개소","20201202131528","U","2020-12-04 02:40:00.0","","384891.033409221","179484.714443378","개인","유료",
"21","유료직업소개소","11_50_02_P","3250000","2005325003711500020","20051216","","01","영업/정상","20","영업중","","","","","051 241 1695","","","부산광역시 중구 남포동6가 26번지 2호","부산광역시 중구 자갈치로 20-2 (남포동6가)","48982","경동개발","20200212124002","U","2020-02-14 02:40:00.0","","384730.885257385","179350.883854431","개인","유료",
"22","유료직업소개소","11_50_02_P","3250000","2008325005514500001","20080108","","01","영업/정상","20","영업중","","","","","","","602833","부산광역시 서구 암남동 602번지 5호 전원비치맨션 1006","부산광역시 서구 송도해변로 31-1 (암남동,전원비치맨션 1006)","","대우취업정보사","20080108094001","I","2018-08-31 23:59:59.0","","383876.465732993","176593.216028173","개인","유료",
"23","유료직업소개소","11_50_02_P","3250000","2021325014514500002","20211125","","01","영업/정상","20","영업중","","","","","","","","부산광역시 중구 남포동5가 90 4층 401호","부산광역시 중구 자갈치로37번길 4-1, 4층 401호 (남포동5가)","48983","제이직업소개소","20211125085056","I","2021-11-27 00:22:44.0","","384898.271679285","179461.482725068","개인","유료",
"24","유료직업소개소","11_50_02_P","3250000","2021325014514500003","20211207","","01","영업/정상","20","영업중","","","","","","","","부산광역시 중구 중앙동4가 37-16 7층 704호","부산광역시 중구 중앙대로81번길 9, 7층 704호 (중앙동4가)","48930","천마인력","20220218145621","U","2022-02-20 02:40:00.0","","385473.576409934","180297.978228551","개인","유료",
"25","유료직업소개소","11_50_02_P","3250000","2020325014514500004","20201026","","01","영업/정상","20","영업중","","","","","","","","부산광역시 중구 대창동1가 54-1 센트렐오피스텔 1502호","부산광역시 중구 중앙대로 131, 센트렐오피스텔 1502호 (대창동1가)","48924","국제인력24시","20211108154830","U","2021-11-10 02:40:00.0","","385617.137705097","180818.494927285","개인","유료",
"26","유료직업소개소","11_50_02_P","3250000","2021325014514500001","20210326","","01","영업/정상","20","영업중","","","","","0512410531","","","부산광역시 중구 남포동5가 47-2 3층","부산광역시 중구 구덕로 63, 3층 (남포동5가)","48983","자갈치직업소개소","20210628151401","U","2021-06-30 02:40:00.0","","384933.511787767","179504.449743689","개인","유료",
"27","유료직업소개소","11_50_02_P","3250000","2020325014514500005","20201215","","01","영업/정상","20","영업중","","","","","","","","부산광역시 중구 남포동6가 3 신천지","부산광역시 중구 자갈치로 33, 신천지 6층 612호 (남포동6가)","48982","경동개발","20210429102836","U","2021-05-01 02:40:00.0","","384836.914455912","179432.734579543","개인","유료",
"28","유료직업소개소","11_50_02_P","3250000","2019325008314500001","20190228","","03","폐업","40","폐업","20191230","","","","","","","부산광역시 중구 남포동1가 29번지","부산광역시 중구 태종로 4, 2층 (남포동1가)","48984","한서고용센터","20191230101234","U","2020-01-01 02:40:00.0","","385536.964775903","179508.144353551","개인","유료",
"29","유료직업소개소","11_50_02_P","3250000","2019325013314500005","20190829","","03","폐업","40","폐업","20211108","","","","","","","부산광역시 중구 남포동5가 90번지","부산광역시 중구 자갈치로37번길 4-1, 4층 (남포동5가)","48983","제이직업소개소","20211108143521","U","2021-11-10 02:40:00.0","","384898.271679285","179461.482725068","개인","유료",
"30","유료직업소개소","11_50_02_P","3250000","2019325013314500006","20191212","","03","폐업","40","폐업","20220218","","","","","","","부산광역시 중구 영주동 23번지 10호","부산광역시 중구 초량중로6번길 6 (영주동)","48911","디케이시스템","20220222171343","U","2022-02-24 02:40:00.0","","385582.130085543","181165.529248812","개인","유료",
"31","유료직업소개소","11_50_02_P","3250000","2006325003711500009","20060630","","03","폐업","40","폐업","","","","","","","","부산광역시 수영구 수영동 205번지 4호 14통 1반","부산광역시 수영구 수미로50번길 51 (수영동)","","애미직업소개소","20061109161224","I","2018-08-31 23:59:59.0","","392725.423789039","187821.632763106","개인","유료",
"32","유료직업소개소","11_50_02_P","3250000","2006325005511500001","20060714","","03","폐업","40","폐업","","","","","","","","대구광역시 남구 대명동 1625번지 40호 10통 1반","대구광역시 남구 대명복개로4길 153-3 (대명동)","","유한직업소개소","20070621142745","I","2018-08-31 23:59:59.0","","341611.923494","261159.750736","개인","유료",
"33","유료직업소개소","11_50_02_P","3250000","2006325005511500002","20060801","","03","폐업","40","폐업","20070713","","","","","","","부산광역시 북구 화명동 호 코오롱 하늘채 202 1003","","","나오미 간병사 센터","20070713165435","I","2018-08-31 23:59:59.0","","","","개인","유료",
"34","유료직업소개소","11_50_02_P","3250000","2006325005511500003","20060906","","03","폐업","40","폐업","20140108","","","","","","600031","부산광역시 중구 광복동1가 20번지 4호","부산광역시 중구 광복로85번길 4-1 (광복동1가)","600031","시티 직업소개소","20140109094328","I","2018-08-31 23:59:59.0","","385427.471566147","179642.315395416","개인","유료",
"35","유료직업소개소","11_50_02_P","3250000","2006325005511500007","20061205","","03","폐업","40","폐업","","","","","","","","부산광역시 동래구 수안동 35번지 3호 12통 5반 삼경맨션  312","부산광역시 동래구 수안로 39, 312호 (수안동,삼경맨션)","","정진인력개발","20070328141159","I","2018-08-31 23:59:59.0","","389866.615702737","190679.338737746","개인","유료",
"36","유료직업소개소","11_50_02_P","3250000","2007325005511500001","20070321","","03","폐업","40","폐업","20210930","","","","","","","부산광역시 중구 동광동1가 1번지 12호","부산광역시 중구 해관로 14 (동광동1가)","600021","태성개발","20210930112845","U","2021-10-02 02:40:00.0","","385568.2682328","179784.315709917","개인","유료",
"37","유료직업소개소","11_50_02_P","3250000","2007325005511500002","20070417","","03","폐업","40","폐업","20070821","","","","","","","부산광역시 사하구 다대동 1550호 몰운대아파트 106 1303","부산광역시 사하구 다대낙조2길 12, 106동 1303호 (다대동,몰운대아파트)","","현대직업소개소","20070822161424","I","2018-08-31 23:59:59.0","","379321.085862326","174325.807501869","개인","유료",
"38","유료직업소개소","11_50_02_P","3250000","2007325005511500003","20070508","","03","폐업","40","폐업","20080421","","","","","","","부산광역시 중구 대청동4가 70번지 3호 14통 3반","부산광역시 중구 대청북길33번길 3-7 (대청동4가)","","남포금강인력개발","20080421161530","I","2018-08-31 23:59:59.0","","385037.106933676","180471.52804989","개인","유료",
"39","유료직업소개소","11_50_02_P","3250000","2007325005511500004","20070612","","03","폐업","40","폐업","20080407","","","","","","","부산광역시 중구 영주동 554번지 1호 5통 2반","부산광역시 중구 중구로188번길 3 (영주동)","","복음간병센타","20080407153810","I","2018-08-31 23:59:59.0","","385437.088361586","181027.951297097","개인","유료",
"40","유료직업소개소","11_50_02_P","3250000","2007325005514500001","20071106","","03","폐업","40","폐업","20130530","","","","","","608020","부산광역시 남구 대연동 564번지 7호","부산광역시 남구 유엔평화로47번길 150 (대연동)","","현대직업소개소","20130530104944","I","2018-08-31 23:59:59.0","","391377.024016506","183290.367269539","개인","유료",
"41","유료직업소개소","11_50_02_P","3250000","2008325005514500003","20080516","","03","폐업","40","폐업","20160408","","","","","","600101","부산광역시 중구 대창동1가 50번지","부산광역시 중구 해관로 88 (대창동1가)","","가족사랑","20160408144237","I","2018-08-31 23:59:59.0","","385529.953038803","180503.725797999","개인","유료",
"42","유료직업소개소","11_50_02_P","3250000","2010325008314500001","20100611","","03","폐업","40","폐업","20120228","","","","","","600014","부산광역시 중구 중앙동4가 30번지 5호","부산광역시 중구 해관로 64-1 (중앙동4가)","","파워잡","20120228165309","I","2018-08-31 23:59:59.0","","385539.379976396","180287.94323875","개인","유료",
"43","유료직업소개소","11_50_02_P","3250000","2011325008314500001","20110207","","03","폐업","40","폐업","20110704","","","","051 231 9721","","600046","부산광역시 중구 남포동6가 113번지 1호 하버타워 4층","부산광역시 중구 구덕로 87-1 (남포동6가,하버타워 4층)","","듀에이치알","20110704103109","I","2018-08-31 23:59:59.0","","384708.848957593","179404.943227079","개인","유료",
"44","유료직업소개소","11_50_02_P","3250000","2011325008314500005","20110906","","03","폐업","40","폐업","20120910","","","","","","600074","부산광역시 중구 부평동4가 40번지 1호","부산광역시 중구 흑교로35번길 27-2 (부평동4가)","","수정인력개발","20120910155556","I","2018-08-31 23:59:59.0","","384306.476850434","180048.688648784","개인","유료",
"45","유료직업소개소","11_50_02_P","3250000","2012325008314500001","20120112","","03","폐업","40","폐업","20121231","","","","","","600013","부산광역시 중구 중앙동3가 12번지 1호","부산광역시 중구 해관로 55 (중앙동3가)","","중앙개발","20121231143005","I","2018-08-31 23:59:59.0","","385511.564796552","180193.872521596","개인","유료",
"46","유료직업소개소","11_50_02_P","3250000","2012325008314500002","20120417","","03","폐업","40","폐업","20130429","","","","","","600014","부산광역시 중구 중앙동4가 52번지 14호","부산광역시 중구 해관로 81-2 (중앙동4가)","","햇살취업상담소","20130429140329","I","2018-08-31 23:59:59.0","","385497.080288141","180468.453230325","개인","유료",
"47","유료직업소개소","11_50_02_P","3250000","2012325008314500004","20120821","","03","폐업","40","폐업","20121008","","","","","","000","부산광역시 동구 수정동 682번지 14통 4반","부산광역시 중구 중앙대로29번길 3, 4층 513-1호 (동광동1가, 부산데파트)","600021","풍년직업소개소","20121008111421","I","2018-08-31 23:59:59.0","","386058.755423702","183260.974125513","개인","유료",
"48","유료직업소개소","11_50_02_P","3250000","2012325008314500005","20120821","","03","폐업","40","폐업","20121008","","","","","","600021","부산광역시 중구 동광동1가 1번지 1호 부산데파트 513-1호","","","풍년직업소개소","20121008100122","I","2018-08-31 23:59:59.0","","","","개인","유료",
"49","유료직업소개소","11_50_02_P","3250000","2012325008314500006","20121214","","03","폐업","40","폐업","20141023","","","","","","600102","부산광역시 중구 대창동2가 14번지 5호","부산광역시 중구 중앙대로 149 (대창동2가)","600102","(주)엠제이서비스코리아취업센터","20141023170009","I","2018-08-31 23:59:59.0","","385687.55698865","180990.331200449","법인","유료",
"50","유료직업소개소","11_50_02_P","3250000","2013325008314500001","20130502","","03","폐업","40","폐업","20130618","","","","","","600074","부산광역시 중구 부평동4가 52번지 3호 골든시티오피스텔 904호","부산광역시 중구 보수대로 82, 904호 (부평동4가, 골든시티오피스텔)","600074","오샘잡서비스","20130619130013","I","2018-08-31 23:59:59.0","","384249.201710589","180080.172971726","개인","유료",
"51","유료직업소개소","11_50_02_P","3250000","2013325008314500004","20131001","","03","폐업","40","폐업","20140411","","","","","","600814","부산광역시 중구 중앙동4가 81번지 6호","부산광역시 중구 충장대로5번길 38-1 (중앙동4가)","600814","모아홈케어","20140411110358","I","2018-08-31 23:59:59.0","","385710.203908937","180737.191118179","개인","유료",
"52","유료직업소개소","11_50_02_P","3250000","2001325003711500005","20011105","","03","폐업","40","폐업","","","","","","","","부산광역시 사하구 감천동 634번지 4호 21통 1반","부산광역시 사하구 감천로73번길 21-1 (감천동)","","부평직업소개소","20030205091437","I","2018-08-31 23:59:59.0","","382326.631885115","178681.447805041","개인","유료",
"53","유료직업소개소","11_50_02_P","3250000","2001325003711500006","20011108","","03","폐업","40","폐업","","","","","","","","부산광역시 북구 만덕동 774번지 7호 20통 1반 벽산라인타운 208 2301","부산광역시 북구 덕천로 174, 208동 2301호 (만덕동,벽산라인타운)","","자갈치직업소개소","20050704104608","I","2018-08-31 23:59:59.0","","384257.067576796","191991.025225857","개인","유료",
"54","유료직업소개소","11_50_02_P","3250000","2001325003711500007","20011117","","03","폐업","40","폐업","","","","","","","","부산광역시 중구 보수동2가 85번지 14호 28통 3반","부산광역시 중구 흑교로 65-6 (보수동2가)","","도우미직업소개소","20030205091953","I","2018-08-31 23:59:59.0","","384467.965501052","180306.536310523","개인","유료",
"55","유료직업소개소","11_50_02_P","3250000","2002325003711500004","20020408","","03","폐업","40","폐업","","","","","","","","부산광역시 사하구 당리동 180호 10통 3반 반도보라아파트 101 1011","부산광역시 사하구 제석로79번길 11, 101동 1011호 (당리동,반도보라아파트)","","크리스탈직업소개소","20030205105203","I","2018-08-31 23:59:59.0","","380019.008052979","180554.561355837","개인","유료",
"56","유료직업소개소","11_50_02_P","3250000","2002325003711500005","20020416","","03","폐업","40","폐업","","","","","","","","부산광역시 부산진구 개금동 1번지 7호 55통 2반 도개공아파트 113 507","","","두영직업소개소","20040225160125","I","2018-08-31 23:59:59.0","","384519.686975538","186726.864118031","개인","유료",
"57","유료직업소개소","11_50_02_P","3250000","2001325003711500009","20010109","","03","폐업","40","폐업","","","","","","","","부산광역시 영도구 동삼동 656호 조양비취아파트 6 102","","","씨티직업소개소","20040120151334","I","2018-08-31 23:59:59.0","","388906.362235294","176697.577167316","개인","유료",
"58","유료직업소개소","11_50_02_P","3250000","2002325003711500001","20020202","","03","폐업","40","폐업","","","","","","","","부산광역시 중구 동광동5가 36번지 22호 4통 2반","부산광역시 중구 동광길 79-11 (동광동5가)","","동광직업소개소","20030205103312","I","2018-08-31 23:59:59.0","","385446.306402937","180467.670888301","개인","유료",
"59","유료직업소개소","11_50_02_P","3250000","2002325003711500003","20020326","","03","폐업","40","폐업","","","","","","","","부산광역시 서구 동대신동2가 100번지 27호 12통 2반","부산광역시 서구 망양로205번라길 1 (동대신동2가)","","바나나직업소개소","20030205104008","I","2018-08-31 23:59:59.0","","384699.683799116","181074.562017416","개인","유료",
"60","유료직업소개소","11_50_02_P","3250000","2002325003711500007","20020517","","03","폐업","40","폐업","","","","","","","","부산광역시 사상구 학장동 820번지 1호 44통 5반 무학아파트 402 501","","","타임직업소개소","20031020160500","I","2018-08-31 23:59:59.0","","380141.966313778","183738.6911144","개인","유료",
"61","유료직업소개소","11_50_02_P","3250000","2002325003711500008","20020521","","03","폐업","40","폐업","","","","","","","","부산광역시 중구 보수동1가 산3번지 148호 26통 1반","","","부광개발직업소개소","20040517103028","I","2018-08-31 23:59:59.0","","384723.410364715","180579.202187441","개인","유료",
"62","유료직업소개소","11_50_02_P","3250000","2002325003711500009","20020521","","03","폐업","40","폐업","","","","","","","","부산광역시 남구 대연동 990번지 9호 23통 6반 미영아파트 지하 5호","부산광역시 남구 석포로 94-1, 지하동 5호호 (대연동,미영아파트)","","비너스직업소개소","20040527115013","I","2018-08-31 23:59:59.0","","390436.198366148","182770.739730057","개인","유료",
"63","유료직업소개소","11_50_02_P","3250000","2002325003711500010","20020723","","03","폐업","40","폐업","","","","","","","","부산광역시 해운대구 좌동 1412호 24통 10반 동부아파트 106 1501","부산광역시 해운대구 세실로 158, 106동 1501호 (좌동,동부아파트)","","광복직업소개소","20031020161724","I","2018-08-31 23:59:59.0","","398320.448936443","188713.364513609","개인","유료",
"64","유료직업소개소","11_50_02_P","3250000","2002325003711500011","20020829","","03","폐업","40","폐업","","","","","","","","부산광역시 중구 남포동6가 24번지 14호 11통 2반","","","한국직업컨설팅","20050523170515","I","2018-08-31 23:59:59.0","","","","개인","유료",
"65","유료직업소개소","11_50_02_P","3250000","2002325003711500012","20020918","","03","폐업","40","폐업","","","","","","","","부산광역시 부산진구 개금동 624호 24통 2반 개금현대I아파트 201 204","","","롯데직업소개소","20070103161427","I","2018-08-31 23:59:59.0","","383938.959952661","184949.614675777","개인","유료",
"66","유료직업소개소","11_50_02_P","3250000","2002325003711500013","20020930","","03","폐업","40","폐업","","","","","","","","부산광역시 해운대구 재송동 456번지 3호 4통 5반","부산광역시 해운대구 재반로27번길 48-19 (재송동)","","절영직업소개소","20031020162243","I","2018-08-31 23:59:59.0","","393518.305559754","189142.767533963","개인","유료",
"67","유료직업소개소","11_50_02_P","3250000","2002325003711500014","20021005","","03","폐업","40","폐업","","","","","","","","부산광역시 영도구 동삼동 510번지 11호 25통 4반 도개공동삼절영아파트 215 1502","부산광역시 영도구 중리로 41, 215동 1502호 (동삼동,도개공동삼절영아파트)","","다정한직업소개소","20040423103106","I","2018-08-31 23:59:59.0","","388492.787017298","177043.780066536","개인","유료",
"68","유료직업소개소","11_50_02_P","3250000","2002325003711500016","20021126","","03","폐업","40","폐업","","","","","","","","부산광역시 남구 문현동 13번지 39호 20통 3반","부산광역시 남구 고동골로111번길 23 (문현동)","","대명직업소개소","20031020163104","I","2018-08-31 23:59:59.0","","388831.543248648","185017.420649257","개인","유료",
"69","유료직업소개소","11_50_02_P","3250000","2020325014514500003","20200206","","03","폐업","40","폐업","20210107","","","","","","","부산광역시 중구 영주동 161번지 금호타운","부산광역시 중구 영주로 49, 209호 (영주동, 금호타운)","48917","위드잡","20210112111342","U","2021-01-14 02:40:00.0","","385022.487250824","181030.09515715","개인","유료",
"70","유료직업소개소","11_50_02_P","3250000","2003325003711500012","20030501","","03","폐업","40","폐업","","","","","","","","부산광역시 연제구 거제동 898번지 33호","","","삼성정보직업가이드","20031229163238","I","2018-08-31 23:59:59.0","","","","개인","유료",
"71","유료직업소개소","11_50_02_P","3250000","2003325003711500013","20030515","","03","폐업","40","폐업","","","","","","","","부산광역시 사하구 장림동 372번지 4호 현대아파트 11 109","","","리콜","20031231092316","I","2018-08-31 23:59:59.0","","380299.690312546","176893.324496578","개인","유료",
"72","유료직업소개소","11_50_02_P","3250000","2003325003711500015","20030821","","03","폐업","40","폐업","","","","","","","","부산광역시 부산진구 양정동 458번지 5호 현대아파트 110 2006","부산광역시 부산진구 동평로 350, 110동 2006호 (양정동,현대아파트)","","수월직업소개소","20040119135206","I","2018-08-31 23:59:59.0","","387887.847333871","187966.542955171","개인","유료",
"73","유료직업소개소","11_50_02_P","3250000","2003325003711500016","20030808","","03","폐업","40","폐업","","","","","","","","부산광역시 중구 대청동4가 79번지 1호 7통 1반 새들맨션 A 205","","","동양직업소개소","20040826131442","I","2018-08-31 23:59:59.0","","384987.199363072","180307.391607492","개인","유료",
"74","유료직업소개소","11_50_02_P","3250000","2003325003711500021","20030118","","03","폐업","40","폐업","","","","","","","","부산광역시 남구 용호동 482번지 15  호 무지개아파트  102","","","유나직업소개소","20040120120353","I","2018-08-31 23:59:59.0","","","","개인","유료",
"75","유료직업소개소","11_50_02_P","3250000","2004325003711500002","20040203","","03","폐업","40","폐업","","","","","","","","부산광역시 영도구 동삼동 1123호 주공아파트 410 1101","부산광역시 영도구 상리로 41, 410동 1101호 (동삼동,주공아파트)","","파도직업소개소","20040329132315","I","2018-08-31 23:59:59.0","","388577.664510255","178279.998453376","개인","유료",
"76","유료직업소개소","11_50_02_P","3250000","2004325003711500003","20040213","","03","폐업","40","폐업","","","","","","","","부산광역시 중구 보수동1가 97번지 1호","부산광역시 중구 흑교로 44-2 (보수동1가)","","리무진직업소개소","20040421093227","I","2018-08-31 23:59:59.0","","384596.347312216","180146.697465979","개인","유료",
"77","유료직업소개소","11_50_02_P","3250000","2004325003711500005","20040320","","03","폐업","40","폐업","","","","","","","","부산광역시 수영구 남천동 148번지 22호 타워아파트 8 1216","","","한진인력종합개발","20051004180907","I","2018-08-31 23:59:59.0","","","","개인","유료",
"78","유료직업소개소","11_50_02_P","3250000","2004325003711500006","20040422","","03","폐업","40","폐업","","","","","","","","부산광역시 영도구 동삼동 656호 조양비취맨션 3 103","","","리무진직업소개소","20041103093305","I","2018-08-31 23:59:59.0","","388906.362235294","176697.577167316","개인","유료",
"79","유료직업소개소","11_50_02_P","3250000","2004325003711500007","20040619","","03","폐업","40","폐업","","","","","","","","부산광역시 중구 영주동 161호 10통 4반 금호타운 101 1120","","","기쁨직업소개소","20050809135348","I","2018-08-31 23:59:59.0","","385022.487250824","181030.09515715","개인","유료",
"80","유료직업소개소","11_50_02_P","3250000","2004325003711500010","20040630","","03","폐업","40","폐업","","","","","","","","부산광역시 사하구 장림동 682번지 14호","","","까치직업소개소","20050901132635","I","2018-08-31 23:59:59.0","","379659.589516595","177744.25249879","개인","유료",
"81","유료직업소개소","11_50_02_P","3250000","2004325003711500011","20040702","","03","폐업","40","폐업","","","","","","","","부산광역시 서구 서대신동3가 694번지 1호 협성르네상스타운 107 1501","","","수직업소개소","20050401132357","I","2018-08-31 23:59:59.0","","383176.906835168","181175.027825949","개인","유료",
"82","유료직업소개소","11_50_02_P","3250000","2004325003711500012","20040906","","03","폐업","40","폐업","","","","","","","","부산광역시 수영구 민락동 108번지 1호 부산민락 프로지오 103 2302","","","명성기업","20050923141833","I","2018-08-31 23:59:59.0","","394106.439646999","186584.840674314","개인","유료",
"83","유료직업소개소","11_50_02_P","3250000","2004325003711500013","20041216","","03","폐업","40","폐업","","","","","","","","부산광역시 북구 화명동 377번지 15호 6통 3반","부산광역시 북구 산성로 43-1 (화명동)","","(주)킴코","20060131163830","I","2018-08-31 23:59:59.0","","383606.928026478","195364.058291344","법인","유료",
