"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","업소구분명","소재지","지정일자","신청일자","항목값1",
"11","쓰레기종량제봉투판매업","09_30_13_P","3250000","325000014199400008","19941221","","01","영업/정상","11","영업","","","","","","","600030","부산광역시 중구 광복동1가 국제시장1B지하","","","국제비닐","20131230130142","I","2018-08-31 23:59:59.0","","","","지정","부산광역시 중구 광복동1가  국제시장1B지하","","19941221","관급봉투",
"12","쓰레기종량제봉투판매업","09_30_13_P","3250000","325000014199400009","19941221","","01","영업/정상","11","영업","","","","","","","600032","부산광역시 중구 광복동2가 29번지","","","용두산공원제7호","20070707100050","I","2018-08-31 23:59:59.0","","","","지정","부산광역시 중구 광복동2가  29번지","","19941221","관급봉투",
"13","쓰레기종량제봉투판매업","09_30_13_P","3250000","325000014199400010","19941221","","01","영업/정상","11","영업","","","","","","","600061","부산광역시 중구 신창동1가 30번지","","","동양상회","20131230130233","I","2018-08-31 23:59:59.0","","","","지정","부산광역시 중구 신창동1가  30번지","","19941221","관급봉투",
"14","쓰레기종량제봉투판매업","09_30_13_P","3250000","325000014199400035","19941221","","01","영업/정상","11","영업","","","","","","","600072","부산광역시 중구 부평동2가 49번지","","","대하상회","20120611094752","I","2018-08-31 23:59:59.0","","","","종료","부산광역시 중구 부평동2가  49번지","","19941221","관급봉투",
"15","쓰레기종량제봉투판매업","09_30_13_P","3250000","325000014199400036","19941221","","01","영업/정상","11","영업","","","","","","","600071","부산광역시 중구 부평동1가 35번지","","","LG25시 부평점","20070707100050","I","2018-08-31 23:59:59.0","","","","지정","부산광역시 중구 부평동1가  35번지","","19941221","관급봉투",
"16","쓰레기종량제봉투판매업","09_30_13_P","3250000","325000014199400037","19941221","","01","영업/정상","11","영업","","","","","","","600072","부산광역시 중구 부평동2가 37번지","","","부평상회","20070707100050","I","2018-08-31 23:59:59.0","","","","지정","부산광역시 중구 부평동2가  37번지","","19941221","관급봉투",
"17","쓰레기종량제봉투판매업","09_30_13_P","3250000","325000014199400038","19941221","","01","영업/정상","11","영업","","","","","","","600073","부산광역시 중구 부평동3가 16번지","","","부림화원","20070707100050","I","2018-08-31 23:59:59.0","","","","지정","부산광역시 중구 부평동3가  16번지","","19941221","관급봉투",
"18","쓰레기종량제봉투판매업","09_30_13_P","3250000","325000014199400039","19941221","","01","영업/정상","11","영업","","","","","","","600073","부산광역시 중구 부평동3가 59번지","","","유림슈퍼","20070707100050","I","2018-08-31 23:59:59.0","","","","지정","부산광역시 중구 부평동3가  59번지","","19941221","관급봉투",
"19","쓰레기종량제봉투판매업","09_30_13_P","3250000","325000014199400040","19941221","","01","영업/정상","11","영업","","","","","","","600074","부산광역시 중구 부평동4가 16번지","","","만물상회","20070707100050","I","2018-08-31 23:59:59.0","","","","지정","부산광역시 중구 부평동4가  16번지","","19941221","관급봉투",
"20","쓰레기종량제봉투판매업","09_30_13_P","3250000","325000014199400041","19941221","","01","영업/정상","11","영업","","","","","","","600046","부산광역시 중구 남포동6가 28번지","","","고성슈퍼","20070707100050","I","2018-08-31 23:59:59.0","","","","지정","부산광역시 중구 남포동6가  28번지","","19941221","관급봉투",
"21","쓰레기종량제봉투판매업","09_30_13_P","3250000","325000014199400042","19941221","","01","영업/정상","11","영업","","","","","","","600046","부산광역시 중구 남포동6가 3번지","부산광역시 중구 자갈치로 33  (남포동6가)","","진일상회","20070707100050","I","2018-08-31 23:59:59.0","","384836.914455912","179432.734579543","지정","부산광역시 중구 남포동6가  3번지","","19941221","관급봉투",
"22","쓰레기종량제봉투판매업","09_30_13_P","3250000","325000014199400043","19941221","","01","영업/정상","11","영업","","","","","","","600041","부산광역시 중구 남포동1가 35번지","부산광역시 중구 용미길9번길 6-1  (남포동1가)","","대영선구점","20070707100050","I","2018-08-31 23:59:59.0","","385542.765474255","179426.396903267","지정","부산광역시 중구 남포동1가  35번지","","19941221","관급봉투",
"23","쓰레기종량제봉투판매업","09_30_13_P","3250000","325000014199400020","19941221","","01","영업/정상","11","영업","","","","","","","600081","부산광역시 중구 보수동1가 37번지","","","성용마트","20121022105830","I","2018-08-31 23:59:59.0","","","","종료","부산광역시 중구 보수동1가  37번지","","19941221","관급봉투",
"24","쓰레기종량제봉투판매업","09_30_13_P","3250000","325000014199500008","19950215","","01","영업/정상","11","영업","","","","","","","600016","부산광역시 중구 중앙동6가 51","","","명덕상회","20210202121305","U","2021-02-04 02:40:00.0","","","","지정","부산광역시 중구 중앙동6가  51번지","","19950215","관급봉투",
"25","쓰레기종량제봉투판매업","09_30_13_P","3250000","325000014199500009","19950215","","01","영업/정상","11","영업","","","","","","","600016","부산광역시 중구 중앙동6가 20-33","","","광문창상회","20210202121325","U","2021-02-04 02:40:00.0","","","","지정","부산광역시 중구 중앙동6가  20-33번지","","19950215","관급봉투",
"26","쓰레기종량제봉투판매업","09_30_13_P","3250000","325000014199500010","19950215","","01","영업/정상","11","영업","","","","","","","600012","부산광역시 중구 중앙동2가 57","부산광역시 중구 중앙대로41번길 12-1  (중앙동2가)","","농심가중앙슈퍼","20210202121354","U","2021-02-04 02:40:00.0","","385484.93363469","179916.44105329","지정","부산광역시 중구 중앙동2가  57번지","","19950215","관급봉투",
"27","쓰레기종량제봉투판매업","09_30_13_P","3250000","325000014199500011","19950215","","01","영업/정상","11","영업","","","","","","","600014","부산광역시 중구 중앙동4가 37-5번지","","","미화당중앙점","20101228112322","I","2018-08-31 23:59:59.0","","","","종료","부산광역시 중구 중앙동4가  37-5번지","","19950215","관급봉투",
"28","쓰레기종량제봉투판매업","09_30_13_P","3250000","325000014199500012","19950215","","01","영업/정상","11","영업","","","","","","","600014","부산광역시 중구 중앙동4가 29-1","","","LG중앙점","20210202121444","U","2021-02-04 02:40:00.0","","","","지정","부산광역시 중구 중앙동4가  29-1번지","","19950215","관급봉투",
"29","쓰레기종량제봉투판매업","09_30_13_P","3250000","325000014199500013","19950215","","01","영업/정상","11","영업","","","","","","","600014","부산광역시 중구 중앙동4가 88-2","","","럭키수정상회","20210202121514","U","2021-02-04 02:40:00.0","","","","지정","부산광역시 중구 중앙동4가  88-2번지","","19950215","관급봉투",
"30","쓰레기종량제봉투판매업","09_30_13_P","3250000","325000014199500014","19950215","","01","영업/정상","11","영업","","","","","","","600014","부산광역시 중구 중앙동4가 84-4","","","원호상회","20210202121534","U","2021-02-04 02:40:00.0","","","","지정","부산광역시 중구 중앙동4가  84-4번지","","19950215","관급봉투",
"31","쓰레기종량제봉투판매업","09_30_13_P","3250000","325000014199500015","19950215","","01","영업/정상","11","영업","","","","","","","600014","부산광역시 중구 중앙동4가 81","","","농심가중부슈퍼","20210202121601","U","2021-02-04 02:40:00.0","","","","지정","부산광역시 중구 중앙동4가  81번지","","19950215","관급봉투",
"32","쓰레기종량제봉투판매업","09_30_13_P","3250000","325000014199400011","19941221","","01","영업/정상","11","영업","","","","","","","600014","부산광역시 중구 중앙동4가 55-1","","","신흥상사","20210202121039","U","2021-02-04 02:40:00.0","","","","지정","부산광역시 중구 중앙동4가  55-1번지","","19941221","관급봉투",
"33","쓰레기종량제봉투판매업","09_30_13_P","3250000","325000014199400012","19941221","","01","영업/정상","11","영업","","","","","","","600101","부산광역시 중구 대창동1가 23번지","","","미니슈퍼","20101228111932","I","2018-08-31 23:59:59.0","","","","종료","부산광역시 중구 대창동1가  23번지","","19941221","관급봉투",
"34","쓰레기종량제봉투판매업","09_30_13_P","3250000","325000014199400013","19941221","","01","영업/정상","11","영업","","","","","","","600014","부산광역시 중구 중앙동4가 80-15","","","화인유통(주)","20210202121241","U","2021-02-04 02:40:00.0","","","","지정","부산광역시 중구 중앙동4가  80-15번지","","19941221","관급봉투",
"35","쓰레기종량제봉투판매업","09_30_13_P","3250000","325000014199400015","19941221","","01","영업/정상","11","영업","","","","","","","600022","부산광역시 중구 동광동2가 11-66번지","","","광복수퍼","20131230130702","I","2018-08-31 23:59:59.0","","","","지정","부산광역시 중구 동광동2가  11-66번지","","19941221","관급봉투",
"36","쓰레기종량제봉투판매업","09_30_13_P","3250000","325000014199400016","19941221","","01","영업/정상","11","영업","","","","","","","600023","부산광역시 중구 동광동3가 10-1번지","","","만물상회","20070707100050","I","2018-08-31 23:59:59.0","","","","지정","부산광역시 중구 동광동3가  10-1번지","","19941221","관급봉투",
"37","쓰레기종량제봉투판매업","09_30_13_P","3250000","325000014199400017","19941221","","01","영업/정상","11","영업","","","","","","","600025","부산광역시 중구 동광동5가 44번지","","","동광부식","20070707100050","I","2018-08-31 23:59:59.0","","","","지정","부산광역시 중구 동광동5가  44번지","","19941221","관급봉투",
"38","쓰레기종량제봉투판매업","09_30_13_P","3250000","325000014199400018","19941221","","01","영업/정상","11","영업","","","","","","","600025","부산광역시 중구 동광동5가 18번지","","","농심가슈퍼","20131231095958","I","2018-08-31 23:59:59.0","","","","지정","부산광역시 중구 동광동5가  18번지","","19941221","관급봉투",
"39","쓰레기종량제봉투판매업","09_30_13_P","3250000","325000014199400021","19941221","","01","영업/정상","11","영업","","","","","","","600081","부산광역시 중구 보수동1가 33-10번지","","","애린슈퍼","20070707100050","I","2018-08-31 23:59:59.0","","","","지정","부산광역시 중구 보수동1가  33-10번지","","19941221","관급봉투",
"40","쓰레기종량제봉투판매업","09_30_13_P","3250000","325000014199400022","19941221","","01","영업/정상","11","영업","","","","","","","600081","부산광역시 중구 보수동1가 60번지","","","남해슈퍼","20070707100050","I","2018-08-31 23:59:59.0","","","","지정","부산광역시 중구 보수동1가  60번지","","19941221","관급봉투",
"41","쓰레기종량제봉투판매업","09_30_13_P","3250000","325000014199400023","19941221","","01","영업/정상","11","영업","","","","","","","600081","부산광역시 중구 보수동1가 59번지","","","개나리슈퍼","20070707100050","I","2018-08-31 23:59:59.0","","","","지정","부산광역시 중구 보수동1가  59번지","","19941221","관급봉투",
"42","쓰레기종량제봉투판매업","09_30_13_P","3250000","325000014199400024","19941221","","01","영업/정상","11","영업","","","","","","","600081","부산광역시 중구 보수동1가 산3-148","","","만물상회","20070707100050","I","2018-08-31 23:59:59.0","","","","지정","부산광역시 중구 보수동1가  산3-148","","19941221","관급봉투",
"43","쓰레기종량제봉투판매업","09_30_13_P","3250000","325000014199400025","19941221","","01","영업/정상","11","영업","","","","","","","600092","부산광역시 중구 대청동2가 16-4번지","","","LG25대청점","20070707100050","I","2018-08-31 23:59:59.0","","","","지정","부산광역시 중구 대청동2가  16-4번지","","19941221","관급봉투",
"44","쓰레기종량제봉투판매업","09_30_13_P","3250000","325000014199400026","19941221","","01","영업/정상","11","영업","","","","","","","600092","부산광역시 중구 대청동2가 14번지","","","새마을금고","20070707100050","I","2018-08-31 23:59:59.0","","","","지정","부산광역시 중구 대청동2가  14번지","","19941221","관급봉투",
"45","쓰레기종량제봉투판매업","09_30_13_P","3250000","325000014199400027","19941221","","01","영업/정상","11","영업","","","","","","","600094","부산광역시 중구 대청동4가 31-10번지","","","고성슈퍼","20070707100050","I","2018-08-31 23:59:59.0","","","","지정","부산광역시 중구 대청동4가  31-10번지","","19941221","관급봉투",
"46","쓰레기종량제봉투판매업","09_30_13_P","3250000","325000014199400028","19941221","","01","영업/정상","11","영업","","","","","","","600094","부산광역시 중구 대청동4가 72-184번지","","","밀양슈퍼","20070707100050","I","2018-08-31 23:59:59.0","","","","지정","부산광역시 중구 대청동4가  72-184번지","","19941221","관급봉투",
"47","쓰레기종량제봉투판매업","09_30_13_P","3250000","325000014199400029","19941221","","01","영업/정상","11","영업","","","","","","","600094","부산광역시 중구 대청동4가 63번지","","","금성이용원","20070707100050","I","2018-08-31 23:59:59.0","","","","지정","부산광역시 중구 대청동4가  63번지","","19941221","관급봉투",
"48","쓰레기종량제봉투판매업","09_30_13_P","3250000","325000014199400030","19941221","","01","영업/정상","11","영업","","","","","","","600094","부산광역시 중구 대청동4가 82-35번지","","","대청양곡","20070707100050","I","2018-08-31 23:59:59.0","","","","지정","부산광역시 중구 대청동4가  82-35번지","","19941221","관급봉투",
"49","쓰레기종량제봉투판매업","09_30_13_P","3250000","325000014199400031","19941221","","01","영업/정상","11","영업","","","","","","","600094","부산광역시 중구 대청동4가 79-1번지","","","스파슈퍼","20070707100050","I","2018-08-31 23:59:59.0","","","","지정","부산광역시 중구 대청동4가  79-1번지","","19941221","관급봉투",
"50","쓰레기종량제봉투판매업","09_30_13_P","3250000","325000014199400032","19941221","","01","영업/정상","11","영업","","","","","","","600094","부산광역시 중구 대청동4가 2-61번지","","","대청상회","20070707100050","I","2018-08-31 23:59:59.0","","","","지정","부산광역시 중구 대청동4가  2-61번지","","19941221","관급봉투",
"51","쓰레기종량제봉투판매업","09_30_13_P","3250000","325000014199400033","19941221","","01","영업/정상","11","영업","","","","","","","600071","부산광역시 중구 부평동1가 21번지","","","부하아케이트","20070707100050","I","2018-08-31 23:59:59.0","","","","지정","부산광역시 중구 부평동1가  21번지","","19941221","관급봉투",
"52","쓰레기종량제봉투판매업","09_30_13_P","3250000","325000014199400045","19941221","","01","영업/정상","11","영업","","","","","","","600045","부산광역시 중구 남포동5가 116-1번지","","","자갈치슈퍼","20070707100050","I","2018-08-31 23:59:59.0","","","","지정","부산광역시 중구 남포동5가  116-1번지","","19941221","관급봉투",
"53","쓰레기종량제봉투판매업","09_30_13_P","3250000","325000014199400046","19941221","","01","영업/정상","11","영업","","","","","","","600112","부산광역시 중구 영주동 534-235번지","","","산청상회","20070707100050","I","2018-08-31 23:59:59.0","","","","지정","부산광역시 중구 영주동  534-235번지","","19941221","관급봉투",
"54","쓰레기종량제봉투판매업","09_30_13_P","3250000","325000014199400047","19941221","","01","영업/정상","11","영업","","","","","","","600112","부산광역시 중구 영주동 291-1번지","","","거북부식상회","20131227110203","I","2018-08-31 23:59:59.0","","","","종료","","","19941221","관급봉투",
"55","쓰레기종량제봉투판매업","09_30_13_P","3250000","325000014199400048","19941221","","01","영업/정상","11","영업","","","","","","","600112","부산광역시 중구 영주동 274-2번지","","","한성할인마트","20120725133848","I","2018-08-31 23:59:59.0","","","","종료","부산광역시 중구 영주동  274-2번지","","19941221","관급봉투",
"56","쓰레기종량제봉투판매업","09_30_13_P","3250000","325000014199400049","19941221","","01","영업/정상","11","영업","","","","","","","600112","부산광역시 중구 영주동 106-9번지","","","동주슈퍼","20070707100050","I","2018-08-31 23:59:59.0","","","","지정","부산광역시 중구 영주동  106-9번지","","19941221","관급봉투",
"57","쓰레기종량제봉투판매업","09_30_13_P","3250000","325000014199400050","19941221","","01","영업/정상","11","영업","","","","","","","600112","부산광역시 중구 영주동 73-9번지","","","신풍상회","20070707100050","I","2018-08-31 23:59:59.0","","","","지정","부산광역시 중구 영주동  73-9번지","","19941221","관급봉투",
"58","쓰레기종량제봉투판매업","09_30_13_P","3250000","325000014199500016","19950215","","01","영업/정상","11","영업","","","","","","","600014","부산광역시 중구 중앙동4가 85번지","","","일신슈퍼","20070707100050","I","2018-08-31 23:59:59.0","","","","지정","부산광역시 중구 중앙동4가  85번지","","19950215","관급봉투",
"59","쓰레기종량제봉투판매업","09_30_13_P","3250000","325000014199500017","19950215","","01","영업/정상","11","영업","","","","","","","600080","부산광역시 중구 보수동1가 59번지","","","동남상회","20070707100050","I","2018-08-31 23:59:59.0","","","","지정","부산광역시 중구 보수동1가  59번지","","19950215","관급봉투",
"60","쓰레기종량제봉투판매업","09_30_13_P","3250000","325000014199500018","19950215","","01","영업/정상","11","영업","","","","","","","","부산광역시 중구 대청동2가 9-12번지","부산광역시 중구 복병산길3번길 11-1 (대청동2가)","48933","새남성슈퍼","20170620103426","I","2018-08-31 23:59:59.0","","385098.721990455","180165.591407765","지정","부산광역시 중구 대청동2가 9번지 12호","20170620","19950215","관급봉투",
"61","쓰레기종량제봉투판매업","09_30_13_P","3250000","325000014199500019","19950215","","01","영업/정상","11","영업","","","","","","","600094","부산광역시 중구 대청동4가 85-3번지","","","성주상회","20140106091027","I","2018-08-31 23:59:59.0","","","","종료","부산광역시 중구 대청동4가  85-3번지","","19950215","관급봉투",
"62","쓰레기종량제봉투판매업","09_30_13_P","3250000","325000014199400051","19941221","","01","영업/정상","11","영업","","","","","","","600112","부산광역시 중구 영주동 76-1번지","","","경주상회","20070707100050","I","2018-08-31 23:59:59.0","","","","지정","부산광역시 중구 영주동  76-1번지","","19941221","관급봉투",
"63","쓰레기종량제봉투판매업","09_30_13_P","3250000","325000014199400052","19941221","","01","영업/정상","11","영업","","","","","","","600112","부산광역시 중구 영주동 91-1번지","","","주민상회","20070707100050","I","2018-08-31 23:59:59.0","","","","지정","부산광역시 중구 영주동  91-1번지","","19941221","관급봉투",
"64","쓰레기종량제봉투판매업","09_30_13_P","3250000","325000014199400053","19941221","","01","영업/정상","11","영업","","","","","","","600112","부산광역시 중구 영주동 산1(7-3)","","","우주상회","20130829175935","I","2018-08-31 23:59:59.0","","","","종료","부산광역시 중구 영주동  산1(7-3)","","19941221","관급봉투",
"65","쓰레기종량제봉투판매업","09_30_13_P","3250000","325000014199400054","19941221","","01","영업/정상","11","영업","","","","","","","600112","부산광역시 중구 영주동 산1","","","하양상회","20130829180438","I","2018-08-31 23:59:59.0","","","","종료","부산광역시 중구 영주동  산1","","19941221","관급봉투",
"66","쓰레기종량제봉투판매업","09_30_13_P","3250000","325000014199400055","19941221","","01","영업/정상","11","영업","","","","","","","600025","","부산광역시 중구 동광길 91 (동광동5가)","600025","스파빅마트","20170626154809","I","2018-08-31 23:59:59.0","","385459.584583026","180532.048876912","지정","","","19941221","관급봉투",
"67","쓰레기종량제봉투판매업","09_30_13_P","3250000","325000014199400056","19941221","","01","영업/정상","11","영업","","","","","","","600024","부산광역시 중구 동광동4가 18번지","","","남창슈퍼","20120206095619","I","2018-08-31 23:59:59.0","","","","지정","부산광역시 중구 동광동4가  18번지","","19941221","관급봉투",
"68","쓰레기종량제봉투판매업","09_30_13_P","3250000","325000014199400058","19941225","","01","영업/정상","11","영업","","","","","","","600111","부산광역시 중구 영주동 60-48번지","","","풍덕슈퍼","20130326144850","I","2018-08-31 23:59:59.0","","","","종료","부산광역시 중구 보수동3가  29번지","","19941225","관급봉투",
"69","쓰레기종량제봉투판매업","09_30_13_P","3250000","325000014199400059","19941221","","01","영업/정상","11","영업","","","","","","","600083","부산광역시 중구 보수동3가 69번지","","","중앙슈퍼","20120206101210","I","2018-08-31 23:59:59.0","","","","종료","부산광역시 중구 보수동3가  69번지","","19941221","관급봉투",
"70","쓰레기종량제봉투판매업","09_30_13_P","3250000","325000014199400060","19941221","","01","영업/정상","11","영업","","","","","","","600082","부산광역시 중구 보수동2가 18번지","","","대진슈퍼","20120206100741","I","2018-08-31 23:59:59.0","","","","종료","부산광역시 중구 보수동2가  18번지","","19941221","관급봉투",
"71","쓰레기종량제봉투판매업","09_30_13_P","3250000","325000014199400061","19941221","","01","영업/정상","11","영업","","","","","","","600081","부산광역시 중구 보수동1가 14-29번지","","","제일슈퍼","20070707100050","I","2018-08-31 23:59:59.0","","","","지정","부산광역시 중구 보수동1가  14-29번지","","19941221","관급봉투",
"72","쓰레기종량제봉투판매업","09_30_13_P","3250000","325000014199500001","19950215","","01","영업/정상","11","영업","","","","","","","600111","부산광역시 중구 영주동 23-3번지","","","축협영주판매장","20070707100050","I","2018-08-31 23:59:59.0","","","","지정","부산광역시 중구 영주동  23-3번지","","19950215","관급봉투",
"73","쓰레기종량제봉투판매업","09_30_13_P","3250000","325000014199500003","19950215","","01","영업/정상","11","영업","","","","","","","600111","부산광역시 중구 영주동 584번지","부산광역시 중구 대영로242번길 8-1  (영주동)","","새마을금고","20070707100050","I","2018-08-31 23:59:59.0","","385629.529755924","181029.110394587","지정","","","19950215","관급봉투",
"74","쓰레기종량제봉투판매업","09_30_13_P","3250000","325000014199600005","19960514","","01","영업/정상","11","영업","","","","","","","600013","부산광역시 중구 중앙동3가 15","부산광역시 중구 대청로 139-1  (중앙동3가)","","씨스페이스","20210202121652","U","2021-02-04 02:40:00.0","","385498.083648013","180113.684647361","지정","부산광역시 중구 중앙동3가  15번지","","19960514","관급봉투",
"75","쓰레기종량제봉투판매업","09_30_13_P","3250000","325000014199600006","19960514","","01","영업/정상","11","영업","","","","","","","600014","부산광역시 중구 중앙동4가 76-4번지","","","한진상회","20171122182530","I","2018-08-31 23:59:59.0","","","","종료","부산광역시 중구 중앙동4가  76-4번지","","19960514","관급봉투",
"76","쓰레기종량제봉투판매업","09_30_13_P","3250000","325000014199600007","19960514","","01","영업/정상","11","영업","","","","","","","600014","부산광역시 중구 중앙동4가 40-22","","","서원동광슈퍼","20210202122419","U","2021-02-04 02:40:00.0","","","","지정","부산광역시 중구 중앙동4가  40-22번지","","19960514","관급봉투",
"77","쓰레기종량제봉투판매업","09_30_13_P","3250000","325000014199600008","19960729","","01","영업/정상","11","영업","","","","","","","600023","부산광역시 중구 동광동3가 34번지","","","동해상회","20070707100050","I","2018-08-31 23:59:59.0","","","","지정","부산광역시 중구 동광동3가  34번지","","19960729","관급봉투",
"78","쓰레기종량제봉투판매업","09_30_13_P","3250000","325000014199600009","19960514","","01","영업/정상","11","영업","","","","","","","600094","부산광역시 중구 대청동4가 72번지","부산광역시 중구 대청북길17번길 22, 2층 (대청동4가)","48970","대청미니","20160922154310","I","2018-08-31 23:59:59.0","","384995.214284857","180448.52206484","지정","부산광역시 중구 대청동4가  72번지","20160922","19960514","관급봉투",
"79","쓰레기종량제봉투판매업","09_30_13_P","3250000","325000014199600010","19960221","","01","영업/정상","11","영업","","","","","","","600080","부산광역시 중구 보수동1가 41번지","","","경북슈퍼","20070707100050","I","2018-08-31 23:59:59.0","","","","지정","부산광역시 중구 보수동1가  41번지","","19960221","관급봉투",
"80","쓰레기종량제봉투판매업","09_30_13_P","3250000","325000014199600011","19960729","","01","영업/정상","11","영업","","","","","","","600080","부산광역시 중구 보수동1가 41번지","","","대림농축","20070707100050","I","2018-08-31 23:59:59.0","","","","지정","부산광역시 중구 보수동1가  41번지","","19960729","관급봉투",
"81","쓰레기종량제봉투판매업","09_30_13_P","3250000","325000014199600012","19960112","","01","영업/정상","11","영업","","","","","","","600112","부산광역시 중구 영주동 450-25번지","","","거북슈퍼","20070707100050","I","2018-08-31 23:59:59.0","","","","","","","","관급봉투",
"82","쓰레기종량제봉투판매업","09_30_13_P","3250000","325000014199600013","19960514","","01","영업/정상","11","영업","","","","","","","600112","부산광역시 중구 영주동 74-5번지","","","칠성미니슈퍼","20070707100050","I","2018-08-31 23:59:59.0","","","","지정","부산광역시 중구 영주동  74-5번지","","19960514","관급봉투",
"83","쓰레기종량제봉투판매업","09_30_13_P","3250000","325000014199600014","19961004","","01","영업/정상","11","영업","","","","","","","600112","부산광역시 중구 영주동 277-18번지","","","영주상회","20070707100050","I","2018-08-31 23:59:59.0","","","","지정","부산광역시 중구 영주동  277-18번지","","19961004","관급봉투",
"84","쓰레기종량제봉투판매업","09_30_13_P","3250000","325000014199600016","19961115","","01","영업/정상","11","영업","","","","","","","600112","부산광역시 중구 영주동 536-111번지","","","합천상회","20070707100050","I","2018-08-31 23:59:59.0","","","","지정","부산광역시 중구 영주동  536-111번지","","19961115","관급봉투",
