"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","목재생산업구분코드명","목재생산업종류명","취급목재제품","인력보유현황","년간생산량","자본금","상태구분명",
"13","목재수입유통업","09_27_01_P","3270000","327000090201800002","20180718","","01","영업/정상","1","정상","","","","","051-201-5351","","","부산광역시 동구 초량동 ****-*번지","부산광역시 동구 중앙대로 ***, **층 (초량동)","","(주)삼익","20180718172813","I","2018-08-31 23:59:59.0","","385821.85135078","181218.697894165","목재수입유통업","","목재펠릿, 목질바이오매스","","50000","10000","영업",
"14","목재수입유통업","09_27_01_P","3270000","327000090201800003","20180725","","01","영업/정상","1","정상","","","","","","","","","부산광역시 동구 초량중로 **, 한국방송통신전파진흥원 부산본부 ***호 (초량동)","48819","***","20211103133818","U","2021-11-05 02:40:00.0","","385619.734957376","181408.697292907","목재수입유통업","","목재펠릿","","50000","10","영업",
"15","목재수입유통업","09_27_01_P","3270000","327000090202000002","20200615","","01","영업/정상","1","정상","","","","","051-469-5945","","","부산광역시 동구 초량동 ****-** 국제오피스텔 ****호","부산광역시 동구 중앙대로 ***, 국제오피스텔 ****호 (초량동)","48792","(주)쉽맨코","20211209111819","U","2021-12-11 02:40:00.0","","386093.674147239","182068.358104572","목재수입유통업","","목재펠릿, 목재칩, 톱밥","","30000","0","영업",
"16","목재수입유통업","09_27_01_P","3270000","327000090202000001","20200611","","01","영업/정상","1","정상","","","","","051-464-2280","","","부산광역시 동구 초량동 ****-**번지 국제오피스텔 ****호","부산광역시 동구 중앙대로 ***, 국제오피스텔 ****호 (초량동)","48792","(주)글로발코리아","20200615122252","U","2020-06-17 02:40:00.0","","386093.674147239","182068.358104572","목재수입유통업","","제재목, 목재펠릿, 톱밥, 목재브리켓","","","","영업",
"17","목재수입유통업","09_27_01_P","3270000","327000090202000003","20200615","","01","영업/정상","1","정상","","","","","051-469-5945","","","부산광역시 동구 초량동 ****-** 국제오피스텔 ****호","부산광역시 동구 중앙대로 ***, 국제오피스텔 ****호 (초량동)","48792","(주)쉽맨코","20200629163540","I","2020-07-01 00:23:16.0","","386093.674147239","182068.358104572","목재수입유통업","","목재펠릿, 목재칩, 톱밥","","30000","","영업",
"18","목재수입유통업","09_27_01_P","3270000","327000090202000004","20200611","","01","영업/정상","1","정상","","","","","051-464-2280","","","부산광역시 동구 초량동 ****-** 국제오피스텔 ****호","부산광역시 동구 중앙대로 ***, 국제오피스텔 ****호 (초량동)","48792","(주)글로발코리아","20200629164552","I","2020-07-01 00:23:16.0","","386093.674147239","182068.358104572","목재수입유통업","","제재목, 목재펠릿,톱밥,목재브리켓","","","","영업",
"19","목재수입유통업","09_27_01_P","3280000","328000090201800001","20180115","","01","영업/정상","1","정상","","","","","0516340069","","","부산광역시 영도구 청학동 ***-***번지","부산광역시 영도구 해양로**번길 ** (청학동)","49007","부산연료","20180319175031","I","2018-08-31 23:59:59.0","","387966.557313913","179631.766727331","목재수입유통업","","성형목탄","2명","100","","영업",
"20","목재수입유통업","09_27_01_P","3290000","329000090202000001","20200520","","01","영업/정상","1","정상","","","","","051-867-0975","","","부산광역시 부산진구 부전동 ***-*번지 신동아오피스텔 ***호","부산광역시 부산진구 가야대로 ***-*, 신동아오피스텔 (부전동)","47258","주식회사 JBC물산","20200520164430","I","2020-05-22 00:23:19.0","","387052.317362645","186253.143814124","목재수입유통업","","성형목탄, 우드펠렛","","2000","50","영업",
"21","목재수입유통업","09_27_01_P","3290000","329000090202100001","20211008","","01","영업/정상","1","정상","","","","","051-868-4517","","","","부산광역시 부산진구 연제로*번길 **-*, *층 (양정동)","47217","***","20211008165420","I","2021-10-10 00:22:47.0","","389014.101958847","188209.837588706","목재수입유통업","","톱밥","1인","200","50","영업",
"22","목재수입유통업","09_27_01_P","3290000","329000090202000002","20200624","","01","영업/정상","1","정상","","","","","051-506-3766","","","부산광역시 부산진구 초읍동 ***-**","부산광역시 부산진구 새싹로***번길 **, *층 A호 (초읍동)","47124","주식회사칸우드","20200624163138","I","2020-06-26 00:23:17.0","","386497.310955538","188641.304935539","목재수입유통업","","합판,PB,MDF 등","3","10500","300","영업",
"23","목재수입유통업","09_27_01_P","3290000","329000090201700004","20171206","","01","영업/정상","1","정상","","","","","051-911-9978","","","","부산광역시 부산진구 중앙대로 ***, *층 (범천동)","47352","***","20211103133454","U","2021-11-05 02:40:00.0","","387471.966687564","184882.386981477","목재수입유통업","","숯","","0","0","영업",
"24","목재수입유통업","09_27_01_P","3290000","329000090201700001","20170724","","01","영업/정상","1","정상","","","","","","","","","부산광역시 부산진구 동성로 ***, ***호 (전포동, 청아리치타운)","47241","***","20220111144322","U","2022-01-13 02:40:00.0","","387984.333122347","186633.993031274","목재수입유통업","","숯","","0","80","영업",
"25","목재수입유통업","09_27_01_P","3310000","331000090202100002","20211228","","01","영업/정상","1","정상","","","","","0516273694","","","부산광역시 남구 대연동 ***-** 삼익그린타운","부산광역시 남구 황령대로***번가길 ***, 지하*층층 ***호 (대연동, 삼익그린타운)","48424","청정마루건축","20211228161055","I","2021-12-30 00:22:41.0","","390157.22701355","185670.705261658","목재수입유통업","","합판","","0","0","영업",
"26","목재수입유통업","09_27_01_P","3310000","331000090201400001","20140211","","01","영업/정상","1","정상","","","","","","","","부산광역시 남구 대연동 ****-***번지","부산광역시 남구 수영로***번길 **-* (대연동)","","주식회사 토우드","20140211113640","I","2018-08-31 23:59:59.0","","389971.457036135","183595.029502461","목재수입유통업","","건조 가공 집성목","무","1100","20","영업",
"27","목재수입유통업","09_27_01_P","3310000","331000090201400002","20140211","","01","영업/정상","1","정상","","","","","","","","","부산광역시 남구 분포로 ***(용호동, 엘지메트로시티)","48516","***","20211117154556","U","2021-11-19 02:40:00.0","","392474.578116018","183212.927797079","목재수입유통업","","펠릿, 브리켓","","120000","0","영업",
"28","목재수입유통업","09_27_01_P","3310000","331000090201600002","20160205","","01","영업/정상","1","정상","","","","","","","","","부산광역시 남구 수영로***번길 ** (대연동)","","주)도호","20160212092728","I","2018-08-31 23:59:59.0","","390313.846791578","183589.443169158","목재수입유통업","","우드펠릿, 우드칩 외","","20000","50","영업",
"29","목재수입유통업","09_27_01_P","3310000","331000090201800001","20181114","","01","영업/정상","1","정상","","","","","0514649010","","","","부산광역시 남구 유엔평화로**번길 **, *층 (대연동)","48493","***","20181114175953","I","2018-11-16 02:37:38.0","","390395","183614","목재수입유통업","","목재펠릿, 톱밥, 목탄","","","","영업",
"30","목재수입유통업","09_27_01_P","3320000","332000090201300001","20131213","","01","영업/정상","1","정상","","","","","051-337-2038","","","","부산광역시 북구 시랑로***번길 * (구포동)","","대성무역","20131213145230","I","2018-08-31 23:59:59.0","","383344.360154645","190434.316433304","목재수입유통업","","합판","","4000","200","영업",
"31","목재수입유통업","09_27_01_P","3320000","332000090201700001","20171012","","01","영업/정상","1","정상","","","","","","","","","부산광역시 북구 상리로 ** (만덕동)","","전은서","20171012112546","I","2018-08-31 23:59:59.0","","385603.815595631","191768.970144673","목재수입유통업","","숯","","250","103","영업",
"32","목재수입유통업","09_27_01_P","3320000","332000090201800001","20180222","","01","영업/정상","1","정상","","","","","","","","","부산광역시 북구 상리로 ** (만덕동)","46614","박시영","20180222093045","I","2018-08-31 23:59:59.0","","385603.815595631","191768.970144673","목재수입유통업","","숯","","125","45","영업",
"33","목재수입유통업","09_27_01_P","3330000","333000090201900001","20190115","","01","영업/정상","1","정상","","","","","051-743-1977","","","","부산광역시 해운대구 센텀중앙로 **, 큐비이센텀 ***호 (재송동)","48059","***","20190115181224","I","2019-01-17 02:20:51.0","","393605.930358633","188324.973749177","목재수입유통업","","숯","대표자1인","1000","5","영업",
"34","목재수입유통업","09_27_01_P","3330000","333000090201500003","20150720","","01","영업/정상","1","정상","","","","","051-783-7111","","","부산광역시 해운대구 송정동 **-** 송정가스상사","부산광역시 해운대구 송정*로 **, 송정가스상사 (송정동)","48069","뉴원","20201006095228","U","2020-10-08 02:40:00.0","","400923.754261714","190467.983106898","목재수입유통업","","우드브리켓, 톱밥, 목탄, 목분, 목재펠릿","","10000","","영업",
"35","목재수입유통업","09_27_01_P","3330000","333000090201500004","20150728","","01","영업/정상","1","정상","","","","","051-741-6220","","","부산광역시 해운대구 우동 **** 센텀그린타워 ***호","부산광역시 해운대구 센텀중앙로 **, 센텀그린타워 ***호 (우동)","48059","(주)아시아에너지","20210923125253","U","2021-09-25 02:40:00.0","","393696.083565618","188229.689546721","목재수입유통업","","우드펠릿","","5000","400","영업",
"36","목재수입유통업","09_27_01_P","3330000","333000090201600003","20160426","","01","영업/정상","1","정상","","","","","051-441-4482","","","","부산광역시 해운대구 센텀동로 **, ***호 (재송동)","","(주)루스코","20160426114307","I","2018-08-31 23:59:59.0","","393607.260373715","188408.076687691","목재수입유통업","","소나무(각재, 판재)","","1000","201","영업",
"37","목재수입유통업","09_27_01_P","3330000","333000090201500002","20150121","","01","영업/정상","1","정상","","","","","051-743-6434","","","","부산광역시 해운대구 달맞이길 **, ****호 (중동, 이안해운대파일론)","","오리엔탈쉬핑(주)","20150120200051","I","2018-08-31 23:59:59.0","","397650.317430573","186919.128562817","목재수입유통업","","합판, 제재목","1명","3000","1000","영업",
"38","목재수입유통업","09_27_01_P","3330000","333000090201600004","20160817","","01","영업/정상","1","정상","","","","","","","","부산광역시 해운대구 좌동 **** 벽산*차아파트 ***동 ***호","부산광역시 해운대구 대천로 ***, ***동 ***호 (좌동, 벽산*차아파트)","48110","우드림","20210806133332","U","2021-08-08 02:40:00.0","","398538.34378124","187842.077508272","목재수입유통업","","톱밥","","0","0","영업",
"39","목재수입유통업","09_27_01_P","3330000","333000090202000001","20201030","","01","영업/정상","1","정상","","","","","","","","부산광역시 해운대구 재송동 ****-* 센텀스카이비즈 A동 ****호","부산광역시 해운대구 센텀중앙로 **, 센텀스카이비즈 A동 ****호 (재송동)","48058","비와이디플랜","20210629161721","U","2021-07-01 02:40:00.0","","393503.395720953","188279.474831569","목재수입유통업","","로비니아(아까시) 원목, 제재목","","400","20","영업",
"40","목재수입유통업","09_27_01_P","3330000","333000090202100001","20210309","","01","영업/정상","1","정상","","","","","051-714-5579","","","부산광역시 해운대구 우동 **** 롯데갤러리움센텀 E동 ***호","부산광역시 해운대구 센텀*로 *, 롯데갤러리움센텀 E동 *층 ***호 (우동)","48060","(주)지티피코리아","20210309095204","I","2021-03-11 00:23:00.0","","394085.659790124","187458.456044384","목재수입유통업","","파티클보드","","50000","10","영업",
"41","목재수입유통업","09_27_01_P","3340000","334000090201300012","20131209","","01","영업/정상","1","정상","","","","","051-263-9660","","","부산광역시 사하구 장림동 ***-*번지","부산광역시 사하구 하신중앙로*번길 ** (장림동)","604041","태평목재","20180126190541","I","2018-08-31 23:59:59.0","","378890.753061611","177108.0404076","목재수입유통업","","원목, 제재목","","360","565","영업",
"42","목재수입유통업","09_27_01_P","3340000","334000090201300002","20140508","","01","영업/정상","1","정상","","","","","051-260-3438","","","부산광역시 사하구 다대동 ***번지","부산광역시 사하구 다대로 *** (다대동)","604051","성창기업 주식회사","20180110092533","I","2018-08-31 23:59:59.0","","380090.057997493","174355.708212487","목재수입유통업","","합판,파티클보드","","2750","10000","영업",
"43","목재수입유통업","09_27_01_P","3340000","334000090201300005","20131121","","01","영업/정상","1","정상","","","","","051-262-5555","","","","부산광역시 사하구 다대로 *** (장림동)","","(유)동양특수목재산업","20131121203143","I","2018-08-31 23:59:59.0","","380477.150030225","176504.955138913","목재수입유통업","","편백 제재목, 적삼목 제재목","","20000","265","영업",
"44","목재수입유통업","09_27_01_P","3340000","334000090201300006","20131121","","01","영업/정상","1","정상","","","","","051-264-0260","","","부산광역시 사하구 다대동 ****-**번지 성원아파트 상가동 ***호","부산광역시 사하구 다대낙조*길 **, 상가동 ***호 (다대동, 성원아파트)","","새한플라이우드","20131121203806","I","2018-08-31 23:59:59.0","","379536.149444753","173969.719902491","목재수입유통업","","합판, 목재","","35000","","영업",
"45","목재수입유통업","09_27_01_P","3340000","334000090201300008","20131204","","01","영업/정상","1","정상","","","","","051-203-3700","","","부산광역시 사하구 신평동 ***번지","부산광역시 사하구 신산로 *** (신평동)","","(주)케이원글로벌","20131204151456","I","2018-08-31 23:59:59.0","","379451.129206449","178466.837914571","목재수입유통업","","원목,제재목","","34000","200","영업",
"46","목재수입유통업","09_27_01_P","3340000","334000090201300010","20131209","","01","영업/정상","1","정상","","","","","051-264-7164","","","부산광역시 사하구 장림동 ***번지","부산광역시 사하구 다대로***번길 ** (장림동)","","대성목재","20131209133916","I","2018-08-31 23:59:59.0","","379980.914415592","176823.187442523","목재수입유통업","","제재목","","2000","159","영업",
"47","목재수입유통업","09_27_01_P","3340000","334000090201300013","20131212","","01","영업/정상","1","정상","","","","","055-552-1161","","","부산광역시 사하구 하단동 ****번지 가락타운아파트 ***동 ***호","부산광역시 사하구 하신중앙로 ***, ***동 ***호 (하단동, 가락타운아파트)","","(주)우딘도","20131212182203","I","2018-08-31 23:59:59.0","","378592.907593612","179817.73255814","목재수입유통업","","합판, 가공목재","","20000","300","영업",
"48","목재수입유통업","09_27_01_P","3340000","334000090201500001","20150519","","01","영업/정상","1","정상","","","","","","","","부산광역시 사하구 장림동 ***-**번지","부산광역시 사하구 장림로 *** (장림동)","","엠알오트레이딩","20150519092352","I","2018-08-31 23:59:59.0","","379708.149537342","177643.699590984","목재수입유통업","","목재펠릿","","10000","","영업",
"49","목재수입유통업","09_27_01_P","3340000","334000090201600001","20160426","","01","영업/정상","1","정상","","","","","051-714-6188","","","","부산광역시 사하구 다산로 **-* (다대동)","","코시스코리아 유한회사","20160427140405","I","2018-08-31 23:59:59.0","","378722.631765917","174582.583885409","목재수입유통업","","목재펠릿","","20000","100","영업",
"50","목재수입유통업","09_27_01_P","3340000","334000090201600002","20160427","","01","영업/정상","1","정상","","","","","","","","","부산광역시 사하구 낙동대로***번길 **, B동 ***호 (하단동, 동아연립)","49307","***","20200909091754","U","2020-09-11 02:40:00.0","","378785.092087372","180936.276170491","목재수입유통업","","목재펠릿","","15000","30","영업",
"51","목재수입유통업","09_27_01_P","3340000","334000090201700001","20170421","","01","영업/정상","1","정상","","","","","051-714-4744","","","부산광역시 사하구 하단동 ****-*번지","부산광역시 사하구 하신번영로 ***, ***동 ***호 (하단동)","","영인산업","20180119173917","I","2018-08-31 23:59:59.0","","378522.007200069","180909.306630124","목재수입유통업","2종","TEGO합판, 일반합판","","1300","80","영업",
"52","목재수입유통업","09_27_01_P","3340000","334000090201700002","20171124","","01","영업/정상","1","정상","","","","","051-262-5555","","","부산광역시 사하구 장림동 ***-*","부산광역시 사하구 다대로 *** (장림동)","604041","동양특수목재(주)","20201105144207","U","2020-11-07 02:40:00.0","","380367.305537527","176504.955138913","목재수입유통업","","원목,제재목,집성목","","20000","300","영업",
"53","목재수입유통업","09_27_01_P","3340000","334000090201700004","20171128","","01","영업/정상","1","정상","","","","","","","","부산광역시 사하구 하단동 ****-*번지 석포베스트 ***호","부산광역시 사하구 하신번영로***번길 **, ***호 (하단동, 석포베스트)","49430","케이앤케이인터내셔널","20171129092714","I","2018-08-31 23:59:59.0","","378407.960164036","179569.173901776","목재수입유통업","","목탄","","","","영업",
"54","목재수입유통업","09_27_01_P","3340000","334000090201800001","20180321","","01","영업/정상","1","정상","","","","","051-714-4744","","","부산광역시 사하구 하단동 ****-* 가락타운*단지","부산광역시 사하구 하신번영로 ***, ***동 ***호 (하단동, 가락타운*단지)","49305","(주)영인산업테크","20220121133159","U","2022-01-23 02:40:00.0","","378522.007200069","180909.306630124","목재수입유통업","","합판(TEGO합판, 일반합판)","","0","0","영업",
"55","목재수입유통업","09_27_01_P","3340000","334000090201900001","20190408","","01","영업/정상","1","정상","","","","","051-260-3421","","","부산광역시 사하구 다대동 ***번지","부산광역시 사하구 다대로 *** (다대동)","49526","지씨글로벌 주식회사","20190408122704","I","2019-04-10 02:20:18.0","","380090.057997493","174355.708212487","목재수입유통업","","합판, 파티클보드, MDF 및 기타 목재류","","178200","4000","영업",
"56","목재수입유통업","09_27_01_P","3340000","334000090201900002","20190711","","01","영업/정상","1","정상","","","","","051-201-1011","","","부산광역시 사하구 신평동 ***-**번지","부산광역시 사하구 하신중앙로 ** (신평동)","49437","주식회사 금성산업","20190711113929","I","2019-07-13 02:21:44.0","","379214.898563589","178164.559092516","목재수입유통업","","제재목(산업재)","","2500","300","영업",
"57","목재수입유통업","09_27_01_P","3340000","334000090201900004","20190711","","01","영업/정상","1","정상","","","","","051-290-3807","","","부산광역시 사하구 신평동 ***-**번지","부산광역시 사하구 장평로 ***, *층 (신평동)","49418","(주)대경오앤티","20190711115003","I","2019-07-13 02:21:44.0","","379818.968667587","178669.513253341","목재수입유통업","","우드펠릿","","3000","7051","영업",
"58","목재수입유통업","09_27_01_P","3340000","334000090201300001","20130910","","01","영업/정상","1","정상","","","","","051-206-9851","","","부산광역시 사하구 하단동 ***-**","부산광역시 사하구 하신번영로***번길 ** (하단동)","","(주)연우","20211208172824","U","2021-12-10 02:40:00.0","","378747.908030226","180609.164618292","목재수입유통업","","LVL, 합판, 제재목, PB, 목재펠릿","","3000","100","영업",
"59","목재수입유통업","09_27_01_P","3340000","334000090202100001","20211111","","01","영업/정상","1","정상","","","","","","","","부산광역시 사하구 구평동 ***-* *층","부산광역시 사하구 두송로 ***(구평동)","49512","에스제이인터내셔널","20211115100532","U","2021-11-17 02:40:00.0","","381443.483020134","176831.541351522","목재수입유통업","","비장탄","","0","0","영업",
"60","목재수입유통업","09_27_01_P","3340000","334000090202000001","20200610","","01","영업/정상","1","정상","","","","","","","","부산광역시 사하구 하단동 ***-*번지 대우에덴프라자","부산광역시 사하구 낙동대로 ***, ***호 (하단동, 대우에덴프라자)","49324","제이엘인터내셔널","20200610131608","I","2020-06-12 00:23:18.0","","379052.480675244","181034.181864204","목재수입유통업","","제재목, 원목","","30","","영업",
"61","목재수입유통업","09_27_01_P","3340000","334000090201800002","20181219","","01","영업/정상","1","정상","","","","","02-6190-8528","","","경기도 안성시 미양면 보체리 ***번지 동성화인텍 B동","경기도 안성시 미양면 협동단지길 ***, 동성화인텍 B동","17600","(주)동성화인텍","20181219142720","I","2018-12-21 02:20:23.0","","221015.890785944","384662.912788779","목재수입유통업","","합판","","500000","","영업",
"62","목재수입유통업","09_27_01_P","3350000","335000090201900001","20191227","","01","영업/정상","1","정상","","","","","","","","","부산광역시 금정구 동현로 *** (서동)","46319","***","20191231101647","I","2020-01-02 00:23:26.0","","390873.928218708","192996.408501857","목재수입유통업","","성형목탄","0","200","0","영업",
"63","목재수입유통업","09_27_01_P","3350000","335000090202000001","20200929","","01","영업/정상","1","정상","","","","","","","","","부산광역시 금정구 공단로 **-* (금사동)","46332","***","20200929180127","I","2020-10-01 00:23:11.0","","","","목재수입유통업","","성형목탄(숯)","","","100","영업",
"64","목재수입유통업","09_27_01_P","3350000","335000090201500001","20151111","","01","영업/정상","1","정상","","","","","05025703000","","","","부산광역시 금정구 중앙대로 ****(청룡동, 협성엠파이어)","46213","***","20210908132644","U","2021-09-10 02:40:00.0","","390379.107677062","199129.789292122","목재수입유통업","","숯","(공동)대표 1명","30000","0","영업",
"65","목재수입유통업","09_27_01_P","3360000","336000090202200003","20220421","","01","영업/정상","1","정상","","","","","","","","부산광역시 강서구 대저*동 ****-*","부산광역시 강서구 신덕길**번길 *-**(대저*동)","46703","엘케이코리아","20220422093426","I","2022-04-24 00:22:33.0","","379234.967473833","190965.494858044","목재수입유통업","","비장탄, 숯","","500","30","영업",
"66","목재수입유통업","09_27_01_P","3360000","336000090201300002","20131123","","01","영업/정상","1","정상","","","","","051-831-8100","","","부산광역시 강서구 송정동 ****-*번지","부산광역시 강서구 녹산산단***로**번길 ** (송정동)","","일선목재(주)","20131125164648","I","2018-08-31 23:59:59.0","","370319.47860251","178424.15372097","목재수입유통업","","합판","","12870","700","영업",
"67","목재수입유통업","09_27_01_P","3360000","336000090201300006","20131123","","01","영업/정상","1","정상","","","","","051-831-1806","","","부산광역시 강서구 강동동 ****-**번지","부산광역시 강서구 제도로 ***-* (강동동)","","문성호","20131125172116","I","2018-08-31 23:59:59.0","","374349.544314474","186052.803369763","목재수입유통업","","제재목(각재)","","1200","1244","영업",
"68","목재수입유통업","09_27_01_P","3360000","336000090201300009","20131123","","01","영업/정상","1","정상","","","","","051-831-3101","","","부산광역시 강서구 송정동 ****-*번지","부산광역시 강서구 녹산산단***로 ** (송정동)","","동화목재(주)","20131125181917","I","2018-08-31 23:59:59.0","","369778.076763177","178601.248457455","목재수입유통업","","재재목(각재)","","20000","1287","영업",
"69","목재수입유통업","09_27_01_P","3360000","336000090201300012","20131203","","01","영업/정상","1","정상","","","","","051-831-9100","","","부산광역시 강서구 송정동 ****-*","부산광역시 강서구 녹산산단***로 ** (송정동)","46755","에스디상사(주)","20201120180206","U","2020-11-22 02:40:00.0","","369518.386773504","178520.258065431","목재수입유통업","","제재목, 합판, 집성재","","92216","250","영업",
"70","목재수입유통업","09_27_01_P","3360000","336000090201300015","20131203","","01","영업/정상","1","정상","","","","","0518312660","","","부산광역시 강서구 송정동 ****-*번지","부산광역시 강서구 녹산산단***로 * (송정동)","46754","(주)알라스코리아","20161205162744","I","2018-08-31 23:59:59.0","","369396.906545409","178315.004400424","목재수입유통업","","제재목","","45000","205","영업",
"71","목재수입유통업","09_27_01_P","3360000","336000090201300018","20131203","","01","영업/정상","1","정상","","","","","051-831-4242","","","부산광역시 강서구 송정동 ****-*번지","부산광역시 강서구 녹산화전로 ** (송정동)","","한상배","20131203151816","I","2018-08-31 23:59:59.0","","369978.581647082","178606.054652078","목재수입유통업","","원목, 각재","","34000","150","영업",
"72","목재수입유통업","09_27_01_P","3360000","336000090201600007","20161011","","01","영업/정상","1","정상","","","","","051-941-3140","","","부산광역시 강서구 대저*동 ****-*번지","부산광역시 강서구 공항로 ***-* (대저*동)","","엔터인터내셔널","20161013135231","I","2018-08-31 23:59:59.0","","377612.120854748","184587.890635128","목재수입유통업","","","","","","영업",
"73","목재수입유통업","09_27_01_P","3360000","336000090201600009","20161227","","01","영업/정상","1","정상","","","","","","","","부산광역시 강서구 송정동 ****-*","부산광역시 강서구 녹산화전로 **, *층 ***호 (송정동)","46755","(주)우딘도","20220106175749","U","2022-01-08 02:40:00.0","","370134.008061587","178567.136021561","목재수입유통업","","합판, 가동목재","","0","0","영업",
"74","목재수입유통업","09_27_01_P","3360000","336000090201700001","20170224","","01","영업/정상","1","정상","","","","","0553395651","","","부산광역시 강서구 미음동 ****-*번지","부산광역시 강서구 가리새*로 ** (미음동)","","대한우드(주)","20170224151252","I","2018-08-31 23:59:59.0","","371774","183728","목재수입유통업","","","","","","영업",
