"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","판매점영업면적",
"11","안전상비의약품 판매업소","01_01_05_P","3250000","PHMH320223250021087500003","20220214","","01","영업/정상","13","영업중","","","","","","","","부산광역시 중구 중앙동6가 21-2 1층","부산광역시 중구 중앙대로 31, 1층 (중앙동6가)","48957","GS25 중부산점","20220307194403","U","2022-03-09 02:40:00.0","","385603.532182924","179816.313601081","0",
"12","안전상비의약품 판매업소","01_01_05_P","3250000","PHMH320223250021087500002","20220113","","01","영업/정상","13","영업중","","","","","","","","부산광역시 중구 남포동4가 7","부산광역시 중구 자갈치로59번길 6, 102호 (남포동4가)","48984","세븐일레븐 부산자갈치그리핀점","20220113175134","I","2022-01-15 00:22:41.0","","385115.989447093","179528.531517589","0",
"13","안전상비의약품 판매업소","01_01_05_P","3250000","PHMH320223250021087500001","20220111","","01","영업/정상","13","영업중","","","","","","","","부산광역시 중구 남포동2가 12-3","부산광역시 중구 남포길 31(남포동2가)","48953","씨유 부산남포점","20220111180414","I","2022-01-13 00:22:41.0","","385227.605990794","179613.060031993","0",
"14","안전상비의약품 판매업소","01_01_05_P","3250000","PHMH320213250021087500016","20211224","","01","영업/정상","13","영업중","","","","","","","","부산광역시 중구 중앙동4가 86-3","부산광역시 중구 충장대로13번길 14, 1층 (중앙동4가)","48935","(주)코리아세븐 부산중구국일점","20211224114737","I","2021-12-26 00:22:52.0","","385769.574832799","180512.545626241","0",
"15","안전상비의약품 판매업소","01_01_05_P","3250000","PHMH320203250021087500001","20200615","","01","영업/정상","13","영업중","","","","","","","","부산광역시 중구 광복동1가 45번지 하모니","부산광역시 중구 광복로 88, 하모니 101호 (광복동1가)","48954","GS25 광복로점","20200615142037","I","2020-06-17 00:23:27.0","","385446.888225146","179594.433261983","",
"16","안전상비의약품 판매업소","01_01_05_P","3250000","PHMH320213250021087500013","20211101","","01","영업/정상","13","영업중","","","","","051-256-0287","","","부산광역시 중구 남포동1가 29","부산광역시 중구 태종로 4, 1층 1호 (남포동1가)","48984","씨유 남포롯데점","20211101102918","I","2021-11-03 00:22:45.0","","385536.964775903","179508.144353551","0",
"17","안전상비의약품 판매업소","01_01_05_P","3250000","PHMH320213250021087500015","20211201","","01","영업/정상","13","영업중","","","","","","","","부산광역시 중구 남포동6가 101-2","부산광역시 중구 구덕로84번길 7, 1층 (남포동6가)","48981","지에스(GS)25 자갈치역점","20211201113912","I","2021-12-03 00:22:43.0","","384696.29628254","179529.542473352","0",
"18","안전상비의약품 판매업소","01_01_05_P","3250000","PHMH320213250021087500014","20211124","","01","영업/정상","13","영업중","","","","","","","","부산광역시 중구 부평동2가 51-2","부산광역시 중구 보수대로 26, 1층 (부평동2가)","48980","씨유 남포브라운점","20211124113830","I","2021-11-26 00:22:55.0","","384596.313849289","179673.006908321","0",
"19","안전상비의약품 판매업소","01_01_05_P","3250000","PHMH320123250021087500031","20121116","","01","영업/정상","13","영업중","","","","","051)465-4289","","600101","부산광역시 중구 대창동1가 23번지 13호","부산광역시 중구 중앙대로 129 (대창동1가)","48924","(주)코리아세븐 부산대창점","20160719105818","I","2018-08-31 23:59:59.0","","385629.342277905","180803.857905689","49.5",
"20","안전상비의약품 판매업소","01_01_05_P","3250000","PHMH320133250021087500005","20130507","","01","영업/정상","13","영업중","","","","","051-469-3736","","","부산광역시 중구 영주동 58번지 28호","부산광역시 중구 대영로 219, 1층 (영주동)","48910","씨유부산영주터널점","20180328161022","I","2018-08-31 23:59:59.0","","385437.601991835","181143.722067198","46",
"21","안전상비의약품 판매업소","01_01_05_P","3250000","PHMH320143250021087500002","20140128","","01","영업/정상","13","영업중","","","","","462-1322","","600014","부산광역시 중구 중앙동4가 84번지 14호","부산광역시 중구 충장대로9번길 13, 1층 (중앙동4가)","48938","GS25부산세관점","20140206175601","I","2018-08-31 23:59:59.0","","385684.01291245","180507.671062391","145",
"22","안전상비의약품 판매업소","01_01_05_P","3250000","PHMH320143250021087500003","20140206","","01","영업/정상","13","영업중","","","","","441-1463","","600815","부산광역시 중구 중앙동4가 28번지 11호","부산광역시 중구 중앙대로 81 (중앙동4가)","48929","지에스(GS25)중앙점","20140206175617","I","2018-08-31 23:59:59.0","","385559.054254242","180316.936351142","99",
"23","안전상비의약품 판매업소","01_01_05_P","3250000","PHMH320143250021087500004","20140502","","01","영업/정상","13","영업중","","","","","051-462-2624","","600730","부산광역시 중구 대청동4가 12번지 9호","부산광역시 중구 중구로 121, 1층 (대청동4가)","48972","(주)코리아세븐 메리놀병원점","20160720095914","I","2018-08-31 23:59:59.0","","385203.926916019","180571.713650198","49.5",
"24","안전상비의약품 판매업소","01_01_05_P","3250000","PHMH320143250021087500005","20140714","","01","영업/정상","13","영업중","","","","","253-2126","","600807","부산광역시 중구 부평동2가 35번지 3호","부산광역시 중구 보수대로24번길 9-1 (부평동2가)","48980","하프타임부평희망점","20140714163112","I","2018-08-31 23:59:59.0","","384679.828983093","179654.314044688","66",
"25","안전상비의약품 판매업소","01_01_05_P","3250000","PHMH320123250021087500001","20121105","","01","영업/정상","13","영업중","","","","","051)231-1630","","600083","부산광역시 중구 보수동3가 69번지 1호","부산광역시 중구 흑교로45번길 12 (보수동3가)","48965","씨유보수중앙점","20130905133720","I","2018-08-31 23:59:59.0","","384448.811929776","180167.372905175","",
"26","안전상비의약품 판매업소","01_01_05_P","3250000","PHMH320123250021087500002","20121106","","01","영업/정상","13","영업중","","","","","051)256-3229","","600044","부산광역시 중구 남포동4가 30번지","부산광역시 중구 자갈치해안로 61 (남포동4가)","48984","씨유자갈치점","20130905134325","I","2018-08-31 23:59:59.0","","385160.754396745","179452.209734125","",
"27","안전상비의약품 판매업소","01_01_05_P","3250000","PHMH320123250021087500004","20121108","","01","영업/정상","13","영업중","","","","","","","600807","부산광역시 중구 부평동2가 45번지 6호","부산광역시 중구 보수대로 14 (부평동2가)","48980","(주)지에스리테일GS25남포제일점","20130905140104","I","2018-08-31 23:59:59.0","","384619.46788719","179568.043812026","99",
"28","안전상비의약품 판매업소","01_01_05_P","3250000","PHMH320123250021087500007","20121109","","01","영업/정상","13","영업중","","","","","051)241-2524","","600043","부산광역시 중구 남포동3가 1번지 20호","부산광역시 중구 비프광장로 29 (남포동3가)","48953","GS25 피프광장점","20130905142636","I","2018-08-31 23:59:59.0","","384882.577070322","179647.217891528","",
"29","안전상비의약품 판매업소","01_01_05_P","3250000","PHMH320153250021087500008","20151021","","01","영업/정상","13","영업중","","","","","051-231-7669","","","부산광역시 중구 남포동4가 28번지 2호","부산광역시 중구 자갈치로 74 (남포동4가)","48984","지에스25자갈치시장","20151125133433","I","2018-08-31 23:59:59.0","","385245.210686255","179481.172254892","49.5",
"30","안전상비의약품 판매업소","01_01_05_P","3250000","PHMH320133250021087500001","20121114","","01","영업/정상","13","영업중","","","","","051)256-0287","","600022","부산광역시 중구 동광동2가 7번지 2호","부산광역시 중구 광복로97번길 15 (동광동2가)","48951","GS25 광복점","20130905163505","I","2018-08-31 23:59:59.0","","385495.064402138","179765.64446763","",
"31","안전상비의약품 판매업소","01_01_05_P","3250000","PHMH320133250021087500003","20130205","","01","영업/정상","13","영업중","","","","","051)231-5558","","600806","부산광역시 중구 부평동2가 68번지 4호","부산광역시 중구 흑교로 18 (부평동2가)","48977","원 바이 원","20130912094907","I","2018-08-31 23:59:59.0","","384598.903964711","179879.997494786","50",
"32","안전상비의약품 판매업소","01_01_05_P","3250000","PHMH320133250021087500004","20130215","","01","영업/정상","13","영업중","","","","","245-9202","","600805","부산광역시 중구 부평동1가 37번지 5호","부산광역시 중구 광복로 22-1 (부평동1가)","48980","씨유 부평광복로점","20170207112831","I","2018-08-31 23:59:59.0","","384797.328936796","179683.680928688","",
"33","안전상비의약품 판매업소","01_01_05_P","3250000","PHMH320163250021087500004","20160721","","01","영업/정상","13","영업중","","","","","051-231-7345","","","부산광역시 중구 보수동2가 93번지 1호","부산광역시 중구 보수대로124번길 66 (보수동2가)","48964","(주)코리아세븐 부산중구동진점","20160725150028","I","2018-08-31 23:59:59.0","","384470.137073686","180226.107998986","49.5",
"34","안전상비의약품 판매업소","01_01_05_P","3250000","PHMH320173250021087500009","20170818","","01","영업/정상","13","영업중","","","","","","","","부산광역시 중구 보수동2가 113번지 4호","부산광역시 중구 흑교로 43 (보수동2가)","48964","지에스25보수사거리점","20170818154013","I","2018-08-31 23:59:59.0","","384562.503466902","180128.184043261","38",
"35","안전상비의약품 판매업소","01_01_05_P","3250000","PHMH320173250021087500010","20170906","","01","영업/정상","13","영업중","","","","","","","","부산광역시 중구 보수동3가 29번지 11호","부산광역시 중구 보수대로106번길 13 (보수동3가)","48965","GS25 보수중앙점","20170907083720","I","2018-08-31 23:59:59.0","","384274.573919925","180294.067247383","60.82",
"36","안전상비의약품 판매업소","01_01_05_P","3250000","PHMH320173250021087500012","20171030","","01","영업/정상","13","영업중","","","","","","","","부산광역시 중구 중앙동3가 14번지 3호","부산광역시 중구 대청로 139-1 (중앙동3가)","48931","(주)코리아세븐 부산중앙2호점","20171030164742","I","2018-08-31 23:59:59.0","","385502.471013392","180114.311813458","49.5",
"37","안전상비의약품 판매업소","01_01_05_P","3250000","PHMH320183250021087500001","20180309","","01","영업/정상","13","영업중","","","","","051-462-9645","","","부산광역시 중구 영주동 293번지 17호","부산광역시 중구 망양로358번길 1 (영주동)","48917","GS25 부산민주점","20180309153458","I","2018-08-31 23:59:59.0","","385124.339210759","180770.825139237","3.3",
"38","안전상비의약품 판매업소","01_01_05_P","3250000","PHMH320183250021087500002","20180321","","01","영업/정상","13","영업중","","","","","051-462-2534","","","부산광역시 중구 중앙동4가 23번지 1호 노블리안2","부산광역시 중구 중앙대로 80, 노블리안2 105호 (중앙동4가)","48941","GS25노블리안","20180321140500","I","2018-08-31 23:59:59.0","","385630.742187332","180306.821082315","",
"39","안전상비의약품 판매업소","01_01_05_P","3250000","PHMH320183250021087500003","20180420","","01","영업/정상","13","영업중","","","","","403-3827","","","부산광역시 중구 영주동 671번지 6호","부산광역시 중구 대영로224번길 11, 1층 (영주동)","48922","지에스(GS)25 부산영주점","20200218165802","U","2020-02-20 02:40:00.0","","385483.298961322","180994.293879444","59",
"40","안전상비의약품 판매업소","01_01_05_P","3250000","PHMH320183250021087500006","20180529","","01","영업/정상","13","영업중","","","","","464-0443","","","부산광역시 중구 영주동 743번지 33호","부산광역시 중구 중구로 160, 2층 (영주동)","48923","세븐일레븐 부산힐사이드호텔점","20180531090053","I","2018-08-31 23:59:59.0","","385551.395066226","180800.325266415","",
"41","안전상비의약품 판매업소","01_01_05_P","3250000","PHMH320123250021087500014","20121112","","01","영업/정상","13","영업중","","","","","051)254-0212","","600805","부산광역시 중구 부평동1가 47번지 1호","부산광역시 중구 비프광장로 19-1 (부평동1가)","48980","미니스톱 남포광장점","20210524164944","U","2021-05-26 02:40:00.0","","384791.971201248","179623.718557647","",
"42","안전상비의약품 판매업소","01_01_05_P","3250000","PHMH320123250021087500034","20121116","","01","영업/정상","13","영업중","","","","","051)441-4365","","600102","부산광역시 중구 대창동2가 14번지 4호","부산광역시 중구 중앙대로 147 (대창동2가)","48922","(주)코리아세븐 부산중앙대로점","20160719105810","I","2018-08-31 23:59:59.0","","385678.892519876","180972.919862581","49.5",
"43","안전상비의약품 판매업소","01_01_05_P","3250000","PHMH320123250021087500035","20121116","","01","영업/정상","13","영업중","","","","","051)243-2050","","600807","부산광역시 중구 부평동2가 30번지 5호","부산광역시 중구 부평2길 3 (부평동2가)","48979","(주)코리아세븐 부평제일점","20160719105836","I","2018-08-31 23:59:59.0","","384689.714713129","179711.536737184","49.5",
"44","안전상비의약품 판매업소","01_01_05_P","3250000","PHMH320123250021087500037","20121120","","01","영업/정상","13","영업중","","","","","051)244-5886","","600045","부산광역시 중구 남포동5가 28번지 3호","부산광역시 중구 중구로 4-2 (남포동5가)","48953","씨유 남포사거리점","20130905175401","I","2018-08-31 23:59:59.0","","384870.895938754","179567.50138699","46",
"45","안전상비의약품 판매업소","01_01_05_P","3250000","PHMH320143250021087500006","20140715","","01","영업/정상","13","영업중","","","","","051-245-8202","","","부산광역시 중구 남포동5가 53번지 3호 6통 1반","부산광역시 중구 자갈치로47번길 6 (남포동5가)","48983","GS25자갈치점","20160617172421","I","2018-08-31 23:59:59.0","","384994.599233649","179508.496979331","66",
"46","안전상비의약품 판매업소","01_01_05_P","3250000","PHMH320153250021087500001","20150120","","01","영업/정상","13","영업중","","","","","051-462-4306","","600014","부산광역시 중구 중앙동4가 83번지 1호","부산광역시 중구 중앙대로 114 (중앙동4가)","48938","GS25크라운하버","20150126140938","I","2018-08-31 23:59:59.0","","385634.459755403","180615.964177472","44.2",
"47","안전상비의약품 판매업소","01_01_05_P","3250000","PHMH320153250021087500004","20150604","","01","영업/정상","13","영업중","","","","","051-468-6736","","600810","부산광역시 중구 영주동 2번지 310호","부산광역시 중구 망양로 459, 7,8호 (영주동, 동남파크상가)","48900","GS25민주전망대","20160325163659","I","2018-08-31 23:59:59.0","","385254.506400777","181485.249546144","44",
"48","안전상비의약품 판매업소","01_01_05_P","3250000","PHMH320163250021087500008","20161024","","01","영업/정상","13","영업중","","","","","051-241-7269","","","","부산광역시 중구 광복로85번길 6-1, 1층 (광복동1가)","48952","씨유광복동블루점","20161128112404","I","2018-08-31 23:59:59.0","","385421.753551","179657.345142","49",
"49","안전상비의약품 판매업소","01_01_05_P","3250000","PHMH320163250021087500010","20161220","","01","영업/정상","13","영업중","","","","","","","","","부산광역시 중구 자갈치로23번길 23, 1층 (남포동6가)","48982","씨유 부산자갈치점","20170109170650","I","2018-08-31 23:59:59.0","","","","85.95",
"50","안전상비의약품 판매업소","01_01_05_P","3250000","PHMH320173250021087500001","20170201","","01","영업/정상","13","영업중","","","","","051-246-1034","","","부산광역시 중구 남포동5가","부산광역시 중구 자갈치로37번길 6 (남포동5가)","48983","(주)코리아쎄븐부산자갈치점","20170201175347","I","2018-08-31 23:59:59.0","","384891.033409221","179484.714443378","49.5",
"51","안전상비의약품 판매업소","01_01_05_P","3250000","PHMH320173250021087500002","20170220","","01","영업/정상","13","영업중","","","","","","","","부산광역시 중구 동광동4가 23번지 1호","부산광역시 중구 대청로 127 (동광동4가)","48932","씨유 부산대청로점","20220208163552","U","2022-02-10 02:40:00.0","","385371.646035786","180106.411867374","99.17",
"52","안전상비의약품 판매업소","01_01_05_P","3250000","PHMH320173250021087500004","20170222","","01","영업/정상","13","영업중","","","","","051-464-6464","","","부산광역시 중구 중앙동4가 15번지 3호","부산광역시 중구 충장대로 24 (중앙동4가)","48940","아이앤지25(부산여객터미널점)","20170222164036","I","2018-08-31 23:59:59.0","","386032.236798563","180263.270670699","49.58",
"53","안전상비의약품 판매업소","01_01_05_P","3250000","PHMH320123250021087500017","20121112","","01","영업/정상","13","영업중","","","","","051-466-5943","","600813","부산광역시 중구 영주동 92번지","부산광역시 중구 영주로 69 (영주동)","48905","GS25 영주동아햇살점","20150313102515","I","2018-08-31 23:59:59.0","","385002.392409359","181304.945729589","",
"54","안전상비의약품 판매업소","01_01_05_P","3250000","PHMH320123250021087500019","20121112","","01","영업/정상","13","영업중","","","","","051)246-8764","","600074","부산광역시 중구 부평동4가 45번지","부산광역시 중구 대청로 22 (부평동4가)","48973","CU(씨유)편의점 부평타워점","20130905162203","I","2018-08-31 23:59:59.0","","384310.556055481","180078.059880051","",
"55","안전상비의약품 판매업소","01_01_05_P","3250000","PHMH320173250021087500006","20170407","","01","영업/정상","13","영업중","","","","","","","","부산광역시 중구 보수동2가 63번지 6호","부산광역시 중구 보수대로124번길 25-2 (보수동2가)","48963","씨유 보수원룸점","20220117170608","U","2022-01-19 02:40:00.0","","384372.880536554","180389.205651399","46.28",
"56","안전상비의약품 판매업소","01_01_05_P","3250000","PHMH320123250021087500029","20121116","","01","영업/정상","13","영업중","","","","","051)231-4331","","600092","부산광역시 중구 대청동2가 22번지 4호","부산광역시 중구 대청로 90-1 (대청동2가)","48947","(주)코리아세븐 부산대청점","20160719104030","I","2018-08-31 23:59:59.0","","385002.672042374","180069.624291209","",
"57","안전상비의약품 판매업소","01_01_05_P","3250000","PHMH320123250021087500030","20121116","","01","영업/정상","13","영업중","","","","","051)442-2548","","600816","부산광역시 중구 중앙동4가 78번지 2호","부산광역시 중구 충장대로9번길 55 (중앙동4가)","48936","(주)코리아세븐 중앙센터점","20160719105827","I","2018-08-31 23:59:59.0","","385793.299310018","180910.386635661","",
"58","안전상비의약품 판매업소","01_01_05_P","3250000","PHMH320213250021087500009","20210707","","01","영업/정상","13","영업중","","","","","051-243-1272","","","부산광역시 중구 남포동5가 15-2","부산광역시 중구 비프광장로 35, 1층 (남포동5가)","48953","씨유 남포피프광장점","20210707132359","I","2021-07-09 00:22:53.0","","384959.369790432","179627.345607553","0",
"59","안전상비의약품 판매업소","01_01_05_P","3250000","PHMH320213250021087500011","20210826","","01","영업/정상","13","영업중","","","","","","","","부산광역시 중구 보수동1가 91-3","부산광역시 중구 대청로53번길 23(보수동1가)","48962","지에스(GS)25 부산보수점","20210826131057","I","2021-08-28 00:22:50.0","","384610.716834122","180205.921978828","0",
"60","안전상비의약품 판매업소","01_01_05_P","3250000","PHMH320213250021087500012","20210927","","01","영업/정상","13","영업중","","","","","","","","부산광역시 중구 중앙동2가 15-4","부산광역시 중구 해관로 36, 1층 (중앙동2가)","48957","지에스25 부산중구용두점","20210927144849","I","2021-09-29 00:22:48.0","","385561.729914071","180000.178961603","0",
"61","안전상비의약품 판매업소","01_01_05_P","3250000","PHMH320213250021087500010","20210817","","01","영업/정상","13","영업중","","","","","","","","부산광역시 중구 중앙동4가 19","부산광역시 중구 대교로 157, 103호 (중앙동4가)","48941","씨유 부산중앙서린점","20211012170855","U","2021-10-14 02:40:00.0","","385674.317229672","180237.208895017","0",
"62","안전상비의약품 판매업소","01_01_05_P","3250000","PHMH320213250021087500007","20210628","","01","영업/정상","13","영업중","","","","","","","","부산광역시 중구 남포동5가 20-3","부산광역시 중구 비프광장로 30, 1층 (남포동5가)","48953","지에스(GS)25 비프광장점","20210628182339","I","2021-06-30 00:22:54.0","","384892.856290764","179604.627118644","",
"63","안전상비의약품 판매업소","01_01_05_P","3250000","PHMH320213250021087500006","20210521","","01","영업/정상","13","영업중","","","","","","","","부산광역시 중구 보수동1가 144-1","부산광역시 중구 대청로 71-1 (보수동1가)","48967","씨유국제시장사거리점","20210524092341","I","2021-05-26 00:22:56.0","","384819.993842482","180126.962461764","93",
"64","안전상비의약품 판매업소","01_01_05_P","3250000","PHMH320213250021087500008","20210701","","01","영업/정상","13","영업중","","","","","","","","부산광역시 중구 부평동3가 45-6","부산광역시 중구 흑교로 11-1, 1층 (부평동3가)","48976","씨유부산부평점","20210701171615","I","2021-07-03 00:22:53.0","","384560.929851478","179824.605515452","82.5",
"65","안전상비의약품 판매업소","01_01_05_P","3250000","PHMH320183250021087500007","20180917","","01","영업/정상","13","영업중","","","","","051-245-8581","","","부산광역시 중구 동광동3가 17번지 2호","부산광역시 중구 중앙대로41번길 14-1, 1층 (동광동3가)","48955","이마트24 부산중앙제일점","20180917142224","U","2018-09-17 23:59:59.0","","385461.600087735","179900.647146326","62.8",
"66","안전상비의약품 판매업소","01_01_05_P","3250000","PHMH320203250021087500004","20200925","","01","영업/정상","13","영업중","","","","","","","","부산광역시 중구 중앙동4가 78-24","부산광역시 중구 중앙대로132번길 7, 1층 (중앙동4가)","48936","씨유중앙대림점(부산중구지역자활센터)","20200925170141","I","2020-09-27 00:23:11.0","","385750.663036562","180786.918635816","3.3",
"67","안전상비의약품 판매업소","01_01_05_P","3250000","PHMH320203250021087500005","20201005","","01","영업/정상","13","영업중","","","","","","","","부산광역시 중구 부평동3가 65-7","부산광역시 중구 보수대로44번길 14, 1층 (부평동3가)","48975","세븐일레븐 중구 스카이점","20220307195309","U","2022-03-09 02:40:00.0","","384467.868863822","179927.009603831","78.92",
"68","안전상비의약품 판매업소","01_01_05_P","3250000","PHMH320203250021087500006","20201012","","01","영업/정상","13","영업중","","","","","","","","부산광역시 중구 남포동2가 19-4","부산광역시 중구 남포길 17, 1층 (남포동2가)","48953","지에스25 부산남포점","20201012101318","I","2020-10-14 00:23:10.0","","385099.340923369","179643.015658921","",
"69","안전상비의약품 판매업소","01_01_05_P","3250000","PHMH320203250021087500007","20201112","","01","영업/정상","13","영업중","","","","","","","","부산광역시 중구 남포동5가 2-6","부산광역시 중구 구덕로 50, 1층 (남포동5가)","48953","세븐일레븐 부산광복대로점","20201113180342","I","2020-11-15 00:23:30.0","","385065.805685201","179603.568697459","110",
"70","안전상비의약품 판매업소","01_01_05_P","3250000","PHMH320213250021087500005","20210407","","01","영업/정상","13","영업중","","","","","","","","부산광역시 중구 부평동2가 58-4","부산광역시 중구 중구로23번길 47-1 (부평동2가)","48979","세븐일레븐 부산중구스타점","20210407104934","I","2021-04-09 00:23:07.0","","384596.031534668","179756.215927593","",
"71","안전상비의약품 판매업소","01_01_05_P","3250000","PHMH320213250021087500002","20210305","","01","영업/정상","13","영업중","","","","","","","","부산광역시 중구 중앙동4가 56-31","부산광역시 중구 중앙대로 97, 1층 (중앙동4가)","48929","세븐일레븐부산중앙퀸즈점","20210305190833","I","2021-03-07 00:23:00.0","","385546.889642681","180475.773159727","",
"72","안전상비의약품 판매업소","01_01_05_P","3250000","PHMH320213250021087500001","20210217","","01","영업/정상","13","영업중","","","","","","","","부산광역시 중구 중앙동1가 23-1","부산광역시 중구 중앙대로41번길 7, 1층 (중앙동1가)","48956","씨유부산중구중앙점","20210217171643","I","2021-02-19 00:23:01.0","","385536.662176823","179901.197565646","60",
"73","안전상비의약품 판매업소","01_01_05_P","3250000","PHMH320213250021087500003","20210323","","01","영업/정상","13","영업중","","","","","","","","부산광역시 중구 중앙동4가 58-1","부산광역시 중구 해관로 82, 1층 (중앙동4가)","48929","씨유부산중앙동점","20210323164212","I","2021-03-25 00:22:59.0","","385527.459617321","180453.168529648","",
"74","안전상비의약품 판매업소","01_01_05_P","3250000","PHMH320213250021087500004","20210402","","01","영업/정상","13","영업중","","","","","","","","부산광역시 중구 중앙동3가 12-3","부산광역시 중구 40계단길 10 (중앙동3가)","48931","씨유부산40계단점","20210402185532","I","2021-04-04 00:23:14.0","","385510.862776232","180201.349002272","",
"75","안전상비의약품 판매업소","01_01_05_P","3250000","PHMH320183250021087500012","20181221","","01","영업/정상","13","영업중","","","","","051-247-2145","","","부산광역시 중구 남포동5가 11번지 2호","부산광역시 중구 비프광장로 39, 1층 (남포동5가)","48953","(주)코리아세븐 부산피프광장점","20181221142308","I","2018-12-23 02:20:25.0","","384969.561870012","179582.538867247","",
"76","안전상비의약품 판매업소","01_01_05_P","3250000","PHMH320183250021087500011","20181106","","01","영업/정상","13","영업중","","","","","","","","부산광역시 중구 중앙동4가 88번지 1호","부산광역시 중구 충장대로9번길 11, 미광빌딩 (중앙동4가)","48939","미니스톱 부산세관점","20181108092441","U","2018-11-10 02:36:00.0","","385683.626852112","180478.6861309","88",
"77","안전상비의약품 판매업소","01_01_05_P","3250000","PHMH320203250021087500008","20201209","","01","영업/정상","13","영업중","","","","","","","","부산광역시 중구 동광동3가 28-5","부산광역시 중구 백산길 12, 1층 (동광동3가)","48951","세븐일레븐 부산중구용두산점","20201209171714","I","2020-12-11 00:23:07.0","","385483.93403600000","180282.16222200000","",
