"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","점포구분명",
"50","대규모점포","08_25_01_P","3280000","2004328001507500001","20040428","","02","휴업","2","휴업처리","","","","","051 4182000","5340.15","","부산광역시 영도구 봉래동2가 151번지 1호","부산광역시 영도구 대교로14번길 57 (봉래동2가)","","(주)아람마트 수퍼센터영도점","20070721100137","I","2018-08-31 23:59:59.0","대형마트","386335.809602603","179336.483175744","",
"51","대규모점포","08_25_01_P","3290000","2011329008507500001","20110224","","01","영업/정상","1","정상영업","","","","","051-932-5013,5006-8","22124","614032","부산광역시 부산진구 부전2동 537번지 9호","부산광역시 부산진구 중앙대로666번길 50 (부전동)","614846","롯데쇼핑(주)센트럴스퀘어점","20220526114147","U","2022-05-28 02:40:00.0","그 밖의 대규모점포","387748.383011444","185533.437357236","대규모점포",
"52","대규모점포","08_25_01_P","3290000","2000329000107500023","19900605","","01","영업/정상","1","정상영업","","","","","051 8949490","3416.94","","부산광역시 부산진구 가야동 669-9호","부산광역시 부산진구 엄광로 68 (가야동)","614808","가야벽산상가","20181005164019","U","2018-10-07 02:37:31.0","시장","384502.365301052","185034.469475568","대규모점포",
"53","대규모점포","08_25_01_P","3290000","2000329000107500024","19940910","","01","영업/정상","1","정상영업","","","","","051 8523465","7445.4","","부산광역시 부산진구 양정동 608-1호","부산광역시 부산진구 동평로420번길 18 (양정동)","614853","양정시장","20130613104730","I","2018-08-31 23:59:59.0","시장","388486.657611629","187914.991351658","대규모점포",
"54","대규모점포","08_25_01_P","3290000","2000329000107500025","19950713","","01","영업/정상","1","정상영업","","","","","051 8958175","3168.81","","부산광역시 부산진구 당감동 791호","부산광역시 부산진구 백양관문로 104 (당감동)","614779","국제상가","20181005145754","U","2018-10-07 02:37:31.0","그 밖의 대규모점포","384741.923372529","187364.899359566","대규모점포",
"55","대규모점포","08_25_01_P","3290000","2000329000107500026","19970402","","01","영업/정상","1","정상영업","","","","","051 8051799","5599","614840","부산광역시 부산진구 부암동 500번지","부산광역시 부산진구 당감서로80번길 19 (부암동, 화승아파트)","614840","화승아파트상가","20181005143524","U","2018-10-07 02:37:31.0","그 밖의 대규모점포","385570.015221682","187424.7082035","대규모점포",
"56","대규모점포","08_25_01_P","3290000","2000329000107500027","19971210","","01","영업/정상","1","정상영업","","","","","051 713 8266","3164","","부산광역시 부산진구 부전동 576번지 1호 가야로상 지하상가","부산광역시 부산진구 가야대로 지하 777, 가야로상 지하상가 (부전동)","47257","서면지하도상가 중앙몰","20220506095019","U","2022-05-08 02:40:00.0","시장","387227.589035399","186081.2559036","대규모점포",
"57","대규모점포","08_25_01_P","3290000","2000329000107500028","19971215","","01","영업/정상","1","정상영업","","","","","051 8655882","14968.65","","부산광역시 부산진구 양정동 458-5호","부산광역시 부산진구 동평로 352 (양정동)","614857","양정현대프라자","20181005142638","U","2018-10-07 02:37:31.0","그 밖의 대규모점포","387887.847333871","187966.542955171","대규모점포",
"58","대규모점포","08_25_01_P","3290000","2000329000107500029","19670822","","01","영업/정상","1","정상영업","","","","","051 6318490","4889.48","","부산광역시 부산진구 범천동 844-1호","부산광역시 부산진구 골드테마길 60 (범천동)","614827","부산중앙시장","20131230155257","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","387717.306351714","184784.440823057","대규모점포",
"59","대규모점포","08_25_01_P","3290000","2000329000107500030","19950607","","01","영업/정상","1","정상영업","","","","","051 8162400","3563.39","","부산광역시 부산진구 부전동 155-3호","부산광역시 부산진구 서전로 4 (부전동)","614845","서면전자랜드","20140930152719","I","2018-08-31 23:59:59.0","전문점","387649.551692931","186199.747882102","대규모점포",
"60","대규모점포","08_25_01_P","3290000","2000329000107500031","19951205","","01","영업/정상","1","정상영업","","","","","051 8102500","101059","","부산광역시 부산진구 부전동 535-15호","부산광역시 부산진구 가야대로 772 (부전동)","614732","롯데백화점부산점","20220526114045","U","2022-05-28 02:40:00.0","백화점","387271.299492377","186099.137533193","대규모점포",
"61","대규모점포","08_25_01_P","3290000","2000329000107500038","20000224","","01","영업/정상","1","정상영업","","","","","051 804 0245","65648","","부산광역시 부산진구 부전동 450호","부산광역시 부산진구 신천대로 122 (부전동)","614730","(주)네오스포","20180717153415","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","387101.414313981","185755.075318029","대규모점포",
"62","대규모점포","08_25_01_P","3290000","2000329000107500039","20000315","","01","영업/정상","1","정상영업","","","","","051 8182588","25577.86","","부산광역시 부산진구 전포동 892-20호","부산광역시 부산진구 동천로 4 (전포동)","614773","지오플레이스","20181005112729","U","2018-10-07 02:37:31.0","그 밖의 대규모점포","388011.197829908","185310.70532509","대규모점포",
"63","대규모점포","08_25_01_P","3290000","2000329000107500040","20000901","","01","영업/정상","1","정상영업","","","","","051-794-7020","33480","","부산광역시 부산진구 전포동 668-1호","부산광역시 부산진구 동천로 92 (전포동)","614772","엔씨서면점","20220617101225","U","2022-06-19 02:40:00.0","쇼핑센터","387920.292112964","186157.316240551","대규모점포",
"64","대규모점포","08_25_01_P","3290000","1975329008507500001","19750715","","01","영업/정상","1","정상영업","","","","","818-1091-2","1630.9","614031","부산광역시 부산진구 부전동 573번지 부전시장","부산광역시 부산진구 중앙대로783번길 23 (부전동)","614848","부전시장","20111213101805","I","2018-08-31 23:59:59.0","시장","387743.82904246","186820.396152912","대규모점포",
"65","대규모점포","08_25_01_P","3290000","2006329001307500009","19700110","","01","영업/정상","1","정상영업","","","","","051 6466561","0","","부산광역시 부산진구 범천동 839번지 52호","부산광역시 부산진구 자유평화로 7 (범천동)","614826","부산평화시장","20220513163025","U","2022-05-15 02:40:00.0","그 밖의 대규모점포","387756.144083923","184483.196490426","대규모점포",
"66","대규모점포","08_25_01_P","3290000","2006329001307500010","19981215","","01","영업/정상","1","정상영업","","","","","0516393800","15286","614826","부산광역시 부산진구 범천동 839번지 48호","부산광역시 부산진구 자유평화로 11 (범천동)","614826","누리엔","20181228093223","U","2018-12-30 02:40:00.0","쇼핑센터","387778.879751482","184455.754008589","대규모점포",
"67","대규모점포","08_25_01_P","3290000","2000329000107500006","19720522","","01","영업/정상","1","정상영업","","","","","051 8958297","112.2","614101","부산광역시 부산진구 당감동 238번지 89호","부산광역시 부산진구 백양대로60번길 39-9 (당감동)","","당감시장","20180713110902","I","2018-08-31 23:59:59.0","시장","385954.556031881","186873.857939503","대규모점포",
"68","대규모점포","08_25_01_P","3290000","2000329000107500009","19751120","","01","영업/정상","1","정상영업","","","","","051 8090636","693.3","","부산광역시 부산진구 초읍동 225호","부산광역시 부산진구 성지로83번길 11 (초읍동)","614873","초읍시장","20131230161235","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","386953.124436278","188391.856055915","대규모점포",
"69","대규모점포","08_25_01_P","3290000","2000329000107500012","19780124","","01","영업/정상","1","정상영업","","","","","051 8168686","1276","","부산광역시 부산진구 부전동 573-26호","부산광역시 부산진구 중앙대로783번길 23 (부전동)","614848","부전인삼시장","20111213100812","I","2018-08-31 23:59:59.0","시장","387743.82904246","186820.396152912","대규모점포",
"70","대규모점포","08_25_01_P","3290000","2000329000107500013","19780610","","01","영업/정상","1","정상영업","","","","","051-894-1271","450.19","614111","부산광역시 부산진구 개금1동 615번지 20호","부산광역시 부산진구 엄광로 15 (개금동)","","개금큰시장","20130305103903","I","2018-08-31 23:59:59.0","시장","383835.888859472","185126.091169884","대규모점포",
"71","대규모점포","08_25_01_P","3290000","2000329000107500014","19780726","","01","영업/정상","1","정상영업","","","","","051 8928275","696.74","","부산광역시 부산진구 개금동 615-16호","부산광역시 부산진구 엄광로 15 (개금동)","614814","종합새시장","20111208175012","I","2018-08-31 23:59:59.0","시장","383835.888859472","185126.258747455","대규모점포",
"72","대규모점포","08_25_01_P","3290000","2000329000107500015","19780908","","01","영업/정상","1","정상영업","","","","","051 8076773","1255.29","","부산광역시 부산진구 초읍동 271-6호","부산광역시 부산진구 새싹로 207-6 (초읍동)","614871","성곡종합시장","20111208174805","I","2018-08-31 23:59:59.0","시장","386533.591131225","188097.17542236","대규모점포",
"73","대규모점포","08_25_01_P","3290000","2000329000107500017","19810121","","01","영업/정상","1","정상영업","","","","","051 8983642","534.6","","부산광역시 부산진구 당감동 479-9호","부산광역시 부산진구 동평로44번길 46 (당감동)","614820","새당감시장","20111208174700","I","2018-08-31 23:59:59.0","시장","385387.142920265","186869.394415198","대규모점포",
"74","대규모점포","08_25_01_P","3290000","2000329000107500018","19810615","","01","영업/정상","1","정상영업","","","","","051 8039884","4545.2","","부산광역시 부산진구 전포동 608-1호","부산광역시 부산진구 동성로 143 (전포동)","614870","서면중앙시장","20170605135148","I","2018-08-31 23:59:59.0","시장","387927.951172724","186582.791097672","대규모점포",
"75","대규모점포","08_25_01_P","3290000","2000329000107500019","19810701","","01","영업/정상","1","정상영업","","","","","051 8092191","2470.38","","부산광역시 부산진구 초읍동 271-1호","부산광역시 부산진구 새싹로 237 (초읍동)","614871","창곡종합시장","20201127143554","U","2020-11-29 02:40:00.0","시장","386481.395166231","188372.091879677","대규모점포",
"76","대규모점포","08_25_01_P","3290000","2000329000107500020","19820320","","01","영업/정상","1","정상영업","","","","","051-713-8266","5790","","부산광역시 부산진구 부전동 573번지 1호","부산광역시 부산진구 중앙대로 지하 717 (부전동, 대현프리몰)","47286","서면지하도상가 서면몰","20220506095043","U","2022-05-08 02:40:00.0","시장","387618.822819234","186273.478853367","대규모점포",
"77","대규모점포","08_25_01_P","3290000","2011329008507500002","20110422","","01","영업/정상","1","정상영업","","","","","051-608-2500","15674.78","614091","부산광역시 부산진구 부암1동 257번지","부산광역시 부산진구 신천대로 241 (부암동)","614837","롯데쇼핑(주) 롯데키즈마트 부산점","20220526114212","U","2022-05-28 02:40:00.0","대형마트","386646.262710145","186822.941472238","대규모점포",
"78","대규모점포","08_25_01_P","3290000","2011329008507500004","20110726","","01","영업/정상","1","정상영업","","","","","051 895 5161","1203","614080","부산광역시 부산진구 초읍동 275번지 4호","부산광역시 부산진구 새싹로 244, 1~2층 (초읍동)","614080","(주)지에스리테일 초읍점","20190107153238","U","2019-01-09 02:40:00.0","구분없음","386532.400526395","188444.325227743","준대규모점포",
"79","대규모점포","08_25_01_P","3290000","2011329008507500005","20110726","","01","영업/정상","1","정상영업","","","","","051 895 5161","580.3","614810","부산광역시 부산진구 개금3동 53번지 3호 지하 1층","부산광역시 부산진구 백양관문로 3 (개금동)","614810","(주)지에스리테일 개금점","20190107153008","U","2019-01-09 02:40:00.0","구분없음","385002.87030422","186361.245838429","준대규모점포",
