"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","환경업무구분명","폐기물처리업구분명","폐기물처리업별처리구분명","폐기물구분명","허용보관량","허용보관량내용",
"11","건설폐기물처리업","09_30_05_P","3280000","328000092200700001","20070126","","01","영업/정상","BBBB","영업","","","","","051 403 6677","","606821","부산광역시 영도구 청학동 155-54","부산광역시 영도구 해양로 155 (청학동)","606821","남일환경산업","20220317105342","U","2022-03-19 02:40:00.0","","387846.932858007","178904.726728676","건설폐기물처리업사업계획(허가)신청","중간처분업(건설폐기물)","","","","",
"12","건설폐기물처리업","09_30_05_P","3280000","328000092200900001","20090413","","01","영업/정상","BBBB","영업","","","","","","","","부산광역시 영도구 동삼동 1124-1 함지그린아파트","부산광역시 영도구 함지로 6, 함지그린아파트 (동삼동)","49119","대상환경산업","20200916161301","U","2020-09-18 02:40:00.0","","387770.170547067","176580.102067648","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","","",
"13","건설폐기물처리업","09_30_05_P","3280000","328000092200300001","20051228","","01","영업/정상","BBBB","영업","","","","","051 415 3775","","606800","부산광역시 영도구 남항동1가 29-2  번지","","","(주)건용개발","20070721100711","I","2018-08-31 23:59:59.0","","","","건설폐기물처리업사업계획(허가)신청","","","","","",
"14","건설폐기물처리업","09_30_05_P","3280000","328000092200500001","20051201","","01","영업/정상","BBBB","영업","","","","","051 418 0332","","","부산광역시 영도구 봉래동1가 50-7","부산광역시 영도구 태종로73번길 32 (봉래동1가)","49033","삼정산업","20200916154706","U","2020-09-18 02:40:00.0","","385919.542775743","179104.064410127","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","","",
"15","건설폐기물처리업","09_30_05_P","3280000","328000092200600001","20060118","","01","영업/정상","BBBB","영업","","","","","051 418 0332","","","부산광역시 영도구 봉래동1가 50-7","부산광역시 영도구 태종로73번길 32 (봉래동1가)","49033","삼정산업","20200916164509","U","2020-09-18 02:40:00.0","","385919.542775743","179104.064410127","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","","",
"16","건설폐기물처리업","09_30_05_P","3280000","328000092200600002","20060310","","01","영업/정상","BBBB","영업","","","","","051 403 6677","","606821","부산광역시 영도구 청학동 155-54","부산광역시 영도구 해양로 155 (청학동)","606821","남일환경산업","20220317105342","U","2022-03-19 02:40:00.0","","387846.932858007","178904.726728676","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","","",
"17","건설폐기물처리업","09_30_05_P","3280000","328000092200900002","20090727","","01","영업/정상","BBBB","영업","","","","","","","606070","부산광역시 영도구 청학동 1-25","부산광역시 영도구 해양로117번길 32 (청학동)","49007","(주)영도에스엔에스","20210823142155","U","2021-08-25 02:40:00.0","","388585.4063191","179313.226437227","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","0","",
"18","건설폐기물처리업","09_30_05_P","3280000","328000092200600003","20060915","","01","영업/정상","BBBB","영업","","","","","","","606060","부산광역시 영도구 봉래동1가 50-7   번지","","","노송자","20070721100711","I","2018-08-31 23:59:59.0","","","","건설폐기물처리업사업계획(허가)신청","","","","","",
"19","건설폐기물처리업","09_30_05_P","3280000","328000092201000001","20101210","","01","영업/정상","BBBB","영업","","","","","","","606081","부산광역시 영도구 동삼동 1124-1번지","부산광역시 영도구 함지로 6  (동삼동)","","현진산업","20101210152944","I","2018-08-31 23:59:59.0","","387770.170547067","176580.102067648","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","","",
"20","건설폐기물처리업","09_30_05_P","3280000","328000092200000003","20120109","","01","영업/정상","BBBB","영업","","","","","","","","부산광역시 영도구 청학동 1-99 부영산업","부산광역시 영도구 해양로 119, 부영산업 (청학동)","49007","(진)부영산업","20220106162817","U","2022-01-08 02:40:00.0","","388475.836904669","179219.280023777","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","0","",
"21","건설폐기물처리업","09_30_05_P","3280000","328000092201300001","20130501","","01","영업/정상","BBBB","영업","","","","","0514045006","","","부산광역시 영도구 청학동 21-76","부산광역시 영도구 태종로 364 (청학동)","49015","부경환경산업","20200916161442","U","2020-09-18 02:40:00.0","","388169.516197662","179200.420864903","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","","",
"22","건설폐기물처리업","09_30_05_P","3280000","328000092200700002","20070906","","01","영업/정상","BBBB","영업","","","","","4156954","","","부산광역시 영도구 청학동 1-145","부산광역시 영도구 해양로117번길 33 (청학동)","49007","(주)영도에스엔에스","20200916160113","U","2020-09-18 02:40:00.0","","388547.593865421","179359.897084833","건설폐기물처리업사업계획(허가)신청","중간처분업(건설폐기물)","","","","",
"23","건설폐기물처리업","09_30_05_P","3280000","328000092201900001","20190726","","01","영업/정상","BBBB","영업","","","","","","","","부산광역시 영도구 청학동 111-4번지","부산광역시 영도구 태종로372번길 21-8 (청학동)","49016","부경산업","20190726173909","I","2019-07-28 02:21:48.0","","388191.420722169","179026.962272839","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","","",
"24","건설폐기물처리업","09_30_05_P","3280000","328000092202200001","20220523","","01","영업/정상","BBBB","영업","","","","","","","","부산광역시 영도구 청학동 489-30 영도 원우엔리치빌 아파트","부산광역시 영도구 조내기로 38, 102동 705호 (청학동, 영도 원우엔리치빌 아파트)","49086","요동환경","20220523162417","U","2022-05-25 02:40:00.0","","388009.342861627","178207.970344672","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","0","",
"25","건설폐기물처리업","09_30_05_P","3290000","329000092200700001","20200626","","03","폐업","2","폐업","20200626","","","","0518185544","","614043","부산광역시 부산진구 전포동 330-1247","부산광역시 부산진구 진남로 277 (전포동)","47314","(주)정주환경","20200626163128","U","2020-06-28 02:40:00.0","","388849.415955467","185399.117754337","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","0","",
"26","건설폐기물처리업","09_30_05_P","3290000","329000092200800002","20081023","","03","폐업","2","폐업","20081023","","","","051 805 3151","","614042","부산광역시 부산진구 전포동 137번지 외1","","","(주)원종산업","20081023140125","I","2018-08-31 23:59:59.0","","","","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","0","",
"27","건설폐기물처리업","09_30_05_P","3290000","329000092200900002","20100608","","03","폐업","2","폐업","20100608","","","","","","614862","부산광역시 부산진구 전포동 123번지","","","(주)청룡환경","20100608142032","I","2018-08-31 23:59:59.0","","388258.83527693","187251.008124943","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","507","",
"28","건설폐기물처리업","09_30_05_P","3290000","329000092201600002","20210114","","03","폐업","2","폐업","20210114","","","","051-781-9122","","","부산광역시 부산진구 가야동 588 가야반도보라빌","부산광역시 부산진구 가야공원로 41, 105동 103호 (가야동, 가야반도보라빌)","47383","(주)정열중기건설","20210114110149","U","2021-01-16 02:40:00.0","","385036.984735411","185337.787983836","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","","",
"29","건설폐기물처리업","09_30_05_P","3290000","329000092202000001","20200413","","01","영업/정상","BBBB","영업","","","","","","","","부산광역시 부산진구 개금동 633-42 국민주택","부산광역시 부산진구 진사로83번길 20, A동 191호 (개금동, 국민주택)","47395","동균재생자원","20201214102830","U","2020-12-16 02:40:00.0","","383792.85480667","184601.951459831","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","","",
"30","건설폐기물처리업","09_30_05_P","3290000","329000092202100001","20210610","","01","영업/정상","BBBB","영업","","","","","","","","부산광역시 부산진구 부전동 474-80 유원 골든타워 오피스텔","부산광역시 부산진구 서면문화로 27, 유원 골든타워 오피스텔 727호 (부전동)","47257","(주)두보환경","20210610180651","I","2021-06-12 00:22:54.0","","387225.613588405","186408.726533861","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","","",
"31","건설폐기물처리업","09_30_05_P","3290000","329000092201400001","20140730","","01","영업/정상","BBBB","영업","","","","","051-783-5305","","","부산광역시 부산진구 당감동 445-6","부산광역시 부산진구 당감서로 36-2 (당감동)","47180","(주)명성이앤씨","20210820161931","U","2021-08-22 02:40:00.0","","385510.821907017","186832.163703869","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","0","",
"32","건설폐기물처리업","09_30_05_P","3290000","329000092200900001","20101013","","01","영업/정상","BBBB","영업","","","","","0518188677","","","부산광역시 부산진구 연지동 193-13","부산광역시 부산진구 동평로 229, 정동빌딩 2층 (연지동)","47134","(주)창도환경","20210618172606","U","2021-06-20 02:40:00.0","","386907.867581409","187584.680179475","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","","",
"33","건설폐기물처리업","09_30_05_P","3290000","329000092200900003","20090730","","01","영업/정상","BBBB","영업","","","","","0518925800","","null","부산광역시 부산진구 개금동 95","부산광역시 부산진구 개금온정로26번길 93 (개금동)","","백양환경(주)","20210518100426","U","2021-05-20 02:40:00.0","","384836.134741962","186128.624132289","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","","",
"34","건설폐기물처리업","09_30_05_P","3290000","329000092201100001","20110718","","01","영업/정상","BBBB","영업","","","","","866-7566","","614857","부산광역시 부산진구 양정동 458-5 현대프라자 604호","부산광역시 부산진구 동평로 350, 604호 (양정동,현대프라자)","47206","무성환경","20210531130002","U","2021-06-02 02:40:00.0","","387887.847333871","187966.542955171","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","","",
"35","건설폐기물처리업","09_30_05_P","3290000","329000092201600001","20161021","","01","영업/정상","BBBB","영업","","","","","0518174040","","","부산광역시 부산진구 당감동 569-38","부산광역시 부산진구 가야대로679번길 146, 지하1층 (당감동)","47272","사공환경자원","20201214102255","U","2020-12-16 02:40:00.0","","385706.823646385","186014.058256982","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","","",
"36","건설폐기물처리업","09_30_05_P","3300000","330000092200900002","20111216","","03","폐업","2","폐업","20111216","","","","5182897","","607123","부산광역시 동래구 사직동 140-49번지","부산광역시 동래구 여고로113번길 55 (사직동)","607813","에스엔리사이클링(주)","20111216151015","I","2018-08-31 23:59:59.0","","388834.447465627","191017.29208857","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","","",
"37","건설폐기물처리업","09_30_05_P","3300000","330000092200600001","20060222","","03","폐업","2","폐업","20060222","","","","","","607123","부산광역시 동래구 사직동 131-7번지","부산광역시 동래구 아시아드대로108번길 71  (사직동)","","국보환경","20070714104309","I","2018-08-31 23:59:59.0","","388493.056063865","190392.731783274","건설폐기물처리업사업계획(허가)신청","","","","","",
"38","건설폐기물처리업","09_30_05_P","3300000","330000092200600002","20060315","","03","폐업","2","폐업","20080516","","","","","","607050","부산광역시 동래구 수안동 40-13번지","부산광역시 동래구 수안로8번길 35  (수안동)","","우리산업","20080519103057","I","2018-08-31 23:59:59.0","","390253.665914064","190416.187815813","건설폐기물처리업사업계획(허가)신청","","","","","",
"39","건설폐기물처리업","09_30_05_P","3300000","330000092200600010","20061107","","03","폐업","2","폐업","20090209","","","","","","607050","부산광역시 동래구 수안동 41-13번지","부산광역시 동래구 온천천로 323  (수안동)","","운종","20090210111826","I","2018-08-31 23:59:59.0","","390193.925155478","190341.672770588","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","","",
"40","건설폐기물처리업","09_30_05_P","3300000","330000092200500001","20051031","","03","폐업","2","폐업","20070808","","","","0515582570","","607060","부산광역시 동래구 온천동 1431-10번지 정심파크빌 1층","부산광역시 동래구 중앙대로1333번길 61  (온천동,정심파크빌 1층)","","유창개발","20070808113331","I","2018-08-31 23:59:59.0","","388798.004078148","191685.05738794","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","","",
"41","건설폐기물처리업","09_30_05_P","3300000","330000092200400037","20041216","","03","폐업","2","폐업","20160307","","","","552-1022","","","","부산광역시 동래구 명륜로 265 (명륜동)","607802","동래환경산업","20180315162601","I","2018-08-31 23:59:59.0","","389786.281371218","192845.645650442","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","83","",
"42","건설폐기물처리업","09_30_05_P","3300000","330000092199600001","20100122","","03","폐업","2","폐업","20100122","","","","","","607050","부산광역시 동래구 수안동 41-13번지","부산광역시 동래구 온천천로 323  (수안동)","","유성산업","20100122143225","I","2018-08-31 23:59:59.0","","390193.925155478","190341.672770588","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","450","",
"43","건설폐기물처리업","09_30_05_P","3300000","330000092200700006","20100809","","03","폐업","2","폐업","20100809","","","","0519732504","","607060","부산광역시 동래구 온천동 1179-5번지","부산광역시 동래구 쇠미로217번길 21  (온천동)","","흥한환경개발(주)","20100809130406","I","2018-08-31 23:59:59.0","","387808.358897246","192050.199988296","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","","",
"44","건설폐기물처리업","09_30_05_P","3300000","330000092200900001","20150109","","03","폐업","2","폐업","20150109","","","","051-555-6943","","607823","부산광역시 동래구 수안동 41-14번지","부산광역시 동래구 온천천로 329 (수안동)","607823","운종기업","20150109154802","I","2018-08-31 23:59:59.0","","390232.143509557","190340.575483691","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","450","",
"45","건설폐기물처리업","09_30_05_P","3300000","330000092201300001","20170202","","03","폐업","2","폐업","20170202","","","","0519732504","","607060","부산광역시 동래구 온천동 1179-5 효창오피스텔 708호","부산광역시 동래구 미남로132번길 14, 708호 (온천동, 효창오피스텔)","607842","흥한환경개발(주)","20220603172617","U","2022-06-08 02:40:00.0","","387808.358897246","192050.199988296","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","","",
"46","건설폐기물처리업","09_30_05_P","3300000","330000092201000001","20100115","","01","영업/정상","BBBB","영업","","","","","051 5534949","","607040","부산광역시 동래구 낙민동 79-7번지","부산광역시 동래구 반송로 129  (낙민동)","","대성기업","20100115150656","I","2018-08-31 23:59:59.0","","390502.25266400000","190645.78767200000","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","150","",
"47","건설폐기물처리업","09_30_05_P","3300000","330000092202100001","20211015","","01","영업/정상","BBBB","영업","","","","","051-506-0402","","","부산광역시 동래구 온천동 1444-1 궁전아이브 316호","부산광역시 동래구 충렬대로100번길 7, 316호 (온천동, 궁전아이브)","47822","로운건설(주)","20211015162725","I","2021-10-17 00:22:47.0","","388596.12158964","191687.207070712","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","0","",
"48","건설폐기물처리업","09_30_05_P","3300000","330000092200600004","20060330","","01","영업/정상","BBBB","영업","","","","","","","607110","부산광역시 동래구 명장동 283-15  번지","","","범어개발","20070714104309","I","2018-08-31 23:59:59.0","","","","건설폐기물처리업사업계획(허가)신청","","","","","",
"49","건설폐기물처리업","09_30_05_P","3300000","330000092200900003","20091029","","01","영업/정상","BBBB","영업","","","","","07088384541","","607061","부산광역시 동래구 온천동 200-30번지","부산광역시 동래구 금강로 79  (온천동)","","부영","20091029153053","I","2018-08-31 23:59:59.0","","389129.949275144","192753.901980639","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","200","",
"50","건설폐기물처리업","09_30_05_P","3300000","330000092200900004","20070108","","01","영업/정상","BBBB","영업","","","","","","","607061","부산광역시 동래구 온천동 200-30번지","부산광역시 동래구 금강로 79  (온천동)","","부영","20110509103406","I","2018-08-31 23:59:59.0","","389129.949275144","192753.901980639","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","","",
"51","건설폐기물처리업","09_30_05_P","3300000","330000092200600007","20061030","","01","영업/정상","BBBB","영업","","","","","","","607050","부산광역시 동래구 수안동 177-1   번지","","","주)디와이대림","20070714104309","I","2018-08-31 23:59:59.0","","","","건설폐기물처리업사업계획(허가)신청","","","","","",
"52","건설폐기물처리업","09_30_05_P","3300000","330000092200600008","20061030","","01","영업/정상","BBBB","영업","","","","","","","607050","부산광역시 동래구 수안동 177-1   번지 4층","","","주)디와이대림","20070714104309","I","2018-08-31 23:59:59.0","","","","건설폐기물처리업사업계획(허가)신청","","","","","",
"53","건설폐기물처리업","09_30_05_P","3300000","330000092200600009","20061030","","01","영업/정상","BBBB","영업","","","","","","","607050","부산광역시 동래구 수안동 41-14  번지","","","운종","20070714104309","I","2018-08-31 23:59:59.0","","","","건설폐기물처리업사업계획(허가)신청","","","","","",
"54","건설폐기물처리업","09_30_05_P","3300000","330000092200700001","20070405","","01","영업/정상","BBBB","영업","","","","","051-558-8005","","607050","부산광역시 동래구 수안동 177-1번지","부산광역시 동래구 충렬대로238번가길 5  (수안동)","","(주)위훈","20070903134844","I","2018-08-31 23:59:59.0","","389854.741954205","191032.914707717","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","","",
"55","건설폐기물처리업","09_30_05_P","3300000","330000092200700005","20070927","","01","영업/정상","BBBB","영업","","","","","5527282","","607060","부산광역시 동래구 온천동 97-11번지","부산광역시 동래구 금강로 132-1  (온천동)","","이십일세기미래환경주식회사","20071024113840","I","2018-08-31 23:59:59.0","","389365.618128443","193232.676244315","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","","",
"56","건설폐기물처리업","09_30_05_P","3300000","330000092200600011","20060620","","01","영업/정상","BBBB","영업","","","","","","","607040","부산광역시 동래구 낙민동 50-3번지","","","동래산업","20071116094738","I","2018-08-31 23:59:59.0","","390813.975656472","190563.263934401","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","","",
"57","건설폐기물처리업","09_30_05_P","3300000","330000092200800002","20080416","","01","영업/정상","BBBB","영업","","","","","5565069","","607050","부산광역시 동래구 수안동 41-13번지","부산광역시 동래구 온천천로 323  (수안동)","","홍인환경산업","20110111100837","I","2018-08-31 23:59:59.0","","390193.925155478","190341.672770588","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","","",
"58","건설폐기물처리업","09_30_05_P","3300000","330000092200400035","20040317","","01","영업/정상","BBBB","영업","","","","","527-4123","","607830","부산광역시 동래구 안락동 452-14","부산광역시 동래구 충렬대로433번길 26-3 (안락동)","607830","한울개발","20210716172152","U","2021-07-18 02:40:00.0","","391734.33228968","190745.625658833","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","0","",
"59","건설폐기물처리업","09_30_05_P","3300000","330000092201400001","20140702","","01","영업/정상","BBBB","영업","","","","","","","","","부산광역시 동래구 중앙대로 1335-63, 상가동 103호 (온천동, 원타워아파트)","607837","(주)대명환경","20140702152758","I","2018-08-31 23:59:59.0","","","","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","","",
"60","건설폐기물처리업","09_30_05_P","3300000","330000092201000002","20100101","","01","영업/정상","BBBB","영업","","","","","5534949","","607040","부산광역시 동래구 낙민동 79-5번지","","","대성기업","20100115145304","I","2018-08-31 23:59:59.0","","390433.015477627","190358.213556333","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","","",
"61","건설폐기물처리업","09_30_05_P","3300000","330000092201000003","20100115","","01","영업/정상","BBBB","영업","","","","","5534949","","607040","부산광역시 동래구 낙민동 79-5번지","","","대성기업","20100115152605","I","2018-08-31 23:59:59.0","","390433.015477627","190358.213556333","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","","",
"62","건설폐기물처리업","09_30_05_P","3310000","331000092200400002","20040611","","03","폐업","2","폐업","20080204","","","","051 6248000","","608830","부산광역시 남구 용당동 552-19번지","부산광역시 남구 유엔평화로125번길 46  (용당동)","","원일상사","20091106115632","I","2018-08-31 23:59:59.0","","391204.451174064","182618.529770416","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","건설폐기물","0","",
"63","건설폐기물처리업","09_30_05_P","3310000","331000092200100001","20010326","","03","폐업","2","폐업","20160321","","","","051 6236001","","608020","부산광역시 남구 대연동 251번지","","","현대덤프","20160324133829","I","2018-08-31 23:59:59.0","","390462.735590273","185469.352415931","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","0","",
"64","건설폐기물처리업","09_30_05_P","3310000","331000092200100002","20010411","","03","폐업","2","폐업","20061114","","","","051 6213636","","608023","부산광역시 남구 대연동 256-6번지","부산광역시 남구 황령대로319번길 126  (대연동)","","대연덤프","20091106115423","I","2018-08-31 23:59:59.0","","390498.881383562","185345.056764287","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","건설폐기물","0","",
"65","건설폐기물처리업","09_30_05_P","3310000","331000092200200002","20020401","","03","폐업","2","폐업","20090521","","","","051-636-7979","","608043","부산광역시 남구 문현동 202-11번지","부산광역시 남구 문현로 8  (문현동)","","대박환경산업","20091106115533","I","2018-08-31 23:59:59.0","","388764.51805956","184288.730926683","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","0","",
"66","건설폐기물처리업","09_30_05_P","3310000","331000092200800001","20080626","","03","폐업","2","폐업","20090518","","","","0516250288","","608090","부산광역시 남구 용호동 395-21번지","부산광역시 남구 용호로 146-1  (용호동)","","하나환경산업개발","20090519095905","I","2018-08-31 23:59:59.0","","392430.774939907","182064.051350056","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","","",
"67","건설폐기물처리업","09_30_05_P","3310000","331000092200500001","20050415","","01","영업/정상","3","재개업","","20081231","20090706","20090706","","","608042","부산광역시 남구 문현동 757-14번지","부산광역시 남구 남동천로78번길 4-1  (문현동)","","더조은환경","20091106115746","I","2018-08-31 23:59:59.0","","388016.152494857","184648.231713787","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","155","",
"68","건설폐기물처리업","09_30_05_P","3310000","331000092200900001","20090407","","01","영업/정상","BBBB","영업","","","","","0516458866","","608044","부산광역시 남구 문현동 1219-1번지","","","거창기업","20100507110535","I","2018-08-31 23:59:59.0","","388427.881284727","182921.918496851","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","","",
"69","건설폐기물처리업","09_30_05_P","3310000","331000092199600006","19960919","","01","영업/정상","BBBB","영업","","","","","051-628-5040","","","","부산광역시 남구 황령대로 329-23 (대연동)","608806","황령기업","20190529100438","U","2019-05-31 02:40:00.0","","390858.668179285","185326.887017183","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","449.25","",
"70","건설폐기물처리업","09_30_05_P","3310000","331000092201700002","20180115","","01","영업/정상","BBBB","영업","","","","","","","","부산광역시 남구 우암동 247-1","부산광역시 남구 우암로 259 (우암동)","48480","(주)가가산업","20210924094824","U","2021-09-26 02:40:00.0","","388467.664448381","182624.529832279","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","0","",
