"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","자산규모","부채총액","자본금","판매방식명",
"15","방문판매업","08_26_02_P","3250000","2020325014523200003","20160830","","01","영업/정상","01","정상영업","","","","","852-4363","","","부산광역시 중구 부평동*가 **번지 *호","부산광역시 중구 보수대로 **-*, 제왕빌딩 *층 (부평동*가)","48980","월드쇼핑","20200612172801","I","2020-06-14 00:23:33.0","","384617.131962048","179590.603167846","","","","",
"16","방문판매업","08_26_02_P","3250000","2020325014523200004","20200619","","01","영업/정상","01","정상영업","","","","","051-600-1177","","","부산광역시 중구 대창동*가 **번지 *호 센트렐오피스텔","부산광역시 중구 중앙대로 ***, 센트렐오피스텔 *층 (대창동*가)","48924","주식회사 바이오맥스","20200619092020","I","2020-06-21 00:23:27.0","","385617.137705097","180818.494927285","175115533","98010722","77104811","",
"17","방문판매업","08_26_02_P","3250000","2020325014523200006","20200707","","01","영업/정상","01","정상영업","","","","","","","","부산광역시 중구 동광동*가 **-**","부산광역시 중구 동영로 *-*, *층 (동광동*가)","48921","폰명가","20200707144907","I","2020-07-09 00:23:16.0","","385326.96608313","180644.617291745","","","","",
"18","방문판매업","08_26_02_P","3250000","2021325014523200005","20210125","","01","영업/정상","01","정상영업","","","","","051-891-9011","","","부산광역시 중구 남포동*가 ***-*","부산광역시 중구 자갈치로**번길 *, *층 (남포동*가)","48982","해피의료기","20210806162829","I","2021-08-08 00:22:51.0","","384689.415583082","179395.986370534","0","0","0","",
"19","방문판매업","08_26_02_P","3250000","2020325014523200009","20200902","","01","영업/정상","01","정상영업","","","","","","","","부산광역시 중구 남포동*가 * 신천지","부산광역시 중구 자갈치로 **, 신천지 *층 ***B호 (남포동*가)","48982","대원통신방문판매","20220105151954","U","2022-01-07 02:40:00.0","","384836.914455912","179432.734579543","0","0","0","",
"20","방문판매업","08_26_02_P","3250000","2021325014523200002","20210304","","01","영업/정상","01","정상영업","","","","","","","","부산광역시 중구 중앙동*가 **-* 팬오션(주)부산빌딩","부산광역시 중구 중앙대로 ***, 팬오션빌딩 *층 ***-*호 (중앙동*가)","48938","주식회사 비엔케이임플란트","20210304152902","I","2021-03-06 00:23:00.0","","385606.581749269","180536.052576311","50000000","20000000","30000000","",
"21","방문판매업","08_26_02_P","3250000","2021325014523200001","20210127","","01","영업/정상","01","정상영업","","","","","051-466-6446","","","부산광역시 중구 동광동*가 **-**","부산광역시 중구 동광길 **, *층 (동광동*가)","48932","중구건강녹즙","20210127150819","I","2021-01-29 00:23:13.0","","385415.404043591","180186.17367053","","","","",
"22","방문판매업","08_26_02_P","3250000","2022325014523200006","20161123","","01","영업/정상","01","정상영업","","","","","051-416-5090","","","부산광역시 중구 보수동*가 ***-**","부산광역시 중구 대청로 **-*(보수동*가)","48964","썬웨이 주식회사","20220519144848","I","2022-05-20 00:22:32.0","","384520.303872466","180124.826896841","0","0","205000000","",
"23","방문판매업","08_26_02_P","3250000","2022325014523200007","20161123","","01","영업/정상","01","정상영업","","","","","051-416-5090","","","부산광역시 중구 보수동*가 ***-**","부산광역시 중구 대청로 **-*(보수동*가)","48964","썬웨이(SUNWAY)","20220519145547","I","2022-05-21 00:22:47.0","","384520.303872466","180124.826896841","0","0","0","",
"24","방문판매업","08_26_02_P","3250000","2010325008323200002","20100204","","03","폐업","03","폐업처리","20100323","","","","051 442 3568","","600110","부산광역시 중구 영주동 ***번지 **호","부산광역시 중구 동영로**번안길 *-* (영주동)","","에스랜드","20100323165857","I","2018-08-31 23:59:59.0","","385348.836781258","180813.603839547","","","","",
"25","방문판매업","08_26_02_P","3250000","2010325008323200003","20100527","","03","폐업","03","폐업처리","20100615","","","","","","600811","부산광역시 중구 영주동 ***번지 **호  향우센스빌 ***호","부산광역시 중구 임소길**번길 *, ***호 (영주동,향우센스빌)","","인덕상사","20100615174858","I","2018-08-31 23:59:59.0","","385269.851904461","181082.126746778","","","","",
"26","방문판매업","08_26_02_P","3250000","2010325008323200008","20090917","","03","폐업","03","폐업처리","20161216","","","","254-7244","","600074","부산광역시 중구 부평동*가 **번지 *호","부산광역시 중구 흑교로**번길 **-* (부평동*가)","","부경상조(주)","20161209102746","I","2018-08-31 23:59:59.0","","384389.415480923","180004.941132641","345164805","273679520","300000000","",
"27","방문판매업","08_26_02_P","3250000","2010325008323200009","20101101","","03","폐업","03","폐업처리","20131106","","","","","","600015","부산광역시 중구 중앙동*가 **번지","부산광역시 중구 중앙대로 ** (중앙동*가)","","한국전자담배중구점","20131106112203","I","2018-08-31 23:59:59.0","","385632.409739106","180139.265142506","","","","",
"28","방문판매업","08_26_02_P","3250000","2008325006923200001","20080811","","03","폐업","03","폐업처리","20091007","","","","0512545555","","600806","부산광역시 중구 부평동*가 *번지 월드밸리 ***호","부산광역시 중구 대청로 **, ***호 (부평동*가,월드밸리)","","수정사","20091007180049","I","2018-08-31 23:59:59.0","","384691.305122868","180070.025389847","","","","",
"29","방문판매업","08_26_02_P","3250000","2009325006923200001","20090119","","03","폐업","03","폐업처리","20101130","","","","070 7505 4242","","600021","부산광역시 중구 동광동*가 *번지 부산데파트 ***호","","","(주)에셀","20101125092834","I","2018-08-31 23:59:59.0","","","","551421359","0","500000000","",
"30","방문판매업","08_26_02_P","3250000","2010325008323200004","20100607","","03","폐업","03","폐업처리","20131115","","","","051 245 0122","","600031","부산광역시 중구 광복동*가 **번지 *호","부산광역시 중구 구덕로**번길 * (광복동*가)","","아이리스정","20131115102016","I","2018-08-31 23:59:59.0","","385413.077683636","179554.698966745","","","","",
"31","방문판매업","08_26_02_P","3250000","2010325008323200005","20100614","","03","폐업","03","폐업처리","20101215","","","","","","600021","부산광역시 중구 동광동*가 *번지 **호  부산데파트 ***호","부산광역시 중구 중앙대로 **, ***호 (동광동*가,부산데파트)","","글로벌유통","20101210090550","I","2018-08-31 23:59:59.0","","385587.465780386","179726.692445216","","","","",
"32","방문판매업","08_26_02_P","3250000","2008325005923200005","20080428","","03","폐업","03","폐업처리","20080826","","","","051 711 3000","","600010","부산광역시 중구 중앙동*가 **번지 **호 정석빌딩 ***호","부산광역시 중구 중앙대로 ** (중앙동*가,정석빌딩 ***호)","","(주)대광인베스트","20080826151221","I","2018-08-31 23:59:59.0","","385616.660201449","180406.241287734","31981727","53298527","50000000","",
"33","방문판매업","08_26_02_P","3250000","2010325008323200007","20100830","","03","폐업","03","폐업처리","20110727","","","","051-254-7756","","600071","부산광역시 중구 부평동*가 **번지 *호","부산광역시 중구 중구로**번길 * (부평동*가)","","한불화장품중구지사","20110727160228","I","2018-08-31 23:59:59.0","","384809.18775085","180041.108358306","","","","",
"34","방문판매업","08_26_02_P","3250000","2008325006923200005","20081006","","03","폐업","03","폐업처리","20140328","","","","0514699830","","600816","부산광역시 중구 중앙동*가 **번지 *호 *층","부산광역시 중구 중앙대로 ***-* (중앙동*가,*층)","","사임당항도","20140328180916","I","2018-08-31 23:59:59.0","","385761.113647219","181039.074263948","","","","",
"35","방문판매업","08_26_02_P","3250000","2008325006923200006","20081124","","03","폐업","03","폐업처리","20090416","","","","051 241 0811","","600045","부산광역시 중구 남포동*가 ***번지 *호","부산광역시 중구 자갈치로**번길 * (남포동*가)","","정인기획","20090416093959","I","2018-08-31 23:59:59.0","","385024.485375473","179430.059989821","","","","",
"36","방문판매업","08_26_02_P","3250000","2008325006923200003","20080827","","03","폐업","03","폐업처리","20091224","","","","0512552565","","600804","부산광역시 중구 부평동*가 **번지 *호","부산광역시 중구 부평*길 ** (부평동*가)","","성도","20091224171826","I","2018-08-31 23:59:59.0","","384723.357406354","179898.680592002","","","","",
"37","방문판매업","08_26_02_P","3250000","2009325008323200001","20090408","","03","폐업","03","폐업처리","20100330","","","","1577 4447","","600814","부산광역시 중구 중앙동*가 **번지 *호 노블리안* 오피스텔 ***호","부산광역시 중구 중앙대로 **, ***호 (중앙동*가,노블리안* 오피스텔)","","(주)영화길","20100330155235","I","2018-08-31 23:59:59.0","","385630.742187332","180306.821082315","50000000","0","50000000","",
"38","방문판매업","08_26_02_P","3250000","2009325008323200002","20051020","","03","폐업","03","폐업처리","20090917","","","","051 254 7244","","600074","부산광역시 중구 부평동*가 **번지 *호 골든시티오피스텔 ***호","부산광역시 중구 보수대로 **, ***호 (부평동*가,골든시티오피스텔)","","부경상조(주)","20090918160733","I","2018-08-31 23:59:59.0","","384249.201710589","180080.172971726","68000000","210000000","50000000","",
"39","방문판매업","08_26_02_P","3250000","2016325008323200007","20161018","","03","폐업","03","폐업처리","20171103","","","","051-465-2200","","","","부산광역시 중구 충장대로*번길 **, *층 (중앙동*가, KT서부산지사)","48934","승리닷컴","20171103093818","I","2018-08-31 23:59:59.0","","385811.634937345","180996.883871158","","","","",
"40","방문판매업","08_26_02_P","3250000","2016325008323200009","20161121","","03","폐업","03","폐업처리","20171123","","","","051-545-8838","","","","부산광역시 중구 중앙대로**번길 * (중앙동*가)","48942","모바일리네어","20171123165117","I","2018-08-31 23:59:59.0","","385663.584143116","179952.765895004","","","","",
"41","방문판매업","08_26_02_P","3250000","2017325008323200001","20170208","","03","폐업","03","폐업처리","20180621","","","","051-466-5005","","","","부산광역시 중구 충장대로*번길 **, *층 (중앙동*가, kt부산통신센터)","48934","더 지니(The 지니)","20180622145302","I","2018-08-31 23:59:59.0","","385811.634937345","180996.883871158","","","","",
"42","방문판매업","08_26_02_P","3250000","2017325008323200002","20121012","","03","폐업","03","폐업처리","20191101","","","","1599-4838","","","","부산광역시 중구 남포길 ** (남포동*가)","48954","사임당라이프 주식회사","20191104152313","U","2019-11-06 02:40:00.0","","385349.511207644","179566.520286552","65819637","167860605","300000000","",
"43","방문판매업","08_26_02_P","3250000","2017325008323200003","20170526","","03","폐업","03","폐업처리","20171121","","","","","","","","부산광역시 중구 중앙대로**번길 **, *층 (동광동*가)","48955","옥탑모바일","20171121154456","I","2018-08-31 23:59:59.0","","385474.111854815","179904.994589149","","","","",
"44","방문판매업","08_26_02_P","3250000","2004325005923200140","20040126","","03","폐업","03","폐업처리","20080620","","","","051 468 1327","","","부산광역시 중구 중앙동*가 **번지 **호 헤원빌딩 ***호","부산광역시 중구 중앙대로**번길 **, ***호 (중앙동*가,헤원빌딩)","","㈜삼정엔텍","20080620180749","I","2018-08-31 23:59:59.0","","385721.617384412","180507.2427066","50000000","0","50000000","",
"45","방문판매업","08_26_02_P","3250000","2004325005923200141","20040128","","03","폐업","03","폐업처리","20160307","","","","051 468 3900","","","중앙동*가**-* 노블리안* ***호","부산광역시 중구 중앙대로 **, ***호 (중앙동*가)","600814","생그린 뉴영도지사","20160307100536","I","2018-08-31 23:59:59.0","","385630.742187332","180306.821082315","","","","",
"46","방문판매업","08_26_02_P","3250000","2004325005923200148","20040619","","03","폐업","03","폐업처리","20100122","","","","051 463 0820","","600816","부산광역시 중구 중앙동*가 **번지 *호","부산광역시 중구 충장대로*번길 ** (중앙동*가)","","(주)케이티씨에스 부산114본부","20100122114308","I","2018-08-31 23:59:59.0","","385811.634937345","180996.883871158","100091909215","30070787337","20000000000","",
"47","방문판매업","08_26_02_P","3250000","2004325005923200153","20041119","","03","폐업","03","폐업처리","20080826","","","","051 469 2088","","","대청동*가 **-* 새들맨션B-***","","","복강상사","20080826165517","I","2018-08-31 23:59:59.0","","","","","","","",
"48","방문판매업","08_26_02_P","3250000","2005325005923200158","20050412","","03","폐업","03","폐업처리","20090211","","","","051 442 2600","","","중앙동*가 ** 반도빌딩 ***","","","㈜한국아태항공","20090211173548","I","2018-08-31 23:59:59.0","","","","25000000","99000000","110000000","",
"49","방문판매업","08_26_02_P","3250000","2005325005923200164","20050902","","03","폐업","03","폐업처리","20131015","","","","051 465 7800","","600101","부산광역시 중구 대창동*가 **번지 **호 남광빌딩 *층","부산광역시 중구 중앙대로 *** (대창동*가,남광빌딩 *층)","","유니베라 중구대리점","20131015130527","I","2018-08-31 23:59:59.0","","385629.342277905","180803.857905689","","","","",
"50","방문판매업","08_26_02_P","3250000","2005325005923200166","20051028","","03","폐업","03","폐업처리","20191028","","","","051 441 5571","","","","부산광역시 중구 중앙대로 ***, ****호 (대창동*가, 센트럴오피스텔)","48924","㈜오스코나","20191031114203","U","2019-11-02 02:40:00.0","","385629.733383327","180827.538655672","517000000","312000000","150000000","",
"51","방문판매업","08_26_02_P","3250000","2006325005923200169","20060501","","03","폐업","03","폐업처리","20070621","","","","051 468 8888","","600816","부산광역시 중구 중앙동*가 **번지 KT서부산네트워크 *층","","","인포월드","20080625174312","I","2018-08-31 23:59:59.0","","","","","","","",
"52","방문판매업","08_26_02_P","3250000","2006325005923200173","20060928","","03","폐업","03","폐업처리","20070607","","","","","","","보수동*가 산*-***  보수아파트A*동***","","","부영코리아","20080709161551","I","2018-08-31 23:59:59.0","","","","","","","",
"53","방문판매업","08_26_02_P","3250000","2006325005923200175","20061016","","03","폐업","03","폐업처리","20080129","","","","051 418 0796","","","광복동 *가 *   *층","","","청강","20080129144406","I","2018-08-31 23:59:59.0","","","","","","","",
"54","방문판매업","08_26_02_P","3250000","2006325005923200176","20061129","","03","폐업","03","폐업처리","20101122","","","","051 711 9336","","","중앙동 *가 **-*  *층","","","㈜편안한세상","20101123093903","I","2018-08-31 23:59:59.0","","","","50000000","0","50000000","",
"55","방문판매업","08_26_02_P","3250000","2008325005923200001","20080226","","03","폐업","03","폐업처리","20080526","","","","051 256 6943","","600046","부산광역시 중구 남포동*가 **번지 *호","부산광역시 중구 구덕로 **-* (남포동*가)","","태산","20080526164048","I","2018-08-31 23:59:59.0","","384801.153440117","179519.19747581","","","","",
"56","방문판매업","08_26_02_P","3250000","2007325005923200178","20070312","","03","폐업","03","폐업처리","20090421","","","","051 248 0096","","","남포동*가**","","","태종대지사","20090421174836","I","2018-08-31 23:59:59.0","","","","","","","",
"57","방문판매업","08_26_02_P","3250000","2007325005923200179","20070312","","03","폐업","03","폐업처리","20110429","","","","051 247 0662","","","부평동*가**-**","","","오휘남포지사","20110429094611","I","2018-08-31 23:59:59.0","","","","","","","",
"58","방문판매업","08_26_02_P","3250000","2007325005923200182","20070511","","03","폐업","03","폐업처리","20071004","","","","051 466 6866","","600110","부산광역시 중구 영주동 **번지 *호 제일빌딩 *층","부산광역시 중구 대영로 *** (영주동,제일빌딩 *층)","","태양(SUN)기획","20071004172242","I","2018-08-31 23:59:59.0","","385585.321891141","181149.765235809","","","","",
"59","방문판매업","08_26_02_P","3250000","2008325005923200007","20080625","","03","폐업","03","폐업처리","20130913","","","","051 469 2063","","600816","부산광역시 중구 중앙동*가 **번지 *호 우창빌딩 *층","부산광역시 중구 중앙대로 *** (중앙동*가,우창빌딩 *층)","","아모레용두산특약점","20130913134211","I","2018-08-31 23:59:59.0","","385755.829120228","181022.421229413","","","","",
"60","방문판매업","08_26_02_P","3250000","2007325005923200184","20070607","","03","폐업","03","폐업처리","20080205","","","","051 469 0066","","600101","부산광역시 중구 대창동*가 **번지 **호","부산광역시 중구 중앙대로 *** (대창동*가)","","쌍용자동차부산중구판매대리점","20080205143512","I","2018-08-31 23:59:59.0","","385629.342277905","180803.857905689","","","","",
"61","방문판매업","08_26_02_P","3250000","2007325005923200183","20070604","","03","폐업","03","폐업처리","20070706","","","","051 244 7301","","600012","부산광역시 중구 중앙동*가 **번지 *호 *층","부산광역시 중구 중앙대로**번길 * (중앙동*가,*층)","","(주)모바일텔레콤","20070904170306","I","2018-08-31 23:59:59.0","","385531.190353775","179983.91928881","300000000","0","300000000","",
"62","방문판매업","08_26_02_P","3250000","2008325005923200002","20080402","","03","폐업","03","폐업처리","20080602","","","","051-462-2022","","600811","부산광역시 중구 영주동 **번지 *호 제일빌딩 *층","부산광역시 중구 대영로 *** (영주동,제일빌딩 *층)","","웰빙21C","20080602143924","I","2018-08-31 23:59:59.0","","385585.321891141","181149.765235809","","","","",
"63","방문판매업","08_26_02_P","3250000","2008325005923200003","20080414","","03","폐업","03","폐업처리","20100114","","","","051 243 8890","","600061","부산광역시 중구 신창동*가 **번지 *호","부산광역시 중구 대청로**번길 * (신창동*가)","","주혹방광묵도","20100114180224","I","2018-08-31 23:59:59.0","","385010.697427931","180046.047246882","","","","",
"64","방문판매업","08_26_02_P","3250000","2008325005923200004","20080416","","03","폐업","03","폐업처리","20100331","","","","051 710 0088","","600012","부산광역시 중구 중앙동*가 **번지 대신증권빌딩 *층","부산광역시 중구 해관로 ** (중앙동*가,대신증권빌딩 *층)","","(주)두성크리에이터","20100331155653","I","2018-08-31 23:59:59.0","","385568.388510129","179981.058394205","50000000","0","50000000","",
"65","방문판매업","08_26_02_P","3250000","2013325008323200003","20130410","","03","폐업","03","폐업처리","20180403","","","","051-442-0009","","","","부산광역시 중구 중앙대로 *** (중앙동*가, 송남빌딩)","600816","쌍용자동차 부산중앙대리점","20180403114044","I","2018-08-31 23:59:59.0","","385770.249057193","181062.506282925","","","","",
"66","방문판매업","08_26_02_P","3250000","2013325008323200004","20130618","","03","폐업","03","폐업처리","20140203","","","","","","","","부산광역시 중구 대청로 ***, *층 (대청동*가)","600091","굿엔구디","20140220143155","I","2018-08-31 23:59:59.0","","385208.257553644","180108.034984261","","","","",
"67","방문판매업","08_26_02_P","3250000","2011325008323200005","20110915","","03","폐업","03","폐업처리","20130910","","","","051-254-2205","","600809","부산광역시 중구 부평동*가 **번지","부산광역시 중구 흑교로 * (부평동*가)","600809","아모레 광복(특)","20130911092439","I","2018-08-31 23:59:59.0","","384545.802299262","179754.942453097","","","","",
"68","방문판매업","08_26_02_P","3250000","2014325008323200005","20140626","","03","폐업","03","폐업처리","20150526","","","","070-7135-0135","","","","부산광역시 중구 대청로 ***-*, ***호 (대청동*가, 코모도에스테이트오피스텔)","600091","이롬황성주생식부산대청로점","20150520173130","I","2018-08-31 23:59:59.0","","385306.698876602","180120.939470659","","","","",
"69","방문판매업","08_26_02_P","3250000","2012325008323200002","20120724","","03","폐업","03","폐업처리","20141219","","","","1599-8869","","600014","부산광역시 중구 중앙동*가 **번지 **호 대림빌딩 ***호","부산광역시 중구 중앙대로***번길 * (중앙동*가,대림빌딩 ***호)","","(주)휴먼르네상스","20141219174104","I","2018-08-31 23:59:59.0","","385750.663036562","180786.918635816","117704461","117704461","100000000","",
"70","방문판매업","08_26_02_P","3250000","2013325008323200001","20130305","","03","폐업","03","폐업처리","20130911","","","","051-469-8788","","","","부산광역시 중구 중앙대로 **, *층 (중앙동*가, 유신빌딩)","600015","아모레 중구제일 특약점","20130911130641","I","2018-08-31 23:59:59.0","","385647.020637112","180047.798431437","","","","",
"71","방문판매업","08_26_02_P","3250000","2015325008323200005","20151210","","03","폐업","03","폐업처리","20171221","","","","051-462-1008","","","","부산광역시 중구 중앙대로 **, **층 (중앙동*가, 국제빌딩)","48942","주식회사 도움","20171221145206","I","2018-08-31 23:59:59.0","","385666.280865059","179774.158396281","10500000","0","300000000","",
"72","방문판매업","08_26_02_P","3250000","2014325008323200003","20140328","","03","폐업","03","폐업처리","20180404","","","","051-469-9830","","","","부산광역시 중구 중앙대로 ***-*, *층 (중앙동*가, 명성빌딩)","600816","사임당화장품항도지사","20180404171143","I","2018-08-31 23:59:59.0","","385761.113647219","181039.074263948","","","","",
"73","방문판매업","08_26_02_P","3250000","2014325008323200004","20131031","","03","폐업","03","폐업처리","20150120","","","","","","","","부산광역시 중구 광복중앙로**번길 **-* (신창동*가)","600062","르네셀","20150120165655","I","2018-08-31 23:59:59.0","","384962.728677597","180027.254514604","","","","",
"74","방문판매업","08_26_02_P","3250000","2016325008323200006","20160926","","03","폐업","03","폐업처리","20170927","","","","051-338-7012","","","","부산광역시 중구 동영로**번길 ** (영주동)","48915","안단테","20170927170944","I","2018-08-31 23:59:59.0","","385129.514182423","181132.681145972","","","","",
"75","방문판매업","08_26_02_P","3250000","2011325008323200004","20110809","","03","폐업","03","폐업처리","20151211","","","","051-244-3696","","600805","부산광역시 중구 부평동*가 **번지 **호","부산광역시 중구 광복로 **-* (부평동*가)","600805","자연미인","20151207101816","I","2018-08-31 23:59:59.0","","384785.35717811","179710.137294894","","","","",
"76","방문판매업","08_26_02_P","3250000","2009325008323200003","20081021","","03","폐업","03","폐업처리","20111107","","","","051 246 2001","","600046","부산광역시 중구 남포동*가 *번지 신천지백화점 ***호","부산광역시 중구 자갈치로 **, ***호 (남포동*가,신천지백화점)","","하나라이프상조(주)","20111107142455","I","2018-08-31 23:59:59.0","","384836.914455912","179432.734579543","6292642","4199720","50000000","",
"77","방문판매업","08_26_02_P","3250000","2009325008323200004","20080414","","03","폐업","03","폐업처리","20101123","","","","","","600816","부산광역시 중구 중앙동*가 **번지 *호 케이티중부산지사 *층","부산광역시 중구 중앙대로 *** (중앙동*가,케이티중부산지사 *층)","","(주)텔라이브","20101123180414","I","2018-08-31 23:59:59.0","","385709.216919638","180842.067770636","430355559","118420371","100000000","",
"78","방문판매업","08_26_02_P","3250000","2014325008323200002","20140304","","03","폐업","03","폐업처리","20140917","","","","051-465-7800","","","","부산광역시 중구 중앙대로 ***, *층 (대창동*가, 삼성빌딩)","600101","유니베라 중구대리점","20140918092029","I","2018-08-31 23:59:59.0","","385629.342277905","180803.857905689","","","","",
"79","방문판매업","08_26_02_P","3250000","2014325008323200007","20131121","","03","폐업","03","폐업처리","20150427","","","","051-441-8622","","","","부산광역시 중구 대청로 ***, *층 (대청동*가)","600091","두루원","20150427100530","I","2018-08-31 23:59:59.0","","385208.257553644","180108.034984261","","","","",
"80","방문판매업","08_26_02_P","3250000","2015325008323200001","20150601","","03","폐업","03","폐업처리","20150707","","","","051-254-6719","","","","부산광역시 중구 광복로 ** (창선동*가)","600819","초이스안경 남포점","20150707132958","I","2018-08-31 23:59:59.0","","384889.053846965","179676.791902495","","","","",
"81","방문판매업","08_26_02_P","3250000","2015325008323200002","20150630","","03","폐업","03","폐업처리","20171221","","","","051-462-1008","","","","부산광역시 중구 중앙대로 **, **층 (중앙동*가, 국제빌딩)","600714","㈜천불사녹야원","20171221145423","I","2018-08-31 23:59:59.0","","385666.280865059","179774.158396281","122000000","23000000","100000000","",
