"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","목재생산업구분코드명","목재생산업종류명","취급목재제품","인력보유현황","년간생산량","자본금","상태구분명",
"17","제재업","09_27_03_P","3360000","336000090201300016","20131203","","01","영업/정상","1","정상","","","","","051-468-8814","","","","부산광역시 강서구 대저동서로**번길 ** (대저*동)","","(주)클로버수출포장(1종)","20150731162016","I","2018-08-31 23:59:59.0","","377156.634541121","190603.505653329","제재업","1종","밀폐박스, 파레트","","10000","300","영업",
"18","제재업","09_27_03_P","3360000","336000090201300021","20131213","","01","영업/정상","1","정상","","","","","0518310748","","","부산광역시 강서구 송정동 ****-*번지","부산광역시 강서구 녹산산단***로**번길 **-** (송정동)","618819","(주)형진목재(1종)","20150730170543","I","2018-08-31 23:59:59.0","","369628.797801081","178878.36962886","제재업","1종","원목, 수입제재목, 합판","1","1500","100","영업",
"19","제재업","09_27_03_P","3360000","336000090201300028","20131217","","01","영업/정상","1","정상","","","","","051-941-4648","","","부산광역시 강서구 송정동 ****-*번지","","","(주)부자목재산업(1종)","20150812122849","I","2018-08-31 23:59:59.0","","369851.119713308","178619.514783648","제재업","1종","원목, 각재","","6000","200","영업",
"20","제재업","09_27_03_P","3360000","336000090201400003","20140114","","01","영업/정상","1","정상","","","","","8318888","","","부산광역시 강서구 송정동 ****-*번지","부산광역시 강서구 녹산산단***로 * (송정동)","46755","(주)삼림물산(1종)","20150811111957","I","2018-08-31 23:59:59.0","","369773.921627817","178314.652139373","제재업","1종","판재, 각재, 조경자재, 방부목재","1명(이환경)","35000","550","영업",
"21","제재업","09_27_03_P","3360000","336000090201400004","20140114","","01","영업/정상","1","정상","","","","","051-831-8888","","","","부산광역시 강서구 녹산산단***로 * (송정동)","","(주)삼림물산(3종)","20150807155313","I","2018-08-31 23:59:59.0","","369773.921627817","178314.652139373","제재업","3종","판재, 각재, 조경자재, 방부목재","","35000","550","영업",
"22","제재업","09_27_03_P","3360000","336000090201300017","20131203","","01","영업/정상","1","정상","","","","","051-831-4242","","","부산광역시 강서구 송정동 ****-*번지","부산광역시 강서구 녹산화전로 ** (송정동)","618819","***(1종)","20150731091138","I","2018-08-31 23:59:59.0","","369978.581647082","178606.054652078","제재업","1종","원목, 각재","1명(이경봉)","17000","150","영업",
"23","제재업","09_27_03_P","3360000","336000090201300003","20131123","","01","영업/정상","1","정상","","","","","0519727773","","","부산광역시 강서구 강동동 ****-**번지","부산광역시 강서구 제도로 ***-* (강동동)","46716","***(1종)","20150810163529","I","2018-08-31 23:59:59.0","","374349.544314474","186052.803369763","제재업","1종","컨테이너 집재용 박스","1명(최진우)","950","50","영업",
"24","제재업","09_27_03_P","3360000","336000090201400021","20140319","","01","영업/정상","1","정상","","","","","","","","부산광역시 강서구 대저*동 ***-*번지","부산광역시 강서구 대저로***번길 ** (대저*동)","46702","***(1종)","20150810163734","I","2018-08-31 23:59:59.0","","380017.620785885","192467.870173965","제재업","1종","제제목","1명(심재철)","850","290","영업",
"25","제재업","09_27_03_P","3360000","336000090201300007","20131123","","01","영업/정상","1","정상","","","","","051-831-1234","","","부산광역시 강서구 송정동 ****-*번지","부산광역시 강서구 녹산산단***로 ** (송정동)","","주식회사 대림목재포장(1종)","20150731172034","I","2018-08-31 23:59:59.0","","369697.095126236","178425.628075705","제재업","1종","나무상자, 목재파레트","","1800","100","영업",
"26","제재업","09_27_03_P","3360000","336000090201300008","20131123","","01","영업/정상","1","정상","","","","","0518313101","","","부산광역시 강서구 송정동 ****-*번지","부산광역시 강서구 녹산산단***로 ** (송정동)","618270","동화목재(주)(1종)","20150731171608","I","2018-08-31 23:59:59.0","","369778.076763177","178601.248457455","제재업","1종","제재목(각재)","1","20000","1287","영업",
"27","제재업","09_27_03_P","3360000","336000090201300010","20131203","","01","영업/정상","1","정상","","","","","","","","부산광역시 강서구 송정동 ****-*","부산광역시 강서구 녹산산단***로 ** (송정동)","46755","에스디상사(주)(1종)","20201120175704","U","2020-11-22 02:40:00.0","","369518.386773504","178520.258065431","제재업","1종","제재목","1명(박준상)","60864","250","영업",
"28","제재업","09_27_03_P","3360000","336000090201300020","20131213","","01","영업/정상","1","정상","","","","","0518321862","","","부산광역시 강서구 송정동 ****-*번지","부산광역시 강서구 녹산산단***로**번길 ** (송정동)","46755","케이에스목재(1종)","20150813085359","I","2018-08-31 23:59:59.0","","370265.815427432","178324.70275783","제재업","1종","제재목","1명(김창근)","34561","761","영업",
"29","제재업","09_27_03_P","3360000","336000090201500002","20151111","","01","영업/정상","1","정상","","","","","0518312567","","","부산광역시 강서구 송정동 ****-*","부산광역시 강서구 녹산산단***로**번길 * (송정동)","618270","(주)부갑제재소(3종)","20201118093123","U","2020-11-20 02:40:00.0","","369493.32063271","179120.674508952","제재업","3종","화학처리 목재제품","교육이수자 1명(배석환)","","50","영업",
"30","제재업","09_27_03_P","3360000","336000090201300001","20131123","","01","영업/정상","1","정상","","","","","051-831-1223","","","부산광역시 강서구 송정동 ****-*번지","부산광역시 강서구 녹산산업중로 *** (송정동)","","동해목재(주)(1종)","20150730163345","I","2018-08-31 23:59:59.0","","370221.344819607","178858.084728476","제재업","1종","목드럼, 파레트, 스키드","1명(박효병)","16000","500","영업",
"31","제재업","09_27_03_P","3360000","336000090201300005","20131123","","01","영업/정상","1","정상","","","","","051-831-1806","","","부산광역시 강서구 강동동 ****-**번지","부산광역시 강서구 제도로 ***-* (강동동)","","문성호(3종)","20150731173038","I","2018-08-31 23:59:59.0","","374349.544314474","186052.803369763","제재업","3종","제재목(각재)","","1200","1244","영업",
"32","제재업","09_27_03_P","3360000","336000090201400007","20140114","","01","영업/정상","1","정상","","","","","0518310660","","","","부산광역시 강서구 녹산산업중로 *** (송정동)","46755","대원그린텍(주)(1종)","20180105101832","I","2018-08-31 23:59:59.0","","370122.670288316","178781.90724726","제재업","1종","목재, 목포장, 나무파레트","1명(장희숙)","8000","30","영업",
"33","제재업","09_27_03_P","3360000","336000090201400009","20140114","","01","영업/정상","1","정상","","","","","0519732354","","","부산광역시 강서구 죽동동 ***-***번지","부산광역시 강서구 봉죽길***번길 *** (죽동동)","46708","원남목재수출포장(1종)","20150811110147","I","2018-08-31 23:59:59.0","","370407.536036329","190653.888629301","제재업","1종","원목, 각재, 판재","1명(주미희)","10000","398","영업",
"34","제재업","09_27_03_P","3360000","336000090201400011","20140206","","01","영업/정상","1","정상","","","","","0512713232","","","부산광역시 강서구 명지동 ****-*번지","부산광역시 강서구 신포길**번길 ** (명지동)","618200","유명목재산업(1종)","20150731150616","I","2018-08-31 23:59:59.0","","375897.635441018","181386.697238809","제재업","1종","데크재, 제재목, 파레트","1","2100","1287","영업",
"35","제재업","09_27_03_P","3360000","336000090201400013","20140206","","01","영업/정상","1","정상","","","","","0512713203","","","부산광역시 강서구 명지동 ****-*번지","부산광역시 강서구 신포길**번길 ** (명지동)","618200","(주)대영우드(1종)","20150731151309","I","2018-08-31 23:59:59.0","","375897.635441018","181386.697238809","제재업","1종","데크재, 제재목","1","500","","영업",
"36","제재업","09_27_03_P","3360000","336000090201400014","20140206","","01","영업/정상","1","정상","","","","","051-506-4915","","","","부산광역시 강서구 울만로**번길 ***-* (대저*동)","","(주)금호창호(1종)","20150731151655","I","2018-08-31 23:59:59.0","","375223.216929972","187990.547718144","제재업","1종","원목","1명(윤상혁)","10000","550","영업",
"37","제재업","09_27_03_P","3360000","336000090201400015","20140312","","01","영업/정상","1","정상","","","","","051-831-4567","","","","부산광역시 강서구 녹산산단***로**번길 **-** (송정동)","","(주)지산산업(1종)","20150731152034","I","2018-08-31 23:59:59.0","","369575.824367534","178525.406280959","제재업","1종","원목,제재목,파레트","1명(김동훈)","5000","400","영업",
"38","제재업","09_27_03_P","3360000","336000090201400017","20140313","","01","영업/정상","1","정상","","","","","","","","","부산광역시 강서구 식만로***번길 **, (주)영미테크 (식만동)","46707","***(1종)","20200721131247","U","2020-07-23 02:40:00.0","","373922.168092197","192313.994108153","제재업","1종","제재목,파레트","1명(황선주)","330000","","영업",
"39","제재업","09_27_03_P","3360000","336000090201400018","20140313","","01","영업/정상","1","정상","","","","","","","","","부산광역시 강서구 과학산단로***번길 **-**, 한성수출포장 (지사동)","46749","***(1종)","20200731151255","U","2020-08-02 02:40:00.0","","366664","184035","제재업","1종","제재목,파레트","1명(황선경)","225000","100","영업",
"40","제재업","09_27_03_P","3360000","336000090201400019","20140314","","01","영업/정상","1","정상","","","","","0518312227","","","부산광역시 강서구 송정동 ****-*번지","부산광역시 강서구 녹산화전로 * (송정동)","46755","대일목재(1종)","20150811111815","I","2018-08-31 23:59:59.0","","370110.238690993","178321.369089884","제재업","1종","제재목등","1명(김설희)","3500","600","영업",
"41","제재업","09_27_03_P","3360000","336000090201400023","20140403","","01","영업/정상","1","정상","","","","","0518312567","","","부산광역시 강서구 송정동 ****-*","부산광역시 강서구 녹산산단***로**번길 * (송정동)","618270","(주)부갑제재소(1종)","20201118100313","U","2020-11-20 02:40:00.0","","369493.32063271","179120.674508952","제재업","1종","원목 제재목","임주성(교육수료)","20000","50","영업",
"42","제재업","09_27_03_P","3360000","336000090201400025","20140423","","01","영업/정상","1","정상","","","","","051-972-2522","","","","부산광역시 강서구 낙동북로***번길 ** (대저*동)","","(주)평강특수목(1종)","20150731154428","I","2018-08-31 23:59:59.0","","377331.974036925","192255.549135749","제재업","1종","제재목(남양재,북양재)","정동락","3305192","50","영업",
"43","제재업","09_27_03_P","3360000","336000090201500001","20150514","","01","영업/정상","1","정상","","","","","051-971-4105","","","","부산광역시 부산진구 가야대로***번길 ** (개금동)","","김주묵(1종)","20150731154757","I","2018-08-31 23:59:59.0","","383783.50704371","185431.447059694","제재업","1종","원목 플로어링보드","1명(한국임업진흥원 교육이수)","5000","352","영업",
"44","제재업","09_27_03_P","3360000","336000090201300023","20131213","","01","영업/정상","1","정상","","","","","0518316363","","","부산광역시 강서구 송정동 ****-*번지","부산광역시 강서구 녹산산단***로 * (송정동)","618819","***(1종)","20150731105501","I","2018-08-31 23:59:59.0","","369659.990965637","178312.481999126","제재업","1종","제재목","1명(조영호)","18700","300","영업",
"45","제재업","09_27_03_P","3360000","336000090201300004","20131123","","01","영업/정상","1","정상","","","","","0518311806","","","부산광역시 강서구 송정동 ****-*번지","부산광역시 강서구 녹산산단***로 ** (송정동)","618819","***(1종)","20150731173155","I","2018-08-31 23:59:59.0","","369691.396583059","178387.915201706","제재업","1종","제재목(각재)","1명(김형욱)","1200","1244","영업",
"46","제재업","09_27_03_P","3360000","336000090201600002","20160224","","01","영업/정상","1","정상","","","","","051-973-0591","","","부산광역시 강서구 송정동 ****-* B동","부산광역시 강서구 녹산산단***로**번길 **, B동 (송정동)","46755","(주)세일(1종)","20220308075422","U","2022-03-10 02:40:00.0","","","","제재업","1종","합판, 집성재","교육이수 1명","200000000","10200","영업",
"47","제재업","09_27_03_P","3360000","336000090201600008","20161227","","01","영업/정상","1","정상","","","","","0512628010","","","부산광역시 강서구 송정동 ****-**번지","부산광역시 강서구 녹산산단***로**번길 ** (송정동)","46757","***(1종)","20170630083915","I","2018-08-31 23:59:59.0","","368480.898937305","177755.915172036","제재업","1종","반목, 침목, 받침목, 방부목","1명(교육수료)","","511","영업",
"48","제재업","09_27_03_P","3360000","336000090201700002","20170224","","01","영업/정상","1","정상","","","","","0553395651","","","부산광역시 강서구 미음동 ****-*번지","부산광역시 강서구 가리새*로 ** (미음동)","","대한우드(주)(1종)","20170224151916","I","2018-08-31 23:59:59.0","","371774","183728","제재업","1종","각재, 판재","교육수료","","","영업",
"49","제재업","09_27_03_P","3360000","336000090201700004","20170524","","01","영업/정상","1","정상","","","","","0519719091","","","부산광역시 강서구 송정동 ****-*번지","부산광역시 강서구 녹산화전로 ** (송정동)","46755","***(1종)","20170524171415","I","2018-08-31 23:59:59.0","","370134.008061587","178567.136021561","제재업","1종","제재목","김정태 외 5명","","934","영업",
"50","제재업","09_27_03_P","3360000","336000090201400020","20140318","","01","영업/정상","1","정상","","","","","0519419590","","","부산광역시 강서구 죽동동 ***-**번지","부산광역시 강서구 호계로***번길 **-* (죽동동)","46708","***(1종)","20170712133226","I","2018-08-31 23:59:59.0","","372093.13219009","191075.66338755","제재업","1종","제재목등","1명","3500","294","영업",
"51","제재업","09_27_03_P","3360000","336000090201800001","20180105","","01","영업/정상","1","정상","","","","","0519417185","","","","부산광역시 강서구 가달*로**번길 ** (생곡동)","46729","유정목재(1종)","20180105112946","I","2018-08-31 23:59:59.0","","370531","183367","제재업","1종","원목","","1000","","영업",
"52","제재업","09_27_03_P","3360000","336000090201900004","20190604","","01","영업/정상","1","정상","","","","","051-973-4226","","","부산광역시 강서구 생곡동 ****-*번지","부산광역시 강서구 생곡산단*로 **, 라동 *층 (생곡동)","46729","주식회사 위시(4종)","20190604145400","I","2019-06-06 02:21:04.0","","371463.960686798","183580.726533508","제재업","4종","목탄(숯)","","400","100","영업",
"53","제재업","09_27_03_P","3360000","336000090201600001","20160224","","01","영업/정상","1","정상","","","","","051-831-5981","","","부산광역시 강서구 송정동 ****-*번지","부산광역시 강서구 녹산산업북로 *** (송정동)","46755","삼미산업(1종)","20190626155044","U","2019-06-28 02:40:00.0","","369801.414197041","179168.203944836","제재업","1종","플로어링 보드, 블록, 목재문, 목제창","교육이수(김명숙)","5000","535","영업",
"54","제재업","09_27_03_P","3360000","336000090202000001","20200109","","01","영업/정상","1","정상","","","","","051-714-5312","","","부산광역시 강서구 대저*동 ***-**번지","부산광역시 강서구 울만로 ** (대저*동)","46712","(주)우미산업(1종)","20200109160932","I","2020-01-11 00:23:25.0","","374735.117251053","187988.656051185","제재업","1종","집성재","","","400","영업",
"55","제재업","09_27_03_P","3360000","336000090202100005","20210729","","01","영업/정상","1","정상","","","","","8318888","","","부산광역시 강서구 송정동 ****-*","부산광역시 강서구 녹산산단***로 * (송정동)","46755","(주)삼림물산(4종)","20210729103834","I","2021-07-31 00:22:51.0","","369773.921627817","178314.652139373","제재업","4종","톱밥","김진섭","100","550","영업",
"56","제재업","09_27_03_P","3360000","336000090202100001","20210216","","01","영업/정상","1","정상","","","","","051-831-3051","","","부산광역시 강서구 송정동 ****-*","부산광역시 강서구 녹산화전로 ** (송정동)","46755","동호목재산업(주)(1종)","20210216104915","I","2021-02-18 00:23:22.0","","370118.800704518","178969.735412958","제재업","1종","제재목","","9000","300","영업",
"57","제재업","09_27_03_P","3380000","338000090201700001","20170403","","01","영업/정상","1","정상","","","","","051-758-2231","","","","부산광역시 수영구 무학로**번길 ** (민락동)","","주식회사 도시(1종)","20170403154835","I","2018-08-31 23:59:59.0","","393064.330868227","186991.147723143","제재업","1종","판재","1","200","200","영업",
"58","제재업","09_27_03_P","3390000","339000090201400002","20140220","","01","영업/정상","1","정상","","","","","051-302-7401","","","","부산광역시 사상구 사상로***번길 ** (덕포동)","","세원목재(1종)","20140414180227","I","2018-08-31 23:59:59.0","","380645.047792764","188251.140313279","제재업","1종","각재 등","1명","1036","199","영업",
"59","제재업","09_27_03_P","3390000","339000090201400008","20140310","","01","영업/정상","1","정상","","","","","051-327-1611","","","","부산광역시 사상구 대동로***번길 ** (감전동)","","(주)동림목재(1종)","20140310132103","I","2018-08-31 23:59:59.0","","380631.252889648","185411.598393695","제재업","1종","각재 등","1명","4000","50","영업",
"60","제재업","09_27_03_P","3390000","339000090201400010","20140313","","01","영업/정상","1","정상","","","","","051-310-1652","","","","부산광역시 사상구 사상로***번길 ** (덕포동)","","(주)두양목재(1종)","20211229113020","U","2022-01-01 02:40:00.0","","380706.657962615","188402.235684283","제재업","1종","미송 등","","670","75","영업",
"61","제재업","09_27_03_P","3390000","339000090201400014","20140331","","01","영업/정상","1","정상","","","","","051-301-0199","","","","부산광역시 사상구 사상로***번길 ** (모라동)","","한창목재(1종)","20140331143320","I","2018-08-31 23:59:59.0","","380695.349375183","188966.846977723","제재업","1종","판재, 각재, 파렛트","","3600","842","영업",
"62","제재업","09_27_03_P","3390000","339000090201400016","20140602","","01","영업/정상","1","정상","","","","","051-315-1619","","","","부산광역시 사상구 낙동대로 *** (감전동)","","원일목재(1종)","20140602170112","I","2018-08-31 23:59:59.0","","379669.082866394","183529.113296877","제재업","1종","건축용, 인테리어용, 포장용목재","1명","","30","영업",
"63","제재업","09_27_03_P","3390000","339000090201700001","20170421","","01","영업/정상","1","정상","","","","","051-611-6273","","","","부산광역시 사상구 대동로 ***, *층 *호 (감전동, 벽산디지털밸리)","","(주)수림디앤씨(1종)","20211213160733","U","2021-12-15 02:40:00.0","","380981.41459300000","186059.08147100000","제재업","1종","제재목(목재데크)","교육 이수","0","130","영업",
"64","제재업","09_27_03_P","3390000","339000090201400006","20140225","","01","영업/정상","1","정상","","","","","","","","","부산광역시 사상구 사상로***번길 ** (모라동)","46924","***(1종)","20170802092206","I","2018-08-31 23:59:59.0","","380814.604122313","189058.661787234","제재업","1종","제재목(소활재,각재,판재)","1명","1600","135","영업",
"65","제재업","09_27_03_P","3400000","340000090201400001","20140422","","01","영업/정상","1","정상","","","","","051-333-9991","","","","부산광역시 기장군 정관면 산단*로 **-**","","대성에코텍(4종)","20140423152639","I","2018-08-31 23:59:59.0","","401266.86323700000","204812.05441500000","제재업","4종","우드칩, BIO-SRF","목재생산업 등록 교육이수1명","30000","208","영업",
"66","제재업","09_27_03_P","3400000","340000090202000014","20201014","","01","영업/정상","1","정상","","","","","051-996-7773","","","부산광역시 기장군 정관읍 매학리 ***-**","부산광역시 기장군 정관읍 매곡길 **","46018","정석우드텍(1종)","20220624180608","U","2022-06-26 02:40:00.0","","397553.652369772","204205.798524297","제재업","1종","","","","","영업",
