"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","자본금","거래처",
"42","석유판매업","09_28_08_P","3260000","1976326004901200001","19760406","","03","폐업","03","폐지","","","","","051 243 9244","","","부산광역시 서구 동대신동2가 304","","","유진상회","20060830000000","I","2018-08-31 23:59:59.0","일반판매소","","","","",
"43","석유판매업","09_28_08_P","3260000","1976326004901200003","19760331","","03","폐업","03","폐지","","","","","051 242 2353","","","부산광역시 서구 충무동1가 41-26","","","충무유업사","20060915000000","I","2018-08-31 23:59:59.0","일반판매소","","","","",
"44","석유판매업","09_28_08_P","3260000","1976326004901200004","19760407","","03","폐업","03","폐지","20220608","","","","051 243 9494","","","부산광역시 서구 남부민동 437-7","부산광역시 서구 천마로77번길 10 (남부민동)","","진양석유","20220608152934","U","2022-06-10 02:40:00.0","일반판매소","384106.853506903","177934.51658277","","",
"45","석유판매업","09_28_08_P","3260000","1976326004901200007","19760406","","03","폐업","03","폐지","20110831","","","","051 248 8122","","","부산광역시 서구 동대신동3가 258-107","","","삼성석유","20110831182006","I","2018-08-31 23:59:59.0","일반판매소","","","","",
"46","석유판매업","09_28_08_P","3260000","1992326004901500006","19921229","","03","폐업","03","폐지","20210823","","","","051 2546077","222","","부산광역시 서구 동대신동3가 13-41","부산광역시 서구 대신공원로 1 (동대신동3가)","","보배주유소","20210824102206","U","2021-08-26 02:40:00.0","주유소","383741.533730196","181731.196328301","","",
"47","석유판매업","09_28_08_P","3260000","1993326004901500007","19931126","","03","폐업","03","폐지","20180910","","","","051 2562171","938","","부산광역시 서구 동대신동1가 181","부산광역시 서구 보수대로 169 (동대신동1가)","","옥산주유소","20180910094730","U","2018-09-10 23:59:59.0","주유소","384257.687140844","180920.413448469","","",
"48","석유판매업","09_28_08_P","3260000","1993326004901500008","19931126","","03","폐업","03","폐지","20150605","","","","051 2546077","721","","부산광역시 서구 서대신동1가 51-5","부산광역시 서구 구덕로 277 (서대신동1가)","","구덕고속주유소","20150605175555","I","2018-08-31 23:59:59.0","주유소","383943.801640735","180723.542007343","","",
"49","석유판매업","09_28_08_P","3260000","1994326004901500010","19940110","","03","폐업","03","폐지","20150731","","","","051 257 9555","775","","부산광역시 서구 서대신동3가 96-15","","","동아주유소","20150731101801","I","2018-08-31 23:59:59.0","주유소","","","","",
"50","석유판매업","09_28_08_P","3260000","1991326004901500011","19971211","","03","폐업","03","폐지","20210708","","","","051 253 3118","999.87","","부산광역시 서구 암남동 633-16","부산광역시 서구 원양로 208 (암남동)","","고려주유소","20210708134150","U","2021-07-10 02:40:00.0","주유소","383163.393091192","176374.892542606","","",
"51","석유판매업","09_28_08_P","3260000","1992326004901200014","19921120","","03","폐업","03","폐지","20190404","","","","051 255 0716","","","부산광역시 서구 서대신동2가 468","부산광역시 서구 대티로134번길 16 (서대신동2가)","","유공석유","20190404172803","U","2019-04-06 02:40:00.0","일반판매소","383189.222408874","180901.417928678","","",
"52","석유판매업","09_28_08_P","3260000","1992326004901200015","19921215","","03","폐업","03","폐지","20140423","","","","051 241 1115","","","부산광역시 서구 암남동 334-11","","","삼일석유(주)","20140423165318","I","2018-08-31 23:59:59.0","일반판매소","","","","",
"53","석유판매업","09_28_08_P","3260000","1996326004901200019","19961121","","03","폐업","03","폐지","","","","","051 242 0403","","","부산광역시 서구 초장동 91-29","","","동남석유","20070918144225","I","2018-08-31 23:59:59.0","일반판매소","","","","",
"54","석유판매업","09_28_08_P","3260000","1999326004901200021","19991123","","03","폐업","03","폐지","20181106","","","","051242 2863","","","부산광역시 서구 토성동5가 30-5","","","동아석유상사","20181106114856","U","2018-11-08 02:37:33.0","일반판매소","","","","",
"55","석유판매업","09_28_08_P","3260000","2000326004901200022","20000523","","03","폐업","03","폐지","20151221","","","","051247 3261","","","부산광역시 서구 동대신동1가 305-16","","","동일석유","20151221174628","I","2018-08-31 23:59:59.0","일반판매소","","","","",
"56","석유판매업","09_28_08_P","3260000","2002326004901200025","20020928","","03","폐업","03","폐지","20090928","","","","051244 2727","","","부산광역시 서구 동대신동1가 330-4","부산광역시 서구 보수대로 135  (동대신동1가)","","SK부일석유상사","20090928143109","I","2018-08-31 23:59:59.0","일반판매소","384368.23041800000","180926.35627300000","","",
"57","석유판매업","09_28_08_P","3260000","2008326006601500001","20080708","","01","영업/정상","07","영업개시","","","","","051 243 6661","983","","부산광역시 서구 암남동 645-28","부산광역시 서구 원양로 260 (암남동)","49273","(주)한국페트로스타2주유소","20220630131009","U","2022-07-02 02:40:00.0","주유소","382943.380845979","176867.483012933","","",
"58","석유판매업","09_28_08_P","3260000","2008326006601500002","20080806","","01","영업/정상","07","영업개시","","","","","051 242 8144","324","","부산광역시 서구 동대신동2가 206-8","부산광역시 서구 대영로 91 (동대신동2가)","49216","(주)디시에너지 대신지점","20220630130817","U","2022-07-02 02:40:00.0","주유소","384187.653144136","181014.185272408","","",
"59","석유판매업","09_28_08_P","3260000","2009326006601500001","20090507","","01","영업/정상","07","영업개시","","","","","051 231 5145","840","","부산광역시 서구 암남동 95-9","부산광역시 서구 충무대로 108 (암남동)","49264","남항대교주유소","20220614100107","U","2022-06-16 02:40:00.0","주유소","384512.246020863","177598.362605247","","",
"60","석유판매업","09_28_08_P","3260000","2009326007001500001","20090911","","01","영업/정상","07","영업개시","","","","","051-256-1070","2000","","부산광역시 서구 남부민동 689","부산광역시 서구 충무대로 240 (남부민동)","49255","극동유화(주) 우양냉장주유소","20220628154305","U","2022-06-30 02:40:00.0","주유소","384537.31662951","178862.732612704","","",
"61","석유판매업","09_28_08_P","3260000","2009326007001500002","20091116","","01","영업/정상","07","영업개시","","","","","051 243 0444","841","","부산광역시 서구 동대신동3가 396","부산광역시 서구 보수대로 220 (동대신동3가)","49213","(주)디시에너지","20210412112818","U","2021-04-14 02:40:00.0","주유소","384064.907524807","181370.822586813","","",
"62","석유판매업","09_28_08_P","3270000","2002327001401200066","20021227","","01","영업/정상","01","신규등록","","","","","051 441 2438","","","부산광역시 동구 수정동 487-20","부산광역시 동구 망양로 813-1 (수정동)","","동남제일석유","20210124172121","U","2021-01-26 02:40:00.0","일반판매소","386214.110203463","183664.296340073","","",
"63","석유판매업","09_28_08_P","3270000","2005327005801500001","20050105","","01","영업/정상","01","신규등록","","","","","051 6465564","1671.07","","부산광역시 동구 좌천동 68-876,  68-877","부산광역시 동구 성남로 42 (좌천동)","","대양산업(주) 대박주유소","20210131190246","U","2021-02-02 02:40:00.0","주유소","387219.986161724","183193.536533574","","",
"64","석유판매업","09_28_08_P","3270000","2010327007701500001","20100106","","01","영업/정상","01","신규등록","","","","","051 719 5151","2610","","부산광역시 동구 좌천동 68-1057","부산광역시 동구 충장대로 305 (좌천동)","","씨제이대한통운(주) 부산주유소","20220426130604","U","2022-04-28 02:40:00.0","주유소","387153.861349384","182757.162903634","","",
"65","석유판매업","09_28_08_P","3270000","1995327001401200028","19950904","","01","영업/정상","01","신규등록","","","","20140925","051 635 6660","","","부산광역시 동구 범일동 1389-103","부산광역시 동구 증산로 125 (범일동)","","형제석유","20210216111419","U","2021-02-18 02:40:00.0","일반판매소","387134.416304963","183964.914683917","","",
"66","석유판매업","09_28_08_P","3270000","1976327001401500002","19760513","","01","영업/정상","01","신규등록","","","","","051-646-5564","1282.03","","부산광역시 동구 범일동 252-1908 (주)대양씨앤씨 직영주유소","부산광역시 동구 성남로 74 (주)대양씨앤씨 직영주유소 (범일동)","48755","주식회사 대양씨앤씨 직영주유소","20210714101417","U","2021-07-16 02:40:00.0","주유소","387451.729068296","183258.22506571","","",
"67","석유판매업","09_28_08_P","3270000","1976327001401500004","19760513","","01","영업/정상","01","신규등록","","","","20120806","051 6304500","1646.3","","부산광역시 동구 범일동 828-8","부산광역시 동구 자성로 127 (범일동)","","동방석유(주) 형제주유소","20200212153132","U","2020-02-14 02:40:00.0","주유소","388052.153676933","183986.767055764","","",
"68","석유판매업","09_28_08_P","3270000","1977327001401200002","19770124","","01","영업/정상","01","신규등록","","","","","051 468 2842","","","부산광역시 동구 초량동 692","부산광역시 동구 고관로29번길 89 (초량동)","","태창연료","20210124160303","U","2021-01-26 02:40:00.0","일반판매소","385700.51935503","182384.848603228","","",
"69","석유판매업","09_28_08_P","3270000","1985327001401500005","19851114","","01","영업/정상","01","신규등록","","","","","051 469 3879","1289.5","","부산광역시 동구 초량동 1185-7","부산광역시 동구 충장대로 121 (초량동)","","지에스칼텍스(주) 해안주유소","20210727154404","U","2021-07-29 02:40:00.0","주유소","386140.472040169","181302.3925896","","",
"70","석유판매업","09_28_08_P","3270000","1996327001401200003","19960731","","01","영업/정상","01","신규등록","","","","","464-3244  635-2809","","","부산광역시 동구 수정동 227-5","부산광역시 동구 중앙대로389번길 19 (수정동)","","남북석유상사","20210131185612","U","2021-02-02 02:40:00.0","일반판매소","386682.640986588","183176.751727865","","",
"71","석유판매업","09_28_08_P","3270000","1998327001401200043","19981130","","01","영업/정상","01","신규등록","","","","","051 636 7444","","","부산광역시 동구 범일동 1412-44","부산광역시 동구 증산서로46번길 3 (범일동)","","부산석유","20210131185916","U","2021-02-02 02:40:00.0","일반판매소","386766.371297157","184045.423731443","","",
"72","석유판매업","09_28_08_P","3270000","1984327001401200006","19840227","","01","영업/정상","01","신규등록","","","","","051  4624444","","","부산광역시 동구 수정동 449-21","부산광역시 동구 망양로 817 (수정동)","","동창석유","20210124171016","U","2021-01-26 02:40:00.0","일반판매소","386250.530964413","183687.258954214","","",
"73","석유판매업","09_28_08_P","3270000","1976327001401500001","19760513","","01","영업/정상","01","신규등록","","","","","051 635 9698","568.6","","부산광역시 동구 좌천동 1152-2","부산광역시 동구 충장대로 281 (좌천동)","","부산벙커앤오일(주) 청구주유소","20211209141830","U","2021-12-11 02:40:00.0","주유소","386907.537904871","182714.133649006","","",
"74","석유판매업","09_28_08_P","3270000","1986327001401500003","19860205","","01","영업/정상","01","신규등록","","20121101","20121130","20121227","051 644 2157","1548.2","","부산광역시 동구 좌천동 67-6","부산광역시 동구 중앙대로 414 (좌천동)","","비에스에너지(주) 구도일부산진","20210127133629","U","2021-01-29 02:40:00.0","주유소","386945.429086302","183273.922059037","","",
"75","석유판매업","09_28_08_P","3270000","1981327001401200010","19811013","","01","영업/정상","01","신규등록","","","","","051 468 3333","","","부산광역시 동구 초량동 647-8","부산광역시 동구 홍곡로 29 (초량동)","","우정석유상사","20220623162853","U","2022-06-25 02:40:00.0","일반판매소","385820.392155991","182292.192669135","","",
"76","석유판매업","09_28_08_P","3270000","2000327001401200060","20001005","","01","영업/정상","01","신규등록","","","","","051 469 4300","","","부산광역시 동구 초량동 829-2","부산광역시 동구 초량로 85-1 (초량동)","","세운석유","20210131190129","U","2021-02-02 02:40:00.0","일반판매소","385307.231175339","181973.739918221","","",
"77","석유판매업","09_28_08_P","3270000","1993327001401500008","19930707","","01","영업/정상","01","신규등록","","","","","051  4661001","1375.9","","부산광역시 동구 초량동 1211-6,8,9,11","부산광역시 동구 중앙대로 168 (초량동)","","(주)삼현석유 천일주유소","20210126103514","U","2021-01-28 02:40:00.0","주유소","385873.31028200000","181463.05818800000","","",
"78","석유판매업","09_28_08_P","3270000","1987327001401500006","19870829","","01","영업/정상","01","신규등록","","","","","051 469 5181","994.7","","부산광역시 동구 초량동 1158-2","부산광역시 동구 중앙대로 302 (초량동)","","동방석유(주) 초량주유소","20180724152709","I","2018-08-31 23:59:59.0","주유소","386305.281803329","182397.453283699","","",
"79","석유판매업","09_28_08_P","3270000","1988327001401500007","19880222","","01","영업/정상","01","신규등록","","","","","051-751-9338","473","","부산광역시 동구 초량동 1149-1","부산광역시 동구 중앙대로 352 (초량동)","","동구SK주유소","20201224102749","U","2020-12-26 02:40:00.0","주유소","386561.617018088","182791.787434513","","",
"80","석유판매업","09_28_08_P","3270000","2000327001401200053","20000124","","01","영업/정상","01","신규등록","","","","","051 466 0910","","","부산광역시 동구 초량동 811-50","부산광역시 동구 초량로 51-1 (초량동)","","지성석유","20210124164111","U","2021-01-26 02:40:00.0","일반판매소","385618.289742305","181977.722837553","","",
"81","석유판매업","09_28_08_P","3270000","1993327001401200026","19930625","","01","영업/정상","01","신규등록","","","","","051 633 5665","","","부산광역시 동구 좌천동 868","부산광역시 동구 증산로 18 (좌천동)","","남경석유","20180703145942","I","2018-08-31 23:59:59.0","일반판매소","386545.412501179","183662.668616448","","",
"82","석유판매업","09_28_08_P","3270000","1997327001401200036","19970311","","04","취소/말소/만료/정지/중지","02","등록취소","","","","","051 637 1100","","","부산광역시 동구 범일동 68","부산광역시 동구 범곡로 22  (범일동)","","유창석유","20070424000000","I","2018-08-31 23:59:59.0","일반판매소","387313.266561258","184262.981040208","","",
"83","석유판매업","09_28_08_P","3270000","1985327005801500001","19851114","","03","폐업","03","폐지","","","","","051 4693879","1289.5","","부산광역시 동구 초량동 1185-7","부산광역시 동구 충장대로 121  (초량동)","","해안주유소","20080828100349","I","2018-08-31 23:59:59.0","주유소","386140.472040169","181302.3925896","","",
"84","석유판매업","09_28_08_P","3270000","2014327008601200001","20140313","","03","폐업","03","폐지","20160314","","","","","110","","부산광역시 동구 범일동 1492-136","부산광역시 동구 범내로 15 (범일동)","","범내석유","20210623135243","U","2021-06-25 02:40:00.0","일반판매소","386857.133391928","184530.986804339","","",
"85","석유판매업","09_28_08_P","3270000","2001327001401200063","20011122","","03","폐업","03","폐지","","","","","051 465 7542","","","부산광역시 동구 초량동 586-5","부산광역시 동구 대영로239번길 51  (초량동)","","반도석유","20060126000000","I","2018-08-31 23:59:59.0","일반판매소","385708.201959278","181377.307160817","","",
"86","석유판매업","09_28_08_P","3270000","2003327005801200001","20030908","","03","폐업","03","폐지","20121116","","","","051 442 5149","","","부산광역시 동구 수정동 487-43 4통5반","부산광역시 동구 진성로 77 (수정동)","","양지석유","20121116161103","I","2018-08-31 23:59:59.0","일반판매소","386259.745685731","183603.293408843","","",
"87","석유판매업","09_28_08_P","3270000","2002327001401200064","20020730","","03","폐업","03","폐지","20090522","","","","051 633 5774","","","부산광역시 동구 범일동 1484-2","부산광역시 동구 망양로 954  (범일동)","","장인장모석유","20090525113922","I","2018-08-31 23:59:59.0","일반판매소","387058.552480146","184465.11382571","","",
"88","석유판매업","09_28_08_P","3270000","2002327001401200065","20021126","","03","폐업","03","폐지","20140707","","","","051 635 6660","","","부산광역시 동구 범일동 1526-42","부산광역시 동구 안창로 5 (범일동)","","형제석유","20140725114331","I","2018-08-31 23:59:59.0","일반판매소","386537.047402593","184741.982813339","","",
