"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","문화체육업종명","준공일자","개관일자","설립운영주체구분명","박물관미술관종류명","박물관미술관유형명","폐관일자","폐관사유","자본금","소요자금","법인설립목적","허가조건","법인해산일자","법인명",
"11","문화예술법인","03_08_03_P","6260000","A0100626000020090047","20091203","","01","영업/정상","1","","","","","","","","","부산광역시 연제구 거제동 457번지 10호 이안빌딩10층","부산광역시 연제구 거제천로 89 (거제동,이안빌딩10층)","","(사)청음회","20091203180030","I","2018-08-31 23:59:59.0","","388767.180650409","188975.241231053","행정(재단)","","","","","","","","","","음악으로 건전한 청소년 문화 조성","","","(사)청음회",
"12","문화예술법인","03_08_03_P","6260000","A0100626000020090048","20091207","","01","영업/정상","1","","","","","","","","","부산광역시 부산진구 부전동 94번지 1호","부산광역시 부산진구 중앙대로 762 (부전동)","","숭조원","20120202174853","I","2018-08-31 23:59:59.0","","387752.850137339","186489.964081701","종교(사단)","","","","","","","","","","경천숭조 신앙에 입각하여 충효예, 정심, 정행, 정동의 생활화로 정법의 광명세계 구현","","","숭조원",
"13","문화예술법인","03_08_03_P","6260000","A0100626000020090049","20091211","","01","영업/정상","1","","","","","","","","","부산광역시 부산진구 전포동 660번지 1호","부산광역시 연제구 고분로13번길 5-16, 3층 (연산동)","","(사)한서미술협회","20190722133517","U","2019-07-24 02:40:00.0","","387869.134317928","186381.28184674","예술(사단)","","","","","","","","","","한서미술협회 회원전 개최등","","","(사)한서미술협회",
"14","문화예술법인","03_08_03_P","6260000","A0100626000020090050","20091217","","01","영업/정상","1","","","","","","","","","부산광역시 금정구 금사동 144번지 15호","부산광역시 금정구 반송로 440-6 (금사동)","","대승불교회","20091217114305","I","2018-08-31 23:59:59.0","","392264.267404685","192625.368739894","종교(사단)","","","","","","","","","","대승불교 사상을 선양하여 불교도들의 수행 및 연구와 포교능력 향상","","","대승불교회",
"15","문화예술법인","03_08_03_P","6260000","A0100626000020100003","20100108","","01","영업/정상","1","","","","","","","","","부산광역시 동구 초량동 392번지 3호","부산광역시 동구 중앙대로221번길 13 (초량동)","","대한예수교장로회합동선교총회","20100108150602","I","2018-08-31 23:59:59.0","","385861.48252078","181676.448049432","종교(사단)","","","","","","","","","","하나님 나라의 확장 사업을 위해 종교교육, 종교의료선교 및 기독교문화 창달","","","대한예수교장로회합동선교총회",
"16","문화예술법인","03_08_03_P","6260000","A0100626000020100005","20100128","20210322","01","영업/정상","1","","","","","","","","","부산광역시 금정구 남산동 105번지 7호","경상남도 창녕군 유어면 거마길 17-4","","(사)본우도 원효 비기전승관(2021.3.22.자 경상남도로 이관됨)","20210323175423","U","2021-03-25 02:40:00.0","","390329.919413228","198350.226707607","문화(사단)","","","","","","","","","","효와 덕의 전통문화와 정신을 계승, 발전시켜 정신문화 창달에 이바지","","20210322","(사)본우도 원효 비기전승관(2021.3.22.자 경상남도로 이관됨)",
"17","문화예술법인","03_08_03_P","6260000","A0100626000020100009","20100318","","01","영업/정상","1","","","","","","0515235094","","","부산광역시 동래구 명장동 300번지 73호 3층","부산광역시 동래구 명서로 154 (명장동,3층)","","사단법인 아지무스 오페라단","20210412201355","U","2021-04-14 02:40:00.0","","391380.325908837","192025.136490442","예술(사단)","","","","","","","","","","교육 및 공연을 통한 지역문화예술 활성화 기여","붙임","","사단법인 아지무스 오페라단",
"18","문화예술법인","03_08_03_P","6260000","A0100626000020160023","20160812","","01","영업/정상","1","","","","","","0516076273","0","","부산광역시 남구 대연동 848번지 4호","부산광역시 남구 유엔평화로76번길 1 (대연동)","","재단법인 부산문화회관","20210119212559","U","2021-01-21 02:40:00.0","","390782.920049317","182920.171242687","문화(재단)","","","","","","","","","","부산광역시민을 위한 문화예술의 향수 기회를 확대하고 문화창달에 기여할 수 있는 문화예술 공간의 조성 및 운영 등을 통해 시민 문화복지 구현","법인설립허가증 뒷면 허가조건에 따름","","재단법인 부산문화회관",
"19","문화예술법인","03_08_03_P","6260000","A0100626000020160024","20160831","","01","영업/정상","1","","","","","","0516223969","365.5","","부산광역시 남구 용당동 580번지 10호 용당창조아파트상가 301호","부산광역시 남구 유엔평화로 136-1, 상가301호 (대연동,창조아파트)","","사단법인 法乘담마야나선원","20201118092619","U","2020-11-20 02:40:00.0","","390990.593555931","182562.877622074","종교(사단)","","","","","","","","","","부처님의 가르침을 부처님 생존 당시의 원래 모습대로 한국에 전달 및 계승하여 부처님의 가르침인 계, 정, 혜를 올바르게 배우고
익히고자 하며, 잘못된 사견에서 벗어나고 변화하는 삶에서 마음의 평정과 지혜를 계발하여 모든 괴로움을 소멸시키고자 하며,
자애로운 마음을 지녀 살아있는 모든 중생과 조화로움, 이익을 갖고자 함.","비영리법인 설립허가 알림 공문 및 설립허가증 뒷면에 기재
※ 대표자가 미얀마 국적의 외국인 승려(Ashin Pandicca, 710415-*******)로서, 대표자 주민검색이 되지 않아 사무국장 박재홍을 대표자란에 기재함.","","사단법인 法乘담마야나선원",
"20","문화예술법인","03_08_03_P","6260000","A0100626000020160026","19990930","","01","영업/정상","1","","","","","","0513169111","","","부산광역시 사상구 학장동 288번지 12호 다누림센터","부산광역시 사상구 가야대로196번길 51, 2층 (학장동)","","사단법인 사상문화원","20210503110714","U","2021-05-05 02:40:00.0","","381704.216984208","184957.197796515","문화(사단)","","","","","","","","","","사상지역 문화진흥을 위한 지역문화사업 수행","설립허가증 뒷면에 기재","","사단법인 사상문화원",
"21","문화예술법인","03_08_03_P","6260000","A0100626000020160029","20161014","","01","영업/정상","1","","","","","","","","","부산광역시 북구 구포동 700번지 54호","부산광역시 북구 시랑로 9-1 (구포동)","","(사)국제전통문화예술진흥회","20161014152811","I","2018-08-31 23:59:59.0","","382469.552222546","191325.19915572","문화재(사단)","","","","","","","","","","부산시에 산재되어 있는 토속문화 및 전통문화예술을 발굴&#8228;원형보존&#8228;육성하여 조사, 연구, 계승 발전시키고 한국 고유의 민속문화 및 토속&#8228;문화&#8228;민속&#8228;무속 관련 각종 공연 행사를 통해 국제 전통 문화와 교류할 기회를 발굴하여 원형보존육성행사를 세계적으로 전파","","","(사)국제전통문화예술진흥회",
"22","문화예술법인","03_08_03_P","6260000","A0100626000020160031","20161019","","01","영업/정상","1","","","","","","0517405093","","","부산광역시 해운대구 우동 760번지 3호 오션타워 2006호","부산광역시 해운대구 해운대해변로 203, 2006호 (우동,오션타워)","","사단법인 아시아춤문화연구소","20161019143637","I","2018-08-31 23:59:59.0","","396180.621244719","186522.35047527","예술(사단)","","","","","","","","","","아시아의 민족춤을 발굴&#8228;계승&#8228;발전시키고 국내 및 전 세계에 널리 보급하여 아시아 무용예술의 우수성을 알리며, 아시아 무용의 학술, 교육 사업을 통하여 문화콘텐츠를 개발하고, 문화예술의 소외계층 및 다문화가정을 위한 춤문화 복지 프로그램을 개발&#8228;보급하며, 아시아 각국 간의 문화교류와 공연예술 사업을 수행하여 춤 예술의 저변 확대와 세계화에 적극 노력함으로써 아시아 무용예술의 발전에 기여","비영리법인 설립허가증 뒷면에 기재","","사단법인 아시아춤문화연구소",
"23","문화예술법인","03_08_03_P","6260000","A0100626000020160032","20161021","","01","영업/정상","1","","","","","","","","","부산광역시 동래구 온천동 397번지 27호","부산광역시 동래구 금강로 25 (온천동)","","사단법인 불일세계 조계종","20180625170048","I","2018-08-31 23:59:59.0","","388755.895764126","192405.734825102","종교(사단)","","","","","","","","","","석가세존의 자리이타 각행 원만한 근본교리를 봉체하며, 상구보리 하화중생하며, 전법도생을 목적으로 함.","비영리법인 설립허가증 뒷면 기재","","사단법인 불일세계 조계종",
"24","문화예술법인","03_08_03_P","6260000","A0100626000020160034","20161028","","01","영업/정상","1","","","","","","","","","부산광역시 금정구 구서동 84번지 1호","부산광역시 금정구 금정로237번길 20-0 (구서동)","","(사)부산문화재기술원","20180130132902","I","2018-08-31 23:59:59.0","","390320.731905369","196135.679226719","문화재(사단)","","","","","","","","","","부산광역시 지역의 문화재를 보호하고 문화재 보수와 보존방안 등을 연구하여 문화재의 가치를 높이고, 문화재의 활용방안을 강구함으로서, 선조들의 문화유산인 문화재를 후대에 온전히 물려주기 위한 운동, 교육 등 공익적 목적을 실현함","","","(사)부산문화재기술원",
"25","문화예술법인","03_08_03_P","6260000","A0100626000020160035","20161125","","01","영업/정상","1","","","","","","05174193876","","","부산광역시 해운대구 우동 1468번지 1509호","부산광역시 해운대구 센텀서로 30, 15층 09호 (우동,미래네트워크)","","부산관광미래네트워크","20161125171957","I","2018-08-31 23:59:59.0","","393810.868918246","187968.239406246","컨텐츠(사단)","","","","","","","","","","미래 관광예측을 통한 지속가능한 관광성장에 필요한 관련정책의 발굴, 전략수립, 통계의 생성과 연구개발 및 교육활동을 수행하여 관광과 MICE(이하 마이스) 분야 산업에 대한 국민 이해 증진과 글로벌 관광문화 확산을 위한 인적&#8231;물적&#8231;시스템적 네트워크 구축을 통한 선진화된 관광한국의 실현에 기여함을 목적으로 함","해당 법인이 실제활동에 있어서 영리를 추구하거나 공익을 해하는 경우에는 민법 제38조에 의해 취소할 수 있음
     * 제38조(법인의 설립허가의 취소) 법인이 목적 이외의 사업을 하거나 설립허가의 조건에 위반하거나 기타 공익을 해하는 행위를 한 때에는 주무관청은 그 허가를 취소할 수 있다.","","부산관광미래네트워크",
"26","문화예술법인","03_08_03_P","6260000","A0100626000020160036","20161126","","01","영업/정상","1","","","","","","","","","부산광역시 동래구 명장동 461번지 55호 금불암","부산광역시 동래구 명장로63번길 90-25 (명장동)","","사단법인 대한불교법계종","20210209113515","U","2021-02-11 02:40:00.0","","391876.08287424","191872.248565833","종교(사단)","","","","","","","","","","부처님 탄신과 호국선사를 추모하고 내고장 발전을 기원함.","비영리법인 실럽허가증 뒷면에 기재","","사단법인 대한불교법계종",
"27","문화예술법인","03_08_03_P","6260000","A0100626000020160037","20161130","","01","영업/정상","1","","","","","","07046395196","","","부산광역시 남구 대연동 76번지 5호 현대오피스텔 1010호","부산광역시 남구 수영로 282, 1010호 (대연동,현대오피스텔)","","사단법인 글로벌리더십협회","20161130093343","I","2018-08-31 23:59:59.0","","391096.02717753","183868.728564762","종교(사단)","","","","","","","","","","기독교 정신에 입각한 리더십 코칭을 통해 국가와 사회 그리고 건강한 개인 및 가정을 세우는 데 기여함.","비영리법인 설립허가증 뒷면에 기재","","사단법인 글로벌리더십협회",
"28","문화예술법인","03_08_03_P","6260000","A0100626000020160038","20161130","","01","영업/정상","1","","","","","","0516346069","","","부산광역시 동구 좌천동 768번지 1호","부산광역시 동구 정공단로17번길 17, 좌천동동 (좌천동)","","사단법인 부산국제선교회","20200114132003","U","2020-01-16 02:40:00.0","","387038.502029804","183669.042393093","종교(사단)","","","","","","","","","","국제선교를 시행하며, 국제선교 기구와의 유대를 강화하고 교회와 성도 상호간의 선교를 위한 친교를 목적으로 함.","비영리법인 설립허가증 뒷면에 기재","","사단법인 부산국제선교회",
"29","문화예술법인","03_08_03_P","6260000","A0100626000020160039","20161201","","01","영업/정상","1","","","","","","0516322400","","","부산광역시 남구 대연동 603번지 7호 부산예술회관 402호","부산광역시 남구 용소로 78, 402호 (대연동,부산예술회관)","","사단법인 부산미술협회","20211007153835","U","2021-10-09 02:40:00.0","","391578.093593372","183311.244479953","예술(사단)","","","","","","","","0","","부산에 연고가 있는 미술인들이 모여, 부산지역 미술문화의 향상 발전을 도모하고 회원의 권익을 옹호하며, 회원 상호간의 친목 도모를 목적으로 함.","비영리법인 설립허가증 뒷면에 기재","","사단법인 부산미술협회",
"30","문화예술법인","03_08_03_P","6260000","A0100626000020160040","20161229","","01","영업/정상","1","","","","","","","","","부산광역시 해운대구 우동 1454번지 0호 벽산이센텀클래스원2차 610-2호","부산광역시 해운대구 센텀동로 71-0, 6층 610-2호 (우동,벽산이센텀클래스원2차)","","사단법인 한국문화콘텐츠협회","20200521142940","U","2020-05-23 02:40:00.0","","393790.344709358","188235.889521484","예술(사단)","","","","","","","","","","청년문화와 거리문화 공연을 체계적으로 관리하여 하나의 독립된 문화예술로 존속 및 발전함.","비영리법인 설립허가증 뒷면에 기재","","사단법인 한국문화콘텐츠협회",
"31","문화예술법인","03_08_03_P","6260000","A0100626000020160041","20161229","","01","영업/정상","1","","","","","","0516343434","","","부산광역시 남구 대연동 1732번지 5호","부산광역시 남구 유엔평화로13번길 26 (대연동)","","사단법인 부산 플로리스트 협회","20161229160259","I","2018-08-31 23:59:59.0","","390743.635178819","183625.209518545","문화(사단)","","","","","","","","","","지역경제 활성화 및 일자리 창출, 문화의 도시 부산 속에 꽃예술 발전, 꽃예술과 함께 하는 시민 정서 함양 구축","비영리법인 설립허가증 뒷면에 기재","","사단법인 부산 플로리스트 협회",
"32","문화예술법인","03_08_03_P","6260000","A0100626000020160042","20161229","","01","영업/정상","1","","","","","","0514042100","","","부산광역시 영도구 동삼동 323번지 194호 미룡사","부산광역시 영도구 동삼남로 11 (동삼동)","","사단법인 대한불교 용화선문","20201231084722","U","2021-01-02 02:40:00.0","","388442.466133085","177342.399553393","종교(사단)","","","","","","","","","","대승불교의 ‘상구보리 하화중생’의 이념을 실천하기 위하여, 세계적인 불교수행 교육도량과 품격 있는 불교인의 삶을 위한 제반 관련시설의 건립과 운영 및 대승불교 운동을 통하여 사회 전반의 영역에서 부처님의 정법이 구현될 수 있도록 함.","비영리법인 설립허가증 뒷면에 기재","","사단법인 대한불교 용화선문",
"33","문화예술법인","03_08_03_P","6260000","A0100626000020170001","20170119","","01","영업/정상","1","","","","","","","","","부산광역시 부산진구 부전동 170번지 1호","부산광역시 부산진구 동천로 71-0, 7층 (부전동)","","사단법인 평화누리 아트 컴퍼니","20181204104220","U","2018-12-06 02:40:00.0","","387831.070710887","185937.145756853","예술(사단)","","","","","","","","","","지역문화 발전에 뜻을 두고 다양한 지역문화 콘텐츠를 연구하고 개발하여, 지역의 주인 의식을 가지고 더불어 살아가는 사회를 만들고자 함.","설립허가증 뒷면에 기재","","사단법인 평화누리 아트 컴퍼니",
"34","문화예술법인","03_08_03_P","6260000","A0100626000020170002","20170201","","01","영업/정상","1","","","","","","07078720289","","","부산광역시 부산진구 연지동 40번지 40호","부산광역시 부산진구 동평로 305-0, 3층 (연지동)","","사단법인 부산문화콘텐츠개발원","20211111135836","U","2021-11-13 02:40:00.0","","387563.196820641","187873.060919351","문화(사단)","","","","","","","","0","","문화예술분야의 교육콘텐츠를 개발하고 콘텐츠를 수요 조사 , 연구, 개발, 분석, 평가, 보급하며 정보화 기술과 융합된 디지털 문화콘텐츠산업 기술을담당하는 전문 인력을 양성하기 위하여 직업능력개발사업, 평생교육시설, 사회적경제 분야사업, 정부&#8228;공공기관으로부터 위탁받은 사업, 청소년활동시설, 문화예술시설, 교육사업 등을 운영하여 국가경쟁력 기반 확충에 기여함.","법인 설립허가증 뒷면에 기재","","사단법인 부산문화콘텐츠개발원",
"35","문화예술법인","03_08_03_P","6260000","A0100626000020160007","20050517","","01","영업/정상","1","","","","","","0516436222","","","부산광역시 남구 문현동 53번지 135호","부산광역시 남구 진남로 234 (문현동)","","재단법인 인각선원","20160226190802","I","2018-08-31 23:59:59.0","","389059.166563426","185032.115273167","종교(재단)","","","","","","","","","","불교사상을 이 시대에 새롭게 조명하기 위한 불교포교사업, 포교사 및 종제 양성사업 등 대중불교운동을 확산하여 중생의 순화등을 목적으로 하는 불교종교사업을 함.","","","재단법인 인각선원",
"36","문화예술법인","03_08_03_P","6260000","A0100626000020160009","20160229","","01","영업/정상","1","","","","","","0512452460","","","부산광역시 중구 남포동5가 88번지","부산광역시 중구 자갈치로37번길 4 (남포동5가)","","사단법인 한국문학작가회","20160229175402","I","2018-08-31 23:59:59.0","","384910.4665739","179447.226505734","예술(사단)","","","","","","","","","","한국예술을 신장시키고, 대중과의 소통 및 향유를 통해서 한국 문학을 대상으로 창조의식을 견인하여 한국 문학의 발전 육성에 이바지함.","법인 설립허가증 뒷면에 기재","","사단법인 한국문학작가회",
"37","문화예술법인","03_08_03_P","6260000","A0100626000020160012","20160518","","01","영업/정상","1","","","","","","0514407011","","","부산광역시 동구 수정동 79번지 788호","부산광역시 동구 중앙대로 360, 7층 (수정동,협성타워)","","사단법인 부산여해재단","20220426144358","U","2022-04-28 02:40:00.0","","386617.427719597","182852.667429273","문화(사단)","","","","","","","","0","","사랑과 정성, 정의와 자력에 뿌리를 둔 이순신 정신을 함양하고 교육함으로써 이 사회의 근본을 바로 세워 밝고 건강한 사회를 이룩해 이를 후손에게 물려줄 것을 목적으로 함.","설립허가증 뒷면에 기재","","사단법인 부산여해재단",
"38","문화예술법인","03_08_03_P","6260000","A0100626000020160013","20160518","","01","영업/정상","1","","","","","","0518509568","","","부산광역시 해운대구 우동 1468번지 KNN타워","부산광역시 해운대구 센텀서로 30, 5층층 (우동,KNN타워)","","사단법인 KNN 방송교향악단","20210113174953","U","2021-01-15 02:40:00.0","","393851.969576247","187910.040763301","예술(사단)","","","","","","","","","","부산경남의 시도민과 함께 지역문화의 창달과 번영을 목적으로 함.","설립허가증 뒷면에 기재","","사단법인 KNN 방송교향악단",
"39","문화예술법인","03_08_03_P","6260000","A0100626000020080035","20080627","","01","영업/정상","1","","","","","","0518616645","","","부산광역시 연제구 연산동 383번지 34호","부산광역시 연제구 과정로260번길 4 (연산동)","","사단법인 불교자비평화실천중앙협의회","20150304144646","I","2018-08-31 23:59:59.0","","391121.900080395","189672.670791634","종교(사단)","","","","","","","","","","불교의 자비와 평화의 사상을 바탕으로 민족화합과 남북 평화통일을 이룩","허가증 이면 참조","","사단법인 불교자비평화실천중앙협의회",
"40","문화예술법인","03_08_03_P","6260000","A0100626000020080036","20080811","","01","영업/정상","1","","","","","","0516423300","","","부산광역시 수영구 민락동 165번지 9호","부산광역시 수영구 광남로 194-1 (민락동)","","사단법인 청목문화회","20080811100400","I","2018-08-31 23:59:59.0","","393172.358427435","186358.391073317","문화(사단)","","","","","","","","","","부산/경남지역의 도서보급과 독서활성화를 통해 유소년 및 청소년의 올바른 정서함양에 기여함으로써
밝고 건강한 사회를 이룩","허가서 이면 참조","","사단법인 청목문화회",
"41","문화예술법인","03_08_03_P","6260000","A0100626000020080037","20080811","","01","영업/정상","1","","","","","","0518616645","","","부산광역시 연제구 연산동 383번지 34호","부산광역시 연제구 과정로260번길 4 (연산동)","","사단법인 불교자비평화실천중앙협의회","20150304144432","I","2018-08-31 23:59:59.0","","391121.900080395","189672.670791634","종교(사단)","","","","","","","","","","불교의 자비와 평화의 사상을 바탕으로 민족화합과 남북평화통일을 이룩","허가증 이면참조","","사단법인 불교자비평화실천중앙협의회",
"42","문화예술법인","03_08_03_P","6260000","A0100626000020080038","20080811","","01","영업/정상","1","","","","","","0513343009","","","부산광역시 북구 만덕동 30번지","부산광역시 북구 구만덕로 63-13 (만덕동)","","사단법인 현대불교금정원","20080811101657","I","2018-08-31 23:59:59.0","","386090.53765905","192660.592890686","종교(사단)","","","","","","","","","","불교전통의 선명상연구 경전사경 다도 시조문학등을 연구 보급하고 불타의 사상이념 철학을
현대사회에 접목시켜 중생을 구제하고, 이을 통하여 현대인에게 정신적 문화를 증진시켜
사회복지증진에 기여","허가증 참조","","사단법인 현대불교금정원",
"43","문화예술법인","03_08_03_P","6260000","A0100626000020080039","19950428","","01","영업/정상","1","","","","","","0515813103","","","부산광역시 금정구 장전동 501번지","부산광역시 금정구 금샘로 46-13 (장전동)","","재단법인 천주교예수성심전교수녀회 유지재단","20211203164715","U","2021-12-05 02:40:00.0","","389047.727289289","194290.397827373","종교(재단)","","","","","","","","0","","국내 수도자 양성, 선교사업 및 기타 수녀회에서 경영하는 사업에 필요한 재산의 유지관리","","","재단법인 천주교예수성심전교수녀회 유지재단",
"44","문화예술법인","03_08_03_P","6260000","A0100626000020080040","20020102","","01","영업/정상","1","","","","","","0515150290","","","부산광역시 기장군 철마면 송정리 282번지 1호","부산광역시 사상구 새벽로 124-0, 3층 (감전동,포항금속)","","사단법인 부산난연합회","20211230091844","U","2022-01-01 02:40:00.0","","380592.870621065","185470.777959166","문화(사단)","","","","","","","","0","","각 난회 및 한국 란 우수품종의 개발/육성, 난문화의 정착과 대중화","","","사단법인 부산난연합회",
"45","문화예술법인","03_08_03_P","6260000","A0100626000020080041","20080905","","01","영업/정상","1","","","","","","0517404500","","","부산광역시 수영구 수영동 444번지 3호","부산광역시 수영구 수영로725번길 27 (수영동)","","재단법인 신성선교재단","20120906155309","I","2018-08-31 23:59:59.0","","392821.451283268","187538.184559257","종교(재단)","","","","","","","","","","교회와 사회에 복음 선포 및 기독교 문화 구현","허가증 이면 참조","","재단법인 신성선교재단",
"46","문화예술법인","03_08_03_P","6260000","A0100626000020080043","20080923","","01","영업/정상","1","","","","","","0512024933","","","부산광역시 사하구 괴정동 1063번지 56호","부산광역시 사하구 승학로233번길 116 (괴정동)","","재단법인 대한불교조계종 해인선원","20120203155704","I","2018-08-31 23:59:59.0","","381478.048919598","180469.747599899","종교(재단)","","","","","","","","","","불법홍포와 중생구제를 위한 다각적인 사업을 전개함으로써  우리나라 불교문화의 중흥과
사회발전에 이바지","허가증 이면 참조","","재단법인 대한불교조계종 해인선원",
"47","문화예술법인","03_08_03_P","6260000","A0100626000020080045","20081031","","01","영업/정상","1","","","","","","","","","부산광역시 강서구 강동동 1795번지","부산광역시 강서구 상덕로97번길 134-5 (강동동)","","사단법인 명당","20081031110440","I","2018-08-31 23:59:59.0","","374142.141615055","190349.013895192","종교(사단)","","","","","","","","","","하나님을 통한 기도활동을 통해 개인의 영성을 회복할 수 있도록 지원함으로써 
인간 누구나 성공적이고 편안한 삶을 살 수 있는 종교 및 복지 서비스 제공","","","사단법인 명당",
