"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","자본금","거래처",
"11","석유및석유대체연료판매업체","09_28_07_P","6260000","201862600006500006","20180306","","01","영업/정상","1","신규","","","","","","","48557","부산광역시 남구 감만동 471-1","부산광역시 남구 무민사로33번길 29-4 (감만동)","48557","주식회사 태기보(부산지점)","20220702204730","U","2022-07-04 02:40:00.0","일반대리점","389605.22519281","181346.424641508","310000000","기타",
"12","석유및석유대체연료판매업체","09_28_07_P","6260000","201862600006500007","20180308","","01","영업/정상","1","신규","","","","","0514422345","","06765","서울특별시 서초구 우면동 253-9 808호","서울특별시 서초구 형촌길 78, 808호 (우면동)","06765","네오아크오일(주)","20220702204730","U","2022-07-04 02:40:00.0","일반대리점","201683.098682684","440311.824951753","500000000","기타",
"13","석유및석유대체연료판매업체","09_28_07_P","6260000","202162600006500019","20210929","","01","영업/정상","1","신규","","","","","0514699401","","48937","부산광역시 중구 중앙동4가 80-20 대흥빌딩 501호","부산광역시 중구 충장대로13번길 29, 대흥빌딩 501호(중앙동4가)","48937","용성해운㈜","20220702204730","U","2022-07-04 02:40:00.0","일반대리점","385764.56274629","180654.899455664","150000000","기타",
"14","석유및석유대체연료판매업체","09_28_07_P","6260000","202262600006500019","20220629","","01","영업/정상","1","신규","","","","","","","48941","부산광역시 중구 중앙동4가 23-1 노블리안2 1309호","부산광역시 중구 중앙대로 80, 노블리안2 1309호(중앙동4가)","48941","㈜케이씨케이마린에너지","20220702204730","U","2022-07-04 02:40:00.0","일반대리점","385630.742187332","180306.821082315","100000000","기타",
"15","석유및석유대체연료판매업체","09_28_07_P","6260000","202262600006500017","20220524","","01","영업/정상","1","신규","","","","","","","49118","부산광역시 영도구 동삼동 588-16","부산광역시 영도구 중리북로21번길 26(동삼동)","49118","디케이해운㈜","20220702204730","U","2022-07-04 02:40:00.0","일반대리점","388478.47417000000","177057.41155600000","100000000","기타",
"16","석유및석유대체연료판매업체","09_28_07_P","6260000","200962600006500012","20090429","","04","취소/말소/만료/정지/중지","2","등록취소","","","","","","","614848","부산광역시 부산진구 부전1동   513번지 207호","","","(주)서광에너지","20220702204730","U","2022-07-04 02:40:00.0","일반대리점","","","100000000","SK",
"17","석유및석유대체연료판매업체","09_28_07_P","6260000","201462600006500002","20140110","","04","취소/말소/만료/정지/중지","2","등록취소","","","","","0514626676","","601829","부산광역시 동구 초량동 423번지 2호 골든힐오피스텔 501호","부산광역시 동구 중앙대로221번길 43, 501호 (초량동,골든힐오피스텔)","601829","(유)세정해운","20220702204730","U","2022-07-04 02:40:00.0","일반대리점","385724.289856202","181727.228839155","100000000","기타",
"18","석유및석유대체연료판매업체","09_28_07_P","6260000","200862600006500005","20080130","","04","취소/말소/만료/정지/중지","2","등록취소","","","","","0519193201","","600102","부산광역시 중구 대창동2가   33번지 1호 청조빌딩 301호","부산광역시 중구 중앙대로 139, 301호 (대창동2가,청조빌딩)","","(주)중앙석유","20220702204730","U","2022-07-04 02:40:00.0","일반대리점","385651.871633914","180892.474928023","100000000","기타",
"19","석유및석유대체연료판매업체","09_28_07_P","6260000","200662600006500032","20061002","","04","취소/말소/만료/정지/중지","2","등록취소","","","","","","","613830","부산광역시 수영구 수영동   449번지 3호 수영유건코아텔2차 304호","부산광역시 수영구 연수로401번길 20, 304호 (수영동,수영유건코아텔2차)","","(주)진보에너지","20220702204730","U","2022-07-04 02:40:00.0","일반대리점","392546.567928611","187613.237758921","100000000","기타",
"20","석유및석유대체연료판매업체","09_28_07_P","6260000","200662600006500040","20060317","","04","취소/말소/만료/정지/중지","2","등록취소","","","","","0514410674","","600817","부산광역시 중구 중앙동4가   81번지 15호 대성빌딩 206호","부산광역시 중구 충장대로5번길 32-1, 206호 (중앙동4가,대성빌딩)","","일원에너지(주)","20220702204730","U","2022-07-04 02:40:00.0","일반대리점","385689.004984201","180675.628919087","100000000","기타",
"21","석유및석유대체연료판매업체","09_28_07_P","6260000","200062600006500005","20000216","","04","취소/말소/만료/정지/중지","2","등록취소","","","","","0513038123","","618815","부산광역시 강서구 명지동   3170번지 2호","부산광역시 강서구 낙동남로 877 (명지동)","","(주)페밀리에너지","20220702204730","U","2022-07-04 02:40:00.0","일반대리점","374006.494845038","181518.800557574","100000000","기타",
"22","석유및석유대체연료판매업체","09_28_07_P","6260000","201162600006500039","20111021","","04","취소/말소/만료/정지/중지","2","등록취소","","","","","029545400","","607801","부산광역시 동래구 낙민동   172번지 4호 4층","부산광역시 동래구 충렬대로 312 (낙민동,4층)","","(주)천산에너지","20220702204730","U","2022-07-04 02:40:00.0","일반대리점","390532.175905957","190891.985435537","782936000","기타",
"23","석유및석유대체연료판매업체","09_28_07_P","6260000","201162600006500040","20111021","","04","취소/말소/만료/정지/중지","2","등록취소","","","","","","","617843","부산광역시 사상구 학장동  715번지 11호 (주)성은에너지 2층","부산광역시 사상구 가야대로 52, 1동 (학장동,(주)성은에너지2층)","617843","수성에너지(주)","20220702204730","U","2022-07-04 02:40:00.0","일반대리점","380305.16625600000","185640.12063300000","100000000","기타",
"24","석유및석유대체연료판매업체","09_28_07_P","6260000","201162600006500042","20111028","","04","취소/말소/만료/정지/중지","2","등록취소","","","","","0513289989","","617806","부산광역시 사상구 괘법동  394번지 8호","부산광역시 사상구 광장로103번길 30 (괘법동)","617806","(주)태성석유","20220702204730","U","2022-07-04 02:40:00.0","일반대리점","381044.080607497","186806.380278195","100000000","기타",
"25","석유및석유대체연료판매업체","09_28_07_P","6260000","201262600006500021","20120430","","04","취소/말소/만료/정지/중지","2","등록취소","","","","","","","617721","부산광역시 사상구 감전동 152번지 2호 부산산업용재유통상가 3동 202호","부산광역시 사상구 새벽로 131, 3동 202호 (감전동,부산산업용재유통상가)","617721","(주)대경에너비스","20220702204730","U","2022-07-04 02:40:00.0","일반대리점","380482.767624189","185582.274947583","100000000","기타",
"26","석유및석유대체연료판매업체","09_28_07_P","6260000","201262600006500012","20120223","","04","취소/말소/만료/정지/중지","2","등록취소","","","","","","","613805","부산광역시 수영구 광안동 373번지 121호 해금빌딩","부산광역시 수영구 수영로 526-1, 4층 (광안동,해금빌딩)","613805","(주)와이디에스","20220702204730","U","2022-07-04 02:40:00.0","일반대리점","392398.315846269","185772.659623011","100000000","기타",
"27","석유및석유대체연료판매업체","09_28_07_P","6260000","201062600006500009","20100331","","04","취소/말소/만료/정지/중지","2","등록취소","","","","","0515139242","","612889","부산광역시 해운대구 우동 1514번지 센텀리더스마크","부산광역시 해운대구 APEC로 17, 3603호 (우동,센텀리더스마크)","612889","(주)대유이엔아이","20220702204730","U","2022-07-04 02:40:00.0","일반대리점","394209.294344881","187280.207931335","200000000","기타",
"28","석유및석유대체연료판매업체","09_28_07_P","6260000","201362600006500046","20131217","","04","취소/말소/만료/정지/중지","2","등록취소","","","","","0514620717","","600815","부산광역시 중구 중앙동4가 37번지 16호 동아제일빌딩 1006호","부산광역시 중구 중앙대로81번길 9, 1006호 (중앙동4가,동아제일빌딩)","600815","그린에너지(주)","20220702204730","U","2022-07-04 02:40:00.0","일반대리점","385473.576409934","180297.978228551","300000000","기타",
"29","석유및석유대체연료판매업체","09_28_07_P","6260000","200562600006500007","20050216","","04","취소/말소/만료/정지/중지","2","등록취소","","","","","0516235112","","611828","부산광역시 연제구 연산5동   1361번지 9호  228호","부산광역시 연제구 중앙대로1043번길 34, 228호 (연산동)","","가람에너지(주)","20220702204730","U","2022-07-04 02:40:00.0","일반대리점","389065.762515756","188937.536792902","100000000","기타",
"30","석유및석유대체연료판매업체","09_28_07_P","6260000","200762600006500046","20070816","","04","취소/말소/만료/정지/중지","2","등록취소","","","","","0516214405","","608813","부산광역시 남구 대연1동   901번지 11호 썬그린타워빌 102호","부산광역시 남구 천제등로 50-16, 102호 (대연동,썬그린타워빌)","","(주)오일플러스","20220702204730","U","2022-07-04 02:40:00.0","일반대리점","390321.041707553","183398.546764881","100000000","기타",
"31","석유및석유대체연료판매업체","09_28_07_P","6260000","200562600006500017","20051219","","04","취소/말소/만료/정지/중지","2","등록취소","","","","","","","604840","부산광역시 사하구 장림2동   281번지 2호","","","(주)대경에너지","20220702204730","U","2022-07-04 02:40:00.0","일반대리점","380222.845286843","177154.933523472","100000000","기타",
"32","석유및석유대체연료판매업체","09_28_07_P","6260000","201162600006500026","20110802","","04","취소/말소/만료/정지/중지","2","등록취소","","","","","","","607833","부산광역시 동래구 온천동 208번지 2호 온천파크오피스텔 413호","부산광역시 동래구 금강로 107, 413호 (온천동,온천파크오피스텔)","607833","(주)디라인","20220702204730","U","2022-07-04 02:40:00.0","일반대리점","389232.177374563","192993.794473224","100000000","기타",
"33","석유및석유대체연료판매업체","09_28_07_P","6260000","200462600006500008","20040402","","04","취소/말소/만료/정지/중지","2","등록취소","","","","","0515162777","","609817","부산광역시 금정구 부곡3동   64번지 3호","부산광역시 금정구 부곡온천천로 198 (부곡동)","","에너지프라자(주)","20220702204730","U","2022-07-04 02:40:00.0","일반대리점","390259.724343392","195741.192530196","100000000","기타",
"34","석유및석유대체연료판매업체","09_28_07_P","6260000","200962600006500035","20090916","","04","취소/말소/만료/정지/중지","2","등록취소","","","","","","","616852","부산광역시 북구 화명3동   해경타워빌딩 503호","","","(주)엠오에스","20220702204730","U","2022-07-04 02:40:00.0","일반대리점","","","100000000","기타",
"35","석유및석유대체연료판매업체","09_28_07_P","6260000","200962600006500045","20091221","","04","취소/말소/만료/정지/중지","2","등록취소","","","","","","","614854","부산광역시 부산진구 양정2동   261번지 7호","부산광역시 부산진구 중앙대로969번길 36 (양정동)","","(주)호성이엔지","20220702204730","U","2022-07-04 02:40:00.0","일반대리점","388679.933435035","188380.766155064","100000000","기타",
"36","석유및석유대체연료판매업체","09_28_07_P","6260000","200762600006500008","20070222","","04","취소/말소/만료/정지/중지","2","등록취소","","","","","0514410920","","600816","부산광역시 중구 중앙동4가   76번지 13호 오션빌딩4층","부산광역시 중구 충장대로5번길 63-1 (중앙동4가,오션빌딩4층)","","(주)배진에너지","20220702204730","U","2022-07-04 02:40:00.0","일반대리점","385767.031316531","180994.197041077","100000000","기타",
"37","석유및석유대체연료판매업체","09_28_07_P","6260000","200762600006500009","20070222","","04","취소/말소/만료/정지/중지","2","등록취소","","","","","0513245184","","617721","부산광역시 사상구 감전1동  152번지 2호 산업용재유통상가 3동 235호","","","(주)삼영산업","20220702204730","U","2022-07-04 02:40:00.0","일반대리점","380482.767624189","185582.274947583","100000000","기타",
"38","석유및석유대체연료판매업체","09_28_07_P","6260000","200662600006500020","20060526","","04","취소/말소/만료/정지/중지","2","등록취소","","","","","0512316288","","600046","부산광역시 중구 남포동6가   3번지 신천지백화&#51224;3-5 47호","부산광역시 중구 자갈치로 33, 47호 (남포동6가,신천지백화&#51224;3-5)","","(주)수영마린","20220702204730","U","2022-07-04 02:40:00.0","일반대리점","384836.914455912","179432.734579543","100000000","기타",
"39","석유및석유대체연료판매업체","09_28_07_P","6260000","200762600006500039","20070619","","04","취소/말소/만료/정지/중지","2","등록취소","","","","","0514638890","","601837","부산광역시 동구 초량3동   1162번지 9호 해인빌딩9층 1002호","부산광역시 동구 중앙대로286번길 7, 1002호 (초량동,해인빌딩9층)","","(주)상진에너지","20220702204730","U","2022-07-04 02:40:00.0","일반대리점","386293.18317087","182224.63791398","100000000","기타",
"40","석유및석유대체연료판매업체","09_28_07_P","6260000","199962600006500001","19991211","","04","취소/말소/만료/정지/중지","2","등록취소","","","","","0515837800","","609814","부산광역시 금정구 남산동   180번지 5호","부산광역시 금정구 중앙대로2007번길 59 (남산동)","","(주)종원에너지","20220702204730","U","2022-07-04 02:40:00.0","일반대리점","389991.866551389","198055.817009701","100000000","기타",
"41","석유및석유대체연료판매업체","09_28_07_P","6260000","200362600006500003","20030110","","04","취소/말소/만료/정지/중지","2","등록취소","","","","","0516101341","","608743","부산광역시 남구 대연3동  55번지 1호 21세기센츄리시티건물 2027호","부산광역시 남구 수영로 312, 2027호 (대연동,21세기센츄리시티건물)","","비앤케이오일테크(주)","20220702204730","U","2022-07-04 02:40:00.0","일반대리점","391411.212179843","184052.409245407","100000000","기타",
"42","석유및석유대체연료판매업체","09_28_07_P","6260000","201162600006500014","20110401","","04","취소/말소/만료/정지/중지","2","등록취소","","","","","0514625591","","601839","부산광역시 동구 초량1동   1212번지 11호 해덕빌딩 602호","부산광역시 동구 대영로 261 (초량동,해덕빌딩 602호)","","(주)두림석유","20220702204730","U","2022-07-04 02:40:00.0","일반대리점","385846.371350951","181097.551650065","100000000","기타",
"43","석유및석유대체연료판매업체","09_28_07_P","6260000","200662600006500014","20060802","","04","취소/말소/만료/정지/중지","2","등록취소","","","","","0512410545","","602816","부산광역시 서구 부민동1가   17번지 1호 명보빌딩706호","부산광역시 서구 구덕로 216 (부민동1가,명보빌딩706호)","","(주)종호에너지","20220702204730","U","2022-07-04 02:40:00.0","일반대리점","384131.793970006","180183.255871028","100000000","기타",
"44","석유및석유대체연료판매업체","09_28_07_P","6260000","200562600006500006","20050516","","04","취소/말소/만료/정지/중지","2","등록취소","","","","","0513645904","","616852","부산광역시 북구 화명3동   2274번지 3호 덕진상뜨레뷰 806호","부산광역시 북구 화명대로 10, 806호 (화명동,덕진상뜨레뷰)","","(주)부산에너지","20220702204730","U","2022-07-04 02:40:00.0","일반대리점","382833.340842433","194687.173304343","100000000","기타",
"45","석유및석유대체연료판매업체","09_28_07_P","6260000","200662600006500016","20060410","","04","취소/말소/만료/정지/중지","2","등록취소","","","","","0513055142","","617841","부산광역시 사상구 학장동 286번지 16호","부산광역시 사상구 가야대로176번길 13 (학장동)","617841","(주)만보에너지","20220702204730","U","2022-07-04 02:40:00.0","일반대리점","381525.448927309","185128.381727035","100000000","기타",
"46","석유및석유대체연료판매업체","09_28_07_P","6260000","200762600006500011","20070307","","04","취소/말소/만료/정지/중지","2","등록취소","","","","","","","616807","부산광역시 북구 구포2동   1186번지 20호","부산광역시 북구 사상로583번길 6 (구포동)","","(주)효성석유","20220702204730","U","2022-07-04 02:40:00.0","일반대리점","381185.806287353","190393.142559782","100000000","기타",
"47","석유및석유대체연료판매업체","09_28_07_P","6260000","200762600006500016","20050929","","04","취소/말소/만료/정지/중지","2","등록취소","","","","","","","614837","부산광역시 부산진구 부암1동   214번지","","","(주)반석에너지","20220702204730","U","2022-07-04 02:40:00.0","일반대리점","","","100000000","기타",
"48","석유및석유대체연료판매업체","09_28_07_P","6260000","200662600006500025","20060104","","04","취소/말소/만료/정지/중지","2","등록취소","","","","","0512056019","","604834","부산광역시 사하구 신평2동   626번지 1호","부산광역시 사하구 하신번영로159번길 69 (신평동)","","(주)대일에너지","20220702204730","U","2022-07-04 02:40:00.0","일반대리점","378298.020378472","179291.512439955","100000000","기타",
"49","석유및석유대체연료판매업체","09_28_07_P","6260000","200662600006500009","20061115","","04","취소/말소/만료/정지/중지","2","등록취소","","","","","0516245170","","608816","부산광역시 남구 대연2동   1219번지 207호","부산광역시 남구 천제등로16번길 19 (대연동)","","대아석유(주)","20220702204730","U","2022-07-04 02:40:00.0","일반대리점","390118.710842811","183467.279637438","100000000","기타",
"50","석유및석유대체연료판매업체","09_28_07_P","6260000","200662600006500001","20061215","","04","취소/말소/만료/정지/중지","2","등록취소","","","","","0512446681","","600022","부산광역시 중구 동광동2가   1번지","부산광역시 중구 광복로97번길 26-2 (동광동2가)","","승신에너지(주)","20220702204730","U","2022-07-04 02:40:00.0","일반대리점","385473.117196105","179880.976912079","100000000","기타",
"51","석유및석유대체연료판매업체","09_28_07_P","6260000","200462600006600001","20041013","","04","취소/말소/만료/정지/중지","2","등록취소","","","","","0516278398","","613816","부산광역시 수영구 남천1동   69번지 6호 로얄오피스텔903호","부산광역시 수영구 수영로 421-1 (남천동,로얄오피스텔903호)","","(주)지피케미칼스","20220702204730","U","2022-07-04 02:40:00.0","용제대리점","392128.255708793","184765.314836397","50000000","기타",
"52","석유및석유대체연료판매업체","09_28_07_P","6260000","200762600006500004","20070130","","04","취소/말소/만료/정지/중지","2","등록취소","","","","","0519192887","","611803","부산광역시 연제구 거제1동   1477번지 10호 4층","부산광역시 연제구 아시아드대로82번길 17 (거제동,4층)","","(주)덕암오앤지","20220702204730","U","2022-07-04 02:40:00.0","일반대리점","388257.686554728","190091.205948828","100000000","기타",
"53","석유및석유대체연료판매업체","09_28_07_P","6260000","200762600006500031","20070510","","04","취소/말소/만료/정지/중지","2","등록취소","","","","","0513325004","","616802","부산광역시 북구 구포2동   1067번지 9호  301호","부산광역시 북구 낙동대로 1656, 301호 (구포동)","","(주)씨와이페트로","20220702204730","U","2022-07-04 02:40:00.0","일반대리점","381526.237908984","191143.819758429","100000000","기타",
"54","석유및석유대체연료판매업체","09_28_07_P","6260000","200762600006500037","20070529","","04","취소/말소/만료/정지/중지","2","등록취소","","","","","0519445188","","609801","부산광역시 금정구 구서동 177번지 7호  303호","부산광역시 금정구 안뜰로7번길 45, 303호 (구서동)","609801","두성이에쓰주식회사","20220702204730","U","2022-07-04 02:40:00.0","일반대리점","390341.330614118","197295.66830443","100000000","기타",
"55","석유및석유대체연료판매업체","09_28_07_P","6260000","200262600006500002","20020404","","04","취소/말소/만료/정지/중지","2","등록취소","","","","","0517417589","","612726","부산광역시 해운대구 우1동  760번지 3호 오션타워 1314호","부산광역시 해운대구 해운대해변로 203, 1314호 (우동,오션타워)","","(주)풍전에너지","20220702204730","U","2022-07-04 02:40:00.0","일반대리점","396180.621244719","186522.35047527","100000000","기타",
"56","석유및석유대체연료판매업체","09_28_07_P","6260000","200362600006500002","20030416","","04","취소/말소/만료/정지/중지","2","등록취소","","","","","0515075180","","604845","부산광역시 사하구 장림2동   224번지 1호","부산광역시 사하구 다대로 258 (장림동)","","영일에너지(주)","20220702204730","U","2022-07-04 02:40:00.0","일반대리점","380250.019471512","177399.069575703","100000000","기타",
"57","석유및석유대체연료판매업체","09_28_07_P","6260000","200262600006500003","20021205","","04","취소/말소/만료/정지/중지","2","등록취소","","","","","0515164242","","609817","부산광역시 금정구 부곡3동   64번지 3호","부산광역시 금정구 부곡온천천로 198 (부곡동)","","(주)대정에너지","20220702204730","U","2022-07-04 02:40:00.0","일반대리점","390259.724343392","195741.192530196","100000000","기타",
"58","석유및석유대체연료판매업체","09_28_07_P","6260000","199562600006500001","19950831","","04","취소/말소/만료/정지/중지","2","등록취소","","","","","0514186113","","606011","부산광역시 영도구 대교동1가   35번지 달성빌딩 302호","","","흥선에너지판매(주)","20220702204730","U","2022-07-04 02:40:00.0","일반대리점","","","100000000","GS칼텍스",
"59","석유및석유대체연료판매업체","09_28_07_P","6260000","200562600006500008","20051206","","04","취소/말소/만료/정지/중지","2","등록취소","","","","","0513344602","","616817","부산광역시 북구 덕천2동   326번지 6호 삼양오피스텔 704호","","","신일에너지(주)","20220702204730","U","2022-07-04 02:40:00.0","일반대리점","","","100000000","기타",
"60","석유및석유대체연료판매업체","09_28_07_P","6260000","201062600006500013","20100506","","04","취소/말소/만료/정지/중지","2","등록취소","","","","","","","617819","부산광역시 사상구 모라1동   280번지 대성빌딩 301호","","","(주)다산에너지","20220702204730","U","2022-07-04 02:40:00.0","일반대리점","","","100000000","현대",
"61","석유및석유대체연료판매업체","09_28_07_P","6260000","201062600006500014","20100510","","04","취소/말소/만료/정지/중지","2","등록취소","","","","","","","617050","부산광역시 사상구 감전동  131번지","부산광역시 사상구 괘감로 131-703 (감전동)","617050","(주)태광에너지","20220702204730","U","2022-07-04 02:40:00.0","일반대리점","","","100000000","기타",
"62","석유및석유대체연료판매업체","09_28_07_P","6260000","201062600006500015","20100512","","04","취소/말소/만료/정지/중지","2","등록취소","","","","","","","607833","부산광역시 동래구 온천1동   208번지 온천파크 704호","부산광역시 동래구 금강공원로 49, 704호 (온천동,온천파크)","","(주)광명에너지","20220702204730","U","2022-07-04 02:40:00.0","일반대리점","389238.620484615","193016.046855244","100000000","기타",
"63","석유및석유대체연료판매업체","09_28_07_P","6260000","201062600006500016","20100525","","04","취소/말소/만료/정지/중지","2","등록취소","","","","","0512311137","","600012","부산광역시 중구 중앙동2가   49번지 한일빌딩 504호","","","(주)해일유업","20220702204730","U","2022-07-04 02:40:00.0","일반대리점","","","100000000","기타",
"64","석유및석유대체연료판매업체","09_28_07_P","6260000","201062600006500022","20100630","","04","취소/말소/만료/정지/중지","2","등록취소","","","","","0514411160","","601729","부산광역시 동구 초량1동  프레지던트오피스텔 709호","","","(주)대한에너지","20220702204730","U","2022-07-04 02:40:00.0","일반대리점","","","100000000","기타",
"65","석유및석유대체연료판매업체","09_28_07_P","6260000","201062600006500031","20100820","","04","취소/말소/만료/정지/중지","2","등록취소","","","","","0517458705","","612889","부산광역시 해운대구 우2동   센텀리더스마크 1705호","","","정윤에너지(주)","20220702204730","U","2022-07-04 02:40:00.0","일반대리점","","","100000000","기타",
"66","석유및석유대체연료판매업체","09_28_07_P","6260000","201062600006500033","20100914","","04","취소/말소/만료/정지/중지","2","등록취소","","","","","","","613828","부산광역시 수영구 민락동   31번지 7호 (3층)","부산광역시 수영구 광남로 242 (민락동,(3층))","","(주)명성에너지","20220702204730","U","2022-07-04 02:40:00.0","일반대리점","393582.614098691","186500.136732583","100000000","기타",
"67","석유및석유대체연료판매업체","09_28_07_P","6260000","201162600006500005","20110118","","04","취소/말소/만료/정지/중지","2","등록취소","","","","","0514670735","","601838","부산광역시 동구 초량동 1197번지 1호 금봉빌딩 601호","부산광역시 동구 중앙대로236번길 8, 601호 (초량동,금봉빌딩)","601838","(주)서진에너지","20220702204730","U","2022-07-04 02:40:00.0","일반대리점","386089.420913756","181731.617240491","100000000","기타",
"68","석유및석유대체연료판매업체","09_28_07_P","6260000","200762600006500054","20070911","","04","취소/말소/만료/정지/중지","2","등록취소","","","","","0514698758","","600816","부산광역시 중구 중앙동4가   74번지 7호","부산광역시 중구 충장대로9번길 66 (중앙동4가)","","다온오일(주)","20220702204730","U","2022-07-04 02:40:00.0","일반대리점","385868.447858934","180991.89207114","100000000","기타",
"69","석유및석유대체연료판매업체","09_28_07_P","6260000","200762600006500055","20070911","","04","취소/말소/만료/정지/중지","2","등록취소","","","","","0515835182","","611828","부산광역시 연제구 연산5동   1338-10 대원주유소 2층","","","(주)승우에너지","20220702204730","U","2022-07-04 02:40:00.0","일반대리점","","","100000000","기타",
"70","석유및석유대체연료판매업체","09_28_07_P","6260000","200862600006500046","20081202","","04","취소/말소/만료/정지/중지","2","등록취소","","","","","0512541982","","600045","부산광역시 중구 남포동5가  62번지 2호","부산광역시 중구 자갈치로59번길 5-14 (남포동5가)","600045","(유)지엔에스해운","20220702204730","U","2022-07-04 02:40:00.0","일반대리점","385060.737733712","179533.15748229","100000000","기타",
"71","석유및석유대체연료판매업체","09_28_07_P","6260000","200662600006500044","20061101","","04","취소/말소/만료/정지/중지","2","등록취소","","","","","0519717878","","618330","부산광역시 강서구 죽림동   1021번지","","","(주)하나석유","20220702204730","U","2022-07-04 02:40:00.0","일반대리점","","","100000000","기타",
