"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","기공용레스수","원심주조기수","기공용모터수","아세틸렌수","치과용프레스수","전기로수","포셀린로수","초음파청소기수","서베이어수","진동기수","트리머수","기공용컴프레서수","샌드기수","진공매몰기수","핀덱스수",
"11","치과기공소","01_02_04_P","3250000","PHMB319993250021062300002","19990719","","01","영업/정상","13","영업중","","","","","051-465-6781","","","부산광역시 중구 중앙동3가 19번지 2호","부산광역시 중구 대청로 7-2 (중앙동3가)","48931","영치과기공소","20170626101145","I","2018-08-31 23:59:59.0","","385466.895786182","180166.527334664","1","1","2","1","1","1","1","1","1","1","1","1","1","1","1",
"12","치과기공소","01_02_04_P","3250000","PHMB320013250021062300001","20010531","","01","영업/정상","13","영업중","","","","","051-469-2864","","","부산광역시 중구 중앙동4가 78번지 23호","부산광역시 중구 충장대로5번길 46 (중앙동4가)","48936","토마스덴탈랩","20170626101019","I","2018-08-31 23:59:59.0","","385729.991289512","180794.176717611","1","1","2","1","1","1","1","1","1","1","1","1","1","1","1",
"13","치과기공소","01_02_04_P","3250000","PHMB320033250021062300001","20031211","","01","영업/정상","13","영업중","","","","","051-464-0595","","","부산광역시 중구 중앙동3가 14번지 5호","부산광역시 중구 대청로 141 (중앙동3가)","48931","정석치과기공소","20170626100921","I","2018-08-31 23:59:59.0","","385512.001378344","180112.453147653","1","1","2","1","1","1","1","1","1","1","1","1","1","1","1",
"14","치과기공소","01_02_04_P","3250000","PHMB320053250021062300001","20050928","","01","영업/정상","13","영업중","","","","","051-463-2804","","","부산광역시 중구 동광동4가 25번지 3호","부산광역시 중구 동광길 9 (동광동4가)","48932","바다치과기공소","20170626100821","I","2018-08-31 23:59:59.0","","385381.671964779","180139.880759574","1","1","2","1","1","1","1","1","1","1","1","1","1","1","1",
"15","치과기공소","01_02_04_P","3250000","PHMB320053250021062300002","20051103","","01","영업/정상","13","영업중","","","","","051-466-1804","","","부산광역시 중구 대청동2가 17번지 1호","부산광역시 중구 대청로 972 (대청동2가)","48933","라이징덴탈랩","20170626100718","I","2018-08-31 23:59:59.0","","385086.045709807","180104.678561261","1","1","2","1","1","1","1","1","1","1","1","1","1","1","1",
"16","치과기공소","01_02_04_P","3250000","PHMB320083250021062300002","20090905","","01","영업/정상","13","영업중","","","","","","","","부산광역시 중구 동광동4가 13번지 1호","부산광역시 중구 동광길 8 (동광동4가)","48932","다솔씨엔씨치과기공소","20170626100325","I","2018-08-31 23:59:59.0","","385402.665879748","180117.626217757","1","1","2","1","1","1","1","1","1","1","1","1","1","1","1",
"17","치과기공소","01_02_04_P","3250000","PHMB320103250021062300001","20101027","","01","영업/정상","13","영업중","","","","","206-2804","","","부산광역시 중구 대청동2가 15번지 2호","부산광역시 중구 대청로 101 (대청동2가)","48933","단군치과기공소","20170626100509","I","2018-08-31 23:59:59.0","","385186.65169800000","180416.36706000000","1","1","2","5","1","2","2","1","1","1","1","1","1","1","1",
"18","치과기공소","01_02_04_P","3250000","PHMB320213250021062300001","20020826","","01","영업/정상","13","영업중","","","","","","","","부산광역시 중구 부평동4가 43-2","부산광역시 중구 대청로 24-2, 2층 (부평동4가)","48973","지-세람덴탈","20211005101536","I","2021-10-07 00:22:47.0","","384347.187298397","180089.941405776","1","1","10","1","1","4","3","1","3","2","1","1","2","1","1",
"19","치과기공소","01_02_04_P","3250000","PHMB319743250021062300001","19740228","","01","영업/정상","13","영업중","","","","","051-246-1885","","600045","부산광역시 중구 남포동5가 29번지","부산광역시 중구 중구로6번길 4-1 (남포동5가)","48953","세일치과기공소","20131230112911","I","2018-08-31 23:59:59.0","","384881.703917512","179570.137952159","1","1","2","1","1","1","1","1","1","1","1","1","1","1","1",
"20","치과기공소","01_02_04_P","3250000","PHMB320123250021062300001","20120131","","01","영업/정상","13","영업중","","","","","243-2815","","600014","부산광역시 중구 중앙동4가 80번지 7호","부산광역시 중구 충장대로9번길 36 (중앙동4가)","48937","해맑은치과기공소","20121127151606","I","2018-08-31 23:59:59.0","","385753.999728528","180699.435071063","1","1","4","1","1","2","2","1","1","1","1","1","3","1","1",
"21","치과기공소","01_02_04_P","3250000","PHMB320143250021062300001","20140207","","01","영업/정상","13","영업중","","","","","051-465-4275","","600091","부산광역시 중구 대청동1가 29번지","부산광역시 중구 복병산길6번길 7 (대청동1가)","48932","이준혁치과기공소","20150714145654","I","2018-08-31 23:59:59.0","","385256.154984816","180148.424119319","1","1","2","1","1","1","1","1","1","1","1","1","1","1","1",
"22","치과기공소","01_02_04_P","3250000","PHMB320153250021062300001","20150624","","01","영업/정상","13","영업중","","","","","051-504-2885","","600071","부산광역시 중구 부평동1가 49번지 4호","부산광역시 중구 비프광장로 11 (부평동1가)","48980","덕원 치과기공소","20160519085552","I","2018-08-31 23:59:59.0","","384701.085428741","179594.397383752","1","1","2","1","1","1","1","1","1","1","1","1","1","1","1",
"23","치과기공소","01_02_04_P","3250000","PHMB320153250021062300002","20150812","","01","영업/정상","13","영업중","","","","","051-469-2864","","","부산광역시 중구 중앙동4가 78번지 23호 4층 503호","부산광역시 중구 충장대로5번길 46 (중앙동4가)","48936","A.M.G 덴탈랩","20150812164114","I","2018-08-31 23:59:59.0","","385729.991289512","180794.176717611","1","1","3","","1","1","1","1","1","1","1","1","1","1","1",
"24","치과기공소","01_02_04_P","3260000","PHMB320163260022062300001","20160310","","03","폐업","03","폐업","20180220","","","","051-468-2806","","","","부산광역시 서구 구덕로 310, 2층 201호 (동대신동2가, 골든캐슬)","49217","에이원치과기공소","20180220103019","I","2018-08-31 23:59:59.0","","383849.626731783","181024.011216014","1","1","2","1","1","1","1","1","1","1","1","1","1","1","1",
"25","치과기공소","01_02_04_P","3260000","PHMB320053260022062300001","20051129","","03","폐업","03","폐업","20191129","","","","","","602811","부산광역시 서구 동대신동2가 401번지","부산광역시 서구 구덕로296번길 40-1, 2층 (동대신동2가)","49217","세븐치과기공소","20191128170516","U","2019-11-30 02:40:00.0","","384075.989153086","180980.973314603","1","1","2","1","1","1","1","1","1","1","1","1","1","1","1",
"26","치과기공소","01_02_04_P","3260000","PHMB319953260022062300002","19950414","","03","폐업","03","폐업","20150309","","","","248-3204","","602081","부산광역시 서구 부용동1가 12번지 9호","부산광역시 서구 흑교로105번길 6 (부용동1가)","602081","은성치과기공소","20150309145949","I","2018-08-31 23:59:59.0","","384214.632175616","180558.864034278","1","1","2","1","1","1","1","1","1","1","1","1","1","1","1",
"27","치과기공소","01_02_04_P","3260000","PHMB320063260022062300001","20060414","","03","폐업","03","폐업","20200601","","","","051-243-4324","","602837","부산광역시 서구 토성동1가 11번지 36호","부산광역시 서구 까치고개로245번길 2 (토성동1가)","","수정치과기공소","20200601140446","U","2020-06-04 02:40:00.0","","384379.538255937","179720.746740494","1","1","2","1","1","1","1","1","1","1","1","1","1","1","1",
"28","치과기공소","01_02_04_P","3260000","PHMB320073260022062300001","20070703","","03","폐업","03","폐업","20130503","","","","051-944-7450","","602811","부산광역시 서구 동대신동2가 425번지 2호","부산광역시 서구 대영로 67 (동대신동2가)","","에스엠치과기공소","20130503163635","I","2018-08-31 23:59:59.0","","383961.370717365","180906.175448054","1","1","2","1","1","1","1","1","1","1","1","1","1","1","1",
"29","치과기공소","01_02_04_P","3260000","PHMB319873260022062300001","19870525","","03","폐업","03","폐업","20180604","","","","051-244-6189","","602091","부산광역시 서구 서대신동1가 82호","부산광역시 서구 부용로 26-2 (서대신동1가)","49233","태광치과기공소","20180604133442","I","2018-08-31 23:59:59.0","","383863.350935117","180611.18430071","1","1","2","1","1","1","1","1","1","1","1","1","1","1","1",
"30","치과기공소","01_02_04_P","3260000","PHMB320193260022062300001","20040422","","01","영업/정상","13","영업중","","","","","","","","부산광역시 서구 서대신동3가 466번지 13호","부산광역시 서구 대티로 179, 4층 (서대신동3가)","49210","비젼치과기공소","20191223175535","I","2019-12-25 00:23:26.0","","383376.565264321","181029.071422667","1","2","3","0","1","3","1","1","2","1","1","2","3","2","0",
"31","치과기공소","01_02_04_P","3260000","PHMB320153260022062300001","20150311","","01","영업/정상","13","영업중","","","","","242-2441","","","부산광역시 서구 동대신동2가 406","부산광역시 서구 대영로85번길 5(동대신동2가)","49217","은성치과기공소","20220316123934","U","2022-03-18 02:40:00.0","","384116.511433109","180997.680209502","1","1","2","1","1","1","2","1","1","1","1","1","1","1","1",
"32","치과기공소","01_02_04_P","3260000","PHMB320123260022062300001","20121228","","01","영업/정상","13","영업중","","","","","051-245-2804","","602810","부산광역시 서구 동대신동2가 401번지","부산광역시 서구 구덕로296번길 40-1, 3층 (동대신동2가)","49217","뉴세븐치과기공소","20131226093610","I","2018-08-31 23:59:59.0","","384075.989153086","180980.973314603","1","1","4","1","1","2","2","1","1","1","1","1","2","1","1",
"33","치과기공소","01_02_04_P","3260000","PHMB320183260022062300001","20141210","","01","영업/정상","13","영업중","","","","","051-468-2806","","","부산광역시 서구 동대신동2가 367번지 골든캐슬","부산광역시 서구 구덕로 310, 201호 (동대신동2가, 골든캐슬)","49217","에이원 치과기공소","20180604134452","I","2018-08-31 23:59:59.0","","383849.626731783","181024.011216014","1","1","3","1","1","1","1","1","1","1","1","1","1","1","1",
"34","치과기공소","01_02_04_P","3260000","PHMB320033260022062300001","20030816","","01","영업/정상","13","영업중","","","","","051-241-2741","","602054","부산광역시 서구 토성동4가 28번지 31호 (4층)","부산광역시 서구 구덕로 122-1 (토성동4가,(4층))","","남산치과기공소","20120921153500","I","2018-08-31 23:59:59.0","","384386.438330528","179392.39599987","1","1","2","1","1","1","1","1","1","1","1","1","1","1","1",
"35","치과기공소","01_02_04_P","3260000","PHMB320103260022062300001","20100920","","01","영업/정상","13","영업중","","","","","051-241-2805","","602811","부산광역시 서구 동대신동2가 406번지 2호","부산광역시 서구 대영로85번길 3 (동대신동2가)","","TOP치과기공소","20120921150130","I","2018-08-31 23:59:59.0","","384122.444742869","180989.007923185","1","1","7","1","1","3","2","1","1","1","1","1","1","1","1",
"36","치과기공소","01_02_04_P","3260000","PHMB319953260022062300001","19950124","","01","영업/정상","13","영업중","","","","","051-247-2184","","602808","부산광역시 서구 동대신동1가 109번지 4호","부산광역시 서구 대영로 84-1 (동대신동1가)","","경성치과기공소","20201111170601","U","2020-11-13 02:40:00.0","","384126.28761481","180941.629784346","1","1","2","1","1","1","1","1","1","1","1","1","1","1","1",
"37","치과기공소","01_02_04_P","3260000","PHMB319953260022062300003","19950508","","01","영업/정상","13","영업중","","","","","051-256-2158","","602811","부산광역시 서구 동대신동2가 378번지  2,7,8. 380의 1","부산광역시 서구 구덕로 302 (동대신동2가)","49217","경남치과기공소","20131226151313","I","2018-08-31 23:59:59.0","","383879.708649104","180954.517410815","1","1","2","1","1","1","1","1","1","1","1","1","1","1","1",
"38","치과기공소","01_02_04_P","3260000","PHMB320013260022062300001","20010210","","01","영업/정상","13","영업중","","","","","051-242-0937","","","부산광역시 서구 서대신동2가 68번지 1호","부산광역시 서구 구덕로 303, 4층 (서대신동2가)","49234","대영치과기공소","20200625163229","U","2020-06-27 02:40:00.0","","383836.520222831","180946.344867074","1","1","6","0","2","3","2","2","2","2","1","1","2","2","0",
"39","치과기공소","01_02_04_P","3260000","PHMB320033260022062300002","20030901","","01","영업/정상","13","영업중","","","","","051-253-2805","","602828","부산광역시 서구 아미동2가 111번지 5호 (3층)","부산광역시 서구 까치고개로 194 (아미동2가,(3층))","","성현치과기공소","20120921153807","I","2018-08-31 23:59:59.0","","383838.213535785","179724.598642884","1","1","2","1","1","1","1","1","1","1","1","1","1","1","1",
"40","치과기공소","01_02_04_P","3260000","PHMB320213260022062300001","20181105","","01","영업/정상","13","영업중","","","","","051-866-2805","","","부산광역시 서구 토성동4가 28-10","부산광역시 서구 구덕로 124, 3층 (토성동4가)","49246","코윈덴탈","20211007142112","I","2021-10-09 00:22:47.0","","384372.360833601","179392.414867159","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",
"41","치과기공소","01_02_04_P","3260000","PHMB320223260022062300001","20220503","","01","영업/정상","13","영업중","","","","","","","","부산광역시 서구 서대신동2가 3-1","부산광역시 서구 구덕로 317-1, 3층 (서대신동2가)","49227","디올 덴탈 디지털 랩 센터","20220503143045","I","2022-05-05 00:22:32.0","","383767.268700764","181097.629321686","1","1","2","1","1","1","1","1","1","1","1","1","1","1","1",
"42","치과기공소","01_02_04_P","3270000","PHMB320123270022062300001","20120814","","03","폐업","03","폐업","20191014","","","","051-466-2804","","601839","부산광역시 동구 초량1동 1213번지 22호","부산광역시 동구 중앙대로180번길 12-13 (초량동)","48822","에스제이덴탈랩","20191014101612","U","2019-10-16 02:40:00.0","","385898.962832744","181123.272028802","1","1","3","1","1","1","1","1","1","1","1","1","1","1","1",
"43","치과기공소","01_02_04_P","3270000","PHMB320083270022062300003","20081104","","03","폐업","03","폐업","20090616","","","","465-6634","","601814","부산광역시 동구 수정동 374번지 23호 (2층)","부산광역시 동구 초량상로 140-1 (수정동,(2층))","","초량치과기공소","20101213164556","I","2018-08-31 23:59:59.0","","385994.486614281","182406.930622701","1","1","2","1","1","1","1","1","1","1","1","","","","",
"44","치과기공소","01_02_04_P","3270000","PHMB319843270022062300001","19840423","","03","폐업","03","폐업","20140204","","","","051-643-8884","","601803","부산광역시 동구 범일동 902번지 2호 ,3","부산광역시 동구 범일로 111 (범일동)","601803","월성치과기공소","20201209163304","U","2020-12-11 02:40:00.0","","387592.391587334","184245.977466556","1","1","2","1","1","1","1","1","1","1","1","1","1","1","1",
"45","치과기공소","01_02_04_P","3270000","PHMB319943270022062300001","19941221","","03","폐업","03","폐업","20090720","","","","631-7452","","601803","부산광역시 동구 범일동 646번지 13호 ,28","","","세광치과기공소","20101213164817","I","2018-08-31 23:59:59.0","","387467.160095596","183946.83864593","1","1","2","1","1","1","1","1","1","1","1","","","","",
"46","치과기공소","01_02_04_P","3270000","PHMB319993270022062300002","19990317","","03","폐업","03","폐업","20120131","","","","469-7874","","601827","부산광역시 동구 초량동 46번지 6호","부산광역시 동구 고관로13번길 3 (초량동)","601827","부경치과기공소","20120131150849","I","2018-08-31 23:59:59.0","","386050.360339776","182093.386435248","1","1","2","1","1","1","1","1","1","1","1","1","1","1","1",
"47","치과기공소","01_02_04_P","3270000","PHMB320013270022062300001","20010220","","03","폐업","03","폐업","20140205","","","","465-0561","","601827","부산광역시 동구 초량동 90번지 7호","부산광역시 동구 초량중로 119 (초량동)","","심의치과기공소","20140206085438","I","2018-08-31 23:59:59.0","","385964.646585961","182241.801607364","1","1","2","1","1","1","1","1","1","1","1","1","1","1","1",
"48","치과기공소","01_02_04_P","3270000","PHMB320023270022062300001","20020723","","03","폐업","03","폐업","20160224","","","","464-2825","","601812","부산광역시 동구 수정동 97번지 1호","부산광역시 동구 중앙대로349번길 48 (수정동)","","율원치과기공소","20160224161335","I","2018-08-31 23:59:59.0","","386317.697096173","182695.298657877","1","1","2","1","1","1","1","1","1","1","1","1","1","1","1",
"49","치과기공소","01_02_04_P","3270000","PHMB320093270022062300003","20091016","","03","폐업","03","폐업","20130328","","","","","","601061","부산광역시 동구 범일1동 96번지 3호  외 2필지(97-5, 98-2)","부산광역시 동구 중앙대로 511 (범일동)","601804","에발론","20130328131311","I","2018-08-31 23:59:59.0","","387330.293898169","184126.90229714","1","1","2","1","1","1","1","1","1","1","1","1","1","1","1",
"50","치과기공소","01_02_04_P","3270000","PHMB320093270022062300004","20091106","","03","폐업","03","폐업","20121218","","","","051-462 -2805","","601812","부산광역시 동구 수정2동 120번지 4호","부산광역시 동구 고관로 96-1 (수정동)","","예림치과기공소","20141129153157","I","2018-08-31 23:59:59.0","","386375.021787724","182848.601429652","1","1","5","1","1","2","1","1","1","1","1","1","1","1","1",
"51","치과기공소","01_02_04_P","3270000","PHMB320103270022062300001","20100308","","03","폐업","03","폐업","20190531","","","","","","601807","부산광역시 동구 범일2동 830번지 36호","부산광역시 동구 조방로49번길 28 (범일동)","48744","소울치과기공소","20190531145840","U","2019-06-02 02:40:00.0","","387672.758038876","184080.187649616","1","1","3","1","1","2","1","1","1","1","1","1","1","1","1",
"52","치과기공소","01_02_04_P","3270000","PHMB320083270022062300001","20080529","","03","폐업","03","폐업","20160222","","","","468-2806","","601836","부산광역시 동구 초량동 1156번지 7호 (2층)","부산광역시 동구 중앙대로308번길 3-6 (초량동,(2층))","","에이원치과기공소","20160222155542","I","2018-08-31 23:59:59.0","","386375.188761829","182461.662362958","1","1","2","1","1","1","1","1","1","1","1","1","1","1","1",
"53","치과기공소","01_02_04_P","3270000","PHMB320043270022062300002","20041213","","03","폐업","03","폐업","20161122","","","","464-2255","","601837","부산광역시 동구 초량동 1169번지 4호 (2층)","부산광역시 동구 중앙대로260번길 3-11 (초량동,(2층))","","우영치과기공소","20161122145905","I","2018-08-31 23:59:59.0","","386192.785417017","182083.6256434","1","1","2","1","1","1","1","1","1","1","1","1","1","1","1",
"54","치과기공소","01_02_04_P","3270000","PHMB320063270022062300001","20060710","","03","폐업","03","폐업","20110509","","","","637-9895","","601806","부산광역시 동구 범일동 548번지 5호 외 1필지","부산광역시 동구 자성로 107 (범일동,외 1필지)","","클래식치과기공소","20120104164237","I","2018-08-31 23:59:59.0","","387922.098342746","183850.853989333","1","1","2","1","1","1","1","1","1","1","1","1","1","1","1",
"55","치과기공소","01_02_04_P","3270000","PHMB320063270022062300002","20061031","","03","폐업","03","폐업","20100625","","","","463-2803","","601837","부산광역시 동구 초량동 1157번지 9호 (지하1층)","부산광역시 동구 중앙대로 310 (초량동,(지하1층))","","하모니치과기공소","20101213164730","I","2018-08-31 23:59:59.0","","386344.064687714","182450.088841547","1","1","2","1","1","1","1","1","1","1","1","","","","",
"56","치과기공소","01_02_04_P","3270000","PHMB320113270022062300001","20110404","","03","폐업","03","폐업","20150123","","","","462-3414~6","","601828","부산광역시 동구 초량3동 173번지 2호 외1 필지","부산광역시 동구 중앙대로 241 (초량동)","601828","주)부산덴탈랩","20150123164939","I","2018-08-31 23:59:59.0","","386007.998392025","181848.688886164","2","2","10","2","2","4","2","2","2","2","2","1","1","1","1",
"57","치과기공소","01_02_04_P","3270000","PHMB320133270022062300001","20130424","","03","폐업","03","폐업","20180330","","","","051-293-5182","","601829","부산광역시 동구 초량2동 280번지 3호","부산광역시 동구 초량상로 93 (초량동)","48813","늘품치과기공소","20180330163625","I","2018-08-31 23:59:59.0","","385785.93820656","182006.613941594","1","2","2","1","2","2","2","2","4","1","1","1","2","3","1",
"58","치과기공소","01_02_04_P","3270000","PHMB320223270022062300002","20120221","","01","영업/정상","13","영업중","","","","","051-868-2833","","","부산광역시 동구 초량동 172-20","부산광역시 동구 중앙대로 245, 4층 (초량동)","48798","지엠센터(ZM center)","20220318145954","I","2022-03-20 00:22:35.0","","386031.350165444","181880.912852779","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",
"59","치과기공소","01_02_04_P","3270000","PHMB319913270022062300002","19910724","","01","영업/정상","13","영업중","","","","","051-464-4886","","","부산광역시 동구 수정동 120번지 4호","부산광역시 동구 고관로 96-1, 3층 (수정동)","48791","월드치과기공소","20201209163947","U","2020-12-11 02:40:00.0","","386375.021787724","182848.601429652","1","1","2","1","1","1","1","1","1","1","1","1","1","1","1",
"60","치과기공소","01_02_04_P","3270000","PHMB319853270022062300001","19850419","","01","영업/정상","13","영업중","","","","","051-642-3618","","","부산광역시 동구 수정동 96번지 4호","부산광역시 동구 중앙대로349번길 46, 3층 (수정동)","48791","백산치과기공소","20201209163526","U","2020-12-11 02:40:00.0","","386328.468445959","182703.634748204","1","2","4","1","1","3","4","2","1","1","1","1","4","3","0",
"61","치과기공소","01_02_04_P","3270000","PHMB319913270022062300001","19910424","","01","영업/정상","13","영업중","","","","","051-635-2742","","601806","부산광역시 동구 범일동 612번지 1호","부산광역시 동구 자성공원로 5 (범일동)","","해인치과기공소","20201209163809","U","2020-12-11 02:40:00.0","","387689.727368766","183963.2201899","1","1","2","1","1","1","1","1","1","1","1","1","1","1","1",
"62","치과기공소","01_02_04_P","3270000","PHMB319923270022062300001","19920321","","01","영업/정상","13","영업중","","","","","051-467-5104","","601812","부산광역시 동구 수정동 551번지 10호","부산광역시 동구 중앙대로371번길 72 (수정동)","","대한치과기공소","20201209164610","U","2020-12-11 02:40:00.0","","386369.969792846","183202.519418215","1","1","2","1","1","1","1","1","1","1","1","1","1","1","1",
"63","치과기공소","01_02_04_P","3270000","PHMB319983270022062300001","19980813","","01","영업/정상","13","영업중","","","","","","","601804","부산광역시 동구 범일동 79번지","부산광역시 동구 중앙대로 517 (범일동)","","진일치과기공소","20201209165216","U","2020-12-11 02:40:00.0","","387327.784198571","184188.67890121","1","1","2","1","1","1","1","1","1","1","1","1","1","1","1",
"64","치과기공소","01_02_04_P","3270000","PHMB319993270022062300001","19990206","","01","영업/정상","13","영업중","","","","","051-442-2747","","601827","부산광역시 동구 초량동 135번지 43호","부산광역시 동구 초량중로 96 (초량동)","","남산치과기공소","20201209165333","U","2020-12-11 02:40:00.0","","385900.384655931","182015.458062047","1","1","2","1","1","1","1","1","1","1","1","1","1","1","1",
"65","치과기공소","01_02_04_P","3270000","PHMB320003270022062300001","20000822","","01","영업/정상","13","영업중","","","","","051-465-0595","","601814","부산광역시 동구 수정동 397번지 9호","부산광역시 동구 고관로 33-2 (수정동)","","우진치과기공소","20201209165433","U","2020-12-11 02:40:00.0","","386130.215982024","182286.647198018","1","1","2","1","1","1","1","1","1","1","1","1","1","1","1",
"66","치과기공소","01_02_04_P","3270000","PHMB320013270022062300002","20011024","","01","영업/정상","13","영업중","","","","","051-441-9284","","601827","부산광역시 동구 초량동 658번지 15호","부산광역시 동구 홍곡로 25 (초량동)","","대일치과기공소","20201209170411","U","2020-12-11 02:40:00.0","","385805.010212647","182260.843713561","1","1","2","1","1","1","1","1","1","1","1","1","1","1","1",
"67","치과기공소","01_02_04_P","3270000","PHMB320023270022062300002","20020725","","01","영업/정상","13","영업중","","","","","051-467-8758","","601837","부산광역시 동구 초량동 1162번지 26호","부산광역시 동구 중앙대로286번길 7-9 (초량동)","","한신치과기공소","20201209170800","U","2020-12-11 02:40:00.0","","386315.929962294","182280.199123631","1","1","2","1","1","1","1","1","1","1","1","1","1","1","1",
"68","치과기공소","01_02_04_P","3270000","PHMB320093270022062300002","20090617","","01","영업/정상","13","영업중","","","","","070-9502-3638","","601814","부산광역시 동구 수정1동 368번지 5호 (3층)","부산광역시 동구 초량상로 145-1 (수정동)","48794","화이트치과기공소","20141129153241","I","2018-08-31 23:59:59.0","","386036.380568543","182459.59701759","1","1","2","1","1","1","3","1","1","1","1","1","1","1","1",
"69","치과기공소","01_02_04_P","3270000","PHMB320083270022062300002","20080709","","01","영업/정상","13","영업중","","","","","051-463-2804","","601836","부산광역시 동구 초량동 1156번지 7호 (2층)","부산광역시 동구 중앙대로308번길 3-6 (초량동,(2층))","","바다치과기공소","20201209170553","U","2020-12-11 02:40:00.0","","386375.188761829","182461.662362958","1","1","2","1","1","1","1","1","1","1","1","1","1","1","1",
