"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","취급제품명","담배공급업체명",
"19","담배수입판매업체","11_43_03_P","6260000","20106260000011000016","20101220","","03","폐업","2","폐업","","20150923","","","","","613100","부산광역시 수영구 광안동  ****번지 **호","부산광역시 수영구 연수로***번길 * (광안동)","","(주)더웰","20190903000000","U","2019-09-05 02:40:00.0","","392273.372907455","187665.231548621","전자담배","Shenzhen AHK technology co. ltd,.(중국), Green Sound Hi-Tech Co.,Ltd(중국)",
"20","담배수입판매업체","11_43_03_P","6260000","20116260000011000002","20110127","","03","폐업","2","폐업","","","","","","","607842","부산광역시 동래구 온천동  ****번지 **호 ***호","부산광역시 동래구 충렬대로***번길 *, ***호 (온천동)","","지아상사","20130123000000","I","2018-08-31 23:59:59.0","","388571.927859085","191705.577038897","전자담배","深&#22323;市科美&#23572;科技有限公司(중국)",
"21","담배수입판매업체","11_43_03_P","6260000","20116260000011000003","20110127","","03","폐업","2","폐업","","","","","07082719303","","617787","부산광역시 사상구 주례동  **번지 **호","부산광역시 사상구 진사로**번가길 **-** (주례동)","","베토(VETTO)","20130103000000","I","2018-08-31 23:59:59.0","","383525.415056825","184897.975818326","전자담배","Green Sound Hi-Tech Co., Ltd(중국)",
"22","담배수입판매업체","11_43_03_P","6260000","20116260000011000005","20110208","","03","폐업","2","폐업","","","","","0513331579","","","부산광역시 북구 덕천동  ***번지 *호 삼정그린코아아파트상가 *동 ***호","","","신화","20120525000000","I","2018-08-31 23:59:59.0","","383934.836497921","192378.532914385","전자담배","Changing Dekang Biotechnology Co., Ltd(중국)",
"23","담배수입판매업체","11_43_03_P","6260000","20116260000011000006","20110303","","03","폐업","2","폐업","","","","","07075147111","","608020","부산광역시 남구 대연동  ****번지 *호","부산광역시 남구 못골로**번길 ** (대연동)","","한국VEGA(베가)","20120409000000","I","2018-08-31 23:59:59.0","","390054.647051931","183812.195667895","전자담배","深&#22323;市 康&#23570;科技有限公司(중국), 香港依思瑞實業有限公司(홍콩)",
"24","담배수입판매업체","11_43_03_P","6260000","20116260000011000007","20110318","","03","폐업","2","폐업","","","","","05115991345","","","부산광역시 연제구 연산동  ****번지 *통 *반 주공아파트 ***동 ****호","부산광역시 연제구 토현로 **, ***동 ****호 (연산동,주공아파트)","","주식회사 에이스플러스코리아","20111004000000","I","2018-08-31 23:59:59.0","","392213.196659025","188726.670895527","전자담배기기, 담배액상","ShenZhen Kemeier Technology Co.,Ltd",
"25","담배수입판매업체","11_43_03_P","6260000","20116260000011000008","20110404","","03","폐업","2","폐업","","","","","0513211665","","617010","부산광역시 사상구 주례동  ***번지 *호 ER빌딩 *층","부산광역시 사상구 가야대로 *** (주례동,ER빌딩 *층)","","(주)킴리코리아","20140618000000","I","2018-08-31 23:59:59.0","","383142.40850891","185365.993293709","전자담배","HUIZHOU KIMREE TECHNOLOGY CO.,LTD",
"26","담배수입판매업체","11_43_03_P","6260000","20116260000011000009","20110405","","03","폐업","2","폐업","","20150923","","","","","618330","부산광역시 강서구 죽림동  ***번지 *호 *층","부산광역시 강서구 가락대로 **** (죽림동,*층)","","주식회사 보그전자담배","20190903000000","U","2019-09-05 02:40:00.0","","373131.541346226","190150.773621177","전자담배","ShenZhen Kemeier Technology Co.,Ltd",
"27","담배수입판매업체","11_43_03_P","6260000","20116260000011000010","20110407","","03","폐업","2","폐업","","","","","0517444477","","613010","부산광역시 수영구 남천동  **번지 **호","부산광역시 수영구 수영로 *** (남천동)","","케마이어 코리아","20140624000000","I","2018-08-31 23:59:59.0","","392031.539985965","184610.801576514","전자담배","ShenZhen Boge Technology Co.,Ltd",
"28","담배수입판매업체","11_43_03_P","6260000","20116260000011000011","20110418","","03","폐업","2","폐업","","","","","0515145214","","609813","부산광역시 금정구 남산동  ***번지 **호","","","하켄코리아","20110920000000","I","2018-08-31 23:59:59.0","","389946.810105041","198002.400197254","전자담배","Green Sound Hi-Tech Co.,Ltd",
"29","담배수입판매업체","11_43_03_P","6260000","20116260000011000012","20110422","","03","폐업","2","폐업","","","","","","","614020","부산광역시 부산진구 범천동  ****번지 **호","부산광역시 부산진구 엄광로 *** (범천동)","","마스타무역","20140610000000","I","2018-08-31 23:59:59.0","","386637.306218278","184720.776326867","전자담배","深&#22323;依希&#21654;&#30005;子科技有限公司",
"30","담배수입판매업체","11_43_03_P","6260000","20116260000011000013","20110609","","03","폐업","2","폐업","","20111111","20111111","","0513650220","","611080","부산광역시 연제구 연산동  ***번지 *호","부산광역시 연제구 월드컵대로*번길 ** (연산동)","","데캉인터내셔널","20131204000000","I","2018-08-31 23:59:59.0","","389905.050486556","188308.61699335","전자담배","Shenzhen Boge Technology Co. Ltd",
"31","담배수입판매업체","11_43_03_P","6260000","20116260000011000014","20110804","","03","폐업","2","폐업","","","","","0512482161","","600011","부산광역시 중구 중앙동*가  **번지 광복지하상가 C동 **호","부산광역시 중구 중앙대로 지하 **, C동 **호 (중앙동*가,광복지하상가)","","전자담배 제씨 남포점","20140619000000","I","2018-08-31 23:59:59.0","","385560.432671436","179859.631631633","","",
"32","담배수입판매업체","11_43_03_P","6260000","20116260000011000015","20110804","","03","폐업","2","폐업","","","","","","","614020","부산광역시 부산진구 범천동  ***번지 **호 *층","부산광역시 부산진구 황령대로 ** (범천동,*층)","","보그 코리아","20120913000000","I","2018-08-31 23:59:59.0","","387766.337176068","185168.553135043","전자담배 액상","",
"33","담배수입판매업체","11_43_03_P","6260000","20116260000011000016","20110810","","03","폐업","2","폐업","","20150923","","","0518057123","","617721","부산광역시 사상구 감전동 산***번지 *호 산업용재유통상가 *호동 *층***호","부산광역시 사상구 새벽로 ***, *동 ***호 (감전동,산업용재유통상가)","","(주)낙원식품","20190903000000","U","2019-09-05 02:40:00.0","","380482.767624189","185582.274947583","전자담배","",
"34","담배수입판매업체","11_43_03_P","6260000","20126260000011000001","20120621","","03","폐업","2","폐업","","","","","07042340777","","614030","부산광역시 부산진구 부전동  ***번지 *호 서면지하상가 E열 **호","부산광역시 부산진구 중앙대로 지하 ***, E열동 **호 (부전동,서면지하상가)","","한국전자담배(진구지점)","20150514000000","I","2018-08-31 23:59:59.0","","387618.822819234","186273.478853367","","",
"35","담배수입판매업체","11_43_03_P","6260000","20126260000011000002","20120731","","03","폐업","2","폐업","","","","","","","614853","부산광역시 부산진구 양정동  ***번지 **호","부산광역시 부산진구 중앙대로 ***, *층 (양정동,송호빌딩*층)","","피엔씨코리아","20140312000000","I","2018-08-31 23:59:59.0","","388434.507566766","187596.567451072","담배","",
"36","담배수입판매업체","11_43_03_P","6260000","20126260000011000003","20120919","","03","폐업","2","폐업","","20190313","","","","","","부산광역시 부산진구 연지동  ***번지 **통 *반 한신타워 ***동 ****호","부산광역시 부산진구 성지로**번길 **, ***동 ****호 (연지동,한신타워)","","슈퍼캡 익스프레스 카고","20190314000000","U","2019-03-16 02:40:00.0","","386927.652137061","188231.879363535","말보르, 호프, 555, 필립모리스등(궐련담배)","수이씽 커머셜 코퍼레이션",
"37","담배수입판매업체","11_43_03_P","6260000","20126260000011000004","20120919","","03","폐업","2","폐업","","20190523","","","","","","울산광역시 울주군 온양읍 발리 **통 여울목아파트 ***동 ****호","울산광역시 울주군 온양읍 솔밭*길 **-**, ***동 ****호 (여울목아파트)","","D&B 코리아","20190903000000","U","2019-09-05 02:40:00.0","","408239.40583500000","214544.69941200000","전자담배, 액상","Shenzhen Tiandaxing Technology Co.LTD",
"38","담배수입판매업체","11_43_03_P","6260000","20106260000011000009","20101122","","03","폐업","2","폐업","","20110323","20110323","","","","608021","부산광역시 남구 대연동  **번지 *호 **센츄리시티O/T ****호","부산광역시 남구 수영로 ***, ****호 (대연동,**센츄리시티O/T)","","에이스플러스코리아","20131204000000","I","2018-08-31 23:59:59.0","","391411.212179843","184052.409245407","전자담배","Shenzhen Kemeier Technology CO., LTD(중국)",
"39","담배수입판매업체","11_43_03_P","6260000","20106260000011000013","20101213","","03","폐업","2","폐업","","20140529","","","07088663690","","611070","부산광역시 연제구 거제동  ***번지 *호 희망센트럴뷰 B ***,***호","부산광역시 연제구 거제시장로**번길 * (거제동,희망센트럴뷰 B ***,***호)","","대웅전자담배","20190903000000","U","2019-09-05 02:40:00.0","","388599.144463316","188926.818227567","전자담배","深&#22323;市&#22885;海康科技有限公司(중국)",
"40","담배수입판매업체","11_43_03_P","6260000","20116260000011000001","20110107","","03","폐업","2","폐업","","20150923","","","","","614854","부산광역시 부산진구 양정동  ***번지 **호 *층","부산광역시 부산진구 연수로**번길 ** (양정동,*층)","","주식회사 보그텍월드","20190903000000","U","2019-09-05 02:40:00.0","","388965.278538172","188388.054455019","전자담배","Shenzhen Boge Technology Co,. Ltd",
"41","담배수입판매업체","11_43_03_P","6260000","20116260000011000004","20110208","","03","폐업","2","폐업","","","","","0513323200","","616090","부산광역시 북구 구포동  ***번지 *호","부산광역시 북구 백양대로 **** (구포동)","","럭스시가","20160726000000","I","2018-08-31 23:59:59.0","","382541.333441089","191668.938586652","전자담배","Changing Dekang Biotechnology Co., Ltd(중국)",
"42","담배수입판매업체","11_43_03_P","6260000","20136260000011000001","20131226","","03","폐업","2","폐업","","20190523","","","0514419678","","606032","부산광역시 영도구 남항동*가  **번지 국제선용품유통센터 ***호","부산광역시 영도구 남항서로 **, ***호 (남항동*가,국제선용품유통센터)","","(주)엘케이엔엠","20190903000000","U","2019-09-05 02:40:00.0","","385496.868572646","178479.504077247","YESMOKE","YESMOKE S.P.A.(이탈리아)",
"43","담배수입판매업체","11_43_03_P","6260000","20106260000011000018","20101230","","03","폐업","2","폐업","","","","","","","600011","부산광역시 중구 중앙동*가  **번지","부산광역시 중구 중앙대로 지하 ** (중앙동*가)","","예림전자담배","20140702000000","I","2018-08-31 23:59:59.0","","385560.432671436","179859.631631633","전자담배액상","深&#22323;依希&#21654;&#30005;子科技有限公司(중국)",
"44","담배수입판매업체","11_43_03_P","6260000","20146260000011000002","20140925","","03","폐업","2","폐업","","","","","","","609811","부산광역시 금정구 남산동  ***번지 *호","부산광역시 금정구 금단로 *** (남산동)","","레전드몰","20151201000000","I","2018-08-31 23:59:59.0","","390449.34667694","198262.408960476","퓨어 니코틴(10ml), 퓨어 니코틴(5ml)","HiLIQ, HANGSEN, SHENZHEN ESCO Technology Co., LTD",
"45","담배수입판매업체","11_43_03_P","6260000","20146260000011000003","20141118","","03","폐업","2","폐업","","20190523","","","","","611080","부산광역시 연제구 연산동  ****번지 **호","부산광역시 연제구 쌍미천로 **-*, ***호 (연산동)","","전자담배저스코","20190903000000","U","2019-09-05 02:40:00.0","","390411.652729837","188356.370339146","니코틴","",
"46","담배수입판매업체","11_43_03_P","6260000","20106260000011000003","20101015","","03","폐업","2","폐업","","20190523","","","","","607060","부산광역시 동래구 온천동  ****번지 **호 동경아파트 ***동 ****호","부산광역시 동래구 미남로 ***, ***동 ****호 (온천동,동경아파트)","","담배스토어","20190903000000","U","2019-09-05 02:40:00.0","","388427.928162578","191474.298828194","전자담배","深&#22323;依希&#21654;&#30005;子科技有限公司(중국)深&#22323;博迪恒&#19994;科技有限公司(중국)",
"47","담배수입판매업체","11_43_03_P","6260000","20106260000011000007","20101116","","03","폐업","2","폐업","","","","","0514671346","","","부산광역시 해운대구 중동  ****번지 *호 **통 *반 ***동 ****호","부산광역시 해운대구 좌동순환로 *, ***동 ****호 (중동)","","Western(웨스턴)물산","20140611000000","I","2018-08-31 23:59:59.0","","397358.257473215","187467.922526965","전자담배","Shenzhen Megas electronic.Co",
"48","담배수입판매업체","11_43_03_P","6260000","20106260000011000017","20101230","","03","폐업","2","폐업","","20150923","","","","","614873","부산광역시 부산진구 초읍동  ***번지 **호","부산광역시 부산진구 성지로 ** (초읍동)","","덴바코코리아","20190903000000","U","2019-09-05 02:40:00.0","","386927.999124682","188554.207137208","전자담배","Shenzhen Kemeier Technology Co., Ltd.(중국)",
"49","담배수입판매업체","11_43_03_P","6260000","20156260000011000001","20150213","","03","폐업","2","폐업","","20180124","","","","","","경기도 고양시 일산서구 덕이동  **통 *반 하이파크시티 일산 아이파크 *단지 ***동 ****호","경기도 고양시 일산서구 하이파크로 ***, ***동 ****호 (덕이동,하이파크시티 일산 아이파크 *단지)","","(주)팬글로벌트레이딩","20180124000000","I","2018-08-31 23:59:59.0","","178274.61240500000","467233.19543400000","THE KING RED, THE KING BLUE, THE KING WHITE","KING'S TOBACCO INTERNATIONAL",
"50","담배수입판매업체","11_43_03_P","6260000","20156260000011000002","20150213","","03","폐업","2","폐업","","20180124","","","","","","경기도 고양시 일산서구 덕이동  **통 *반 하이파크시티 일산 아이파크 *단지 ***동 ****호","경기도 고양시 일산서구 하이파크로 ***, ***동 ****호 (덕이동,하이파크시티 일산 아이파크 *단지)","","(주)팬글로벌트레이딩","20190903000000","U","2019-09-05 02:40:00.0","","178274.61240500000","467233.19543400000","THE KING RED, THE KING BLUE, THE KING WHITE","KING'S TOBACCO INTERNATIONAL",
"51","담배수입판매업체","11_43_03_P","6260000","20156260000011000003","20150413","","03","폐업","2","폐업","","","","","","","","부산광역시 해운대구 우동  **통 *반 ***호","부산광역시 해운대구 마린시티*로 *, ***호 (우동,선프라자아파트)","","리퀴드매니아","20161024000000","I","2018-08-31 23:59:59.0","","395615.201853958","186406.750870936","Pure Nicotine","HILIQ BIO-TECH CO.,LTD",
"52","담배수입판매업체","11_43_03_P","6260000","20156260000011000004","20150506","","03","폐업","2","폐업","","","","","","","","부산광역시 해운대구 중동  **통 *반 해운대동일아파트 ***동 ***호","부산광역시 해운대구 해운대해변로 ***, ***동 ***호 (중동,해운대동일아파트)","","웨스턴닉코리아","20160729000000","I","2018-08-31 23:59:59.0","","397783.466885107","187288.050667739","westernnic","Westernnic LLC",
"53","담배수입판매업체","11_43_03_P","6260000","20156260000011000006","20150616","","03","폐업","2","폐업","","20190523","","","","","","부산광역시 남구 용호동  ***번지 *호 **통 *반 LG메트로시티 ***동 ***호","부산광역시 남구 분포로 ***, ***동 ***호 (용호동,LG메트로시티)","","피나인","20190903000000","U","2019-09-05 02:40:00.0","","392191.566830027","183212.927797079","800puff 일회용전자다매 및 전자담배액상","Shenzhen Green Sound High-tech Co. Ltd",
"54","담배수입판매업체","11_43_03_P","6260000","20156260000011000008","20150803","","03","폐업","2","폐업","","20190523","","","","","","부산광역시 금정구 장전동  금정산*차 쌍용예가아파트  ***동 ****호","부산광역시 금정구 수림로**번길 **, ***동 ****층 (장전동,금정산*차쌍용예가아파트)","","(주)퓨어에프앤씨","20190903000000","U","2019-09-05 02:40:00.0","","389745.29908300000","195905.67132200000","pure nicotine, 니코틴각련","SHENZHEN ESCO TECHNOLOGY CO.,LTD, IMPERIAL TOBACCO GROUP PLC",
"55","담배수입판매업체","11_43_03_P","6260000","20146260000011000004","20141211","","03","폐업","2","폐업","","","","","0517539501","","","","부산광역시 연제구 과정로 ***, ***호 (연산동,대동레미안)","","제코스코리아","20160726000000","I","2018-08-31 23:59:59.0","","391881.870996142","189491.528132133","전자담배기기 및 액상","Green Sound High-tech Co., Ltd (중국)",
"56","담배수입판매업체","11_43_03_P","6260000","20166260000011000001","20161011","","03","폐업","2","폐업","","20201102","","","0519590824","","","부산광역시 동래구 명륜동  **통 *반 명륜*차아이파크 ***동 ***호","부산광역시 동래구 시실로 **, ***동 ***호 (명륜동,명륜*차아이파크)","","루이스코리아","20201102000000","U","2020-11-04 02:40:00.0","","390294","192577","니코틴(전자담배)","SHENZHEN ESCO TECHNOLOGY CO., LTD (중국)",
"57","담배수입판매업체","11_43_03_P","6260000","20166260000011000002","20161230","","03","폐업","2","폐업","","","","","","","","부산광역시 해운대구 우동  **통 *반 리오원룸 ***호","부산광역시 해운대구 해운대로***번길 **-*, ***호 (우동,리오원룸)","","리퀴드매니아","20170222000000","I","2018-08-31 23:59:59.0","","396501.043215661","186723.27630883","천연니코틴","HILIQ BIO-TECH CO.,LTD (중국)",
"58","담배수입판매업체","11_43_03_P","6260000","20196260000011000001","20191022","","01","영업/정상","BBBB","영업","","","","","0519891641","","","서울특별시 동작구 신대방동","서울특별시 동작구 신대방길 ** (신대방동)","","주식회사 케이에이치트레이드 해운대지점","20191108000000","U","2019-11-10 02:40:00.0","","192046.526079302","442888.823074784","니코틴이 포함된 액상형 전자담배","shenzhen Weijun(HongKong Vision) Technology (선전웨이쥔첨단기술전자유한회사)",
"59","담배수입판매업체","11_43_03_P","6260000","20206260000011000001","20200103","","01","영업/정상","BBBB","영업","","","","","07070064042","","","부산광역시 동래구 안락동  **통 *반 안락에스케이아파트 ***동 ***호","부산광역시 동래구 충렬대로 ***, ***동 ***호 (안락동,안락에스케이아파트)","","유한회사 하이낙","20200103000000","I","2020-01-05 00:23:25.0","","392235.198208233","190531.622508818","니코틴","HiLIQ CO.,LIMITED",
"60","담배수입판매업체","11_43_03_P","6260000","20216260000011000001","20210427","","01","영업/정상","BBBB","영업","","","","","0514169811","","","부산광역시 사상구 학장동","부산광역시 사상구 가야대로***번길 **, 세보상공(주) (학장동)","","세보상공 주식회사","20210427000000","I","2021-04-29 00:23:08.0","","381619.003962119","184980.177155302","시가, 파이프연초, 롤링타바코","PT BOSS IMAGE NUSANTARA",
"61","담배수입판매업체","11_43_03_P","6260000","20066260000011000001","20061002","","01","영업/정상","BBBB","영업","","","","","0514415009","","46736","부산광역시 강서구 녹산동  ***번지 *호","부산광역시 강서구 낙동남로***번길 ** (녹산동)","","삼우통상(주)","20160414000000","I","2018-08-31 23:59:59.0","","372301.50550489","181444.098421361","궐련(DOUBLE HAPPINESS)","N. V. Sumatra Tobacco Trading Company",
"62","담배수입판매업체","11_43_03_P","6260000","20146260000011000001","20140508","","01","영업/정상","BBBB","영업","","","","","0514682090","","","부산광역시 해운대구 재송동  ****번지","부산광역시 해운대구 센텀중앙로 **, 센텀스카이비즈 ****호 (재송동)","","(주)하카코리아","20200623000000","U","2020-06-25 02:40:00.0","","393424.43334779","188358.631144651","무향 액상","Vape-Usa외 2개소",
"63","담배수입판매업체","11_43_03_P","6260000","20156260000011000005","20150526","","01","영업/정상","BBBB","영업","","","","","","","","부산광역시 해운대구 좌동  ****번지 *호 ***호","부산광역시 수영구 광안해변로***번길 **, 오션브릿지 B동 *층 *호 (민락동)","","(주)엠아이디엠","20201023000000","U","2020-10-25 02:40:00.0","","398175.273830355","187648.570817131","380MG NIC PG BASE, 480MG NIC PG BASE(니코틴액상)","HiLIQ Bio-tech Co., Ltd / BME MY E-LIQUID",
"64","담배수입판매업체","11_43_03_P","6260000","20156260000011000007","20150702","","01","영업/정상","BBBB","영업","","","","","0517557550","","","부산광역시 수영구 민락동  ***-** 지하층","부산광역시 수영구 광남로 ***, 지하층(민락동)","","센텀","20211008000000","U","2021-10-10 02:40:00.0","","393190.472536888","186422.472467638","YOB, 아트, 도스, 스톡홀름아이스","Art Factory AB",
"65","담배수입판매업체","11_43_03_P","6260000","20226260000011000001","20220509","","01","영업/정상","BBBB","영업","","","","","","","46735","부산광역시 강서구 녹산동  ***번지 **호","부산광역시 강서구 낙동남로***번길 *(녹산동)","","카시가","20220509000000","I","2022-05-11 00:22:42.0","","371679.915905131","180863.297963995","","",
