"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","업종구분명","설계감리업종류명","소속국가명","실질자본금",
"14","전력기술감리업체","09_28_12_P","6260000","200362600008600003","20030728","","01","영업/정상","1","인허가","","","","","0512934192","","604815","부산광역시 사하구 괴정1동  1026번지 67호","부산광역시 사하구 회화나무길 77 (괴정동)","604815","(합)조광","20131226144014","I","2018-08-31 23:59:59.0","","381593.485880662","179833.048001743","감리업","전문감리업","대한민국","0",
"15","전력기술감리업체","09_28_12_P","6260000","200262600008600003","20020720","","01","영업/정상","1","인허가","","","","","0515567266","","","부산광역시 부산진구 연지동 41번지 40호","부산광역시 부산진구 동평로 277, 2층 (연지동)","47123","이호기술단(주)","20170221113641","I","2018-08-31 23:59:59.0","","387372.299347705","187727.366163112","감리업","종합감리업","대한민국","0",
"16","전력기술감리업체","09_28_12_P","6260000","200562600008600001","19970506","","01","영업/정상","1","인허가","","","","","0514419070","","614827","부산광역시 부산진구 범천동 842번지 2호 두산위브센티움 301호","부산광역시 부산진구 자유평화로37번길 67, 3층 301호 (범천동,두산위브센티움)","614827","(주)이정이앤씨","20131115103018","I","2018-08-31 23:59:59.0","","387888.649317348","184739.05836488","감리업","종합감리업","대한민국","0",
"17","전력기술감리업체","09_28_12_P","6260000","200562600008600002","20050117","","01","영업/정상","1","인허가","","","","","0518667426","","611070","부산광역시 연제구 거제동  500번지 15호","부산광역시 연제구 거제대로124번길 36, 2층 (거제동)","611070","(주)해강기술단","20180802101210","I","2018-08-31 23:59:59.0","","388569.090759833","188596.789132615","감리업","전문감리업","대한민국","0",
"18","전력기술감리업체","09_28_12_P","6260000","200562600008600003","20050222","","01","영업/정상","1","인허가","","","","","0514693119","","601827","부산광역시 동구 초량3동  135번지 48호","부산광역시 동구 초량중로 99-3 (초량동)","601827","금정엔지니어링(주)","20131226143919","I","2018-08-31 23:59:59.0","","385872.188077484","182068.435002445","감리업","종합감리업","대한민국","0",
"19","전력기술감리업체","09_28_12_P","6260000","199762600008600001","19970314","","01","영업/정상","1","인허가","","","","","0516370316","","607834","부산광역시 동래구 온천1동 474번지 19호  403호","부산광역시 동래구 동래로19번길 2, 403호 (온천동)","607834","(주)한국엔지니어링","20140829163131","I","2018-08-31 23:59:59.0","","389156.480753965","192373.526379535","감리업","종합감리업","대한민국","0",
"20","전력기술감리업체","09_28_12_P","6260000","199762600008600002","19970515","","01","영업/정상","1","인허가","","","","","0514657972","","","부산광역시 부산진구 양정동 252번지 1호 세종빌딩","부산광역시 부산진구 거제천로 52, 전층 (양정동,세종빌딩)","47209","(주)세종기술단","20161121142254","I","2018-08-31 23:59:59.0","","388662.131505051","188609.481783559","감리업","종합감리업","대한민국","0",
"21","전력기술감리업체","09_28_12_P","6260000","199762600008600003","19970605","","01","영업/정상","1","인허가","","","","","0518055540","","614859","부산광역시 부산진구 연지동  41번지 40호","부산광역시 부산진구 동평로 277 (연지동)","614859","신동아전기감리(주)","20131226144918","I","2018-08-31 23:59:59.0","","387372.299347705","187727.366163112","감리업","종합감리업","대한민국","0",
"22","전력기술감리업체","09_28_12_P","6260000","199762600008600004","19970705","","01","영업/정상","1","인허가","","","","","0516364477","","601709","부산광역시 동구 범일동 830번지 295호","부산광역시 동구 자성로141번길 11 (범일동)","601709","(주)한국코아엔지니어링","20150112173417","I","2018-08-31 23:59:59.0","","388188.345022103","184059.516935515","감리업","종합감리업","대한민국","0",
"23","전력기술감리업체","09_28_12_P","6260000","199862600008600001","19980227","","01","영업/정상","1","인허가","","","","","0514627471","","601836","부산광역시 동구 초량3동  1153번지 14호 일신빌딩","부산광역시 동구 중앙대로320번길 3-2 (초량동)","601836","(주)일신전기감리","20131226144632","I","2018-08-31 23:59:59.0","","386410.654229382","182547.99559442","감리업","종합감리업","대한민국","0",
"24","전력기술감리업체","09_28_12_P","6260000","199862600008600003","19980804","","01","영업/정상","1","인허가","","","","","0515574266","","47887","부산광역시 동래구 수안동 40-14 해성퓨리즈빌딩","부산광역시 동래구 온천천로337번길 25, 해성퓨리즈빌딩 3층 (수안동)","47887","(주)한국나이스기술단","20200213171234","U","2020-02-15 02:40:00.0","","390210.4238401","190432.797234886","감리업","종합감리업","대한민국","0",
"25","전력기술감리업체","09_28_12_P","6260000","199962600008600001","19990609","","01","영업/정상","1","인허가","","","","","0518182391","","47251","부산광역시 부산진구 부전동 341-5 삼정기업빌딩 1601호","부산광역시 부산진구 중앙대로775번길 5, 삼정기업빌딩 1601호 (부전동)","47251","(주)광명토탈엔지니어링","20190902143731","U","2019-09-04 02:40:00.0","","387750.084943642","186671.210186448","감리업","종합감리업","대한민국","0",
"26","전력기술감리업체","09_28_12_P","6260000","200262600008600001","20020315","","01","영업/정상","1","인허가","","","","","0515070119","","614873","부산광역시 부산진구 초읍동   359번지 13호","부산광역시 부산진구 성지곡로51번길 27 (초읍동)","","(주)정엔지니어링","20080407164620","I","2018-08-31 23:59:59.0","","386429.088222972","189527.208126756","감리업","종합감리업","대한민국","",
"27","전력기술감리업체","09_28_12_P","6260000","200662600008600006","20060623","","01","영업/정상","1","인허가","","","","","0515526868","","46249","부산광역시 금정구 구서동 177-1 우남타워","부산광역시 금정구 중앙대로 1942, 우남타워 12층 (구서동)","46249","(주)유일방재엔지니어링","20190702164210","U","2019-07-04 02:40:00.0","","390287.835408943","197374.269349615","감리업","종합감리업","대한민국","100000000",
"28","전력기술감리업체","09_28_12_P","6260000","200662600008600007","20060913","","01","영업/정상","1","인허가","","","","","0518073306","","614849","부산광역시 부산진구 부전1동  406번지 1호 광명빌딩 4층","부산광역시 부산진구 서면문화로 43, 4층 (부전동,광명빌딩)","614849","(주)도시이앤씨","20131226143652","I","2018-08-31 23:59:59.0","","387201.360805555","186567.130891234","감리업","종합감리업","대한민국","100000000",
"29","전력기술감리업체","09_28_12_P","6260000","200662600008600008","20061123","","01","영업/정상","1","인허가","","","","","0515577270","","47857","부산광역시 동래구 사직동 53-18 사직동보현타워 501호","부산광역시 동래구 석사로 35, 사직동보현타워 501호 (사직동)","47857","이호전설(주)","20190214141218","U","2019-02-16 02:40:00.0","","387815.883450564","190921.353281659","감리업","전문감리업","대한민국","200000000",
"30","전력기술감리업체","09_28_12_P","6260000","200762600008600003","20070427","","01","영업/정상","1","인허가","","","","","0518679548","","","부산광역시 연제구 연산동 1492번지 16호","부산광역시 연제구 월드컵대로145번길 102, 2층 (연산동)","47541","(주)디에이치기술단","20210122092407","U","2021-01-24 02:40:00.0","","389194.573056155","189002.258602371","감리업","종합감리업","대한민국","100000000",
"31","전력기술감리업체","09_28_12_P","6260000","200762600008600004","20070612","","01","영업/정상","1","인허가","","","","","0515066677","","607813","부산광역시 동래구 사직3동   147번지 79호 2층","부산광역시 동래구 여고로127번길 23 (사직동,2층)","","(주)성림기술단","20071210142836","I","2018-08-31 23:59:59.0","","388992.767238733","190936.058615257","감리업","전문감리업","대한민국","501797000",
"32","전력기술감리업체","09_28_12_P","6260000","200762600008600008","20071109","","01","영업/정상","1","인허가","","","","","0519132000","","48045","부산광역시 해운대구 반여동 1095-22","부산광역시 해운대구 삼어로133번나길 14(반여동)","48045","(주)우일엔지니어링","20220317110354","U","2022-03-19 02:40:00.0","","392832.20787328","191946.572654354","감리업","종합감리업","대한민국","50000000",
"33","전력기술감리업체","09_28_12_P","6260000","200862600008600002","20080325","","01","영업/정상","1","인허가","","","","","0515574266","","","부산광역시 동래구 수안동 41번지 6호 삼운빌딩","부산광역시 동래구 수안로8번길 12, 4층 (수안동,삼운빌딩)","47887","(주)더베스트이앤씨","20151106134002","I","2018-08-31 23:59:59.0","","390135.290029165","190379.346493464","감리업","종합감리업","대한민국","100000000",
"34","전력기술감리업체","09_28_12_P","6260000","200962600008600001","20090121","","01","영업/정상","1","인허가","","","","","0515263014","","607828","부산광역시 동래구 안락1동   428번지 3호 11통 1반","부산광역시 동래구 안락로 27 (안락동)","","부성기술단","20090121175139","I","2018-08-31 23:59:59.0","","391183.877232317","191067.989112344","감리업","전문감리업","대한민국","51145437",
"35","전력기술감리업체","09_28_12_P","6260000","201062600008600001","20100322","","01","영업/정상","1","인허가","","","","","07082857806","","47743","부산광역시 동래구 명륜동 673-12 대월오피스텔 801호","부산광역시 동래구 명륜로 175, 대월오피스텔 8층 801호 (명륜동)","47743","엘티유이엔지","20200716111257","U","2020-07-18 02:40:00.0","","389533.720223093","192019.21254215","감리업","전문감리업","대한민국","50000000",
"36","전력기술감리업체","09_28_12_P","6260000","201062600008600002","20100324","","01","영업/정상","1","인허가","","","","","0517220855","","619906","부산광역시 기장군 기장읍 174번지 3호","부산광역시 기장군 기장읍 청강로85번길 16","619906","대경기술(주)","20130625135056","I","2018-08-31 23:59:59.0","","402151.771230132","195569.971287865","감리업","전문감리업","대한민국","50000000",
"37","전력기술감리업체","09_28_12_P","6260000","201062600008600003","20100526","","01","영업/정상","1","인허가","","","","","0514165168","","","","부산광역시 동구 고관로13번길 23, 202호 (초량동)","601827","(주)해강이앤씨","20120103083827","I","2018-08-31 23:59:59.0","","385954.414629176","182118.937988085","감리업","전문감리업","","0",
"38","전력기술감리업체","09_28_12_P","6260000","199862600008600007","19980711","","01","영업/정상","1","인허가","","","","","0515577735","","","부산광역시 연제구 연산동 1385번지 6호","부산광역시 연제구 중앙대로1065번길 3-2 (연산동)","47541","지에스피협동(주)","20211117132309","U","2021-11-19 02:40:00.0","","389292.42465494","189086.697131982","감리업","전문감리업","대한민국","100000000",
"39","전력기술감리업체","09_28_12_P","6260000","201262600008600001","20120202","","01","영업/정상","1","인허가","","","","","0518187340","","48494","부산광역시 남구 대연동 892-10 대성맨션 상가동 110호","부산광역시 남구 유엔로 127-2, 대성맨션 상가동 1층 110호 (대연동)","48494","(주)골드이엔지","20180921100215","U","2018-09-21 23:59:59.0","","390421.628061896","183263.851233042","감리업","종합감리업","대한민국","0",
"40","전력기술감리업체","09_28_12_P","6260000","199762600008600006","19971118","","01","영업/정상","1","인허가","","","","","0518070119","","614862","부산광역시 부산진구 전포2동  170번지 1호 서면한신하이텔 703호","부산광역시 부산진구 전포대로 294, 703호 (전포동,서면한신하이텔)","614862","대원포비스(주)","20120220093300","I","2018-08-31 23:59:59.0","","388211.357283308","186804.440373642","감리업","종합감리업","대한민국","",
"41","전력기술감리업체","09_28_12_P","6260000","201362600008600002","20130718","","01","영업/정상","1","인허가","","","","","0517140074","","607817","부산광역시 동래구 사직동 104번지 7호","부산광역시 동래구 아시아드대로 111-1, 3층 (사직동)","607817","(주)중앙엔지니어링건축사사무소","20160406155139","I","2018-08-31 23:59:59.0","","388100.494333843","190320.753470036","감리업","종합감리업","대한민국","0",
"42","전력기술감리업체","09_28_12_P","6260000","201362600008600004","20130809","","01","영업/정상","1","인허가","","","","","0512545545","","600803","부산광역시 중구 보수동1가 116번지 15호 한신스포렉스 902호","부산광역시 중구 고가길 32, 902호 (보수동1가,한신스포렉스)","600803","(주)에스앤씨하이텍","20150604105530","I","2018-08-31 23:59:59.0","","384758.478990296","180165.17593179","감리업","전문감리업","대한민국","50000000",
"43","전력기술감리업체","09_28_12_P","6260000","200262600008600005","20020408","","01","영업/정상","1","인허가","","","","","0517827500","","","부산광역시 해운대구 재송동 1210번지 벽산e-센텀클래스원 1308호","부산광역시 해운대구 센텀동로 99, 1308호 (재송동,벽산e-센텀클래스원)","48059","(주)선진이엔지","20201207121232","U","2020-12-09 02:40:00.0","","393553.326853219","188402.465080284","감리업","종합감리업","대한민국","0",
"44","전력기술감리업체","09_28_12_P","6260000","201362600008600006","20131204","","01","영업/정상","1","인허가","","","","","0513238151","","614875","부산광역시 부산진구 가야동 60번지 21호 4층","부산광역시 부산진구 가야대로507번길 130, 4층 (가야동)","614875","주호E&C","20210727101643","U","2021-07-29 02:40:00.0","","385176.737186745","185974.672147856","감리업","종합감리업","대한민국","50000000",
"45","전력기술감리업체","09_28_12_P","6260000","199762600008600008","19970702","","01","영업/정상","1","인허가","","","","","0515588041","","607829","부산광역시 동래구 안락1동   633번지 44호 안락빌딩4층","부산광역시 동래구 안연로 56 (안락동,안락빌딩4층)","","(주)동영","20091026113937","I","2018-08-31 23:59:59.0","","391150.163527661","190145.061792969","감리업","전문감리업","대한민국","",
"46","전력기술감리업체","09_28_12_P","6260000","199862600008600002","19980425","","01","영업/정상","1","인허가","","","","","0518082750","","614865","부산광역시 부산진구 전포2동   194번지 27호 남경빌딩 2층","부산광역시 부산진구 전포대로 242 (전포동,남경빌딩 2층)","","보원엔지니어링(주)","20110307103500","I","2018-08-31 23:59:59.0","","388153.884601013","186287.197415739","감리업","종합감리업","대한민국","0",
"47","전력기술감리업체","09_28_12_P","6260000","200862600008600006","20081008","","01","영업/정상","1","인허가","","","","","0517140019","","48508","부산광역시 남구 대연동 55-1 21센츄리시티오피스텔 1702호","부산광역시 남구 수영로 312, 21센츄리시티오피스텔 1702호 (대연동)","48508","(주)드림기술단","20220204132033","U","2022-02-06 02:40:00.0","","391411.212179843","184052.409245407","감리업","전문감리업","대한민국","50000000",
"48","전력기술감리업체","09_28_12_P","6260000","199962600008600003","19990917","","01","영업/정상","1","인허가","","","","","0512483033","","600712","부산광역시 중구 남포동5가 92번지 신동아빌딩 513호","부산광역시 중구 자갈치로 42, 513호 (남포동5가,신동아빌딩)","600712","(주)상지엔지니어링건축사사무소","20181116151040","U","2018-11-18 02:37:50.0","","384953.004015023","179411.688598493","감리업","종합감리업","대한민국","0",
"49","전력기술감리업체","09_28_12_P","6260000","199762600008600007","19970402","","01","영업/정상","1","인허가","","","","","0512548141","","600803","부산광역시 중구 보수동1가  145번지 28호 한신스포렉스 901호","부산광역시 중구 고가길 32, 901호 (보수동1가,한신스포렉스)","600803","(주)한신콘설탄트","20151102194304","I","2018-08-31 23:59:59.0","","384753.432651155","180176.033804153","감리업","종합감리업","대한민국","0",
"50","전력기술감리업체","09_28_12_P","6260000","201462600008600002","20140314","","01","영업/정상","1","인허가","","","","","0515574245","","607823","부산광역시 동래구 수안동  40번지 2호","부산광역시 동래구 온천천로319번길 12 (수안동)","607823","(주)한국나이스이엔지","20141029171421","I","2018-08-31 23:59:59.0","","390144.111432534","190453.524937101","감리업","종합감리업","대한민국","50000000",
"51","전력기술감리업체","09_28_12_P","6260000","201462600008600004","20140619","","01","영업/정상","1","인허가","","","","","07088537323","","47209","부산광역시 부산진구 양정동 252-1","부산광역시 부산진구 거제천로 52, 5층(양정동)","47209","(주)진일기술단","20210927141952","U","2021-09-29 02:40:00.0","","388662.131505051","188609.481783559","감리업","종합감리업","대한민국","100000000",
"52","전력기술감리업체","09_28_12_P","6260000","201462600008600006","20141014","","01","영업/정상","1","인허가","","","","","0515011193","","607839","부산광역시 동래구 온천동 1350번지 한사랑@상가 401호","부산광역시 동래구 아시아드대로255번가길 8-9, 401호 (온천동,한사랑@상가)","607839","(주) 현대이엔지","20160420092736","I","2018-08-31 23:59:59.0","","388145.747561927","191865.158754271","감리업","종합감리업","대한민국","100000000",
"53","전력기술감리업체","09_28_12_P","6260000","200562600008600004","20050721","","01","영업/정상","1","인허가","","","","","0518688577","","","부산광역시 연제구 연산동 1366번지 1호 더&#49406;시티애비뉴2차 203동 602호","부산광역시 연제구 시청로 12, 203동 602호 (연산동,더&#49406;시티애비뉴2차)","47542","(주)미래기술이엔지","20170613110452","I","2018-08-31 23:59:59.0","","389031.59363925","188864.606620072","감리업","종합감리업","대한민국","0",
"54","전력기술감리업체","09_28_12_P","6260000","201562600008600001","20150211","","01","영업/정상","1","인허가","","","","","0519268832","","47877","부산광역시 동래구 수안동 166-9 태웅빌딩 502호","부산광역시 동래구 충렬대로238번길 31, 태웅빌딩 502호 (수안동)","47877","(주)와이앤제이이앤씨","20180202110445","I","2018-08-31 23:59:59.0","","389825.202958159","190963.837138882","감리업","종합감리업","","100000000",
"55","전력기술감리업체","09_28_12_P","6260000","200562600008600008","20050216","","01","영업/정상","1","인허가","","","","","0512548141","","600803","부산광역시 중구 보수동1가 116번지 15호  903호","부산광역시 중구 고가길 32, 903호 (보수동1가)","600803","(주)엠피코씨엠","20150813135159","I","2018-08-31 23:59:59.0","","384758.478990296","180165.17593179","감리업","종합감리업","대한민국","105000000",
"56","전력기술감리업체","09_28_12_P","6260000","201562600008600003","20151119","","01","영업/정상","1","인허가","","","","","0515066051","","","부산광역시 연제구 거제동 500번지 12호","부산광역시 연제구 거제대로118번길 27, 3층 (거제동)","47547","(주)효성기술단","20170627161109","I","2018-08-31 23:59:59.0","","388538.533591728","188568.966252015","감리업","전문감리업","대한민국","62872300",
"57","전력기술감리업체","09_28_12_P","6260000","201662600008600001","20160120","","01","영업/정상","1","인허가","","","","","0517146417","","","부산광역시 연제구 연산동 1310번지 20호 토목회관(지하)","부산광역시 연제구 중앙대로1050번길 5, 지하층 (연산동,토목회관)","47598","(주)청림이앤씨","20190312130029","U","2019-03-14 02:40:00.0","","389322.05480288","188948.591685089","감리업","종합감리업","대한민국","100000000",
"58","전력기술감리업체","09_28_12_P","6260000","201662600008600002","20160211","","01","영업/정상","1","인허가","","","","","0517283799","","","부산광역시 기장군 정관읍 용수리 566번지 1호","부산광역시 기장군 정관읍 신정관로 431","46004","(주)조이전기","20160211103926","I","2018-08-31 23:59:59.0","","397841.1913726","206027.79373991","감리업","전문감리업","대한민국","50000000",
"59","전력기술감리업체","09_28_12_P","6260000","201662600008600003","20160421","","01","영업/정상","1","인허가","","","","","0516441744","","","부산광역시 동래구 낙민동 77번지 1호 한일유엔아이 상가동 202호","부산광역시 동래구 온천천로339번길 28, 202호 (낙민동,한일유엔아이상가동)","47886","(주)장인기술단","20160617153503","I","2018-08-31 23:59:59.0","","390440.372777095","190466.87922002","감리업","종합감리업","대한민국","100000000",
"60","전력기술감리업체","09_28_12_P","6260000","201662600008600004","20160426","","01","영업/정상","1","인허가","","","","","0517119565","","48742","부산광역시 동구 범일동 830-296 진흥마제스타워범일 103동 3407호","부산광역시 동구 자성로133번길 6, 103동 3407호 (범일동, 진흥 마제스타워 범일)","48742","(주)세부엔지니어링","20220427153005","U","2022-04-29 02:40:00.0","","388171.887743719","184002.524603295","감리업","전문감리업","대한민국","60374000",
"61","전력기술감리업체","09_28_12_P","6260000","201662600008600005","20160607","","01","영업/정상","1","인허가","","","","","07086771130","","48786","부산광역시 동구 수정동 1043-48 성인아트빌라 201호","부산광역시 동구 홍곡남로 8-3, 201호(수정동, 성인아트빌라)","48786","삼성유비스(주)","20211026124006","U","2021-10-28 02:40:00.0","","385844.341469271","182541.642780383","감리업","종합감리업","대한민국","50000000",
"62","전력기술감리업체","09_28_12_P","6260000","201662600008600006","20160909","","01","영업/정상","1","인허가","","","","","0517140019","","46981","부산광역시 사상구 감전동 132-7 부산디지털밸리 1105호","부산광역시 사상구 대동로 303, 부산디지털밸리 1105호 (감전동)","46981","(주)드림종합기술단","20220204131658","U","2022-02-06 02:40:00.0","","380981.41459300000","186059.08147100000","감리업","종합감리업","대한민국","94168400",
"63","전력기술감리업체","09_28_12_P","6260000","201062600008600004","20101029","","01","영업/정상","1","인허가","","","","","0515204000","","","부산광역시 부산진구 부암동 735번지 부산서면동문굿모닝 상가동","부산광역시 부산진구 신천대로220번길 65, 상가동 지하1층 (부암동,부산서면동문굿모닝)","47193","(주)한가람","20190221101038","U","2019-02-23 02:40:00.0","","387009.24128532","186676.384325999","감리업","전문감리업","대한민국","0",
"64","전력기술감리업체","09_28_12_P","6260000","201762600008600002","20170111","","01","영업/정상","1","인허가","","","","","0517607600","","","부산광역시 수영구 광안동 536번지 140호 거원빌딩","부산광역시 수영구 광일로29번길 68, 4층 (광안동,거원빌딩)","48252","(주)거원엔지니어링","20200115173102","U","2020-01-17 02:40:00.0","","392224.467985294","186512.809983141","감리업","전문감리업","대한민국","215118983",
"65","전력기술감리업체","09_28_12_P","6260000","201762600008600003","20170213","","01","영업/정상","1","인허가","","","","","0518087862","","","부산광역시 부산진구 전포동 681번지 2호 테크노플라자 A동 410-1호","부산광역시 부산진구 전포대로223번길 19, A동 410-1호 (전포동,테크노플라자)","47293","솔로몬기술단","20170213154958","I","2018-08-31 23:59:59.0","","388005.691688458","186077.039992466","감리업","전문감리업","대한민국","50000000",
"66","전력기술감리업체","09_28_12_P","6260000","201762600008600005","20170310","","01","영업/정상","1","인허가","","","","","0515574266","","46004","부산광역시 기장군 정관읍 용수리 566-1","부산광역시 기장군 정관읍 신정관로 431","46004","(주)조이테크","20220415134739","U","2022-04-17 02:40:00.0","","397861","206045","감리업","종합감리업","대한민국","50000000",
"67","전력기술감리업체","09_28_12_P","6260000","201762600008600006","20170605","","01","영업/정상","1","인허가","","","","","0518086906","","","부산광역시 연제구 거제동 89번지 61호","부산광역시 연제구 교대로22번길 4, 4층 (거제동)","47505","(주)욱동방재","20170605143424","I","2018-08-31 23:59:59.0","","389123.951556564","190485.92641281","감리업","전문감리업","대한민국","50000000",
"68","전력기술감리업체","09_28_12_P","6260000","201762600008600007","20170627","","01","영업/정상","1","인허가","","","","","0518320533","","","부산광역시 강서구 생곡동 1599번지 8호","부산광역시 강서구 가달2로 24 (생곡동)","46729","(주)제이케이알에스티","20170627113704","I","2018-08-31 23:59:59.0","","371075.638604429","183594.649190919","감리업","전문감리업","대한민국","120000000",
"69","전력기술감리업체","09_28_12_P","6260000","201762600008600008","20170707","","01","영업/정상","1","인허가","","","","","0515066900","","47838","부산광역시 동래구 온천동 1378-9 대화빌 201호","부산광역시 동래구 여고북로73번길 34, 201호(온천동, 대화빌)","47838","규영플랜","20220519100240","U","2022-05-21 02:40:00.0","","388349.820160974","191161.835111003","감리업","전문감리업","대한민국","50582000",
