"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","업무구분","건축물명","건축물연면적","건축물상태명","청소대상시작일자","청소대상종료일자","휴업폐지사유","업무구분명",
"35","저수조청소업","09_30_14_P","3270000","327000031200300002","20071214","","03","폐업","2","폐업","20190729","","","","051-644-0264","","","부산광역시 동구 범일동 26-4","부산광역시 동구 중앙대로 541 (범일동)","","(주)시아산업","20201218103018","U","2020-12-20 02:40:00.0","","387306.960651485","184421.069208033","31","","","","","","사업장 폐업(사업 부진)","저수조청소업",
"36","저수조청소업","09_30_14_P","3270000","327000031200300003","20110119","","03","폐업","2","폐업","20110119","","","","051-644-2214","","","부산광역시 동구 초량동 113-10","부산광역시 동구 고관로13번길 48 (초량동)","","(주)디이씨오","20201218103046","U","2020-12-20 02:40:00.0","","385844.363331599","182195.059413111","31","","","","","","사업장 이전","저수조청소업",
"37","저수조청소업","09_30_14_P","3270000","327000031200600003","20060810","","03","폐업","2","폐업","20160729","","","","","","","","부산광역시 동구 조방로49번길 15 (범일동)","","(주)승학","20160729143830","I","2018-08-31 23:59:59.0","","387699.977135934","184192.838365023","31","","","","","","소재지 이전(중구) 폐업","저수조청소업",
"38","저수조청소업","09_30_14_P","3270000","327000031200300004","20070914","","03","폐업","2","폐업","","","","","469-0900","","","부산광역시 동구 초량동 1169-3","부산광역시 동구 중앙대로 270  (초량동)","","(주)미화실업","20150105205842","I","2018-08-31 23:59:59.0","","386177.958994368","182089.626704726","31","","","","","","남구 이전","저수조청소업",
"39","저수조청소업","09_30_14_P","3270000","327000031200300005","20070525","","03","폐업","2","폐업","","","","","461-0055","","","부산광역시 동구 초량동 1212-11","부산광역시 동구 대영로 261  (초량동)","","광명종합기업(주)","20150105205842","I","2018-08-31 23:59:59.0","","385846.371350951","181097.551650065","31","","","","","","이전","저수조청소업",
"40","저수조청소업","09_30_14_P","3270000","327000031200300006","20111117","","03","폐업","2","폐업","20210820","","","","051-634-0134","","","부산광역시 동구 범일동 828-1 대우증권빌딩 지하1층","부산광역시 동구 자성로 129 (범일동, 대우증권빌딩 B1)","","(주)미성기업","20210823090454","U","2021-08-25 02:40:00.0","","388093.750765206","183987.072854149","31","","0","","","","동구 -> 남구로 주소지 이전","저수조청소업",
"41","저수조청소업","09_30_14_P","3270000","327000031200300009","20071116","","03","폐업","2","폐업","","","","","441-0004","","","부산광역시 동구 초량동 1200-11","부산광역시 동구 중앙대로214번길 3-2  (초량동)","","삼화종합관리(주)","20150105205842","I","2018-08-31 23:59:59.0","","386012.07587508","181582.306413079","31","","","","","","회사정리","저수조청소업",
"42","저수조청소업","09_30_14_P","3270000","327000031200300010","20071119","","03","폐업","2","폐업","","","","","468-7577","","","부산광역시 동구 초량동 1162-26","부산광역시 동구 중앙대로286번길 7-9  (초량동)","","(주)청원환경산업","20150105205842","I","2018-08-31 23:59:59.0","","386315.929962294","182280.199123631","31","","","","","","폐업","저수조청소업",
"43","저수조청소업","09_30_14_P","3270000","327000031200500001","20110906","","03","폐업","2","폐업","20110906","","","","051-469-5714","","","부산광역시 동구 초량동 1204-7 혁정루빌딩 5층","부산광역시 동구 중앙대로196번길 6-7  (초량동,혁정루빌딩 5층)","","(주)시온씨엔씨","20150105205842","I","2018-08-31 23:59:59.0","","385906.073130304","181303.884021228","31","","","","","","영업부진","저수조청소업",
"44","저수조청소업","09_30_14_P","3270000","327000031200500002","20100728","","03","폐업","2","폐업","20100728","","","","051-637-3700","","","부산광역시 동구 범일동 833-36 대흥빌딩 5층","부산광역시 동구 조방로49번길 18  (범일동,대흥빌딩 5층)","","(주)청람","20150105205842","I","2018-08-31 23:59:59.0","","387669.55322675","184175.49076279","31","","","","","","경영상","저수조청소업",
"45","저수조청소업","09_30_14_P","3270000","327000031200600002","20071011","","03","폐업","2","폐업","","","","","051-465-3021","","","부산광역시 동구 초량동 1163-4 복천빌딩 4층","부산광역시 동구 중앙대로286번길 3-11  (초량동,복천빌딩 4층)","","(주)에스텍용역","20150105205842","I","2018-08-31 23:59:59.0","","386281.366504692","182294.332447227","31","","","","","","폐업","저수조청소업",
"46","저수조청소업","09_30_14_P","3270000","327000031200700001","20081007","","03","폐업","2","폐업","20190813","","","","051-441-9955","","","부산광역시 동구 초량동 1157-8","부산광역시 동구 중앙대로308번길 3-5 (초량동)","48729","(주)국제안전관리","20201218122543","U","2020-12-20 02:40:00.0","","386351.941329364","182468.78681462","31","","","","","","사무실 이전으로 인한 폐업","저수조청소업",
"47","저수조청소업","09_30_14_P","3270000","327000031200700002","20150126","","03","폐업","2","폐업","20160113","","","","051-465-4036","","","부산광역시 동구 초량동 1213-22 소영빌딩 202호","부산광역시 동구 중앙대로180번길 12-13, 202호 (초량동,소영빌딩)","","동화기업(주)","20201218122618","U","2020-12-20 02:40:00.0","","385898.962832744","181123.272028802","31","","","","","","소재지 이전(부산광역시 금정구)","저수조청소업",
"48","저수조청소업","09_30_14_P","3270000","327000031200800001","20170724","","03","폐업","2","폐업","20171115","","","","051-461-0055","","","부산광역시 동구 초량동 1169-13 새담빌딩","부산광역시 동구 중앙대로 262 (초량동, 새담빌딩)","","케이비유니온개발(주)","20201218122703","U","2020-12-20 02:40:00.0","","386151.348772833","182004.96097576","31","","","","","","영업부진","저수조청소업",
"49","저수조청소업","09_30_14_P","3270000","327000031201500001","20170530","","04","취소/말소/만료/정지/중지","4","폐쇄","20200520","","","","051-465-9428","","","부산광역시 동구 초량동 1157-8","부산광역시 동구 중앙대로308번길 3-5 (초량동)","48729","(주)케이제이씨에스","20201218105631","U","2020-12-20 02:40:00.0","","386351.941329364","182468.78681462","31","","","","","","사업장 이전으로 연제구 전출.","저수조청소업",
"50","저수조청소업","09_30_14_P","3280000","328000031200700001","20201105","","01","영업/정상","11","정상","","","","","051-417-9119","","","부산광역시 영도구 봉래동3가 100-1 봉래B/D 502호","부산광역시 영도구 대교로2번길 7 (봉래동3가,봉래B/D 502호)","","신광환경","20201113093924","U","2020-11-15 02:40:00.0","","386389.897613775","179062.530868645","31","","","","","","","저수조청소업",
"51","저수조청소업","09_30_14_P","3280000","328000031200300001","20080604","","03","폐업","2","폐업","","","","","","","","부산광역시 영도구 봉래동4가 185-1 8통1반 선경빌라 102호","부산광역시 영도구 아리랑길 77,  102호 (봉래동4가,선경빌라)","","신광환경산업","20150105210114","I","2018-08-31 23:59:59.0","","386731.596440652","178894.906823104","31","","","","","","사업장 2개중 1개소(대한특수개발)만 운영하기 위함","저수조청소업",
"52","저수조청소업","09_30_14_P","3280000","328000031200300002","20071217","","03","폐업","2","폐업","20161031","","","","051-403-2078","","","부산광역시 영도구 동삼동 1123-6 금정빌딩 501호","부산광역시 영도구 상리로 33 (동삼동, 금정빌딩 501호)","","동해산업","20161107104923","I","2018-08-31 23:59:59.0","","388523.998277576","178137.572520066","31","","","","","","영업부진","저수조청소업",
"53","저수조청소업","09_30_14_P","3290000","329000031202200001","20220225","","01","영업/정상","11","정상","","","","","051-896-3576","","","부산광역시 부산진구 당감동 659-1 태우선파크맨션","부산광역시 부산진구 백양순환로35번길 43, 상가층 103호 (당감동, 태우선파크맨션)","47160","동원클린시스템","20220225173605","I","2022-02-27 00:22:37.0","","385072.790501671","187254.361380622","31","","0","","","","","저수조청소업",
"54","저수조청소업","09_30_14_P","3290000","329000031200800002","20090827","","01","영업/정상","11","정상","","","","","804-7482","","","부산광역시 부산진구 개금동 177-345","부산광역시 부산진구 복지로21번길 13  (개금동)","","대림종합환경(크린하우스)","20150105205851","I","2018-08-31 23:59:59.0","","384103.593318272","185446.931321456","31","","","","","","","저수조청소업",
"55","저수조청소업","09_30_14_P","3290000","329000031200400008","20061213","","01","영업/정상","11","정상","","","","","051-805-1409","","","부산광역시 부산진구 부전동 144-1","부산광역시 부산진구 동천로 105 (부전동)","","(주)청천환경산업","20201207171301","U","2020-12-09 02:40:00.0","","387822.716263267","186277.694026152","31","","","","","","","저수조청소업",
"56","저수조청소업","09_30_14_P","3290000","329000031202000001","20200608","","01","영업/정상","11","정상","","","","","051-751-3370","","","부산광역시 부산진구 양정동 78-9","부산광역시 부산진구 양지로5번길 76, 지하1층 (양정동)","47221","청수환경","20200609135655","I","2020-06-11 00:23:29.0","","388700.55267108","187882.542539037","31","","","","","","","저수조청소업",
"57","저수조청소업","09_30_14_P","3290000","329000031200500002","20081223","","01","영업/정상","11","정상","","","","","645-9588","","","부산광역시 부산진구 당감동 87-23","부산광역시 부산진구 가야대로691번길 34  (당감동)","","삼영물탱크","20150105205851","I","2018-08-31 23:59:59.0","","386357.91939365","186207.422341303","31","","","","","","","저수조청소업",
"58","저수조청소업","09_30_14_P","3290000","329000031200500005","20160121","","01","영업/정상","11","정상","","","","","","","","부산광역시 부산진구 당감동 659-1 대우선파크상가 104호","부산광역시 부산진구 백양순환로35번길 43, 104호 (당감동,대우선파크상가)","","(주)동원환경","20160126162005","I","2018-08-31 23:59:59.0","","385072.790501671","187254.361380622","31","","","","","","","저수조청소업",
"59","저수조청소업","09_30_14_P","3290000","329000031200300002","20010601","","01","영업/정상","11","정상","","","","","(051)807-5460","","","부산광역시 부산진구 연지동 33-15","부산광역시 부산진구 동평로291번길 61 (연지동)","","가가수조","20201208105523","U","2020-12-10 02:40:00.0","","387282.185354343","187989.822488776","31","","","","","","","저수조청소업",
"60","저수조청소업","09_30_14_P","3290000","329000031200300005","19950529","","01","영업/정상","11","정상","","","","","(051)898-1033","","","부산광역시 부산진구 당감동 232-4 (1)동","부산광역시 부산진구 백양대로 52 (1)동 (당감동)","","(주)광성기업","20150105205851","I","2018-08-31 23:59:59.0","","386148.740054304","186747.933664596","31","","","","","","","저수조청소업",
"61","저수조청소업","09_30_14_P","3290000","329000031200300006","20120308","","01","영업/정상","11","정상","","","","","(051)807-2124","","","부산광역시 부산진구 양정동 150-3 시청역롯데골드로즈 811호","부산광역시 부산진구 중앙대로 993, 시청역롯데골드로즈 (양정동)","47209","(주)한특","20201208110237","U","2020-12-10 02:40:00.0","","388926.25548886","188502.470592042","31","","","","","","","저수조청소업",
"62","저수조청소업","09_30_14_P","3290000","329000031200300008","20160102","","01","영업/정상","11","정상","","","","","(051)808-2580","","","부산광역시 부산진구 전포동 378-31","부산광역시 부산진구 전포대로132번길 12 (전포동)","","(주)금성ENT","20201208110524","U","2020-12-10 02:40:00.0","","388289.841360157","185247.303050675","31","","","","","","","저수조청소업",
"63","저수조청소업","09_30_14_P","3290000","329000031200300019","20161010","","01","영업/정상","11","정상","","","","","(051)803-8898","","","부산광역시 부산진구 전포동 201-1","부산광역시 부산진구 서전로67번길 15, 1층 (전포동)","","도시환경","20201208104504","U","2020-12-10 02:40:00.0","","388278.828340371","186325.671881196","31","","","","","","","저수조청소업",
"64","저수조청소업","09_30_14_P","3290000","329000031200300020","20050916","","01","영업/정상","11","정상","","","","","(051)863-1802","","","부산광역시 부산진구 연지동 70-13","부산광역시 부산진구 동평로265번길 51  (연지동)","","조은환경","20150105205851","I","2018-08-31 23:59:59.0","","387177.135220023","187922.437593453","31","","","","","","","저수조청소업",
"65","저수조청소업","09_30_14_P","3290000","329000031200300021","20071126","","01","영업/정상","11","정상","","","","","(051)806-5620","","","부산광역시 부산진구 부암동 38-5","부산광역시 부산진구 새싹로 123  (부암동)","","k.s환경","20150105205851","I","2018-08-31 23:59:59.0","","386798.854853296","187265.433824081","31","","","","","","","저수조청소업",
"66","저수조청소업","09_30_14_P","3290000","329000031201400001","20160309","","01","영업/정상","11","정상","","","","","051-897-3200","","","부산광역시 부산진구 부암동 373-7","부산광역시 부산진구 당감로64번길 68 (당감동)","","크린포스","20201209140911","U","2020-12-11 02:40:00.0","","385983.651198239","187363.020207165","31","","","","","","","저수조청소업",
"67","저수조청소업","09_30_14_P","3290000","329000031201400002","20140520","","01","영업/정상","11","정상","","","","","","","","부산광역시 부산진구 양정동 22-107","부산광역시 부산진구 양정로 96 (양정동)","","가고파 물탱크 청소","20201209141243","U","2020-12-11 02:40:00.0","","389441.441186531","187789.180416244","31","","","","","","","저수조청소업",
"68","저수조청소업","09_30_14_P","3290000","329000031201500001","20200630","","01","영업/정상","11","정상","","","","","051-338-0457","","","부산광역시 부산진구 전포동","부산광역시 부산진구 진남로356번길 69, 1동 101호 (전포동)","","부산경남청소","20201209141453","U","2020-12-11 02:40:00.0","","388569.448930725","185453.187416704","31","","","","","","","저수조청소업",
"69","저수조청소업","09_30_14_P","3290000","329000031201500002","20170530","","01","영업/정상","11","정상","","","","","","","","부산광역시 부산진구 전포동 683-16","부산광역시 부산진구 전포대로209번길 39-8, 6층 (전포동)","","부일환경시스템","20201209142048","U","2020-12-11 02:40:00.0","","387893.750145629","185934.976076019","31","","","","","","","저수조청소업",
"70","저수조청소업","09_30_14_P","3290000","329000031201600001","20160722","","01","영업/정상","11","정상","","","","","","","","부산광역시 부산진구 연지동 219-35","부산광역시 부산진구 연지로43번길 30 (연지동)","","칠일환경","20220315104953","U","2022-03-17 02:40:00.0","","387019.381697334","187978.210480339","31","","0","","","","","저수조청소업",
"71","저수조청소업","09_30_14_P","3290000","329000031201600002","20161111","","01","영업/정상","11","정상","","","","","","","","부산광역시 부산진구 연지동 340-13","부산광역시 부산진구 동평로223번길 77 (연지동)","","세계환경공사","20201209143659","U","2020-12-11 02:40:00.0","","386683.727647506","187837.82894101","31","","","","","","","저수조청소업",
"72","저수조청소업","09_30_14_P","3290000","329000031201700001","20211014","","01","영업/정상","11","정상","","","","","051-807-4035","","","부산광역시 부산진구 부전동 397-23","부산광역시 부산진구 서면문화로 18-2, 3층 (부전동)","47256","(주)이앤에스","20211014174302","U","2021-10-16 02:40:00.0","","387365.628521734","186402.431231965","31","","0","","","","","저수조청소업",
"73","저수조청소업","09_30_14_P","3290000","329000031201700002","20170407","","01","영업/정상","11","정상","","","","","","","","부산광역시 부산진구 양정동 354-33","부산광역시 부산진구 양지로5번길 20 (양정동)","","한솔환경","20170410163740","I","2018-08-31 23:59:59.0","","388535.728508198","187658.215704742","31","","","","","","","저수조청소업",
"74","저수조청소업","09_30_14_P","3290000","329000031201700003","20180102","","01","영업/정상","11","정상","","","","","","","","부산광역시 부산진구 가야동 320-1","부산광역시 부산진구 가야대로568번길 44 (가야동)","47329","더화이트시스템","20180103112745","I","2018-08-31 23:59:59.0","","385316.84830500000","185910.93538400000","31","","","","","","","저수조청소업",
"75","저수조청소업","09_30_14_P","3290000","329000031200700001","20110613","","01","영업/정상","11","정상","","","","","051-897-3004","","","부산광역시 부산진구 가야동 386","부산광역시 부산진구 엄광로 264 (가야동)","","한솔그린","20201207140425","U","2020-12-09 02:40:00.0","","385725.914974631","185749.490770387","31","","","","","","","저수조청소업",
"76","저수조청소업","09_30_14_P","3290000","329000031200700002","20220119","","01","영업/정상","11","정상","","","","","051-863-8368","","","부산광역시 부산진구 부전동 474-80 유원골든타워오피스텔 1301호","부산광역시 부산진구 서면문화로 27, 1301호 (부전동,유원골든타워오피스텔)","","주식회사 에프엠티에스","20220119170930","U","2022-01-21 02:40:00.0","","387225.613588405","186408.726533861","31","","0","","","","","저수조청소업",
