"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","환경업무구분명","업종구분명","종별명","주생산품명","배출시설조업시간","배출시설연간가동일수","방지시설조업시간","방지시설연간가동일수","사업자등록번호",
"11","수질오염원설치시설(기타)","09_30_12_P","3250000","325000025201300001","20130117","","01","영업/정상","11","영업","","","","","0514647115","","","부산광역시 중구 중앙동3가 19-9","부산광역시 중구 대청로135번길 10 (중앙동3가)","48931","씨티피아","20220622094110","U","2022-06-24 02:40:00.0","","385456.91344245","180168.463338718","기타수질오염원관리","","","","","0","","0","",
"12","수질오염원설치시설(기타)","09_30_12_P","3250000","325000025200300002","20030715","","01","영업/정상","11","영업","","","","","","","","부산광역시 중구 남포동6가 78-2","부산광역시 중구 구덕로 74-1 (남포동6가)","","코끼리내과,진단방사선과의원","20121218101239","I","2021-12-16 00:22:43.0","","384801.153440117","179519.19747581","기타수질오염원관리","","","","","","","","",
"13","수질오염원설치시설(기타)","09_30_12_P","3250000","325000025200600004","20060803","","01","영업/정상","11","영업","","","","","051 2579696","","600046","부산광역시 중구 남포동6가 81-8","부산광역시 중구 중구로 3  (남포동6가)","","엠피부비뇨기과의원","20100525140600","I","2021-12-16 00:22:43.0","","384837.437171309","179552.786747988","기타수질오염원관리","","","","","","","","",
"14","수질오염원설치시설(기타)","09_30_12_P","3250000","325000025200700002","20070315","","01","영업/정상","11","영업","","","","","0514660008","","","부산광역시 중구 중앙동4가 80-8","부산광역시 중구 충장대로13번길 31 (중앙동4가)","600817","의료법인 송산의료재단 해양요양병원","20111209163716","I","2021-12-16 00:22:43.0","","385777.11415723","180691.236889788","기타수질오염원관리","","","","","","","","",
"15","수질오염원설치시설(기타)","09_30_12_P","3250000","325000025201000002","20100409","","01","영업/정상","11","영업","","","","","0512458600","","","부산광역시 중구 남포동5가 104-1 부창빌딩4층","부산광역시 중구 자갈치로48번길 3  (남포동5가,부창빌딩4층)","","흰돌의료소비자생활협동조합참좋은의원참좋은한의원","20100409161903","I","2021-12-16 00:22:43.0","","385024.485375473","179430.059989821","기타수질오염원관리","","","","","","","","",
"16","수질오염원설치시설(기타)","09_30_12_P","3250000","325000025201000003","20100610","","01","영업/정상","11","영업","","","","","0512442288","","","부산광역시 중구 보수동2가 118-3","부산광역시 중구 대청로 37  (보수동2가)","","의료법인 안아픈마을 장사랑의원","20100610134803","I","2021-12-16 00:22:43.0","","384480.94814176","180127.143198464","기타수질오염원관리","","","","","","","","",
"17","수질오염원설치시설(기타)","09_30_12_P","3250000","325000025200900005","20091116","","01","영업/정상","11","영업","","","","","4411676","","","부산광역시 중구 동광동4가 13-1","부산광역시 중구 동광길 8 (동광동4가)","600024","TOP프로세스","20130131120346","I","2021-12-16 00:22:43.0","","385402.665879748","180117.626217757","기타수질오염원관리","","","","","","","","",
"18","수질오염원설치시설(기타)","09_30_12_P","3250000","325000025201100002","20110714","","01","영업/정상","11","영업","","","","","1688-7531","","","부산광역시 중구 남포동5가 104-1 부창빌딩 5층","부산광역시 중구 자갈치로48번길 3 (남포동5가,부창빌딩 5층)","","자갈치요양병원","20130418114318","I","2021-12-16 00:22:43.0","","385024.485375473","179430.059989821","기타수질오염원관리","","","","","","","","",
"19","수질오염원설치시설(기타)","09_30_12_P","3250000","325000025201000004","20100920","","01","영업/정상","11","영업","","","","","0512454533","","","부산광역시 중구 광복동3가 5-26","부산광역시 중구 광복중앙로 14-56 (광복동3가)","","마리아사진관","20160218151557","I","2021-12-16 00:22:43.0","","385155.238553204","179828.061154961","기타수질오염원관리","","","","","","","","",
"20","수질오염원설치시설(기타)","09_30_12_P","3250000","325000025200500079","20051028","","01","영업/정상","11","영업","","","","","","","","부산광역시 중구 중앙동3가 16","부산광역시 중구 대청로 139, 1층 (중앙동3가)","48931","동아프로세스","20220224174244","U","2022-02-26 02:40:00.0","","385490.842104263","180113.199743108","기타수질오염원관리","","","","","0","","0","",
"21","수질오염원설치시설(기타)","09_30_12_P","3250000","325000025201700001","20171129","","01","영업/정상","11","영업","","","","","0514612201","","","부산광역시 중구 대청동4가 12","부산광역시 중구 중구로 121 (대청동4가)","600730","(재)천주교부산교구메리놀병원","20190117105526","I","2021-12-16 00:22:43.0","","385245.491143612","180646.524586019","기타수질오염원관리","","","","","","","","",
"22","수질오염원설치시설(기타)","09_30_12_P","3250000","325000025202100011","20210614","","01","영업/정상","11","영업","","","","","051-256-8816","","","부산광역시 중구 부평동1가 36-7","부산광역시 중구 중구로 21 (부평동1가)","48979","으뜸50안경 남포점","20210614174045","I","2021-12-16 00:22:43.0","","384814.362338747","179724.880886242","기타수질오염원관리","","","","","","","","",
"23","수질오염원설치시설(기타)","09_30_12_P","3250000","325000025202100014","20210615","","01","영업/정상","11","영업","","","","","051-247-9888","","","부산광역시 중구 신창동4가 39-1 국제시장2공구","부산광역시 중구 국제시장2길 29, 국제시장2공구 (신창동4가)","48945","세일안경원","20210615095717","I","2021-12-16 00:22:43.0","","384874.515689472","179978.235223733","기타수질오염원관리","","","","","","","","",
"24","수질오염원설치시설(기타)","09_30_12_P","3250000","325000025202100018","20210615","","01","영업/정상","11","영업","","","","","051-246-8660","","","부산광역시 중구 신창동3가 35","부산광역시 중구 광복로35번길 29 (신창동3가)","48946","새로미안경","20210615170649","I","2021-12-16 00:22:43.0","","384905.411566553","179975.574695525","기타수질오염원관리","","","","","","","","",
"25","수질오염원설치시설(기타)","09_30_12_P","3250000","325000025202100024","20210618","","01","영업/정상","11","영업","","","","","051-245-6080","","","부산광역시 중구 신창동4가 44-3 국제시장1공구","부산광역시 중구 국제시장2길 33, 국제시장1공구 (신창동4가)","48945","이화사안경","20210618162936","I","2021-12-16 00:22:43.0","","384865.67687281","180021.722850988","기타수질오염원관리","","","","","","","","",
"26","수질오염원설치시설(기타)","09_30_12_P","3250000","325000025202100023","20210618","","01","영업/정상","11","영업","","","","","051-246-3586","","","부산광역시 중구 신창동3가 5-5","부산광역시 중구 광복로35번길 32 (신창동3가)","48946","아진안경","20210618143603","I","2021-12-16 00:22:43.0","","384920.980936057","179988.388814829","기타수질오염원관리","","","","","","","","",
"27","수질오염원설치시설(기타)","09_30_12_P","3250000","325000025202100005","20210608","","01","영업/정상","11","영업","","","","","051-647-9267","","","부산광역시 중구 창선동2가 45-3","부산광역시 중구 중구로 16 (창선동2가)","48953","2층학생안경","20210608171541","I","2021-12-16 00:22:43.0","","384845.340081512","179666.006109079","기타수질오염원관리","","","","","","","","",
"28","수질오염원설치시설(기타)","09_30_12_P","3250000","325000025202100032","20210629","","01","영업/정상","11","영업","","","","","051-241-1277","","","부산광역시 중구 광복동3가 11-2","부산광역시 중구 광복중앙로 4-1 (광복동3가)","48949","테마가 있는 안경하우스","20210629141036","I","2021-12-16 00:22:43.0","","385150.6160599","179737.442313697","기타수질오염원관리","","","","","","","","",
"29","수질오염원설치시설(기타)","09_30_12_P","3250000","325000025201000001","20100219","","01","영업/정상","11","영업","","","","","4640514","","","부산광역시 중구 동광동4가 11-1","부산광역시 중구 대청로135번길 7-1 (동광동4가)","600024","까치원색인쇄사","20130523100444","I","2021-12-16 00:22:43.0","","385431.885717416","180165.337960545","기타수질오염원관리","","","","","","","","",
"30","수질오염원설치시설(기타)","09_30_12_P","3250000","325000025200700004","20070921","","01","영업/정상","11","영업","","","","","4699957","","","부산광역시 중구 영주동 23-3 제일빌딩1층","부산광역시 중구 대영로 235  (영주동,제일빌딩1층)","","미소마취통증의학과의원","20100309165748","I","2021-12-16 00:22:43.0","","385585.321891141","181149.765235809","기타수질오염원관리","","","","","","","","",
"31","수질오염원설치시설(기타)","09_30_12_P","3250000","325000025199800011","19980829","","01","영업/정상","11","영업","","","","","051 2451277","","","부산광역시 중구 남포동5가 39","","","문효중피부비뇨기과의원","20091103113316","I","2021-12-16 00:22:43.0","","","","기타수질오염원관리","","","","","","","","",
"32","수질오염원설치시설(기타)","09_30_12_P","3250000","325000025199500033","19950111","","01","영업/정상","11","영업","","","","","051 4684010","","","부산광역시 중구 중앙동4가 40-25","부산광역시 중구 동광길 42 (중앙동4가)","","뉴부산양행","20151125114754","I","2021-12-16 00:22:43.0","","385449.586151819","180283.916944685","기타수질오염원관리","","","","","","","","",
"33","수질오염원설치시설(기타)","09_30_12_P","3250000","325000025200500076","20051028","","01","영업/정상","11","영업","","","","","051-465-3361","","","부산광역시 중구 보수동2가 65-10","부산광역시 중구 흑교로75번길 10 (보수동2가)","48964","매일프로세스","20210521154637","I","2021-12-16 00:22:43.0","","384351.540238464","180377.043003698","기타수질오염원관리","","","","","","","","",
"34","수질오염원설치시설(기타)","09_30_12_P","3250000","325000025199500005","19950109","","01","영업/정상","11","영업","","","","","051 4647375","","","부산광역시 중구 중앙동5가 10-9","부산광역시 중구 중앙대로 44 (중앙동5가)","600015","토픽","20150403090756","I","2021-12-16 00:22:43.0","","385644.881479708","179929.912843254","기타수질오염원관리","","","","","","","","",
"35","수질오염원설치시설(기타)","09_30_12_P","3250000","325000025199600001","19960805","","01","영업/정상","11","영업","","","","","0512457424","","","부산광역시 중구 부평동2가 39-1","부산광역시 중구 비프광장로 7 (부평동2가)","","왕자사진관","20171116105436","I","2021-12-16 00:22:43.0","","384664.149882792","179582.676484563","기타수질오염원관리","","","","","","","","",
"36","수질오염원설치시설(기타)","09_30_12_P","3250000","325000025199800003","19980529","","01","영업/정상","11","영업","","","","","051 4636301","","","부산광역시 중구 영주동 616-12","","","심당요양병원","20130610111126","I","2021-12-16 00:22:43.0","","","","기타수질오염원관리","","","","","","","","",
"37","수질오염원설치시설(기타)","09_30_12_P","3250000","325000025199800002","19980829","","01","영업/정상","11","영업","","","","","051 4677025","","","부산광역시 중구 영주동 60-11","부산광역시 중구 대영로 213 (영주동)","","신윤원내과의원","20130426090105","I","2021-12-16 00:22:43.0","","385385.797145415","181155.165823209","기타수질오염원관리","","","","","","","","",
"38","수질오염원설치시설(기타)","09_30_12_P","3250000","325000025199800004","19980829","","01","영업/정상","11","영업","","","","","051 2451434","","","부산광역시 중구 대청동1가 39-5","부산광역시 중구 대청로 124 (대청동1가)","600091","지창준내과의원","20121218101114","I","2021-12-16 00:22:43.0","","385340.163423647","180059.65002186","기타수질오염원관리","","","","","","","","",
"39","수질오염원설치시설(기타)","09_30_12_P","3250000","325000025200200001","20021227","","01","영업/정상","11","영업","","","","","4415706","","","부산광역시 중구 중앙동4가 88-7","부산광역시 중구 충장대로 7 (중앙동4가)","600737","부산헬스케어의원","20130304130502","I","2021-12-16 00:22:43.0","","385675.833699298","180402.491616571","기타수질오염원관리","","","","","","","","",
"40","수질오염원설치시설(기타)","09_30_12_P","3250000","325000025199800007","19980829","","01","영업/정상","11","영업","","","","","","","","부산광역시 중구 부평동2가 68-5","","","부산의원","20190616143310","I","2021-12-16 00:22:43.0","","","","기타수질오염원관리","","","","","","","","",
"41","수질오염원설치시설(기타)","09_30_12_P","3250000","325000025199800008","19980829","","01","영업/정상","11","영업","","","","","051246 3004","","","부산광역시 중구 남포동6가 110","","","한양정형외과","20130115091900","I","2021-12-16 00:22:43.0","","","","기타수질오염원관리","","","","","","","","",
"42","수질오염원설치시설(기타)","09_30_12_P","3250000","325000025200400002","20040406","","01","영업/정상","11","영업","","","","","0514402385","","","부산광역시 중구 중앙동4가 90-1","부산광역시 중구 충장대로13번길 40 (중앙동4가)","600814","한국철도공사 부산철도차량정비단 부산차량사업소","20201022085422","I","2021-12-16 00:22:43.0","","385911.643163692","180791.926172851","기타수질오염원관리","","","","","","","","",
"43","수질오염원설치시설(기타)","09_30_12_P","3250000","325000025202100047","20210701","","01","영업/정상","11","영업","","","","","051-246-1341","","","부산광역시 중구 창선동2가 45-17","부산광역시 중구 중구로 14 (창선동2가)","48953","080안경","20210701133418","I","2021-12-16 00:22:43.0","","384843.682070767","179657.801434101","기타수질오염원관리","","","","","","","","",
"44","수질오염원설치시설(기타)","09_30_12_P","3250000","325000025202100004","20210607","","01","영업/정상","11","영업","","","","","051-463-3123","","","부산광역시 중구 대창동1가 25-2","부산광역시 중구 중앙대로 113-1 (대창동1가)","48924","밝은세상안경","20210607175600","I","2021-12-16 00:22:43.0","","385578.122719036","180649.789732156","기타수질오염원관리","","","","","","","","",
"45","수질오염원설치시설(기타)","09_30_12_P","3250000","325000025202100009","20210610","","01","영업/정상","11","영업","","","","","051-463-0454","","","부산광역시 중구 대청동3가 9-1","부산광역시 중구 대청로 87 (대청동3가)","48933","로마안경원","20210610174351","I","2021-12-16 00:22:43.0","","384969.158266786","180112.133812506","기타수질오염원관리","","","","","","","","",
"46","수질오염원설치시설(기타)","09_30_12_P","3250000","325000025202100016","20210615","","01","영업/정상","11","영업","","","","","051-255-8845","","","부산광역시 중구 신창동4가 14-1","부산광역시 중구 국제시장2길 16-2 (신창동4가)","48946","코리아안경","20210615165744","I","2021-12-16 00:22:43.0","","384898.416600159","179849.344034003","기타수질오염원관리","","","","","","","","",
"47","수질오염원설치시설(기타)","09_30_12_P","3250000","325000025202100017","20210615","","01","영업/정상","11","영업","","","","","051-247-6665","","","부산광역시 중구 신창동3가 27-3","부산광역시 중구 광복로35번길 15 (신창동3가)","48946","눈동자안경","20210615165745","I","2021-12-16 00:22:43.0","","384913.212988485","179840.691629138","기타수질오염원관리","","","","","","","","",
"48","수질오염원설치시설(기타)","09_30_12_P","3250000","325000025202100003","20210531","","01","영업/정상","11","영업","","","","","051-465-8008","","","부산광역시 중구 대청동4가 12-9 메리놀병원","부산광역시 중구 중구로 121, 메리놀병원 2층 (대청동4가)","48972","밝은안경원 메리놀점","20210531181059","I","2021-12-16 00:22:43.0","","385203.926916019","180571.713650198","기타수질오염원관리","","","","","","","","",
"49","수질오염원설치시설(기타)","09_30_12_P","3250000","325000025202100044","20210630","","01","영업/정상","11","영업","","","","","051-246-7988","","","부산광역시 중구 남포동5가 83-2 남포지하도상가","부산광역시 중구 구덕로 지하 44, 남포지하도상가 (남포동5가)","48953","미도안경","20210630175928","I","2021-12-16 00:22:43.0","","384956.383057363","179461.744559469","기타수질오염원관리","","","","","","","","",
"50","수질오염원설치시설(기타)","09_30_12_P","3250000","325000025202100002","20210525","","01","영업/정상","11","영업","","","","","051-469-7060","","","부산광역시 중구 대창동2가 11-2","부산광역시 중구 중앙대로 151-2 (대창동2가)","48922","기독안경원","20210525140558","I","2021-12-16 00:22:43.0","","385694.142195656","181014.436357007","기타수질오염원관리","","","","","","","","",
"51","수질오염원설치시설(기타)","09_30_12_P","3250000","325000025202100006","20210609","","01","영업/정상","11","영업","","","","","051-242-5214","","","부산광역시 중구 중앙동6가 9-1 광복지하도상가","부산광역시 중구 중앙대로 지하 17, 광복지하도상가 (중앙동6가)","48955","서림안경원","20210609171536","I","2021-12-16 00:22:43.0","","385670.69094284","179770.553768032","기타수질오염원관리","","","","","","","","",
"52","수질오염원설치시설(기타)","09_30_12_P","3250000","325000025202100021","20210617","","01","영업/정상","11","영업","","","","","051-678-3916","","","부산광역시 중구 중앙동7가 20-1 롯데백화점광복점","부산광역시 중구 중앙대로 2, 롯데백화점광복점 (중앙동7가)","48944","비젼센타","20210617161818","I","2021-12-16 00:22:43.0","","385590.814676765","179553.867031936","기타수질오염원관리","","","","","","","","",
"53","수질오염원설치시설(기타)","09_30_12_P","3250000","325000025202100030","20210629","","01","영업/정상","11","영업","","","","","","","","부산광역시 중구 창선동1가 42-2","부산광역시 중구 광복로 44, 3층 (창선동1가)","48953","으뜸플러스안경 남포점","20210629094522","I","2021-12-16 00:22:43.0","","385012.932400796","179669.914302435","기타수질오염원관리","","","","","","","","",
"54","수질오염원설치시설(기타)","09_30_12_P","3250000","325000025202100036","20210630","","01","영업/정상","11","영업","","","","","051-254-6719","","","부산광역시 중구 창선동2가 45-3","부산광역시 중구 중구로 16 (창선동2가)","48953","초이스안경 남포점","20210630131600","I","2021-12-16 00:22:43.0","","384845.340081512","179666.006109079","기타수질오염원관리","","","","","","","","",
"55","수질오염원설치시설(기타)","09_30_12_P","3250000","325000025202100037","20210630","","01","영업/정상","11","영업","","","","","051-254-6100","","","부산광역시 중구 남포동5가 20-1","부산광역시 중구 비프광장로 30-1 (남포동5가)","48953","눈사랑안경 남포점","20210630131601","I","2021-12-16 00:22:43.0","","384896.263260894","179616.242546962","기타수질오염원관리","","","","","","","","",
"56","수질오염원설치시설(기타)","09_30_12_P","3250000","325000025202100038","20210630","","01","영업/정상","11","영업","","","","","051-242-0505","","","부산광역시 중구 신창동2가 11-3","부산광역시 중구 중구로40번길 17-1 (신창동2가)","48947","아이락안경","20210630131602","I","2021-12-16 00:22:43.0","","384998.627239898","179932.570548881","기타수질오염원관리","","","","","","","","",
"57","수질오염원설치시설(기타)","09_30_12_P","3250000","325000025202100041","20210630","","01","영업/정상","11","영업","","","","","051-241-7760","","","부산광역시 중구 광복동2가 31-1","부산광역시 중구 광복로 78 (광복동2가)","48954","세컨페이스안경 광복점","20210630150334","I","2021-12-16 00:22:43.0","","385326.295585484","179590.994941396","기타수질오염원관리","","","","","","","","",
"58","수질오염원설치시설(기타)","09_30_12_P","3250000","325000025202100042","20210630","","01","영업/정상","11","영업","","","","","051-462-0102","","","부산광역시 중구 중앙동7가 20-1 롯데백화점광복점","부산광역시 중구 중앙대로 2, 롯데백화점광복점 (중앙동7가)","48944","렌즈맨안경","20210630175826","I","2021-12-16 00:22:43.0","","385590.814676765","179553.867031936","기타수질오염원관리","","","","","","","","",
"59","수질오염원설치시설(기타)","09_30_12_P","3250000","325000025202100046","20210701","","01","영업/정상","11","영업","","","","","051-241-2389","","","부산광역시 중구 신창동4가 4","부산광역시 중구 광복로35번길 33 (신창동4가)","48946","로데오콘택트안경","20210701111337","I","2021-12-16 00:22:43.0","","384890.194860892","180018.122584366","기타수질오염원관리","","","","","","","","",
"60","수질오염원설치시설(기타)","09_30_12_P","3250000","325000025202100048","20210701","","01","영업/정상","11","영업","","","","","051-247-9977","","","부산광역시 중구 신창동4가 51-2 국제시장1공구","부산광역시 중구 중구로 52, 국제시장1공구 (신창동4가)","48945","신일안경","20210701133519","I","2021-12-16 00:22:43.0","","384853.706972947","180017.84756611","기타수질오염원관리","","","","","","","","",
"61","수질오염원설치시설(기타)","09_30_12_P","3250000","325000025202100040","20210630","","01","영업/정상","11","영업","","","","","051-257-3176","","","부산광역시 중구 부평동1가 15-43","부산광역시 중구 중구로43번길 16 (부평동1가)","48978","자유안경원","20210630135152","I","2021-12-16 00:22:43.0","","384759.378850372","179963.329074567","기타수질오염원관리","","","","","","","","",
"62","수질오염원설치시설(기타)","09_30_12_P","3250000","325000025202100028","20210629","","01","영업/정상","11","영업","","","","","051-244-6335","","","부산광역시 중구 광복동2가 32-3","부산광역시 중구 광복로 74-1 (광복동2가)","48954","아이디어 안경원 광복점","20210629094419","I","2021-12-16 00:22:43.0","","385301.684707614","179600.783576276","기타수질오염원관리","","","","","","","","",
"63","수질오염원설치시설(기타)","09_30_12_P","3250000","325000025202100029","20210629","","01","영업/정상","11","영업","","","","","051-253-8911","","","부산광역시 중구 광복동2가 42","부산광역시 중구 광복로 64 (광복동2가)","48953","아이젠트리안경 광복점","20210629094420","I","2021-12-16 00:22:43.0","","385199.703527545","179650.084483074","기타수질오염원관리","","","","","","","","",
"64","수질오염원설치시설(기타)","09_30_12_P","3250000","325000025202100045","20210630","","01","영업/정상","11","영업","","","","","051-246-9523","","","부산광역시 중구 광복동1가 9","부산광역시 중구 광복로 79 (광복동1가)","48952","코스모안경원","20210630180131","I","2021-12-16 00:22:43.0","","385359.1137967","179621.964296504","기타수질오염원관리","","","","","","","","",
"65","수질오염원설치시설(기타)","09_30_12_P","3250000","325000025202100031","20210629","","01","영업/정상","11","영업","","","","","051-246-1175","","","부산광역시 중구 창선동2가 35-1","부산광역시 중구 중구로 22 (창선동2가)","48945","제로안경원","20210629140935","I","2021-12-16 00:22:43.0","","384853.980228809","179752.851018567","기타수질오염원관리","","","","","","","","",
"66","수질오염원설치시설(기타)","09_30_12_P","3250000","325000025202100034","20210629","","01","영업/정상","11","영업","","","","","051-246-1127","","","부산광역시 중구 신창동4가 5-1","부산광역시 중구 중구로48번길 8 (신창동4가)","48946","아이클럽안경","20210629175543","I","2021-12-16 00:22:43.0","","384891.278001931","179996.654474505","기타수질오염원관리","","","","","","","","",
"67","수질오염원설치시설(기타)","09_30_12_P","3250000","325000025202100035","20210630","","01","영업/정상","11","영업","","","","","051-243-7300","","","부산광역시 중구 남포동2가 12-1","부산광역시 중구 구덕로34번길 7 (남포동2가)","48953","세컨페이스 남포점","20210630131459","I","2021-12-16 00:22:43.0","","385230.453479465","179620.224279161","기타수질오염원관리","","","","","","","","",
"68","수질오염원설치시설(기타)","09_30_12_P","3250000","325000025202100039","20210630","","01","영업/정상","11","영업","","","","","051-247-1500","","","부산광역시 중구 신창동4가 6-1","부산광역시 중구 국제시장2길 30-1 (신창동4가)","48946","D.H.P아이센스","20210630131704","I","2021-12-16 00:22:43.0","","384892.202632503","179985.899202942","기타수질오염원관리","","","","","","","","",
"69","수질오염원설치시설(기타)","09_30_12_P","3250000","325000025202100019","20210615","","01","영업/정상","11","영업","","","","","051-253-2700","","","부산광역시 중구 남포동1가 15-5","부산광역시 중구 구덕로 12-1, 남포역상가 9,10,30호 (남포동1가)","48954","렌즈미 남포역 안경","20210615173658","I","2021-12-16 00:22:43.0","","385415.234337107","179549.836069177","기타수질오염원관리","","","","","","","","",
"70","수질오염원설치시설(기타)","09_30_12_P","3250000","325000025202100025","20210621","","01","영업/정상","11","영업","","","","","051-242-3466","","","부산광역시 중구 신창동4가 38-3 국제시장","부산광역시 중구 국제시장2길 25, 국제시장 (신창동4가)","48945","국일안경","20210621163542","I","2021-12-16 00:22:43.0","","384866.44008892","179932.382732447","기타수질오염원관리","","","","","","","","",
"71","수질오염원설치시설(기타)","09_30_12_P","3250000","325000025202100027","20210621","","01","영업/정상","11","영업","","","","","051-247-4300","","","부산광역시 중구 창선동2가 46-5","부산광역시 중구 광복로 32-2 (창선동2가)","48953","갤러리안경","20210621174403","I","2021-12-16 00:22:43.0","","384905.546417818","179673.030990912","기타수질오염원관리","","","","","","","","",
"72","수질오염원설치시설(기타)","09_30_12_P","3250000","325000025202100007","20210609","","01","영업/정상","11","영업","","","","","051-246-4901","","","부산광역시 중구 신창동4가 12-2","부산광역시 중구 국제시장2길 20 (신창동4가)","48946","하이비젼안경원","20210609171638","I","2021-12-16 00:22:43.0","","384896.995156124","179879.646945725","기타수질오염원관리","","","","","","","","",
"73","수질오염원설치시설(기타)","09_30_12_P","3250000","325000025202100022","20210618","","01","영업/정상","11","영업","","","","","051-244-9799","","","부산광역시 중구 신창동4가 6-2","부산광역시 중구 국제시장2길 30 (신창동4가)","48946","뉴안경 콘택트","20210618142458","I","2021-12-16 00:22:43.0","","384892.793814672","179975.026012792","기타수질오염원관리","","","","","","","","",
"74","수질오염원설치시설(기타)","09_30_12_P","3250000","325000025202100033","20210629","","01","영업/정상","11","영업","","","","","051-245-8112","","","부산광역시 중구 창선동2가 26-1 창선상가","부산광역시 중구 국제시장2길 5, 창선상가 (창선동2가)","48945","세광당안경","20210629175241","I","2021-12-16 00:22:43.0","","384883.108103904","179757.761844511","기타수질오염원관리","","","","","","","","",
