"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","업종구분명","관리업구분명","자본금","자산","보수범위","유지관리책임인력수","실무기술인력수","설계책임기술인력수","제조책임기술인력수","임원수","총직원수","기술직직원수","기능직직원수","사무직직원수","기타직원수","회사구분명","사업자등록번호",
"11","승강기유지관리업체","11_48_01_P","6260000","626000000144","20120314","","01","영업/정상","1","인허가","","","","","0513226876","","","부산광역시 사상구 주례동 965번지 7호 삼전빌딩","부산광역시 사상구 백양대로 496, 2층 (주례동,삼전빌딩)","46993","두산엘리베이터(주)","20191119134802","U","2020-04-28 02:40:00.0","","381995.026833922","185704.634148504","유지관리","중저속엘리베이터,에스컬레이터,휠체어리프트","200000000","","900","1","0","","","","9","1","6","","","본점","",
"12","승강기유지관리업체","11_48_01_P","6260000","626000000008","19921229","","01","영업/정상","1","인허가","","","","","0513228496","","617841","부산광역시 사상구 학장동  212번지 16호","부산광역시 사상구 학장로248번길 77 (학장동)","617841","(주)금보엘리베이터","20200221173324","U","2020-04-28 02:40:00.0","","381624.151684327","184462.868501007","유지관리","중저속엘리베이터","200000000","100000000","700","1","0","","","1","7","","7","1","","본점","",
"13","승강기유지관리업체","11_48_01_P","6260000","626000000011","19930106","","01","영업/정상","1","인허가","","","","","0515126809","","609804","부산광역시 금정구 구서2동  248번지 10호 현대자동차빌딩 3층","부산광역시 금정구 중앙대로 1883, 3층 (구서동,현대자동차빌딩)","609804","현대엘리베이터(주) 부산지사","20200410160302","U","2020-04-28 02:40:00.0","","390220.030386525","196800.01715156","유지관리","없음","35662000000","30300000000","7,800","11","0","","","","78","","39","8","12","지점","",
"14","승강기유지관리업체","11_48_01_P","6260000","626000000082","19981214","","01","영업/정상","1","인허가","","","","","0519226002","","611800","부산광역시 연제구 거제1동  17번지 1호 종근당빌딩 4층","부산광역시 연제구 거제대로 270, 4층 (거제동,종근당빌딩)","611800","오티스엘리베이터(유)","20200403110242","U","2020-04-28 02:40:00.0","","389137.771555336","189860.788321975","유지관리","없음","40000000000","100000000000","9,900","23","0","","","1","101","","182","5","","지점","",
"15","승강기유지관리업체","11_48_01_P","6260000","626000000099","20001024","","01","영업/정상","1","인허가","","","","","0515572676","","614867","부산광역시 부산진구 전포1동 346번지 39호","부산광역시 부산진구 전포대로 178, 3층 (전포동)","614867","(주)쉰들러엘리베이터","20200130173635","U","2020-04-28 02:40:00.0","","388169.270175729","185651.274521377","유지관리","중저속엘리베이터,에스컬레이터,휠체어리프트","2202000000","","3,100","4","0","","","1","31","","15","1","","지점","",
"16","승강기유지관리업체","11_48_01_P","6260000","626000000112","20031016","","01","영업/정상","1","인허가","","","","","0517428317","","612714","부산광역시 해운대구 중1동 1763번지 동일아파트상가 201호","부산광역시 해운대구 해운대해변로 394, 201호 (중동,동일아파트상가)","612714","(주)두원산전","20200309163743","U","2020-04-28 02:40:00.0","","397783.466885107","187288.050667739","유지관리","중저속엘리베이터,에스컬레이터,휠체어리프트","105000000","","800","1","0","","","3","8","","6","1","","본점","",
"17","승강기유지관리업체","11_48_01_P","6260000","626000000145","20120718","","01","영업/정상","1","인허가","","","","","0517813307","","","부산광역시 해운대구 반여동 219-1","부산광역시 해운대구 선수촌로208번길 60, 2층 (반여동)","48033","(주)센텀엘리베이터","20200204154858","U","2020-04-28 02:40:00.0","","393697.570555402","192386.16068475","유지관리","중저속엘리베이터,휠체어리프트","169057311","","500","1","0","","","","5","","","","","본점","",
"18","승강기유지관리업체","11_48_01_P","6260000","626000000146","20121217","","01","영업/정상","1","인허가","","","","","0513439230","","616827","부산광역시 북구 만덕2동  359번지 25호","부산광역시 북구 중리로3번길 3 (만덕동)","616827","대동엘리베이터(주)","20191204144325","U","2020-04-28 02:40:00.0","","385555.079217164","192075.050576219","유지관리","중저속엘리베이터,휠체어리프트","100000000","","700","1","0","","","","7","","","","","본점","",
"19","승강기유지관리업체","11_48_01_P","6260000","626000000125","20060329","","01","영업/정상","1","인허가","","","","","0518960094","","617801","부산광역시 사상구 감전동  308번지","부산광역시 사상구 백양대로 563 (감전동)","617801","(주)대한엘리베이터","20191014155230","U","2020-04-28 02:40:00.0","","381486.514724201","186133.335347026","유지관리","중저속엘리베이터,휠체어리프트","100000000","","1,100","2","0","","","","11","1","4","1","","본점","",
"20","승강기유지관리업체","11_48_01_P","6260000","626000000057","19960808","","01","영업/정상","1","인허가","","","","","0512080262","","","부산광역시 사상구 엄궁동 642번지 부산건축자재판매단지","부산광역시 사상구 강변대로 570, 부산건축자재판매단지 H동 2층 6호 (엄궁동)","47031","고려엘리베이터(주)","20200324142423","U","2020-04-28 02:40:00.0","","379121.358658945","183459.90043519","유지관리","중저속엘리베이터,에스컬레이터,휠체어리프트","100000000","169000000","900","1","0","","","","9","","6","1","","본점","",
"21","승강기유지관리업체","11_48_01_P","6260000","626000000056","19960513","","01","영업/정상","1","인허가","","","","","0518074091","","","부산광역시 남구 문현동 119-31 효미술학원","부산광역시 남구 고동골로78번길 26, 효미술학원 3층 (문현동)","48417","(주)경동엘리베이터","20200416141436","U","2020-04-28 02:40:00.0","","388841.799496178","184701.09649614","유지관리","고속엘리베이터,중저속엘리베이터,에스컬레이터,휠체어리프트","300000000","","3,000","3","0","","","1","30","10","3","2","","본점","",
"22","승강기유지관리업체","11_48_01_P","6260000","626000000147","20130711","","01","영업/정상","1","인허가","","","","","0518313328","","618270","부산광역시 강서구 송정동  1629번지","부산광역시 강서구 녹산산단335로 48 (송정동)","618270","(주)동남엘리베이터(603-81-24377)","20191115173557","U","2020-04-28 02:40:00.0","","369043.232589179","178697.699952055","유지관리","중저속엘리베이터,휠체어리프트","600000000","","700","1","0","","","1","7","3","6","1","","본점","",
"23","승강기유지관리업체","11_48_01_P","6260000","626000000132","20071106","","01","영업/정상","1","인허가","","","","","0518637991","","614856","부산 부산진구 양정1동  394번지 3호 4층","부산광역시 부산진구 거제대로36번길 26, 4층 (양정동)","614856","(주)원봉","20191209163539","U","2020-04-28 02:40:00.0","","388423.564378881","187785.194320347","유지관리","중저속엘리베이터,에스컬레이터,휠체어리프트","720500000","","700","1","0","","","","7","","","","","본점","",
"24","승강기유지관리업체","11_48_01_P","6260000","626000000135","20080630","","01","영업/정상","1","인허가","","","","","0519292500","","609817","부산광역시 금정구 부곡3동  13번지 18호 한국센터빌딩 702호","부산광역시 금정구 무학송로 147, 702호 (부곡동,한국센터빌딩)","609817","한국미쓰비시엘리베이터(주)","20200311162658","U","2020-04-28 02:40:00.0","","390524.9076906","195912.313267306","유지관리","고속엘리베이터,중저속엘리베이터,에스컬레이터,휠체어리프트","8000000000","","3,400","4","0","","","","34","","","","","지점","",
"25","승강기유지관리업체","11_48_01_P","6260000","626000000150","20150317","","01","영업/정상","1","인허가","","","","","0515291253","","","부산광역시 사하구 장림동 1121-1","부산광역시 사하구 하신중앙로22번길 38, 3층 (장림동)","49476","(주)원엘리베이터코리아","20200410153512","U","2020-04-28 02:40:00.0","","379322.20593800000","177988.98839600000","유지관리","없음","100000000","","700","1","0","","","","7","","","","","본점","",
"26","승강기유지관리업체","11_48_01_P","6260000","626000000152","20150623","","01","영업/정상","1","인허가","","","","","0515324022","","","부산광역시 동래구 안락동 419번지 36호","부산광역시 동래구 안락로 3, 2층 (안락동)","47754","(주)이플러스엘리베이터","20200416141126","U","2020-04-28 02:40:00.0","","390954.608518489","191136.692812281","유지관리","중저속엘리베이터,휠체어리프트","100000000","","800","1","0","","","","8","","","","","본점","",
"27","승강기유지관리업체","11_48_01_P","6260000","626000000154","20151218","","01","영업/정상","1","인허가","","","","","0519722633","","","부산광역시 강서구 신호동 302번지 2호 부산신호사랑으로부영5차 상가동 304호","부산광역시 강서구 신호산단1로 101, 상가동 304호 (신호동,부산신호사랑으로부영5차)","46760","좋은엘리베이터(주)","20200427172149","U","2020-04-29 02:40:00.0","","370927.882539772","177534.609162159","유지관리","없음","200000000","","2,000","2","0","","","","20","","","","","본점","",
"28","승강기유지관리업체","11_48_01_P","6260000","626000000155","20161017","","01","영업/정상","1","인허가","","","","","0518637993","","","부산광역시 부산진구 양정동 394번지 3호","부산광역시 부산진구 거제대로36번길 26 (양정동)","47213","(주)윤코퍼레이션","20191203174255","U","2020-04-28 02:40:00.0","","388423.564378881","187785.194320347","유지관리","중저속엘리베이터,에스컬레이터,휠체어리프트","410000000","","800","1","0","","","","8","","","","","본점","",
"29","승강기유지관리업체","11_48_01_P","6260000","626000000119","20050414","","01","영업/정상","1","인허가","","","","","0517615086","","","부산광역시 수영구 광안동 506번지 32호 이든바인하츠 301호","부산광역시 수영구 수영로 568, 301호 (광안동,이든바인하츠)","48298","한솔엘리베이터(주)","20200310165537","U","2020-04-28 02:40:00.0","","392481.688657887","186177.095455544","유지관리","고속엘리베이터,중저속엘리베이터,에스컬레이터,휠체어리프트","100000000","","2,400","3","0","","","","24","14","3","1","","본점","",
"30","승강기유지관리업체","11_48_01_P","6260000","626000000128","20061102","","01","영업/정상","1","인허가","","","","","0514661621","","","부산광역시 동구 범일동 825번지 3호 눌원빌딩","부산광역시 동구 자성로 134, 10층 (범일동,눌원빌딩)","48748","티센크루프엘리베이터코리아(주)","20200423154357","U","2020-04-28 02:40:00.0","","388138.761908291","183896.968673657","유지관리","고속엘리베이터,중저속엘리베이터,에스컬레이터,휠체어리프트","873220000","","2,600","3","0","","","1","26","","42","1","","지점","",
"31","승강기유지관리업체","11_48_01_P","6260000","626000000148","20140602","","01","영업/정상","1","인허가","","","","","0516231584","","","부산광역시 남구 대연동 703번지 7호","부산광역시 남구 신선로 460-1, 3층 (대연동)","48518","한화승강기(주)","20200326162836","U","2020-04-28 02:40:00.0","","391456.275809803","182767.718339288","유지관리","중저속엘리베이터,에스컬레이터,휠체어리프트","100000000","","700","1","0","","","","7","","","","","본점","",
"32","승강기유지관리업체","11_48_01_P","6260000","626000000159","20180314","","01","영업/정상","1","인허가","","","","","0328202561","","48946","부산광역시 중구 대청동3가 20번지 백성사오피스텔 906,907호","부산광역시 중구 대청로 80, 백성사오피스텔 906,907호 (대청동3가)","48946","후지테크코리아(주) 부산영업소","20200420164725","U","2020-04-28 02:40:00.0","","384893.634546496","180069.338251171","유지관리","없음","2722000000000","","700","1","","","","","7","","","","","지점","",
"33","승강기유지관리업체","11_48_01_P","6260000","626000000076","19980610","","01","영업/정상","1","인허가","","","","","0518161313","","614773","부산광역시 부산진구 전포3동 892번지 20호 지오플레이스 4층","부산광역시 부산진구 동천로 4, 4층 (전포동,지오플레이스)","614773","금용엔지니어링(주)","20191121170357","U","2020-04-28 02:40:00.0","","388011.197829908","185310.70532509","유지관리","중저속엘리베이터,에스컬레이터","220000000","100000000","1,300","4","0","","","","13","","10","1","1","본점","",
"34","승강기유지관리업체","11_48_01_P","6260000","626000000117","20050201","","01","영업/정상","1","인허가","","","","","0515012552","","607817","부산광역시 동래구 사직1동  99번지 23호 사직리첸스빌 A동 104호","부산광역시 동래구 종합운동장로54번길 21, A동 104호 (사직동,사직리첸스빌)","607817","보강엘리베이터(주)","20200403102524","U","2020-04-28 02:40:00.0","","387966.14726825","190441.131195145","유지관리","중저속엘리베이터,에스컬레이터,휠체어리프트","100000000","","1,500","2","0","","","3","15","","5","1","","본점","",
"35","승강기유지관리업체","11_48_01_P","6260000","626000000141","20101220","","01","영업/정상","1","인허가","","","","","0517842645","","612832","부산광역시 해운대구 재송2동  1041번지 30호 금호하이츠2차 102호","부산광역시 해운대구 해운대로81번길 135-27, 102호 (재송동,금호하이츠2차)","612832","(주)한진엘리베이터","20200416140142","U","2020-04-28 02:40:00.0","","393597.494814463","190184.698243058","유지관리","중저속엘리베이터,에스컬레이터","100000000","","700","1","0","","","","7","","","","","본점","",
"36","승강기유지관리업체","11_48_01_P","6260000","626000000002","19921224","","01","영업/정상","1","인허가","","","","","0513281226","","617801","부산광역시 사상구 감전동  156번지 6호","부산광역시 사상구 학감대로221번길 10 (감전동)","617801","(주)구룡산전","20191224152618","U","2020-04-28 02:40:00.0","","381192.267810697","185379.300879973","유지관리","없음","500000000","3186000000","500","1","0","","","1","5","8","2","2","1","본점","",
"37","승강기유지관리업체","11_48_01_P","6260000","626000000127","20060914","","01","영업/정상","1","인허가","","","","","","","","부산광역시 해운대구 우동 1520번지 롯데갤러리움센텀 에스동 2301호","부산광역시 해운대구 센텀1로 9, 에스동 2301호 (우동,롯데갤러리움센텀)","48060","(주)제이케이티엘리베이터","20200413162048","U","2020-04-28 02:40:00.0","","394085.659790124","187458.456044384","유지관리","중저속엘리베이터,에스컬레이터,휠체어리프트","200000000","","700","1","0","","","","7","","7","","","본점","",
"38","승강기유지관리업체","11_48_01_P","6260000","626000000134","20080310","","01","영업/정상","1","인허가","","","","","0513376422","","616834","부산광역시 북구 화명동 1426번지 1호 우신아파트상가A-13동","부산광역시 북구 금곡대로324번길 43, 3층 (화명동,우신아파트상가A-13동)","616834","동국산전(주)","20191203113242","U","2020-04-28 02:40:00.0","","383464.795969795","195029.489621392","유지관리","중저속엘리베이터,휠체어리프트","200000000","","1,400","2","0","","","","14","","","","","본점","",
"39","승강기유지관리업체","11_48_01_P","6260000","626000000158","20171228","","01","영업/정상","1","인허가","","","","","0517286927","","46027","부산광역시 기장군 정관읍 달산리 1074-1 (주)호승윈스피아","부산광역시 기장군 정관읍 산단4로 84, (주)호승윈스피아","46027","(주)한림기업엘리베이터","20200319152422","U","2020-04-28 02:40:00.0","","399069.99178000000","204350.00133800000","유지관리","없음","100000000","","1,400","2","","","","","13","","","","","본점","",
"40","승강기유지관리업체","11_48_01_P","6260000","626000000053","19951229","","01","영업/정상","1","인허가","","","","","0518532031","","611763","부산광역시 연제구 연산9동 2235번지 4호 선경아파트상가 3층 301호","부산광역시 연제구 과정로 74, 301호 (연산동,선경아파트상가3층)","611763","주식회사 부광엘리베이터","20200326162209","U","2020-04-28 02:40:00.0","","392134.502954457","188467.241084113","유지관리","없음","100000000","200000000","1,900","2","0","","","1","19","","12","1","","본점","",
"41","승강기유지관리업체","11_48_01_P","6260000","626000000037","19931007","","01","영업/정상","1","인허가","","","","","0517424275","","612820","부산광역시 해운대구 우1동  496번지 1호 신동아상가 2층","부산광역시 해운대구 우동1로 9-28, 2층 (우동,신동아상가2층)","612820","태화E/L(주)","20200410154936","U","2020-04-28 02:40:00.0","","396299.836154773","187054.741207479","유지관리","없음","120000000","208000000","2,200","3","0","","","1","23","","15","2","","본점","",
"42","승강기유지관리업체","11_48_01_P","6260000","626000000163","20200803","","01","영업/정상","1","인허가","","","","","0518080119","","47261","부산광역시 부산진구 당감동 863-1","부산광역시 부산진구 신천대로 205, 302호 (당감동)","47261","(주)영재엘리베이터","20200803173207","I","2020-08-05 00:23:26.0","","386695.437688717","186479.985982311","유지관리","","100000000","","700","1","","","","","7","","","","","본점","",
"43","승강기유지관리업체","11_48_01_P","6260000","626000000005","19921226","","01","영업/정상","1","인허가","","","","","0518313328","","618270","부산광역시 강서구 송정동  1629번지","부산광역시 강서구 녹산산단335로 48 (송정동)","618270","(주)동남엘리베이터서비스606-86-40968","20191119165404","U","2020-04-28 02:40:00.0","","369043.232589179","178697.699952055","유지관리","중저속엘리베이터,휠체어리프트","650000000","","1,900","2","0","","","4","19","","11","3","","본점","",
"44","승강기유지관리업체","11_48_01_P","6260000","626000000030","19930619","","01","영업/정상","1","인허가","","","","","0512628090","","","부산광역시 사하구 장림동 454번지","부산광역시 사하구 다대로354번안길 69 (장림동)","49469","(주)현텍승강기","20190925205318","U","2020-04-28 02:40:00.0","","380123.22459600000","176915.12243100000","유지관리","없음","210000000","","500","1","0","","","1","5","","7","1","","본점","",
"45","승강기유지관리업체","11_48_01_P","6260000","626000000047","19950414","","01","영업/정상","1","인허가","","","","","0513122533","","","부산광역시 강서구 강동동 29번지 242호","부산광역시 강서구 낙동북로102번가길 25 (강동동)","46706","(주)우진엘리베이터","20191021140638","U","2020-04-28 02:40:00.0","","376490.186568915","192466.492822587","유지관리","중저속엘리베이터,휠체어리프트","200000000","419000000","600","1","0","","","1","6","","6","2","","본점","",
"46","승강기유지관리업체","11_48_01_P","6260000","626000000054","19960425","","01","영업/정상","1","인허가","","","","","0513248668","","617758","부산광역시 사상구 괘법동 519번지 1호 동원과학어린이집 4층","부산광역시 사상구 낙동대로1210번길 34, 4층 (괘법동,동원과학어린이집)","617758","(주)영제","20200423145316","U","2020-04-28 02:40:00.0","","380176.5897832","187098.624034499","유지관리","중저속엘리베이터,에스컬레이터,휠체어리프트","100000000","400000000","1,100","2","0","","","1","11","","11","1","","본점","",
"47","승강기유지관리업체","11_48_01_P","6260000","626000000072","19980213","","01","영업/정상","1","인허가","","","","","0518982016","","614805","부산광역시 부산진구 가야동 361번지 85호 가야삼성그린코아상가","부산광역시 부산진구 엄광로248번길 18, 2층 (가야동,가야삼성그린코아상가)","614805","삼성엘리베이터(주)","20200316162553","U","2020-04-28 02:40:00.0","","385712.886807814","185484.547882358","유지관리","중저속엘리베이터,에스컬레이터,휠체어리프트","100000000","100000000","1,200","2","0","","","","12","","8","1","","본점","",
"48","승강기유지관리업체","11_48_01_P","6260000","626000000092","20000311","","01","영업/정상","1","인허가","","","","","0515258754","","","부산광역시 금정구 남산동 133-3","부산광역시 금정구 청룡로 47-1, 3층 (남산동)","46217","동양기전엘리베이터(주)","20200427172553","U","2020-04-29 02:40:00.0","","389848.433268544","199325.910772632","유지관리","고속엘리베이터,중저속엘리베이터,에스컬레이터,휠체어리프트","100000000","100000000","1,500","2","0","","","","15","10","3","3","","본점","",
"49","승강기유지관리업체","11_48_01_P","6260000","626000000098","20001009","","01","영업/정상","1","인허가","","","","","0517466133","","612725","부산광역시 해운대구 우1동 1434번지 썬프라자 709호","부산광역시 해운대구 마린시티3로 1, 709호 (우동,썬프라자)","612725","삼부엘리베이터(주)","20200423150456","U","2020-04-28 02:40:00.0","","395615.201853958","186406.750870936","유지관리","중저속엘리베이터,에스컬레이터,휠체어리프트","110000000","110000000","1,800","2","0","","","1","18","","7","1","","본점","",
"50","승강기유지관리업체","11_48_01_P","6260000","626000000104","20020321","","01","영업/정상","1","인허가","","","","","0517011641","","612778","부산 해운대구 좌4동 1412번지 동부아파트관리사무소 B층","부산광역시 해운대구 세실로 158, B층 (좌동,동부아파트관리사무소)","612778","(주)세한엘리베이터","20200326161023","U","2020-04-28 02:40:00.0","","398320.448936443","188713.364513609","유지관리","없음","100000000","110000000","1,300","2","0","","","1","13","","6","","","본점","",
"51","승강기유지관리업체","11_48_01_P","6260000","626000000106","20020723","","01","영업/정상","1","인허가","","","","","0512031331","","604808","부산광역시 사하구 괴정2동  321번지 3호","부산광역시 사하구 낙동대로 153 (괴정동)","604808","현서엘리베이터(주)","20200327143648","U","2020-04-28 02:40:00.0","","382270.972669286","179984.280250307","유지관리","없음","100000000","","2,200","3","0","","","3","29","","14","1","1","본점","",
"52","승강기유지관리업체","11_48_01_P","6260000","626000000110","20030401","","01","영업/정상","1","인허가","","","","","0513101628","","617723","부산광역시 사상구 감전동 502번지 1호 마트월드상가 B동 224호","부산광역시 사상구 낙동대로 910, B동 2층 224호 (감전동,마트월드상가)","617723","(주)뉴택산전","20191122105127","U","2020-04-28 02:40:00.0","","379554.826788136","184301.128962735","유지관리","중저속엘리베이터,휠체어리프트","200000000","","700","1","0","","","","7","","5","1","","본점","",
"53","승강기유지관리업체","11_48_01_P","6260000","626000000113","20040113","","01","영업/정상","1","인허가","","","","","0517429994","","","부산광역시 해운대구 재송동 485-4","부산광역시 해운대구 재반로 51 (재송동)","48056","(주)세종테크","20200228150245","U","2020-04-28 02:40:00.0","","393617.167591298","189175.368756995","유지관리","중저속엘리베이터,휠체어리프트","200000000","","700","1","0","","","1","7","","7","1","","본점","",
"54","승강기유지관리업체","11_48_01_P","6260000","626000000069","19971111","","01","영업/정상","1","인허가","","","","","0513043204","","617838","부산광역시 사상구 주례3동  1162번지 130호 대일빌딩 2층","부산광역시 사상구 가야대로 260, 2층 (주례동,대일빌딩)","617838","삼보엘리베이터(주)","20200324142926","U","2020-04-28 02:40:00.0","","382279.405050585","185254.427641606","유지관리","중저속엘리베이터,에스컬레이터","210000000","200000000","1,700","2","0","","","","19","","10","3","","본점","",
"55","승강기유지관리업체","11_48_01_P","6260000","626000000121","20050728","","01","영업/정상","1","인허가","","","","","0517470306","","607837","부산광역시 동래구 온천동 1394번지 1호  A동","부산광역시 동래구 충렬대로 75, A동 2층 (온천동)","607837","신한엘리베이터(주)","20200312141420","U","2020-04-28 02:40:00.0","","388371.72175458","191913.024120932","유지관리","없음","100000000","130000000","900","1","0","","","","10","4","3","1","","본점","",
"56","승강기유지관리업체","11_48_01_P","6260000","626000000126","20060804","","01","영업/정상","1","인허가","","","","","0515128115","","609816","부산광역시 금정구 남산동 987번지 3호 영창빌딩","부산광역시 금정구 남산로 39, 5층 (남산동,영창빌딩)","609816","부성엘리베이터(주)","20200407142341","U","2020-04-28 02:40:00.0","","389920.667351233","198389.90766378","유지관리","없음","100000000","","1,800","2","0","","","","16","","","","","본점","",
"57","승강기유지관리업체","11_48_01_P","6260000","626000000129","20061127","","01","영업/정상","1","인허가","","","","","0518977003","","614801","부산광역시 부산진구 가야동 143번지 48호 윤정빌딩 3층","부산광역시 부산진구 가야대로 517, 3층 (가야동,윤정빌딩)","614801","(주)아남테크서비스","20200330162519","U","2020-04-28 02:40:00.0","","384774.798846787","185717.12959147","유지관리","중저속엘리베이터,에스컬레이터,휠체어리프트","350000000","","700","1","0","","","","7","1","6","1","","본점","",
"58","승강기유지관리업체","11_48_01_P","6260000","626000000091","19991203","","01","영업/정상","1","인허가","","","","","0518095428","","614862","부산광역시 부산진구 전포2동  172번지 1호 4층","부산광역시 부산진구 동성로118번길 31, 4층 (전포동)","614862","(주)이엠씨","20191108155508","U","2020-04-28 02:40:00.0","","388166.138964056","186669.48470476","유지관리","중저속엘리베이터,에스컬레이터,휠체어리프트","100000000","100000000","900","1","0","","","","9","","12","3","","본점","",
"59","승강기유지관리업체","11_48_01_P","6260000","626000000133","20071107","","01","영업/정상","1","인허가","","","","","0515572675","","","부산광역시 강서구 대저2동 3138-1","부산광역시 강서구 유통단지1로 50, 티플렉스 202동 212호 (대저2동)","46721","비엘티중앙엘리베이터(주)","20200319152518","U","2020-04-28 02:40:00.0","","377988.03993089","187305.367579412","유지관리","중저속엘리베이터,에스컬레이터,휠체어리프트","100000000","","700","1","0","","","","7","","","","","본점","",
