"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","사무소전화번호","사업장전화번호",
"11","계량기증명업","09_28_04_P","3300000","1997330001606500004","19971026","","03","폐업","03","폐업","20070320","","","","051 5232243","","","부산광역시 동래구 안락동 769-8번지","부산광역시 동래구 충렬대로348번길 8 (안락동)","607829","안락계량증명업소","20111118141147","I","2018-08-31 23:59:59.0","","390812.442908905","190703.98902304","051 5232243","",
"12","계량기증명업","09_28_04_P","3300000","2000330001606500001","20001013","","03","폐업","03","폐업","20091123","","","","051 502 0509","","","부산광역시 동래구 사직동 129-7번지","부산광역시 동래구 여고로 57 (사직동)","607818","대상컴퓨터계량사","20111118141053","I","2018-08-31 23:59:59.0","","388466.826430991","190527.204667242","051 502 0509","",
"13","계량기증명업","09_28_04_P","3300000","2002330001606500018","19850617","","03","폐업","03","폐업","20021104","","","","051524 0123","","","부산광역시 동래구 안락동 751-8번지","","","부산계량증명업소","20111118140942","I","2018-08-31 23:59:59.0","","","","051524 0123","",
"14","계량기증명업","09_28_04_P","3300000","2002330001606500019","19860118","","03","폐업","03","폐업","20120529","","","","8536342","","607801","부산광역시 동래구 낙민동 82번지 12호","부산광역시 동래구 온천천로 357 (낙민동)","607801","원일계량증명업소","20120611104105","I","2018-08-31 23:59:59.0","","390496.578975981","190293.416799196","8536342","",
"15","계량기증명업","09_28_04_P","3310000","2012331008206500001","20121120","","01","영업/정상","01","영업중","","","","","931 8001","","608080","부산광역시 남구 용당동 168번지 1호","부산광역시 남구 신선로 261 (용당동)","","내트럭(주)부산용당사업소","20190425215206","U","2019-04-27 02:40:00.0","","390807.628200016","181223.764821635","931 8001","",
"16","계량기증명업","09_28_04_P","3310000","1992331000006500002","19920113","","01","영업/정상","01","영업중","","","","","051 6227893","","","부산광역시 남구 용당동 479번지 1   호","부산광역시 남구 신선로 414 (용당동)","608830","삼일컴퓨터계량사","20120206112124","I","2018-08-31 23:59:59.0","","391291.883780277","182350.887086256","051 6227893","",
"17","계량기증명업","09_28_04_P","3310000","2008331008206500001","20081125","","01","영업/정상","01","영업중","","","","","051 638 3974","","608070","부산광역시 남구 감만동 498번지 17호 외 77필지","부산광역시 남구 우암로2번길 18 (감만동)","608803","내트럭하우스 부산사업소","20190425215241","U","2019-04-27 02:40:00.0","","389703.194538683","180970.856108444","051 638 3974","",
"18","계량기증명업","09_28_04_P","3310000","2009331008206500001","20090826","","03","폐업","03","폐업","20110930","","","","051 625 8729","","608080","부산광역시 남구 용당동 161번지 3호","","","(주)밸런스인더스트리","20111004155908","I","2018-08-31 23:59:59.0","","391046.946551316","181436.845230626","051 625 8729","",
"19","계량기증명업","09_28_04_P","3310000","1984331000006500001","19840817","","03","폐업","03","폐업","20071227","","","","051 6323307","","","부산광역시 남구 문현동 1219번지","","","부두계량사","20101005145603","I","2018-08-31 23:59:59.0","","388430.599407313","182875.413888045","051 6323307","",
"20","계량기증명업","09_28_04_P","3310000","1999331008206500002","19991203","","03","폐업","03","폐업","20140721","","","","051 621 5589","","608810","부산광역시 남구 대연3동 569번지 7호","부산광역시 남구 유엔평화로47번길 132 (대연동)","608810","새한계기","20170405131852","I","2018-08-31 23:59:59.0","","391294.486045384","183289.352833509","051 621 5589","",
"21","계량기증명업","09_28_04_P","3310000","2004331001606500001","20040115","","03","폐업","03","폐업","20040503","","","","051 6218902","","","부산광역시 남구 대연동 335-17번지","","","제일계량","20101005145317","I","2018-08-31 23:59:59.0","","","","051 6218902","",
"22","계량기증명업","09_28_04_P","3320000","1990332000006500016","19900310","","03","폐업","03","폐업","20201005","20200101","29990909","","051 336 2000","","","부산광역시 북구 만덕동 산19번지 5   호","부산광역시 북구 만덕대로 327 (만덕동)","616824","(주)삼보계량증명업소","20201005171439","U","2020-10-07 02:40:00.0","","385673.236619238","192353.375459059","051 336 2000","",
"23","계량기증명업","09_28_04_P","3320000","1981332000006500001","19810516","","03","폐업","03","폐업","20201015","","","","051 332 5820","","","부산광역시 북구 덕천동 330번지 2   호","부산광역시 북구 금곡대로 35 (덕천동)","616817","구포계량증명업소","20201016092224","U","2020-10-18 02:40:00.0","","382399.297462368","192271.133674863","051 332 5820","",
"24","계량기증명업","09_28_04_P","3330000","1980333001506500001","19801118","","01","영업/정상","01","영업중","","","","","051 7835811","","","부산광역시 해운대구 재송동 573번지 4   호","","","대한계량사","19801118000000","I","2018-08-31 23:59:59.0","","","","051 7835811","",
"25","계량기증명업","09_28_04_P","3340000","2015334008006500001","20150217","","01","영업/정상","01","영업중","","","","","051-262-5782","","","","부산광역시 사하구 을숙도대로569번길 49 (신평동)","604836","태룡Steel","20150217130742","I","2018-08-31 23:59:59.0","","379218","178506","051-262-5782","",
"26","계량기증명업","09_28_04_P","3340000","2016334008006500001","20160930","","01","영업/정상","01","영업중","","","","","051 262 2744","","","부산광역시 사하구 구평동 178번지 10호","부산광역시 사하구 감천항로 153 (구평동)","49454","동평계량사","20181112180822","U","2018-11-14 02:37:25.0","","381466.458383224","177406.33287069","051 262 2744","",
"27","계량기증명업","09_28_04_P","3340000","2000334001706500008","19851128","","01","영업/정상","01","영업중","","","","","0512911988","","604836","부산광역시 사하구 신평1동 370번지 99호","부산광역시 사하구 하신중앙로 148 (신평동)","604836","와조","20181112181216","U","2018-11-14 02:37:25.0","","379079.343415581","178804.733635239","0512911988","",
"28","계량기증명업","09_28_04_P","3340000","2000334001706500007","19850808","","01","영업/정상","01","영업중","","","","","0512615620","","604842","부산광역시 사하구 장림1동 163번지 33호","부산광역시 사하구 장림로 242 (장림동)","604842","개미계량증명업소","20211221133303","U","2021-12-23 02:40:00.0","","380092.732296229","177677.305008119","0512615620","",
"29","계량기증명업","09_28_04_P","3340000","2000334001706500018","19960103","","01","영업/정상","01","영업중","","","","","0512638732","","604827","부산광역시 사하구 다대1동 1541번지","부산광역시 사하구 다산로176번길 30 (다대동)","","다대공단계량증명업","20120622152716","I","2018-08-31 23:59:59.0","","378616.360159637","176179.218722146","0512638732","",
"30","계량기증명업","09_28_04_P","3340000","2000334001706500014","19930125","","01","영업/정상","01","영업중","","","","","0512062118","","604806","부산광역시 사하구 감천1동 750번지 1호","부산광역시 사하구 을숙도대로 875 (감천동)","604806","감천부두계량사","20201119141903","U","2020-11-21 02:40:00.0","","382185.608495109","178466.680675194","0512062118","",
"31","계량기증명업","09_28_04_P","3340000","2000334001706500019","19971113","","01","영업/정상","01","영업중","","","","","051 2664517","","604826","부산광역시 사하구 다대1동 1506번지 13호","부산광역시 사하구 다산로 166 (다대동)","604826","기계공업협동조합계량증명","20181112181054","U","2018-11-14 02:37:25.0","","378532.762885297","176007.256068992","051 2664517","",
"32","계량기증명업","09_28_04_P","3340000","2000334001706500020","19980904","","01","영업/정상","01","영업중","","","","","266 4517","","","부산광역시 사하구 다대동 1506번지 3호","부산광역시 사하구 다산로 166 (다대동)","604826","영진계량증명업","20181112181132","U","2018-11-14 02:37:25.0","","378590.796970887","176020.721137134","266 4517","",
"33","계량기증명업","09_28_04_P","3340000","2003334001706500001","20030923","","01","영업/정상","01","영업중","","","","","262 6858","","","부산광역시 사하구 구평동 329번지 4호","부산광역시 사하구 감천항로 205 (구평동)","604817","구평계량사","20201119141937","U","2020-11-21 02:40:00.0","","381504.499724514","176872.911098378","262 6858","",
"34","계량기증명업","09_28_04_P","3340000","2004334001706500003","20040901","","01","영업/정상","01","영업중","","","","","051  2058800","","","부산광역시 사하구 신평동 370번지 53호","부산광역시 사하구 을숙도대로 530 (신평동)","604836","광신홀딩스(주) 을숙도대로주유소","20201214194729","U","2020-12-16 02:40:00.0","","378994.647057533","177983.113554232","051  2058800","",
"35","계량기증명업","09_28_04_P","3340000","2006334006606500001","20060824","","01","영업/정상","01","영업중","","","","","0512035188","","","부산광역시 사하구 감천동 759번지 5호","부산광역시 사하구 감천항로 20 (감천동)","604806","호승주유소","20121224152451","I","2018-08-31 23:59:59.0","","382119.522993591","178090.020268716","0512035188","",
"36","계량기증명업","09_28_04_P","3340000","2006334006606500002","20060907","","01","영업/정상","01","영업중","","","","","051 262 8494","","604817","부산광역시 사하구 구평동 38번지 50호","부산광역시 사하구 감천항로 64 (구평동)","604817","대경주유소","20201117175330","U","2020-11-19 02:40:00.0","","381870.01371471","177937.926921856","051 262 8494","",
"37","계량기증명업","09_28_04_P","3340000","2010334006606500001","20100330","","01","영업/정상","01","영업중","","","","","2627256","","604866","부산광역시 사하구 구평동 476번지 8호 외 1필지","부산광역시 사하구 감천항로 433 (구평동)","604817","공단계량사","20181112180915","U","2018-11-14 02:37:25.0","","382043.99786300000","175030.02390100000","2627256","",
"38","계량기증명업","09_28_04_P","3340000","2000334001706500006","19850423","","03","폐업","03","폐업","","","","","051 2913455","","","부산광역시 사하구 신평동 409번지 1호","부산광역시 사하구 하신중앙로 182 (신평동)","","사하컴퓨터계량증명업","20070725155227","I","2018-08-31 23:59:59.0","","378878.340180499","179069.667015558","051 2913455","",
"39","계량기증명업","09_28_04_P","3340000","2000334001706500010","19871201","","03","폐업","03","폐업","20011126","","","","0512042021","","604836","부산광역시 사하구 신평1동 370번지 35호","부산광역시 사하구 하신번영로 7 (신평동)","","경일기업사","20091029115104","I","2018-08-31 23:59:59.0","","378574.973029635","177777.870466379","0512042021","",
"40","계량기증명업","09_28_04_P","3340000","2000334001706500017","19950728","","03","폐업","03","폐업","20001214","","","","051 263 4771","","604844","부산광역시 사하구 장림1동 312번지","부산광역시 사하구 다대로 296 (장림동)","604844","현대철강공업(주)","20130118153357","I","2018-08-31 23:59:59.0","","380212.195224684","177000.001272676","051 263 4771","",
"41","계량기증명업","09_28_04_P","3340000","2000334001706500011","19891207","","03","폐업","03","폐업","20090921","","","","0512914195","","604858","부산광역시 사하구 하단1동 892번지 1호","","","삼성계량사","20090921170119","I","2018-08-31 23:59:59.0","","378609.597087483","180287.268283872","0512914195","",
"42","계량기증명업","09_28_04_P","3340000","2000334001706500021","19990902","","03","폐업","03","폐업","20090917","","","","2938984","","604804","부산광역시 사하구 감천1동 441번지 6호","","","중앙계량사","20090917171820","I","2018-08-31 23:59:59.0","","382075.92110502","177912.156776328","2938984","",
"43","계량기증명업","09_28_04_P","3340000","2004334001706500002","20040227","","03","폐업","03","폐업","20070221","","","","051 2913300","","","부산광역시 사하구 신평동 370번지 92호","부산광역시 사하구 신산로 66 (신평동)","604836","월드계량증명업소","20120206111628","I","2018-08-31 23:59:59.0","","378889.649673959","178496.185792937","051 2913300","",
"44","계량기증명업","09_28_04_P","3340000","2006334006606500003","20060925","","03","폐업","03","폐업","20070418","","","","005102634771","","","부산광역시 사하구 장림동 312번지","부산광역시 사하구 다대로 296 (장림동)","604844","극동스틸(주)","20120206110413","I","2018-08-31 23:59:59.0","","380212.195224684","177000.001272676","005102634771","",
"45","계량기증명업","09_28_04_P","3340000","2012334008006500001","20120418","","03","폐업","03","폐업","20160930","","","","005102622744","","604060","부산광역시 사하구 구평동 178번지 11호","부산광역시 사하구 감천항로 153 (구평동)","","동명계량사","20161004131223","I","2018-08-31 23:59:59.0","","381478.267312398","177391.455047097","005102622744","",
"46","계량기증명업","09_28_04_P","3350000","1987335008706500001","19870522","","01","영업/정상","01","영업중","","","","","051 581 8133","","609817","부산광역시 금정구 부곡3동 24번지 1호","부산광역시 금정구 중앙대로 1766 (부곡동)","","거창계량증명","20210616160335","U","2021-06-18 02:40:00.0","","390465.712741004","195631.608104829","051 581 8133","",
"47","계량기증명업","09_28_04_P","3350000","1995335001506500001","19950623","","01","영업/정상","01","영업중","","","","","051 5275824","","","부산광역시 금정구 회동동 145번지 1호","부산광역시 금정구 동천로7번길 79 (회동동)","","회동계량사","20130513171459","I","2018-08-31 23:59:59.0","","393249.98642228","194375.25470275","051 5275824","",
"48","계량기증명업","09_28_04_P","3350000","1982335001506500003","19820622","","01","영업/정상","01","영업중","","","","","051 5231130","","","부산광역시 금정구 서동 119번지 11호","부산광역시 금정구 서동로175번길 61 (서동)","","동상계량증명","20180614163820","I","2018-08-31 23:59:59.0","","391951.039359675","192761.154144742","051 5231130","",
"49","계량기증명업","09_28_04_P","3350000","2006335008706500003","20060209","","03","폐업","03","폐업","20130131","","","","0515135189","","609311","부산광역시 금정구 구서1동 83번지 1호","부산광역시 금정구 중앙대로 1822 (구서동)","609854","경원ENG","20130131095553","I","2018-08-31 23:59:59.0","","390423.580155355","196220.89085736","0515135189","",
"50","계량기증명업","09_28_04_P","3350000","2006335001506500001","20060123","","03","폐업","03","폐업","20110720","","","","051522 1409","","","부산광역시 금정구 회동동 158번지 1  호","","","홍익계량증명업소","20131230133838","I","2018-08-31 23:59:59.0","","392795.577237073","194002.874644547","051522 1409","",
"51","계량기증명업","09_28_04_P","3360000","2011336009006500001","20110630","","01","영업/정상","01","영업중","","","","","8312622","","618819","부산광역시 강서구 송정동 1671번지","부산광역시 강서구 녹산화전로 106 (송정동)","618818","녹산계량사","20200814100520","U","2020-08-16 02:40:00.0","","370083.902222437","179300.229488675","8312622","",
"52","계량기증명업","09_28_04_P","3360000","2011336009406500001","20110419","","01","영업/정상","01","영업중","","","","","051  3113538","","618320","부산광역시 강서구 죽동동 376-1번지","부산광역시 강서구 호계로 143 (죽동동)","618320","강서공인계량증명업소","20210413093053","U","2021-04-15 02:40:00.0","","372204.225643134","191022.817362669","051  3113538","",
"53","계량기증명업","09_28_04_P","3360000","2011336009406500003","20110523","","01","영업/정상","01","영업중","","","","","051 266 4517","","618280","부산광역시 강서구 화전동 598-17 부산시 기계공업협동조합","부산광역시 강서구 화전산단6로 71 (화전동, 부산시 기계공업협동조합)","618280","부산시 기계공업협동조합","20200814100359","U","2020-08-16 02:40:00.0","","371574.572711084","179871.937472082","051 266 4517","",
"54","계량기증명업","09_28_04_P","3360000","2011336010506500002","20110916","","01","영업/정상","01","영업중","","","","","051 941 1517","","618280","부산광역시 강서구 화전동 588-9","부산광역시 강서구 화전산단2로 135 (화전동)","618280","화전계량사","20200814100316","U","2020-08-16 02:40:00.0","","371953.608312036","179983.353890829","051 941 1517","",
"55","계량기증명업","09_28_04_P","3360000","2011336011906500001","20110523","","01","영업/정상","01","영업중","","","","","051 266 4517","","618280","부산광역시 강서구 화전동 598번지 17호","","","부산시 기계 공업 협동조합","20200812141224","U","2020-08-14 02:40:00.0","","371574.572711084","179871.937472082","051 266 4517","",
"56","계량기증명업","09_28_04_P","3360000","2014336010506500001","20140619","","01","영업/정상","01","영업중","","","","","051 972 8520","","618260","부산광역시 강서구 구랑동","부산광역시 강서구 미음산단로8번길 6 (구랑동)","618260","에스원아텍(주) 계량증명업소","20200814100231","U","2020-08-16 02:40:00.0","","369129.31199500000","182844.06302300000","051 972 8520","",
"57","계량기증명업","09_28_04_P","3360000","2016336013606500002","20160714","","01","영업/정상","01","영업중","","","","","0518322508","","","부산광역시 중구 중앙동4가 78번지 2호 팍스빌딩 3층","부산광역시 중구 충장대로9번길 55 (중앙동4가, 팍스빌딩3층)","48936","우성국제물류(주)","20161111150618","I","2018-08-31 23:59:59.0","","385793.299310018","180910.386635661","0518322508","",
"58","계량기증명업","09_28_04_P","3360000","2016336013606500003","20160818","","01","영업/정상","01","영업중","","","","","051  9419800","","","부산광역시 강서구 성북동 1521호","부산광역시 강서구 신항남로 507 (성북동)","46767","내트럭(주)부산신항 남컨사업소","20200814100123","U","2020-08-16 02:40:00.0","","367033","175754","051  9419800","",
"59","계량기증명업","09_28_04_P","3360000","2008336006906500001","20080513","","01","영업/정상","01","영업중","","","","","051 972 4212","","618230","부산광역시 강서구 지사동 1214번지 6호","부산광역시 강서구 과학산단1로 31 (지사동)","618230","부산자동차부품조합 계량증명업","20201204105947","U","2020-12-06 02:40:00.0","","366756.770372749","184524.029110792","051 972 4212","",
"60","계량기증명업","09_28_04_P","3360000","2009336008206500001","20090420","","01","영업/정상","01","영업중","","","","","051 941 9681","","618410","부산광역시 강서구 성북동 1499번지","부산광역시 강서구 신항로 96-17 (성북동)","618410","에스비앤엘(주)","20220406100047","U","2022-04-09 02:40:00.0","","366505.223718151","177690.547841429","051 941 9681","",
"61","계량기증명업","09_28_04_P","3360000","2021336014506500002","20211115","","01","영업/정상","01","영업중","","","","","051  8313929","","","부산광역시 강서구 강동동 3251-1","부산광역시 강서구 제도로 707(강동동)","46711","삼정자원","20211116093724","I","2021-11-18 00:22:44.0","","374463.138991163","187989.547281358","051  8313929","",
"62","계량기증명업","09_28_04_P","3360000","2007336006906500001","20070504","","02","휴업","02","휴업","","","","","051  8315100","","","부산광역시 강서구 송정동 1540번지 2호","부산광역시 강서구 송정길 26 (송정동)","618818","부산조선해양기자재공업협동조합","20200814095951","U","2020-08-16 02:40:00.0","","367778.41698672","179326.717807079","051  8315100","",
"63","계량기증명업","09_28_04_P","3360000","1999336001306500001","20060627","","03","폐업","03","폐업","20110225","","","","051 831 5000","","","부산광역시 강서구 송정동 1591번지 7호","부산광역시 강서구 녹산산단289로 25 (송정동)","618818","우양비엔피산업(주)","20111118171138","I","2018-08-31 23:59:59.0","","368527.963331981","178479.003332713","051 831 5000","",
"64","계량기증명업","09_28_04_P","3360000","2002336001306500002","20020709","","03","폐업","03","폐업","20211231","","","","051  8316106","","","대구광역시 동구 신서동","대구광역시 동구 첨단로 39 (신서동)","41068","한국산업단지공단(녹산계량소)","20220125175806","U","2022-01-27 02:40:00.0","","356180.95384100000","266134.07982600000","051  8316106","",
"65","계량기증명업","09_28_04_P","3370000","2005337001406500001","20050416","","03","폐업","03","폐업","20111214","","","","051 8655702","","611817","부산광역시 연제구 연산9동 398번지 1호","부산광역시 연제구 온천천남로92번길 53 (연산동)","","남경ENG","20140724145557","I","2018-08-31 23:59:59.0","","391342.758998944","189750.203631661","051 8655702","",
"66","계량기증명업","09_28_04_P","3390000","1979339001506500018","19790327","","01","영업/정상","01","영업중","","","","","051 315 0435","","617843","부산광역시 사상구 학장동 234번지 13호","부산광역시 사상구 새벽로 36 (학장동)","617843","동원계량사","20200109101511","U","2020-01-11 02:40:00.0","","380422.901710524","184585.190200392","051 315 0435","",
"67","계량기증명업","09_28_04_P","3390000","1983339001506500002","19830926","","01","영업/정상","01","영업중","","","","","051 301 7034","","617825","부산광역시 사상구 삼락동 120번지 2호","부산광역시 사상구 낙동대로 1438 (삼락동)","617825","삼락계량증명업소","20181112152229","U","2018-11-14 02:37:25.0","","380185.259681026","189455.06097755","051 301 7034","",
"68","계량기증명업","09_28_04_P","3390000","1988339001506500012","19880310","","01","영업/정상","01","영업중","","","","","051 326 5885","","617844","부산광역시 사상구 학장동 264번지 15호","부산광역시 사상구 대동로180번길 12 (학장동)","617844","함양계량증명업소","20181112145535","U","2018-11-14 02:37:25.0","","380812.919737591","184462.721545537","051 326 5885","",
"69","계량기증명업","09_28_04_P","3390000","1989339001506500004","19891229","","01","영업/정상","01","영업중","","","","","051 971 3323","","617805","부산광역시 사상구 감전동 506번지 1호","부산광역시 사상구 낙동대로 900 (감전동)","","유신계량사","20131001110052","I","2018-08-31 23:59:59.0","","379514.944524824","184200.556172173","051 971 3323","",
"70","계량기증명업","09_28_04_P","3390000","1991339001506500027","19910926","","01","영업/정상","01","영업중","","","","","051 311 5233","","617843","부산광역시 사상구 학장동 731번지 1호","부산광역시 사상구 장인로 80 (학장동)","47026","서림공인계량증명사","20200807171013","U","2020-08-09 02:40:00.0","","380159.887634081","184293.415314707","051 311 5233","",
"71","계량기증명업","09_28_04_P","3390000","1996339001506500030","19961219","","01","영업/정상","01","영업중","","","","","051 315 9682","","","부산광역시 사상구 감전동 957번지 44 호","부산광역시 사상구 낙동대로902번길 61 (감전동)","617805","대건계량사","20111102101024","I","2018-08-31 23:59:59.0","","379802.781430468","184190.42347416","051 315 9682","",
"72","계량기증명업","09_28_04_P","3390000","1996339001506500031","19960603","","01","영업/정상","01","영업중","","","","","051 312 6759","","617841","부산광역시 사상구 학장동 286번지 1   호","부산광역시 사상구 가야대로 176 (학장동)","617841","오성계량사","20181112145409","U","2018-11-14 02:37:25.0","","381445.571674323","185164.667279454","051 312 6759","",
"73","계량기증명업","09_28_04_P","3390000","1997339001506500033","19970822","","01","영업/정상","01","영업중","","","","","051 324 3565","","617805","부산광역시 사상구 감전동 945번지 3호","부산광역시 사상구 가야대로 16 (감전동)","617804","현대계량증명업소","20181112145327","U","2018-11-14 02:37:25.0","","379859.184130455","185384.933176472","051 324 3565","",
"74","계량기증명업","09_28_04_P","3390000","2004339001506500001","20040213","","01","영업/정상","01","영업중","","","","","051 317 1553","","","부산광역시 사상구 감전동 169번지 1호","부산광역시 사상구 낙동대로 1014 (감전동)","47027","삼용공인계량증명업소","20200722174830","U","2020-07-24 02:40:00.0","","379686.146743346","185275.080605258","051 317 1553","",
"75","계량기증명업","09_28_04_P","3390000","2011339008306500001","20110201","","01","영업/정상","01","영업중","","","","","051 301 5772","","617826","부산광역시 사상구 삼락동 363번지 10호","부산광역시 사상구 모덕로 33 (삼락동)","617826","동화스틸 계량증명업소","20120925202924","I","2018-08-31 23:59:59.0","","380304.867604251","188843.788292192","051 301 5772","",
"76","계량기증명업","09_28_04_P","3390000","2014339008306500001","20140822","","01","영업/정상","01","영업중","","","","","051 305 0805","","","","부산광역시 사상구 사상로531번길 61 (모라동)","617819","명성계량증명업소","20180627132835","I","2018-08-31 23:59:59.0","","380834.666883323","189966.941518887","051 305 0805","",
"77","계량기증명업","09_28_04_P","3390000","2018339009106500002","20181123","","01","영업/정상","01","영업중","","","","","051 324 7005","","","부산광역시 사상구 감전동 500번지 26호","부산광역시 사상구 낙동대로915번길 12 (감전동)","47030","(주)한성산업","20190501090558","U","2019-05-03 02:40:00.0","","379382.680087038","184392.114864321","051 324 7005","",
"78","계량기증명업","09_28_04_P","3390000","1984339001506500029","19841121","","03","폐업","03","폐업","20181221","","","","051 326 1070","","617831","부산광역시 사상구 엄궁동 643번지 8호","부산광역시 사상구 강변대로532번길 41 (엄궁동)","","남성계량증명업소","20181221131115","U","2018-12-23 02:40:00.0","","379225.358306865","183207.467245556","051 326 1070","",
"79","계량기증명업","09_28_04_P","3390000","1998339001506500035","19980928","","03","폐업","03","폐업","20080930","","","","3155606","","617844","부산광역시 사상구 학장동 236번지 15호","부산광역시 사상구 새벽로 2 (학장동)","617843","대흥계량증명업소","20111101095941","I","2018-08-31 23:59:59.0","","380375.948275017","184288.424663376","3155606","",
"80","계량기증명업","09_28_04_P","3390000","2000339005606500040","20000824","","03","폐업","03","폐업","20081120","","","","005103233511","","617020","부산광역시 사상구 학장동 725번지 4호","부산광역시 사상구 장인로77번길 69 (학장동)","617843","(주)DSP","20111101095356","I","2018-08-31 23:59:59.0","","380105.77662477","184702.733602538","005103233511","",
"81","계량기증명업","09_28_04_P","3390000","1980339001506500020","19800908","","03","폐업","03","폐업","20130614","","","","051 301 0986","","","부산광역시 사상구 삼락동 399번지 2호","부산광역시 사상구 낙동대로 1304 (삼락동)","617826","대림계량증명업","20160510183654","I","2018-08-31 23:59:59.0","","380000.180418859","188154.771634835","051 301 0986","",
"82","계량기증명업","09_28_04_P","3390000","1981339001506500024","19810516","","03","폐업","03","폐업","20161013","","","","051 315 1164","","617020","부산광역시 사상구 학장동 628번지 7호","부산광역시 사상구 학장로 35 (학장동)","617843","부일계량사","20161014180829","I","2018-08-31 23:59:59.0","","379849.199365572","183682.712116656","051 315 1164","",
"83","계량기증명업","09_28_04_P","3390000","1985339001506500022","19850827","","03","폐업","03","폐업","20120518","","","","051 323 6648","","617805","부산광역시 사상구 감전동 511번지 13호","","","대아계량증명업소","20120705171745","I","2018-08-31 23:59:59.0","","379497.39588861","183644.027908648","051 323 6648","",
"84","계량기증명업","09_28_04_P","3390000","1994339001506500020","19940404","","03","폐업","03","폐업","20121101","","","","051 3225422","","","부산광역시 사상구 학장동 246번지 5호","부산광역시 사상구 대동로223번길 14 (학장동)","","유성컴퓨터계량소","20121101120702","I","2018-08-31 23:59:59.0","","380755.716598483","184982.837438292","051 3225422","",
