"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","사무소전화번호","사업장전화번호",
"22","계량기제조업","09_28_03_P","3390000","2015339009106500005","19980919","","01","영업/정상","01","영업중","","","","","051 3252626","","46980","부산광역시 사상구 감전동 130번지 16호","부산광역시 사상구  새벽로  157-2 (감전동)","617802","성광저울제작소","20151119165234","I","2018-10-11 15:46:28.0","","380615.401841437","185827.486050482","051 3252626","",
"23","계량기제조업","09_28_03_P","3390000","2015339009106500006","20070111","","01","영업/정상","01","영업중","","","","","051  9417820","","617721","부산광역시 사상구 감전동 152번지 2호 산업용재유통상가 1동 125호","부산광역시 사상구  새벽로  133 (감전동)","617803","경북저울","20151119165754","I","2018-10-11 15:46:28.0","","380482.767624189","185582.274947583","051  9417820","",
"24","계량기제조업","09_28_03_P","3390000","2015339009106500007","20010625","","01","영업/정상","01","영업중","","","","","051 312 5501","","617020","부산광역시 사상구 학장동 264번지 5호","부산광역시 사상구 학장로 165 (학장동)","617844","(주)MS이엔지","20201201153539","U","2020-12-03 02:40:00.0","","380847.349924547","184429.806177009","051 312 5501","",
"25","계량기제조업","09_28_03_P","3390000","2015339009106500008","20011119","","01","영업/정상","01","영업중","","","","","051  3100440","","","부산광역시 사상구 감전동 502번지 1호 마트월드","부산광역시 사상구 낙동대로 910, 마트월드 B동 117호 (감전동)","47029","부일계량기","20200212160206","U","2020-02-14 02:40:00.0","","379554.826788136","184301.128962735","051  3100440","",
"26","계량기제조업","09_28_03_P","3390000","1996339001506500030","19961219","","03","폐업","03","폐업","20180929","","","","051 315 9682","","","부산광역시 사상구 감전동 957번지 44 호","부산광역시 사상구 낙동대로902번길 61 (감전동)","617805","대건계량사","20200824141018","I","2020-08-26 00:23:13.0","","379802.781430468","184190.42347416","051 315 9682","",
"27","계량기제조업","09_28_03_P","3390000","2015339009106500002","20091214","","03","폐업","03","폐업","20151103","","","","0513230935","","617050","부산광역시 사상구 감전동 514번지 19호","부산광역시 사상구  낙동대로815번길  50-10 (감전동)","617805","신신이앤지(주)","20151104114359","I","2018-10-11 15:46:28.0","","379396.191570817","183379.563006932","0513230935","",
"28","계량기제조업","09_28_03_P","3390000","2015339009106500009","20080402","","03","폐업","03","폐업","20161218","","","","051 3152984","","617020","부산광역시 사상구 학장동 288번지 7호","부산광역시 사상구  가야대로196번길  63 (학장동)","617020","디노엠텍","20170117162403","I","2018-10-11 15:46:28.0","","381678.435613311","184890.299402784","051 3152984","",
"29","계량기제조업","09_28_03_P","3400000","2021340010906500001","20210804","","01","영업/정상","01","영업중","","","","","051 723 3000","","","부산광역시 기장군 장안읍 반룡리 838-4","부산광역시 기장군 장안읍 장안산단8로 126","46034","(주) 광성계측기","20210806173732","I","2021-08-08 00:22:51.0","","405082.074584135","205273.819748792","051 723 3000","",
"30","계량기제조업","09_28_03_P","6260000","200162600009100001","20010224","","01","영업/정상","1","등록","","","","","0512077939","","618810","부산광역시 강서구 대저2동 5463번지","부산광역시 강서구 맥도길377번길 134 (대저2동)","618810","국제계기","20130521182304","I","2018-08-31 23:59:59.0","","376177.731913164","183944.453284481","0512077939","0512077939",
"31","계량기제조업","09_28_03_P","6260000","200162600009100002","20011119","","01","영업/정상","1","등록","","","","","0513100440","","47029","부산광역시 사상구 감전동 502-1 마트월드 B동 117호","부산광역시 사상구 낙동대로 910, 마트월드 B동 117호 (감전동)","47029","부일계량기","20191223212123","U","2019-12-25 02:40:00.0","","379554.826788136","184301.128962735","0513100440","0513100440",
"32","계량기제조업","09_28_03_P","6260000","200762600009100002","20071228","","01","영업/정상","1","등록","","","","","0513230935","","617805","부산광역시 사상구 감전동  514번지 9호","부산광역시 사상구 낙동대로815번길 28-17 (감전동)","617805","신신이앤지(주)","20111031172547","I","2018-08-31 23:59:59.0","","379445.200908299","183422.956845856","0513230935","0513230935",
"33","계량기제조업","09_28_03_P","6260000","199262600009100002","19920902","","01","영업/정상","1","등록","","","","","0512487645","","617841","부산광역시 사상구 학장동  288번지 7호","부산광역시 사상구 가야대로196번길 63 (학장동)","617841","디노엠텍","20120706143539","I","2018-08-31 23:59:59.0","","381678.435613311","184890.299402784","0512487645","0513152984",
"34","계량기제조업","09_28_03_P","6260000","199762600009100001","19971208","","01","영업/정상","1","등록","","","","","0553248336","","618804","부산광역시 강서구 대저2동  3579번지 29호","부산광역시 강서구 금호순서길282번가길 171-12 (대저2동)","618804","제일계량시스템","20111031152506","I","2018-08-31 23:59:59.0","","376197.107607617","186329.645385665","0553248336","0519413785",
"35","계량기제조업","09_28_03_P","6260000","200162600009100006","20010611","","01","영업/정상","1","등록","","","","","0553850117","","617817","부산광역시 사상구 모라3동  75번지 8호 신모라공단 604호","부산광역시 사상구 모라로192번길 9, 604호 (모라동,신모라공단)","617817","한덕 TSO","20111031160555","I","2018-08-31 23:59:59.0","","382193.744363572","189180.099262507","0553850117","0513027500",
"36","계량기제조업","09_28_03_P","6260000","200462600009100001","20040528","","01","영업/정상","1","등록","","","","","0513053236","","618806","부산광역시 강서구 대저1동  1639번지 4호","부산광역시 강서구 낙동북로219번길 35 (대저1동)","618806","반도저울","20111031170532","I","2018-08-31 23:59:59.0","","377609.640682562","192390.756984964","0513053236","0519724301",
"37","계량기제조업","09_28_03_P","6260000","200162600009100004","20011213","","01","영업/정상","1","등록","","","","","0313078662","","618270","부산광역시 강서구 송정동  1493번지 10호","부산광역시 강서구 녹산산단77로 17 (송정동)","618270","(주)서용엔지니어링","20111031165403","I","2018-08-31 23:59:59.0","","366705.959819806","178814.617007229","0313078662","0518316171",
"38","계량기제조업","09_28_03_P","6260000","200262600009100001","20020119","","01","영업/정상","1","등록","","","","","0518181221","","614843","부산광역시 부산진구 부전1동  55번지 2호","부산광역시 부산진구 중앙대로783번길 8 (부전동)","614843","현대계량시스템","20111031170032","I","2018-08-31 23:59:59.0","","387837.335714573","186746.745584884","0518181221","0518096123",
"39","계량기제조업","09_28_03_P","6260000","201262600009100001","20121210","","01","영업/정상","1","등록","","","","","","","612050","부산광역시 해운대구 재송동  1209번지 704호","부산광역시 해운대구 센텀북대로 60-704 (재송동)","612050","(주)지디스","20140108201847","I","2018-08-31 23:59:59.0","","","","","0517848018",
"40","계량기제조업","09_28_03_P","6260000","201262600009100002","20121210","","01","영업/정상","1","등록","","","","","","","612050","부산광역시 해운대구 재송동   1209번지","부산광역시 해운대구 센텀북대로 60 (재송동)","","(주)지디스","20130528114710","I","2018-08-31 23:59:59.0","","393527.757337839","188440.756376893","","0517848018",
"41","계량기제조업","09_28_03_P","6260000","201362600009100001","20130715","","01","영업/정상","1","등록","","","","","","","601808","부산광역시 동구 범일동 830번지 216호","부산광역시 동구 조방로49번길 29 (범일동)","601808","신광엔지니어링(주)","20130715084232","I","2018-08-31 23:59:59.0","","387703.04599269","184060.087160652","","0514665905",
"42","계량기제조업","09_28_03_P","6260000","201462600009100001","20140509","","01","영업/정상","1","등록","","","","","","","612857","부산광역시 해운대구 반여4동 614번지 3호","부산광역시 해운대구 삼어로91번길 122-7 (반여동)","612857","(주)아이티시스","20140509175435","I","2018-08-31 23:59:59.0","","392630.646833184","192146.212835012","","0515581334",
"43","계량기제조업","09_28_03_P","6260000","200762600009100001","20070111","","01","영업/정상","1","등록","","","","","","","617721","부산광역시 사상구 감전동 152번지 2호 산업용재유통상가 1동 125호","부산광역시 사상구 새벽로 131, 1동 125호 (감전동,산업용재유통상가)","617721","경북저울","20111031171820","I","2018-08-31 23:59:59.0","","380482.767624189","185582.274947583","","0519417820",
"44","계량기제조업","09_28_03_P","6260000","199262600009100001","19920428","","01","영업/정상","1","등록","","","","","0513046789","","617809","부산광역시 사상구 괘법동  557번지 10호","부산광역시 사상구 새벽로 212 (괘법동)","617809","대림계량기","20141127173924","I","2018-08-31 23:59:59.0","","380735.036807432","186328.377180654","0513046789","0513046789",
"45","계량기제조업","09_28_03_P","6260000","199562600009100001","19951228","","01","영업/정상","1","등록","","","","","","","607822","부산광역시 동래구 수안동  9번지 15호","부산광역시 동래구 명륜로 59 (수안동)","607822","신정계기제작소","20141217093215","I","2018-08-31 23:59:59.0","","389760.418761059","190891.757699159","","0515557712",
"46","계량기제조업","09_28_03_P","6260000","199862600009100002","19981217","","01","영업/정상","1","등록","","","","","","","617817","부산광역시 사상구 모라3동  75번지 8호 모라아파트형공장 801호","부산광역시 사상구 모라로192번길 9, 801호 (모라동,모라아파트형공장)","617817","천일계전 (주)","20111031153356","I","2018-08-31 23:59:59.0","","382193.744363572","189180.099262507","","0513027115",
"47","계량기제조업","09_28_03_P","6260000","200962600009100001","20091202","","01","영업/정상","1","등록","","","","","0519265501","","607808","부산광역시 동래구 명장1동  69번지 1호","부산광역시 동래구 명안로53번길 43 (명장동)","607808","부경수도산업","20130917160057","I","2018-08-31 23:59:59.0","","391370.068153741","191192.487289731","0519265501","07087225501",
"48","계량기제조업","09_28_03_P","6260000","201062600009100001","20101101","","01","영업/정상","1","등록","","","","","0512651146","","604823","부산광역시 사하구 다대1동  933번지 14호","부산광역시 사하구 윤공단로14번길 74 (다대동)","604823","진영계기","20111129113849","I","2018-08-31 23:59:59.0","","379689.915669981","174995.655965252","0512651146","",
"49","계량기제조업","09_28_03_P","6260000","199862600009100001","19980919","","01","영업/정상","1","등록","","","","","0513262626","","617802","부산광역시 사상구 감전동  130번지 16호","부산광역시 사상구 새벽로 157-2 (감전동)","617802","성광저울제작소","20111031152806","I","2018-08-31 23:59:59.0","","380615.401841437","185827.486050482","0513262626","0513262626",
"50","계량기제조업","09_28_03_P","6260000","200162600009100003","20010623","","01","영업/정상","1","등록","","","","","","","617844","부산광역시 사상구 학장동  264번지 5호","부산광역시 사상구 학장로 165 (학장동)","617844","(주)엠에스이엔지","20111129110801","I","2018-08-31 23:59:59.0","","380847.349924547","184429.806177009","","0513125501",
"51","계량기제조업","09_28_03_P","6260000","200162600009100005","20010810","","01","영업/정상","1","등록","","","","","","","618810","부산광역시 강서구 대저2동  4293번지 4호","부산광역시 강서구 공항로533번길 263 (대저2동)","618810","동양계량기","20111031163825","I","2018-08-31 23:59:59.0","","376858.430049837","185679.138085827","","0519419322",
"52","계량기제조업","09_28_03_P","6260000","200862600009100001","20080108","","03","폐업","3","폐업","","","","","","","609809","부산광역시 금정구 금사동   48번지 15호","부산광역시 금정구 공단동로41번길 35 (금사동)","","(주)용조","20090429091824","I","2018-08-31 23:59:59.0","","392474.083107074","193365.461601461","","0515223077",
"53","계량기제조업","09_28_03_P","6260000","199962600009100001","19990706","","03","폐업","3","폐업","","","","","0513114303","","617050","부산광역시 사상구 감전동   508번지 3호","부산광역시 사상구 낙동대로 873 (감전동)","","(주)신대양","20110223105327","I","2018-08-31 23:59:59.0","","379482.566690803","183912.92974661","0513114303","0513145056",
"54","계량기제조업","09_28_03_P","6260000","200862600009100002","20080124","","03","폐업","3","폐업","","","","","0515012747","","608806","부산광역시 남구 대연3동   202번지 12호","부산광역시 남구 수영로325번길 159-6 (대연동)","","(주)태성계전","20090630132732","I","2018-08-31 23:59:59.0","","391069.444118334","184844.065107362","0515012747","0518515653",
"55","계량기제조업","09_28_03_P","6260000","201062600009100002","20101101","","04","취소/말소/만료/정지/중지","4","등록취소","","","","","0512651146","","604823","부산광역시 사하구 다대1동   933번지 14호","부산광역시 사하구 윤공단로14번길 74 (다대동)","","진영계기","20111031101635","I","2018-08-31 23:59:59.0","","379689.915669981","174995.655965252","0512651146","",
