"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","민원종류명","자본금의 규모","예치기관명","공제계약명","공제계약기타명","보험","채무지급보증","사업자등록번호",
"12","상조업","11_47_01_P","6260000","20116260000051000002","20110131","","03","폐업","3","폐업","","","","","0518653800","","611080","부산광역시 연제구 연산동  1242번지 2호 동화빌딩 11층","부산광역시 연제구 월드컵대로 141 (연산동,동화빌딩 11층)","","주식회사 에이스","20130308000000","I","2018-08-31 23:59:59.0","","389441.669294678","189418.44515731","","300000000","","","","","","",
"13","상조업","11_47_01_P","6260000","20116260000051000003","20110131","","03","폐업","3","폐업","20180226","","","","0515553327","","614870","부산광역시 부산진구 전포동  875번지 2호","부산광역시 사하구 까치고개로 77-1 (괴정동)","","주식회사 다원상조","20180226000000","I","2018-08-31 23:59:59.0","","387938.406326008","186768.185634003","","300000000","우리은행","","","","","",
"14","상조업","11_47_01_P","6260000","20106260000051000007","20101027","","03","폐업","3","폐업","","","","","0518168260","","614030","부산광역시 부산진구 부전동  168번지 451호 6층 604호","부산광역시 부산진구 중앙대로702번길 43, 6층 (부전동)","","삼성상조주식회사","20161101000000","I","2018-08-31 23:59:59.0","","387772.924812501","186000.085967988","","300000000","","기타","상조보증공제조합","","","",
"15","상조업","11_47_01_P","6260000","20106260000051000009","20101103","","03","폐업","3","폐업","","","","","0515181300","","609320","부산광역시 금정구 부곡동  22번지 4호","부산광역시 금정구 무학송로 124 (부곡동)","","주식회사 신양상조","20140424000000","I","2018-08-31 23:59:59.0","","390527.718344083","195658.450014576","","300000000","신한은행","","","","","",
"16","상조업","11_47_01_P","6260000","20106260000051000010","20101115","","03","폐업","3","폐업","","","","","05115775787","","614853","부산광역시 부산진구 양정동  369번지 3호","","","에스에이치라이프(새한일상조주식회사)","20140605000000","I","2018-08-31 23:59:59.0","","388526.693840246","187889.488672895","","300000000","","기타","상조보증공제조합","","","",
"17","상조업","11_47_01_P","6260000","20116260000051000005","20110224","","03","폐업","3","폐업","20110323","","","","05115445464","","614020","부산광역시 부산진구 범천동  869번지 2호 국민빌딩 2층","부산광역시 부산진구 중앙대로635번길 9 (범천동,국민빌딩 2층)","","두레상조 주식회사","20110329000000","I","2018-08-31 23:59:59.0","","387528.737877272","185277.829219233","","300000000","","기타","한국상조공제조합","","","",
"18","상조업","11_47_01_P","6260000","20116260000051000011","20110310","","03","폐업","3","폐업","20170321","","","","0518674202","","614100","부산광역시 부산진구 당감동  817번지 37호","부산광역시 부산진구 가야대로691번길 23 (당감동)","","주식회사 상부상조","20170321000000","I","2018-08-31 23:59:59.0","","386392.142032013","186171.343205524","","300000000","신한은행","","","","","",
"19","상조업","11_47_01_P","6260000","20116260000051000016","20110318","","03","폐업","3","폐업","","","","","0519446644","","614020","부산광역시 부산진구 범천동  869번지 30호 대동빌딩 2층","부산광역시 부산진구 중앙대로 625, 2층 (범천동)","","행복한상조 주식회사","20131224000000","I","2018-08-31 23:59:59.0","","387552.843242632","185203.096952248","","300000000","우리은행","","","","","",
"20","상조업","11_47_01_P","6260000","20126260000051000001","20120513","","03","폐업","3","폐업","","","","","","","","","부산광역시 사상구 가야대로 348, 6층 (주례동,이알빌딩)","","주식회사 품앗이티에스","20130613000000","I","2018-08-31 23:59:59.0","","383142.40850891","185365.993293709","","300000000","신한은행","","","","","",
"21","상조업","11_47_01_P","6260000","20106260000051000014","20101231","","03","폐업","3","폐업","","","","","0518190560","","614040","부산광역시 부산진구 전포동  675번지 17호 4층","부산광역시 부산진구 전포대로 229-1 (전포동,4층)","","한성원종합상조주식회사","20130329000000","I","2018-08-31 23:59:59.0","","388086.164188963","186174.26378032","","300000000","신한은행","기타","한국상조공제조합","","","",
"22","상조업","11_47_01_P","6260000","20106260000051000011","20101213","","03","폐업","3","폐업","","","","","0513162180","","614867","부산광역시 부산진구 전포동  675번지 17호","부산광역시 부산진구 전포대로 229-1 (전포동)","","주식회사성원상조","20130329000000","I","2018-08-31 23:59:59.0","","388086.164188963","186174.26378032","","300000000","신한은행","기타","한국상조공제조합","","","",
"23","상조업","11_47_01_P","6260000","20106260000051000004","20101015","","03","폐업","3","폐업","","","","","0518687678","","611070","부산광역시 연제구 거제동  1번지 73호 중앙빌딩 3층","","","삼성복지상조주식회사","20140806000000","I","2018-08-31 23:59:59.0","","389361.387493924","190036.414011911","","300000000","","기타","한국상조공제조합","","","",
"24","상조업","11_47_01_P","6260000","20116260000051000009","20110310","","03","폐업","3","폐업","","","","","05115886168","","611070","부산광역시 연제구 거제동  1177번지 9호 세종빌딩 3층","부산광역시 연제구 월드컵대로 225 (거제동,세종빌딩 3층)","","(주)미래라이프상조","20130724000000","I","2018-08-31 23:59:59.0","","388668.750587469","189714.551513798","","300000000","","","","","","",
"25","상조업","11_47_01_P","6260000","20116260000051000007","20110303","","03","폐업","3","폐업","","","","","0516343580","","614020","부산광역시 부산진구 범천동  848번지 17호","부산광역시 부산진구 황령대로8번길 54 (범천동)","","(주)명심상조","20130329000000","I","2018-08-31 23:59:59.0","","387647.228507509","184857.762359067","","300000000","신한은행","","","","","",
"26","상조업","11_47_01_P","6260000","20116260000051000018","20110318","","03","폐업","3","폐업","","","","","0518084115","","614040","부산광역시 부산진구 전포동  654번지 4호 에이동 205호","부산광역시 부산진구 전포대로255번길 29, 2층 (전포동)","","정토복지개발(주)","20140616000000","I","2018-08-31 23:59:59.0","","387966.695860279","186396.099226276","","300000000","우리은행","","","","","",
"27","상조업","11_47_01_P","6260000","20116260000051000020","20110322","","03","폐업","3","폐업","","","","","05115449219","","607100","부산광역시 동래구 안락동  433번지 1호 롯데캐슬 애브뉴상가 205호","부산광역시 동래구 충렬대로 368, 2층 205호 (안락동)","","영원상조(주)","20140424000000","I","2018-08-31 23:59:59.0","","391024.721499922","190696.675178817","","300000000","우리은행","","","","","",
"28","상조업","11_47_01_P","6260000","20116260000051000021","20110322","","03","폐업","3","폐업","","","","","0518514500","","611816","부산광역시 연제구 연산동  380번지 13호","부산광역시 연제구 과정로 257-2, 1층 (연산동)","","(주)영락상조개발","20141002000000","I","2018-08-31 23:59:59.0","","391104.459901624","189617.587019737","","300000000","신한은행","","","","","",
"29","상조업","11_47_01_P","6260000","20166260000051000001","20160112","","03","폐업","3","폐업","20201006","","","","0518631888","","47540","부산광역시 연제구 연산동  1143번지 12호","부산광역시 연제구 월드컵대로165번길 5, 3층 (연산동)","","이편한라이프(주)","20201006000000","U","2020-10-08 02:40:00.0","","389238.443389405","189484.208102327","","1500475000","우리은행","","","","","",
"30","상조업","11_47_01_P","6260000","20116260000051000017","20110318","","03","폐업","3","폐업","20180228","","","","0512547244","","600074","부산광역시 중구 부평동4가  14번지 1호","부산광역시 중구 흑교로31번길 19-1, 2층 (부평동4가)","","부경상조(주)","20180228000000","I","2018-08-31 23:59:59.0","","384389.415480923","180004.941132641","","300000000","우리은행","","","","","",
"31","상조업","11_47_01_P","6260000","20116260000051000006","20110303","","04","취소/말소/만료/정지/중지","7","등록취소","","","","","00015884108","","614050","부산광역시 부산진구 양정동  94번지 11호","","","예그린에스앤티(주)","20190904000000","U","2019-09-06 02:40:00.0","","388826.786366766","188006.381067146","","300000000","","기타","상조보증공제조합","","","",
"32","상조업","11_47_01_P","6260000","20136260000051000001","20130219","","04","취소/말소/만료/정지/중지","7","등록취소","","","","","0518530101","","611828","부산광역시 연제구 연산동  1495번지 11호","부산광역시 연제구 신촌로 24, 1층 (연산동)","","바이오힐링(주)","20181116000000","U","2018-11-18 02:38:06.0","","389051.903737685","189085.495983838","","300000000","우리은행","","","","","",
"33","상조업","11_47_01_P","6260000","20106260000051000012","20101227","","04","취소/말소/만료/정지/중지","7","등록취소","","","","","05115885752","","","부산광역시 동구 초량동  1146번지 7호 해봉빌딩","부산광역시 동구 중앙대로 289, 해봉빌딩 2층 (초량동)","","(주)보훈라이프","20190904000000","U","2019-09-06 02:40:00.0","","386198.912596505","182298.559966434","","1500000000","","기타","한국상조공제조합","","","",
"34","상조업","11_47_01_P","6260000","20106260000051000008","20101027","","04","취소/말소/만료/정지/중지","7","등록취소","","","","","0517544441","","611812","부산광역시 연제구 연산동  149번지 4호 동성빌딩","부산광역시 동구 조방로49번길 29, 호림빌딩 603호 (범일동)","","행복플러스주식회사","20190904000000","U","2019-09-06 02:40:00.0","","392032.998622836","189646.629321318","","300000000","","","","","","",
"35","상조업","11_47_01_P","6260000","20116260000051000012","20110310","","04","취소/말소/만료/정지/중지","8","직권말소","","","","","00015883661","","48738","부산광역시 동구 범일동  830번지 42호 썬오피스텔 1210호","부산광역시 동구 조방로 39, 1210호 (범일동,선오피스텔)","","(주)씨에스라이프","20190401000000","U","2019-04-03 02:40:00.0","","387727.932157079","184254.180458819","","429650000","","","","","","",
"36","상조업","11_47_01_P","6260000","20116260000051000023","20111013","","04","취소/말소/만료/정지/중지","8","직권말소","","","","","","","614050","부산광역시 부산진구 양정동  370번지 4호 대원플러스빌 201호","부산광역시 부산진구 동평로 416, 2층 (양정동)","","주식회사 해오름상조","20190102000000","U","2019-01-04 02:40:00.0","","388519.853095162","187952.862136119","","300000000","신한은행","","","","","",
"37","상조업","11_47_01_P","6260000","20106260000051000002","20101005","","04","취소/말소/만료/정지/중지","8","직권말소","","","","","0517143100","","614844","부산광역시 부산진구 부전동  130번지 1호","부산광역시 부산진구 중앙대로 750, 3층 (부전동)","","에플라이프 주식회사","20190401000000","U","2019-04-03 02:40:00.0","","387691.8428384","186393.64827304","","300000000","신한은행","","","","","",
"38","상조업","11_47_01_P","6260000","20156260000051000003","20150115","","04","취소/말소/만료/정지/중지","8","직권말소","","","","","05115994838","","","","부산광역시 중구 남포길 43 (남포동2가)","","사임당 라이프(주)","20190401000000","U","2019-04-03 02:40:00.0","","385349.511207644","179566.520286552","","300000000","","","","","","",
