"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","문화체육업종명","문화사업자구분명","지역구분명","총층수","주변환경명","제작취급품목내용","보험기관명","건물용도명","지상층수","지하층수","객실수","건축연면적","영문상호명","영문상호주소","선박총톤수","선박척수","선박제원","무대면적","좌석수","기념품종류","회의실별동시수용인원","시설면적","놀이기구수내역","놀이시설수","방송시설유무","발전시설유무","의무실유무","안내소유무","기획여행보험시작일자","기획여행보험종료일자","자본금","보험시작일자","보험종료일자","부대시설내역","시설규모","관광숙박업상세명",
"13","관광숙박업","03_11_01_P","3250000","CDFI2260032017000001","20170324","","01","영업/정상","13","영업중","","","","","","","","부산광역시 중구 영주동 20-10","부산광역시 중구 초량중로 8-1, 2층 (영주동)","48911","첵앤아웃호스텔","20220609162931","U","2022-06-11 02:40:00.0","","385580.190350614","181198.150720904","관광숙박업","","상업지역","2","","","동부화재","숙박시설","2","0","2","302","","","0","0","","0","0","","0","302.3","","0","","","","","","","0","","","","302","호스텔업",
"14","관광숙박업","03_11_01_P","3250000","CDFI2260032017000002","20170814","","01","영업/정상","13","영업중","","","","","051-795-7700","","","부산광역시 중구 남포동5가 56-1번지","부산광역시 중구 구덕로 53 (남포동5가)","48983","스탠포드 인 부산","20200120134434","U","2020-01-22 02:40:00.0","","385027.185256483","179533.749700374","관광숙박업","","일반상업지역","17","","","","","15","2","132","","","","","","","","","","","4437.88","","","","","","","","","","","","","4438","관광호텔업",
"15","관광숙박업","03_11_01_P","3250000","CDFI2260032018000001","20180109","","01","영업/정상","13","영업중","","","","","051-464-8532","","","부산광역시 중구 대청동2가 7-1","부산광역시 중구 대청로 107 (대청동2가)","48933","넘버25호텔 대청점","20211014112113","U","2021-10-16 02:40:00.0","","385176.391700712","180113.825158361","관광숙박업","","","8","","","","","6","2","60","4277","","","0","0","","0","0","","0","4277.42","","0","","","","","","","0","","","","4277","관광호텔업",
"16","관광숙박업","03_11_01_P","3250000","CDFI2260031974000001","19740613","","01","영업/정상","13","영업중","","","","","051-466-9101","","600811","부산광역시 중구 영주동 742-13","부산광역시 중구 중구로 151 (영주동)","48912","(주)코모도호텔","20211007124819","U","2021-10-09 02:40:00.0","","385475.543050054","180776.200989752","관광숙박업","관광사업","","18","","","","숙박시설","15","3","312","0","COMMODORE","TOURIST ACCOMMODATION(TOURIST HOTEL)","0","0","","0","0","","0","27553","","0","","","","","","","0","","","","27553","관광호텔업",
"17","관광숙박업","03_11_01_P","3250000","CDFI2260032016000001","20161229","","01","영업/정상","13","영업중","","","","","051-462-8008","","","부산광역시 중구 중앙동4가 52-8","부산광역시 중구 해관로 79-1 (중앙동4가, 반달호텔)","48928","반달호텔","20220401101630","U","2022-04-03 02:40:00.0","","385488.794606581","180448.886028622","관광숙박업","","일반상업지역","0","","","삼성화재","","0","0","28","0","","","0","0","","0","0","","0","994","","0","","","","","","","4800000000","","","","994","소형호텔업",
"18","관광숙박업","03_11_01_P","3250000","CDFI2260032020000002","20200727","","01","영업/정상","13","영업중","","","","","051-256-5818","","","부산광역시 중구 남포동4가 5-3","부산광역시 중구 구덕로48번길 4 (남포동4가)","48953","브로시스 호텔","20211018094633","U","2021-10-20 02:40:00.0","","385108.287636901","179612.173748455","관광숙박업","","상업지역","10","","","DB손해보험","","8","2","48","2839","","","0","0","","0","0","","0","2838.78","","0","","","","","","","0","","","","2839","호스텔업",
"19","관광숙박업","03_11_01_P","3250000","CDFI2260032021000001","20210813","","01","영업/정상","13","영업중","","","","","051-246-1798","","","부산광역시 중구 중앙동1가 22-2","부산광역시 중구 중앙대로41번길 5 (중앙동1가)","48957","굿올데이즈호텔","20211022115306","U","2021-10-24 02:40:00.0","","385563.842824368","179899.509973333","관광숙박업","","일반상업지역","5","","","현대해상","숙박시설","5","0","9","761","","","0","0","","0","0","","0","760.95","","0","","","","","","","0","","","","761","호스텔업",
"20","관광숙박업","03_11_01_P","3260000","CDFI2260031991000001","19910704","","02","휴업","02","휴업","","20211001","20221231","","254-2000","","","부산광역시 서구 암남동 541-6","부산광역시 서구 암남공원로 9 (암남동)","49275","송도비치관광호텔","20210923182251","U","2021-09-25 02:40:00.0","","383775.033920561","176944.175666118","관광숙박업","관광사업","","","","","","숙박시설","8","1","44","","","","","","","","","","","4586.55","","","","","","","","","","","","","4587","관광호텔업",
"21","관광숙박업","03_11_01_P","3260000","CDFI2260032006000001","20060519","","03","폐업","03","폐업","20100108","","","","243-8051","","602011","부산광역시 서구 충무동1가 23번지","","","뉴성남관광호텔","20100108133254","I","2018-08-31 23:59:59.0","","","","관광숙박업","관광사업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"22","관광숙박업","03_11_01_P","3260000","CDFI2260031982000001","19820309","","01","영업/정상","13","영업중","","","","","051-242-6635","","602831","부산광역시 서구 암남동 335-5번지","부산광역시 서구 충무대로 16 (암남동)","602831","뉴엔송도호텔","20190417171809","U","2019-04-19 02:40:00.0","","383829.290987761","177210.05114787","관광숙박업","관광사업","","","","","재난배상책임보험","숙박시설","9","","45","","U N TOURIST HOTEL","TOURIST ACCOMMODATION(TOURIST HOTEL)","","","","","","","","2720.17","","","","","","","","","","","","","2720","관광호텔업",
"23","관광숙박업","03_11_01_P","3260000","CDFI2260032005000001","20051027","","01","영업/정상","13","영업중","","","","","055-325-9713","","602803","부산광역시 서구 남부민동 523-44번지","부산광역시 서구 등대로 113 (남부민동)","49264","부산비치관광호텔","20180709172036","I","2018-08-31 23:59:59.0","","384719.60881858","178090.566769083","관광숙박업","관광사업","준공업지역","8","기타","","재난배상책임보험","숙박시설","8","1","35","","","","","","","","","","","2060.7","","","","","","","","","4500000000","","","","2061","관광호텔업",
"24","관광숙박업","03_11_01_P","3260000","CDFI2260032006000002","20061227","","01","영업/정상","13","영업중","","","","","","","602803","부산광역시 서구 남부민동 523-44번지","부산광역시 서구 등대로 113 (남부민동)","49264","부산비치관광호텔","20111117170739","I","2018-08-31 23:59:59.0","","384719.60881858","178090.566769083","관광숙박업","관광사업","준공업지역","9","","","","","8","1","","","","","","","","","","","","2145.21","","","","","","","","","","","","","2145","",
"25","관광숙박업","03_11_01_P","3260000","CDFI2260032020000001","20200506","","01","영업/정상","13","영업중","","","","","051-260-0000","","","부산광역시 서구 암남동 230번지","부산광역시 서구 송도해변로 113 (암남동)","49269","페어필드 바이 메리어트 부산 송도비치호텔","20200506174859","I","2020-05-08 00:23:40.0","","384100.054581498","177272.599070061","관광숙박업","","상업지역","19","","","","호텔","19","","","","","","","","","","","","","9760.47","","","","","","","","","","","","","9760","관광호텔업",
"26","관광숙박업","03_11_01_P","3270000","CDFI2260031977000001","19770425","","03","폐업","03","폐업","20161231","","","","","","","부산광역시 동구 초량동 1204-1번지","부산광역시 동구 중앙대로196번길 8 (초량동, 아리랑관광호텔)","48821","부산아리랑관광호텔","20170103144631","I","2018-08-31 23:59:59.0","","385939.583801356","181366.44369841","관광숙박업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"27","관광숙박업","03_11_01_P","3270000","CDFI2260031981000001","19811121","","03","폐업","03","폐업","20180410","","","","051-642-1330","","601807","부산광역시 동구 범일동 830-62번지","부산광역시 동구 범일로90번길 17 (범일동)","48744","(주)국제관광호텔","20180410142738","I","2018-08-31 23:59:59.0","","387823.717928121","184076.481374503","관광숙박업","","공업지역","","","","","호텔","12","1","","1207","","","","","","","","","","","","","","","","","","","","","","","","관광호텔업",
"28","관광숙박업","03_11_01_P","3270000","CDFI2260031987000001","19871023","","03","폐업","03","폐업","20050727","","","","642-9000","","601808","부산광역시 동구 범일동 830-124번지","부산광역시 동구 조방로34번길 6  (범일동)","","목화관광호텔","20050727133220","I","2018-08-31 23:59:59.0","","387882.768494055","184252.875243525","관광숙박업","관광사업","","","","","","","","","","","","","","","","","","","","503.15","","","","","","","","","","","","","503","",
"29","관광숙박업","03_11_01_P","3270000","CDFI2260031988000001","19880913","","03","폐업","03","폐업","20150626","","","","643-7788","","601807","부산광역시 동구 범일동 830-65번지","부산광역시 동구 조방로 10 (범일동)","48743","(주)코리아시티","20170321165631","I","2018-08-31 23:59:59.0","","388002.4483073","184046.278156801","관광숙박업","","일반상업지역","5","","","","숙박시설","5","1","40","7090","","","","","","","","","","","","","","","","","","","","","","","","",
"30","관광숙박업","03_11_01_P","3270000","CDFI2260032015000001","20150205","","01","영업/정상","13","영업중","","","","","051-463-6171","","601837","부산광역시 동구 초량동 1162-3","부산광역시 동구 중앙대로296번길 6 (초량동)","48730","호텔포레 더 스파","20220506153722","U","2022-05-08 02:40:00.0","","386310.121958564","182294.377965213","관광숙박업","","","0","","","","","9","1","0","0","","","0","0","","0","0","","0","2581.86","","0","","","","","","","0","","","","2582","관광호텔업",
"31","관광숙박업","03_11_01_P","3270000","CDFI2260032017000001","20170307","","01","영업/정상","13","영업중","","","","","","","","부산광역시 동구 초량동 1197-6","부산광역시 동구 중앙대로226번길 3-2 (초량동)","48733","소호스텔","20210223142303","U","2021-02-25 02:40:00.0","","386053.307016469","181681.352659719","관광숙박업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","350000000","20190628","20200628","","","호스텔업",
"32","관광숙박업","03_11_01_P","3270000","CDFI2260032017000002","20170428","","01","영업/정상","13","영업중","","","","","051-464-8883","","","부산광역시 동구 초량동 48-1","부산광역시 동구 고관로 7 (초량동)","48798","베스트 인 시티 호텔","20211223104353","U","2021-12-25 02:40:00.0","","386029.130797721","182042.634059699","관광숙박업","","","0","","","","","8","1","0","0","Best In City Hotel","Tourist accommodation business","0","0","","0","0","","0","3320.64","","0","","","","","","","0","","","","3321","관광호텔업",
"33","관광숙박업","03_11_01_P","3270000","CDFI2260032017000003","20170616","","01","영업/정상","13","영업중","","","","","","","","부산광역시 동구 초량동 597-8","부산광역시 동구 초량중로 18-1 (초량동)","48820","싱글싱글","20210312140137","U","2021-03-14 02:40:00.0","","385619.806901947","181297.828998453","관광숙박업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","660000000","","","","","호스텔업",
"34","관광숙박업","03_11_01_P","3270000","CDFI2260032018000001","20180620","","01","영업/정상","13","영업중","","","","","","","","부산광역시 동구 초량동 1201-1","부산광역시 동구 중앙대로214번길 7-8 (초량동)","48733","아스티호텔 주식회사","20210312140024","U","2021-03-14 02:40:00.0","","386084.250830287","181613.908816635","관광숙박업","","일반상업지역","24","","","","","24","5","","","","","","","","","","","","25876.24","","","","","","","","","5101565000","","","","25876","관광호텔업",
"35","관광숙박업","03_11_01_P","3270000","CDFI2260031986000001","19861117","","01","영업/정상","13","영업중","","","","","051-634-3001","","","부산광역시 동구 범일동 830-171","부산광역시 동구 조방로34번길 9 (범일동)","48739","(주)라메르관광호텔","20210224103816","U","2021-02-26 02:40:00.0","","387884.221590519","184331.261098016","관광숙박업","관광사업","","","","","","호텔","","","40","","","","","","","","","","","","","","","","","","","","","","","","","관광호텔업",
"36","관광숙박업","03_11_01_P","3270000","CDFI2260031988000002","19880506","","01","영업/정상","13","영업중","","","","","051-464-3141","","","부산광역시 동구 초량동 1200-17","부산광역시 동구 중앙대로214번길 7 (초량동)","48733","광장관광호텔","20211223104231","U","2021-12-25 02:40:00.0","","386026.75739607","181580.381775088","관광숙박업","","","0","","","","","10","2","0","0","","","0","0","","0","0","","0","3998.65","","0","","","","","","","0","","","","3999","관광호텔업",
"37","관광숙박업","03_11_01_P","3270000","CDFI2260032003000001","20030614","","01","영업/정상","13","영업중","","","","","051-465-4011","","","부산광역시 동구 수정동 1-62","부산광역시 동구 중앙대로 399, 지하1~지상8층 (수정동)","48775","프라임관광호텔","20210224175011","U","2021-02-26 02:40:00.0","","386797.847423894","183195.758362614","관광숙박업","관광사업","일반상업지역","8","기타","","","숙박시설","7","1","","","","","","","","","","","","4776.02","","","","","","","","","","","","","4776","관광호텔업",
"38","관광숙박업","03_11_01_P","3270000","CDFI2260032012000001","20121207","","01","영업/정상","13","영업중","","","","","","","","부산광역시 동구 초량동 408-3","부산광역시 동구 초량중로 60, 2,3층 (초량동)","48816","부산숙박닷컴 게스트하우스","20220401101609","U","2022-04-03 02:40:00.0","","385767.884090777","181681.990484049","관광숙박업","","일반상업지역","0","학교정화(상대)","","","숙박시설","0","0","0","0","","","0","0","","0","0","","0","342.65","","0","","","","","","","250000000","","","","343","호스텔업",
"39","관광숙박업","03_11_01_P","3270000","CDFI2260032022000001","20220331","","01","영업/정상","13","영업중","","","","","051-467-7700","","","부산광역시 동구 초량동 1163-2 시티호텔","부산광역시 동구 중앙대로 294, 시티호텔 (초량동)","48730","주식회사 시티호텔","20220331113520","I","2022-04-02 00:22:34.0","","386272.535469303","182316.303809435","관광숙박업","","일반상업지역","16","기타","","","호텔","15","1","0","0","","","0","0","","0","0","","0","3759.61","","0","","","","","","","0","","","","3760","관광호텔업",
"40","관광숙박업","03_11_01_P","3270000","CDFI2260032008000001","20081202","","01","영업/정상","13","영업중","","","","","051-466-1045","","","부산광역시 동구 초량동 1203-15 토요코인부산역Ⅰ","부산광역시 동구 중앙대로196번길 12, 토요코인부산역Ⅰ (초량동)","48821","토요코인 부산역1","20220419141311","U","2022-04-21 02:40:00.0","","385981.450299885","181351.970849722","관광숙박업","관광사업","상업지역","25","","","","호텔","22","3","0","0","","","0","0","","0","0","","0","9743.54","","0","","","","","","","0","","","","9744","관광호텔업",
"41","관광숙박업","03_11_01_P","3270000","CDFI2260032018000002","20180724","","01","영업/정상","13","영업중","","","","","051-463-1555","","","부산광역시 동구 초량동 1057-85","부산광역시 동구 초량중로 11, 2층 (초량동)","48819","워라밸 게스트하우스","20210224125431","U","2021-02-26 02:40:00.0","","385570.784118942","181237.984409197","관광숙박업","","일반상업지역","2","","","","","4","","","","","","","","","","","","","75.8","","","","","","","","","","","","","76","호스텔업",
"42","관광숙박업","03_11_01_P","3280000","CDFI2260031989000001","19890413","","03","폐업","03","폐업","","","","","051-414-0111","","606804","부산광역시 영도구 동삼동 983-17번지","부산광역시 영도구 태종로 820-23 (동삼동)","","태종대관광호텔","20191213135107","U","2019-12-15 02:40:00.0","","389707.853348553","175776.950578959","관광숙박업","관광사업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"43","관광숙박업","03_11_01_P","3280000","CDFI2260032017000001","20170222","","01","영업/정상","13","영업중","","","","","0514131114","","","부산광역시 영도구 대교동1가 68-1","부산광역시 영도구 태종로65번길 11-0 (대교동1가, 금호빌딩)","49037","베이하운드호텔","20210114135419","U","2021-01-16 02:40:00.0","","385814.603345502","179018.65381904","관광숙박업","","일반상업지역","11","기타","","현대해상화재보험","숙박시설","9","2","69","4445","","","","","","","","","","4444.98","","","","","","","","","9000000000","","","","4445","관광호텔업",
"44","관광숙박업","03_11_01_P","3280000","CDFI2260032021000001","20210913","","01","영업/정상","13","영업중","","","","","051-414-1300","","","부산광역시 영도구 청학동 321-12","부산광역시 영도구 해양로 38 (청학동)","49000","그랜드베른호텔","20211005202741","U","2021-10-07 02:40:00.0","","387727.631394031","179573.94338255","관광숙박업","","일반상업지역","10","","","","숙박시설","10","1","60","4448","","","0","0","","0","0","","0","4447.65","","0","","","","","","","0","","","","4448","관광호텔업",
"45","관광숙박업","03_11_01_P","3290000","CDFI2260031975000001","19750819","","03","폐업","03","폐업","20060927","","","","051-806-8001","","614847","부산광역시 부산진구 부전동 517-65번지","부산광역시 부산진구 중앙대로691번길 34  (부전동)","","(주)문화관광호텔","20060927180940","I","2018-08-31 23:59:59.0","","","","관광숙박업","관광사업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"46","관광숙박업","03_11_01_P","3290000","CDFI2260032014000002","20141023","","03","폐업","03","폐업","20180803","","","","051-801-9900","","614845","부산광역시 부산진구 부전동 233-16번지","부산광역시 부산진구 서면로 20 (부전동)","47289","솔라리아니시테츠호텔부산","20180803165559","I","2018-08-31 23:59:59.0","","387479.399412989","185623.856661782","관광숙박업","","일반상업지역","18","유흥업소밀집지역","","","숙박시설","16","2","203","8975","Solaria Nishitetsu Hotel Busan","Tourist Hotel","","","","","","","","8975","","","","","","","","","6000000000","","","","8975","관광호텔업",
"47","관광숙박업","03_11_01_P","3290000","CDFI2260032015000001","20150203","","03","폐업","03","폐업","20190121","","","","051-809-0008","","614847","부산광역시 부산진구 부전동 520-19번지","부산광역시 부산진구 중앙대로691번가길 10 (부전동)","47287","하운드 관광호텔","20190121141650","U","2019-01-23 02:40:00.0","","387278.084949834","185899.352625207","관광숙박업","","일반상업지역","10","학교정화(상대)","","재난배상책임보험","호텔","8","2","40","2821","","","","","","","","","","2821.43","","","","","","","","","","","","","2821","관광호텔업",
"48","관광숙박업","03_11_01_P","3290000","CDFI2260032002000001","20021210","","03","폐업","03","폐업","20061020","","","","051-702-7992","","614847","부산광역시 부산진구 부전동 520-19번지","부산광역시 부산진구 중앙대로691번가길 10  (부전동)","","(주)광혜 가야관광호텔","20061020155727","I","2018-08-31 23:59:59.0","","387278.084949834","185899.352625207","관광숙박업","관광사업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"49","관광숙박업","03_11_01_P","3290000","CDFI2260032004000001","20041229","","03","폐업","03","폐업","20060602","","","","051-803-0070","","614846","부산광역시 부산진구 부전동 226-5번지","부산광역시 부산진구 신천대로50번길 34  (부전동)","","모아관광호텔","20060602145220","I","2018-08-31 23:59:59.0","","387652.201879265","185627.128145923","관광숙박업","관광사업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"50","관광숙박업","03_11_01_P","3290000","CDFI2260032015000002","20150327","","03","폐업","03","폐업","20181123","","","","051-808-0125~6","","614847","부산광역시 부산진구 부전동 520-3번지","부산광역시 부산진구 중앙대로691번길 46 (부전동)","47287","더클럽 관광호텔","20181123164022","U","2018-11-25 02:36:37.0","","387314.66361266","185900.079101326","관광숙박업","","일반상업지역","6","","","","숙박시설","5","1","58","3758","","","","","","","","","","3758.39","","","","","","","","","4200000000","","","","3758","관광호텔업",
"51","관광숙박업","03_11_01_P","3290000","CDFI2260032015000003","20150423","","03","폐업","03","폐업","20170517","","","","051-806-2323","","614847","부산광역시 부산진구 부전동 514-1번지","부산광역시 부산진구 부전로 57 (부전동)","47284","관광호텔 42번가","20170518094520","I","2018-08-31 23:59:59.0","","387170.668810073","185899.88029391","관광숙박업","","일반상업지역","7","학교정화(상대)","","","숙박시설","6","1","37","9500","","","","","","","","","","9500.02","","","","","","","","","","","","","9500","관광호텔업",
"52","관광숙박업","03_11_01_P","3290000","CDFI2260032015000005","20150818","","03","폐업","03","폐업","20220228","","","","051-816-4479","","","부산광역시 부산진구 부전동 263-11","부산광역시 부산진구 중앙대로743번길 24 (부전동, 신신호텔)","47254","신신호텔","20220308160117","U","2022-03-10 02:40:00.0","","387542.639473003","186459.428326925","관광숙박업","","일반상업지역","7","학교정화(상대)","","","숙박시설","6","1","45","5005","","","","","","","","","","4434.5","","","","","","","","","","","","","4435","관광호텔업",
"53","관광숙박업","03_11_01_P","3290000","CDFI2260031998000001","19980319","","01","영업/정상","13","영업중","","","","","051-810-5600","","","부산광역시 부산진구 부전동 503-15","부산광역시 부산진구 가야대로 772 (부전동)","47285","(주)부산롯데호텔","20220405135530","U","2022-04-07 02:40:00.0","","387271.299492377","186099.137533193","관광숙박업","관광사업","","47","","","","","43","4","650","183804","BUSAN LOTTE HOTEL CO., LTD","TOURIST ACCOMMODATION(TOURIST HOTEL)","0","0","","0","0","","0","740.84","","0","","","","","","","0","","","","741","관광호텔업",
"54","관광숙박업","03_11_01_P","3290000","CDFI2260032010000001","20100322","","01","영업/정상","13","영업중","","","","","051-638-1045","","","부산광역시 부산진구 전포동 666-8","부산광역시 부산진구 서전로 39 (전포동, 토요코인부산지점)","47247","토요코인 부산서면","20220418171042","U","2022-04-20 02:40:00.0","","388001.943114494","186261.413450396","관광숙박업","","","21","","","","","17","4","303","8427","TOYOKO INN BUSAN SEOMYEON","TOURIST ACCOMMODATION(TOURIST HOTEL)","0","0","","0","0","","0","410.99","","0","","","","","","","0","","","","411","관광호텔업",
"55","관광숙박업","03_11_01_P","3290000","CDFI2260032011000001","20111013","","01","영업/정상","13","영업중","","","","","051-930-1100","","","부산광역시 부산진구 부전동 573-7","부산광역시 부산진구 중앙대로 777 (부전동, 서면호텔 복합시설)","47251","이비스 앰배서더 부산 씨티 센터","20220405135858","U","2022-04-07 02:40:00.0","","387795.767511117","186686.460990568","관광숙박업","","","19","","","","","15","4","207","19846","ibis Ambassador Busan City Centre","TOURIST ACCOMMDATION(TOURIST HOTEL)","0","0","","0","0","","0","19846","","0","","","","","","","0","","","","19846","관광호텔업",
"56","관광숙박업","03_11_01_P","3290000","CDFI2260032014000001","20140612","","01","영업/정상","13","영업중","","","","","051-806-8871","","614847","부산광역시 부산진구 부전동 515-54","부산광역시 부산진구 부전로 56 (부전동)","47287","퀸스호텔","20211224094550","U","2021-12-26 02:40:00.0","","387210.027276897","185917.916595316","관광숙박업","","상업지역","11","유흥업소밀집지역","","삼성화재해상보험주식회사","숙박시설","10","1","41","1915","","","0","0","","0","0","","0","1915","","0","","","","","","","463716160","","","","1915","호스텔업",
