"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","문화체육업종명","문화사업자구분명","지역구분명","총층수","주변환경명","제작취급품목내용","보험기관명","건물용도명","지상층수","지하층수","객실수","건축연면적","영문상호명","영문상호주소","선박총톤수","선박척수","선박제원","무대면적","좌석수","기념품종류","회의실별동시수용인원","시설면적","놀이기구수내역","놀이시설수","방송시설유무","발전시설유무","의무실유무","안내소유무","기획여행보험시작일자","기획여행보험종료일자","자본금","보험시작일자","보험종료일자","부대시설내역","시설규모",
"228","외국인관광도시민박업","03_11_04_P","3350000","CDFI2262212014000001","20140320","","01","영업/정상","13","영업중","","","","","516-9303","","609836","부산광역시 금정구 장전동 732번지 금정산쌍요예가아파트 106동 702호","부산광역시 금정구 금강로379번길 50, 106동 702호 (장전동, 금정산 쌍용예가아파트)","","금샘(Geumsaem)","20170104182706","I","2018-08-31 23:59:59.0","","389664.786093479","195729.022283849","외국인관광 도시민박업","","일반주거지역","","아파트지역","","","아파트","","","3","","","","","","","","","","","114.7","","","","","","","","","","","","","115",
"229","외국인관광도시민박업","03_11_04_P","3350000","CDFI2262212016000003","20161013","","01","영업/정상","13","영업중","","","","","","","","부산광역시 금정구 남산동 10-9번지","부산광역시 금정구 중앙대로 1946 (남산동)","46216","쏭하우스","20170213171811","I","2018-08-31 23:59:59.0","","390280.6828122","197427.835694453","외국인관광 도시민박업","","상업지역","5","","","","","4","1","1","","","","","","","","","","","200.92","","","","","","","","","","","","","201",
"230","외국인관광도시민박업","03_11_04_P","3360000","CDFI2262212022000001","20220124","","01","영업/정상","13","영업중","","","","","","","","부산광역시 강서구 대저2동 3839","부산광역시 강서구 금호순서길89번가길 48, 스카이필드 (대저2동)","46722","스카이필드","20220407174927","U","2022-04-09 02:40:00.0","","377822.319848581","186224.13241945","외국인관광 도시민박업","","","0","","","","단독주택","0","0","2","0","","","0","0","","0","0","","0","89.25","","0","","","","","","","0","","","","89",
"231","외국인관광도시민박업","03_11_04_P","3370000","CDFI2262212012000002","20121217","","03","폐업","03","폐업","20141125","","","","","","611071","부산광역시 연제구 거제동 1468-1번지","부산광역시 연제구 거제천로 233 (거제동)","","프랜드하우스","20141125164144","I","2018-08-31 23:59:59.0","","389575.2134051","190234.579393675","외국인관광 도시민박업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"232","외국인관광도시민박업","03_11_04_P","3370000","CDFI2262212014000001","20140415","","03","폐업","03","폐업","20141218","","","","","","611828","부산광역시 연제구 연산동 1255-18번지","부산광역시 연제구 월드컵대로165번길 13-1 (연산동)","","J. SUN. HOUSE","20141218112335","I","2018-08-31 23:59:59.0","","389224.660999725","189449.260722491","외국인관광 도시민박업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"233","외국인관광도시민박업","03_11_04_P","3370000","CDFI2262212015000001","20150506","","03","폐업","03","폐업","20160315","","","","756-5431","","611089","부산광역시 연제구 연산동 480-32번지","부산광역시 연제구 고분로236번길 6, 1101호 (연산동, 강산해오름)","","SUNRISE GUEST HOUSE","20160315134735","I","2018-08-31 23:59:59.0","","391920.28982764","189250.643111983","외국인관광 도시민박업","","","","","","","","","","","","SUNRISE GUEST HOUSE","Entertainment Business for Foreigner only","","","","","","","","197.98","","","","","","","","","","","","","198",
"234","외국인관광도시민박업","03_11_04_P","3370000","CDFI2262212015000002","20150603","","03","폐업","03","폐업","20180302","","","","","","611085","부산광역시 연제구 연산동 705-4번지","부산광역시 연제구 월드컵대로111번길 40, 3층 (연산동)","","탐탐 하우스","20180305172343","I","2018-08-31 23:59:59.0","","389495.949973449","189048.233360838","외국인관광 도시민박업","","","4","","","","","","","","","Tamtam House","Entertainment Business for Foreigner only","","","","","","","","82.21","","","","","","","","","","","","","82",
"235","외국인관광도시민박업","03_11_04_P","3370000","CDFI2262212016000001","20160727","","03","폐업","03","폐업","20210705","","","","","","","부산광역시 연제구 연산동 419-15","부산광역시 연제구 연안로 9, 3,4층 (연산동)","47567","BEXCO B&B","20210708085652","U","2021-07-10 02:40:00.0","","391836.074903277","189745.2448631","외국인관광 도시민박업","","","2","","","","단독주택","4","","3","437","BEXCO B&B","Guesthouse","","","","","","","","104.74","","","","","","","","","","","","","105",
"236","외국인관광도시민박업","03_11_04_P","3370000","CDFI2262212017000001","20170516","","03","폐업","03","폐업","20190513","","","","","","","부산광역시 연제구 연산동 717-55번지 302호","부산광역시 연제구 월드컵대로91번길 23, 302호 (연산동, 해광빌라)","47598","게스트하우스 安","20190515085938","U","2019-05-17 02:40:00.0","","389596.308407418","188952.078152612","외국인관광 도시민박업","","일반주거지역","5","주택가주변","","","다세대주택","5","0","3","","","","","","","","","","","71.91","","","","","","","","","","","","","72",
"237","외국인관광도시민박업","03_11_04_P","3370000","CDFI2262212018000001","20180509","","03","폐업","03","폐업","20191231","","","","","","","부산광역시 연제구 연산동 307-4번지 모란주택 나동 2호","부산광역시 연제구 신금로17번길 31, 나동 2호 (연산동, 모란)","47561","호산나하우스","20200123141945","U","2020-01-25 02:40:00.0","","390531.924386399","189967.042991858","외국인관광 도시민박업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"238","외국인관광도시민박업","03_11_04_P","3370000","CDFI2262212014000002","20140711","","01","영업/정상","13","영업중","","","","","","","611820","부산광역시 연제구 연산동 587-4","부산광역시 연제구 중앙대로1124번길 15, 101동 1607호 (연산동)","","JA GUEST HOUSE","20210107090309","U","2021-01-09 02:40:00.0","","389562.757250932","189694.762076967","외국인관광 도시민박업","","일반주거지역","","","","","","","","2","","","","","","","","","","","119.8","","","","","","","","","","","","","120",
"239","외국인관광도시민박업","03_11_04_P","3370000","CDFI2262212017000002","20170717","","01","영업/정상","13","영업중","","","","","","","","부산광역시 연제구 연산동 622-26","부산광역시 연제구 쌍미천로151번길 10-1 (연산동)","47550","J. HOUSE","20210408115722","U","2021-04-10 02:40:00.0","","389997.517754031","189450.004076289","외국인관광 도시민박업","","주거지역","2","주택가주변","","","단독주택","2","","3","","J.HOUSE","Foreign tourist accommodation","","","","","","","","49.43","","","","","","","","","","","","","49",
"240","외국인관광도시민박업","03_11_04_P","3370000","CDFI2262212017000003","20171018","","01","영업/정상","13","영업중","","","","","051 525 6849","","","부산광역시 연제구 연산동 471-13번지","부산광역시 연제구 고분로235번길 42 (연산동)","47569","Princess  게스트하우스","20200413091045","U","2020-04-15 02:40:00.0","","391944.079629634","189503.943103034","외국인관광 도시민박업","","","","","","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","",
"241","외국인관광도시민박업","03_11_04_P","3380000","CDFI2262212019000002","20190404","","02","휴업","02","휴업","","20220401","20221231","","","","","부산광역시 수영구 민락동 222-4 3층","부산광역시 수영구 민락로14번길 6, 3층 (민락동)","48286","수박게스트하우스","20220404171719","U","2022-04-07 02:40:00.0","","393354.452774706","186244.310904054","외국인관광 도시민박업","","주거지역","3","","","","","","","1","227","Subak Guesthouse","Entertainment Business for foreigner only","","","","","","","","75.6","","","","","","","","","","","","","76",
"242","외국인관광도시민박업","03_11_04_P","3380000","CDFI2262212012000001","20120723","","02","휴업","02","휴업","","20220118","20220630","","","","613800","부산광역시 수영구 광안동 79-10","부산광역시 수영구 무학로49번길 107 (광안동)","","Busan Self House(부산셀프하우스)","20220118152810","U","2022-01-20 02:40:00.0","","392861.057924156","187229.558839492","외국인관광 도시민박업","","","0","","","","","0","0","2","0","","","0","0","","0","0","","0","88.83","","0","","","","","","","0","","","","89",
"243","외국인관광도시민박업","03_11_04_P","3380000","CDFI2262212019000003","20190423","","03","폐업","03","폐업","20210414","","","","","","","부산광역시 수영구 광안동 189-11","부산광역시 수영구 남천바다로21번길 13-1, 1층 (광안동)","48302","광안사계","20210414132128","U","2021-04-16 02:40:00.0","","392494.744403632","185452.446948994","외국인관광 도시민박업","","일반주거지역","","","","","단독주택","","","2","","","","","","","","","","","91.24","","","","","","","","","","","","","91",
"244","외국인관광도시민박업","03_11_04_P","3380000","CDFI2262212014000005","20141015","","03","폐업","03","폐업","20190716","","","","","","613814","부산광역시 수영구 남천동 9-14번지","부산광역시 수영구 광남로22번길 15-10 (남천동)","","광안대교 게스트하우스","20190716170711","U","2019-07-18 02:40:00.0","","392363.901468832","184899.528127028","외국인관광 도시민박업","","일반상업지역","2","주택가주변","","","단독주택","2","","","","","","","","","","","","","79.38","","","","","","","","","","","","","79",
"245","외국인관광도시민박업","03_11_04_P","3380000","CDFI2262212014000006","20141030","","03","폐업","03","폐업","20200117","","","","","","613802","부산광역시 수영구 광안동 112-35번지","부산광역시 수영구 무학로33번길 17 (광안동)","","곰도리 게스트하우스","20200120095045","U","2020-01-22 02:40:00.0","","392853.65888945","186837.074830169","외국인관광 도시민박업","","일반주거지역","1","주택가주변","","","단독주택","1","","","","","","","","","","","","","59.5","","","","","","","","","","","","","60",
"246","외국인관광도시민박업","03_11_04_P","3380000","CDFI2262212014000007","20141106","","03","폐업","03","폐업","20171027","","","","","","613828","부산광역시 수영구 민락동 171-20번지","부산광역시 수영구 광안해변로255번길 36 (민락동)","","광안리게스트하우스 제이네하우스","20171027175010","I","2018-08-31 23:59:59.0","","393223.357516456","186223.713373799","외국인관광 도시민박업","","일반주거지역","2","주택가주변","","객실수 3실","단독주택","2","","3","","","","","","","","","","","127.14","","","","","","","","","","","","","127",
"247","외국인관광도시민박업","03_11_04_P","3380000","CDFI2262212015000002","20150205","","03","폐업","03","폐업","20190927","","","","051-917-9775","","613828","부산광역시 수영구 민락동 172-16번지","부산광역시 수영구 민락로 20-1 (민락동)","","게스트하우스 메이트","20190927175312","U","2019-09-29 02:40:00.0","","393306.985219318","186289.785255031","외국인관광 도시민박업","","일반주거지역","2","주택가주변","","일반과세자(숙박업, 민박)객실3(20명)","단독주택","2","","","","MATE","","","","","","","","","148.33","","","","","","","","","","","","","148",
"248","외국인관광도시민박업","03_11_04_P","3380000","CDFI2262212016000004","20160205","","03","폐업","03","폐업","20170415","","","","752-7580","","","부산광역시 수영구 망미동 880-84번지","부산광역시 수영구 망미배산로70번길 45, 103동 1205호 (망미동, 망미한신)","","뮤즈(MUSE)","20170715203014","I","2018-08-31 23:59:59.0","","391188.855289274","188473.297623735","외국인관광 도시민박업","","일반주거지역","12","","","","아파트","12","","2","","","","","","","","","","","199.05","","","","","","","","","","","","","199",
"249","외국인관광도시민박업","03_11_04_P","3380000","CDFI2262212014000003","20141008","","03","폐업","03","폐업","20181227","","","","","","613828","부산광역시 수영구 민락동 184-36번지","부산광역시 수영구 광남로 158 (민락동)","","더휴웬디하우스(THE HYU WENDY HOUSE)","20181228113221","U","2018-12-30 02:40:00.0","","392979.898201003","186054.225155144","외국인관광 도시민박업","","일반주거지역","2","기타","","","단독주택","2","","","","","","","","","","","","","69.27","","","","","","","","","60000000","","","","69",
"250","외국인관광도시민박업","03_11_04_P","3380000","CDFI2262212016000001","20160816","","03","폐업","03","폐업","20170217","","","","","","","부산광역시 수영구 광안동 203-1번지","부산광역시 수영구 광남로84번길 4, 707호 (광안동, 광안마티나)","","YM하우스","20170715202949","I","2018-08-31 23:59:59.0","","392588.202361129","185403.848327363","외국인관광 도시민박업","","일반상업지역","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","",
"251","외국인관광도시민박업","03_11_04_P","3380000","CDFI2262212016000005","20160810","","03","폐업","03","폐업","20180220","","","","","","","부산광역시 수영구 민락동 765번지","부산광역시 수영구 수영로 776, 103동 302호 (민락동, 부산 더샵 센텀포레)","","오마이하우스","20180220141117","I","2018-08-31 23:59:59.0","","393431.740340257","187187.660699441","외국인관광 도시민박업","","일반주거지역","","","","","","","","","","","","","","","","","","","","","","","","","","","","3000000","","","","",
"252","외국인관광도시민박업","03_11_04_P","3380000","CDFI2262212016000006","20160927","","03","폐업","03","폐업","20191226","","","","","","","부산광역시 수영구 남천동 3-39번지","부산광역시 수영구 남천바다로 38-7, 2층 (남천동)","","델라디","20191227131257","U","2019-12-29 02:40:00.0","","392593.427276915","185259.744144166","외국인관광 도시민박업","","일반주거지역","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"253","외국인관광도시민박업","03_11_04_P","3380000","CDFI2262212016000007","20160801","","03","폐업","03","폐업","20180316","","","","","","","부산광역시 수영구 민락동 129-1번지","부산광역시 수영구 무학로63번길 145 (민락동)","","부산베스타","20180316180654","I","2018-08-31 23:59:59.0","","392935.92805486","187425.351571055","외국인관광 도시민박업","","준주거지역","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"254","외국인관광도시민박업","03_11_04_P","3380000","CDFI2262212016000008","20160930","","03","폐업","03","폐업","20170331","","","","","","","부산광역시 수영구 광안동 158-4번지","부산광역시 수영구 광남로 167 (광안동, W-PARKⅡ)","","House of Artist and Soldier","20170504090254","I","2018-08-31 23:59:59.0","","392988.944172133","186173.653413478","외국인관광 도시민박업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"255","외국인관광도시민박업","03_11_04_P","3380000","CDFI2262212017000001","20170123","","03","폐업","03","폐업","20190627","","","","051-624-1010","","","부산광역시 수영구 민락동 168-16번지","부산광역시 수영구 민락로27번길 30 (민락동)","","머무르다","20190627132412","U","2019-06-29 02:40:00.0","","393171.528461544","186212.83605095","외국인관광 도시민박업","","주거지역","4","학교정화(상대)","","","단독주택","2","","","","","","","","","","","","","98.18","","","","","","","","","","","","","98",
"256","외국인관광도시민박업","03_11_04_P","3380000","CDFI2262212017000002","20170601","","03","폐업","03","폐업","20190708","","","","","","","부산광역시 수영구 광안동 188-10번지","부산광역시 수영구 남천바다로9번길 6, 4층 (광안동, 윈윈하우스)","48301","부산 레떼 게스트하우스","20190708174856","U","2019-07-10 02:40:00.0","","392399.272392428","185482.914710277","외국인관광 도시민박업","","주거지역","4","","","","","","","","","","","","","","","","","","136.78","","","","","","","","","","","","","137",
"257","외국인관광도시민박업","03_11_04_P","3380000","CDFI2262212017000005","20170831","","03","폐업","03","폐업","20200828","","","","","","","부산광역시 수영구 광안동 185-6 승우","부산광역시 수영구 수영로510번길 38, 나동 309호 (광안동, 승우)","48302","홈 스위트 홈","20200828184613","U","2020-08-30 02:40:00.0","","392519.834677174","185540.225272178","외국인관광 도시민박업","","일반주거지역","","","","","연립주택","","","1","","","","","","","","","","","48.4","","","","","","","","","150000000","","","","48",
"258","외국인관광도시민박업","03_11_04_P","3380000","CDFI2262212018000002","20180404","","03","폐업","03","폐업","20201108","","","","","","","부산광역시 수영구 광안동 130-43","부산광역시 수영구 수영로606번길 113, 1층 (광안동)","48292","SUITE","20201117144748","U","2020-11-19 02:40:00.0","","393072.152788108","186476.131746765","외국인관광 도시민박업","","","2","","","","","","","1","","","","","","","","","","","77.49","","","","","","","","","45000000","","","","77",
"259","외국인관광도시민박업","03_11_04_P","3380000","CDFI2262212018000003","20180404","","03","폐업","03","폐업","20201108","","","","","","","부산광역시 수영구 광안동 130-43","부산광역시 수영구 수영로606번길 113, 2층 (광안동)","48292","PENTHOUSE","20201117144814","U","2020-11-19 02:40:00.0","","393072.152788108","186476.131746765","외국인관광 도시민박업","","","2","","","","","","","1","","","","","","","","","","","48.23","","","","","","","","","","","","","48",
"260","외국인관광도시민박업","03_11_04_P","3380000","CDFI2262212018000004","20180608","","03","폐업","03","폐업","20200923","","","","","","","부산광역시 수영구 광안동 186-9 부성베스트빌라2차","부산광역시 수영구 광남로83번길 32-9, 102호 (광안동, 부성베스트빌라2차)","48301","M8 HOUSE","20200924132217","U","2020-09-26 02:40:00.0","","392430.556434045","185551.410581848","외국인관광 도시민박업","","","1","","","","","","","1","","","","","","","","","","","55.66","","","","","","","","","4000000","","","","56",
"261","외국인관광도시민박업","03_11_04_P","3380000","CDFI2262212021000002","20211117","","03","폐업","03","폐업","20220419","","","","","","","부산광역시 수영구 남천동 39-12","부산광역시 수영구 수영로475번길 50-5 (남천동)","48265","클라인","20220419173249","U","2022-04-21 02:40:00.0","","392010.112693331","185368.281250907","외국인관광 도시민박업","","일반주거지역","0","","","","단독주택","0","0","2","0","","","0","0","","0","0","","0","99.87","","0","","","","","","","10000000","","","","100",
"262","외국인관광도시민박업","03_11_04_P","3380000","CDFI2262212018000006","20181001","","03","폐업","03","폐업","20200709","","","","","","","부산광역시 수영구 민락동 683-14","부산광역시 수영구 민락로12번길 5, 2층 (민락동)","48286","힐링하우스","20200709142151","U","2020-07-11 02:40:00.0","","393353.599046115","186227.215939149","외국인관광 도시민박업","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","",
"263","외국인관광도시민박업","03_11_04_P","3380000","CDFI2262212019000001","20190325","","01","영업/정상","13","영업중","","","","","","","","부산광역시 수영구 광안동 774-3 3층","부산광역시 수영구 호암로 5, 3층 (광안동)","48261","유리스테이","20210616114447","U","2021-06-18 02:40:00.0","","392403.745642765","186167.779146795","외국인관광 도시민박업","","일반상업지역","","","","","","","","3","","","","","","","","","","","114.38","","","","","","","","","","","","","114",
"264","외국인관광도시민박업","03_11_04_P","3380000","CDFI2262212019000004","20190524","","01","영업/정상","13","영업중","","","","","","","","부산광역시 수영구 광안동 186-15번지 건왕파크2","부산광역시 수영구 광남로83번길 34, 건왕파크2 401호 (광안동)","48301","CASA DE NIEVES(니에베스의 집)","20190524110057","I","2019-05-26 02:20:55.0","","392423.138699282","185516.961007813","외국인관광 도시민박업","","일반주거지역","","","","","","4","","1","","","","","","","","","","","62.25","","","","","","","","","10000000","","","","62",
"265","외국인관광도시민박업","03_11_04_P","3380000","CDFI2262212019000005","20190712","","01","영업/정상","13","영업중","","","","","","","","부산광역시 수영구 광안동 156-21번지","부산광역시 수영구 광안로49번길 63-16 (광안동)","48295","부산 레떼 게스트하우스","20190712163719","I","2019-07-14 02:21:36.0","","392972.279056769","186353.367842056","외국인관광 도시민박업","","일반주거지역","2","","","","단독주택","","","6","","","","","","","","","","","205.29","","","","","","","","","40000000","","","","205",
"266","외국인관광도시민박업","03_11_04_P","3380000","CDFI2262212022000001","20220307","","01","영업/정상","13","영업중","","","","","","","","부산광역시 수영구 민락동 715-20","부산광역시 수영구 광안로61번나길 9-1, 2~3층 (민락동)","48284","성미네 게스트하우스","20220307112056","I","2022-03-10 13:22:36.0","","","","외국인관광 도시민박업","","일반주거지역","3","","","","단독주택","0","0","2","110","","","0","0","","0","0","","0","73.12","","0","","","","","","","20000000","","","","73",
"267","외국인관광도시민박업","03_11_04_P","3380000","CDFI2262212014000001","20140603","","01","영업/정상","13","영업중","","","","","","","","부산광역시 수영구 광안동 148-42번지","부산광역시 수영구 광안로21번길 24 (광안동)","48297","화이트아일랜드(White Island)","20200511105320","U","2020-05-13 02:40:00.0","","392680.089429332","186308.020659839","외국인관광 도시민박업","","일반주거지역","2","주택가주변","","","단독주택","2","","3","132","","","","","","","","","","46.71","","","","","","","","","240000000","","","","47",
"268","외국인관광도시민박업","03_11_04_P","3380000","CDFI2262212017000003","20170620","","01","영업/정상","13","영업중","","","","","","","","부산광역시 수영구 민락동 31-25","부산광역시 수영구 광남로 240-1, 101호 (민락동, 태광)","48288","앤플랫","20210223142930","U","2021-02-25 02:40:00.0","","393571.349112906","186484.33257901","외국인관광 도시민박업","","","","","","","","","","2","","","","","","","","","","","62.74","","","","","","","","","","","","","63",
"269","외국인관광도시민박업","03_11_04_P","3380000","CDFI2262212014000004","20141008","","01","영업/정상","13","영업중","","","","","","","613804","부산광역시 수영구 광안동 157-17","부산광역시 수영구 광안로49번길 52-3 (광안동)","","집(HOME)","20210105134438","U","2021-01-07 02:40:00.0","","393041.343063338","186272.786281984","외국인관광 도시민박업","","준주거지역","2","학교정화(절대)","","","단독주택","2","","3","","","","","","","","","","","125.45","","","","","","","","","","","","","125",
"270","외국인관광도시민박업","03_11_04_P","3380000","CDFI2262212015000001","20150615","","01","영업/정상","13","영업중","","","","","","","","부산광역시 수영구 광안동 134-27번지","부산광역시 수영구 수영로594번길 111 (광안동)","48295","버들","20200511105406","U","2020-05-13 02:40:00.0","","393048.007175687","186376.345048805","외국인관광 도시민박업","","일반주거지역","2","학교정화(상대)","","","단독주택","2","","3","","","","","","","","","","","186.35","","","","","","","","","10000000","","","","186",
"271","외국인관광도시민박업","03_11_04_P","3380000","CDFI2262212017000004","20170719","","01","영업/정상","13","영업중","","","","","","","","부산광역시 수영구 광안동 166-18번지","부산광역시 수영구 수영로546번길 21, 4층 (광안동)","48300","302 place","20170719173848","I","2018-08-31 23:59:59.0","","392589.420313428","185947.631538907","외국인관광 도시민박업","","일반주거지역","6","주택가주변","","","단독주택","6","0","1","352","","","","","","","","","","150.42","","","","","","","","","","","","","150",
"272","외국인관광도시민박업","03_11_04_P","3380000","CDFI2262212016000003","20160530","","01","영업/정상","13","영업중","","","","","","","","부산광역시 수영구 민락동 33-9번지","부산광역시 수영구 민락본동로19번길 66, 4층 (민락동)","48290","광안하우스(GWANGAN HOUSE)","20200511105602","U","2020-05-13 02:40:00.0","","393593.844109987","186347.78241829","외국인관광 도시민박업","","일반주거지역","4","","","","단독주택","","","2","","","","","","","","","","","118.43","","","","","","","","","50000000","","","","118",
"273","외국인관광도시민박업","03_11_04_P","3380000","CDFI2262212016000002","20160614","","01","영업/정상","13","영업중","","","","","","","","부산광역시 수영구 광안동 144-9번지 FOF HOUSE1","부산광역시 수영구 광안로21번길 9, FOF HOUSE1 (광안동)","48297","로스트펭귄","20200511105449","U","2020-05-13 02:40:00.0","","392653.078247234","186244.891729415","외국인관광 도시민박업","","일반주거지역","4","","","","","","","1","","","","","","","","","","","46.04","","","","","","","","","50000000","","","","46",
"274","외국인관광도시민박업","03_11_04_P","3380000","CDFI2262212016000009","20161020","","01","영업/정상","13","영업중","","","","","","","","부산광역시 수영구 광안동 159-2 태영빌딩","부산광역시 수영구 광남로 151, 태영빌딩 4층 (광안동)","48299","The Park Guest House","20200715170403","U","2020-07-17 02:40:00.0","","392903.451231147","186022.620567489","외국인관광 도시민박업","","주거지역","","","","","","","","3","","","","","","","","","","","110.25","","","","","","","","","","","","","110",
"275","외국인관광도시민박업","03_11_04_P","3380000","CDFI2262212018000001","20180319","","01","영업/정상","13","영업중","","","","","070-8801-3650","","","부산광역시 수영구 남천동 5-4번지","부산광역시 수영구 남천동로108번길 46, 2층 (남천동)","48304","초하루 게스트하우스","20191216104821","U","2019-12-18 02:40:00.0","","392549.955078033","185096.233838025","외국인관광 도시민박업","","일반주거지역","","","","","단독주택","","","4","","","","","","","","","","","183.63","","","","","","","","","","","","","184",
"276","외국인관광도시민박업","03_11_04_P","3380000","CDFI2262212018000005","20180831","","01","영업/정상","13","영업중","","","","","051-754-1118","","","부산광역시 수영구 광안동 693-33번지","부산광역시 수영구 광서로 5-12 (광안동)","48247","게스트하우스 은가비","20180831103325","I","2018-08-31 23:59:59.0","","392511.948505746","186978.35354874","외국인관광 도시민박업","","","2","","","","","","","2","","","","","","","","","","","117.45","","","","","","","","","","","","","117",
"277","외국인관광도시민박업","03_11_04_P","3380000","CDFI2262212021000001","20210629","","01","영업/정상","13","영업중","","","","","","","","부산광역시 수영구 광안동 540-10","부산광역시 수영구 광일로29번가길 87-5 (광안동)","48251","문을열고 들어오면","20210923161113","U","2021-09-25 02:40:00.0","","391816.896001517","186649.197721672","외국인관광 도시민박업","","일반주거지역","0","","","","단독주택","1","0","1","0","","","0","0","","0","0","","0","67.05","","0","","","","","","","0","","","","67",
"278","외국인관광도시민박업","03_11_04_P","3380000","CDFI2262212020000001","20201111","","01","영업/정상","13","영업중","","","","","","","","부산광역시 수영구 민락동 715-1","부산광역시 수영구 광안로61번나길 8, 2~3층 (민락동)","48284","WETEVER(웻에버)","20210119172452","U","2021-01-21 02:40:00.0","","393123.384056861","186084.648858706","외국인관광 도시민박업","","일반주거지역","3","","","","","3","","1","","","","","","","","","","","67.56","","","","","","","","","1000000","","","","68",
"279","외국인관광도시민박업","03_11_04_P","3380000","CDFI2262212018000007","20181114","","01","영업/정상","13","영업중","","","","","","","","부산광역시 수영구 광안동 144-53번지","부산광역시 수영구 광안로 17-1, 2층 (광안동)","48297","명작하우스","20181114094457","I","2018-11-16 02:36:16.0","","392633.717871127","186217.871693023","외국인관광 도시민박업","","주거지역","2","","","","단독주택","","","2","","","","","","","","","","","60.4","","","","","","","","","","","","","60",
"280","외국인관광도시민박업","03_11_04_P","3390000","CDFI2262212019000001","20190802","","03","폐업","03","폐업","20201223","","","","","","","부산광역시 사상구 모라동 1380 사상구남역동원로얄듀크","부산광역시 사상구 백양대로934번길 94, 106동 105호 (모라동, 사상구남역동원로얄듀크)","46927","양화림","20210326174627","U","2021-03-28 02:40:00.0","","","","외국인관광 도시민박업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"281","외국인관광도시민박업","03_11_04_P","3390000","CDFI2262212015000003","20151106","","03","폐업","03","폐업","20200626","","","","051-333-9009","","","부산광역시 사상구 모라동 1357 우성아파트 102동 1403호","부산광역시 사상구 백양대로 906, 102동 1403호 (모라동, 우성아파트)","","스위트홈","20200626100635","U","2020-06-28 02:40:00.0","","381345.772891816","189447.844867645","외국인관광 도시민박업","","","","","","","","","","","","Sweet Home","Guesthouse for foreign tourists","","","","","","","","123.1","","","","","","","","","","","","","123",
"282","외국인관광도시민박업","03_11_04_P","3390000","CDFI2262212015000001","20150527","","01","영업/정상","13","영업중","","","","","","","617030","부산광역시 사상구 엄궁동 37-8번지 강남아파트 401호","부산광역시 사상구 엄궁로 180, 401호 (엄궁동, 강남아파트)","","智和美(지앤미)","20150527091807","I","2018-08-31 23:59:59.0","","379985.435905031","182940.003834243","외국인관광 도시민박업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"283","외국인관광도시민박업","03_11_04_P","3390000","CDFI2262212015000002","20150903","","01","영업/정상","13","영업중","","","","","","","","부산광역시 사상구 주례동 1010-3번지 벽산신화아파트 3동 1007호","부산광역시 사상구 백양대로 515, 3동 1007호 (주례동, 벽산신화아파트)","","하우스현(HOUSEHYUN)","20150904134508","I","2018-08-31 23:59:59.0","","381758.821436315","185747.870965325","외국인관광 도시민박업","","","","","","","","","","","","HOUSEHYUN","GuestHouse","","","","","","","","","","","","","","","","","","","","","",
"284","외국인관광도시민박업","03_11_04_P","3390000","CDFI2262212020000001","20200131","","01","영업/정상","13","영업중","","","","","","","","부산광역시 사상구 감전동 107-2번지","부산광역시 사상구 사상로 139-1, 3층 (감전동)","46982","쏘야네","20200131203340","I","2020-02-02 00:23:23.0","","381069.099288615","186163.320958096","외국인관광 도시민박업","","","","","","","단독주택","3","","","","","","","","","","","","","83.36","","","","","","","","","","","","","83",
