"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","약국영업면적","지정일자",
"37","약국","01_01_06_P","3250000","PHMD120063250021084000006","20060810","","03","폐업","03","폐업","20090601","","","","051-241-0095","","","부산광역시 중구 대청동 1가 39-2","","","참편한약국","20110502140502","I","2018-08-31 23:59:59.0","","","","0","20060810",
"38","약국","01_01_06_P","3250000","PHMD120073250021084000002","20070208","","03","폐업","03","폐업","20110211","","","","051-256-0103","","","부산광역시 중구 남포동 5가 67","","","메디팜백세약국","20110417104038","I","2018-08-31 23:59:59.0","","","","0","20070208",
"39","약국","01_01_06_P","3250000","PHMD120073250021084000003","20070531","","03","폐업","03","폐업","20090611","","","","051-245-5773","","","부산광역시 중구 부평동 2가 80-3","","","동인당약국","20090615180444","I","2018-08-31 23:59:59.0","","","","0","20070531",
"40","약국","01_01_06_P","3250000","PHMD120083250021084000001","20080102","","03","폐업","03","폐업","20140203","","","","051-462-6057","","","부산광역시 중구 대청동 3가 7-20","부산광역시 중구 대청로 81 (대청동3가)","600093","양약국","20140203104944","I","2018-08-31 23:59:59.0","","384914.029318485","180108.282041036","0","20080102",
"41","약국","01_01_06_P","3250000","PHMD120083250021084000002","20080102","","03","폐업","03","폐업","20120625","","","","051-442-0575","","","부산광역시 중구 대청동 3가 9-3","","","새메디칼약국","20120625134335","I","2018-08-31 23:59:59.0","","","","0","20080102",
"42","약국","01_01_06_P","3250000","PHMD120083250021084000003","20080201","","03","폐업","03","폐업","20170412","","","","051-241-0075","","","부산광역시 중구 보수동 1가 91-1","부산광역시 중구 흑교로52번길 6-1 (보수동1가)","48962","우리들약국","20170412090621","I","2018-08-31 23:59:59.0","","384602.31343031","180221.362367371","0","20080201",
"43","약국","01_01_06_P","3250000","PHMD120083250021084000004","20080221","","03","폐업","03","폐업","20121029","","","","051-469-1060","","","부산광역시 중구 중앙동 4가 76-14","부산광역시 중구 중앙대로 154 (중앙동4가)","600816","평화약국","20121030130818","I","2018-08-31 23:59:59.0","","385749.036512052","181000.618673514","23.1","20080221",
"44","약국","01_01_06_P","3250000","PHMD120083250021084000005","20080805","","03","폐업","03","폐업","20111128","","","","051-466-8009","","","부산광역시 중구 동광동 5가 16-36","","","성모온누리약국","20111128133718","I","2018-08-31 23:59:59.0","","","","81.64","20080805",
"45","약국","01_01_06_P","3250000","PHMD120093250021084000001","20090602","","03","폐업","03","폐업","20100816","","","","245-0616","","621070","경상남도 김해시 삼계동 1439번지 5호 66통 9반 화정마을아이파크가야 408동 501호","","","용두산약국","20100819112011","I","2018-08-31 23:59:59.0","","370115.612124915","197729.973659185","52.8","20090602",
"46","약국","01_01_06_P","3250000","PHMD120093250021084000002","20090611","","03","폐업","03","폐업","20120717","","","","245-5773","","600806","부산광역시 중구 부평동2가 80번지 7호","부산광역시 중구 대청로 52 (부평동2가)","600806","동인당약국","20120718102436","I","2018-08-31 23:59:59.0","","384613.813034885","180082.490276656","28.1","20090611",
"47","약국","01_01_06_P","3250000","PHMD120093250021084000004","20090706","","03","폐업","03","폐업","20100824","","","","051-243-0304","","604756","부산광역시 사하구 다대동 120번지 1호 5통 1반 현대아파트 110동 501호","부산광역시 사하구 다대로 473, 110동 501호 (다대동,현대아파트)","","신천지약국","20110417104339","I","2018-08-31 23:59:59.0","","380398.062015138","175314.286676535","18.2","20090706",
"48","약국","01_01_06_P","3250000","PHMD120093250021084000006","20090818","","03","폐업","03","폐업","20130816","","","","051-468-7004","","600025","부산광역시 중구 동광동5가 15번지 83호","부산광역시 중구 동영로 7 (동광동5가)","600025","제일약국","20130816103059","I","2018-08-31 23:59:59.0","","385308.471742556","180654.757923549","27.5","20090818",
"49","약국","01_01_06_P","3250000","PHMD120103250021084000001","20100225","","03","폐업","03","폐업","20100806","","","","051-442-6667","","600110","부산광역시 중구 영주동 568번지 4호 , 577","부산광역시 중구 대영로224번길 3 (영주동,, 577)","","우리약국","20100806120842","I","2018-08-31 23:59:59.0","","385477.242056661","181072.865123329","100.09","20100225",
"50","약국","01_01_06_P","3250000","PHMD120103250021084000002","20100317","","03","폐업","03","폐업","20100408","","","","051-248-1293","","600072","부산광역시 중구 부평동2가 68번지 4호","부산광역시 중구 흑교로 18 (부평동2가)","","미래약국","20100408103912","I","2018-08-31 23:59:59.0","","384598.903964711","179879.997494786","49.5","20100317",
"51","약국","01_01_06_P","3250000","PHMD120103250021084000003","20100506","","03","폐업","03","폐업","20130417","","","","051-231-5898","","600072","부산광역시 중구 부평동2가 68번지 4호","부산광역시 중구 흑교로 18 (부평동2가)","600806","밝은미래약국","20130417104428","I","2018-08-31 23:59:59.0","","384598.903964711","179879.997494786","49.5","20100506",
"52","약국","01_01_06_P","3250000","PHMD120103250021084000004","20100816","","03","폐업","03","폐업","20110908","","","","245-0616","","600806","부산광역시 중구 부평동2가 69번지 4호","부산광역시 중구 중구로39번길 46 (부평동2가)","","용두산약국","20110909114202","I","2018-08-31 23:59:59.0","","384602.070212788","179921.031045508","52.8","20100816",
"53","약국","01_01_06_P","3250000","PHMD120123250021084000008","20121004","","03","폐업","03","폐업","20130107","","","","051)246-2768","","600806","부산광역시 중구 부평동2가 80번지 3호","부산광역시 중구 흑교로 38 (부평동2가)","600806","국제약국","20130107150618","I","2018-08-31 23:59:59.0","","384608.762917794","180072.685017363","132","20121004",
"54","약국","01_01_06_P","3250000","PHMD120123250021084000009","20121102","","03","폐업","03","폐업","20140217","","","","051-469-1060","","600816","부산광역시 중구 중앙동4가 76번지 14호","부산광역시 중구  중앙대로  154 (중앙동4가)","600816","중앙약국","20140217175830","I","2018-08-31 23:59:59.0","","385749.036512052","181000.618673514","46.89","20121102",
"55","약국","01_01_06_P","3250000","PHMD120153250021084000006","20151106","","03","폐업","03","폐업","20160404","","","","","","","부산광역시 중구 남포동1가 11번지","부산광역시 중구 구덕로 지하 12, 상가 39호 (남포동1가, 도시철도 남포역)","48954","남포지하철약국","20160404134801","I","2018-08-31 23:59:59.0","","385452.603862548","179538.845528092","11.11","20151106",
"56","약국","01_01_06_P","3250000","PHMD119893250021084000001","19890308","","03","폐업","03","폐업","20170410","","","","051-463-7584","","","부산광역시 중구 동광동 5가 16-34","부산광역시 중구 동영로 6-1 (동광동5가)","48921","일신약국","20170410100828","I","2018-08-31 23:59:59.0","","385313.821265433","180628.203146279","29.75","19890308",
"57","약국","01_01_06_P","3250000","PHMD120103250021084000005","20100817","","03","폐업","03","폐업","20170531","","","","678-4226","","600017","부산광역시 중구 중앙동7가 20번지 1호 외 110필지","부산광역시 중구 중앙대로 2 (중앙동7가)","48944","보민약국","20170531154608","I","2018-08-31 23:59:59.0","","385590.814676765","179553.867031936","56","20100817",
"58","약국","01_01_06_P","3250000","PHMD120093250021084000007","20090930","","03","폐업","03","폐업","20100218","","","","051-442-6667","","600111","부산광역시 중구 영주1동 568번지 4호 , 577","부산광역시 중구 대영로224번길 3 (영주동,, 577)","","우리약국","20100218094903","I","2018-08-31 23:59:59.0","","385477.242056661","181072.865123329","100.09","20090930",
"59","약국","01_01_06_P","3250000","PHMD120103250021084000006","20101001","","03","폐업","03","폐업","20161121","","","","442.0911","","600025","부산광역시 중구 동광동5가 16번지 37호 외2필지","부산광역시 중구 동영로 4 (동광동5가)","48921","한솔약국","20161121105400","I","2018-08-31 23:59:59.0","","385305.463245849","180614.22050161","62.18","20101001",
"60","약국","01_01_06_P","3250000","PHMD120103250021084000008","20101006","","03","폐업","03","폐업","20121004","","","","246-2768","","600806","부산광역시 중구 부평동2가 80번지 3호","부산광역시 중구 흑교로 38 (부평동2가)","600806","참좋은국제약국","20121004152630","I","2018-08-31 23:59:59.0","","384608.762917794","180072.685017363","132","20101006",
"61","약국","01_01_06_P","3250000","PHMD120113250021084000001","20110218","","03","폐업","03","폐업","20110602","","","","245","","600806","부산광역시 중구 부평동2가 66번지 5호","부산광역시 중구 흑교로 16-1 (부평동2가)","","위생약국","20110602161638","I","2018-08-31 23:59:59.0","","384599.392456657","179851.803683914","50","20110218",
"62","약국","01_01_06_P","3250000","PHMD120113250021084000002","20110502","","03","폐업","03","폐업","20150731","","","","462-6353","","600810","부산광역시 중구 영주2동 287번지 17호","부산광역시 중구 영주로 12 (영주동)","600112","대청그린약국","20150731105747","I","2018-08-31 23:59:59.0","","385217.888474041","180882.357628017","39.6","20110502",
"63","약국","01_01_06_P","3250000","PHMD120113250021084000003","20110512","","03","폐업","03","폐업","20120117","","","","463-6432","","600111","부산광역시 중구 영주1동 631번지 7호","부산광역시 중구 중구로188번길 22-1 (영주동)","600811","주약국","20120117100423","I","2018-08-31 23:59:59.0","","385609.476832801","180970.211673192","27.14","20110512",
"64","약국","01_01_06_P","3250000","PHMD120113250021084000005","20110908","","03","폐업","03","폐업","20140212","","","","245-0616","","600806","부산광역시 중구 부평동2가 69번지 4호","부산광역시 중구 중구로39번길 46 (부평동2가)","600806","용두산약국","20140212173105","I","2018-08-31 23:59:59.0","","384602.070212788","179921.031045508","52.8","20110908",
"65","약국","01_01_06_P","3250000","PHMD120113250021084000008","20111222","","03","폐업","03","폐업","20170904","","","","442-4046","","600025","부산광역시 중구 동광동5가 19번지 13호","부산광역시 중구 샘길 1 (동광동5가)","48925","푸른지산약국","20170904104501","I","2018-08-31 23:59:59.0","","385281.026900347","180539.427769874","82.55","20111222",
"66","약국","01_01_06_P","3250000","PHMD120123250021084000001","20120116","","03","폐업","03","폐업","20120601","","","","","","600092","부산광역시 중구 대청동2가 22번지 20호","부산광역시 중구 대청로 92-1 (대청동2가)","600092","성심약국","20120601141403","I","2018-08-31 23:59:59.0","","385020.339785814","180069.19972742","49.65","20120116",
"67","약국","01_01_06_P","3250000","PHMD120123250021084000004","20120611","","03","폐업","03","폐업","20180702","","","","248-5002","","600092","부산광역시 중구 대청동2가 28번지 4호","부산광역시 중구 광복중앙로34번길 13 (대청동2가)","48949","오즈약국","20180702093837","I","2018-08-31 23:59:59.0","","385163.851204937","180030.382925508","37.09","20120611",
"68","약국","01_01_06_P","3250000","PHMD120123250021084000005","20120620","","03","폐업","03","폐업","20121130","","","","051-314-6240","","600111","부산광역시 중구 영주1동 568번지 4호","부산광역시 중구 대영로224번길 3 (영주동)","600111","성황리약국","20121203123757","I","2018-08-31 23:59:59.0","","385477.242056661","181072.865123329","66","20120620",
"69","약국","01_01_06_P","3250000","PHMD120123250021084000006","20120625","","03","폐업","03","폐업","20130501","","","","442-0575","","600093","부산광역시 중구 대청동3가 9번지 3호","부산광역시 중구 대청로 85-1 (대청동3가)","600093","새메디칼약국","20130501162625","I","2018-08-31 23:59:59.0","","384952.236803802","180111.742951126","46","20120625",
"70","약국","01_01_06_P","3250000","PHMD120123250021084000010","20121205","","03","폐업","03","폐업","20140714","","","","051)467-2270","","600025","부산광역시 중구 동광동5가 16번지 266호","부산광역시 중구 중구로 124-3 (동광동5가)","600025","새명성약국","20140714105812","I","2018-08-31 23:59:59.0","","385288.421569311","180565.352726871","34.2","20121205",
"71","약국","01_01_06_P","3250000","PHMD120133250021084000001","20130107","","03","폐업","03","폐업","20160601","","","","051)246-2768","","600806","부산광역시 중구 부평동2가 80번지 3호","부산광역시 중구 흑교로 38 (부평동2가)","48977","국제약국","20160601100250","I","2018-08-31 23:59:59.0","","384608.762917794","180072.685017363","132","20130107",
"72","약국","01_01_06_P","3250000","PHMD120133250021084000002","20130305","","03","폐업","03","폐업","20150831","","","","462-7775","","600814","부산광역시 중구 중앙동4가 15번지 3호","부산광역시 중구 충장대로 24 (중앙동4가)","48940","새부산약국","20150831095230","I","2018-08-31 23:59:59.0","","386032.236798563","180263.270670699","17.39","20130305",
"73","약국","01_01_06_P","3250000","PHMD120133250021084000004","20130501","","03","폐업","03","폐업","20180625","","","","442-0575","","600093","부산광역시 중구 대청동3가 9번지 3호","부산광역시 중구 대청로 85-1 (대청동3가)","48933","새메디칼약국","20180625163610","I","2018-08-31 23:59:59.0","","384952.236803802","180111.742951126","83","20130501",
"74","약국","01_01_06_P","3250000","PHMD120133250021084000005","20130816","","03","폐업","03","폐업","20150706","","","","051)468-7004","","600025","부산광역시 중구 동광동5가 15번지 83호","부산광역시 중구 동영로 7 (동광동5가)","600025","제일약국","20150706095337","I","2018-08-31 23:59:59.0","","385308.471742556","180654.757923549","27.5","20130816",
"75","약국","01_01_06_P","3250000","PHMD120133250021084000006","20130903","","03","폐업","03","폐업","20140808","","","","051)253-6636","","600807","부산광역시 중구 부평동2가 58번지 2호","부산광역시 중구 흑교로 6 (부평동2가)","600807","예사랑약국","20140808162143","I","2018-08-31 23:59:59.0","","384599.156761224","179746.243173324","57.35","20130903",
"76","약국","01_01_06_P","3250000","PHMD120133250021084000008","20130930","","03","폐업","03","폐업","20140623","","","","051)253-1311","","600819","부산광역시 중구 창선동2가 27번지 6호","부산광역시 중구 국제시장2길 5 (창선동2가)","600819","일진사약국","20140623135627","I","2018-08-31 23:59:59.0","","384882.400985347","179725.478464011","106.05","20130930",
"77","약국","01_01_06_P","3250000","PHMD120153250021084000007","20151211","","03","폐업","03","폐업","20160929","","","","051-466-0468","","","부산광역시 중구 중앙동6가 12번지","부산광역시 중구 중앙대로 26 (중앙동6가, 국제빌딩)","48942","스마일약국","20160929142440","I","2018-08-31 23:59:59.0","","385666.280865059","179774.158396281","44.48","20151211",
"78","약국","01_01_06_P","3250000","PHMD120123250021084000007","20120717","","03","폐업","03","폐업","20130903","","","","245-5773","","600806","부산광역시 중구 부평동2가 80번지 7호","부산광역시 중구 대청로 52 (부평동2가)","600806","동인약국","20130903154734","I","2018-08-31 23:59:59.0","","384613.813034885","180082.490276656","28.1","20120717",
"79","약국","01_01_06_P","3250000","PHMD120073250021084000001","20070124","","03","폐업","03","폐업","20101001","","","","051-442-0911","","","부산광역시 중구 동광동 5가 16-37","","","한솔약국","20101004091535","I","2018-08-31 23:59:59.0","","","","0","20070124",
"80","약국","01_01_06_P","3250000","PHMD120143250021084000002","20140402","","03","폐업","03","폐업","20141123","","","","051)266-3001","","600014","부산광역시 중구 중앙동4가 76번지 14호","부산광역시 중구 중앙대로 154 (중앙동4가)","600014","중앙약국","20141124095325","I","2018-08-31 23:59:59.0","","385749.036512052","181000.618673514","46.89","20140402",
"81","약국","01_01_06_P","3250000","PHMD120143250021084000005","20140714","","03","폐업","03","폐업","20160314","","","","051)467-2270","","600025","부산광역시 중구 동광동5가 16번지 267호","부산광역시 중구 중구로 124-3 (동광동5가)","48925","새명성약국","20160314100440","I","2018-08-31 23:59:59.0","","385286.001691044","180562.679911199","34.2","20140714",
"82","약국","01_01_06_P","3250000","PHMD120153250021084000003","20150818","","03","폐업","03","폐업","20151216","","","","051-241-3490","","","부산광역시 중구 보수동2가 89번지 4호","부산광역시 중구 흑교로 53 (보수동2가)","48963","행복약국","20151217093104","I","2018-08-31 23:59:59.0","","384535.453553411","180215.945734807","41.21","20150818",
"83","약국","01_01_06_P","3250000","PHMD120163250021084000002","20160404","","03","폐업","03","폐업","20210331","","","","051-245-6678","","","부산광역시 중구 남포동1가 11번지","부산광역시 중구 구덕로 지하 12, 상가 39호 (남포동1가, 도시철도 남포역)","48954","남포지하철약국","20210331134351","U","2021-04-02 02:40:00.0","","385452.603862548","179538.845528092","11.11","20160404",
"84","약국","01_01_06_P","3250000","PHMD120163250021084000003","20160601","","03","폐업","03","폐업","20160825","","","","051-246-2768","","","부산광역시 중구 부평동2가 80번지 3호","부산광역시 중구 흑교로 38 (부평동2가)","48977","국제약국","20160825104742","I","2018-08-31 23:59:59.0","","384608.762917794","180072.685017363","132","20160601",
"85","약국","01_01_06_P","3250000","PHMD120163250021084000005","20161121","","03","폐업","03","폐업","20190819","","","","442-0911","","","부산광역시 중구 동광동5가 16번지 37호","부산광역시 중구 동영로 4 (동광동5가)","48921","새한솔약국","20190819100349","U","2019-08-21 02:40:00.0","","385305.463245849","180614.22050161","62.18","20161121",
"86","약국","01_01_06_P","3250000","PHMD120173250021084000001","20170228","","03","폐업","03","폐업","20171231","","","","245-0669","","","","부산광역시 중구 구덕로34번길 34-3 (남포동4가)","48953","제일대동약국","20180102142350","I","2018-08-31 23:59:59.0","","","","79","20170228",
"87","약국","01_01_06_P","3250000","PHMD120173250021084000003","20170412","","03","폐업","03","폐업","20190701","","","","051-241-0075","","","부산광역시 중구 보수동1가 91번지 1호","부산광역시 중구 흑교로52번길 6-1 (보수동1가)","48962","우리들약국","20190701113354","U","2019-07-03 02:40:00.0","","384602.31343031","180221.362367371","104.13","20170412",
