"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","문화체육업종명","공사립구분명","보험가입여부코드","지도자수","건축물동수","건축물연면적","회원모집총인원","세부업종명","법인명",
"11","무도학원업","10_33_02_P","3270000","CDFH3301112002000003","20020906","","03","폐업","03","폐업","20070528","","","","464-7727","","601838","부산광역시 동구 초량동 1200-1번지","부산광역시 동구 중앙대로214번길 7-11  (초량동)","","파라댄스스포츠학원","20070529173621","I","2018-08-31 23:59:59.0","","386055.563905435","181649.267916478","무도학원업","사립","1","","","","","","",
"12","무도학원업","10_33_02_P","3270000","CDFH3301111991000001","19910904","","03","폐업","03","폐업","20110124","","","","467-6477","","601827","부산광역시 동구 초량동 167-6번지 3층","부산광역시 동구 중앙대로251번길 18, 3층 (초량동)","601827","한국댄스스포츠지도자학원","20111208152007","I","2018-08-31 23:59:59.0","","385982.672609667","181978.14183119","무도학원업","사립","Y","","","","","","",
"13","무도학원업","10_33_02_P","3270000","CDFH3301111999000001","19990818","","03","폐업","03","폐업","20091023","","","","633-0588","","601803","부산광역시 동구 범일동 932-3번지","부산광역시 동구 범일로89번길 22  (범일동)","","뉴제일무도학원","20100810132415","I","2018-08-31 23:59:59.0","","387580.398935417","184100.273618128","무도학원업","사립","Y","","","","","","",
"14","무도학원업","10_33_02_P","3270000","CDFH3301112002000002","20020306","","03","폐업","03","폐업","20100309","","","","","","601827","부산광역시 동구 초량동 43-9번지 (3층)","부산광역시 동구 고관로 27  (초량동,(3층))","","롯데무도학원","20100810132247","I","2018-08-31 23:59:59.0","","386105.968173379","182218.679478518","무도학원업","사립","Y","","","","","","",
"15","무도학원업","10_33_02_P","3270000","CDFH3301112005000001","20050407","","03","폐업","03","폐업","20180516","","","","645-7774","","601803","부산광역시 동구 범일동 902-9번지 5층","부산광역시 동구 범일로 109, 5층 (범일동)","48735","국제무도학원","20180516101237","I","2018-08-31 23:59:59.0","","387593.35059149","184228.327491902","무도학원업","사립","","","","","","","",
"16","무도학원업","10_33_02_P","3270000","CDFH3301112005000002","20050802","","03","폐업","03","폐업","20091023","","","","051-581-2524","","601803","부산광역시 동구 범일동 932-3번지 2층","부산광역시 동구 범일로89번길 22  (범일동,2층)","","뉴제일무도학원","20091026090133","I","2018-08-31 23:59:59.0","","387580.398935417","184100.273618128","무도학원업","사립","0","","","","","","",
"17","무도학원업","10_33_02_P","3270000","CDFH3301112014000001","20140228","","03","폐업","03","폐업","20200720","","","","638-4440","","","부산광역시 동구 범일동 631-4","부산광역시 동구 범일로90번길 4, 3층 (범일동)","48745","위너스 댄스스포츠 스튜디오","20200720160706","U","2020-07-22 02:40:00.0","","387667.20808376","184016.952668961","무도학원업","사립","","","1","1405.93","","","",
"18","무도학원업","10_33_02_P","3270000","CDFH3301112018000001","20181018","","03","폐업","03","폐업","20200907","","","","051-467-6477","","","부산광역시 동구 범일동 830-218","부산광역시 동구 범일로90번길 9, 용두빌딩 5층 (범일동)","48744","한국댄스스포츠학원","20200907134812","U","2020-09-09 02:40:00.0","","387731.929164944","184054.292249465","무도학원업","사립","","1","","1712.56","","","",
"19","무도학원업","10_33_02_P","3270000","CDFH3301112002000001","20021106","","01","영업/정상","13","영업중","","","","","633-7167","","601807","부산광역시 동구 범일동 830-37","부산광역시 동구 범일로 92-6, 4층 (범일동)","48744","현대무도학원","20201114145242","U","2020-11-17 02:40:00.0","","387658.161222391","184079.43912781","무도학원업","사립","","","","","","","",
"20","무도학원업","10_33_02_P","3270000","CDFH3301112010000001","20100114","","01","영업/정상","13","영업중","","","","","633-0588","","601803","부산광역시 동구 범일동 932-3 2층","부산광역시 동구 범일로89번길 22, 2층 (범일동)","48735","소나타무도학원","20201114145353","U","2020-11-17 02:40:00.0","","387580.398935417","184100.273618128","무도학원업","사립","","","","","","","",
"21","무도학원업","10_33_02_P","3270000","CDFH3301112016000001","20160318","","01","영업/정상","13","영업중","","","","","","","","부산광역시 동구 범일동 830-256번지 3층","부산광역시 동구 조방로49번길 15, 3층 (범일동)","48738","오병호댄스스포츠","20190610133436","U","2019-06-12 02:40:00.0","","387699.977135934","184192.838365023","무도학원업","사립","","","","1420.49","","","",
"22","무도학원업","10_33_02_P","3270000","CDFH3301112020000001","20200929","","01","영업/정상","13","영업중","","","","","","","","부산광역시 동구 범일동 631-4","부산광역시 동구 범일로90번길 4 (범일동)","48745","위너스 댄스스포츠 스튜디오","20200929115730","I","2020-10-01 00:23:11.0","","387667.20808376","184016.952668961","무도학원업","사립","","","","1405.93","","","",
"23","무도학원업","10_33_02_P","3280000","CDFH3301112001000001","20010416","","03","폐업","03","폐업","20160223","","","","051-415-1037","","606042","부산광역시 영도구 영선동2가 73-21번지","부산광역시 영도구 영선대로 97 (영선동2가)","","한국무도학원","20160223155521","I","2018-08-31 23:59:59.0","","386211.862488598","178628.749551099","무도학원업","사립","Y","","","","","","",
"24","무도학원업","10_33_02_P","3280000","CDFH3301112015000001","20150205","","03","폐업","03","폐업","20190320","","","","","","606012","부산광역시 영도구 대교동2가 6-1번지","부산광역시 영도구 절영로13번길 12 (대교동2가)","49036","워킹무도학원","20190320145718","U","2019-03-22 02:40:00.0","","386030.115452705","178982.210578747","무도학원업","사립","","","","514.7","","","",
"25","무도학원업","10_33_02_P","3280000","CDFH3301112016000001","20160512","","01","영업/정상","13","영업중","","","","","415-4366","","","부산광역시 영도구 남항동1가 230-22번지","부산광역시 영도구 남항로 39-2, 3층 (남항동1가)","49053","한국무도학원","20191101173124","U","2019-11-03 02:40:00.0","","386041.072348948","178539.547977792","무도학원업","사립","Y","","","","","","",
"26","무도학원업","10_33_02_P","3290000","CDFH3301112021000003","20210727","","03","폐업","03","폐업","20211102","","","","","","","부산광역시 부산진구 부전동 267-27","부산광역시 부산진구 새싹로8번길 58, 6층 (부전동)","47251","예원웰빙스포츠 댄스학원","20211102104103","U","2021-11-04 02:40:00.0","","387686.78838395","186533.385132181","무도학원업","사립","","0","0","2184.6","0","","",
"27","무도학원업","10_33_02_P","3290000","CDFH3301112021000001","20210506","","03","폐업","03","폐업","20210528","","","","","","","부산광역시 부산진구 부전동 267-27","부산광역시 부산진구 새싹로8번길 58, 6층 (부전동)","47251","예원웰빙스포츠","20210528175058","U","2021-05-30 02:40:00.0","","387686.78838395","186533.385132181","무도학원업","사립","Y","","","2184.6","","","",
"28","무도학원업","10_33_02_P","3290000","CDFH3301112007000001","20071102","","03","폐업","03","폐업","20130603","","","","051-637-4317","","614830","부산광역시 부산진구 범천동 980-3번지 지하1층","부산광역시 부산진구 신암로 92 (범천동)","614830","신암무도학원","20130603175757","I","2018-08-31 23:59:59.0","","387035.146893105","185301.151782433","무도학원업","사립","","","","182.81","","","",
"29","무도학원업","10_33_02_P","3290000","CDFH3301112008000001","20080227","","03","폐업","03","폐업","20220329","","","","051-803-0502","","","부산광역시 부산진구 부전동 142-8 2층","부산광역시 부산진구 서전로 11-1 (부전동, 신천빌딩)","47246","김상정 김민의 라루체 댄스스포츠","20220329132719","U","2022-03-31 02:40:00.0","","387733.848223483","186259.810701269","무도학원업","사립","","0","0","290","0","","",
"30","무도학원업","10_33_02_P","3290000","CDFH3301112008000002","20080905","","03","폐업","03","폐업","20170106","","","","051)805-9938","","614843","부산광역시 부산진구 부전동 347-1번지 3층","부산광역시 부산진구 부전로 156  (부전동,3층)","","백종열댄스스포츠학원","20170110135458","I","2018-08-31 23:59:59.0","","387467.901423742","186725.733610044","무도학원업","사립","0","","","209.32","","","",
"31","무도학원업","10_33_02_P","3290000","CDFH3301112013000001","20130118","","03","폐업","03","폐업","20191112","","","","","","","부산광역시 부산진구 양정동 389-2번지","부산광역시 부산진구 중앙대로909번길 35 (양정동)","47213","샐리주 댄스스포츠","20191112181104","U","2019-11-14 02:40:00.0","","388440.17366188","187920.710544622","무도학원업","사립","","","","","","","",
"32","무도학원업","10_33_02_P","3290000","CDFH3301111999000001","19990529","","03","폐업","03","폐업","20140501","","","","051-809-0008","","614863","부산광역시 부산진구 전포동 374-33번지","부산광역시 부산진구 전포대로132번길 3 (전포동)","614863","부산무도학원","20150909155112","I","2018-08-31 23:59:59.0","","388241.6024616","185242.414454938","무도학원업","사립","","","","","","","",
"33","무도학원업","10_33_02_P","3290000","CDFH3301112000000002","20001019","","03","폐업","03","폐업","20180820","","","","805-5758","","","부산광역시 부산진구 부전동 267-19번지 6층","부산광역시 부산진구 중앙대로755번길 10 (부전동)","47251","서울스포츠회관","20180820111159","I","2018-08-31 23:59:59.0","","387666.12706233","186499.349069279","무도학원업","사립","","","","328","","","",
"34","무도학원업","10_33_02_P","3290000","CDFH3301112003000001","20030210","","03","폐업","03","폐업","20070517","","","","807-1480","","614876","부산광역시 부산진구 부전동 477-3번지","부산광역시 부산진구 부전로96번길 16  (부전동)","","영빈무도학원","20070517145419","I","2018-08-31 23:59:59.0","","387218.14550088","186312.354897816","무도학원업","사립","0","","","188","","","",
"35","무도학원업","10_33_02_P","3290000","CDFH3301112003000003","20030210","","03","폐업","03","폐업","20100621","","","","802-1024","","614842","부산광역시 부산진구 부전동 390-17번지","부산광역시 부산진구 부전로140번길 3  (부전동)","","문화마당무도학원","20100621143731","I","2018-08-31 23:59:59.0","","387345.881392222","186652.049940293","무도학원업","사립","0","","","150","","","",
"36","무도학원업","10_33_02_P","3290000","CDFH3301112003000004","20030210","","03","폐업","03","폐업","20070517","","","","805-5533","","614870","부산광역시 부산진구 전포동 874-4번지","","","서면무도학원","20070517145932","I","2018-08-31 23:59:59.0","","387991.754452415","186858.663084126","무도학원업","사립","0","","","192","","","",
"37","무도학원업","10_33_02_P","3290000","CDFH3301112001000001","20010203","","03","폐업","03","폐업","20040331","","","","051-808-7267","","614835","부산광역시 부산진구 부암동 23-16번지","부산광역시 부산진구 새싹로 127  (부암동)","","유성무도학원","20041207140034","I","2018-08-31 23:59:59.0","","386779.413661686","187308.545393756","무도학원업","사립","0","","","","","","",
"38","무도학원업","10_33_02_P","3290000","CDFH3301112001000002","20010220","","03","폐업","03","폐업","20080117","","","","636-9788","","614826","부산광역시 부산진구 당감동 878-10번지","","","황실무도학원","20080117110449","I","2018-08-31 23:59:59.0","","","","무도학원업","사립","0","","","","","","",
"39","무도학원업","10_33_02_P","3290000","CDFH3301112016000001","20160531","","03","폐업","03","폐업","20190816","","","","051-644-6627","","","부산광역시 부산진구 범천동 847-2번지","부산광역시 부산진구 범일로 158, 3층 (범천동, 티웨딩홀 (구 황실예식장))","47361","미스터신 댄스 아카데미","20190816174216","U","2019-08-18 02:40:00.0","","387635.40371642","184705.613345802","무도학원업","사립","Y","","","4746.17","","","",
"40","무도학원업","10_33_02_P","3290000","CDFH3301112017000001","20170125","","03","폐업","03","폐업","20181023","","","","051-816-0266","","","부산광역시 부산진구 부전동 266-30번지 4층","부산광역시 부산진구 새싹로8번길 36, 4층 (부전동)","47254","스타댄스","20181023155743","U","2018-10-25 02:37:47.0","","387624.989707084","186442.636762676","무도학원업","사립","Y","","","894.83","","","",
"41","무도학원업","10_33_02_P","3290000","CDFH3301112021000002","19930804","","01","영업/정상","13","영업중","","","","","051-867-2570","","","부산광역시 부산진구 양정동 389-2","부산광역시 부산진구 중앙대로909번길 35, 5층 (양정동)","47213","뉴스타댄스스포츠","20210526170354","U","2021-05-28 02:40:00.0","","388440.17366188","187920.710544622","무도학원업","사립","Y","","","1389","","","",
"42","무도학원업","10_33_02_P","3290000","CDFH3301112013000002","20130618","","01","영업/정상","13","영업중","","","","","","","614836","부산광역시 부산진구 부암동 80-69번지 (3층)","부산광역시 부산진구 새싹로 91, 3층 (부암동)","47192","마니아 댄스스포츠","20180322154723","I","2018-08-31 23:59:59.0","","386980.305911499","187011.201541455","무도학원업","사립","","","","","","","",
"43","무도학원업","10_33_02_P","3290000","CDFH3301112015000001","20150416","","01","영업/정상","13","영업중","","","","","","","614813","부산광역시 부산진구 개금동 171-122번지","부산광역시 부산진구 가야대로482번길 8, 3층 (개금동)","47323","엔에우스 스포츠댄스 학원","20190812101139","U","2019-08-14 02:40:00.0","","384424.722110866","185602.927061972","무도학원업","사립","","","","","","","",
"44","무도학원업","10_33_02_P","3290000","CDFH3301111997000001","19971219","","01","영업/정상","13","영업중","","","","","051-895-9906","","","부산광역시 부산진구 개금동 177-248","부산광역시 부산진구 가야대로454번길 16, 3층 (개금동)","47323","스포츠무도학원","20211007085040","U","2021-10-09 02:40:00.0","","384149.019183093","185561.098174553","무도학원업","사립","Y","","","","","","",
"45","무도학원업","10_33_02_P","3290000","CDFH3301112002000001","20020227","","01","영업/정상","13","영업중","","","","","051-817-9797","","614031","부산광역시 부산진구 부전동 142-5번지 3층","부산광역시 부산진구 서전로 13 (부전동)","47246","제일무도학원","20180323140622","I","2018-08-31 23:59:59.0","","387751.455776768","186253.871909123","무도학원업","사립","Y","","","","","","",
"46","무도학원업","10_33_02_P","3290000","CDFH3301112003000002","20030210","","01","영업/정상","13","영업중","","","","","051-804-3359","","","부산광역시 부산진구 부전동 264-11번지","부산광역시 부산진구 새싹로28번길 32 (부전동)","47253","국제무도학원","20181116095926","U","2018-11-21 04:00:00.0","","387518.189758048","186524.679477834","무도학원업","사립","Y","","","","","","",
"47","무도학원업","10_33_02_P","3290000","CDFH3301112003000005","20031128","","01","영업/정상","13","영업중","","","","","643-7859","","","부산광역시 부산진구 범천동 1253-2번지","부산광역시 부산진구 신암로 73 (범천동)","47350","표준무도학원","20180205152037","I","2018-08-31 23:59:59.0","","387101.634906551","185140.289101187","무도학원업","사립","","","","","","","",
"48","무도학원업","10_33_02_P","3290000","CDFH3301112020000001","20200921","","01","영업/정상","13","영업중","","","","","","","","부산광역시 부산진구 부전동 266-30","부산광역시 부산진구 새싹로8번길 36, 4층 (부전동)","47254","스타댄스","20200921112245","I","2020-09-23 00:23:11.0","","387624.989707084","186442.636762676","무도학원업","사립","Y","","","","","","",
"49","무도학원업","10_33_02_P","3290000","CDFH3301112000000001","20000728","","04","취소/말소/만료/정지/중지","35","직권말소","20081229","","","","051-805-5550","","614850","부산광역시 부산진구 부전동 524-2번지","부산광역시 부산진구 중앙대로691번길 49  (부전동)","","서면프로무도학원","20110726112909","I","2018-08-31 23:59:59.0","","387304.500984597","185840.662054236","무도학원업","사립","","","","","","","",
"50","무도학원업","10_33_02_P","3300000","CDFH3301112000000001","20000802","","03","폐업","03","폐업","20050630","","","","557-5340","","607804","부산광역시 동래구 명륜동 492번지","부산광역시 동래구 명륜로112번가길 45  (명륜동)","","새롬무도학원","20110317175348","I","2018-08-31 23:59:59.0","","389601.964488774","191573.837355519","무도학원업","사립","","","","139.98","","","",
"51","무도학원업","10_33_02_P","3300000","CDFH3301112000000002","20000915","","03","폐업","03","폐업","20071211","","","","556-6219","","607804","부산광역시 동래구 명륜동 564-26번지","부산광역시 동래구 명륜로 147  (명륜동)","","백종열무도학원","20110317175505","I","2018-08-31 23:59:59.0","","389500.918960805","191728.472419894","무도학원업","사립","","","","161.9","","","",
"52","무도학원업","10_33_02_P","3300000","CDFH3301112000000004","20001127","","03","폐업","03","폐업","20190225","","","","555-5044","","607834","부산광역시 동래구 온천동 473-9번지","부산광역시 동래구 온천장로 5-1 (온천동)","47715","이소영댄스아카데미","20190225105829","U","2019-02-27 02:40:00.0","","389211.937116218","192382.63601032","무도학원업","사립","Y","","","","","","",
"53","무도학원업","10_33_02_P","3300000","CDFH3301112001000001","20010517","","03","폐업","03","폐업","20060601","","","","558-1881","","607824","부산광역시 동래구 수안동 501번지","부산광역시 동래구 명륜로94번길 44-4  (수안동)","","제일무도학원","20110322175210","I","2018-08-31 23:59:59.0","","389739.17257417","191429.414730989","무도학원업","사립","","","","238","","","",
"54","무도학원업","10_33_02_P","3300000","CDFH3301112001000002","20010814","","03","폐업","03","폐업","","","","","553-5176","","607824","부산광역시 동래구 수안동 334-7번지","부산광역시 동래구 충렬대로255번길 31  (수안동)","","동래무도학원","20120629170833","I","2018-08-31 23:59:59.0","","390139.077090988","191192.150617391","무도학원업","사립","","","","115.7","","","",
"55","무도학원업","10_33_02_P","3300000","CDFH3301112001000005","20010814","","03","폐업","03","폐업","","","","","","","607804","부산광역시 동래구 명륜동 489번지","부산광역시 동래구 명륜로112번가길 40  (명륜동)","","명륜무도학원","20120629170909","I","2018-08-31 23:59:59.0","","389689.12940000000","191854.67255300000","무도학원업","사립","","","","","","","",
"56","무도학원업","10_33_02_P","3300000","CDFH3301112001000003","20010423","","03","폐업","03","폐업","","","","","556-9865","","607833","부산광역시 동래구 온천동 184-7번지","부산광역시 동래구 온천장로 54  (온천동)","","궁전 무도학원","20110324135933","I","2018-08-31 23:59:59.0","","389419.074460603","192777.319447217","무도학원업","사립","","","","145.2","","","",
"57","무도학원업","10_33_02_P","3300000","CDFH3301112001000004","20010517","","03","폐업","03","폐업","20090924","","","","555-3733","","607831","부산광역시 동래구 온천동 143-21번지","부산광역시 동래구 온천장로119번길 53  (온천동)","","부산무도학원","20090924172236","I","2018-08-31 23:59:59.0","","389487.27733226","193382.27892736","무도학원업","사립","0","","","","","","",
"58","무도학원업","10_33_02_P","3300000","CDFH3301112001000006","20010517","","03","폐업","03","폐업","20160628","","","","051-558-0793","","607831","부산광역시 동래구 온천동 164-43번지 3층","부산광역시 동래구 중앙대로1493번길 14-15, 3층 (온천동)","47710","서울무도학원","20160628151952","I","2018-08-31 23:59:59.0","","389696.439388102","193148.563528843","무도학원업","사립","","","","","","","",
"59","무도학원업","10_33_02_P","3300000","CDFH3301112001000007","20010517","","03","폐업","03","폐업","20130603","","","","","","607834","부산광역시 동래구 온천동 474-19번지","부산광역시 동래구 동래로19번길 2  (온천동)","","뉴욕무도학원","20130603181205","I","2018-08-31 23:59:59.0","","389156.480753965","192373.526379535","무도학원업","사립","","","","","","","",
"60","무도학원업","10_33_02_P","3300000","CDFH3301112001000008","20010817","","03","폐업","03","폐업","20180704","","","","051-554-0266","","","부산광역시 동래구 온천동 155-2번지 5층","부산광역시 동래구 온천장로 114 (온천동)","47710","주효진 댄스스포츠","20180704121821","I","2018-08-31 23:59:59.0","","389740.37439611","193253.561360988","무도학원업","사립","","","","","","","",
"61","무도학원업","10_33_02_P","3300000","CDFH3301112001000009","20010706","","03","폐업","03","폐업","20170612","","","","051-505-9294","","607842","부산광역시 동래구 온천동 1421-1번지","부산광역시 동래구 아시아드대로 256 (온천동)","47837","현대 무도학원","20170612112126","I","2018-08-31 23:59:59.0","","388331.485351769","191634.138718873","무도학원업","사립","","","","","","","",
"62","무도학원업","10_33_02_P","3300000","CDFH3301112010000001","20100525","","03","폐업","03","폐업","20190711","","","","051-552-7172","","","부산광역시 동래구 낙민동 289-2번지 6층 (이수빌딩)","부산광역시 동래구 충렬대로 256 (낙민동)","47878","비타민 댄스스포츠","20190711180623","U","2019-07-13 02:40:00.0","","390008.104947087","191065.978424493","무도학원업","사립","","","1","2634.3","","","",
"63","무도학원업","10_33_02_P","3300000","CDFH3301112011000001","20110317","","03","폐업","03","폐업","20180524","","","","051-558-9070","","607831","부산광역시 동래구 온천동 145-33번지","부산광역시 동래구 금강로 154 (온천동)","47708","온천스포츠학원","20180524111945","I","2018-08-31 23:59:59.0","","389431.475429134","193433.037073686","무도학원업","사립","","","","465.94","","","",
"64","무도학원업","10_33_02_P","3300000","CDFH3301112012000001","20120727","","03","폐업","03","폐업","20190611","","","","553-5558","","607824","부산광역시 동래구 수안동 275-18번지 4층","부산광역시 동래구 충렬대로 251, 4층 (수안동)","47813","오병호댄스스포츠","20190611143237","U","2019-06-13 02:40:00.0","","389978.585428575","191126.688400845","무도학원업","사립","Y","","","","","","",
"65","무도학원업","10_33_02_P","3300000","CDFH3301112014000002","20140923","","03","폐업","03","폐업","20160912","","","","","","607824","부산광역시 동래구 수안동 236-1번지","부산광역시 동래구 충렬대로237번길 6 (수안동)","47813","베이직 하우스","20160912142607","I","2018-08-31 23:59:59.0","","389860.120650991","191172.227024054","무도학원업","사립","Y","","","1686.46","","","",
"66","무도학원업","10_33_02_P","3300000","CDFH3301112015000001","20150911","","03","폐업","03","폐업","20170119","","","","","","","부산광역시 동래구 온천동 198-6번지","부산광역시 동래구 금강로 93-1, 5층 (온천동, 상지빌딩)","47705","탑댄스","20170119160157","I","2018-08-31 23:59:59.0","","389186.149397414","192888.150132364","무도학원업","사립","","","1","1833.28","","","",
"67","무도학원업","10_33_02_P","3300000","CDFH3301111999000001","19991008","","03","폐업","03","폐업","20070810","","","","553-7595","","607804","부산광역시 동래구 명륜동 505-6번지","부산광역시 동래구 명륜로 125  (명륜동)","","국제무도학원","20110506165350","I","2018-08-31 23:59:59.0","","389548.298674717","191494.91187314","무도학원업","사립","","","","258.15","","","",
"68","무도학원업","10_33_02_P","3300000","CDFH3301111999000002","19990915","","03","폐업","03","폐업","20050401","","","","553-1753","","607831","부산광역시 동래구 온천동 153-24번지","부산광역시 동래구 온천장로 123  (온천동)","","월드댄스스포츠","20110318151756","I","2018-08-31 23:59:59.0","","389738.991596145","193363.103984833","무도학원업","사립","","","","87","","","",
"69","무도학원업","10_33_02_P","3300000","CDFH3301111999000003","19990815","","03","폐업","03","폐업","20171226","","","","557-2894","","","부산광역시 동래구 온천동 44-52번지","부산광역시 동래구 금강로 166-1 (온천동)","47708","대영무도학원","20171226122439","I","2018-08-31 23:59:59.0","","389451.155749922","193546.695320942","무도학원업","사립","","","","","","","",
"70","무도학원업","10_33_02_P","3300000","CDFH3301112002000001","20020318","","01","영업/정상","13","영업중","","","","","557-6220","","607824","부산광역시 동래구 수안동 436-3번지","부산광역시 동래구 명륜로98번길 52 (수안동)","47813","셀위무도학원","20200319111828","U","2020-03-21 02:40:00.0","","389919.774788672","191188.757550392","무도학원업","사립","","","","81.38","","","",
"71","무도학원업","10_33_02_P","3300000","CDFH3301112009000001","20090713","","01","영업/정상","13","영업중","","","","","","","607833","부산광역시 동래구 온천동 210-84번지","부산광역시 동래구 금강공원로 40-1 (온천동)","47709","화신스포츠 무도학원","20120926155715","I","2018-08-31 23:59:59.0","","389320.940520982","193064.061704689","무도학원업","사립","","","1","2213.48","","","",
"72","무도학원업","10_33_02_P","3300000","CDFH3301112013000001","20131108","","01","영업/정상","13","영업중","","","","","","","607824","부산광역시 동래구 수안동 183-3번지 2층","부산광역시 동래구 충렬대로 241, 2층 (수안동)","47813","수 댄스스포츠","20140410155015","I","2018-08-31 23:59:59.0","","389890.396537077","191147.901804866","무도학원업","사립","Y","","","","","","",
"73","무도학원업","10_33_02_P","3300000","CDFH3301112014000001","20140116","","01","영업/정상","13","영업중","","","","","","","607833","부산광역시 동래구 온천동 183-8번지 7층","부산광역시 동래구 온천장로 64, 7층 (온천동)","47711","루쎄나 댄스 아카데미","20200204110759","U","2020-02-06 02:40:00.0","","389478.59357481","192842.825994713","무도학원업","사립","Y","","","2942.95","","","",
"74","무도학원업","10_33_02_P","3310000","CDFH3301111998000001","19980907","","03","폐업","03","폐업","20020831","","","","645-3101","","608824","부산광역시 남구 문현동 408-18번지","부산광역시 남구 수영로 21-5  (문현동)","","대현무도학원","20030624095015","I","2018-08-31 23:59:59.0","","388640.21778163","183991.773234665","무도학원업","사립","0","","","195.69","","","",
"75","무도학원업","10_33_02_P","3310000","CDFH3301111993000001","19930426","","03","폐업","03","폐업","20170221","","","","627-1727","","608809","부산광역시 남구 대연동 375-3번지","부산광역시 남구 수영로266번길 10 (대연동)","48497","현대댄스스포츠학원","20170221170312","I","2018-08-31 23:59:59.0","","390931.59633976","183779.823652608","무도학원업","사립","","","1","1000.66","","","",
