"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","사무실면적","소독차량차고면적","초미립자살포기수","휴대용소독기수","동력분무기수","수동식분무기수","방독면수","보호안경수","보호용의복수","진공청소기수",
"11","소독업","09_30_11_P","3250000","PHMB520213250021042500001","20210215","","03","폐업","03","폐업","20220524","","","","","","","부산광역시 중구 중앙동2가 46-2 302호","부산광역시 중구 해관로 44, 302호 (중앙동2가)","48957","올케어방역","20220524150449","U","2022-05-26 02:40:00.0","","385555.080986309","180074.825927274","16.09","3.24","2","3","0","5","5","5","5","1",
"12","소독업","09_30_11_P","3250000","PHMB520193250021042500001","20190305","","01","영업/정상","13","영업중","","","","","051-986-0012","","","부산광역시 중구 중앙동4가 81번지 3호 지층","부산광역시 중구 충장대로9번길 37-1, 청담빌딩 지동 (중앙동4가)","48937","세이프존 방역 중앙점","20190812142659","U","2019-08-14 02:40:00.0","","385737.128797598","180747.48756571","60","12.9","1","2","0","3","5","5","5","1",
"13","소독업","09_30_11_P","3250000","PHMB519853250021042500001","19850518","","01","영업/정상","13","영업중","","","","","051-469-3190","","","","부산광역시 중구 충장대로9번길 9-1 (중앙동4가)","48939","대진방역공사","20170420152032","I","2018-08-31 23:59:59.0","","385684.845904317","180465.219732696","33.36","62.93","1","2","1","5","5","5","5","1",
"14","소독업","09_30_11_P","3250000","PHMB519943250021042500001","19940519","","01","영업/정상","13","영업중","","","","","051-468-8594","","","부산광역시 중구 대창동1가 54-67 부원APT 지하2-1호","부산광역시 중구 중앙대로115번길 1-6, 지하2-1호 (대창동1가, 부원APT)","48924","강남종합환경","20220117103426","U","2022-01-19 02:40:00.0","","385544.772444246","180648.03280747","120.68","20.14","1","2","1","5","5","5","5","1",
"15","소독업","09_30_11_P","3250000","PHMB520103250021042500001","20100504","","01","영업/정상","13","영업중","","","","","051-413-4370","","","부산광역시 중구 동광동1가 2번지 0호 6층","부산광역시 중구 해관로 7-0, 6층 (동광동1가)","48955","(주)썬앤문","20200123154959","U","2020-01-25 02:40:00.0","","385542.541829968","179713.813132173","194.69","6.74","1","2","0","3","5","5","5","1",
"16","소독업","09_30_11_P","3250000","PHMB520163250021042500002","20140808","","01","영업/정상","13","영업중","","","","","051-203-2993","","","부산광역시 중구 중앙동4가 36번지 14호 은산빌딩 1107호","부산광역시 중구 해관로 65, 11층 1107호 (중앙동4가, 은산빌딩)","48930","(주)승학피엠씨","20200123154822","U","2020-01-25 02:40:00.0","","385502.492319657","180297.579330876","138.84","4.56","1","2","0","5","5","5","5","1",
"17","소독업","09_30_11_P","3250000","PHMB520113250021042500002","20110822","","01","영업/정상","13","영업중","","","","","051-205-9650","","","","부산광역시 중구 초량상로5번길 8, 3층 (영주동)","48910","청정네이죤","20180208150447","I","2018-08-31 23:59:59.0","","385433.153588566","181201.167083012","29.02","12.38","1","2","1","5","5","5","5","1",
"18","소독업","09_30_11_P","3250000","PHMB520033250021042500001","20040824","","01","영업/정상","13","영업중","","","","","051-464-2626","","600715","부산광역시 중구 중앙동4가 79번지 1호 마린센터빌딩","부산광역시 중구 충장대로9번길 52 (중앙동4가,마린센터빌딩)","","(주)범양기업","20170420151207","I","2018-08-31 23:59:59.0","","385825.756707547","180869.292984843","185.79","19.8","1","2","1","5","5","5","5","1",
"19","소독업","09_30_11_P","3250000","PHMB520053250021042500001","20050620","","01","영업/정상","13","영업중","","","","","051-464-2535~6","","600715","부산광역시 중구 중앙동4가 79번지 1호 마린센터 지하1 109호","부산광역시 중구 충장대로9번길 52 (중앙동4가)","48936","(주)백경","20201207132924","U","2020-12-09 02:40:00.0","","385825.756707547","180869.292984843","80.23","16.5","1","2","1","5","5","5","5","1",
"20","소독업","09_30_11_P","3250000","PHMB520063250021042500001","20060406","","01","영업/정상","13","영업중","","","","","051-462-9500","","600816","부산광역시 중구 중앙동4가 78번지 24호 대림빌딩 203호","부산광역시 중구 중앙대로132번길 7 (중앙동4가)","48936","(주)하나기업","20170420150539","I","2018-08-31 23:59:59.0","","385750.663036562","180786.918635816","73.04","6.29","1","2","1","5","5","5","5","1",
"21","소독업","09_30_11_P","3250000","PHMB520143250021042500001","20141105","","01","영업/정상","13","영업중","","","","","051-468-0264","","600014","부산광역시 중구 중앙동4가 85번지 3호","부산광역시 중구  충장대로9번길  22 (중앙동4가)","48938","(주)공정한기업","20170420144315","I","2018-08-31 23:59:59.0","","385724.319576287","180589.309934345","75.9","42.9","1","2","1","5","5","5","5","1",
"22","소독업","09_30_11_P","3250000","PHMB520153250021042500002","20151209","","01","영업/정상","13","영업중","","","","","051-998-6234","","","","부산광역시 중구 대영로 213, 지하1호 (영주동)","48910","주식회사 코리아비엠씨","20170420150740","I","2018-08-31 23:59:59.0","","385385.797145415","181155.165823209","16","13","1","2","0","3","5","5","5","1",
"23","소독업","09_30_11_P","3250000","PHMB520163250021042500001","20160219","","01","영업/정상","13","영업중","","","","","051-951-2804","","","부산광역시 중구 영주동 68번지 5호 로얄플러스 빌라, 지층 일부호","부산광역시 중구 중앙공원로 107, 지층 일부호 (영주동, 로얄플러스 빌라)","48900","행복드림 청소","20190107095525","U","2019-01-09 02:40:00.0","","384943.24973435","181343.498037911","49.75","20.32","1","2","0","3","5","5","5","1",
"24","소독업","09_30_11_P","3250000","PHMB520173250021042500001","20091030","","01","영업/정상","13","영업중","","","","","051-715-1550","","","부산광역시 중구 중앙동4가 36번지 14호 은산빌딩 1503호","부산광역시 중구 해관로 65, 은산빌딩 1503호 (중앙동4가)","48930","(주)재덕","20190514094050","U","2019-05-16 02:40:00.0","","385502.492319657","180297.579330876","138.8","8.25","1","2","1","5","5","5","5","1",
"25","소독업","09_30_11_P","3250000","PHMB520193250021042500002","20190812","","01","영업/정상","13","영업중","","","","","051-465-8548","","","부산광역시 중구 보수동3가 46-1","부산광역시 중구 보수대로 94, 2-49, 2-94호 (보수동3가)","48966","강남환경공사","20220117105810","U","2022-01-19 02:40:00.0","","384268.876610502","180213.752067668","15.5","26.94","2","2","0","4","5","5","5","1",
"26","소독업","09_30_11_P","3250000","PHMB520223250021042500001","20220105","","01","영업/정상","13","영업중","","","","","051-242-8810","","","부산광역시 중구 중앙동4가 40-19","부산광역시 중구 대청로135번길 15, 4층 (중앙동4가)","48928","하이진코리아","20220106105639","I","2022-01-08 00:22:40.0","","385445.376219908","180233.460462591","33.63","2.1","2","2","0","3","5","5","5","1",
"27","소독업","09_30_11_P","3250000","PHMB520203250021042500003","20200611","","01","영업/정상","13","영업중","","","","","","","","부산광역시 중구 영주동 601번지 영주시장 49호","부산광역시 중구 대영로242번길 3, 영주시장 49호 (영주동)","48922","주식회사 맑음","20200611145322","I","2020-06-14 00:23:33.0","","385670.483619122","181074.042663357","12","7.01","1","2","0","3","5","5","5","1",
"28","소독업","09_30_11_P","3250000","PHMB520203250021042500002","20200403","","01","영업/정상","13","영업중","","","","","","","","부산광역시 중구 보수동3가 46-1","부산광역시 중구 보수대로 94, 3-4호 (보수동3가)","48966","동네방역","20220117110817","U","2022-01-19 02:40:00.0","","384268.876610502","180213.752067668","42.98","42.98","2","2","0","7","5","5","5","1",
"29","소독업","09_30_11_P","3250000","PHMB520213250021042500006","20211025","","01","영업/정상","13","영업중","","","","","070-7576-0503","","","부산광역시 중구 중앙동6가 77","부산광역시 중구 중앙대로20번길 3, 401호, 405호 (중앙동6가)","48942","주식회사 수호코리아","20211101164723","U","2021-11-03 02:40:00.0","","385679.577503195","179727.739871882","54.32","5.45","1","2","0","3","5","5","5","1",
"30","소독업","09_30_11_P","3250000","PHMB520213250021042500004","20210901","","01","영업/정상","13","영업중","","","","","051-441-4414","","","부산광역시 중구 중앙동4가 81-30 202호","부산광역시 중구 중앙대로116번길 7-1, 202호 (중앙동4가)","48937","제일산업","20210901163757","I","2021-09-03 00:22:50.0","","385706.518481507","180641.661882715","48","21.7","1","2","0","5","5","5","5","1",
"31","소독업","09_30_11_P","3250000","PHMB520213250021042500005","20210901","","01","영업/정상","13","영업중","","","","","051-469-3683","","","부산광역시 중구 중앙동4가 81-11 203호","부산광역시 중구 충장대로5번길 36, 203호 (중앙동4가)","48937","그린F5 부산중앙본부","20210901173102","I","2021-09-03 00:22:50.0","","385700.499693029","180708.93015008","24","15","1","2","0","3","5","5","5","1",
"32","소독업","09_30_11_P","3250000","PHMB520213250021042500003","20210702","","01","영업/정상","13","영업중","","","","","051-245-5529","","","부산광역시 중구 신창동2가 36","부산광역시 중구 광복로39번길 37, 3층, 4층 일부호 (신창동2가)","48946","벌레잡는 총각들","20210702140554","I","2021-07-04 00:22:53.0","","384933.834539616","180048.163914637","203.34","13.5","1","2","0","3","5","5","5","1",
"33","소독업","09_30_11_P","3250000","PHMB520203250021042500004","20201026","","01","영업/정상","13","영업중","","","","","","","","부산광역시 중구 신창동1가 6-1","부산광역시 중구 광복중앙로 21, 302호, 310호 (신창동1가)","48948","제일소독방역","20220304103419","U","2022-03-10 02:40:00.0","","385088.748297386","179881.094288667","19.3","26","1","2","0","3","5","5","5","1",
"34","소독업","09_30_11_P","3250000","PHMB520203250021042500005","20201204","","01","영업/정상","13","영업중","","","","","070-7576-0559","","","","부산광역시 중구 중앙대로 44, 흥국생명빌딩 2층 (중앙동5가)","48942","K-1 크린케어","20210325104259","U","2021-03-27 02:40:00.0","","385645.870360595","179942.948260868","102.67","4.14","1","2","0","3","5","5","5","1",
"35","소독업","09_30_11_P","3260000","PHMB520073260022042500001","20070212","","02","휴업","02","휴업","","20140928","20150928","","243-7114","","602071","부산광역시 서구 부민동1가 2번지 3호","부산광역시 서구 구덕로226번길 9 (부민동1가)","","창승이엔지","20140926120143","I","2018-08-31 23:59:59.0","","384162.7621038","180299.003265813","112.05","56.02","1","2","1","5","5","5","5","1",
"36","소독업","09_30_11_P","3260000","PHMB519983260022042500001","19980525","","03","폐업","03","폐업","20191001","","","","257-0349","","602020","부산광역시 서구 남부민동 691번지","부산광역시 서구 충무대로 226 (남부민동)","","부산공동어시장방역","20191001140659","U","2019-10-03 02:40:00.0","","384601.298834873","178738.695545512","","","1","2","1","5","5","5","5","1",
"37","소독업","09_30_11_P","3260000","PHMB520033260022042500001","20060614","","03","폐업","03","폐업","20090907","","","","","","602815","부산광역시 서구 부민동1가 2번지 3호","부산광역시 서구 구덕로226번길 9 (부민동1가)","","고려종합개발(주)","20151229113546","I","2018-08-31 23:59:59.0","","384162.7621038","180299.003265813","","","1","2","1","5","5","5","5","1",
"38","소독업","09_30_11_P","3260000","PHMB520083260022042500002","20080731","","03","폐업","03","폐업","20091103","","","","","","","","부산광역시 서구 해돋이로 162 (남부민동)","602800","뉴서울환경산업","20131224140555","I","2018-08-31 23:59:59.0","","384080.399977907","178849.102444263","16.95","14.19","1","2","1","5","5","5","5","1",
"39","소독업","09_30_11_P","3260000","PHMB520093260022042500001","20090805","","03","폐업","03","폐업","20101222","","","","","","602020","부산광역시 서구 남부민동 22번지 107호","부산광역시 서구 해돋이로 162-1 (남부민동)","","서울환경산업","20110103133140","I","2018-08-31 23:59:59.0","","384066.657476828","178857.005906681","","","1","2","1","5","5","5","5","1",
"40","소독업","09_30_11_P","3260000","PHMB520143260022042500002","20140522","","03","폐업","03","폐업","20150731","","","","051)241-5607","","","","부산광역시 서구 구덕로226번길 9 (부민동1가)","602815","(주)선진기업개발","20150731151126","I","2018-08-31 23:59:59.0","","384162.7621038","180299.003265813","","","1","2","1","5","5","5","5","1",
"41","소독업","09_30_11_P","3260000","PHMB520163260022042500003","20161223","","03","폐업","03","폐업","20170523","","","","","","","","부산광역시 서구 감천로 227, 2층 (암남동)","49266","성일환경","20170523162955","I","2018-08-31 23:59:59.0","","383482.256250702","177755.553765758","30","18","1","3","0","3","5","5","5","3",
"42","소독업","09_30_11_P","3260000","PHMB520043260022042500001","20040223","","01","영업/정상","13","영업중","","","","","242-6667","","","","부산광역시 서구 충무대로 264 (충무동1가)","49254","미창티에스(주)","20190620112922","U","2019-06-22 02:40:00.0","","384520.498488794","179103.269389099","65.6","17.6","1","2","1","5","5","5","5","1",
"43","소독업","09_30_11_P","3260000","PHMB520063260022042500001","20060614","","01","영업/정상","13","영업중","","","","","900-4577","","602030","부산광역시 서구 암남동 64번지 2호","부산광역시 서구 감천로 271 (암남동)","49265","진성방역환경","20190102102241","U","2019-01-04 02:40:00.0","","383903.787413647","177661.594928261","60","26.76","1","2","1","5","5","5","5","1",
"44","소독업","09_30_11_P","3260000","PHMB520063260022042500002","20060801","","01","영업/정상","13","영업중","","","","","248-0207","","602020","부산광역시 서구 남부민동 693번지 1호 모피고빌딩208","부산광역시 서구 충무대로 170 (남부민동,모피고빌딩208)","","대한방역","20090223135326","I","2018-08-31 23:59:59.0","","384621.969481241","178074.745933665","","","1","2","1","5","5","5","5","1",
"45","소독업","09_30_11_P","3260000","PHMB520083260022042500001","20130801","","01","영업/정상","13","영업중","","","","","255-1533","","","부산광역시 서구 부민동1가 16번지 8호 명보빌딩","부산광역시 서구 구덕로 216, 명보빌딩 8층 (부민동1가)","49223","(주)삼성보안공사","20181012160452","U","2018-10-12 23:59:59.0","","384139.239796909","180176.817868282","207.12","20","1","2","1","5","5","5","5","1",
"46","소독업","09_30_11_P","3260000","PHMB520103260022042500001","20100121","","01","영업/정상","13","영업중","","","","","","","602093","부산광역시 서구 서대신동3가 448번지 향군회관 201호","부산광역시 서구 구덕로327번길 61 (서대신동3가,향군회관 201호)","","주)에이스","20150723161342","I","2018-08-31 23:59:59.0","","383476.002944973","181039.869631008","","","1","2","1","5","5","5","5","1",
"47","소독업","09_30_11_P","3260000","PHMB520113260022042500001","20110131","","01","영업/정상","13","영업중","","","","","051-231-3376","","","부산광역시 서구 아미동2가 74번지 1호","부산광역시 서구 까치고개로208번길 26-1, 1층 (아미동2가)","49245","(주)행복드림스","20170925093345","I","2018-08-31 23:59:59.0","","383963.032726214","179590.025187831","19.76","10.64","1","2","1","5","5","5","5","1",
"48","소독업","09_30_11_P","3260000","PHMB520113260022042500002","20110302","","01","영업/정상","13","영업중","","","","","256-3366","","602101","부산광역시 서구 동대신동1가 121번지 1호","부산광역시 서구 대영로 78 (동대신동1가)","","주)에스엠코리아","20110309100342","I","2018-08-31 23:59:59.0","","384051.596994969","180876.692490468","78","20","1","2","1","5","5","5","5","1",
"49","소독업","09_30_11_P","3260000","PHMB520113260022042500003","20110321","","01","영업/정상","13","영업중","","","","","","","","","부산광역시 서구 꽃마을로 43, 3층 304호 (서대신동3가, 남성한빛가든)","49207","그린존","20170814095746","I","2018-08-31 23:59:59.0","","383259.412069714","181678.653570702","94","61","1","2","1","5","5","5","5","1",
"50","소독업","09_30_11_P","3260000","PHMB520133260022042500001","20130802","","01","영업/정상","13","영업중","","","","","","","602819","부산광역시 서구 서대신동2가 117번지","부산광역시 서구 구덕로295번길 15 (서대신동2가)","","신일방역","20130805110958","I","2018-08-31 23:59:59.0","","383882.65691600000","181171.09493100000","22.11","11.11","1","2","1","5","5","5","5","1",
"51","소독업","09_30_11_P","3260000","PHMB520153260022042500001","20150420","","01","영업/정상","13","영업중","","","","","051-231-1123","","","부산광역시 서구 부민동1가 16번지 8호 명보빌딩","부산광역시 서구 구덕로 216, 명보빌딩 지하 1층 (부민동1가)","49223","주식회사 엠케이에스앤씨(MK S&C)","20201127180520","U","2020-11-29 02:40:00.0","","384139.239796909","180176.817868282","33.06","20","1","2","0","3","5","5","5","1",
"52","소독업","09_30_11_P","3260000","PHMB520163260022042500001","20160223","","01","영업/정상","13","영업중","","","","","051 231 0980","","","","부산광역시 서구 구덕로305번길 56-2 (서대신동2가)","49227","주식회사 블루환경","20180716135726","I","2018-08-31 23:59:59.0","","383581.224313003","180885.702122474","43","23","1","2","0","3","5","5","5","1",
"53","소독업","09_30_11_P","3260000","PHMB520163260022042500002","20160412","","01","영업/정상","13","영업중","","","","","","","","","부산광역시 서구 구덕로280번길 17 (동대신동1가, 세용빌라)","49218","가람솔 부산","20170808103028","I","2018-08-31 23:59:59.0","","384046.153294706","180798.882499279","","","1","2","0","3","5","5","5","1",
"54","소독업","09_30_11_P","3260000","PHMB520173260022042500002","20170706","","01","영업/정상","13","영업중","","","","","","","","부산광역시 서구 남부민동 442번지 2호","부산광역시 서구 천마로77번길 9-1 (남부민동)","49262","로취방역119","20170706172824","I","2018-08-31 23:59:59.0","","384104.578863388","177909.512090216","49.14","92.62","1","2","0","3","5","5","5","1",
"55","소독업","09_30_11_P","3260000","PHMB520173260022042500003","20150205","","01","영업/정상","13","영업중","","","","","583-8759","","","부산광역시 서구 토성동5가 23번지 8호","부산광역시 서구 구덕로 146, 3층 302호 (토성동5가)","49246","레드존 소독방역","20200610091832","U","2020-06-12 02:40:00.0","","384211.802677536","179522.602158443","40","26","1","2","1","5","5","5","5","1",
"56","소독업","09_30_11_P","3260000","PHMB520223260022042500001","20220302","","01","영업/정상","13","영업중","","","","","","","","","부산광역시 서구 보수대로 279-4, 102-2호 (서대신동3가)","49203","주식회사 더포스인","20220302182939","I","2022-03-04 00:22:37.0","","","","50","4","1","2","0","3","5","5","5","1",
"57","소독업","09_30_11_P","3260000","PHMB520203260022042500001","20200304","","01","영업/정상","13","영업중","","","","","","","","부산광역시 서구 초장동 54번지 8호","부산광역시 서구 구덕로 151, 3층 (초장동)","49245","(주)함께하는","20200304160533","I","2020-03-06 00:23:23.0","","384144.921285716","179537.065690201","111.83","33.3","1","2","0","3","5","5","5","1",
"58","소독업","09_30_11_P","3260000","PHMB520203260022042500002","20200402","","01","영업/정상","13","영업중","","","","","","","","부산광역시 서구 동대신동3가 319번지 2호","부산광역시 서구 대영로85번길 83 (동대신동3가)","49212","유엔(UN)항공 환경연합","20200402170451","I","2020-04-04 00:23:22.0","","383949.157824477","181347.587403385","14","10","1","2","0","3","5","5","5","1",
"59","소독업","09_30_11_P","3260000","PHMB520203260022042500003","20200702","","01","영업/정상","13","영업중","","","","","","","","","부산광역시 서구 충무대로 154, 301호 (남부민동)","49255","(사)생명푸드셰어링","20210428170107","U","2021-04-30 02:40:00.0","","384618.721627185","178019.526149582","31.59","3.61","1","2","0","3","5","5","5","1",
"60","소독업","09_30_11_P","3260000","PHMB520213260022042500001","20210210","","01","영업/정상","13","영업중","","","","","051-255-6500","","","부산광역시 서구 암남동 353-5","부산광역시 서구 충무대로 12, 3층 (암남동)","49269","(주)비피에스","20210210094316","I","2021-02-12 00:23:02.0","","383834.820594473","177153.88497793","41.56","10.43","1","2","0","3","5","5","5","1",
"61","소독업","09_30_11_P","3260000","PHMB520203260022042500004","20201216","","01","영업/정상","13","영업중","","","","","051-254-7314","","","부산광역시 서구 충무동2가 4-26","부산광역시 서구 충무대로267번길 18, 1층 (충무동2가)","49253","충무동 골목시장 상인회 자율 방역단","20201222092940","U","2020-12-24 02:40:00.0","","384413.099523959","179162.630816031","15.27","6.38","1","2","0","3","5","5","5","1",
"62","소독업","09_30_11_P","3260000","PHMB520223260022042500002","20220428","","01","영업/정상","13","영업중","","","","","","","","부산광역시 서구 부민동3가 76 부민 이 편한세상 상가","부산광역시 서구 해돋이로 309, 부민 이 편한세상 상가 111동 3층 301호 (부민동3가)","49239","(주)키웨스트글로벌","20220428171205","I","2022-04-30 00:22:32.0","","383741.256791835","180187.026514349","0","0","1","2","0","3","5","5","5","1",
"63","소독업","09_30_11_P","3270000","PHMB520163270022042500003","20160720","","02","휴업","02","휴업","","20180618","20190618","","051-461-0315","","","부산광역시 동구 초량동 1191번지 1호","부산광역시 동구 중앙대로248번길 3-11, 300호 (초량동, 해양빌딩)","48732","녹색환경","20180618163809","I","2018-08-31 23:59:59.0","","386142.289868847","181963.147062107","46.2","23.1","1","2","0","3","5","5","5","1",
"64","소독업","09_30_11_P","3270000","PHMB520033270022042500003","20120727","","03","폐업","03","폐업","20120727","","","","467-8312","","601836","부산광역시 동구 초량3동 1144번지 6호","부산광역시 동구 중앙대로 313 (초량동)","601836","주)세호종합관리","20120813133526","I","2018-08-31 23:59:59.0","","386289.614322333","182521.735585997","58","16","1","2","1","5","5","5","5","1",
"65","소독업","09_30_11_P","3270000","PHMB520053270022042500001","20050314","","03","폐업","03","폐업","20170508","","","","","","601817","부산광역시 동구 수정동 925번지 22호","부산광역시 동구 수정공원로 29-1 (수정동)","48709","수정환경","20170508153550","I","2018-08-31 23:59:59.0","","385817.392092846","183058.631789086","29","58","1","2","1","5","5","5","5","1",
"66","소독업","09_30_11_P","3270000","PHMB520063270022042500001","20060629","","03","폐업","03","폐업","20090917","","","","637-3700","","601062","부산광역시 동구 범일동 833번지 36호","부산광역시 동구 조방로49번길 18 (범일동)","","주)청람","20090917135755","I","2018-08-31 23:59:59.0","","387669.55322675","184175.49076279","96","13","1","2","1","5","5","5","5","1",
"67","소독업","09_30_11_P","3270000","PHMB520063270022042500002","20060913","","03","폐업","03","폐업","20160219","","","","465-4004","","601011","부산광역시 동구 초량동 1213번지 22호","부산광역시 동구 중앙대로180번길 12-13 (초량동)","48822","동화기업(주)","20160219164628","I","2018-08-31 23:59:59.0","","385898.962832744","181123.272028802","101","34","1","2","1","5","5","5","5","1",
"68","소독업","09_30_11_P","3270000","PHMB520073270022042500001","20070130","","03","폐업","03","폐업","20191219","","","","441-9955","","601013","부산광역시 동구 초량동 1150번지 3호","부산광역시 동구 중앙대로332번길 7-8 (초량동)","48729","주)국제안전관리","20191219134155","U","2019-12-21 02:40:00.0","","386504.619122908","182659.497508451","33","22","1","2","1","5","5","5","5","1",
"69","소독업","09_30_11_P","3270000","PHMB520083270022042500001","20080114","","03","폐업","03","폐업","20140523","","","","462-1466","","601010","부산광역시 동구 초량동 754번지 149호","부산광역시 동구 홍곡남로 54-1 (초량동)","601010","부산동구지역자활센터","20140523144948","I","2018-08-31 23:59:59.0","","385425.731979508","182646.925014671","162","22","1","2","1","5","5","5","5","1",
"70","소독업","09_30_11_P","3270000","PHMB520133270022042500001","20130514","","03","폐업","03","폐업","20181023","","","","","","","부산광역시 동구 범일동 830번지 62호","부산광역시 동구 범일로90번길 17 (범일동, 국제관광호텔)","48744","청결구역","20181023151344","U","2018-10-25 02:37:46.0","","387823.717928121","184076.481374503","60","10","1","2","1","5","5","5","5","1",
"71","소독업","09_30_11_P","3270000","PHMB520133270022042500003","20130911","","03","폐업","03","폐업","20180920","","","","051-468-9996","","601830","부산광역시 동구 초량동 1014번지 1호","부산광역시 동구 초량상로 58 (초량동)","48817","한미종합환경","20180921091253","U","2018-09-21 23:59:59.0","","385668.502112151","181660.548785177","","","1","2","1","5","5","5","5","1",
"72","소독업","09_30_11_P","3270000","PHMB520163270022042500002","20160627","","03","폐업","03","폐업","20160627","","","","051-462-3319","","","부산광역시 동구 초량동 1196번지 7호","부산광역시 동구 중앙대로226번길 7-2, 303호 (초량동, 해송빌딩)","48733","CE","20160630102326","I","2018-08-31 23:59:59.0","","386094.907225426","181664.225059388","41","25","1","2","0","3","5","5","5","1",
