"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","의료기관종별명","의료인수","입원실수","병상수","총면적","진료과목내용","진료과목내용명","지정취소일자","완화의료지정형태","완화의료담당부서명","구급차특수","구급차일반","총인원","구조사수","허가병상수","최초지정일자",
"11","의원","01_01_02_P","3250000","PHMA119843250021041100001","19840303","","03","폐업","03","폐업","20191029","","","","051-245-3565","","","부산광역시 중구 부평동 2가 75-8","부산광역시 중구 흑교로 28-3 (부평동2가)","48977","장수웅산부인과의원","20191029133658","U","2019-10-31 02:40:00.0","의원","384600.843272529","179984.883438975","의원","1","0","0","71.27","110","산부인과","","","","0","0","","","0","",
"12","의원","01_01_02_P","3250000","PHMA119903250021041100002","19900420","","03","폐업","03","폐업","20130405","","","","051-466-2875","","","부산광역시 중구 영주1동 58-12","부산광역시 중구 대영로 221 (영주동)","600811","하얀미소치과의원","20130405100351","I","2018-08-31 23:59:59.0","치과의원","385450.373776195","181142.791312511","치과의원","1","0","0","0","200 401","치과","","","","0","0","","","0","",
"13","의원","01_01_02_P","3250000","PHMA119933250021041100005","19931119","","03","폐업","03","폐업","20111028","","","","051-463-0068","","","부산광역시 중구 대창동 2가 14-5","부산광역시 중구 중구로43번길 31 (부평동2가)","600806","충무의원","20111031172655","I","2018-08-31 23:59:59.0","의원","384675.377361376","179945.86441774","의원","1","0","0","0","101","내과","","","","0","0","","","0","",
"14","의원","01_01_02_P","3250000","PHMA119943250021041100004","19941201","","03","폐업","03","폐업","20181008","","","","051-462-0875","","","부산광역시 중구 중앙동 3가 12-3","부산광역시 중구 40계단길 10 (중앙동3가)","48931","김성훈치과의원","20181008155521","U","2018-10-10 02:35:30.0","치과의원","385510.862776232","180201.349002272","치과의원","1","0","0","0","200 401","치과","","","","0","0","","","0","",
"15","의원","01_01_02_P","3250000","PHMA120103250021041100003","20100402","","03","폐업","03","폐업","20120727","","","","051-244-2288","","600082","부산광역시 중구 보수동2가 118번지 3호","부산광역시 중구 흑교로45번길 7 (보수동2가)","600082","의료법인 안아픈마을 장사랑의원","20120727174307","I","2018-08-31 23:59:59.0","의원","384480.94814176","180127.143198464","의원","2","0","0","291.78","101 122 111 114 105 110","내과, 정형외과, 산부인과, 소아청소년과, 피부과, 가정의학과","","","","0","0","","","0","",
"16","의원","01_01_02_P","3250000","PHMA120103250021041100004","20100409","","03","폐업","03","폐업","20100702","","","","051-246-7713","","600031","부산광역시 중구 광복동1가 32번지 1호","부산광역시 중구 광복로 93 (광복동1가)","600031","SM준의원","20120116092432","I","2018-08-31 23:59:59.0","의원","385491.547700689","179644.036940363","의원","1","0","0","252.04","114 122","피부과, 가정의학과","","","","0","0","","","0","",
"17","의원","01_01_02_P","3250000","PHMA120093250021041100005","20091216","","03","폐업","03","폐업","20131231","","","","051-231-2801","","600044","부산광역시 중구 남포동4가 2번지 1호 , 6, 7","부산광역시 중구 구덕로34번길 3 (남포동4가)","600044","수성치과의원","20131231103907","I","2018-08-31 23:59:59.0","치과의원","385216.441752659","179573.599376686","치과의원","1","0","0","87.74","401","치과","","","","0","0","","","0","",
"18","의원","01_01_02_P","3250000","PHMA120103250021041100001","20100108","","03","폐업","03","폐업","20180723","","","","245-7475","","600031","부산광역시 중구 광복동1가 32번지 1호","부산광역시 중구 광복로 93 (광복동1가)","48952","메디스치과의원","20180723141754","I","2018-08-31 23:59:59.0","치과의원","385491.547700689","179644.036940363","치과의원","2","0","0","252.04","401","치과","","","","0","0","","","0","",
"19","의원","01_01_02_P","3250000","PHMA120103250021041100002","20100203","","03","폐업","03","폐업","20100408","","","","051-246-7713","","600031","부산광역시 중구 광복동1가 32번지 1호","부산광역시 중구 광복로 93 (광복동1가)","","SM준의원","20100408151304","I","2018-08-31 23:59:59.0","의원","385491.547700689","179644.036940363","의원","1","0","0","252.04","108 114","성형외과, 피부과","","","","0","0","","","0","",
"20","의원","01_01_02_P","3250000","PHMA119873250021041100003","19870407","","03","폐업","03","폐업","20130531","","","","051-243-5600","","","부산광역시 중구 보수동 1가 26-2","부산광역시 중구 흑교로 82 (보수동1가)","600802","정영선내과의원","20130614092335","I","2018-08-31 23:59:59.0","의원","384412.992480234","180471.768292825","의원","1","4","4","0","101","내과","","","","0","0","","","0","",
"21","의원","01_01_02_P","3250000","PHMA119883250021041100001","19880411","","03","폐업","03","폐업","20201114","","","","051-256-5555","","","부산광역시 중구 보수동 2가 116-19","부산광역시 중구 대청로 41-1 (보수동2가)","48964","대인당한의원","20210215181715","U","2021-02-17 02:40:00.0","한의원","384520.303872466","180124.826896841","한의원","1","0","0","0","301","한방내과","","","","0","0","","","0","",
"22","의원","01_01_02_P","3250000","PHMA119883250021041100002","19880609","","03","폐업","03","폐업","20081215","","","","051-469-1170","","","부산광역시 중구 영주동 556-11","부산광역시 중구 대영로224번길 6 (영주동)","600111","영주치과의원","20120126161125","I","2018-08-31 23:59:59.0","치과의원","385459.232727556","181051.785656479","치과의원","1","0","0","0","200 401","치과","","","","0","0","","","0","",
"23","의원","01_01_02_P","3250000","PHMA120093250021041100001","20090601","","03","폐업","03","폐업","20110829","","","","051-469-6700","","600014","부산광역시 중구 중앙동4가 89번지 14호","부산광역시 중구 중앙대로 88 (중앙동4가)","600723","중앙의원","20120116093120","I","2018-08-31 23:59:59.0","의원","385616.660201449","180406.241287734","의원","2","0","0","391.93","101 116 118 119 109","내과, 마취통증의학과, 영상의학과, 병리과, 진단검사의학과","","","","0","0","","","0","",
"24","의원","01_01_02_P","3250000","PHMA120103250021041100009","20100824","","03","폐업","03","폐업","20170720","","","","678-4210","","600017","부산광역시 중구 중앙동7가 20번지 1호 외 110필지 롯데백화점신관9층","부산광역시 중구 중앙대로 2 (중앙동7가)","48944","제세한의원부산광복점","20170720171616","I","2018-08-31 23:59:59.0","한의원","385590.814676765","179553.867031936","한의원","1","0","0","255.9","301 302 303 306 305 304 307 308","한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과","","","","0","0","","","0","",
"25","의원","01_01_02_P","3250000","PHMA120113250021041100011","20111031","","03","폐업","03","폐업","20121029","","","","051)802-6611","","600102","부산광역시 중구 대창동2가 10번지 1호","부산광역시 중구 중앙대로 155 (대창동2가)","600102","세광의원","20130124153000","I","2018-08-31 23:59:59.0","의원","385701.535116676","181043.406829937","의원","1","0","0","165","110 122 114 108","성형외과, 산부인과, 피부과, 가정의학과","","","","0","0","","","0","",
"26","의원","01_01_02_P","3250000","PHMA120113250021041100001","20110324","","03","폐업","03","폐업","20150324","","","","051-245-2453","","600045","부산광역시 중구 남포동5가 40번지","부산광역시 중구 구덕로 67-1 (남포동5가)","600045","자갈치한의원","20150324085639","I","2018-08-31 23:59:59.0","한의원","384889.247386815","179490.560472097","한의원","2","0","0","78.5","301 304 307 308 305 302 303 306","한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과","","","","0","0","","","0","",
"27","의원","01_01_02_P","3250000","PHMA120113250021041100002","20110331","","03","폐업","03","폐업","20210531","","","","051-256-7510","","600061","부산광역시 중구 신창동1가 38번지 1호","부산광역시 중구 광복로49번길 35 (신창동1가)","48947","운정한의원","20210531174738","U","2021-06-02 02:40:00.0","한의원","385043.41561008","180028.057749239","한의원","1","0","0","165.61","301 302 303 304 305 306 308","한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 침구과","","","","0","0","","","0","",
"28","의원","01_01_02_P","3250000","PHMA120113250021041100005","20110523","","03","폐업","03","폐업","20190304","","","","241-1311","","600046","부산광역시 중구 남포동6가 63번지  3층","부산광역시 중구 구덕로 90 (남포동6가)","48981","경희백가동진한의원","20190304171632","U","2019-03-06 02:40:00.0","한의원","384670.317658138","179489.435069922","한의원","1","0","0","336.8","301 304 307 308 305 302 303 306","한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과","","","","0","0","","","0","",
"29","의원","01_01_02_P","3250000","PHMA120113250021041100006","20110826","","03","폐업","03","폐업","20150720","","","","051-241-2314","","600031","부산광역시 중구 광복동1가 40번지 2호 서주빌딩8층801호","부산광역시 중구 구덕로 4 (광복동1가)","600031","바다성형외과의원","20150720111409","I","2018-08-31 23:59:59.0","의원","385501.729426711","179586.896774275","의원","1","0","1","220","108","성형외과","","","","0","0","","","0","",
"30","의원","01_01_02_P","3250000","PHMA120113250021041100008","20110923","","03","폐업","03","폐업","20120801","","","","469.6700","","600014","부산광역시 중구 중앙동4가 89번지 14호 정석빌딩3층","부산광역시 중구 중앙대로 88 (중앙동4가)","600723","중앙의원","20120801162536","I","2018-08-31 23:59:59.0","의원","385616.660201449","180406.241287734","의원","1","0","0","284","101 122 116 119 114 115 110","내과, 산부인과, 피부과, 비뇨의학과, 영상의학과, 진단검사의학과, 가정의학과","","","","0","0","","","0","",
"31","의원","01_01_02_P","3250000","PHMA120113250021041100010","20111013","","03","폐업","03","폐업","20151210","","","","242-7222, 552-8093","","600045","부산광역시 중구 남포동5가 83번지 2호 2층","부산광역시 중구 자갈치로 45 (남포동5가)","48983","고래신경외과의원","20151210121830","I","2018-08-31 23:59:59.0","의원","384956.383057363","179461.744559469","의원","2","0","0","122.3","101 105 106 120 109 112","내과, 정형외과, 신경외과, 마취통증의학과, 안과, 재활의학과","","","","0","0","","","0","",
"32","의원","01_01_02_P","3250000","PHMA120123250021041100005","20120925","","03","폐업","03","폐업","20150128","","","","051)469-7999","","600016","부산광역시 중구 중앙동6가 70번지 1호","부산광역시 중구 중앙대로 24 (중앙동6가)","600016","나인의원","20150128093858","I","2018-08-31 23:59:59.0","의원","385662.277196875","179743.402544854","의원","1","0","0","280","101 104 111 122 114 115 108","내과, 외과, 성형외과, 소아청소년과, 피부과, 비뇨의학과, 가정의학과","","","","0","0","","","0","",
"33","의원","01_01_02_P","3250000","PHMA120123250021041100007","20121205","","03","폐업","03","폐업","20150317","","","","257-1875","","600806","부산광역시 중구 부평동2가 66번지 20호","부산광역시 중구 중구로33번길 45-1 (부평동2가)","600806","부평김치과의원","20150317113531","I","2018-08-31 23:59:59.0","치과의원","384600.682794041","179859.031611027","치과의원","1","0","0","75","401","치과","","","","0","0","","","0","",
"34","의원","01_01_02_P","3250000","PHMA120123250021041100008","20121206","","03","폐업","03","폐업","20130701","","","","256-7575","","600802","부산광역시 중구 보수동1가 91번지 1호","부산광역시 중구 흑교로52번길 6-1 (보수동1가)","600802","참사랑의원","20130701105451","I","2018-08-31 23:59:59.0","의원","384602.31343031","180221.362367371","의원","1","0","0","104","101 111 113 105","내과, 정형외과, 소아청소년과, 이비인후과","","","","0","0","","","0","",
"35","의원","01_01_02_P","3250000","PHMA120133250021041100002","20130529","","03","폐업","03","폐업","20210818","","","","0514662875","","600811","부산광역시 중구 영주동 58번지 12호","부산광역시 중구 대영로 221 (영주동)","48910","이쁜미소치과의원","20211005185034","U","2021-10-07 02:40:00.0","치과의원","385450.373776195","181142.791312511","치과의원","1","0","0","69.44","401","치과","","","","0","0","","","0","",
"36","의원","01_01_02_P","3250000","PHMA120113250021041100013","20111129","","03","폐업","03","폐업","20190821","","","","051-256-2875","","","부산광역시 중구 남포동2가 22번지 1호","부산광역시 중구 구덕로 40, 10층 (남포동2가)","48953","강플란트치과의원","20190821110657","U","2019-08-23 02:40:00.0","치과의원","385177.758639599","179602.537753132","치과의원","1","0","0","190","401","치과","","","","0","0","","","0","",
"37","의원","01_01_02_P","3250000","PHMA120123250021041100002","20120413","","03","폐업","03","폐업","20120828","","","","255-5530","","600031","부산광역시 중구 광복동1가 44번지 1호","부산광역시 중구 구덕로 8 (광복동1가)","600031","이수천 비뇨기과의원","20120828152310","I","2018-08-31 23:59:59.0","의원","385460.737174417","179570.702006175","의원","1","0","0","166.95","115 114","피부과, 비뇨의학과","","","","0","0","","","0","",
"38","의원","01_01_02_P","3250000","PHMA120123250021041100004","20120802","","03","폐업","03","폐업","20140102","","","","469-6700","","600723","부산광역시 중구 중앙동4가 89번지 14호","부산광역시 중구 중앙대로 88 (중앙동4가)","600723","(재)미래산업보건의료재단 중앙의원","20140117121831","I","2018-08-31 23:59:59.0","의원","385616.660201449","180406.241287734","의원","1","0","0","284","101 122 116 119 114 115","내과, 피부과, 비뇨의학과, 영상의학과, 진단검사의학과, 가정의학과","","","","0","0","","","0","",
"39","의원","01_01_02_P","3250000","PHMA120133250021041100003","20130904","","03","폐업","03","폐업","20150629","","","","051-244-7735","","600031","부산광역시 중구 광복동1가 36번지 1호","부산광역시 중구 광복로 95-2, 3층 (광복동1가)","600031","브이톡스의원","20150629141816","I","2018-08-31 23:59:59.0","의원","385519.163061895","179648.954684059","의원","0","0","0","143.98","108 114","성형외과, 피부과","","","","0","0","","","0","",
"40","의원","01_01_02_P","3250000","PHMA120133250021041100005","20131008","","03","폐업","03","폐업","20150311","","","","231-8277","","600807","부산광역시 중구 부평동2가 58번지 2호","부산광역시 중구 흑교로 6 (부평동2가)","600807","조은정형외과의원","20150311150327","I","2018-08-31 23:59:59.0","의원","384599.156761224","179746.243173324","의원","0","0","0","182.25","101 104 105 106 115 114 116","내과, 외과, 정형외과, 신경외과, 피부과, 비뇨의학과, 영상의학과","","","","0","0","","","0","",
"41","의원","01_01_02_P","3250000","PHMA120133250021041100007","20131213","","03","폐업","03","폐업","20210405","","","","244-7777","","600042","부산광역시 중구 남포동2가 25번지 10호","부산광역시 중구 구덕로34번길 4 (남포동2가)","48954","서울의원","20210405202531","U","2021-04-07 02:40:00.0","의원","385243.158543667","179580.295176299","의원","1","0","0","387.7","108 114","성형외과, 피부과","","","","0","0","","","0","",
"42","의원","01_01_02_P","3250000","PHMA120143250021041100001","20140113","","03","폐업","03","폐업","20140222","","","","051-469-6700","","600723","부산광역시 중구 중앙동4가 89번지 14호","부산광역시 중구 중앙대로 88, 3층 (중앙동4가)","600723","중앙의원","20140224145216","I","2018-08-31 23:59:59.0","의원","385616.660201449","180406.241287734","의원","1","0","0","391.93","101 122 116 118","내과, 영상의학과, 병리과, 가정의학과","","","","0","0","","","0","",
"43","의원","01_01_02_P","3250000","PHMA120053250021041100010","20051213","","03","폐업","03","폐업","20170703","","","","051-231-5555","","600071","부산광역시 중구 부평동1가 2번지 23호 , 3","부산광역시 중구 대청로 70 (부평동1가)","48978","좋은미래정형외과의원","20170703113456","I","2018-08-31 23:59:59.0","의원","384789.728119374","180075.052649317","의원","2","10","28","771.66","105","정형외과","","","","0","0","","","0","",
"44","의원","01_01_02_P","3250000","PHMA120053250021041100011","20051226","","03","폐업","03","폐업","20090312","","","","051-469-6700","","","부산광역시 중구 중앙동 4가 89-14","부산광역시 중구 중앙대로 88 (중앙동4가)","600814","중앙의원","20120116095455","I","2018-08-31 23:59:59.0","의원","385616.660201449","180406.241287734","의원","2","0","0","0","101","내과","","","","0","0","","","0","",
"45","의원","01_01_02_P","3250000","PHMA120063250021041100003","20060424","","03","폐업","03","폐업","20100604","","","","051-231-0078","","","부산광역시 중구 남포동 6가 63","부산광역시 중구 구덕로 90 (남포동6가)","600046","무지개마취통증의학과의원","20120116095221","I","2018-08-31 23:59:59.0","의원","384670.317658138","179489.435069922","의원","1","0","0","0","109","마취통증의학과","","","","0","0","","","0","",
"46","의원","01_01_02_P","3250000","PHMA120063250021041100005","20060615","","03","폐업","03","폐업","20130618","","","","051-244-2875","","","부산광역시 중구 부평동 3가 20-3","부산광역시 중구 흑교로 29 (부평동3가)","600808","다사랑치과의원","20130618152851","I","2018-08-31 23:59:59.0","치과의원","384565.895391479","179991.681715564","치과의원","1","0","0","0","200 401","치과","","","","0","0","","","0","",
"47","의원","01_01_02_P","3250000","PHMA120053250021041100001","20050112","","03","폐업","03","폐업","20150514","","","","051-254-4877","","","부산광역시 중구 남포동 6가 78-2","부산광역시 중구 구덕로 78-2 (남포동6가)","600046","미즈의원","20150514113035","I","2018-08-31 23:59:59.0","의원","","","의원","1","0","0","0","101","내과","","","","0","0","","","0","",
"48","의원","01_01_02_P","3250000","PHMA120053250021041100002","20050204","","03","폐업","03","폐업","20131030","","","","051-465-0503","","","부산광역시 중구 중앙동 3가 14-5","부산광역시 중구 대청로 141 (중앙동3가)","600013","조수현치과의원","20131030151653","I","2018-08-31 23:59:59.0","치과의원","385512.001378344","180112.453147653","치과의원","1","0","0","0","200 401","치과","","","","0","0","","","0","",
"49","의원","01_01_02_P","3250000","PHMA120053250021041100005","20050530","","03","폐업","03","폐업","20090602","","","","051-245-3660","","","부산광역시 중구 남포동 2가 25-10","부산광역시 중구 구덕로34번길 4 (남포동2가)","600042","김종철비뇨기과의원","20120116100949","I","2018-08-31 23:59:59.0","의원","385243.158543667","179580.295176299","의원","1","4","4","0","115","비뇨의학과","","","","0","0","","","0","",
"50","의원","01_01_02_P","3250000","PHMA120053250021041100006","20050623","","03","폐업","03","폐업","20180115","","","","051-247-2526","","600013","부산광역시 중구 중앙동3가 14번지 5호","부산광역시 중구 대청로 141 (중앙동3가)","48931","김성수치과의원","20180115161121","I","2018-08-31 23:59:59.0","치과의원","385512.001378344","180112.453147653","치과의원","1","0","0","93.29","200 401","치과","","","","0","0","","","0","",
"51","의원","01_01_02_P","3250000","PHMA119733250021041100006","19731015","","03","폐업","03","폐업","20180131","","","","051-469-5626","","","부산광역시 중구 대청동 3가 9-3","부산광역시 중구 대청로 85-1 (대청동3가)","48933","홍이비인후과의원","20180411103453","I","2018-08-31 23:59:59.0","의원","384960.311992146","180111.91841296","의원","2","0","0","0","113","이비인후과","","","","0","0","","","0","",
"52","의원","01_01_02_P","3250000","PHMA120153250021041100003","20150310","","03","폐업","03","폐업","20151104","","","","051-246-2135","","600031","부산광역시 중구 광복동1가 40번지 2호","부산광역시 중구 구덕로 4 (광복동1가)","48954","가든의원","20151104132615","I","2018-08-31 23:59:59.0","의원","385501.729426711","179586.896774275","의원","0","0","0","220.62","114 108","성형외과, 피부과","","","","0","0","","","0","",
"53","의원","01_01_02_P","3250000","PHMA120153250021041100005","20150508","","03","폐업","03","폐업","20180601","","","","051-714-0720","","600021","부산광역시 중구 동광동1가 15번지","부산광역시 중구 해관로 1 (동광동1가)","48955","온누리마취통증의학과의원","20180601112120","I","2018-08-31 23:59:59.0","의원","385548.213592069","179660.979270477","의원","2","0","0","455.58","101 102 111 109 122 120 105 114 115 112","내과, 신경과, 정형외과, 마취통증의학과, 소아청소년과, 안과, 피부과, 비뇨의학과, 재활의학과, 가정의학과","","","","0","0","","","0","",
"54","의원","01_01_02_P","3250000","PHMA119743250021041100001","19740319","","03","폐업","03","폐업","20090131","","","","051-245-3745","","","부산광역시 중구 부평동 1가 37-9","","","최홍주내과의원","20090129160030","I","2018-08-31 23:59:59.0","의원","","","의원","1","0","0","0","101","내과","","","","0","0","","","0","",
"55","의원","01_01_02_P","3250000","PHMA120153250021041100001","20150114","","03","폐업","03","폐업","20211206","","","","051-466-5504","","600811","부산광역시 중구 영주동 58번지 28호","부산광역시 중구 대영로 219 (영주동)","48910","참편한  의원","20211207140040","U","2021-12-09 02:40:00.0","의원","385437.601991835","181143.722067198","의원","2","0","0","167.04","101 104 111 109","내과, 외과, 마취통증의학과, 소아청소년과","","","","0","0","","","0","",
"56","의원","01_01_02_P","3250000","PHMA120153250021041100008","20150618","","03","폐업","03","폐업","20170529","","","","051-442-1919","","600016","부산광역시 중구 중앙동6가 12번지","부산광역시 중구 중앙대로 26 (중앙동6가)","48942","엠지에(MGS)선목안과의원","20170529094222","I","2018-08-31 23:59:59.0","의원","385666.280865059","179774.158396281","의원","2","0","0","280.72","112","안과","","","","0","0","","","0","",
"57","의원","01_01_02_P","3250000","PHMA120163250021041100001","20160518","","03","폐업","03","폐업","20210801","","","","051-256-5501","","","부산광역시 중구 남포동6가 85번지","부산광역시 중구 비프광장로 20, 5층 (남포동6가)","48981","리노보의원","20210802171837","U","2021-08-04 02:40:00.0","의원","384819.053111578","179587.403632584","의원","1","0","0","550.13","114 108","성형외과, 피부과","","","","0","0","","","0","",
"58","의원","01_01_02_P","3250000","PHMA120173250021041100003","20170613","","03","폐업","03","폐업","20171109","","","","051-231-5378","","","","부산광역시 중구 구덕로34번길 3 (남포동4가)","48953","남포의원","20171109145046","I","2018-08-31 23:59:59.0","의원","385216.441752659","179573.599376686","의원","1","0","0","87.74","122 115 114 111 105 104 101","내과, 외과, 정형외과, 소아청소년과, 피부과, 비뇨의학과, 가정의학과","","","","0","0","","","0","",
"59","의원","01_01_02_P","3250000","PHMA119763250021041100001","19760326","","03","폐업","03","폐업","20170523","","","","051-248-3355","","600045","부산광역시 중구 남포동5가 38번지 2호 , 3 , 39-8","부산광역시 중구 구덕로 68 (남포동5가)","48953","문효중피부비뇨기과의원","20170523182354","I","2018-08-31 23:59:59.0","의원","384879.281801482","179547.469564077","의원","1","3","5","0","114 115","피부과, 비뇨의학과","","","","0","0","","","0","",
"60","의원","01_01_02_P","3250000","PHMA120063250021041100010","20061031","","03","폐업","03","폐업","20100712","","","","051-245-8600","","","부산광역시 중구 남포동 5가 104-1","부산광역시 중구 자갈치로48번길 3 (남포동5가)","600712","흰돌의료소비자협동조합참좋은한의원","20120116094403","I","2018-08-31 23:59:59.0","한의원","385024.485375473","179430.059989821","한의원","1","0","0","37.28","301","한방내과","","","","0","0","","","0","",
"61","의원","01_01_02_P","3250000","PHMA120063250021041100011","20061110","","03","폐업","03","폐업","20120626","","","","051-245-8600","","","부산광역시 중구 남포동 5가 104-1","부산광역시 중구 자갈치로48번길 3 (남포동5가)","600045","흰돌의료소비자생활협동조합참좋은의원","20121031100730","I","2018-08-31 23:59:59.0","의원","385024.485375473","179430.059989821","의원","2","6","29","309.72","101 104 114 115 120 105 113","내과, 외과, 정형외과, 이비인후과, 피부과, 비뇨의학과, 재활의학과","","","","0","0","","","0","",
"62","의원","01_01_02_P","3250000","PHMA120073250021041100001","20070424","","03","폐업","03","폐업","20100830","","","","051-202-8900","","","부산광역시 중구 남포동 2가 22-1","부산광역시 중구 구덕로 40 (남포동2가)","600042","월드치과의원","20140527171721","I","2018-08-31 23:59:59.0","치과의원","385249.36404800000","179906.63944100000","치과의원","1","0","0","0","200 401","치과","","","","0","0","","","0","",
"63","의원","01_01_02_P","3250000","PHMA120073250021041100003","20070806","","03","폐업","03","폐업","20090601","20090120","20090331","","051-242-1021","","","부산광역시 중구 부평동 2가 69-4","부산광역시 중구 중구로39번길 46 (부평동2가)","600806","해림재단 우리의원","20120116093702","I","2018-08-31 23:59:59.0","의원","384602.070212788","179921.031045508","의원","1","0","0","0","101","내과","","","","0","0","","","0","",
"64","의원","01_01_02_P","3250000","PHMA119673250021041100001","19670802","","03","폐업","03","폐업","20090105","","","","051-246-2911","","","부산광역시 중구 남포동 6가 70-2","","","동산의원","20090105143007","I","2018-08-31 23:59:59.0","의원","","","의원","1","0","0","0","101","내과","","","","0","0","","","0","",
